Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-18,18:15 (09:15),La Liga,Matchweek 1,Sat,Home,D,1.0,1.0,Espanyol,0,12,2,16.7,0.0,0.0,18.8,1.0,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report,2018-08-18,18:15 (09:15),La Liga,Matchweek 1,Sat,Home,D,1.0,1.0,Espanyol,5,1,4,80.0,0,1.1,0.1,0,0,0,0,8.0,21.0,38.1,20.0,1.0,70.0,48.4,9.0,77.8,59.8,15.0,0.0,0.0,0.0,10.0,Match Report,2018-08-18,18:15 (09:15),La Liga,Matchweek 1,Sat,Home,D,1.0,1.0,Espanyol,330.0,438.0,75.3,6197.0,2101.0,133.0,155.0,85.8,148.0,176.0,84.1,39.0,83.0,47.0,0,0.5,0.6,10.0,26.0,7.0,3.0,31.0,Match Report,2018-08-18,18:15 (09:15),La Liga,Matchweek 1,Sat,Home,D,1.0,1.0,Espanyol,438.0,387.0,48.0,13.0,1.0,8.0,25,16.0,8.0,1.0,4.0,0.0,330.0,3.0,7.0,Match Report,2018-08-18,18:15 (09:15),La Liga,Matchweek 1,Sat,Home,D,1.0,1.0,Espanyol,23.0,14.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-08-18,18:15 (09:15),La Liga,Matchweek 1,Sat,Home,D,1.0,1.0,Espanyol,9.0,5,3.0,4.0,2.0,2.0,9.0,22.2,7.0,13.0,5.0,8.0,16,25,19.0,0.0,Match Report,2018-08-18,18:15 (09:15),La Liga,Matchweek 1,Sat,Home,D,1.0,1.0,Espanyol,48.0,547.0,53.0,142.0,270.0,144.0,16.0,547.0,27.0,10.0,37.0,17.0,63.0,315.0,1789.0,974.0,14.0,19.0,1.0,15.0,8.0,327.0,31.0,Match Report,2018-08-18,18:15 (09:15),La Liga,Matchweek 1,Sat,Home,D,1.0,1.0,Espanyol,3,0,0,13,14,3,25,16,5,0,0,0,54.0,16.0,9.0,64.0,Match Report
2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Away,W,2.0,1.0,Levante,2,21,8,38.1,0.1,0.25,18.3,1.0,0,0,2.5,2.5,0.12,-0.5,-0.5,Match Report,2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Away,W,2.0,1.0,Levante,6,1,5,100.0,0,1.6,0.6,1,1,0,0,14.0,28.0,50.0,29.0,6.0,62.1,45.2,10.0,100.0,66.6,29.0,2.0,6.9,0.0,7.0,Match Report,2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Away,W,2.0,1.0,Levante,317.0,402.0,78.9,5751.0,2515.0,147.0,164.0,89.6,107.0,128.0,83.6,46.0,80.0,57.5,2,2.3,1.8,16.0,16.0,10.0,1.0,28.0,Match Report,2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Away,W,2.0,1.0,Levante,402.0,356.0,42.0,14.0,2.0,2.0,12,9.0,7.0,3.0,3.0,0.0,317.0,4.0,8.0,Match Report,2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Away,W,2.0,1.0,Levante,35.0,26.0,3.0,2.0,1.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,Match Report,2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Away,W,2.0,1.0,Levante,23.0,18,14.0,8.0,1.0,7.0,14.0,50.0,7.0,11.0,3.0,8.0,11,34,38.0,0.0,Match Report,2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Away,W,2.0,1.0,Levante,45.0,539.0,79.0,196.0,250.0,103.0,21.0,539.0,16.0,9.0,56.3,7.0,43.8,311.0,1909.0,1055.0,20.0,15.0,5.0,14.0,13.0,315.0,28.0,Match Report,2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Away,W,2.0,1.0,Levante,3,0,0,8,12,4,12,11,18,0,1,0,54.0,23.0,9.0,71.9,Match Report
2018-09-01,18:30 (09:30),La Liga,Matchweek 3,Sat,Home,W,2.0,0.0,Atlético Madrid,2,10,4,40.0,0.2,0.5,16.6,0.0,0,0,0.5,0.5,0.05,1.5,1.5,Match Report,2018-09-01,18:30 (09:30),La Liga,Matchweek 3,Sat,Home,W,2.0,0.0,Atlético Madrid,0,0,0,,1,0.0,0.0,0,0,0,0,8.0,16.0,50.0,22.0,4.0,50.0,43.5,6.0,83.3,58.7,26.0,1.0,3.8,1.0,11.7,Match Report,2018-09-01,18:30 (09:30),La Liga,Matchweek 3,Sat,Home,W,2.0,0.0,Atlético Madrid,392.0,477.0,82.2,6880.0,2459.0,172.0,188.0,91.5,168.0,194.0,86.6,43.0,74.0,58.1,1,0.5,0.4,9.0,18.0,3.0,1.0,30.0,Match Report,2018-09-01,18:30 (09:30),La Liga,Matchweek 3,Sat,Home,W,2.0,0.0,Atlético Madrid,477.0,437.0,37.0,14.0,0.0,3.0,8,14.0,2.0,0.0,2.0,0.0,392.0,3.0,3.0,Match Report,2018-09-01,18:30 (09:30),La Liga,Matchweek 3,Sat,Home,W,2.0,0.0,Atlético Madrid,18.0,16.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-01,18:30 (09:30),La Liga,Matchweek 3,Sat,Home,W,2.0,0.0,Atlético Madrid,8.0,4,7.0,1.0,0.0,5.0,8.0,62.5,3.0,9.0,6.0,3.0,10,18,36.0,1.0,Match Report,2018-09-01,18:30 (09:30),La Liga,Matchweek 3,Sat,Home,W,2.0,0.0,Atlético Madrid,50.0,585.0,73.0,188.0,320.0,82.0,12.0,585.0,21.0,13.0,61.9,8.0,38.1,376.0,2173.0,1044.0,23.0,19.0,6.0,14.0,9.0,391.0,30.0,Match Report,2018-09-01,18:30 (09:30),La Liga,Matchweek 3,Sat,Home,W,2.0,0.0,Atlético Madrid,4,0,0,12,12,3,8,10,4,0,0,0,46.0,20.0,17.0,54.1,Match Report
2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Away,L,2.0,3.0,Girona,2,20,7,35.0,0.1,0.29,21.9,2.0,0,0,1.0,1.0,0.05,1.0,1.0,Match Report,2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Away,L,2.0,3.0,Girona,6,3,3,50.0,0,2.1,-0.9,0,0,0,0,2.0,11.0,18.2,19.0,6.0,31.6,31.9,8.0,62.5,47.1,11.0,0.0,0.0,1.0,32.0,Match Report,2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Away,L,2.0,3.0,Girona,572.0,662.0,86.4,9297.0,2605.0,294.0,321.0,91.6,218.0,244.0,89.3,47.0,74.0,63.5,1,0.7,0.9,13.0,38.0,9.0,3.0,58.0,Match Report,2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Away,L,2.0,3.0,Girona,662.0,605.0,55.0,13.0,3.0,1.0,19,29.0,1.0,0.0,0.0,0.0,572.0,2.0,4.0,Match Report,2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Away,L,2.0,3.0,Girona,37.0,26.0,2.0,2.0,3.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,Match Report,2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Away,L,2.0,3.0,Girona,9.0,5,3.0,6.0,0.0,3.0,11.0,27.3,8.0,3.0,0.0,3.0,8,17,14.0,1.0,Match Report,2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Away,L,2.0,3.0,Girona,67.0,751.0,42.0,136.0,416.0,201.0,30.0,751.0,23.0,15.0,65.2,8.0,34.8,455.0,2556.0,1464.0,25.0,27.0,6.0,9.0,16.0,565.0,58.0,Match Report,2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Away,L,2.0,3.0,Girona,3,1,1,11,15,2,19,8,5,0,0,0,38.0,24.0,17.0,58.5,Match Report
2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,3.0,3.0,Valladolid,3,12,5,41.7,0.25,0.6,14.6,0.0,0,0,1.9,1.9,0.16,1.1,1.1,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,3.0,3.0,Valladolid,4,3,1,25.0,0,2.4,-0.6,0,0,0,0,9.0,20.0,45.0,26.0,3.0,38.5,32.1,10.0,100.0,62.1,18.0,1.0,5.6,0.0,10.0,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,3.0,3.0,Valladolid,351.0,445.0,78.9,6159.0,2371.0,165.0,182.0,90.7,141.0,167.0,84.4,34.0,69.0,49.3,2,1.4,1.2,10.0,22.0,8.0,2.0,33.0,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,3.0,3.0,Valladolid,445.0,400.0,43.0,12.0,2.0,0.0,12,10.0,7.0,2.0,4.0,0.0,351.0,2.0,9.0,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,3.0,3.0,Valladolid,22.0,17.0,2.0,1.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,3.0,3.0,Valladolid,16.0,11,11.0,4.0,1.0,9.0,17.0,52.9,8.0,15.0,6.0,9.0,13,29,30.0,1.0,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,3.0,3.0,Valladolid,47.0,553.0,71.0,212.0,255.0,91.0,19.0,553.0,14.0,8.0,57.1,6.0,42.9,322.0,1839.0,1012.0,18.0,10.0,3.0,14.0,18.0,350.0,33.0,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,D,3.0,3.0,Valladolid,2,0,0,9,11,2,12,13,11,0,0,0,58.0,19.0,13.0,59.4,Match Report
2018-09-26,22:00 (13:00),La Liga,Matchweek 6,Wed,Away,D,1.0,1.0,Valencia,1,9,3,33.3,0.11,0.33,21.9,2.0,0,0,0.4,0.4,0.04,0.6,0.6,Match Report,2018-09-26,22:00 (13:00),La Liga,Matchweek 6,Wed,Away,D,1.0,1.0,Valencia,5,1,4,80.0,0,1.0,0.0,0,0,0,0,3.0,18.0,16.7,31.0,4.0,29.0,30.2,10.0,90.0,63.8,10.0,0.0,0.0,1.0,13.3,Match Report,2018-09-26,22:00 (13:00),La Liga,Matchweek 6,Wed,Away,D,1.0,1.0,Valencia,573.0,665.0,86.2,9766.0,2894.0,249.0,261.0,95.4,240.0,264.0,90.9,51.0,97.0,52.6,1,0.2,0.3,5.0,34.0,5.0,3.0,40.0,Match Report,2018-09-26,22:00 (13:00),La Liga,Matchweek 6,Wed,Away,D,1.0,1.0,Valencia,665.0,619.0,44.0,15.0,0.0,6.0,19,15.0,2.0,1.0,1.0,0.0,573.0,2.0,5.0,Match Report,2018-09-26,22:00 (13:00),La Liga,Matchweek 6,Wed,Away,D,1.0,1.0,Valencia,18.0,15.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-26,22:00 (13:00),La Liga,Matchweek 6,Wed,Away,D,1.0,1.0,Valencia,8.0,3,4.0,3.0,1.0,4.0,11.0,36.4,7.0,8.0,1.0,7.0,11,19,13.0,0.0,Match Report,2018-09-26,22:00 (13:00),La Liga,Matchweek 6,Wed,Away,D,1.0,1.0,Valencia,63.0,744.0,55.0,192.0,434.0,122.0,13.0,744.0,13.0,8.0,61.5,5.0,38.5,530.0,2705.0,1188.0,15.0,15.0,3.0,19.0,8.0,568.0,40.0,Match Report,2018-09-26,22:00 (13:00),La Liga,Matchweek 6,Wed,Away,D,1.0,1.0,Valencia,3,0,0,7,18,2,19,11,3,0,0,0,48.0,12.0,10.0,54.5,Match Report
2018-10-01,21:00 (12:00),La Liga,Matchweek 7,Mon,Home,D,1.0,1.0,Getafe,1,8,2,25.0,0.13,0.5,16.1,0.0,0,0,0.5,0.5,0.06,0.5,0.5,Match Report,2018-10-01,21:00 (12:00),La Liga,Matchweek 7,Mon,Home,D,1.0,1.0,Getafe,4,1,3,75.0,0,0.3,-0.7,0,0,0,0,12.0,30.0,40.0,29.0,2.0,69.0,45.9,10.0,100.0,62.9,19.0,1.0,5.3,1.0,13.0,Match Report,2018-10-01,21:00 (12:00),La Liga,Matchweek 7,Mon,Home,D,1.0,1.0,Getafe,317.0,448.0,70.8,6009.0,2640.0,144.0,173.0,83.2,133.0,164.0,81.1,38.0,94.0,40.4,1,0.4,0.8,6.0,24.0,1.0,1.0,23.0,Match Report,2018-10-01,21:00 (12:00),La Liga,Matchweek 7,Mon,Home,D,1.0,1.0,Getafe,448.0,399.0,46.0,15.0,0.0,1.0,17,16.0,3.0,0.0,3.0,0.0,317.0,3.0,9.0,Match Report,2018-10-01,21:00 (12:00),La Liga,Matchweek 7,Mon,Home,D,1.0,1.0,Getafe,15.0,10.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-10-01,21:00 (12:00),La Liga,Matchweek 7,Mon,Home,D,1.0,1.0,Getafe,20.0,15,13.0,5.0,2.0,9.0,11.0,81.8,2.0,14.0,2.0,12.0,3,23,28.0,0.0,Match Report,2018-10-01,21:00 (12:00),La Liga,Matchweek 7,Mon,Home,D,1.0,1.0,Getafe,52.0,558.0,64.0,201.0,253.0,108.0,13.0,558.0,6.0,1.0,16.7,5.0,83.3,229.0,943.0,402.0,6.0,7.0,2.0,13.0,8.0,315.0,22.0,Match Report,2018-10-01,21:00 (12:00),La Liga,Matchweek 7,Mon,Home,D,1.0,1.0,Getafe,2,0,0,13,11,3,17,3,15,0,0,0,54.0,34.0,30.0,53.1,Match Report
2018-10-07,18:30 (09:30),La Liga,Matchweek 8,Sun,Away,L,1.0,2.0,Sevilla,1,12,5,41.7,0.08,0.2,18.0,0.0,0,0,0.7,0.7,0.06,0.3,0.3,Match Report,2018-10-07,18:30 (09:30),La Liga,Matchweek 8,Sun,Away,L,1.0,2.0,Sevilla,3,2,1,33.3,0,1.6,-0.4,0,0,0,0,6.0,16.0,37.5,30.0,2.0,40.0,35.4,11.0,36.4,38.5,24.0,1.0,4.2,1.0,13.3,Match Report,2018-10-07,18:30 (09:30),La Liga,Matchweek 8,Sun,Away,L,1.0,2.0,Sevilla,346.0,444.0,77.9,6260.0,2264.0,152.0,177.0,85.9,147.0,166.0,88.6,39.0,79.0,49.4,1,0.7,0.8,10.0,14.0,7.0,3.0,27.0,Match Report,2018-10-07,18:30 (09:30),La Liga,Matchweek 8,Sun,Away,L,1.0,2.0,Sevilla,444.0,396.0,47.0,15.0,0.0,3.0,24,10.0,8.0,1.0,5.0,1.0,346.0,1.0,7.0,Match Report,2018-10-07,18:30 (09:30),La Liga,Matchweek 8,Sun,Away,L,1.0,2.0,Sevilla,22.0,13.0,4.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-10-07,18:30 (09:30),La Liga,Matchweek 8,Sun,Away,L,1.0,2.0,Sevilla,15.0,8,4.0,6.0,5.0,7.0,10.0,70.0,3.0,4.0,1.0,3.0,11,26,29.0,2.0,Match Report,2018-10-07,18:30 (09:30),La Liga,Matchweek 8,Sun,Away,L,1.0,2.0,Sevilla,48.0,542.0,72.0,171.0,268.0,108.0,21.0,542.0,11.0,7.0,63.6,4.0,36.4,286.0,1852.0,1046.0,18.0,16.0,3.0,8.0,12.0,344.0,27.0,Match Report,2018-10-07,18:30 (09:30),La Liga,Matchweek 8,Sun,Away,L,1.0,2.0,Sevilla,4,1,1,9,14,1,24,11,8,0,0,0,48.0,16.0,21.0,43.2,Match Report
2018-10-19,21:00 (12:00),La Liga,Matchweek 9,Fri,Home,L,0.0,1.0,Alavés,0,19,9,47.4,0.0,0.0,20.7,1.0,0,0,0.9,0.9,0.05,-0.9,-0.9,Match Report,2018-10-19,21:00 (12:00),La Liga,Matchweek 9,Fri,Home,L,0.0,1.0,Alavés,2,1,1,50.0,0,1.1,0.1,0,0,0,0,3.0,8.0,37.5,23.0,6.0,21.7,25.9,8.0,37.5,37.8,11.0,1.0,9.1,1.0,16.0,Match Report,2018-10-19,21:00 (12:00),La Liga,Matchweek 9,Fri,Home,L,0.0,1.0,Alavés,498.0,615.0,81.0,8389.0,2676.0,232.0,257.0,90.3,213.0,246.0,86.6,37.0,77.0,48.1,0,0.8,0.8,17.0,24.0,5.0,1.0,48.0,Match Report,2018-10-19,21:00 (12:00),La Liga,Matchweek 9,Fri,Home,L,0.0,1.0,Alavés,615.0,566.0,47.0,9.0,0.0,3.0,25,22.0,6.0,2.0,1.0,0.0,498.0,2.0,10.0,Match Report,2018-10-19,21:00 (12:00),La Liga,Matchweek 9,Fri,Home,L,0.0,1.0,Alavés,34.0,27.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-10-19,21:00 (12:00),La Liga,Matchweek 9,Fri,Home,L,0.0,1.0,Alavés,14.0,9,7.0,6.0,1.0,4.0,6.0,66.7,2.0,12.0,4.0,8.0,10,24,18.0,1.0,Match Report,2018-10-19,21:00 (12:00),La Liga,Matchweek 9,Fri,Home,L,0.0,1.0,Alavés,61.0,733.0,56.0,184.0,374.0,180.0,14.0,733.0,20.0,16.0,80.0,4.0,20.0,428.0,2331.0,1204.0,21.0,21.0,6.0,15.0,14.0,495.0,48.0,Match Report,2018-10-19,21:00 (12:00),La Liga,Matchweek 9,Fri,Home,L,0.0,1.0,Alavés,2,0,0,9,12,2,25,10,9,0,0,0,62.0,24.0,13.0,64.9,Match Report
2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,4.0,0.0,Eibar,4,10,6,60.0,0.4,0.67,18.7,0.0,0,0,0.8,0.8,0.08,3.2,3.2,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,4.0,0.0,Eibar,5,0,5,100.0,1,1.2,1.2,0,0,0,0,7.0,34.0,20.6,29.0,3.0,75.9,47.3,16.0,75.0,50.9,33.0,0.0,0.0,0.0,10.0,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,4.0,0.0,Eibar,243.0,380.0,63.9,3970.0,1589.0,113.0,144.0,78.5,86.0,128.0,67.2,24.0,71.0,33.8,3,0.4,0.3,8.0,16.0,2.0,0.0,23.0,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,4.0,0.0,Eibar,380.0,328.0,51.0,9.0,0.0,5.0,6,23.0,2.0,0.0,0.0,0.0,243.0,1.0,10.0,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,4.0,0.0,Eibar,18.0,14.0,1.0,3.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,4.0,0.0,Eibar,21.0,16,9.0,11.0,1.0,6.0,13.0,46.2,7.0,7.0,0.0,7.0,14,35,42.0,0.0,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,4.0,0.0,Eibar,40.0,499.0,86.0,245.0,183.0,74.0,11.0,499.0,17.0,11.0,64.7,6.0,35.3,208.0,1233.0,604.0,11.0,6.0,5.0,11.0,11.0,242.0,23.0,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,4.0,0.0,Eibar,0,0,0,9,7,1,6,14,16,0,0,0,53.0,21.0,24.0,46.7,Match Report
