Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Home,D,0,0,Valladolid,0,13,1,7.7,0.00,0.00,20.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report,2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Home,D,0,0,Valladolid,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,3,5,60.0,14,4,21.4,30.2,5,40.0,37.4,11,1,9.1,0,8.8,Match Report,2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Home,D,0,0,Valladolid,537,649,82.7,11407,4080,161,179,89.9,278,330,84.2,93,120,77.5,0,0.6,1.4,10,57,12,5,77,Match Report,2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Home,D,0,0,Valladolid,649,589,59,21,1,14,26,29,3,0,2,0,537,1,9,Match Report,2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Home,D,0,0,Valladolid,22,18,1,2,0,1,0,0,0,0,0,0,0,0,Match Report,2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Home,D,0,0,Valladolid,12,8,5,5,2,5,14,35.7,9,4,0,4,13,25,14,0,Match Report,2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Home,D,0,0,Valladolid,67,746,31,168,429,155,21,746,30,16,53.3,14,46.7,476,2295,1274,16,11,2,14,13,534,77,Match Report,2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Home,D,0,0,Valladolid,1,0,0,21,20,1,26,13,8,0,0,0,65,34,18,65.4,Match Report
2018-08-26,22:15 (13:15),La Liga,Matchweek 2,Sun,Home,L,1,4,Real Madrid,1,10,5,50.0,0.10,0.20,20.3,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Match Report,2018-08-26,22:15 (13:15),La Liga,Matchweek 2,Sun,Home,L,1,4,Real Madrid,8,4,4,75.0,0,4.1,+0.1,2,2,0,0,5,17,29.4,24,3,45.8,35.5,6,100.0,68.8,15,0,0.0,0,7.5,Match Report,2018-08-26,22:15 (13:15),La Liga,Matchweek 2,Sun,Home,L,1,4,Real Madrid,296,393,75.3,5577,1973,127,153,83.0,126,145,86.9,38,79,48.1,0,0.2,0.4,5,18,6,1,29,Match Report,2018-08-26,22:15 (13:15),La Liga,Matchweek 2,Sun,Home,L,1,4,Real Madrid,393,353,38,11,2,9,17,12,4,3,0,0,296,2,6,Match Report,2018-08-26,22:15 (13:15),La Liga,Matchweek 2,Sun,Home,L,1,4,Real Madrid,16,13,1,0,2,0,0,1,0,0,0,1,0,0,Match Report,2018-08-26,22:15 (13:15),La Liga,Matchweek 2,Sun,Home,L,1,4,Real Madrid,13,7,10,1,2,10,21,47.6,11,10,5,5,16,29,25,1,Match Report,2018-08-26,22:15 (13:15),La Liga,Matchweek 2,Sun,Home,L,1,4,Real Madrid,34,489,67,190,203,99,15,489,10,6,60.0,4,40.0,242,1205,704,15,14,3,10,8,294,29,Match Report,2018-08-26,22:15 (13:15),La Liga,Matchweek 2,Sun,Home,L,1,4,Real Madrid,2,0,0,13,10,2,17,16,7,0,2,0,51,12,11,52.2,Match Report
2018-08-31,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,W,1,0,Villarreal,1,14,6,42.9,0.07,0.17,21.3,1,0,0,1.0,1.0,0.07,0.0,0.0,Match Report,2018-08-31,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,W,1,0,Villarreal,3,0,3,100.0,1,0.7,+0.7,0,0,0,0,13,28,46.4,20,1,80.0,50.0,12,100.0,61.7,17,2,11.8,2,16.3,Match Report,2018-08-31,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,W,1,0,Villarreal,227,317,71.6,4907,2091,84,102,82.4,92,115,80.0,45,85,52.9,1,0.8,0.6,9,12,4,1,22,Match Report,2018-08-31,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,W,1,0,Villarreal,317,269,47,16,1,11,15,16,2,1,1,0,227,1,5,Match Report,2018-08-31,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,W,1,0,Villarreal,23,13,4,2,2,2,0,2,2,0,0,0,0,0,Match Report,2018-08-31,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,W,1,0,Villarreal,13,9,7,5,1,6,11,54.5,5,9,4,5,15,28,29,0,Match Report,2018-08-31,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,W,1,0,Villarreal,35,432,64,158,199,79,10,432,14,7,50.0,7,50.0,206,1130,628,13,11,3,12,12,224,21,Match Report,2018-08-31,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,W,1,0,Villarreal,2,0,0,11,16,1,15,15,9,0,0,0,46,14,13,51.9,Match Report
2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Home,W,3,2,Celta Vigo,3,11,6,54.5,0.27,0.50,16.3,1,0,0,1.7,1.7,0.18,+1.3,+1.3,Match Report,2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Home,W,3,2,Celta Vigo,7,2,5,71.4,0,1.4,-0.6,0,0,0,0,3,22,13.6,17,1,94.1,53.3,6,100.0,61.5,17,1,5.9,0,3.5,Match Report,2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Home,W,3,2,Celta Vigo,231,326,70.9,4731,1654,83,97,85.6,112,138,81.2,36,82,43.9,3,1.4,0.6,7,20,2,1,27,Match Report,2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Home,W,3,2,Celta Vigo,326,295,31,12,2,5,14,7,3,1,1,0,231,0,5,Match Report,2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Home,W,3,2,Celta Vigo,19,12,3,1,1,2,0,5,3,1,0,1,0,0,Match Report,2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Home,W,3,2,Celta Vigo,24,12,12,11,1,8,23,34.8,15,12,8,4,10,34,23,2,Match Report,2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Home,W,3,2,Celta Vigo,33,421,62,151,205,73,16,421,11,8,72.7,3,27.3,244,1324,767,19,11,6,10,6,229,27,Match Report,2018-09-17,21:00 (12:00),La Liga,Matchweek 4,Mon,Home,W,3,2,Celta Vigo,1,0,0,15,10,0,14,10,12,0,0,0,55,17,24,41.5,Match Report
2018-09-23,20:45 (11:45),La Liga,Matchweek 5,Sun,Away,D,2,2,Barcelona,2,7,5,71.4,0.29,0.40,15.6,1,0,0,1.5,1.5,0.22,+0.5,+0.5,Match Report,2018-09-23,20:45 (11:45),La Liga,Matchweek 5,Sun,Away,D,2,2,Barcelona,11,2,9,81.8,0,3.3,+1.3,0,0,0,0,5,12,41.7,21,10,38.1,34.0,6,66.7,47.2,7,1,14.3,0,5.0,Match Report,2018-09-23,20:45 (11:45),La Liga,Matchweek 5,Sun,Away,D,2,2,Barcelona,294,378,77.8,5307,1970,137,155,88.4,112,133,84.2,34,65,52.3,1,1.4,0.5,4,9,5,2,15,Match Report,2018-09-23,20:45 (11:45),La Liga,Matchweek 5,Sun,Away,D,2,2,Barcelona,378,344,33,9,3,8,9,13,2,1,0,0,294,1,6,Match Report,2018-09-23,20:45 (11:45),La Liga,Matchweek 5,Sun,Away,D,2,2,Barcelona,13,7,1,3,1,1,0,3,1,0,1,1,0,0,Match Report,2018-09-23,20:45 (11:45),La Liga,Matchweek 5,Sun,Away,D,2,2,Barcelona,20,10,11,9,0,7,15,46.7,8,8,7,1,18,38,17,0,Match Report,2018-09-23,20:45 (11:45),La Liga,Matchweek 5,Sun,Away,D,2,2,Barcelona,33,472,61,182,247,49,7,472,12,8,66.7,4,33.3,191,1382,650,8,11,0,10,5,291,14,Match Report,2018-09-23,20:45 (11:45),La Liga,Matchweek 5,Sun,Away,D,2,2,Barcelona,5,0,0,16,9,1,9,18,10,0,0,0,44,6,10,37.5,Match Report
2018-09-27,22:00 (13:00),La Liga,Matchweek 6,Thu,Home,L,0,1,Betis,0,8,2,25.0,0.00,0.00,25.0,1,0,0,0.8,0.8,0.11,-0.8,-0.8,Match Report,2018-09-27,22:00 (13:00),La Liga,Matchweek 6,Thu,Home,L,0,1,Betis,6,1,5,83.3,0,1.6,+0.6,0,0,0,0,10,21,47.6,32,0,43.8,36.4,7,100.0,63.6,7,0,0.0,6,36.5,Match Report,2018-09-27,22:00 (13:00),La Liga,Matchweek 6,Thu,Home,L,0,1,Betis,262,354,74.0,5213,1967,107,117,91.5,107,134,79.9,45,86,52.3,0,0.8,0.8,5,19,7,4,34,Match Report,2018-09-27,22:00 (13:00),La Liga,Matchweek 6,Thu,Home,L,0,1,Betis,354,308,42,13,0,3,18,15,5,2,2,0,262,4,6,Match Report,2018-09-27,22:00 (13:00),La Liga,Matchweek 6,Thu,Home,L,0,1,Betis,15,10,2,1,0,2,0,0,0,0,0,0,0,0,Match Report,2018-09-27,22:00 (13:00),La Liga,Matchweek 6,Thu,Home,L,0,1,Betis,8,4,2,6,0,1,12,8.3,11,9,2,7,12,20,19,1,Match Report,2018-09-27,22:00 (13:00),La Liga,Matchweek 6,Thu,Home,L,0,1,Betis,36,430,57,149,198,87,11,430,8,4,50.0,4,50.0,255,1350,603,14,11,3,7,9,261,34,Match Report,2018-09-27,22:00 (13:00),La Liga,Matchweek 6,Thu,Home,L,0,1,Betis,1,0,0,18,14,4,18,12,4,0,0,0,49,12,11,52.2,Match Report
2018-09-30,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Huesca,1,12,2,16.7,0.00,0.00,24.0,1,1,1,1.7,0.9,0.08,-0.7,-0.9,Match Report,2018-09-30,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Huesca,6,1,5,100.0,0,1.4,+0.4,1,1,0,0,2,14,14.3,22,7,40.9,37.1,10,50.0,43.8,9,1,11.1,2,16.8,Match Report,2018-09-30,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Huesca,336,437,76.9,6530,2365,118,134,88.1,156,181,86.2,47,91,51.6,0,0.8,0.8,7,24,6,3,29,Match Report,2018-09-30,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Huesca,437,390,47,15,0,7,21,15,5,1,3,0,336,0,9,Match Report,2018-09-30,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Huesca,23,12,4,2,3,2,0,2,0,0,1,0,1,0,Match Report,2018-09-30,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Huesca,20,14,11,7,2,8,11,72.7,3,8,1,7,17,37,22,0,Match Report,2018-09-30,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Huesca,48,550,59,189,270,100,17,549,13,4,30.8,9,69.2,218,1396,830,16,10,2,10,10,333,29,Match Report,2018-09-30,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Huesca,2,0,0,14,14,0,21,17,14,1,1,0,53,19,20,48.7,Match Report
2018-10-06,13:00 (04:00),La Liga,Matchweek 8,Sat,Home,L,2,3,Eibar,2,10,3,30.0,0.20,0.67,20.0,1,0,0,1.2,1.2,0.12,+0.8,+0.8,Match Report,2018-10-06,13:00 (04:00),La Liga,Matchweek 8,Sat,Home,L,2,3,Eibar,4,3,1,50.0,0,1.9,-1.1,1,1,0,0,8,12,66.7,30,8,30.0,33.8,10,30.0,37.1,20,0,0.0,1,12.7,Match Report,2018-10-06,13:00 (04:00),La Liga,Matchweek 8,Sat,Home,L,2,3,Eibar,285,412,69.2,5956,2429,85,107,79.4,140,179,78.2,52,106,49.1,2,1.1,1.0,6,24,7,1,33,Match Report,2018-10-06,13:00 (04:00),La Liga,Matchweek 8,Sat,Home,L,2,3,Eibar,412,352,56,16,4,2,18,22,4,2,0,0,285,4,2,Match Report,2018-10-06,13:00 (04:00),La Liga,Matchweek 8,Sat,Home,L,2,3,Eibar,16,12,1,1,1,1,0,4,4,0,0,0,0,0,Match Report,2018-10-06,13:00 (04:00),La Liga,Matchweek 8,Sat,Home,L,2,3,Eibar,16,11,7,7,2,3,9,33.3,6,8,2,6,13,29,35,0,Match Report,2018-10-06,13:00 (04:00),La Liga,Matchweek 8,Sat,Home,L,2,3,Eibar,52,530,66,221,218,98,14,530,11,7,63.6,4,36.4,255,1355,637,15,7,6,20,12,280,32,Match Report,2018-10-06,13:00 (04:00),La Liga,Matchweek 8,Sat,Home,L,2,3,Eibar,3,0,0,9,16,4,18,13,11,0,1,0,53,35,20,63.6,Match Report
2018-10-22,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,D,0,0,Real Sociedad,0,12,2,16.7,0.00,0.00,21.3,1,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report,2018-10-22,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,D,0,0,Real Sociedad,8,0,8,100.0,1,2.0,+2.0,0,0,0,0,5,20,25.0,24,4,58.3,44.3,7,85.7,52.4,19,1,5.3,1,17.7,Match Report,2018-10-22,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,D,0,0,Real Sociedad,303,421,72.0,6272,2283,114,141,80.9,136,176,77.3,52,94,55.3,0,0.8,1.0,8,22,7,0,39,Match Report,2018-10-22,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,D,0,0,Real Sociedad,421,366,55,16,1,5,29,25,6,4,1,0,303,0,7,Match Report,2018-10-22,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,D,0,0,Real Sociedad,20,12,5,0,1,1,1,0,0,0,0,0,0,0,Match Report,2018-10-22,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,D,0,0,Real Sociedad,24,16,12,8,4,12,21,57.1,9,6,2,4,8,32,23,0,Match Report,2018-10-22,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,D,0,0,Real Sociedad,46,533,48,158,239,141,19,533,15,6,40.0,9,60.0,282,1623,644,17,15,3,7,8,296,38,Match Report,2018-10-22,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,D,0,0,Real Sociedad,1,0,0,15,14,0,29,8,16,0,0,0,52,23,22,51.1,Match Report
2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Home,W,2,1,Rayo Vallecano,2,13,5,38.5,0.08,0.20,20.0,0,1,1,2.4,1.7,0.13,-0.4,-0.7,Match Report,2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Home,W,2,1,Rayo Vallecano,5,1,4,80.0,0,2.0,+1.0,0,0,0,0,12,22,54.5,25,1,56.0,38.5,9,88.9,56.0,17,0,0.0,1,34.0,Match Report,2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Home,W,2,1,Rayo Vallecano,307,394,77.9,6290,2606,104,124,83.9,157,182,86.3,43,71,60.6,1,1.6,1.8,12,18,10,2,34,Match Report,2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Home,W,2,1,Rayo Vallecano,394,348,43,16,1,5,13,12,4,2,2,0,307,3,7,Match Report,2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Home,W,2,1,Rayo Vallecano,27,18,3,2,1,3,0,4,3,0,0,0,1,0,Match Report,2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Home,W,2,1,Rayo Vallecano,17,9,5,8,4,9,26,34.6,17,9,3,6,16,33,36,1,Match Report,2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Home,W,2,1,Rayo Vallecano,44,516,65,164,255,105,18,515,15,13,86.7,2,13.3,292,1514,794,14,17,1,13,13,302,34,Match Report,2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Home,W,2,1,Rayo Vallecano,1,1,0,11,16,3,13,16,9,1,0,0,59,18,13,58.1,Match Report
