Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-17,22:15 (13:15),La Liga,Matchweek 1,Fri,Away,W,3,0,Betis,3,6,4,66.7,0.50,0.75,12.5,0,0,0,2.5,2.5,0.42,+0.5,+0.5,Match Report,2018-08-17,22:15 (13:15),La Liga,Matchweek 1,Fri,Away,W,3,0,Betis,8,0,8,100.0,1,0.9,+0.9,0,0,0,0,4,24,16.7,18,2,77.8,51.1,13,76.9,50.6,20,0,0.0,0,5.0,Match Report,2018-08-17,22:15 (13:15),La Liga,Matchweek 1,Fri,Away,W,3,0,Betis,150,240,62.5,2695,1331,78,97,80.4,52,69,75.4,19,58,32.8,2,1.8,0.4,5,14,1,0,18,Match Report,2018-08-17,22:15 (13:15),La Liga,Matchweek 1,Fri,Away,W,3,0,Betis,240,189,47,12,0,5,10,18,3,1,1,0,150,4,9,Match Report,2018-08-17,22:15 (13:15),La Liga,Matchweek 1,Fri,Away,W,3,0,Betis,9,5,0,3,0,0,1,6,3,0,3,0,0,0,Match Report,2018-08-17,22:15 (13:15),La Liga,Matchweek 1,Fri,Away,W,3,0,Betis,14,7,10,3,1,8,25,32.0,17,7,4,3,10,24,35,0,Match Report,2018-08-17,22:15 (13:15),La Liga,Matchweek 1,Fri,Away,W,3,0,Betis,24,355,77,186,125,54,10,355,26,13,50.0,13,50.0,179,1064,639,14,8,6,10,12,148,17,Match Report,2018-08-17,22:15 (13:15),La Liga,Matchweek 1,Fri,Away,W,3,0,Betis,2,0,0,10,10,4,10,10,7,0,0,0,51,9,16,36.0,Match Report
2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Home,L,1,2,Celta Vigo,1,14,5,35.7,0.00,0.00,22.4,0,1,1,1.9,1.1,0.08,-0.9,-1.1,Match Report,2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Home,L,1,2,Celta Vigo,8,2,6,75.0,0,2.0,0.0,0,0,0,0,7,12,58.3,17,7,35.3,33.4,9,66.7,49.0,9,0,0.0,4,21.2,Match Report,2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Home,L,1,2,Celta Vigo,377,493,76.5,6764,2912,174,207,84.1,143,171,83.6,49,85,57.6,0,1.0,1.0,10,35,10,5,48,Match Report,2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Home,L,1,2,Celta Vigo,493,440,52,11,1,4,37,22,7,2,1,1,377,1,13,Match Report,2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Home,L,1,2,Celta Vigo,28,25,0,1,1,1,0,2,1,0,0,0,1,0,Match Report,2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Home,L,1,2,Celta Vigo,20,16,9,7,4,7,16,43.8,9,13,5,8,4,24,10,0,Match Report,2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Home,L,1,2,Celta Vigo,55,580,49,136,251,199,21,579,14,7,50.0,7,50.0,297,1959,1057,27,14,4,11,16,375,48,Match Report,2018-08-27,20:15 (11:15),La Liga,Matchweek 2,Mon,Home,L,1,2,Celta Vigo,2,0,0,14,7,1,37,4,16,1,0,0,57,9,23,28.1,Match Report
2018-09-02,12:00 (03:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Valencia,2,13,4,30.8,0.15,0.50,20.0,1,0,0,1.6,1.6,0.13,+0.4,+0.4,Match Report,2018-09-02,12:00 (03:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Valencia,5,2,3,80.0,0,2.5,+0.5,1,1,0,0,9,16,56.3,16,4,50.0,44.1,11,72.7,47.6,15,0,0.0,0,3.0,Match Report,2018-09-02,12:00 (03:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Valencia,316,423,74.7,5361,2447,159,177,89.8,103,133,77.4,39,76,51.3,1,1.0,1.0,10,27,12,4,47,Match Report,2018-09-02,12:00 (03:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Valencia,423,370,49,13,2,5,30,19,3,1,1,1,316,4,13,Match Report,2018-09-02,12:00 (03:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Valencia,24,20,0,1,2,1,0,3,2,0,0,1,0,0,Match Report,2018-09-02,12:00 (03:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Valencia,17,14,9,8,0,8,13,61.5,5,10,3,7,14,31,25,0,Match Report,2018-09-02,12:00 (03:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Valencia,46,511,57,156,201,163,18,511,12,8,66.7,4,33.3,243,1672,976,26,15,6,10,11,315,47,Match Report,2018-09-02,12:00 (03:00),La Liga,Matchweek 3,Sun,Home,D,2,2,Valencia,4,1,1,14,10,4,30,14,14,0,1,0,53,10,11,47.6,Match Report
2018-09-16,16:15 (07:15),La Liga,Matchweek 4,Sun,Away,L,0,1,Espanyol,0,16,4,25.0,0.00,0.00,19.5,2,0,0,0.8,0.8,0.05,-0.8,-0.8,Match Report,2018-09-16,16:15 (07:15),La Liga,Matchweek 4,Sun,Away,L,0,1,Espanyol,9,1,8,88.9,0,1.9,+0.9,0,0,0,0,8,15,53.3,19,6,47.4,36.6,12,50.0,42.8,13,0,0.0,0,1.0,Match Report,2018-09-16,16:15 (07:15),La Liga,Matchweek 4,Sun,Away,L,0,1,Espanyol,280,366,76.5,5448,2281,106,127,83.5,109,127,85.8,50,83,60.2,0,0.6,0.4,13,23,5,3,34,Match Report,2018-09-16,16:15 (07:15),La Liga,Matchweek 4,Sun,Away,L,0,1,Espanyol,366,313,53,15,0,4,18,20,4,2,2,0,280,0,12,Match Report,2018-09-16,16:15 (07:15),La Liga,Matchweek 4,Sun,Away,L,0,1,Espanyol,29,18,2,2,4,3,0,0,0,0,0,0,0,0,Match Report,2018-09-16,16:15 (07:15),La Liga,Matchweek 4,Sun,Away,L,0,1,Espanyol,9,5,6,2,1,2,11,18.2,9,9,2,7,15,24,17,1,Match Report,2018-09-16,16:15 (07:15),La Liga,Matchweek 4,Sun,Away,L,0,1,Espanyol,44,468,63,149,214,112,17,468,13,7,53.8,6,46.2,263,1765,988,20,15,6,16,10,278,34,Match Report,2018-09-16,16:15 (07:15),La Liga,Matchweek 4,Sun,Away,L,0,1,Espanyol,2,0,0,13,17,0,18,15,5,0,0,0,39,13,14,48.1,Match Report
2018-09-23,12:00 (03:00),La Liga,Matchweek 5,Sun,Home,L,2,6,Sevilla,2,18,10,55.6,0.11,0.20,17.8,3,0,1,2.3,1.5,0.08,-0.3,+0.5,Match Report,2018-09-23,12:00 (03:00),La Liga,Matchweek 5,Sun,Home,L,2,6,Sevilla,9,6,3,33.3,0,3.9,-2.1,0,0,0,0,2,5,40.0,16,5,18.8,28.9,6,33.3,35.0,12,1,8.3,0,4.0,Match Report,2018-09-23,12:00 (03:00),La Liga,Matchweek 5,Sun,Home,L,2,6,Sevilla,365,444,82.2,6773,2454,170,186,91.4,138,165,83.6,52,79,65.8,1,1.4,0.9,13,41,7,2,44,Match Report,2018-09-23,12:00 (03:00),La Liga,Matchweek 5,Sun,Home,L,2,6,Sevilla,444,390,52,15,0,4,24,16,8,2,3,0,365,2,6,Match Report,2018-09-23,12:00 (03:00),La Liga,Matchweek 5,Sun,Home,L,2,6,Sevilla,32,23,1,1,3,4,0,4,4,0,0,0,0,0,Match Report,2018-09-23,12:00 (03:00),La Liga,Matchweek 5,Sun,Home,L,2,6,Sevilla,9,2,4,3,2,2,9,22.2,7,9,6,3,14,23,9,2,Match Report,2018-09-23,12:00 (03:00),La Liga,Matchweek 5,Sun,Home,L,2,6,Sevilla,49,528,47,125,264,143,26,527,13,10,76.9,3,23.1,322,2079,1272,31,12,7,14,8,364,44,Match Report,2018-09-23,12:00 (03:00),La Liga,Matchweek 5,Sun,Home,L,2,6,Sevilla,1,0,0,5,17,2,24,14,2,1,0,0,30,7,10,41.2,Match Report
2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Away,L,1,2,Valladolid,1,9,4,44.4,0.11,0.25,13.9,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Match Report,2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Away,L,1,2,Valladolid,6,2,4,66.7,0,0.9,-1.1,0,0,0,0,10,23,43.5,20,3,50.0,41.6,14,92.9,60.6,24,0,0.0,2,11.6,Match Report,2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Away,L,1,2,Valladolid,211,297,71.0,4459,1926,84,99,84.8,83,107,77.6,39,77,50.6,0,0.5,0.4,7,17,3,2,22,Match Report,2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Away,L,1,2,Valladolid,297,238,58,18,0,2,21,17,6,2,4,0,211,1,3,Match Report,2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Away,L,1,2,Valladolid,16,5,4,3,2,2,0,1,0,0,0,1,0,0,Match Report,2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Away,L,1,2,Valladolid,15,14,8,6,1,4,14,28.6,10,8,4,4,12,27,29,0,Match Report,2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Away,L,1,2,Valladolid,36,408,69,147,172,94,17,408,16,7,43.8,9,56.3,169,1067,570,10,11,1,11,12,210,21,Match Report,2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Away,L,1,2,Valladolid,4,1,1,10,17,1,21,12,14,0,0,0,43,14,8,63.6,Match Report
2018-09-30,18:30 (09:30),La Liga,Matchweek 7,Sun,Home,W,2,1,Alavés,2,14,3,21.4,0.14,0.67,19.0,2,0,0,1.6,1.6,0.11,+0.4,+0.4,Match Report,2018-09-30,18:30 (09:30),La Liga,Matchweek 7,Sun,Home,W,2,1,Alavés,2,1,1,50.0,0,0.1,-0.9,0,0,0,0,1,16,6.3,13,1,69.2,47.8,8,87.5,60.0,16,1,6.3,0,5.0,Match Report,2018-09-30,18:30 (09:30),La Liga,Matchweek 7,Sun,Home,W,2,1,Alavés,225,332,67.8,4330,1954,95,120,79.2,89,116,76.7,34,79,43.0,1,1.3,1.1,8,27,5,1,37,Match Report,2018-09-30,18:30 (09:30),La Liga,Matchweek 7,Sun,Home,W,2,1,Alavés,332,272,57,17,1,4,18,21,9,7,2,0,225,3,4,Match Report,2018-09-30,18:30 (09:30),La Liga,Matchweek 7,Sun,Home,W,2,1,Alavés,24,19,1,0,0,2,2,4,4,0,0,0,0,0,Match Report,2018-09-30,18:30 (09:30),La Liga,Matchweek 7,Sun,Home,W,2,1,Alavés,11,7,5,5,1,7,11,63.6,4,10,3,7,10,21,15,0,Match Report,2018-09-30,18:30 (09:30),La Liga,Matchweek 7,Sun,Home,W,2,1,Alavés,48,421,34,144,169,118,21,421,8,5,62.5,3,37.5,200,1504,795,21,10,7,14,14,224,37,Match Report,2018-09-30,18:30 (09:30),La Liga,Matchweek 7,Sun,Home,W,2,1,Alavés,7,0,0,22,19,3,18,10,7,0,0,0,56,19,19,50.0,Match Report
2018-10-06,16:15 (07:15),La Liga,Matchweek 8,Sat,Away,W,1,0,Getafe,1,12,3,25.0,0.08,0.33,22.0,2,0,0,1.0,1.0,0.08,0.0,0.0,Match Report,2018-10-06,16:15 (07:15),La Liga,Matchweek 8,Sat,Away,W,1,0,Getafe,4,0,4,100.0,1,0.8,+0.8,0,0,0,0,9,18,50.0,15,1,80.0,61.9,8,75.0,51.5,26,1,3.8,0,6.3,Match Report,2018-10-06,16:15 (07:15),La Liga,Matchweek 8,Sat,Away,W,1,0,Getafe,231,340,67.9,4521,2088,112,139,80.6,76,101,75.2,39,75,52.0,0,0.4,0.2,9,22,4,0,21,Match Report,2018-10-06,16:15 (07:15),La Liga,Matchweek 8,Sat,Away,W,1,0,Getafe,340,284,54,17,0,5,8,26,2,2,0,0,231,2,14,Match Report,2018-10-06,16:15 (07:15),La Liga,Matchweek 8,Sat,Away,W,1,0,Getafe,19,12,1,2,0,2,2,0,0,0,0,0,0,0,Match Report,2018-10-06,16:15 (07:15),La Liga,Matchweek 8,Sat,Away,W,1,0,Getafe,20,12,12,5,3,15,24,62.5,9,20,5,15,11,31,32,0,Match Report,2018-10-06,16:15 (07:15),La Liga,Matchweek 8,Sat,Away,W,1,0,Getafe,46,471,69,183,198,96,9,471,16,8,50.0,8,50.0,201,1260,677,15,7,4,16,13,226,21,Match Report,2018-10-06,16:15 (07:15),La Liga,Matchweek 8,Sat,Away,W,1,0,Getafe,5,0,0,18,16,2,8,11,12,0,0,0,51,21,15,58.3,Match Report
2018-10-20,13:00 (04:00),La Liga,Matchweek 9,Sat,Away,W,2,1,Real Madrid,2,5,1,20.0,0.20,1.00,21.2,0,1,1,2.0,1.3,0.25,0.0,-0.3,Match Report,2018-10-20,13:00 (04:00),La Liga,Matchweek 9,Sat,Away,W,2,1,Real Madrid,12,1,11,91.7,0,2.3,+1.3,0,0,0,0,9,26,34.6,18,3,77.8,52.6,14,85.7,51.1,45,0,0.0,0,8.5,Match Report,2018-10-20,13:00 (04:00),La Liga,Matchweek 9,Sat,Away,W,2,1,Real Madrid,204,293,69.6,3962,1924,84,104,80.8,70,80,87.5,38,73,52.1,1,0.7,0.4,3,10,5,1,14,Match Report,2018-10-20,13:00 (04:00),La Liga,Matchweek 9,Sat,Away,W,2,1,Real Madrid,293,249,39,12,1,3,4,10,1,1,0,0,204,5,11,Match Report,2018-10-20,13:00 (04:00),La Liga,Matchweek 9,Sat,Away,W,2,1,Real Madrid,11,7,0,3,0,1,0,3,2,0,1,0,0,0,Match Report,2018-10-20,13:00 (04:00),La Liga,Matchweek 9,Sat,Away,W,2,1,Real Madrid,15,12,8,5,2,7,21,33.3,14,15,8,7,20,35,35,0,Match Report,2018-10-20,13:00 (04:00),La Liga,Matchweek 9,Sat,Away,W,2,1,Real Madrid,30,424,113,231,152,48,10,423,22,14,63.6,8,36.4,161,1079,643,17,10,2,10,13,202,14,Match Report,2018-10-20,13:00 (04:00),La Liga,Matchweek 9,Sat,Away,W,2,1,Real Madrid,2,0,0,19,8,5,4,20,12,0,0,0,55,7,15,31.8,Match Report
2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,2,0,Leganés,2,9,4,44.4,0.22,0.50,20.0,1,0,0,1.3,1.3,0.14,+0.7,+0.7,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,2,0,Leganés,6,0,6,100.0,1,0.6,+0.6,0,0,0,0,9,25,36.0,23,6,52.2,43.7,14,92.9,52.1,19,1,5.3,0,10.0,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,2,0,Leganés,297,414,71.7,5305,2141,140,163,85.9,97,122,79.5,44,95,46.3,2,1.2,0.4,7,23,4,0,31,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,2,0,Leganés,414,361,53,15,0,9,11,20,3,3,0,0,297,0,10,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,2,0,Leganés,17,13,1,2,0,1,0,4,2,0,2,0,0,0,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,2,0,Leganés,15,12,7,7,1,3,9,33.3,6,15,3,12,14,29,27,0,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,2,0,Leganés,42,535,64,181,244,120,25,535,20,9,45.0,11,55.0,215,1562,776,16,11,6,20,15,294,30,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Home,W,2,0,Leganés,2,0,0,12,12,0,11,14,12,0,0,0,59,11,15,42.3,Match Report
