Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-19,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,L,1.0,4.0,Sevilla,1,12,1,8.3,0.0,0.0,18.7,1.0,1,1,2.1,1.3,0.11,-1.1,-1.3,Match Report,2018-08-19,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,L,1.0,4.0,Sevilla,7,4,3,42.9,0,3.2,-0.8,0,0,0,0,5.0,14.0,35.7,20.0,8.0,40.0,36.8,11.0,54.5,44.7,16.0,1.0,6.3,0.0,6.0,Match Report,2018-08-19,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,L,1.0,4.0,Sevilla,384.0,465.0,82.6,7203.0,2971.0,151.0,173.0,87.3,187.0,214.0,87.4,41.0,63.0,65.1,0,1.0,1.9,9.0,38.0,7.0,4.0,59.0,Match Report,2018-08-19,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,L,1.0,4.0,Sevilla,465.0,400.0,62.0,19.0,1.0,1.0,17,25.0,2.0,1.0,0.0,0.0,384.0,3.0,10.0,Match Report,2018-08-19,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,L,1.0,4.0,Sevilla,26.0,21.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Match Report,2018-08-19,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,L,1.0,4.0,Sevilla,13.0,9,7.0,5.0,1.0,5.0,15.0,33.3,10.0,11.0,3.0,8.0,8,21,27.0,0.0,Match Report,2018-08-19,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,L,1.0,4.0,Sevilla,49.0,567.0,57.0,176.0,261.0,131.0,16.0,566.0,12.0,7.0,58.3,5.0,41.7,358.0,1814.0,921.0,20.0,9.0,3.0,19.0,10.0,384.0,59.0,Match Report,2018-08-19,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,L,1.0,4.0,Sevilla,1,0,0,6,13,3,17,8,9,1,0,0,33.0,12.0,10.0,54.5,Match Report
2018-08-25,20:15 (11:15),La Liga,Matchweek 2,Sat,Away,L,0.0,1.0,Atlético Madrid,0,13,3,23.1,0.0,0.0,16.4,1.0,0,0,1.5,1.5,0.12,-1.5,-1.5,Match Report,2018-08-25,20:15 (11:15),La Liga,Matchweek 2,Sat,Away,L,0.0,1.0,Atlético Madrid,2,1,1,50.0,0,1.1,0.1,0,0,0,0,6.0,12.0,50.0,22.0,3.0,36.4,34.3,6.0,66.7,39.3,17.0,0.0,0.0,3.0,26.7,Match Report,2018-08-25,20:15 (11:15),La Liga,Matchweek 2,Sat,Away,L,0.0,1.0,Atlético Madrid,446.0,548.0,81.4,8024.0,2836.0,220.0,248.0,88.7,168.0,205.0,82.0,52.0,77.0,67.5,0,1.4,0.8,12.0,47.0,8.0,3.0,57.0,Match Report,2018-08-25,20:15 (11:15),La Liga,Matchweek 2,Sat,Away,L,0.0,1.0,Atlético Madrid,548.0,499.0,48.0,10.0,1.0,12.0,23,25.0,5.0,2.0,2.0,0.0,446.0,1.0,11.0,Match Report,2018-08-25,20:15 (11:15),La Liga,Matchweek 2,Sat,Away,L,0.0,1.0,Atlético Madrid,25.0,17.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-08-25,20:15 (11:15),La Liga,Matchweek 2,Sat,Away,L,0.0,1.0,Atlético Madrid,21.0,14,14.0,6.0,1.0,10.0,19.0,52.6,9.0,11.0,2.0,9.0,16,37,27.0,0.0,Match Report,2018-08-25,20:15 (11:15),La Liga,Matchweek 2,Sat,Away,L,0.0,1.0,Atlético Madrid,53.0,672.0,62.0,197.0,329.0,156.0,17.0,672.0,28.0,15.0,53.6,13.0,46.4,413.0,2029.0,1045.0,25.0,10.0,2.0,17.0,18.0,443.0,57.0,Match Report,2018-08-25,20:15 (11:15),La Liga,Matchweek 2,Sat,Away,L,0.0,1.0,Atlético Madrid,1,0,0,8,6,1,23,16,14,0,0,0,60.0,4.0,13.0,23.5,Match Report
2018-09-14,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,W,1.0,0.0,Huesca,1,14,2,14.3,0.07,0.5,21.7,1.0,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report,2018-09-14,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,W,1.0,0.0,Huesca,4,0,4,100.0,1,0.5,0.5,0,0,0,0,4.0,15.0,26.7,29.0,8.0,31.0,31.8,8.0,75.0,51.4,31.0,2.0,6.5,1.0,11.1,Match Report,2018-09-14,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,W,1.0,0.0,Huesca,315.0,401.0,78.6,5741.0,2179.0,135.0,150.0,90.0,137.0,163.0,84.0,33.0,67.0,49.3,1,1.0,1.1,9.0,24.0,7.0,3.0,46.0,Match Report,2018-09-14,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,W,1.0,0.0,Huesca,401.0,358.0,43.0,16.0,1.0,1.0,15,15.0,3.0,1.0,1.0,0.0,315.0,0.0,6.0,Match Report,2018-09-14,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,W,1.0,0.0,Huesca,22.0,17.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-14,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,W,1.0,0.0,Huesca,16.0,10,9.0,6.0,1.0,5.0,14.0,35.7,9.0,8.0,2.0,6.0,14,30,34.0,0.0,Match Report,2018-09-14,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,W,1.0,0.0,Huesca,45.0,532.0,65.0,191.0,239.0,117.0,13.0,532.0,14.0,7.0,50.0,7.0,50.0,331.0,2091.0,1202.0,27.0,19.0,5.0,22.0,8.0,313.0,46.0,Match Report,2018-09-14,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,W,1.0,0.0,Huesca,1,0,0,18,14,0,15,14,10,0,0,0,43.0,13.0,16.0,44.8,Match Report
2018-09-22,13:00 (04:00),La Liga,Matchweek 5,Sat,Home,L,1.0,5.0,Alavés,1,13,4,30.8,0.08,0.25,19.5,0.0,0,0,1.5,1.5,0.12,-0.5,-0.5,Match Report,2018-09-22,13:00 (04:00),La Liga,Matchweek 5,Sat,Home,L,1.0,5.0,Alavés,7,5,2,28.6,0,2.9,-2.1,0,0,0,0,3.0,8.0,37.5,15.0,3.0,40.0,39.9,5.0,40.0,47.0,14.0,0.0,0.0,1.0,17.3,Match Report,2018-09-22,13:00 (04:00),La Liga,Matchweek 5,Sat,Home,L,1.0,5.0,Alavés,344.0,438.0,78.5,6132.0,2347.0,150.0,172.0,87.2,141.0,162.0,87.0,35.0,68.0,51.5,0,0.7,0.4,11.0,32.0,8.0,1.0,52.0,Match Report,2018-09-22,13:00 (04:00),La Liga,Matchweek 5,Sat,Home,L,1.0,5.0,Alavés,438.0,381.0,54.0,15.0,0.0,4.0,28,21.0,8.0,4.0,3.0,0.0,344.0,3.0,9.0,Match Report,2018-09-22,13:00 (04:00),La Liga,Matchweek 5,Sat,Home,L,1.0,5.0,Alavés,24.0,18.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Match Report,2018-09-22,13:00 (04:00),La Liga,Matchweek 5,Sat,Home,L,1.0,5.0,Alavés,13.0,8,7.0,5.0,1.0,3.0,7.0,42.9,4.0,10.0,2.0,8.0,8,21,17.0,0.0,Match Report,2018-09-22,13:00 (04:00),La Liga,Matchweek 5,Sat,Home,L,1.0,5.0,Alavés,52.0,535.0,42.0,129.0,269.0,143.0,23.0,535.0,24.0,12.0,50.0,12.0,50.0,329.0,2181.0,1175.0,29.0,16.0,8.0,16.0,6.0,341.0,51.0,Match Report,2018-09-22,13:00 (04:00),La Liga,Matchweek 5,Sat,Home,L,1.0,5.0,Alavés,1,1,0,14,12,3,28,8,8,0,0,0,51.0,13.0,10.0,56.5,Match Report
2018-09-25,21:00 (12:00),La Liga,Matchweek 6,Tue,Away,D,2.0,2.0,Real Sociedad,2,9,4,44.4,0.11,0.25,19.1,0.0,1,1,2.1,1.3,0.17,-0.1,-0.3,Match Report,2018-09-25,21:00 (12:00),La Liga,Matchweek 6,Tue,Away,D,2.0,2.0,Real Sociedad,6,2,4,66.7,0,2.3,0.3,0,0,0,0,13.0,22.0,59.1,28.0,6.0,60.7,42.1,8.0,62.5,44.9,19.0,0.0,0.0,0.0,,Match Report,2018-09-25,21:00 (12:00),La Liga,Matchweek 6,Tue,Away,D,2.0,2.0,Real Sociedad,303.0,393.0,77.1,5593.0,2185.0,141.0,170.0,82.9,119.0,139.0,85.6,37.0,67.0,55.2,0,0.6,0.7,6.0,26.0,3.0,2.0,31.0,Match Report,2018-09-25,21:00 (12:00),La Liga,Matchweek 6,Tue,Away,D,2.0,2.0,Real Sociedad,393.0,342.0,50.0,17.0,0.0,6.0,14,17.0,5.0,4.0,0.0,0.0,303.0,1.0,7.0,Match Report,2018-09-25,21:00 (12:00),La Liga,Matchweek 6,Tue,Away,D,2.0,2.0,Real Sociedad,15.0,9.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,Match Report,2018-09-25,21:00 (12:00),La Liga,Matchweek 6,Tue,Away,D,2.0,2.0,Real Sociedad,13.0,10,5.0,7.0,1.0,3.0,8.0,37.5,5.0,12.0,2.0,10.0,12,25,24.0,0.0,Match Report,2018-09-25,21:00 (12:00),La Liga,Matchweek 6,Tue,Away,D,2.0,2.0,Real Sociedad,43.0,493.0,59.0,179.0,220.0,104.0,18.0,492.0,15.0,10.0,66.7,5.0,33.3,294.0,1770.0,858.0,23.0,16.0,10.0,12.0,21.0,303.0,31.0,Match Report,2018-09-25,21:00 (12:00),La Liga,Matchweek 6,Tue,Away,D,2.0,2.0,Real Sociedad,3,0,0,18,12,1,14,12,10,1,0,0,53.0,14.0,21.0,40.0,Match Report
2018-09-28,21:00 (12:00),La Liga,Matchweek 7,Fri,Home,D,2.0,2.0,Espanyol,2,10,3,30.0,0.1,0.33,23.4,1.0,1,1,1.3,0.5,0.06,0.7,0.5,Match Report,2018-09-28,21:00 (12:00),La Liga,Matchweek 7,Fri,Home,D,2.0,2.0,Espanyol,5,2,3,60.0,0,1.9,-0.1,0,0,0,0,3.0,11.0,27.3,24.0,8.0,25.0,35.2,9.0,55.6,44.9,12.0,0.0,0.0,0.0,6.3,Match Report,2018-09-28,21:00 (12:00),La Liga,Matchweek 7,Fri,Home,D,2.0,2.0,Espanyol,390.0,483.0,80.7,7478.0,2577.0,159.0,181.0,87.8,181.0,205.0,88.3,49.0,88.0,55.7,1,0.3,0.4,5.0,35.0,4.0,1.0,44.0,Match Report,2018-09-28,21:00 (12:00),La Liga,Matchweek 7,Fri,Home,D,2.0,2.0,Espanyol,483.0,434.0,48.0,14.0,1.0,7.0,25,17.0,5.0,2.0,2.0,0.0,390.0,1.0,10.0,Match Report,2018-09-28,21:00 (12:00),La Liga,Matchweek 7,Fri,Home,D,2.0,2.0,Espanyol,19.0,10.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,Match Report,2018-09-28,21:00 (12:00),La Liga,Matchweek 7,Fri,Home,D,2.0,2.0,Espanyol,23.0,15,12.0,10.0,1.0,8.0,16.0,50.0,8.0,9.0,4.0,5.0,3,26,29.0,1.0,Match Report,2018-09-28,21:00 (12:00),La Liga,Matchweek 7,Fri,Home,D,2.0,2.0,Espanyol,52.0,608.0,66.0,197.0,291.0,127.0,13.0,607.0,22.0,14.0,63.6,8.0,36.4,335.0,2171.0,1129.0,23.0,15.0,4.0,22.0,13.0,387.0,43.0,Match Report,2018-09-28,21:00 (12:00),La Liga,Matchweek 7,Fri,Home,D,2.0,2.0,Espanyol,3,0,0,13,14,1,25,3,15,1,0,0,62.0,10.0,8.0,55.6,Match Report
2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Away,L,0.0,1.0,Leganés,0,6,2,33.3,0.0,0.0,25.8,1.0,0,0,0.4,0.4,0.07,-0.4,-0.4,Match Report,2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Away,L,0.0,1.0,Leganés,4,1,3,75.0,0,1.6,0.6,0,0,0,0,5.0,10.0,50.0,30.0,8.0,16.7,25.4,9.0,55.6,44.1,15.0,0.0,0.0,0.0,14.0,Match Report,2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Away,L,0.0,1.0,Leganés,427.0,537.0,79.5,8601.0,2722.0,142.0,167.0,85.0,206.0,233.0,88.4,64.0,101.0,63.4,0,0.3,0.4,5.0,29.0,6.0,4.0,33.0,Match Report,2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Away,L,0.0,1.0,Leganés,537.0,482.0,53.0,16.0,0.0,8.0,31,22.0,4.0,1.0,2.0,0.0,427.0,2.0,12.0,Match Report,2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Away,L,0.0,1.0,Leganés,12.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Away,L,0.0,1.0,Leganés,14.0,12,7.0,5.0,2.0,5.0,7.0,71.4,2.0,7.0,4.0,3.0,6,20,21.0,0.0,Match Report,2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Away,L,0.0,1.0,Leganés,64.0,624.0,60.0,214.0,284.0,132.0,12.0,624.0,14.0,7.0,50.0,7.0,50.0,411.0,2360.0,1181.0,16.0,12.0,3.0,13.0,8.0,423.0,31.0,Match Report,2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Away,L,0.0,1.0,Leganés,4,1,1,12,10,2,31,6,12,0,0,0,47.0,9.0,18.0,33.3,Match Report
2018-10-21,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,L,1.0,2.0,Getafe,1,10,3,30.0,0.1,0.33,24.5,1.0,0,0,0.4,0.4,0.04,0.6,0.6,Match Report,2018-10-21,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,L,1.0,2.0,Getafe,2,2,1,0.0,0,0.7,-0.3,0,0,0,0,9.0,16.0,56.3,21.0,2.0,38.1,37.6,9.0,88.9,54.0,7.0,0.0,0.0,1.0,17.0,Match Report,2018-10-21,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,L,1.0,2.0,Getafe,327.0,435.0,75.2,6418.0,2469.0,117.0,140.0,83.6,142.0,172.0,82.6,49.0,90.0,54.4,1,0.4,0.3,7.0,16.0,6.0,2.0,33.0,Match Report,2018-10-21,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,L,1.0,2.0,Getafe,435.0,372.0,61.0,28.0,0.0,9.0,25,15.0,6.0,2.0,4.0,0.0,327.0,2.0,8.0,Match Report,2018-10-21,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,L,1.0,2.0,Getafe,18.0,14.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-10-21,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,L,1.0,2.0,Getafe,23.0,18,13.0,8.0,2.0,10.0,14.0,71.4,4.0,5.0,1.0,4.0,4,27,11.0,0.0,Match Report,2018-10-21,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,L,1.0,2.0,Getafe,64.0,550.0,42.0,175.0,255.0,129.0,17.0,550.0,26.0,14.0,53.8,12.0,46.2,321.0,1965.0,1001.0,16.0,13.0,1.0,27.0,12.0,323.0,33.0,Match Report,2018-10-21,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,L,1.0,2.0,Getafe,5,1,1,14,23,2,25,4,18,0,0,1,53.0,14.0,21.0,40.0,Match Report
2018-10-24,19:00 (10:00),La Liga,Matchweek 3,Wed,Home,D,1.0,1.0,Athletic Club,1,11,3,27.3,0.09,0.33,17.1,0.0,0,0,1.3,1.3,0.12,-0.3,-0.3,Match Report,2018-10-24,19:00 (10:00),La Liga,Matchweek 3,Wed,Home,D,1.0,1.0,Athletic Club,4,1,3,75.0,0,1.7,0.7,0,0,0,0,10.0,26.0,38.5,21.0,5.0,71.4,47.1,11.0,100.0,61.7,24.0,0.0,0.0,0.0,,Match Report,2018-10-24,19:00 (10:00),La Liga,Matchweek 3,Wed,Home,D,1.0,1.0,Athletic Club,242.0,335.0,72.2,4835.0,2155.0,105.0,117.0,89.7,91.0,114.0,79.8,41.0,86.0,47.7,1,1.3,1.3,10.0,19.0,4.0,2.0,34.0,Match Report,2018-10-24,19:00 (10:00),La Liga,Matchweek 3,Wed,Home,D,1.0,1.0,Athletic Club,335.0,274.0,61.0,13.0,0.0,2.0,26,30.0,5.0,4.0,1.0,0.0,242.0,0.0,10.0,Match Report,2018-10-24,19:00 (10:00),La Liga,Matchweek 3,Wed,Home,D,1.0,1.0,Athletic Club,22.0,14.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Match Report,2018-10-24,19:00 (10:00),La Liga,Matchweek 3,Wed,Home,D,1.0,1.0,Athletic Club,11.0,8,2.0,8.0,1.0,7.0,16.0,43.8,9.0,11.0,1.0,10.0,16,27,23.0,1.0,Match Report,2018-10-24,19:00 (10:00),La Liga,Matchweek 3,Wed,Home,D,1.0,1.0,Athletic Club,35.0,464.0,62.0,154.0,201.0,115.0,21.0,464.0,36.0,18.0,50.0,18.0,50.0,246.0,1944.0,881.0,25.0,21.0,5.0,23.0,10.0,240.0,34.0,Match Report,2018-10-24,19:00 (10:00),La Liga,Matchweek 3,Wed,Home,D,1.0,1.0,Athletic Club,1,0,0,14,9,0,26,16,8,0,0,0,53.0,10.0,20.0,33.3,Match Report
2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Away,L,1.0,2.0,Girona,1,14,5,35.7,0.07,0.2,18.6,1.0,0,0,1.6,1.6,0.14,-0.6,-0.6,Match Report,2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Away,L,1.0,2.0,Girona,6,2,4,83.3,0,2.5,0.5,1,1,0,0,6.0,19.0,31.6,26.0,2.0,46.2,38.8,10.0,70.0,45.8,11.0,0.0,0.0,1.0,15.3,Match Report,2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Away,L,1.0,2.0,Girona,386.0,498.0,77.5,6834.0,2500.0,180.0,199.0,90.5,170.0,204.0,83.3,31.0,75.0,41.3,0,0.6,0.3,8.0,26.0,4.0,1.0,43.0,Match Report,2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Away,L,1.0,2.0,Girona,498.0,443.0,53.0,13.0,2.0,5.0,29,20.0,7.0,2.0,4.0,0.0,386.0,2.0,12.0,Match Report,2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Away,L,1.0,2.0,Girona,23.0,13.0,2.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Match Report,2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Away,L,1.0,2.0,Girona,15.0,6,8.0,6.0,1.0,2.0,15.0,13.3,13.0,6.0,0.0,6.0,5,20,18.0,1.0,Match Report,2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Away,L,1.0,2.0,Girona,56.0,596.0,60.0,212.0,245.0,144.0,15.0,596.0,26.0,17.0,65.4,9.0,34.6,319.0,1830.0,1078.0,22.0,18.0,5.0,11.0,8.0,382.0,42.0,Match Report,2018-10-27,13:00 (04:00),La Liga,Matchweek 10,Sat,Away,L,1.0,2.0,Girona,3,0,0,16,11,2,29,5,6,0,1,0,55.0,13.0,18.0,41.9,Match Report
