Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Away,D,0,0,Girona,0,2,1,50.0,0.00,0.00,30.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Match Report,2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Away,D,0,0,Girona,1,0,1,100.0,1,0.0,0.0,0,0,0,0,7,35,20.0,29,3,79.3,50.0,12,100.0,64.3,20,1,5.0,0,8.0,Match Report,2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Away,D,0,0,Girona,195,315,61.9,4176,1837,72,100,72.0,95,115,82.6,28,89,31.5,0,0.0,0.2,1,12,0,0,12,Match Report,2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Away,D,0,0,Girona,315,256,58,22,0,3,15,21,2,2,0,0,195,1,5,Match Report,2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Away,D,0,0,Girona,3,1,1,1,0,0,0,0,0,0,0,0,0,0,Match Report,2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Away,D,0,0,Girona,27,15,16,8,3,14,30,46.7,16,8,2,6,10,37,33,0,Match Report,2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Away,D,0,0,Girona,33,418,74,202,161,62,4,418,14,9,64.3,5,35.7,174,1220,624,12,8,3,10,7,193,12,Match Report,2018-08-17,20:15 (11:15),La Liga,Matchweek 1,Fri,Away,D,0,0,Girona,1,0,0,20,17,1,15,10,15,0,0,0,52,18,34,34.6,Match Report
2018-08-25,22:15 (13:15),La Liga,Matchweek 2,Sat,Home,L,0,1,Barcelona,0,7,4,57.1,0.00,0.00,21.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report,2018-08-25,22:15 (13:15),La Liga,Matchweek 2,Sat,Home,L,0,1,Barcelona,5,1,4,80.0,0,1.6,+0.6,0,0,0,0,8,26,30.8,23,4,60.9,44.0,12,100.0,62.9,11,1,9.1,1,12.0,Match Report,2018-08-25,22:15 (13:15),La Liga,Matchweek 2,Sat,Home,L,0,1,Barcelona,259,358,72.3,5150,2099,101,112,90.2,119,142,83.8,34,82,41.5,0,0.4,0.5,6,23,6,1,31,Match Report,2018-08-25,22:15 (13:15),La Liga,Matchweek 2,Sat,Home,L,0,1,Barcelona,358,314,42,12,1,7,20,10,6,2,3,1,259,2,12,Match Report,2018-08-25,22:15 (13:15),La Liga,Matchweek 2,Sat,Home,L,0,1,Barcelona,11,8,1,1,0,0,1,0,0,0,0,0,0,0,Match Report,2018-08-25,22:15 (13:15),La Liga,Matchweek 2,Sat,Home,L,0,1,Barcelona,23,14,15,6,2,6,18,33.3,12,16,1,15,14,37,22,0,Match Report,2018-08-25,22:15 (13:15),La Liga,Matchweek 2,Sat,Home,L,0,1,Barcelona,36,477,77,197,193,102,14,477,9,4,44.4,5,55.6,238,1402,697,15,11,3,16,4,258,31,Match Report,2018-08-25,22:15 (13:15),La Liga,Matchweek 2,Sat,Home,L,0,1,Barcelona,1,0,0,13,9,2,20,14,14,0,0,0,58,9,12,42.9,Match Report
2018-08-31,20:00 (11:00),La Liga,Matchweek 3,Fri,Away,D,0,0,Getafe,0,7,4,57.1,0.00,0.00,21.0,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Match Report,2018-08-31,20:00 (11:00),La Liga,Matchweek 3,Fri,Away,D,0,0,Getafe,3,0,3,100.0,1,0.9,+0.9,0,0,0,0,3,25,12.0,24,5,75.0,48.5,7,100.0,66.9,20,2,10.0,0,4.7,Match Report,2018-08-31,20:00 (11:00),La Liga,Matchweek 3,Fri,Away,D,0,0,Getafe,238,372,64.0,4367,1763,92,116,79.3,112,144,77.8,29,92,31.5,0,0.2,0.2,4,13,2,2,14,Match Report,2018-08-31,20:00 (11:00),La Liga,Matchweek 3,Fri,Away,D,0,0,Getafe,372,306,65,23,0,3,16,27,7,1,3,1,238,1,7,Match Report,2018-08-31,20:00 (11:00),La Liga,Matchweek 3,Fri,Away,D,0,0,Getafe,13,9,1,1,1,1,0,0,0,0,0,0,0,0,Match Report,2018-08-31,20:00 (11:00),La Liga,Matchweek 3,Fri,Away,D,0,0,Getafe,25,18,14,7,4,13,22,59.1,9,13,5,8,12,37,31,0,Match Report,2018-08-31,20:00 (11:00),La Liga,Matchweek 3,Fri,Away,D,0,0,Getafe,46,506,68,226,204,79,8,506,5,3,60.0,2,40.0,205,1265,547,9,7,2,22,13,238,14,Match Report,2018-08-31,20:00 (11:00),La Liga,Matchweek 3,Fri,Away,D,0,0,Getafe,1,0,0,14,21,1,16,12,18,0,0,0,61,12,28,30.0,Match Report
2018-09-16,18:30 (09:30),La Liga,Matchweek 4,Sun,Home,L,0,1,Alavés,0,15,5,33.3,0.00,0.00,23.5,4,0,0,1.1,1.1,0.07,-1.1,-1.1,Match Report,2018-09-16,18:30 (09:30),La Liga,Matchweek 4,Sun,Home,L,0,1,Alavés,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,5,13,38.5,23,8,34.8,32.5,7,71.4,54.4,11,1,9.1,0,6.0,Match Report,2018-09-16,18:30 (09:30),La Liga,Matchweek 4,Sun,Home,L,0,1,Alavés,417,519,80.3,8436,2556,153,176,86.9,191,216,88.4,68,115,59.1,0,0.8,0.7,11,36,5,1,53,Match Report,2018-09-16,18:30 (09:30),La Liga,Matchweek 4,Sun,Home,L,0,1,Alavés,519,476,42,8,1,8,29,18,7,3,3,0,417,1,6,Match Report,2018-09-16,18:30 (09:30),La Liga,Matchweek 4,Sun,Home,L,0,1,Alavés,28,17,2,4,1,4,0,0,0,0,0,0,0,0,Match Report,2018-09-16,18:30 (09:30),La Liga,Matchweek 4,Sun,Home,L,0,1,Alavés,9,6,6,3,0,1,4,25.0,3,6,2,4,11,20,21,0,Match Report,2018-09-16,18:30 (09:30),La Liga,Matchweek 4,Sun,Home,L,0,1,Alavés,58,611,44,183,299,134,15,611,18,12,66.7,6,33.3,339,2227,1408,24,18,6,13,12,415,53,Match Report,2018-09-16,18:30 (09:30),La Liga,Matchweek 4,Sun,Home,L,0,1,Alavés,3,0,0,9,12,1,29,11,6,0,0,0,53,22,21,51.2,Match Report
2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,D,3,3,Celta Vigo,3,14,4,28.6,0.21,0.75,18.9,0,0,0,2.1,2.1,0.15,+0.9,+0.9,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,D,3,3,Celta Vigo,5,3,2,40.0,0,2.3,-0.7,0,0,0,0,6,13,46.2,19,0,52.6,38.4,3,100.0,57.7,12,0,0.0,0,7.5,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,D,3,3,Celta Vigo,398,509,78.2,6908,2426,170,195,87.2,171,207,82.6,40,71,56.3,3,2.1,1.8,14,33,9,2,51,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,D,3,3,Celta Vigo,509,465,43,11,1,2,27,17,8,3,4,0,398,1,16,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,D,3,3,Celta Vigo,28,22,2,0,1,2,1,6,6,0,0,0,0,0,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,D,3,3,Celta Vigo,24,14,8,12,4,6,14,42.9,8,13,4,9,8,32,13,0,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,D,3,3,Celta Vigo,53,611,49,173,267,177,20,611,17,8,47.1,9,52.9,363,1940,910,13,13,2,9,7,396,51,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,D,3,3,Celta Vigo,2,0,0,11,8,1,27,8,14,0,0,0,64,13,19,40.6,Match Report
2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Home,W,2,1,Levante,2,20,6,30.0,0.10,0.33,21.3,0,0,0,1.0,1.0,0.05,+1.0,+1.0,Match Report,2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Home,W,2,1,Levante,4,1,3,75.0,0,1.0,0.0,0,0,0,0,5,15,33.3,15,2,66.7,46.0,5,100.0,69.4,19,1,5.3,0,12.0,Match Report,2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Home,W,2,1,Levante,448,539,83.1,7868,2597,216,233,92.7,166,190,87.4,53,90,58.9,2,0.9,1.5,19,40,5,2,52,Match Report,2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Home,W,2,1,Levante,539,487,50,11,0,9,30,24,8,1,2,1,448,2,6,Match Report,2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Home,W,2,1,Levante,39,33,3,2,1,0,0,4,2,1,0,1,0,0,Match Report,2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Home,W,2,1,Levante,21,16,6,9,6,9,16,56.3,7,6,4,2,10,31,18,0,Match Report,2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Home,W,2,1,Levante,64,640,48,168,249,227,29,640,14,10,71.4,4,28.6,372,2270,1294,40,26,14,13,11,444,52,Match Report,2018-09-27,20:00 (11:00),La Liga,Matchweek 6,Thu,Home,W,2,1,Levante,1,0,0,17,10,2,30,10,16,0,0,0,51,8,14,36.4,Match Report
2018-09-30,16:15 (07:15),La Liga,Matchweek 7,Sun,Away,W,1,0,Villarreal,1,9,3,33.3,0.11,0.33,18.3,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Match Report,2018-09-30,16:15 (07:15),La Liga,Matchweek 7,Sun,Away,W,1,0,Villarreal,7,0,6,100.0,1,1.2,+1.2,1,0,1,0,7,23,30.4,22,4,59.1,45.8,10,100.0,63.3,29,0,0.0,0,3.0,Match Report,2018-09-30,16:15 (07:15),La Liga,Matchweek 7,Sun,Away,W,1,0,Villarreal,273,365,74.8,4883,2066,134,153,87.6,90,110,81.8,39,82,47.6,0,0.2,0.1,5,18,2,0,23,Match Report,2018-09-30,16:15 (07:15),La Liga,Matchweek 7,Sun,Away,W,1,0,Villarreal,365,320,42,17,1,2,5,12,2,0,1,0,273,3,4,Match Report,2018-09-30,16:15 (07:15),La Liga,Matchweek 7,Sun,Away,W,1,0,Villarreal,15,8,2,0,4,1,0,2,0,1,0,0,1,0,Match Report,2018-09-30,16:15 (07:15),La Liga,Matchweek 7,Sun,Away,W,1,0,Villarreal,19,13,15,4,0,5,13,38.5,8,14,7,7,17,36,31,0,Match Report,2018-09-30,16:15 (07:15),La Liga,Matchweek 7,Sun,Away,W,1,0,Villarreal,38,492,77,245,183,70,11,492,12,6,50.0,6,50.0,231,1455,838,16,9,5,13,8,270,23,Match Report,2018-09-30,16:15 (07:15),La Liga,Matchweek 7,Sun,Away,W,1,0,Villarreal,3,0,0,12,16,3,5,17,13,0,1,0,56,9,24,27.3,Match Report
2018-10-07,12:00 (03:00),La Liga,Matchweek 8,Sun,Home,W,1,0,Huesca,1,9,3,33.3,0.11,0.33,22.1,2,0,0,0.8,0.8,0.09,+0.2,+0.2,Match Report,2018-10-07,12:00 (03:00),La Liga,Matchweek 8,Sun,Home,W,1,0,Huesca,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,2,24,8.3,22,2,68.2,48.8,9,100.0,68.1,16,3,18.8,0,8.6,Match Report,2018-10-07,12:00 (03:00),La Liga,Matchweek 8,Sun,Home,W,1,0,Huesca,305,413,73.8,5742,2229,128,148,86.5,132,162,81.5,39,79,49.4,0,0.5,0.5,5,29,2,1,29,Match Report,2018-10-07,12:00 (03:00),La Liga,Matchweek 8,Sun,Home,W,1,0,Huesca,413,357,51,11,0,1,15,24,6,1,3,0,305,5,9,Match Report,2018-10-07,12:00 (03:00),La Liga,Matchweek 8,Sun,Home,W,1,0,Huesca,14,7,2,1,1,2,1,2,1,0,0,0,1,0,Match Report,2018-10-07,12:00 (03:00),La Liga,Matchweek 8,Sun,Home,W,1,0,Huesca,15,11,4,10,1,8,11,72.7,3,12,2,10,4,19,28,0,Match Report,2018-10-07,12:00 (03:00),La Liga,Matchweek 8,Sun,Home,W,1,0,Huesca,43,514,56,168,232,117,13,514,10,4,40.0,6,60.0,234,1460,761,18,12,9,12,12,304,29,Match Report,2018-10-07,12:00 (03:00),La Liga,Matchweek 8,Sun,Home,W,1,0,Huesca,1,0,0,9,10,5,15,4,11,0,0,0,53,16,26,38.1,Match Report
2018-10-21,20:45 (11:45),La Liga,Matchweek 9,Sun,Away,W,1,0,Betis,1,6,2,33.3,0.17,0.50,23.6,1,0,0,0.4,0.4,0.07,+0.6,+0.6,Match Report,2018-10-21,20:45 (11:45),La Liga,Matchweek 9,Sun,Away,W,1,0,Betis,4,0,4,100.0,1,0.4,+0.4,0,0,0,0,5,27,18.5,22,4,63.6,48.3,13,100.0,64.4,18,0,0.0,0,10.5,Match Report,2018-10-21,20:45 (11:45),La Liga,Matchweek 9,Sun,Away,W,1,0,Betis,276,377,73.2,4917,1963,127,149,85.2,111,139,79.9,31,66,47.0,1,0.4,0.2,4,12,2,0,25,Match Report,2018-10-21,20:45 (11:45),La Liga,Matchweek 9,Sun,Away,W,1,0,Betis,377,330,43,9,2,3,7,14,6,2,0,0,276,4,7,Match Report,2018-10-21,20:45 (11:45),La Liga,Matchweek 9,Sun,Away,W,1,0,Betis,11,9,1,0,0,1,0,2,2,0,0,0,0,0,Match Report,2018-10-21,20:45 (11:45),La Liga,Matchweek 9,Sun,Away,W,1,0,Betis,21,12,16,4,1,6,23,26.1,17,18,9,9,10,31,40,0,Match Report,2018-10-21,20:45 (11:45),La Liga,Matchweek 9,Sun,Away,W,1,0,Betis,38,502,94,221,212,77,6,502,14,8,57.1,6,42.9,283,1423,765,12,8,1,17,6,275,25,Match Report,2018-10-21,20:45 (11:45),La Liga,Matchweek 9,Sun,Away,W,1,0,Betis,4,0,0,10,7,4,7,10,12,0,0,0,51,13,13,50.0,Match Report
2018-10-26,21:00 (12:00),La Liga,Matchweek 10,Fri,Home,D,1,1,Espanyol,1,15,2,13.3,0.07,0.50,20.0,1,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report,2018-10-26,21:00 (12:00),La Liga,Matchweek 10,Fri,Home,D,1,1,Espanyol,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,3,8,37.5,27,7,18.5,28.5,7,42.9,37.0,9,1,11.1,0,9.3,Match Report,2018-10-26,21:00 (12:00),La Liga,Matchweek 10,Fri,Home,D,1,1,Espanyol,438,531,82.5,8034,2540,197,215,91.6,173,202,85.6,54,82,65.9,0,0.6,1.0,8,39,8,2,56,Match Report,2018-10-26,21:00 (12:00),La Liga,Matchweek 10,Fri,Home,D,1,1,Espanyol,531,476,50,19,0,10,24,17,5,2,1,0,438,5,11,Match Report,2018-10-26,21:00 (12:00),La Liga,Matchweek 10,Fri,Home,D,1,1,Espanyol,26,22,0,1,0,2,1,2,0,0,1,0,1,0,Match Report,2018-10-26,21:00 (12:00),La Liga,Matchweek 10,Fri,Home,D,1,1,Espanyol,14,6,7,5,2,3,10,30.0,7,17,4,13,11,25,13,0,Match Report,2018-10-26,21:00 (12:00),La Liga,Matchweek 10,Fri,Home,D,1,1,Espanyol,55,641,52,170,294,180,20,641,21,11,52.4,10,47.6,414,2486,1535,35,21,5,14,15,437,56,Match Report,2018-10-26,21:00 (12:00),La Liga,Matchweek 10,Fri,Home,D,1,1,Espanyol,4,0,0,16,14,5,24,11,6,0,0,0,58,11,13,45.8,Match Report
