Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-07-25,21:00 (12:00),Europa Lg,Second qualifying round,Thu,Home,W,4,0,is Stjarnan,4,,,,,,,,0,0,,,,,,Match Report,2019-07-25,21:00 (12:00),Europa Lg,Second qualifying round,Thu,Home,W,4,0,is Stjarnan,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-07-25,21:00 (12:00),Europa Lg,Second qualifying round,Thu,Home,W,4,0,is Stjarnan,,,,,,,,,,,,,,,4,,,,,,,,Match Report,2019-07-25,21:00 (12:00),Europa Lg,Second qualifying round,Thu,Home,W,4,0,is Stjarnan,,,,,,,,,,,,,,,,Match Report,2019-07-25,21:00 (12:00),Europa Lg,Second qualifying round,Thu,Home,W,4,0,is Stjarnan,,,,,,,,,,,,,,,Match Report,2019-07-25,21:00 (12:00),Europa Lg,Second qualifying round,Thu,Home,W,4,0,is Stjarnan,,,,,,,,,,,,,,0,,,Match Report,2019-07-25,21:00 (12:00),Europa Lg,Second qualifying round,Thu,Home,W,4,0,is Stjarnan,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-07-25,21:00 (12:00),Europa Lg,Second qualifying round,Thu,Home,W,4,0,is Stjarnan,0,0,0,,,,,,,,,0,,,,,Match Report
2019-08-01,19:15 (12:15),Europa Lg,Second qualifying round,Thu,Away,W,3,1,is Stjarnan,3,,,,,,,,0,0,,,,,,Match Report,2019-08-01,19:15 (12:15),Europa Lg,Second qualifying round,Thu,Away,W,3,1,is Stjarnan,,1,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-08-01,19:15 (12:15),Europa Lg,Second qualifying round,Thu,Away,W,3,1,is Stjarnan,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2019-08-01,19:15 (12:15),Europa Lg,Second qualifying round,Thu,Away,W,3,1,is Stjarnan,,,,,,,,,,,,,,,,Match Report,2019-08-01,19:15 (12:15),Europa Lg,Second qualifying round,Thu,Away,W,3,1,is Stjarnan,,,,,,,,,,,,,,,Match Report,2019-08-01,19:15 (12:15),Europa Lg,Second qualifying round,Thu,Away,W,3,1,is Stjarnan,,,,,,,,,,,,,,0,,,Match Report,2019-08-01,19:15 (12:15),Europa Lg,Second qualifying round,Thu,Away,W,3,1,is Stjarnan,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-08-01,19:15 (12:15),Europa Lg,Second qualifying round,Thu,Away,W,3,1,is Stjarnan,1,0,0,,,,,,,,,0,,,,,Match Report
2019-08-08,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Away,W,3,0,ch Luzern,3,,,,,,,,0,0,,,,,,Match Report,2019-08-08,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Away,W,3,0,ch Luzern,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-08-08,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Away,W,3,0,ch Luzern,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2019-08-08,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Away,W,3,0,ch Luzern,,,,,,,,,,,,,,,,Match Report,2019-08-08,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Away,W,3,0,ch Luzern,,,,,,,,,,,,,,,Match Report,2019-08-08,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Away,W,3,0,ch Luzern,,,,,,,,,,,,,,0,,,Match Report,2019-08-08,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Away,W,3,0,ch Luzern,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-08-08,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Away,W,3,0,ch Luzern,3,0,0,,,,,,,,,0,,,,,Match Report
2019-08-15,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ch Luzern,3,,,,,,,,0,0,,,,,,Match Report,2019-08-15,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ch Luzern,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-08-15,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ch Luzern,,,,,,,,,,,,,,,3,,,,,,,,Match Report,2019-08-15,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ch Luzern,,,,,,,,,,,,,,,,Match Report,2019-08-15,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ch Luzern,,,,,,,,,,,,,,,Match Report,2019-08-15,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ch Luzern,,,,,,,,,,,,,,0,,,Match Report,2019-08-15,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ch Luzern,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-08-15,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ch Luzern,0,0,0,,,,,,,,,0,,,,,Match Report
2019-08-18,19:00 (10:00),La Liga,Matchweek 1,Sun,Home,L,0,2,Sevilla,0,7,2,28.6,0.00,0.00,22.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Match Report,2019-08-18,19:00 (10:00),La Liga,Matchweek 1,Sun,Home,L,0,2,Sevilla,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,3,9,33.3,22,5,18.2,26.1,9,55.6,43.7,7,0,0.0,0,7.0,Match Report,2019-08-18,19:00 (10:00),La Liga,Matchweek 1,Sun,Home,L,0,2,Sevilla,356,459,77.6,6476,2076,131,157,83.4,187,213,87.8,29,60,48.3,0,0.1,0.2,5,19,1,1,20,Match Report,2019-08-18,19:00 (10:00),La Liga,Matchweek 1,Sun,Home,L,0,2,Sevilla,459,394,63,20,1,1,14,23,8,3,3,0,356,2,10,Match Report,2019-08-18,19:00 (10:00),La Liga,Matchweek 1,Sun,Home,L,0,2,Sevilla,13,10,2,0,1,0,0,0,0,0,0,0,0,0,Match Report,2019-08-18,19:00 (10:00),La Liga,Matchweek 1,Sun,Home,L,0,2,Sevilla,13,9,6,5,2,3,16,18.8,13,8,2,6,10,23,12,1,Match Report,2019-08-18,19:00 (10:00),La Liga,Matchweek 1,Sun,Home,L,0,2,Sevilla,45,536,53,200,254,88,5,536,5,3,60.0,2,40.0,299,1483,717,9,9,0,15,9,352,20,Match Report,2019-08-18,19:00 (10:00),La Liga,Matchweek 1,Sun,Home,L,0,2,Sevilla,2,0,0,11,17,2,14,10,9,0,0,0,38,17,15,53.1,Match Report
2019-08-22,21:00 (12:00),Europa Lg,Play-off round,Thu,Home,W,3,1,ua Zorya Luhansk,3,26,8,30.8,0.12,0.38,,,0,1,,,,,,Match Report,2019-08-22,21:00 (12:00),Europa Lg,Play-off round,Thu,Home,W,3,1,ua Zorya Luhansk,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-08-22,21:00 (12:00),Europa Lg,Play-off round,Thu,Home,W,3,1,ua Zorya Luhansk,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2019-08-22,21:00 (12:00),Europa Lg,Play-off round,Thu,Home,W,3,1,ua Zorya Luhansk,,,,,,,28,,,,,,,,,Match Report,2019-08-22,21:00 (12:00),Europa Lg,Play-off round,Thu,Home,W,3,1,ua Zorya Luhansk,,,,,,,,,,,,,,,Match Report,2019-08-22,21:00 (12:00),Europa Lg,Play-off round,Thu,Home,W,3,1,ua Zorya Luhansk,,11,,,,,,,,,,,12,0,,,Match Report,2019-08-22,21:00 (12:00),Europa Lg,Play-off round,Thu,Home,W,3,1,ua Zorya Luhansk,64,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-08-22,21:00 (12:00),Europa Lg,Play-off round,Thu,Home,W,3,1,ua Zorya Luhansk,1,0,0,5,8,2,28,12,11,,,0,,,,,Match Report
2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Alavés,0,5,1,20.0,0.00,0.00,19.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Match Report,2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Alavés,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,2,6,33.3,27,6,14.8,25.2,7,28.6,34.1,10,1,10.0,0,13.5,Match Report,2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Alavés,515,621,82.9,9287,2960,193,225,85.8,270,298,90.6,46,77,59.7,0,0.2,0.2,5,36,1,0,36,Match Report,2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Alavés,621,569,51,15,1,1,15,23,5,2,3,0,515,1,8,Match Report,2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Alavés,10,5,2,2,0,1,0,0,0,0,0,0,0,0,Match Report,2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Alavés,21,11,14,7,0,9,19,47.4,10,5,0,5,7,28,26,1,Match Report,2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Alavés,63,730,67,271,345,119,9,730,24,16,66.7,8,33.3,449,2261,1067,19,10,3,15,9,509,35,Match Report,2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Alavés,1,0,0,10,12,1,15,7,11,0,0,0,55,14,15,48.3,Match Report
2019-08-29,20:00 (10:00),Europa Lg,Play-off round,Thu,Away,D,2,2,ua Zorya Luhansk,2,7,5,71.4,0.29,0.40,,,0,0,,,,,,Match Report,2019-08-29,20:00 (10:00),Europa Lg,Play-off round,Thu,Away,D,2,2,ua Zorya Luhansk,7,2,5,71.4,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-08-29,20:00 (10:00),Europa Lg,Play-off round,Thu,Away,D,2,2,ua Zorya Luhansk,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2019-08-29,20:00 (10:00),Europa Lg,Play-off round,Thu,Away,D,2,2,ua Zorya Luhansk,,,,,,,1,,,,,,,,,Match Report,2019-08-29,20:00 (10:00),Europa Lg,Play-off round,Thu,Away,D,2,2,ua Zorya Luhansk,,,,,,,,,,,,,,,Match Report,2019-08-29,20:00 (10:00),Europa Lg,Play-off round,Thu,Away,D,2,2,ua Zorya Luhansk,,8,,,,,,,,,,,6,0,,,Match Report,2019-08-29,20:00 (10:00),Europa Lg,Play-off round,Thu,Away,D,2,2,ua Zorya Luhansk,51,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-08-29,20:00 (10:00),Europa Lg,Play-off round,Thu,Away,D,2,2,ua Zorya Luhansk,0,0,0,22,12,2,1,6,8,,,0,,,,,Match Report
2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,L,0,3,Granada,0,15,3,20.0,0.00,0.00,15.3,0,0,0,1.4,1.4,0.10,-1.4,-1.4,Match Report,2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,L,0,3,Granada,5,3,2,40.0,0,1.4,-1.6,0,0,0,0,4,7,57.1,28,3,17.9,26.1,3,66.7,44.0,7,1,14.3,3,18.4,Match Report,2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,L,0,3,Granada,541,650,83.2,10091,3389,218,238,91.6,265,302,87.7,51,86,59.3,0,1.4,1.0,14,40,14,5,60,Match Report,2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,L,0,3,Granada,650,599,51,14,0,6,31,22,8,1,5,0,541,0,4,Match Report,2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,L,0,3,Granada,27,20,2,0,4,0,1,0,0,0,0,0,0,0,Match Report,2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,L,0,3,Granada,8,4,3,3,2,1,10,10.0,9,12,6,6,7,15,11,1,Match Report,2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,L,0,3,Granada,67,745,51,191,350,211,37,745,10,5,50.0,5,50.0,459,2657,1153,22,16,10,13,21,538,60,Match Report,2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,L,0,3,Granada,2,0,0,6,12,0,31,7,4,0,0,0,46,20,23,46.5,Match Report
2019-09-15,12:00 (03:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Eibar,2,7,2,28.6,0.29,1.00,16.8,0,0,0,1.8,1.8,0.25,+0.2,+0.2,Match Report,2019-09-15,12:00 (03:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Eibar,1,1,0,0.0,0,0.8,-0.2,0,0,0,0,8,41,19.5,34,0,76.5,52.6,15,100.0,64.0,28,1,3.6,0,11.0,Match Report,2019-09-15,12:00 (03:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Eibar,183,323,56.7,3381,1452,77,96,80.2,81,119,68.1,18,80,22.5,1,0.8,0.3,4,5,2,0,7,Match Report,2019-09-15,12:00 (03:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Eibar,323,261,59,16,2,2,5,24,2,0,0,0,183,3,8,Match Report,2019-09-15,12:00 (03:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Eibar,10,8,0,1,0,0,1,4,2,0,1,0,0,1,Match Report,2019-09-15,12:00 (03:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Eibar,21,14,12,9,0,9,16,56.3,7,12,3,9,8,29,32,0,Match Report,2019-09-15,12:00 (03:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Eibar,42,437,82,223,160,61,9,437,5,3,60.0,2,40.0,156,799,423,11,1,4,13,5,182,7,Match Report,2019-09-15,12:00 (03:00),La Liga,Matchweek 4,Sun,Away,W,2,1,Eibar,4,1,1,16,13,3,5,8,14,0,0,0,49,21,26,44.7,Match Report
