For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,For Cádiz_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,For Cádiz_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-12,21:00 (12:00),La Liga,Matchweek 1,Sat,Home,L,0,2,Osasuna,0,12,3,25.0,0.00,0.00,18.2,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report,2020-09-12,21:00 (12:00),La Liga,Matchweek 1,Sat,Home,L,0,2,Osasuna,4,2,2,50.0,0,1.2,-0.8,0,0,0,0,4,29,13.8,29,3,72.4,46.8,9,88.9,60.1,8,0,0.0,0,10.7,Match Report,2020-09-12,21:00 (12:00),La Liga,Matchweek 1,Sat,Home,L,0,2,Osasuna,266,408,65.2,4737,1961,116,146,79.5,97,135,71.9,35,97,36.1,0,0.6,0.6,10,17,8,3,34,Match Report,2020-09-12,21:00 (12:00),La Liga,Matchweek 1,Sat,Home,L,0,2,Osasuna,408,351,55,21,0,7,25,16,6,3,2,0,266,2,6,Match Report,2020-09-12,21:00 (12:00),La Liga,Matchweek 1,Sat,Home,L,0,2,Osasuna,22,15,3,1,1,2,0,0,0,0,0,0,0,0,Match Report,2020-09-12,21:00 (12:00),La Liga,Matchweek 1,Sat,Home,L,0,2,Osasuna,18,12,9,6,3,13,17,76.5,4,4,0,4,11,29,12,0,Match Report,2020-09-12,21:00 (12:00),La Liga,Matchweek 1,Sat,Home,L,0,2,Osasuna,52,514,46,176,238,107,18,514,17,11,64.7,6,35.3,247,1397,751,14,9,2,17,8,263,34,Match Report,2020-09-12,21:00 (12:00),La Liga,Matchweek 1,Sat,Home,L,0,2,Osasuna,2,0,0,14,21,2,25,11,12,0,0,0,59,24,39,38.1,Match Report
2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Away,W,2,0,Huesca,2,6,4,66.7,0.33,0.50,18.6,0,0,0,1.2,1.2,0.20,+0.8,+0.8,Match Report,2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Away,W,2,0,Huesca,1,0,0,100.0,1,0.2,+0.2,0,0,0,0,7,33,21.2,28,1,92.9,58.5,7,100.0,67.3,17,0,0.0,0,,Match Report,2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Away,W,2,0,Huesca,160,270,59.3,3446,1465,62,82,75.6,69,93,74.2,29,88,33.0,1,0.7,0.2,4,15,2,1,14,Match Report,2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Away,W,2,0,Huesca,270,219,51,22,1,4,14,20,1,0,0,0,160,0,5,Match Report,2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Away,W,2,0,Huesca,12,6,1,2,0,1,2,4,3,0,1,0,0,0,Match Report,2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Away,W,2,0,Huesca,18,11,9,8,1,3,14,21.4,11,11,1,10,15,33,15,0,Match Report,2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Away,W,2,0,Huesca,30,371,44,146,168,64,7,371,18,9,50.0,9,50.0,171,1054,466,17,7,2,12,10,158,14,Match Report,2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Away,W,2,0,Huesca,3,0,0,23,16,0,14,15,11,0,0,0,55,14,18,43.8,Match Report
2020-09-27,18:30 (09:30),La Liga,Matchweek 3,Sun,Home,L,1,3,Sevilla,1,12,5,41.7,0.08,0.20,20.6,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Match Report,2020-09-27,18:30 (09:30),La Liga,Matchweek 3,Sun,Home,L,1,3,Sevilla,5,3,2,40.0,0,2.7,-0.3,0,0,0,0,15,27,55.6,25,2,76.0,49.1,8,100.0,59.0,15,0,0.0,4,27.0,Match Report,2020-09-27,18:30 (09:30),La Liga,Matchweek 3,Sun,Home,L,1,3,Sevilla,144,246,58.5,3146,1914,53,72,73.6,48,75,64.0,32,72,44.4,1,1.0,0.7,6,10,7,3,22,Match Report,2020-09-27,18:30 (09:30),La Liga,Matchweek 3,Sun,Home,L,1,3,Sevilla,246,200,46,16,0,6,23,12,6,4,2,0,144,0,5,Match Report,2020-09-27,18:30 (09:30),La Liga,Matchweek 3,Sun,Home,L,1,3,Sevilla,20,13,2,2,2,1,0,2,2,0,0,0,0,0,Match Report,2020-09-27,18:30 (09:30),La Liga,Matchweek 3,Sun,Home,L,1,3,Sevilla,19,12,10,9,0,11,18,61.1,7,6,1,5,10,29,16,0,Match Report,2020-09-27,18:30 (09:30),La Liga,Matchweek 3,Sun,Home,L,1,3,Sevilla,25,344,48,135,110,107,20,344,12,10,83.3,2,16.7,142,677,351,10,9,4,14,5,143,22,Match Report,2020-09-27,18:30 (09:30),La Liga,Matchweek 3,Sun,Home,L,1,3,Sevilla,4,0,0,9,13,0,23,10,12,0,0,0,45,19,15,55.9,Match Report
2020-10-01,19:00 (10:00),La Liga,Matchweek 4,Thu,Away,W,1,0,Athletic Club,0,3,1,33.3,0.00,0.00,15.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Match Report,2020-10-01,19:00 (10:00),La Liga,Matchweek 4,Thu,Away,W,1,0,Athletic Club,4,0,4,100.0,1,0.5,+0.5,0,0,0,0,15,39,38.5,30,0,80.0,51.9,16,93.8,67.1,25,3,12.0,2,14.5,Match Report,2020-10-01,19:00 (10:00),La Liga,Matchweek 4,Thu,Away,W,1,0,Athletic Club,138,232,59.5,2997,1931,54,77,70.1,32,49,65.3,33,73,45.2,0,0.1,0.1,2,12,5,0,17,Match Report,2020-10-01,19:00 (10:00),La Liga,Matchweek 4,Thu,Away,W,1,0,Athletic Club,232,177,53,21,0,3,6,13,2,2,0,0,138,2,5,Match Report,2020-10-01,19:00 (10:00),La Liga,Matchweek 4,Thu,Away,W,1,0,Athletic Club,5,3,1,0,0,0,1,0,0,0,0,0,0,0,Match Report,2020-10-01,19:00 (10:00),La Liga,Matchweek 4,Thu,Away,W,1,0,Athletic Club,14,5,7,4,3,4,18,22.2,14,10,2,8,11,25,31,0,Match Report,2020-10-01,19:00 (10:00),La Liga,Matchweek 4,Thu,Away,W,1,0,Athletic Club,28,347,76,162,120,71,10,347,9,4,44.4,5,55.6,147,938,338,4,5,1,21,3,136,17,Match Report,2020-10-01,19:00 (10:00),La Liga,Matchweek 4,Thu,Away,W,1,0,Athletic Club,5,2,2,16,13,2,6,11,5,0,0,0,32,16,20,44.4,Match Report
2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Home,D,1,1,Granada,1,14,4,28.6,0.07,0.25,19.8,2,0,0,1.0,1.0,0.08,0.0,0.0,Match Report,2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Home,D,1,1,Granada,5,1,4,80.0,0,1.4,+0.4,0,0,0,0,7,16,43.8,18,1,72.2,47.1,4,75.0,59.0,17,0,0.0,0,10.3,Match Report,2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Home,D,1,1,Granada,247,341,72.4,4747,2103,97,114,85.1,112,142,78.9,30,61,49.2,1,0.8,0.4,8,16,8,6,27,Match Report,2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Home,D,1,1,Granada,341,299,42,15,0,2,15,19,2,1,1,0,247,0,6,Match Report,2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Home,D,1,1,Granada,23,13,2,1,3,3,1,1,0,0,0,1,0,0,Match Report,2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Home,D,1,1,Granada,17,11,11,4,2,8,21,38.1,13,10,4,6,14,31,20,0,Match Report,2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Home,D,1,1,Granada,42,472,51,177,179,122,16,472,19,12,63.2,7,36.8,229,1198,540,11,13,0,19,16,244,26,Match Report,2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Home,D,1,1,Granada,2,0,0,16,15,0,15,14,11,0,0,0,60,20,13,60.6,Match Report
2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Away,W,1,0,Real Madrid,1,14,4,28.6,0.07,0.25,14.9,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Match Report,2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Away,W,1,0,Real Madrid,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,17,41,41.5,23,0,100.0,63.3,18,100.0,69.8,24,3,12.5,0,7.3,Match Report,2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Away,W,1,0,Real Madrid,133,239,55.6,3512,2233,49,61,80.3,38,65,58.5,44,97,45.4,1,1.3,0.7,11,16,8,6,14,Match Report,2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Away,W,1,0,Real Madrid,239,182,56,13,1,4,26,13,11,7,4,0,133,1,10,Match Report,2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Away,W,1,0,Real Madrid,20,14,4,1,1,0,0,2,2,0,0,0,0,0,Match Report,2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Away,W,1,0,Real Madrid,14,8,9,4,1,5,18,27.8,13,8,2,6,17,31,26,0,Match Report,2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Away,W,1,0,Real Madrid,25,346,84,157,102,90,16,346,5,2,40.0,3,60.0,97,580,244,5,6,1,15,6,129,14,Match Report,2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Away,W,1,0,Real Madrid,0,0,0,5,7,1,26,17,8,0,0,0,44,19,15,55.9,Match Report
2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Home,D,0,0,Villarreal,0,5,0,0.0,0.00,,18.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Match Report,2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Home,D,0,0,Villarreal,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,5,25,20.0,24,3,75.0,48.3,7,100.0,64.6,16,1,6.3,2,17.0,Match Report,2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Home,D,0,0,Villarreal,166,265,62.6,3093,1184,82,101,81.2,53,81,65.4,28,73,38.4,0,0.2,0.2,3,9,6,3,13,Match Report,2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Home,D,0,0,Villarreal,265,222,42,9,0,5,17,25,0,0,0,0,166,1,3,Match Report,2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Home,D,0,0,Villarreal,9,7,1,0,0,1,0,0,0,0,0,0,0,0,Match Report,2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Home,D,0,0,Villarreal,10,5,6,3,1,2,10,20.0,8,11,2,9,11,21,21,0,Match Report,2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Home,D,0,0,Villarreal,25,350,57,130,137,85,11,350,10,5,50.0,5,50.0,155,968,450,10,9,1,16,8,166,13,Match Report,2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Home,D,0,0,Villarreal,2,0,0,14,6,1,17,11,5,0,0,0,36,15,14,51.7,Match Report
2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Away,W,2,0,Eibar,2,6,4,66.7,0.33,0.50,16.9,0,0,0,1.0,1.0,0.16,+1.0,+1.0,Match Report,2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Away,W,2,0,Eibar,3,0,3,100.0,1,0.6,+0.6,0,0,0,0,13,29,44.8,22,0,95.5,55.1,9,88.9,53.8,29,1,3.4,0,5.3,Match Report,2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Away,W,2,0,Eibar,127,279,45.5,3053,1831,43,78,55.1,45,90,50.0,34,96,35.4,2,1.0,0.5,5,13,4,0,16,Match Report,2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Away,W,2,0,Eibar,279,227,50,11,1,8,9,27,2,1,1,0,127,2,3,Match Report,2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Away,W,2,0,Eibar,9,7,1,0,0,0,1,3,3,0,0,0,0,0,Match Report,2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Away,W,2,0,Eibar,16,10,9,6,1,9,16,56.3,7,11,1,10,13,29,29,0,Match Report,2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Away,W,2,0,Eibar,28,403,71,197,146,66,12,403,9,1,11.1,8,88.9,157,946,372,7,4,0,20,5,125,15,Match Report,2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Away,W,2,0,Eibar,1,0,0,10,10,2,9,13,10,0,0,0,62,24,29,45.3,Match Report
2020-11-07,21:00 (12:00),La Liga,Matchweek 9,Sat,Away,L,0,4,Atlético Madrid,0,10,3,30.0,0.00,0.00,23.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2020-11-07,21:00 (12:00),La Liga,Matchweek 9,Sat,Away,L,0,4,Atlético Madrid,7,4,3,42.9,0,2.9,-1.1,0,0,0,0,8,18,44.4,23,4,65.2,42.3,3,100.0,63.0,4,1,25.0,0,11.0,Match Report,2020-11-07,21:00 (12:00),La Liga,Matchweek 9,Sat,Away,L,0,4,Atlético Madrid,281,392,71.7,5543,1895,117,138,84.8,118,149,79.2,42,87,48.3,0,0.3,0.3,5,29,2,1,30,Match Report,2020-11-07,21:00 (12:00),La Liga,Matchweek 9,Sat,Away,L,0,4,Atlético Madrid,392,345,46,13,0,12,32,18,7,2,5,0,281,1,8,Match Report,2020-11-07,21:00 (12:00),La Liga,Matchweek 9,Sat,Away,L,0,4,Atlético Madrid,20,12,2,3,0,2,1,0,0,0,0,0,0,0,Match Report,2020-11-07,21:00 (12:00),La Liga,Matchweek 9,Sat,Away,L,0,4,Atlético Madrid,19,9,10,7,2,3,11,27.3,8,7,5,2,12,31,10,2,Match Report,2020-11-07,21:00 (12:00),La Liga,Matchweek 9,Sat,Away,L,0,4,Atlético Madrid,33,468,44,147,224,104,9,468,17,12,70.6,5,29.4,233,1482,861,14,9,4,6,7,280,29,Match Report,2020-11-07,21:00 (12:00),La Liga,Matchweek 9,Sat,Away,L,0,4,Atlético Madrid,1,0,0,9,9,1,32,12,9,0,0,0,53,9,18,33.3,Match Report
2020-11-22,16:15 (07:15),La Liga,Matchweek 10,Sun,Home,L,0,1,Real Sociedad,0,2,0,0.0,0.00,,26.2,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Match Report,2020-11-22,16:15 (07:15),La Liga,Matchweek 10,Sun,Home,L,0,1,Real Sociedad,3,1,2,66.7,0,0.3,-0.7,0,0,0,0,10,24,41.7,20,2,75.0,52.4,9,100.0,64.9,16,0,0.0,0,5.5,Match Report,2020-11-22,16:15 (07:15),La Liga,Matchweek 10,Sun,Home,L,0,1,Real Sociedad,177,289,61.2,3399,1669,69,95,72.6,71,92,77.2,25,66,37.9,0,0.0,0.1,0,19,0,0,21,Match Report,2020-11-22,16:15 (07:15),La Liga,Matchweek 10,Sun,Home,L,0,1,Real Sociedad,289,231,55,17,0,0,12,26,1,1,0,0,177,3,12,Match Report,2020-11-22,16:15 (07:15),La Liga,Matchweek 10,Sun,Home,L,0,1,Real Sociedad,3,1,0,0,0,1,1,0,0,0,0,0,0,0,Match Report,2020-11-22,16:15 (07:15),La Liga,Matchweek 10,Sun,Home,L,0,1,Real Sociedad,27,15,15,11,1,13,19,68.4,6,10,4,6,12,39,17,0,Match Report,2020-11-22,16:15 (07:15),La Liga,Matchweek 10,Sun,Home,L,0,1,Real Sociedad,33,391,53,140,176,79,2,391,13,8,61.5,5,38.5,181,940,369,9,6,3,14,8,176,21,Match Report,2020-11-22,16:15 (07:15),La Liga,Matchweek 10,Sun,Home,L,0,1,Real Sociedad,2,0,0,14,13,3,12,12,15,0,0,0,42,15,14,51.7,Match Report
