Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-12,16:00 (07:00),La Liga,Matchweek 1,Sat,Home,D,0,0,Celta Vigo,0,8,1,12.5,0.00,0.00,21.5,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report,2020-09-12,16:00 (07:00),La Liga,Matchweek 1,Sat,Home,D,0,0,Celta Vigo,3,0,3,100.0,1,0.4,+0.4,0,0,0,0,14,26,53.8,25,5,80.0,54.9,7,85.7,67.9,8,0,0.0,2,33.0,Match Report,2020-09-12,16:00 (07:00),La Liga,Matchweek 1,Sat,Home,D,0,0,Celta Vigo,210,393,53.4,4716,2483,82,132,62.1,85,142,59.9,40,105,38.1,0,0.2,0.6,2,21,3,2,26,Match Report,2020-09-12,16:00 (07:00),La Liga,Matchweek 1,Sat,Home,D,0,0,Celta Vigo,393,327,66,17,0,3,19,38,3,2,1,0,210,0,8,Match Report,2020-09-12,16:00 (07:00),La Liga,Matchweek 1,Sat,Home,D,0,0,Celta Vigo,12,10,0,0,0,2,0,0,0,0,0,0,0,0,Match Report,2020-09-12,16:00 (07:00),La Liga,Matchweek 1,Sat,Home,D,0,0,Celta Vigo,15,13,7,6,2,5,15,33.3,10,8,0,8,5,20,15,0,Match Report,2020-09-12,16:00 (07:00),La Liga,Matchweek 1,Sat,Home,D,0,0,Celta Vigo,50,493,39,141,217,139,12,493,11,5,45.5,6,54.5,173,836,354,11,6,1,17,9,204,25,Match Report,2020-09-12,16:00 (07:00),La Liga,Matchweek 1,Sat,Home,D,0,0,Celta Vigo,4,1,1,17,13,0,19,5,13,0,0,0,55,43,25,63.2,Match Report
2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Away,L,1,2,Villarreal,1,12,4,33.3,0.08,0.25,18.1,0,0,0,1.5,1.5,0.13,-0.5,-0.5,Match Report,2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Away,L,1,2,Villarreal,7,2,5,71.4,0,3.0,+1.0,0,0,0,0,12,28,42.9,30,5,66.7,48.1,8,100.0,77.8,12,0,0.0,2,23.5,Match Report,2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Away,L,1,2,Villarreal,241,357,67.5,5150,2240,86,112,76.8,106,132,80.3,41,87,47.1,1,1.3,0.4,8,25,5,2,27,Match Report,2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Away,L,1,2,Villarreal,357,306,46,13,1,5,23,19,3,1,1,0,241,5,7,Match Report,2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Away,L,1,2,Villarreal,20,15,0,3,2,0,0,2,1,0,1,0,0,0,Match Report,2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Away,L,1,2,Villarreal,19,9,6,9,4,7,18,38.9,11,9,1,8,11,30,13,0,Match Report,2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Away,L,1,2,Villarreal,42,463,46,133,215,124,13,463,19,11,57.9,8,42.1,220,1295,579,11,11,3,17,4,239,27,Match Report,2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Away,L,1,2,Villarreal,1,0,0,12,5,5,23,11,9,0,0,0,50,17,22,43.6,Match Report
2020-09-27,14:00 (05:00),La Liga,Matchweek 3,Sun,Home,L,1,2,Athletic Club,1,7,1,14.3,0.14,1.00,18.5,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Match Report,2020-09-27,14:00 (05:00),La Liga,Matchweek 3,Sun,Home,L,1,2,Athletic Club,5,2,3,60.0,0,2.4,+0.4,0,0,0,0,10,26,38.5,22,4,72.7,53.7,10,100.0,70.4,12,0,0.0,0,10.7,Match Report,2020-09-27,14:00 (05:00),La Liga,Matchweek 3,Sun,Home,L,1,2,Athletic Club,237,393,60.3,4724,2114,102,126,81.0,80,124,64.5,43,108,39.8,1,0.6,0.4,5,12,6,5,20,Match Report,2020-09-27,14:00 (05:00),La Liga,Matchweek 3,Sun,Home,L,1,2,Athletic Club,393,324,64,16,0,5,26,30,5,0,5,0,237,5,11,Match Report,2020-09-27,14:00 (05:00),La Liga,Matchweek 3,Sun,Home,L,1,2,Athletic Club,14,12,2,0,0,0,0,2,1,1,0,0,0,0,Match Report,2020-09-27,14:00 (05:00),La Liga,Matchweek 3,Sun,Home,L,1,2,Athletic Club,13,7,5,7,1,4,10,40.0,6,6,1,5,16,29,22,0,Match Report,2020-09-27,14:00 (05:00),La Liga,Matchweek 3,Sun,Home,L,1,2,Athletic Club,49,498,51,165,222,114,7,498,6,5,83.3,1,16.7,196,931,346,7,8,0,22,9,235,20,Match Report,2020-09-27,14:00 (05:00),La Liga,Matchweek 3,Sun,Home,L,1,2,Athletic Club,1,0,0,15,12,5,26,16,7,0,0,0,49,32,42,43.2,Match Report
2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,L,0,1,Elche,0,11,4,36.4,0.00,0.00,21.7,1,0,1,1.2,0.5,0.04,-1.2,-0.5,Match Report,2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,L,0,1,Elche,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,6,12,50.0,27,3,40.7,35.8,4,25.0,35.5,6,0,0.0,4,22.1,Match Report,2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,L,0,1,Elche,455,583,78.0,9118,3132,194,220,88.2,176,217,81.1,82,135,60.7,0,0.4,0.6,9,48,9,4,65,Match Report,2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,L,0,1,Elche,583,527,56,13,0,10,42,34,3,0,2,0,455,0,6,Match Report,2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,L,0,1,Elche,23,20,1,0,1,1,0,0,0,0,0,0,0,0,Match Report,2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,L,0,1,Elche,17,12,5,7,5,9,23,39.1,14,11,2,9,26,43,7,0,Match Report,2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,L,0,1,Elche,61,683,38,149,333,207,15,682,14,9,64.3,5,35.7,374,1909,1003,15,10,1,15,9,450,64,Match Report,2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,L,0,1,Elche,2,0,0,9,13,0,42,26,12,0,0,0,57,18,18,50.0,Match Report
2020-10-03,13:00 (04:00),La Liga,Matchweek 5,Sat,Away,W,2,1,Valladolid,2,10,4,40.0,0.10,0.25,20.5,1,1,1,1.7,0.9,0.09,+0.3,+0.1,Match Report,2020-10-03,13:00 (04:00),La Liga,Matchweek 5,Sat,Away,W,2,1,Valladolid,3,1,1,66.7,0,1.6,+0.6,1,0,1,0,7,27,25.9,20,4,85.0,56.1,10,100.0,72.4,14,0,0.0,0,6.0,Match Report,2020-10-03,13:00 (04:00),La Liga,Matchweek 5,Sat,Away,W,2,1,Valladolid,219,350,62.6,4329,1821,96,124,77.4,76,111,68.5,40,90,44.4,1,0.7,0.5,5,21,6,2,25,Match Report,2020-10-03,13:00 (04:00),La Liga,Matchweek 5,Sat,Away,W,2,1,Valladolid,350,298,51,11,0,4,19,24,4,3,1,0,219,1,10,Match Report,2020-10-03,13:00 (04:00),La Liga,Matchweek 5,Sat,Away,W,2,1,Valladolid,17,11,2,1,2,1,0,3,2,0,1,0,0,0,Match Report,2020-10-03,13:00 (04:00),La Liga,Matchweek 5,Sat,Away,W,2,1,Valladolid,19,10,16,2,1,4,10,40.0,6,9,2,7,8,27,14,0,Match Report,2020-10-03,13:00 (04:00),La Liga,Matchweek 5,Sat,Away,W,2,1,Valladolid,47,442,48,151,198,95,17,441,13,9,69.2,4,30.8,157,1017,560,15,5,2,8,11,219,25,Match Report,2020-10-03,13:00 (04:00),La Liga,Matchweek 5,Sat,Away,W,2,1,Valladolid,3,1,0,21,9,1,19,8,10,0,1,0,51,22,12,64.7,Match Report
2020-10-18,12:00 (03:00),La Liga,Matchweek 6,Sun,Home,D,0,0,Osasuna,0,10,6,60.0,0.00,0.00,21.7,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Match Report,2020-10-18,12:00 (03:00),La Liga,Matchweek 6,Sun,Home,D,0,0,Osasuna,2,0,2,100.0,1,0.6,+0.6,0,0,0,0,4,23,17.4,19,4,78.9,50.9,8,100.0,68.9,18,1,5.6,0,8.3,Match Report,2020-10-18,12:00 (03:00),La Liga,Matchweek 6,Sun,Home,D,0,0,Osasuna,250,417,60.0,4641,1827,115,143,80.4,89,135,65.9,38,113,33.6,0,0.2,0.2,6,20,4,0,31,Match Report,2020-10-18,12:00 (03:00),La Liga,Matchweek 6,Sun,Home,D,0,0,Osasuna,417,360,56,15,0,6,28,26,6,3,2,0,250,1,7,Match Report,2020-10-18,12:00 (03:00),La Liga,Matchweek 6,Sun,Home,D,0,0,Osasuna,18,11,1,4,0,2,0,0,0,0,0,0,0,0,Match Report,2020-10-18,12:00 (03:00),La Liga,Matchweek 6,Sun,Home,D,0,0,Osasuna,9,5,7,1,1,2,10,20.0,8,6,2,4,7,16,28,1,Match Report,2020-10-18,12:00 (03:00),La Liga,Matchweek 6,Sun,Home,D,0,0,Osasuna,52,523,55,158,223,146,9,523,16,13,81.3,3,18.8,220,1133,514,9,6,4,15,18,249,30,Match Report,2020-10-18,12:00 (03:00),La Liga,Matchweek 6,Sun,Home,D,0,0,Osasuna,2,0,0,14,14,1,28,7,5,0,0,0,50,29,44,39.7,Match Report
2020-10-24,18:30 (09:30),La Liga,Matchweek 7,Sat,Away,W,1,0,Sevilla,1,3,1,33.3,0.33,1.00,19.7,0,0,0,0.2,0.2,0.07,+0.8,+0.8,Match Report,2020-10-24,18:30 (09:30),La Liga,Matchweek 7,Sat,Away,W,1,0,Sevilla,3,0,3,100.0,1,0.3,+0.3,0,0,0,0,11,27,40.7,17,2,94.1,58.4,11,100.0,80.9,36,0,0.0,0,10.0,Match Report,2020-10-24,18:30 (09:30),La Liga,Matchweek 7,Sat,Away,W,1,0,Sevilla,201,295,68.1,4075,1888,85,104,81.7,78,100,78.0,33,76,43.4,1,0.2,0.3,3,18,7,4,22,Match Report,2020-10-24,18:30 (09:30),La Liga,Matchweek 7,Sat,Away,W,1,0,Sevilla,295,251,44,13,1,6,16,16,3,1,2,0,201,0,5,Match Report,2020-10-24,18:30 (09:30),La Liga,Matchweek 7,Sat,Away,W,1,0,Sevilla,6,6,0,0,0,0,0,2,2,0,0,0,0,0,Match Report,2020-10-24,18:30 (09:30),La Liga,Matchweek 7,Sat,Away,W,1,0,Sevilla,13,10,10,3,0,3,17,17.6,14,14,4,10,23,36,36,0,Match Report,2020-10-24,18:30 (09:30),La Liga,Matchweek 7,Sat,Away,W,1,0,Sevilla,28,420,79,164,167,97,8,420,16,8,50.0,8,50.0,197,972,389,13,8,1,12,9,201,22,Match Report,2020-10-24,18:30 (09:30),La Liga,Matchweek 7,Sat,Away,W,1,0,Sevilla,3,0,0,12,11,0,16,23,10,0,0,0,55,29,12,70.7,Match Report
2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Home,L,0,2,Cádiz,0,9,3,33.3,0.00,0.00,17.3,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report,2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Home,L,0,2,Cádiz,4,2,2,50.0,0,1.7,-0.3,0,0,0,0,6,11,54.5,23,2,43.5,40.0,2,50.0,47.5,5,0,0.0,0,15.7,Match Report,2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Home,L,0,2,Cádiz,561,713,78.7,10973,3605,210,248,84.7,254,296,85.8,84,133,63.2,0,0.4,0.8,6,55,9,6,71,Match Report,2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Home,L,0,2,Cádiz,713,654,57,12,0,10,37,33,7,3,4,0,561,2,12,Match Report,2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Home,L,0,2,Cádiz,15,13,0,0,1,0,1,0,0,0,0,0,0,0,Match Report,2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Home,L,0,2,Cádiz,13,10,9,2,2,8,9,88.9,1,2,0,2,10,23,12,0,Match Report,2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Home,L,0,2,Cádiz,72,815,40,192,401,227,16,815,16,7,43.8,9,56.3,483,2530,1366,22,15,3,24,7,558,71,Match Report,2020-10-30,21:00 (13:00),La Liga,Matchweek 8,Fri,Home,L,0,2,Cádiz,1,0,0,10,9,2,37,10,10,0,0,0,72,29,24,54.7,Match Report
2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1,1,Huesca,1,8,3,37.5,0.13,0.33,22.6,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Match Report,2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1,1,Huesca,5,1,4,80.0,0,1.7,+0.7,0,0,0,0,9,28,32.1,25,2,84.0,59.7,9,77.8,61.3,26,2,7.7,1,11.0,Match Report,2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1,1,Huesca,271,388,69.8,5733,2116,92,106,86.8,127,163,77.9,48,102,47.1,1,0.9,0.9,7,19,2,1,26,Match Report,2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1,1,Huesca,388,326,62,22,0,4,17,26,3,1,2,0,271,0,6,Match Report,2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1,1,Huesca,12,11,1,0,0,0,0,2,1,1,0,0,0,0,Match Report,2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1,1,Huesca,11,5,3,7,1,4,11,36.4,7,6,1,5,16,27,24,0,Match Report,2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1,1,Huesca,41,491,56,131,246,117,7,491,7,2,28.6,5,71.4,266,1220,540,12,8,2,17,6,270,26,Match Report,2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1,1,Huesca,0,0,0,30,13,0,17,16,5,0,0,0,41,15,20,42.9,Match Report
2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Home,D,0,0,Getafe,0,14,4,28.6,0.00,0.00,18.3,0,0,0,1.3,1.3,0.10,-1.3,-1.3,Match Report,2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Home,D,0,0,Getafe,3,0,3,100.0,1,0.3,+0.3,0,0,0,0,11,26,42.3,26,3,76.9,54.3,6,100.0,73.0,17,1,5.9,1,11.8,Match Report,2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Home,D,0,0,Getafe,205,356,57.6,4529,2254,82,116,70.7,69,108,63.9,50,113,44.2,0,0.8,0.3,9,17,6,1,29,Match Report,2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Home,D,0,0,Getafe,356,299,55,23,0,5,22,22,3,0,3,0,205,2,11,Match Report,2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Home,D,0,0,Getafe,22,10,2,4,3,3,0,0,0,0,0,0,0,0,Match Report,2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Home,D,0,0,Getafe,9,4,6,1,2,3,8,37.5,5,4,1,3,16,25,14,0,Match Report,2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Home,D,0,0,Getafe,51,454,51,174,167,121,15,454,23,18,78.3,5,21.7,191,858,418,9,8,2,20,3,204,29,Match Report,2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Home,D,0,0,Getafe,3,1,1,16,20,2,22,16,4,0,0,0,48,30,27,52.6,Match Report
