Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-19,18:30 (09:30),La Liga,Matchweek 2,Sat,Home,W,1.0,0.0,Osasuna,1,6.0,1.0,16.7,0.17,1.0,18.7,0.0,0,0,0.6,0.6,0.1,0.4,0.4,Match Report,2020-09-19,18:30 (09:30),La Liga,Matchweek 2,Sat,Home,W,1.0,0.0,Osasuna,3.0,0,3.0,100.0,1,0.7,0.7,0,0,0,0,9.0,31.0,29.0,36.0,2.0,72.2,45.8,10.0,50.0,40.4,7.0,1.0,14.3,1.0,15.3,Match Report,2020-09-19,18:30 (09:30),La Liga,Matchweek 2,Sat,Home,W,1.0,0.0,Osasuna,303.0,485.0,62.5,5743.0,2379.0,130.0,169.0,76.9,125.0,179.0,69.8,39.0,107.0,36.4,0,0.2,0.7,5.0,21.0,6.0,4.0,35.0,Match Report,2020-09-19,18:30 (09:30),La Liga,Matchweek 2,Sat,Home,W,1.0,0.0,Osasuna,485.0,418.0,65.0,15.0,0.0,4.0,28.0,35.0,4.0,2.0,0.0,0.0,303.0,2.0,10.0,Match Report,2020-09-19,18:30 (09:30),La Liga,Matchweek 2,Sat,Home,W,1.0,0.0,Osasuna,11.0,9.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Match Report,2020-09-19,18:30 (09:30),La Liga,Matchweek 2,Sat,Home,W,1.0,0.0,Osasuna,7.0,5.0,2.0,4.0,1.0,1.0,6.0,16.7,5.0,7.0,1.0,6.0,10.0,17,13.0,0.0,Match Report,2020-09-19,18:30 (09:30),La Liga,Matchweek 2,Sat,Home,W,1.0,0.0,Osasuna,55.0,573.0,45.0,179.0,255.0,142.0,17.0,573.0,9.0,7.0,77.8,2.0,22.2,274.0,1370.0,664.0,16.0,9.0,7.0,22.0,9.0,297.0,34.0,Match Report,2020-09-19,18:30 (09:30),La Liga,Matchweek 2,Sat,Home,W,1.0,0.0,Osasuna,4,0,0,19.0,13.0,2.0,28.0,10.0,5.0,0.0,0.0,0,59.0,31.0,39.0,44.3,Match Report
2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Away,D,0.0,0.0,Alavés,0,11.0,4.0,36.4,0.0,0.0,15.4,1.0,0,0,1.1,1.1,0.1,-1.1,-1.1,Match Report,2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Away,D,0.0,0.0,Alavés,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,12.0,34.0,35.3,32.0,0.0,81.3,52.3,9.0,88.9,54.7,8.0,1.0,12.5,5.0,21.1,Match Report,2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Away,D,0.0,0.0,Alavés,266.0,409.0,65.0,5064.0,2256.0,108.0,135.0,80.0,109.0,148.0,73.6,39.0,98.0,39.8,0,1.1,0.9,9.0,25.0,9.0,7.0,28.0,Match Report,2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Away,D,0.0,0.0,Alavés,409.0,347.0,59.0,13.0,0.0,5.0,23.0,31.0,5.0,3.0,1.0,0.0,266.0,3.0,8.0,Match Report,2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Away,D,0.0,0.0,Alavés,21.0,15.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Away,D,0.0,0.0,Alavés,18.0,12.0,8.0,9.0,1.0,7.0,8.0,87.5,1.0,10.0,1.0,9.0,9.0,27,24.0,0.0,Match Report,2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Away,D,0.0,0.0,Alavés,53.0,535.0,58.0,167.0,226.0,146.0,15.0,535.0,18.0,9.0,50.0,9.0,50.0,249.0,1573.0,647.0,8.0,13.0,0.0,27.0,9.0,261.0,28.0,Match Report,2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Away,D,0.0,0.0,Alavés,2,0,0,13.0,11.0,3.0,23.0,9.0,12.0,0.0,0.0,0,50.0,22.0,34.0,39.3,Match Report
2020-09-29,21:30 (12:30),La Liga,Matchweek 4,Tue,Home,W,3.0,0.0,Betis,3,8.0,4.0,50.0,0.38,0.75,21.7,0.0,0,0,0.8,0.8,0.1,2.2,2.2,Match Report,2020-09-29,21:30 (12:30),La Liga,Matchweek 4,Tue,Home,W,3.0,0.0,Betis,2.0,0,2.0,100.0,1,0.3,0.3,0,0,0,0,8.0,28.0,28.6,22.0,0.0,95.5,60.3,7.0,100.0,62.3,11.0,0.0,0.0,0.0,5.0,Match Report,2020-09-29,21:30 (12:30),La Liga,Matchweek 4,Tue,Home,W,3.0,0.0,Betis,179.0,306.0,58.5,3449.0,1619.0,94.0,113.0,83.2,46.0,78.0,59.0,33.0,85.0,38.8,3,0.7,0.3,6.0,17.0,3.0,3.0,17.0,Match Report,2020-09-29,21:30 (12:30),La Liga,Matchweek 4,Tue,Home,W,3.0,0.0,Betis,306.0,252.0,51.0,16.0,1.0,4.0,10.0,26.0,1.0,0.0,1.0,0.0,179.0,3.0,12.0,Match Report,2020-09-29,21:30 (12:30),La Liga,Matchweek 4,Tue,Home,W,3.0,0.0,Betis,14.0,8.0,2.0,2.0,0.0,2.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,Match Report,2020-09-29,21:30 (12:30),La Liga,Matchweek 4,Tue,Home,W,3.0,0.0,Betis,21.0,16.0,5.0,15.0,1.0,9.0,27.0,33.3,18.0,15.0,4.0,11.0,7.0,28,17.0,0.0,Match Report,2020-09-29,21:30 (12:30),La Liga,Matchweek 4,Tue,Home,W,3.0,0.0,Betis,31.0,415.0,40.0,142.0,184.0,97.0,13.0,415.0,18.0,12.0,66.7,6.0,33.3,154.0,780.0,449.0,14.0,4.0,7.0,13.0,13.0,177.0,17.0,Match Report,2020-09-29,21:30 (12:30),La Liga,Matchweek 4,Tue,Home,W,3.0,0.0,Betis,4,0,0,15.0,17.0,3.0,10.0,7.0,16.0,0.0,0.0,0,67.0,16.0,20.0,44.4,Match Report
2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Real Sociedad,0,5.0,1.0,20.0,0.0,0.0,24.9,2.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Match Report,2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Real Sociedad,6.0,3,3.0,66.7,0,2.8,-0.2,1,1,0,0,11.0,33.0,33.3,28.0,0.0,96.4,53.7,9.0,66.7,43.9,12.0,1.0,8.3,1.0,18.7,Match Report,2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Real Sociedad,237.0,377.0,62.9,4639.0,1906.0,92.0,118.0,78.0,87.0,122.0,71.3,41.0,97.0,42.3,0,0.3,0.3,3.0,12.0,3.0,1.0,20.0,Match Report,2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Real Sociedad,377.0,308.0,66.0,23.0,0.0,6.0,13.0,26.0,4.0,1.0,1.0,0.0,237.0,3.0,12.0,Match Report,2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Real Sociedad,9.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Real Sociedad,21.0,13.0,6.0,13.0,2.0,7.0,16.0,43.8,9.0,15.0,3.0,12.0,9.0,30,20.0,0.0,Match Report,2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Real Sociedad,46.0,493.0,52.0,130.0,272.0,94.0,8.0,493.0,16.0,5.0,31.3,11.0,68.8,205.0,941.0,284.0,7.0,7.0,1.0,17.0,8.0,235.0,20.0,Match Report,2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Real Sociedad,3,0,0,13.0,20.0,3.0,13.0,9.0,13.0,0.0,1.0,0,50.0,21.0,26.0,44.7,Match Report
2020-10-17,21:00 (12:00),La Liga,Matchweek 6,Sat,Home,W,1.0,0.0,Barcelona,1,8.0,3.0,37.5,0.0,0.0,20.1,1.0,1,1,1.6,0.8,0.11,-0.6,-0.8,Match Report,2020-10-17,21:00 (12:00),La Liga,Matchweek 6,Sat,Home,W,1.0,0.0,Barcelona,1.0,0,1.0,100.0,1,0.1,0.1,0,0,0,0,7.0,27.0,25.9,20.0,0.0,95.0,54.1,8.0,100.0,58.9,4.0,2.0,50.0,0.0,6.0,Match Report,2020-10-17,21:00 (12:00),La Liga,Matchweek 6,Sat,Home,W,1.0,0.0,Barcelona,143.0,256.0,55.9,2872.0,1329.0,58.0,86.0,67.4,47.0,61.0,77.0,29.0,80.0,36.3,0,0.7,0.5,5.0,12.0,6.0,2.0,23.0,Match Report,2020-10-17,21:00 (12:00),La Liga,Matchweek 6,Sat,Home,W,1.0,0.0,Barcelona,256.0,211.0,44.0,11.0,1.0,4.0,21.0,17.0,7.0,3.0,2.0,0.0,143.0,1.0,7.0,Match Report,2020-10-17,21:00 (12:00),La Liga,Matchweek 6,Sat,Home,W,1.0,0.0,Barcelona,14.0,10.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Match Report,2020-10-17,21:00 (12:00),La Liga,Matchweek 6,Sat,Home,W,1.0,0.0,Barcelona,21.0,12.0,11.0,10.0,0.0,5.0,27.0,18.5,22.0,8.0,1.0,7.0,14.0,35,13.0,0.0,Match Report,2020-10-17,21:00 (12:00),La Liga,Matchweek 6,Sat,Home,W,1.0,0.0,Barcelona,28.0,341.0,36.0,103.0,145.0,98.0,19.0,340.0,8.0,6.0,75.0,2.0,25.0,134.0,1061.0,489.0,9.0,12.0,4.0,9.0,12.0,143.0,23.0,Match Report,2020-10-17,21:00 (12:00),La Liga,Matchweek 6,Sat,Home,W,1.0,0.0,Barcelona,4,0,0,20.0,8.0,1.0,21.0,14.0,12.0,1.0,0.0,0,42.0,8.0,19.0,29.6,Match Report
2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Home,L,0.0,1.0,Granada,0,10.0,1.0,10.0,0.0,0.0,18.4,1.0,0,0,0.9,0.9,0.09,-0.9,-0.9,Match Report,2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Home,L,0.0,1.0,Granada,2.0,1,1.0,100.0,0,1.1,0.1,1,1,0,0,14.0,26.0,53.8,30.0,0.0,83.3,46.5,3.0,33.3,38.7,7.0,0.0,0.0,0.0,,Match Report,2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Home,L,0.0,1.0,Granada,285.0,440.0,64.8,5606.0,2491.0,128.0,171.0,74.9,79.0,125.0,63.2,63.0,108.0,58.3,0,0.8,1.3,7.0,24.0,6.0,4.0,36.0,Match Report,2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Home,L,0.0,1.0,Granada,440.0,364.0,73.0,23.0,0.0,9.0,47.0,39.0,6.0,2.0,2.0,0.0,285.0,3.0,10.0,Match Report,2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Home,L,0.0,1.0,Granada,18.0,8.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Home,L,0.0,1.0,Granada,11.0,8.0,4.0,7.0,0.0,3.0,7.0,42.9,4.0,6.0,1.0,5.0,3.0,14,10.0,0.0,Match Report,2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Home,L,0.0,1.0,Granada,65.0,523.0,32.0,123.0,204.0,200.0,24.0,523.0,9.0,7.0,77.8,2.0,22.2,215.0,1122.0,555.0,10.0,5.0,3.0,21.0,10.0,282.0,36.0,Match Report,2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Home,L,0.0,1.0,Granada,4,0,0,19.0,23.0,3.0,47.0,3.0,8.0,0.0,1.0,0,57.0,34.0,34.0,50.0,Match Report
2020-11-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,D,2.0,2.0,Valencia,2,16.0,5.0,31.3,0.13,0.4,14.7,0.0,0,0,2.4,2.4,0.16,-0.4,-0.4,Match Report,2020-11-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,D,2.0,2.0,Valencia,5.0,2,3.0,80.0,0,1.8,-0.2,1,1,0,0,10.0,23.0,43.5,28.0,1.0,67.9,41.6,7.0,57.1,40.1,3.0,0.0,0.0,2.0,24.7,Match Report,2020-11-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,D,2.0,2.0,Valencia,368.0,498.0,73.9,7132.0,2480.0,148.0,185.0,80.0,144.0,176.0,81.8,60.0,103.0,58.3,0,1.4,1.5,11.0,35.0,14.0,8.0,53.0,Match Report,2020-11-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,D,2.0,2.0,Valencia,498.0,431.0,65.0,24.0,0.0,13.0,33.0,28.0,3.0,2.0,0.0,0.0,368.0,2.0,10.0,Match Report,2020-11-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,D,2.0,2.0,Valencia,24.0,18.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Match Report,2020-11-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,D,2.0,2.0,Valencia,16.0,8.0,9.0,6.0,1.0,6.0,18.0,33.3,12.0,3.0,0.0,3.0,7.0,23,6.0,0.0,Match Report,2020-11-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,D,2.0,2.0,Valencia,62.0,583.0,37.0,111.0,250.0,226.0,33.0,583.0,12.0,6.0,50.0,6.0,50.0,266.0,1636.0,968.0,23.0,18.0,2.0,16.0,8.0,364.0,53.0,Match Report,2020-11-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,D,2.0,2.0,Valencia,5,1,1,25.0,16.0,2.0,33.0,7.0,8.0,0.0,1.0,0,46.0,27.0,34.0,44.3,Match Report
2020-11-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Home,L,1.0,3.0,Villarreal,1,13.0,4.0,30.8,0.08,0.25,20.5,2.0,0,0,0.7,0.7,0.05,0.3,0.3,Match Report,2020-11-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Home,L,1.0,3.0,Villarreal,5.0,3,2.0,40.0,0,2.5,-0.5,0,0,0,0,12.0,28.0,42.9,24.0,0.0,91.7,52.7,6.0,100.0,59.0,7.0,0.0,0.0,1.0,14.0,Match Report,2020-11-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Home,L,1.0,3.0,Villarreal,299.0,427.0,70.0,5834.0,2257.0,140.0,170.0,82.4,96.0,133.0,72.2,54.0,102.0,52.9,0,0.3,0.4,7.0,32.0,5.0,3.0,35.0,Match Report,2020-11-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Home,L,1.0,3.0,Villarreal,427.0,365.0,60.0,12.0,0.0,12.0,28.0,35.0,3.0,1.0,1.0,0.0,299.0,2.0,5.0,Match Report,2020-11-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Home,L,1.0,3.0,Villarreal,23.0,19.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-11-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Home,L,1.0,3.0,Villarreal,15.0,7.0,4.0,9.0,2.0,6.0,18.0,33.3,12.0,10.0,2.0,8.0,9.0,24,12.0,0.0,Match Report,2020-11-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Home,L,1.0,3.0,Villarreal,46.0,509.0,35.0,86.0,262.0,165.0,19.0,509.0,11.0,5.0,45.5,6.0,54.5,314.0,1542.0,732.0,13.0,17.0,2.0,8.0,18.0,298.0,35.0,Match Report,2020-11-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Home,L,1.0,3.0,Villarreal,3,0,0,18.0,11.0,2.0,28.0,9.0,7.0,0.0,0.0,0,46.0,22.0,21.0,51.2,Match Report
2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Away,D,0.0,0.0,Eibar,0,8.0,3.0,37.5,0.0,0.0,17.9,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report,2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Away,D,0.0,0.0,Eibar,4.0,0,4.0,100.0,1,1.3,1.3,0,0,0,0,9.0,25.0,36.0,19.0,1.0,84.2,51.8,9.0,100.0,62.7,17.0,1.0,5.9,0.0,6.0,Match Report,2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Away,D,0.0,0.0,Eibar,184.0,345.0,53.3,3681.0,2030.0,79.0,122.0,64.8,65.0,115.0,56.5,33.0,89.0,37.1,0,0.3,0.3,6.0,23.0,6.0,1.0,39.0,Match Report,2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Away,D,0.0,0.0,Eibar,345.0,281.0,62.0,18.0,0.0,4.0,21.0,30.0,4.0,4.0,0.0,0.0,184.0,2.0,3.0,Match Report,2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Away,D,0.0,0.0,Eibar,13.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Away,D,0.0,0.0,Eibar,8.0,7.0,4.0,3.0,1.0,5.0,23.0,21.7,18.0,10.0,2.0,8.0,12.0,20,16.0,0.0,Match Report,2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Away,D,0.0,0.0,Eibar,49.0,443.0,54.0,147.0,170.0,134.0,14.0,443.0,8.0,5.0,62.5,3.0,37.5,149.0,682.0,359.0,5.0,6.0,3.0,13.0,6.0,182.0,38.0,Match Report,2020-11-22,14:00 (05:00),La Liga,Matchweek 10,Sun,Away,D,0.0,0.0,Eibar,4,0,0,22.0,15.0,2.0,21.0,12.0,7.0,0.0,0.0,0,38.0,27.0,30.0,47.4,Match Report
2020-11-29,16:15 (07:15),La Liga,Matchweek 11,Sun,Home,D,1.0,1.0,Athletic Club,1,11.0,3.0,27.3,0.09,0.33,21.7,1.0,0,0,0.5,0.5,0.05,0.5,0.5,Match Report,2020-11-29,16:15 (07:15),La Liga,Matchweek 11,Sun,Home,D,1.0,1.0,Athletic Club,2.0,1,1.0,50.0,0,0.3,-0.7,0,0,0,0,3.0,19.0,15.8,24.0,0.0,62.5,46.6,5.0,80.0,53.6,7.0,0.0,0.0,1.0,21.0,Match Report,2020-11-29,16:15 (07:15),La Liga,Matchweek 11,Sun,Home,D,1.0,1.0,Athletic Club,240.0,378.0,63.5,4304.0,1754.0,108.0,141.0,76.6,84.0,114.0,73.7,30.0,84.0,35.7,1,0.3,0.3,7.0,25.0,6.0,2.0,26.0,Match Report,2020-11-29,16:15 (07:15),La Liga,Matchweek 11,Sun,Home,D,1.0,1.0,Athletic Club,378.0,315.0,60.0,24.0,0.0,9.0,16.0,26.0,3.0,0.0,2.0,0.0,240.0,3.0,10.0,Match Report,2020-11-29,16:15 (07:15),La Liga,Matchweek 11,Sun,Home,D,1.0,1.0,Athletic Club,19.0,9.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-11-29,16:15 (07:15),La Liga,Matchweek 11,Sun,Home,D,1.0,1.0,Athletic Club,18.0,13.0,6.0,10.0,2.0,8.0,15.0,53.3,7.0,4.0,0.0,4.0,13.0,31,11.0,0.0,Match Report,2020-11-29,16:15 (07:15),La Liga,Matchweek 11,Sun,Home,D,1.0,1.0,Athletic Club,51.0,479.0,30.0,135.0,215.0,134.0,13.0,479.0,10.0,5.0,50.0,5.0,50.0,192.0,920.0,562.0,17.0,9.0,3.0,17.0,7.0,234.0,26.0,Match Report,2020-11-29,16:15 (07:15),La Liga,Matchweek 11,Sun,Home,D,1.0,1.0,Athletic Club,2,0,0,16.0,23.0,3.0,16.0,13.0,13.0,0.0,0.0,0,45.0,19.0,30.0,38.8,Match Report
