Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-12,18:30 (09:30),La Liga,Matchweek 1,Sat,Home,W,2,0,Athletic Club,2,4,2,50.0,0.50,1.00,17.9,0,0,0,0.4,0.4,0.10,+1.6,+1.6,Match Report,2020-09-12,18:30 (09:30),La Liga,Matchweek 1,Sat,Home,W,2,0,Athletic Club,2,0,2,100.0,1,0.4,+0.4,0,0,0,0,8,21,38.1,26,1,61.5,45.2,11,45.5,38.8,23,0,0.0,1,15.8,Match Report,2020-09-12,18:30 (09:30),La Liga,Matchweek 1,Sat,Home,W,2,0,Athletic Club,249,370,67.3,4514,1956,123,145,84.8,89,116,76.7,33,88,37.5,1,0.3,0.6,2,23,3,2,22,Match Report,2020-09-12,18:30 (09:30),La Liga,Matchweek 1,Sat,Home,W,2,0,Athletic Club,370,321,44,9,2,4,10,22,1,0,0,0,249,5,8,Match Report,2020-09-12,18:30 (09:30),La Liga,Matchweek 1,Sat,Home,W,2,0,Athletic Club,7,2,2,1,0,1,1,3,1,1,0,0,0,1,Match Report,2020-09-12,18:30 (09:30),La Liga,Matchweek 1,Sat,Home,W,2,0,Athletic Club,4,3,2,2,0,1,5,20.0,4,6,0,6,15,19,31,0,Match Report,2020-09-12,18:30 (09:30),La Liga,Matchweek 1,Sat,Home,W,2,0,Athletic Club,40,465,71,187,203,81,10,465,12,9,75.0,3,25.0,191,1036,537,10,6,2,11,8,248,22,Match Report,2020-09-12,18:30 (09:30),La Liga,Matchweek 1,Sat,Home,W,2,0,Athletic Club,3,0,0,8,10,5,10,15,3,0,0,0,50,20,25,44.4,Match Report
2020-09-17,16:00 (07:00),Europa Lg,Second qualifying round,Thu,Away,W,4,0,al Teuta Durrës,4,,,,,,,,0,0,,,,,,Match Report,2020-09-17,16:00 (07:00),Europa Lg,Second qualifying round,Thu,Away,W,4,0,al Teuta Durrës,,,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2020-09-17,16:00 (07:00),Europa Lg,Second qualifying round,Thu,Away,W,4,0,al Teuta Durrës,,,,,,,,,,,,,,,3,,,,,,,,Match Report,2020-09-17,16:00 (07:00),Europa Lg,Second qualifying round,Thu,Away,W,4,0,al Teuta Durrës,,,,,,,,,,,,,,,,Match Report,2020-09-17,16:00 (07:00),Europa Lg,Second qualifying round,Thu,Away,W,4,0,al Teuta Durrës,,,,,,,,,,,,,,,Match Report,2020-09-17,16:00 (07:00),Europa Lg,Second qualifying round,Thu,Away,W,4,0,al Teuta Durrës,,,,,,,,,,,,,,0,,,Match Report,2020-09-17,16:00 (07:00),Europa Lg,Second qualifying round,Thu,Away,W,4,0,al Teuta Durrës,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2020-09-17,16:00 (07:00),Europa Lg,Second qualifying round,Thu,Away,W,4,0,al Teuta Durrës,0,0,0,,,,,,,,,0,,,,,Match Report
2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Home,W,2,1,Alavés,2,10,3,30.0,0.20,0.67,12.6,1,0,0,2.2,2.2,0.25,-0.2,-0.2,Match Report,2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Home,W,2,1,Alavés,3,1,2,66.7,0,1.0,0.0,0,0,0,0,4,17,23.5,26,4,50.0,40.2,6,66.7,47.7,14,1,7.1,2,16.5,Match Report,2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Home,W,2,1,Alavés,313,428,73.1,5837,2196,130,157,82.8,139,168,82.7,39,81,48.1,1,1.5,1.3,5,19,4,2,27,Match Report,2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Home,W,2,1,Alavés,428,373,50,11,2,4,23,27,4,2,1,0,313,5,7,Match Report,2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Home,W,2,1,Alavés,16,6,4,1,2,3,0,2,1,0,0,1,0,0,Match Report,2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Home,W,2,1,Alavés,17,8,5,6,6,10,14,71.4,4,8,2,6,6,23,20,0,Match Report,2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Home,W,2,1,Alavés,56,525,58,153,249,129,23,525,14,9,64.3,5,35.7,270,1705,886,18,13,6,16,13,306,25,Match Report,2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Home,W,2,1,Alavés,0,0,0,9,12,5,23,6,8,0,0,0,47,20,20,50.0,Match Report
2020-09-24,20:00 (11:00),Europa Lg,Third qualifying round,Thu,Home,W,2,0,ge Lokomotivi Tbilisi,2,,,,,,,,0,0,,,,,,Match Report,2020-09-24,20:00 (11:00),Europa Lg,Third qualifying round,Thu,Home,W,2,0,ge Lokomotivi Tbilisi,,,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2020-09-24,20:00 (11:00),Europa Lg,Third qualifying round,Thu,Home,W,2,0,ge Lokomotivi Tbilisi,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2020-09-24,20:00 (11:00),Europa Lg,Third qualifying round,Thu,Home,W,2,0,ge Lokomotivi Tbilisi,,,,,,,,,,,,,,,,Match Report,2020-09-24,20:00 (11:00),Europa Lg,Third qualifying round,Thu,Home,W,2,0,ge Lokomotivi Tbilisi,,,,,,,,,,,,,,,Match Report,2020-09-24,20:00 (11:00),Europa Lg,Third qualifying round,Thu,Home,W,2,0,ge Lokomotivi Tbilisi,,,,,,,,,,,,,,0,,,Match Report,2020-09-24,20:00 (11:00),Europa Lg,Third qualifying round,Thu,Home,W,2,0,ge Lokomotivi Tbilisi,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2020-09-24,20:00 (11:00),Europa Lg,Third qualifying round,Thu,Home,W,2,0,ge Lokomotivi Tbilisi,1,0,0,,,,,,,,,0,,,,,Match Report
2020-09-27,16:00 (07:00),La Liga,Matchweek 3,Sun,Away,L,1,6,Atlético Madrid,1,11,6,54.5,0.09,0.17,18.9,2,0,0,1.6,1.6,0.14,-0.6,-0.6,Match Report,2020-09-27,16:00 (07:00),La Liga,Matchweek 3,Sun,Away,L,1,6,Atlético Madrid,10,6,3,40.0,0,6.0,0.0,1,0,1,0,7,18,38.9,27,4,51.9,39.6,10,40.0,36.1,6,0,0.0,4,24.6,Match Report,2020-09-27,16:00 (07:00),La Liga,Matchweek 3,Sun,Away,L,1,6,Atlético Madrid,324,445,72.8,5809,2055,154,186,82.8,135,170,79.4,33,76,43.4,0,0.5,0.5,6,30,5,1,34,Match Report,2020-09-27,16:00 (07:00),La Liga,Matchweek 3,Sun,Away,L,1,6,Atlético Madrid,445,394,51,16,0,3,20,17,1,1,0,0,324,0,7,Match Report,2020-09-27,16:00 (07:00),La Liga,Matchweek 3,Sun,Away,L,1,6,Atlético Madrid,18,12,1,1,0,4,0,0,0,0,0,0,0,0,Match Report,2020-09-27,16:00 (07:00),La Liga,Matchweek 3,Sun,Away,L,1,6,Atlético Madrid,16,7,7,6,3,4,20,20.0,16,7,0,7,12,28,13,0,Match Report,2020-09-27,16:00 (07:00),La Liga,Matchweek 3,Sun,Away,L,1,6,Atlético Madrid,45,534,62,154,255,130,14,534,14,10,71.4,4,28.6,335,1496,831,16,19,1,9,8,319,33,Match Report,2020-09-27,16:00 (07:00),La Liga,Matchweek 3,Sun,Away,L,1,6,Atlético Madrid,1,0,0,14,15,0,20,12,7,0,1,0,47,22,20,52.4,Match Report
2020-10-01,19:00 (10:00),Europa Lg,Play-off round,Thu,Away,W,3,1,se Malmö,3,10,3,30.0,0.30,1.00,,,0,0,,,,,,Match Report,2020-10-01,19:00 (10:00),Europa Lg,Play-off round,Thu,Away,W,3,1,se Malmö,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2020-10-01,19:00 (10:00),Europa Lg,Play-off round,Thu,Away,W,3,1,se Malmö,,,,,,,,,,,,,,,3,,,,,,,,Match Report,2020-10-01,19:00 (10:00),Europa Lg,Play-off round,Thu,Away,W,3,1,se Malmö,,,,,,,20,,,,,,,,,Match Report,2020-10-01,19:00 (10:00),Europa Lg,Play-off round,Thu,Away,W,3,1,se Malmö,,,,,,,,,,,,,,,Match Report,2020-10-01,19:00 (10:00),Europa Lg,Play-off round,Thu,Away,W,3,1,se Malmö,,9,,,,,,,,,,,9,0,,,Match Report,2020-10-01,19:00 (10:00),Europa Lg,Play-off round,Thu,Away,W,3,1,se Malmö,56,,,,,,,,,,,,,,,,,,,,,,,Match Report,2020-10-01,19:00 (10:00),Europa Lg,Play-off round,Thu,Away,W,3,1,se Malmö,5,0,0,12,14,2,20,9,9,,,0,,,,,Match Report
2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,D,1,1,Cádiz,1,13,5,38.5,0.08,0.20,20.0,0,0,0,0.6,0.6,0.04,+0.4,+0.4,Match Report,2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,D,1,1,Cádiz,4,1,3,75.0,0,1.5,+0.5,0,0,0,0,8,17,47.1,26,2,42.3,37.5,9,66.7,51.6,11,0,0.0,0,,Match Report,2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,D,1,1,Cádiz,370,480,77.1,7400,2787,136,161,84.5,178,209,85.2,46,81,56.8,1,0.4,0.7,8,24,4,2,24,Match Report,2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,D,1,1,Cádiz,480,421,58,16,0,4,21,26,5,2,2,0,370,1,9,Match Report,2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,D,1,1,Cádiz,22,13,1,4,4,0,0,2,2,0,0,0,0,0,Match Report,2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,D,1,1,Cádiz,23,12,8,12,3,7,19,36.8,12,9,4,5,12,35,10,0,Match Report,2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,D,1,1,Cádiz,58,590,55,199,271,126,17,590,21,13,61.9,8,38.1,281,1639,829,9,9,1,19,9,366,24,Match Report,2020-10-04,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,D,1,1,Cádiz,2,0,0,16,15,1,21,12,12,0,0,0,54,13,20,39.4,Match Report
2020-10-17,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,1,0,Sevilla,1,13,3,23.1,0.08,0.33,19.5,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Match Report,2020-10-17,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,1,0,Sevilla,3,0,3,100.0,1,0.7,+0.7,0,0,0,0,4,13,30.8,24,4,45.8,37.5,4,50.0,42.0,6,0,0.0,0,,Match Report,2020-10-17,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,1,0,Sevilla,327,428,76.4,6478,2299,139,165,84.2,133,164,81.1,47,80,58.8,1,1.1,0.7,8,41,6,3,45,Match Report,2020-10-17,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,1,0,Sevilla,428,380,46,11,0,6,26,25,5,1,2,0,327,2,10,Match Report,2020-10-17,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,1,0,Sevilla,23,20,1,0,2,0,0,2,2,0,0,0,0,0,Match Report,2020-10-17,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,1,0,Sevilla,17,14,6,10,1,6,14,42.9,8,8,2,6,11,28,4,0,Match Report,2020-10-17,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,1,0,Sevilla,52,503,41,139,216,151,20,503,12,8,66.7,4,33.3,306,1728,882,17,10,5,9,9,325,45,Match Report,2020-10-17,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,1,0,Sevilla,4,0,0,16,10,2,26,11,14,0,0,0,48,14,17,45.2,Match Report
2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,nl PSV Eindhoven,2,17,4,23.5,0.12,0.50,14.6,0,0,0,2.0,2.0,0.12,0.0,0.0,Match Report,2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,nl PSV Eindhoven,4,1,3,75.0,0,0.3,-0.7,0,0,0,0,6,24,25.0,37,1,54.1,45.4,6,66.7,45.8,7,1,14.3,0,6.0,Match Report,2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,nl PSV Eindhoven,277,409,67.7,5595,2118,106,144,73.6,124,157,79.0,45,95,47.4,1,2.0,1.0,13,23,7,4,33,Match Report,2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,nl PSV Eindhoven,409,354,54,16,0,3,16,28,2,0,2,0,277,1,8,Match Report,2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,nl PSV Eindhoven,30,19,2,3,3,2,1,4,2,0,2,0,0,0,Match Report,2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,nl PSV Eindhoven,12,9,6,3,3,7,12,58.3,5,12,5,7,16,28,13,1,Match Report,2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,nl PSV Eindhoven,45,515,54,179,221,120,20,515,26,20,76.9,6,23.1,271,1449,726,16,14,6,18,10,270,31,Match Report,2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,nl PSV Eindhoven,5,0,0,17,16,1,16,16,9,0,0,0,53,19,21,47.5,Match Report
2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Away,W,1,0,Getafe,1,4,1,25.0,0.00,0.00,30.6,1,1,1,1.1,0.3,0.08,-0.1,-0.3,Match Report,2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Away,W,1,0,Getafe,1,0,1,100.0,1,0.0,0.0,0,0,0,0,11,28,39.3,21,0,90.5,54.8,9,100.0,65.8,32,0,0.0,1,27.0,Match Report,2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Away,W,1,0,Getafe,106,235,45.1,2112,1530,51,77,66.2,22,65,33.8,24,65,36.9,0,0.2,0.5,2,6,4,1,14,Match Report,2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Away,W,1,0,Getafe,235,180,54,19,1,0,8,24,1,1,0,0,106,1,6,Match Report,2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Away,W,1,0,Getafe,7,4,1,0,0,2,0,2,1,0,0,0,1,0,Match Report,2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Away,W,1,0,Getafe,12,5,5,6,1,2,9,22.2,7,11,6,5,9,21,41,0,Match Report,2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Away,W,1,0,Getafe,35,359,65,162,137,62,4,358,7,4,57.1,3,42.9,105,482,133,1,3,0,16,8,104,14,Match Report,2020-10-25,18:30 (10:30),La Liga,Matchweek 7,Sun,Away,W,1,0,Getafe,2,0,0,23,18,1,8,9,5,1,0,0,46,34,34,50.0,Match Report
