Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Away,D,1.0,1.0,Villarreal,1,10.0,3.0,30.0,0.1,0.33,15.9,0.0,0,0,0.6,0.6,0.06,0.4,0.4,Match Report,2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Away,D,1.0,1.0,Villarreal,4.0,1,3.0,100.0,0,2.4,1.4,1,1,0,0,8.0,16.0,50.0,24.0,6.0,50.0,36.3,7.0,57.1,44.0,23.0,0.0,0.0,0.0,5.0,Match Report,2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Away,D,1.0,1.0,Villarreal,227.0,322.0,70.5,4534.0,1993.0,97.0,114.0,85.1,86.0,108.0,79.6,39.0,78.0,50.0,1,0.6,0.3,9.0,16.0,4.0,1.0,27.0,Match Report,2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Away,D,1.0,1.0,Villarreal,322.0,279.0,39.0,13.0,0.0,6.0,21.0,11.0,6.0,3.0,2.0,0.0,227.0,4.0,7.0,Match Report,2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Away,D,1.0,1.0,Villarreal,17.0,12.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Match Report,2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Away,D,1.0,1.0,Villarreal,15.0,10.0,12.0,2.0,1.0,4.0,14.0,28.6,10.0,11.0,3.0,8.0,16.0,31,29.0,0.0,Match Report,2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Away,D,1.0,1.0,Villarreal,35.0,445.0,84.0,198.0,163.0,90.0,18.0,445.0,15.0,9.0,60.0,6.0,40.0,250.0,1487.0,775.0,15.0,10.0,4.0,19.0,5.0,225.0,27.0,Match Report,2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Away,D,1.0,1.0,Villarreal,1,0,0,22.0,8.0,4.0,21.0,16.0,10.0,0.0,1.0,0,54.0,13.0,14.0,48.1,Match Report
2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Home,L,0.0,2.0,Cádiz,0,5.0,1.0,20.0,0.0,0.0,17.4,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Match Report,2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Home,L,0.0,2.0,Cádiz,4.0,2,2.0,50.0,0,1.6,-0.4,0,0,0,0,3.0,7.0,42.9,23.0,4.0,26.1,25.4,3.0,33.3,38.3,9.0,1.0,11.1,1.0,14.5,Match Report,2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Home,L,0.0,2.0,Cádiz,533.0,637.0,83.7,8797.0,2576.0,242.0,267.0,90.6,216.0,242.0,89.3,45.0,80.0,56.3,0,0.3,0.5,4.0,31.0,5.0,4.0,42.0,Match Report,2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Home,L,0.0,2.0,Cádiz,637.0,580.0,53.0,20.0,1.0,4.0,22.0,25.0,2.0,1.0,1.0,0.0,533.0,4.0,13.0,Match Report,2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Home,L,0.0,2.0,Cádiz,8.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Home,L,0.0,2.0,Cádiz,19.0,13.0,10.0,7.0,2.0,9.0,18.0,50.0,9.0,4.0,0.0,4.0,4.0,23,12.0,1.0,Match Report,2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Home,L,0.0,2.0,Cádiz,70.0,724.0,48.0,184.0,442.0,107.0,8.0,724.0,14.0,11.0,78.6,3.0,21.4,491.0,2751.0,1468.0,17.0,13.0,1.0,19.0,15.0,529.0,42.0,Match Report,2020-09-20,16:00 (07:00),La Liga,Matchweek 2,Sun,Home,L,0.0,2.0,Cádiz,3,0,0,18.0,23.0,4.0,22.0,4.0,13.0,0.0,0.0,0,51.0,18.0,14.0,56.3,Match Report
2020-09-26,16:00 (07:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Valencia,1,17.0,4.0,23.5,0.06,0.25,18.6,1.0,0,0,0.9,0.9,0.06,0.1,0.1,Match Report,2020-09-26,16:00 (07:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Valencia,2.0,1,1.0,50.0,0,0.7,-0.3,0,0,0,0,5.0,14.0,35.7,24.0,4.0,41.7,38.3,6.0,66.7,48.8,17.0,1.0,5.9,0.0,6.0,Match Report,2020-09-26,16:00 (07:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Valencia,363.0,457.0,79.4,7290.0,2625.0,143.0,158.0,90.5,148.0,177.0,83.6,65.0,103.0,63.1,1,0.5,1.2,10.0,42.0,10.0,7.0,51.0,Match Report,2020-09-26,16:00 (07:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Valencia,457.0,403.0,51.0,15.0,0.0,6.0,29.0,24.0,4.0,1.0,3.0,0.0,363.0,3.0,4.0,Match Report,2020-09-26,16:00 (07:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Valencia,31.0,25.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,Match Report,2020-09-26,16:00 (07:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Valencia,20.0,13.0,10.0,8.0,2.0,6.0,24.0,25.0,18.0,8.0,1.0,7.0,18.0,38,18.0,0.0,Match Report,2020-09-26,16:00 (07:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Valencia,52.0,562.0,52.0,160.0,258.0,147.0,21.0,562.0,11.0,9.0,81.8,2.0,18.2,361.0,1874.0,907.0,15.0,13.0,1.0,14.0,6.0,362.0,50.0,Match Report,2020-09-26,16:00 (07:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Valencia,1,0,0,20.0,14.0,3.0,29.0,18.0,13.0,0.0,0.0,0,34.0,20.0,16.0,55.6,Match Report
2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,D,0.0,0.0,Atlético Madrid,0,9.0,3.0,33.3,0.0,0.0,14.8,0.0,0,0,0.9,0.9,0.1,-0.9,-0.9,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,D,0.0,0.0,Atlético Madrid,2.0,0,2.0,100.0,1,0.4,0.4,0,0,0,0,10.0,26.0,38.5,42.0,4.0,52.4,37.6,13.0,30.8,35.5,18.0,0.0,0.0,0.0,7.0,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,D,0.0,0.0,Atlético Madrid,290.0,395.0,73.4,5608.0,2353.0,124.0,140.0,88.6,114.0,136.0,83.8,44.0,93.0,47.3,0,0.9,0.6,8.0,32.0,4.0,1.0,38.0,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,D,0.0,0.0,Atlético Madrid,395.0,350.0,44.0,12.0,0.0,5.0,18.0,13.0,5.0,2.0,2.0,0.0,290.0,1.0,7.0,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,D,0.0,0.0,Atlético Madrid,16.0,10.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,D,0.0,0.0,Atlético Madrid,16.0,9.0,13.0,3.0,0.0,8.0,24.0,33.3,16.0,16.0,7.0,9.0,13.0,29,24.0,0.0,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,D,0.0,0.0,Atlético Madrid,37.0,503.0,94.0,231.0,184.0,98.0,11.0,503.0,17.0,8.0,47.1,9.0,52.9,256.0,1188.0,638.0,6.0,3.0,0.0,15.0,5.0,284.0,36.0,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,D,0.0,0.0,Atlético Madrid,1,0,0,13.0,8.0,1.0,18.0,13.0,9.0,0.0,0.0,0,54.0,18.0,18.0,50.0,Match Report
2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,D,0.0,0.0,Elche,0,18.0,4.0,22.2,0.0,0.0,17.5,0.0,0,0,1.6,1.6,0.09,-1.6,-1.6,Match Report,2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,D,0.0,0.0,Elche,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,2.0,6.0,33.3,13.0,0.0,30.8,30.8,3.0,66.7,40.7,6.0,0.0,0.0,0.0,,Match Report,2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,D,0.0,0.0,Elche,424.0,514.0,82.5,8007.0,2356.0,169.0,198.0,85.4,199.0,230.0,86.5,51.0,73.0,69.9,0,1.5,1.3,15.0,42.0,11.0,3.0,59.0,Match Report,2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,D,0.0,0.0,Elche,514.0,478.0,34.0,11.0,0.0,7.0,23.0,14.0,5.0,2.0,2.0,0.0,424.0,2.0,7.0,Match Report,2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,D,0.0,0.0,Elche,32.0,28.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,D,0.0,0.0,Elche,19.0,12.0,8.0,6.0,5.0,10.0,25.0,40.0,15.0,4.0,0.0,4.0,13.0,32,8.0,0.0,Match Report,2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,D,0.0,0.0,Elche,49.0,612.0,24.0,104.0,320.0,197.0,27.0,612.0,17.0,10.0,58.8,7.0,41.2,394.0,2086.0,1006.0,17.0,17.0,6.0,21.0,14.0,421.0,59.0,Match Report,2020-10-03,18:30 (09:30),La Liga,Matchweek 5,Sat,Away,D,0.0,0.0,Elche,2,0,0,26.0,7.0,2.0,23.0,13.0,12.0,0.0,0.0,0,64.0,7.0,9.0,43.8,Match Report
2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,D,2.0,2.0,Valladolid,2,12.0,7.0,58.3,0.17,0.29,15.2,0.0,0,0,1.1,1.1,0.1,0.9,0.9,Match Report,2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,D,2.0,2.0,Valladolid,3.0,2,1.0,66.7,0,1.4,-0.6,1,1,0,0,1.0,5.0,20.0,29.0,4.0,10.3,25.5,4.0,50.0,34.8,7.0,0.0,0.0,2.0,13.5,Match Report,2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,D,2.0,2.0,Valladolid,504.0,625.0,80.6,9047.0,2776.0,218.0,249.0,87.6,225.0,255.0,88.2,52.0,92.0,56.5,1,0.9,0.9,10.0,37.0,4.0,3.0,35.0,Match Report,2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,D,2.0,2.0,Valladolid,625.0,565.0,59.0,26.0,0.0,7.0,28.0,23.0,3.0,1.0,1.0,0.0,504.0,1.0,8.0,Match Report,2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,D,2.0,2.0,Valladolid,23.0,12.0,5.0,2.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,Match Report,2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,D,2.0,2.0,Valladolid,10.0,8.0,4.0,5.0,1.0,3.0,13.0,23.1,10.0,10.0,1.0,9.0,11.0,21,14.0,0.0,Match Report,2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,D,2.0,2.0,Valladolid,66.0,717.0,48.0,223.0,343.0,155.0,21.0,717.0,15.0,12.0,80.0,3.0,20.0,314.0,2056.0,1244.0,26.0,11.0,2.0,10.0,17.0,501.0,35.0,Match Report,2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,D,2.0,2.0,Valladolid,1,0,0,14.0,24.0,1.0,28.0,11.0,8.0,0.0,1.0,0,51.0,21.0,15.0,58.3,Match Report
2020-10-25,21:00 (13:00),La Liga,Matchweek 7,Sun,Away,L,1.0,4.0,Real Sociedad,1,7.0,4.0,57.1,0.14,0.25,21.3,0.0,0,0,0.5,0.5,0.07,0.5,0.5,Match Report,2020-10-25,21:00 (13:00),La Liga,Matchweek 7,Sun,Away,L,1.0,4.0,Real Sociedad,6.0,4,2.0,50.0,0,2.6,-1.4,1,1,0,0,5.0,15.0,33.3,23.0,3.0,43.5,34.1,9.0,55.6,46.1,12.0,1.0,8.3,0.0,4.8,Match Report,2020-10-25,21:00 (13:00),La Liga,Matchweek 7,Sun,Away,L,1.0,4.0,Real Sociedad,351.0,459.0,76.5,6383.0,2297.0,160.0,176.0,90.9,133.0,163.0,81.6,47.0,87.0,54.0,1,0.2,0.2,5.0,20.0,3.0,1.0,19.0,Match Report,2020-10-25,21:00 (13:00),La Liga,Matchweek 7,Sun,Away,L,1.0,4.0,Real Sociedad,459.0,391.0,61.0,12.0,0.0,3.0,10.0,30.0,5.0,2.0,0.0,1.0,351.0,7.0,9.0,Match Report,2020-10-25,21:00 (13:00),La Liga,Matchweek 7,Sun,Away,L,1.0,4.0,Real Sociedad,12.0,10.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-10-25,21:00 (13:00),La Liga,Matchweek 7,Sun,Away,L,1.0,4.0,Real Sociedad,12.0,6.0,6.0,5.0,1.0,6.0,13.0,46.2,7.0,8.0,1.0,7.0,11.0,23,12.0,2.0,Match Report,2020-10-25,21:00 (13:00),La Liga,Matchweek 7,Sun,Away,L,1.0,4.0,Real Sociedad,49.0,546.0,63.0,211.0,263.0,75.0,9.0,546.0,13.0,8.0,61.5,5.0,38.5,233.0,1342.0,547.0,10.0,5.0,3.0,11.0,15.0,347.0,19.0,Match Report,2020-10-25,21:00 (13:00),La Liga,Matchweek 7,Sun,Away,L,1.0,4.0,Real Sociedad,1,0,0,11.0,12.0,7.0,10.0,11.0,6.0,0.0,1.0,0,42.0,17.0,17.0,50.0,Match Report
2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Away,L,1.0,4.0,Real Madrid,1,9.0,2.0,22.2,0.11,0.5,24.7,0.0,0,0,1.0,1.0,0.11,0.0,0.0,Match Report,2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Away,L,1.0,4.0,Real Madrid,6.0,4,2.0,33.3,0,2.7,-1.3,0,0,0,0,3.0,11.0,27.3,31.0,8.0,16.1,24.5,7.0,85.7,46.6,16.0,0.0,0.0,0.0,9.3,Match Report,2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Away,L,1.0,4.0,Real Madrid,407.0,487.0,83.6,7123.0,2594.0,194.0,209.0,92.8,180.0,198.0,90.9,32.0,69.0,46.4,1,1.0,0.6,9.0,24.0,6.0,3.0,37.0,Match Report,2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Away,L,1.0,4.0,Real Madrid,487.0,439.0,47.0,18.0,1.0,3.0,18.0,14.0,3.0,1.0,2.0,0.0,407.0,1.0,4.0,Match Report,2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Away,L,1.0,4.0,Real Madrid,16.0,14.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Away,L,1.0,4.0,Real Madrid,17.0,13.0,11.0,5.0,1.0,8.0,24.0,33.3,16.0,10.0,4.0,6.0,16.0,33,15.0,0.0,Match Report,2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Away,L,1.0,4.0,Real Madrid,40.0,587.0,73.0,244.0,250.0,101.0,12.0,587.0,17.0,9.0,52.9,8.0,47.1,377.0,1735.0,922.0,11.0,10.0,4.0,9.0,10.0,407.0,37.0,Match Report,2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Away,L,1.0,4.0,Real Madrid,2,0,0,9.0,14.0,1.0,18.0,16.0,13.0,0.0,0.0,0,47.0,8.0,5.0,61.5,Match Report
2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,D,1.0,1.0,Eibar,1,14.0,5.0,35.7,0.07,0.2,12.9,0.0,0,0,2.2,2.2,0.17,-1.2,-1.2,Match Report,2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,D,1.0,1.0,Eibar,3.0,1,2.0,66.7,0,1.1,0.1,0,0,0,0,3.0,19.0,15.8,44.0,10.0,40.9,33.8,6.0,16.7,32.0,15.0,0.0,0.0,1.0,10.5,Match Report,2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,D,1.0,1.0,Eibar,414.0,548.0,75.5,7525.0,2362.0,151.0,173.0,87.3,210.0,247.0,85.0,39.0,92.0,42.4,1,1.6,1.0,12.0,17.0,9.0,5.0,29.0,Match Report,2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,D,1.0,1.0,Eibar,548.0,469.0,73.0,30.0,0.0,0.0,28.0,31.0,4.0,0.0,3.0,0.0,414.0,6.0,5.0,Match Report,2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,D,1.0,1.0,Eibar,24.0,18.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,D,1.0,1.0,Eibar,11.0,7.0,4.0,6.0,1.0,5.0,7.0,71.4,2.0,6.0,1.0,5.0,10.0,21,22.0,0.0,Match Report,2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,D,1.0,1.0,Eibar,59.0,641.0,87.0,293.0,254.0,98.0,17.0,641.0,11.0,7.0,63.6,4.0,36.4,258.0,1355.0,685.0,15.0,4.0,2.0,12.0,7.0,411.0,29.0,Match Report,2020-11-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,D,1.0,1.0,Eibar,2,0,0,16.0,29.0,6.0,28.0,10.0,7.0,0.0,0.0,0,38.0,20.0,15.0,57.1,Match Report
2020-11-20,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,D,1.0,1.0,Osasuna,1,6.0,5.0,83.3,0.17,0.2,14.5,0.0,0,0,0.7,0.7,0.11,0.3,0.3,Match Report,2020-11-20,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,D,1.0,1.0,Osasuna,7.0,1,6.0,85.7,0,0.9,-0.1,0,0,0,0,4.0,24.0,16.7,30.0,2.0,40.0,37.9,14.0,85.7,55.6,24.0,0.0,0.0,0.0,8.0,Match Report,2020-11-20,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,D,1.0,1.0,Osasuna,310.0,451.0,68.7,5688.0,2201.0,135.0,161.0,83.9,130.0,176.0,73.9,39.0,94.0,41.5,0,0.1,0.2,3.0,21.0,4.0,1.0,26.0,Match Report,2020-11-20,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,D,1.0,1.0,Osasuna,451.0,396.0,52.0,16.0,0.0,2.0,16.0,17.0,3.0,1.0,1.0,0.0,310.0,3.0,6.0,Match Report,2020-11-20,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,D,1.0,1.0,Osasuna,11.0,9.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-11-20,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,D,1.0,1.0,Osasuna,11.0,6.0,6.0,5.0,0.0,4.0,10.0,40.0,6.0,12.0,1.0,11.0,15.0,26,24.0,0.0,Match Report,2020-11-20,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,D,1.0,1.0,Osasuna,45.0,565.0,76.0,264.0,231.0,74.0,10.0,565.0,11.0,8.0,72.7,3.0,27.3,308.0,1294.0,679.0,16.0,13.0,2.0,24.0,4.0,310.0,26.0,Match Report,2020-11-20,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,D,1.0,1.0,Osasuna,3,0,0,15.0,14.0,3.0,16.0,15.0,6.0,0.0,0.0,0,64.0,23.0,23.0,50.0,Match Report
