Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-20,21:00 (12:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Real Sociedad,0,16,4,25.0,0.00,0.00,20.1,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report,2020-09-20,21:00 (12:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Real Sociedad,1,0,1,100.0,1,0.4,+0.4,0,0,0,0,2,9,22.2,31,4,19.4,29.7,6,50.0,36.8,7,0,0.0,0,,Match Report,2020-09-20,21:00 (12:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Real Sociedad,640,741,86.4,11112,3073,300,320,93.8,265,288,92.0,59,93,63.4,0,0.9,1.0,15,54,8,0,61,Match Report,2020-09-20,21:00 (12:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Real Sociedad,741,680,58,19,1,8,20,21,11,4,1,0,640,3,8,Match Report,2020-09-20,21:00 (12:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Real Sociedad,28,20,5,2,1,0,0,0,0,0,0,0,0,0,Match Report,2020-09-20,21:00 (12:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Real Sociedad,15,7,3,8,4,5,12,41.7,7,4,1,3,10,25,8,0,Match Report,2020-09-20,21:00 (12:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Real Sociedad,68,831,46,186,418,237,25,831,25,15,60.0,10,40.0,589,2649,1326,23,21,9,13,7,640,61,Match Report,2020-09-20,21:00 (12:00),La Liga,Matchweek 2,Sun,Away,D,0,0,Real Sociedad,2,0,0,12,17,3,20,10,7,0,0,0,50,15,8,65.2,Match Report
2020-09-26,21:00 (12:00),La Liga,Matchweek 3,Sat,Away,W,3,2,Betis,2,10,3,30.0,0.10,0.33,12.0,1,1,1,3.8,3.0,0.30,-1.8,-2.0,Match Report,2020-09-26,21:00 (12:00),La Liga,Matchweek 3,Sat,Away,W,3,2,Betis,5,2,3,60.0,0,2.0,0.0,0,0,0,0,0,3,0.0,27,4,7.4,26.3,8,12.5,32.5,9,2,22.2,1,10.7,Match Report,2020-09-26,21:00 (12:00),La Liga,Matchweek 3,Sat,Away,W,3,2,Betis,494,591,83.6,8433,2690,225,244,92.2,190,215,88.4,57,86,66.3,1,2.4,1.7,8,28,9,2,44,Match Report,2020-09-26,21:00 (12:00),La Liga,Matchweek 3,Sat,Away,W,3,2,Betis,591,537,46,8,0,9,16,24,3,3,0,0,494,8,10,Match Report,2020-09-26,21:00 (12:00),La Liga,Matchweek 3,Sat,Away,W,3,2,Betis,21,17,1,1,0,2,0,3,3,0,0,0,0,0,Match Report,2020-09-26,21:00 (12:00),La Liga,Matchweek 3,Sat,Away,W,3,2,Betis,14,12,7,5,2,5,11,45.5,6,14,5,9,10,24,11,0,Match Report,2020-09-26,21:00 (12:00),La Liga,Matchweek 3,Sat,Away,W,3,2,Betis,55,678,59,191,358,133,24,677,17,11,64.7,6,35.3,359,2120,1181,24,14,8,8,10,492,44,Match Report,2020-09-26,21:00 (12:00),La Liga,Matchweek 3,Sat,Away,W,3,2,Betis,2,0,0,10,8,8,16,10,12,0,0,0,49,12,12,50.0,Match Report
2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,W,1,0,Valladolid,1,15,5,33.3,0.07,0.20,14.8,0,0,0,2.3,2.3,0.16,-1.3,-1.3,Match Report,2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,W,1,0,Valladolid,5,0,5,100.0,1,0.8,+0.8,0,0,0,0,3,7,42.9,30,6,10.0,28.0,9,44.4,42.7,19,0,0.0,2,17.3,Match Report,2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,W,1,0,Valladolid,529,625,84.6,10015,3624,216,244,88.5,244,266,91.7,66,88,75.0,0,1.0,0.8,11,55,10,1,67,Match Report,2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,W,1,0,Valladolid,625,582,41,8,0,7,22,19,4,1,2,0,529,2,12,Match Report,2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,W,1,0,Valladolid,24,15,1,5,2,0,1,0,0,0,0,0,0,0,Match Report,2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,W,1,0,Valladolid,11,10,6,3,2,6,9,66.7,3,4,0,4,9,20,25,0,Match Report,2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,W,1,0,Valladolid,62,724,66,215,326,186,29,724,34,26,76.5,8,23.5,501,2517,1345,21,16,7,7,7,523,67,Match Report,2020-09-30,21:30 (12:30),La Liga,Matchweek 4,Wed,Home,W,1,0,Valladolid,2,0,0,11,6,2,22,9,10,0,0,0,45,15,11,57.7,Match Report
2020-10-04,16:00 (07:00),La Liga,Matchweek 5,Sun,Away,W,2,0,Levante,2,13,3,23.1,0.15,0.67,15.7,0,0,0,2.2,2.2,0.17,-0.2,-0.2,Match Report,2020-10-04,16:00 (07:00),La Liga,Matchweek 5,Sun,Away,W,2,0,Levante,4,0,4,100.0,1,0.3,+0.3,0,0,0,0,3,19,15.8,37,4,37.8,35.5,10,50.0,46.2,11,0,0.0,2,27.0,Match Report,2020-10-04,16:00 (07:00),La Liga,Matchweek 5,Sun,Away,W,2,0,Levante,465,569,81.7,7290,2441,228,251,90.8,162,186,87.1,38,79,48.1,1,2.1,2.2,12,20,10,1,47,Match Report,2020-10-04,16:00 (07:00),La Liga,Matchweek 5,Sun,Away,W,2,0,Levante,569,510,58,16,1,8,25,25,6,1,5,0,465,1,6,Match Report,2020-10-04,16:00 (07:00),La Liga,Matchweek 5,Sun,Away,W,2,0,Levante,25,19,2,1,1,1,1,4,3,0,1,0,0,0,Match Report,2020-10-04,16:00 (07:00),La Liga,Matchweek 5,Sun,Away,W,2,0,Levante,19,11,8,8,3,9,18,50.0,9,5,1,4,20,39,14,0,Match Report,2020-10-04,16:00 (07:00),La Liga,Matchweek 5,Sun,Away,W,2,0,Levante,55,671,69,192,282,208,30,671,20,15,75.0,5,25.0,366,2116,1191,30,18,9,14,6,462,47,Match Report,2020-10-04,16:00 (07:00),La Liga,Matchweek 5,Sun,Away,W,2,0,Levante,1,0,0,8,14,1,25,20,11,0,0,0,57,8,7,53.3,Match Report
2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Home,L,0,1,Cádiz,0,14,2,14.3,0.00,0.00,19.5,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Match Report,2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Home,L,0,1,Cádiz,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,1,2,50.0,20,9,0.0,16.5,10,20.0,27.2,22,3,13.6,0,7.3,Match Report,2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Home,L,0,1,Cádiz,590,699,84.4,9534,3505,283,311,91.0,221,248,89.1,46,78,59.0,0,0.9,1.4,11,69,13,4,79,Match Report,2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Home,L,0,1,Cádiz,699,647,46,6,0,5,29,24,4,2,1,0,590,6,8,Match Report,2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Home,L,0,1,Cádiz,24,20,1,2,1,0,0,0,0,0,0,0,0,0,Match Report,2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Home,L,0,1,Cádiz,9,6,5,3,1,3,5,60.0,2,7,1,6,12,21,16,2,Match Report,2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Home,L,0,1,Cádiz,75,787,58,199,349,245,29,787,18,13,72.2,5,27.8,512,2862,1767,34,14,7,14,9,587,79,Match Report,2020-10-17,18:30 (09:30),La Liga,Matchweek 6,Sat,Home,L,0,1,Cádiz,2,0,0,7,5,6,29,12,6,0,0,0,44,15,19,44.1,Match Report
2020-10-21,18:55 (09:55),Champions Lg,Group stage,Wed,Home,L,2,3,ua Shakhtar,2,12,5,41.7,0.17,0.40,22.1,0,0,0,1.0,1.0,0.08,+1.0,+1.0,Match Report,2020-10-21,18:55 (09:55),Champions Lg,Group stage,Wed,Home,L,2,3,ua Shakhtar,5,3,3,40.0,0,2.7,+0.7,0,0,0,0,0,0,,10,1,0.0,20.4,2,0.0,26.5,1,0,0.0,1,20.0,Match Report,2020-10-21,18:55 (09:55),Champions Lg,Group stage,Wed,Home,L,2,3,ua Shakhtar,618,717,86.2,10282,2388,292,318,91.8,251,280,89.6,53,74,71.6,1,0.6,0.9,9,65,13,5,63,Match Report,2020-10-21,18:55 (09:55),Champions Lg,Group stage,Wed,Home,L,2,3,ua Shakhtar,717,676,37,9,1,4,37,15,7,1,1,0,618,4,7,Match Report,2020-10-21,18:55 (09:55),Champions Lg,Group stage,Wed,Home,L,2,3,ua Shakhtar,21,17,1,1,0,1,1,3,1,0,1,0,0,1,Match Report,2020-10-21,18:55 (09:55),Champions Lg,Group stage,Wed,Home,L,2,3,ua Shakhtar,31,18,9,12,10,4,18,22.2,14,5,0,5,11,42,4,0,Match Report,2020-10-21,18:55 (09:55),Champions Lg,Group stage,Wed,Home,L,2,3,ua Shakhtar,59,798,25,73,408,321,33,798,23,14,60.9,9,39.1,506,2866,1657,29,32,12,8,4,615,63,Match Report,2020-10-21,18:55 (09:55),Champions Lg,Group stage,Wed,Home,L,2,3,ua Shakhtar,2,0,0,11,8,4,37,11,18,0,0,1,62,8,9,47.1,Match Report
2020-10-24,16:00 (07:00),La Liga,Matchweek 7,Sat,Away,W,3,1,Barcelona,3,14,8,57.1,0.14,0.25,15.5,0,1,1,3.0,2.2,0.16,0.0,-0.2,Match Report,2020-10-24,16:00 (07:00),La Liga,Matchweek 7,Sat,Away,W,3,1,Barcelona,4,1,3,75.0,0,1.9,+0.9,0,0,0,0,0,5,0.0,26,9,7.7,21.4,6,50.0,41.7,10,0,0.0,3,18.8,Match Report,2020-10-24,16:00 (07:00),La Liga,Matchweek 7,Sat,Away,W,3,1,Barcelona,493,570,86.5,8002,2715,238,258,92.2,203,213,95.3,33,57,57.9,2,1.8,1.0,12,38,5,0,39,Match Report,2020-10-24,16:00 (07:00),La Liga,Matchweek 7,Sat,Away,W,3,1,Barcelona,570,535,34,10,2,7,14,9,7,2,4,0,493,1,11,Match Report,2020-10-24,16:00 (07:00),La Liga,Matchweek 7,Sat,Away,W,3,1,Barcelona,27,18,3,2,3,1,0,5,3,0,1,0,1,0,Match Report,2020-10-24,16:00 (07:00),La Liga,Matchweek 7,Sat,Away,W,3,1,Barcelona,22,11,15,6,1,7,26,26.9,19,13,4,9,18,40,22,0,Match Report,2020-10-24,16:00 (07:00),La Liga,Matchweek 7,Sat,Away,W,3,1,Barcelona,47,693,79,254,281,165,28,692,14,9,64.3,5,35.7,385,2552,1429,29,20,7,12,8,489,39,Match Report,2020-10-24,16:00 (07:00),La Liga,Matchweek 7,Sat,Away,W,3,1,Barcelona,2,0,0,13,10,1,14,18,11,1,0,0,51,6,8,42.9,Match Report
2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Away,D,2,2,de Gladbach,2,22,6,27.3,0.09,0.33,15.2,0,0,0,2.6,2.6,0.12,-0.6,-0.6,Match Report,2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Away,D,2,2,de Gladbach,5,2,3,60.0,0,1.9,-0.1,0,0,0,0,0,1,0.0,36,6,2.8,20.8,3,0.0,19.0,4,1,25.0,5,24.0,Match Report,2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Away,D,2,2,de Gladbach,719,824,87.3,12758,3639,297,320,92.8,311,344,90.4,76,99,76.8,2,2.3,2.4,18,59,15,2,79,Match Report,2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Away,D,2,2,de Gladbach,824,766,58,22,0,17,34,22,8,5,2,0,719,0,13,Match Report,2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Away,D,2,2,de Gladbach,36,27,3,1,4,1,0,4,4,0,0,0,0,0,Match Report,2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Away,D,2,2,de Gladbach,10,5,4,4,2,4,18,22.2,14,9,2,7,13,23,2,0,Match Report,2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Away,D,2,2,de Gladbach,65,910,49,173,507,238,32,910,22,16,72.7,6,27.3,641,3043,1424,22,11,3,5,9,713,78,Match Report,2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Away,D,2,2,de Gladbach,1,0,0,7,20,0,34,13,5,0,0,0,50,8,7,53.3,Match Report
2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Home,W,4,1,Huesca,4,13,6,46.2,0.31,0.67,16.9,0,0,0,2.3,2.3,0.18,+1.7,+1.7,Match Report,2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Home,W,4,1,Huesca,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,0,3,0.0,24,5,8.3,25.2,7,14.3,34.1,15,1,6.7,4,26.8,Match Report,2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Home,W,4,1,Huesca,628,717,87.6,10175,3478,294,317,92.7,243,261,93.1,57,86,66.3,4,2.2,1.6,12,54,11,3,60,Match Report,2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Home,W,4,1,Huesca,717,662,53,10,2,5,20,28,6,2,1,0,628,2,8,Match Report,2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Home,W,4,1,Huesca,23,19,1,3,0,0,0,7,6,0,1,0,0,0,Match Report,2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Home,W,4,1,Huesca,18,11,4,6,8,8,17,47.1,9,5,1,4,5,23,11,0,Match Report,2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Home,W,4,1,Huesca,60,793,52,178,393,230,33,793,24,16,66.7,8,33.3,528,2673,1239,19,16,10,10,9,626,60,Match Report,2020-10-31,14:00 (06:00),La Liga,Matchweek 8,Sat,Home,W,4,1,Huesca,0,0,0,16,9,2,20,5,11,0,0,0,47,5,8,38.5,Match Report
2020-11-03,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,3,2,it Inter,3,12,7,58.3,0.25,0.43,15.1,0,0,0,1.2,1.2,0.10,+1.8,+1.8,Match Report,2020-11-03,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,3,2,it Inter,3,2,1,33.3,0,1.1,-0.9,0,0,0,0,3,12,25.0,42,7,23.8,30.8,13,15.4,25.5,11,2,18.2,7,22.7,Match Report,2020-11-03,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,3,2,it Inter,518,613,84.5,8753,2823,228,248,91.9,188,206,91.3,60,94,63.8,2,0.6,1.3,9,24,7,1,30,Match Report,2020-11-03,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,3,2,it Inter,613,566,47,14,0,17,12,11,6,2,1,0,518,0,13,Match Report,2020-11-03,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,3,2,it Inter,21,17,1,3,0,0,0,5,2,1,2,0,0,0,Match Report,2020-11-03,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,3,2,it Inter,10,7,2,4,4,2,8,25.0,6,12,3,9,23,33,7,1,Match Report,2020-11-03,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,3,2,it Inter,55,710,84,274,288,155,22,710,14,12,85.7,2,14.3,454,2044,898,18,11,6,12,10,517,30,Match Report,2020-11-03,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,3,2,it Inter,4,0,0,13,14,0,12,23,7,0,0,0,49,11,3,78.6,Match Report
