Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Home,D,1,1,Huesca,1,14,3,21.4,0.00,0.00,14.8,0,1,1,2.5,1.8,0.13,-1.5,-1.8,Match Report,2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Home,D,1,1,Huesca,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,3,9,33.3,23,5,34.8,35.1,8,12.5,25.9,13,2,15.4,1,9.5,Match Report,2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Home,D,1,1,Huesca,497,609,81.6,9017,3237,197,229,86.0,219,245,89.4,57,89,64.0,0,1.7,1.6,11,45,9,3,69,Match Report,2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Home,D,1,1,Huesca,609,543,62,25,0,8,30,21,6,2,1,0,497,4,12,Match Report,2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Home,D,1,1,Huesca,28,18,4,1,2,3,0,1,0,0,0,1,0,0,Match Report,2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Home,D,1,1,Huesca,11,7,2,6,3,6,15,40.0,9,5,2,3,12,23,15,0,Match Report,2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Home,D,1,1,Huesca,65,693,58,168,303,230,34,692,14,10,71.4,4,28.6,408,2082,1226,29,21,12,16,11,493,69,Match Report,2020-09-13,18:30 (09:30),La Liga,Matchweek 1,Sun,Home,D,1,1,Huesca,1,0,0,10,20,4,30,12,7,0,0,0,60,14,13,51.9,Match Report
2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Home,W,2,1,Eibar,2,14,7,50.0,0.14,0.29,12.4,0,0,0,2.7,2.7,0.21,-0.7,-0.7,Match Report,2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Home,W,2,1,Eibar,4,1,3,75.0,0,1.7,+0.7,0,0,0,0,6,20,30.0,30,3,50.0,39.0,10,50.0,39.2,16,0,0.0,1,14.3,Match Report,2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Home,W,2,1,Eibar,375,485,77.3,7453,2740,144,175,82.3,167,188,88.8,56,94,59.6,2,2.9,1.9,14,23,10,3,37,Match Report,2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Home,W,2,1,Eibar,485,419,57,17,6,5,15,24,4,4,0,0,375,9,9,Match Report,2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Home,W,2,1,Eibar,27,19,3,1,1,2,1,4,3,0,1,0,0,0,Match Report,2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Home,W,2,1,Eibar,12,8,5,5,2,8,19,42.1,11,8,2,6,10,22,21,0,Match Report,2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Home,W,2,1,Eibar,58,590,78,256,226,113,31,590,18,11,61.1,7,38.9,329,2034,1126,18,15,10,13,12,372,35,Match Report,2020-09-19,16:00 (07:00),La Liga,Matchweek 2,Sat,Home,W,2,1,Eibar,1,0,0,5,12,9,15,10,8,0,0,0,44,22,17,56.4,Match Report
2020-09-27,21:00 (12:00),La Liga,Matchweek 3,Sun,Away,L,0,4,Barcelona,0,5,1,20.0,0.00,0.00,14.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Match Report,2020-09-27,21:00 (12:00),La Liga,Matchweek 3,Sun,Away,L,0,4,Barcelona,9,4,6,66.7,0,2.5,-0.5,1,1,0,0,4,9,44.4,24,7,25.0,30.5,7,42.9,37.0,11,0,0.0,0,4.0,Match Report,2020-09-27,21:00 (12:00),La Liga,Matchweek 3,Sun,Away,L,0,4,Barcelona,458,555,82.5,8377,2844,202,225,89.8,202,225,89.8,52,82,63.4,0,0.2,0.7,5,29,8,3,42,Match Report,2020-09-27,21:00 (12:00),La Liga,Matchweek 3,Sun,Away,L,0,4,Barcelona,555,517,34,10,2,10,18,9,4,0,1,0,458,4,14,Match Report,2020-09-27,21:00 (12:00),La Liga,Matchweek 3,Sun,Away,L,0,4,Barcelona,8,6,1,1,0,0,0,0,0,0,0,0,0,0,Match Report,2020-09-27,21:00 (12:00),La Liga,Matchweek 3,Sun,Away,L,0,4,Barcelona,9,3,4,0,5,4,17,23.5,13,14,5,9,10,19,7,0,Match Report,2020-09-27,21:00 (12:00),La Liga,Matchweek 3,Sun,Away,L,0,4,Barcelona,43,641,80,200,291,157,22,641,16,10,62.5,6,37.5,302,2033,1116,14,18,4,11,4,451,41,Match Report,2020-09-27,21:00 (12:00),La Liga,Matchweek 3,Sun,Away,L,0,4,Barcelona,1,0,0,10,7,4,18,10,3,0,1,1,60,6,5,54.5,Match Report
2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,W,3,1,Alavés,3,9,4,44.4,0.22,0.50,18.0,1,1,1,2.3,1.5,0.20,+0.7,+0.5,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,W,3,1,Alavés,3,1,2,66.7,0,0.7,-0.3,0,0,0,0,5,16,31.3,35,5,20.0,32.7,10,90.0,57.4,13,0,0.0,1,21.0,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,W,3,1,Alavés,490,596,82.2,9161,3057,220,235,93.6,201,229,87.8,66,111,59.5,1,0.7,0.5,6,33,8,3,35,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,W,3,1,Alavés,596,541,51,13,0,6,14,24,2,0,1,0,490,4,10,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,W,3,1,Alavés,19,13,0,2,2,2,0,6,3,0,1,1,1,0,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,W,3,1,Alavés,15,12,4,9,2,9,14,64.3,5,7,0,7,19,34,10,2,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,W,3,1,Alavés,59,690,66,253,323,118,13,689,24,16,66.7,8,33.3,388,1531,780,15,5,2,17,6,483,35,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Home,W,3,1,Alavés,0,0,0,11,13,4,14,19,12,1,0,0,57,9,21,30.0,Match Report
2020-10-03,16:00 (07:00),La Liga,Matchweek 5,Sat,Away,D,0,0,Atlético Madrid,0,6,2,33.3,0.00,0.00,21.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report,2020-10-03,16:00 (07:00),La Liga,Matchweek 5,Sat,Away,D,0,0,Atlético Madrid,0,0,0,,1,0.0,0.0,0,0,0,0,9,19,47.4,37,7,43.2,38.5,8,37.5,36.0,22,1,4.5,2,13.5,Match Report,2020-10-03,16:00 (07:00),La Liga,Matchweek 5,Sat,Away,D,0,0,Atlético Madrid,456,546,83.5,8628,2959,212,235,90.2,167,191,87.4,67,97,69.1,0,0.2,0.4,5,14,10,2,35,Match Report,2020-10-03,16:00 (07:00),La Liga,Matchweek 5,Sat,Away,D,0,0,Atlético Madrid,546,504,42,15,0,12,12,17,1,0,0,0,456,0,7,Match Report,2020-10-03,16:00 (07:00),La Liga,Matchweek 5,Sat,Away,D,0,0,Atlético Madrid,12,12,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,2020-10-03,16:00 (07:00),La Liga,Matchweek 5,Sat,Away,D,0,0,Atlético Madrid,21,12,14,5,2,9,20,45.0,11,16,6,10,12,33,35,0,Match Report,2020-10-03,16:00 (07:00),La Liga,Matchweek 5,Sat,Away,D,0,0,Atlético Madrid,46,673,91,248,314,115,12,673,23,11,47.8,12,52.2,328,1679,949,14,16,2,18,6,454,35,Match Report,2020-10-03,16:00 (07:00),La Liga,Matchweek 5,Sat,Away,D,0,0,Atlético Madrid,2,0,0,7,11,0,12,12,12,0,0,0,55,12,8,60.0,Match Report
2020-10-18,16:00 (07:00),La Liga,Matchweek 6,Sun,Home,W,2,1,Valencia,2,15,5,33.3,0.07,0.20,21.8,1,1,1,1.5,0.7,0.05,+0.5,+0.3,Match Report,2020-10-18,16:00 (07:00),La Liga,Matchweek 6,Sun,Home,W,2,1,Valencia,3,1,2,66.7,0,0.2,-0.8,0,0,0,0,5,11,45.5,20,7,30.0,32.3,10,50.0,40.6,19,2,10.5,0,3.5,Match Report,2020-10-18,16:00 (07:00),La Liga,Matchweek 6,Sun,Home,W,2,1,Valencia,556,628,88.5,9267,2613,269,286,94.1,222,242,91.7,46,66,69.7,0,0.6,0.8,12,41,8,1,49,Match Report,2020-10-18,16:00 (07:00),La Liga,Matchweek 6,Sun,Home,W,2,1,Valencia,628,591,37,8,0,6,12,14,3,2,0,0,556,0,9,Match Report,2020-10-18,16:00 (07:00),La Liga,Matchweek 6,Sun,Home,W,2,1,Valencia,32,27,1,1,1,2,0,4,3,0,0,0,1,0,Match Report,2020-10-18,16:00 (07:00),La Liga,Matchweek 6,Sun,Home,W,2,1,Valencia,9,5,4,1,4,8,15,53.3,7,6,3,3,14,23,17,0,Match Report,2020-10-18,16:00 (07:00),La Liga,Matchweek 6,Sun,Home,W,2,1,Valencia,62,721,63,196,302,227,21,720,15,8,53.3,7,46.7,416,2246,1188,23,15,3,9,5,553,49,Match Report,2020-10-18,16:00 (07:00),La Liga,Matchweek 6,Sun,Home,W,2,1,Valencia,4,1,1,13,7,0,12,14,5,1,0,0,44,7,11,38.9,Match Report
2020-10-22,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,5,3,tr Sivasspor,5,20,10,50.0,0.25,0.50,16.1,0,0,1,3.4,2.6,0.14,+1.6,+2.4,Match Report,2020-10-22,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,5,3,tr Sivasspor,6,3,3,50.0,0,1.9,-1.1,0,0,0,0,4,5,80.0,39,3,7.7,24.2,6,33.3,32.3,18,1,5.6,2,17.4,Match Report,2020-10-22,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,5,3,tr Sivasspor,536,621,86.3,9017,2952,243,265,91.7,223,251,88.8,46,67,68.7,4,1.5,1.3,14,39,11,0,58,Match Report,2020-10-22,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,5,3,tr Sivasspor,621,574,47,16,1,1,23,12,9,5,3,0,536,0,4,Match Report,2020-10-22,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,5,3,tr Sivasspor,37,25,2,4,3,1,2,7,4,1,0,2,0,0,Match Report,2020-10-22,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,5,3,tr Sivasspor,8,2,4,2,2,3,11,27.3,8,6,1,5,7,15,17,0,Match Report,2020-10-22,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,5,3,tr Sivasspor,66,724,62,155,372,202,39,723,27,16,59.3,11,40.7,387,2254,1326,34,22,9,13,5,533,58,Match Report,2020-10-22,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,5,3,tr Sivasspor,3,0,0,12,14,0,23,7,2,1,0,0,47,10,17,37.0,Match Report
2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Away,D,0,0,Cádiz,0,7,2,28.6,0.00,0.00,19.6,1,0,0,0.8,0.8,0.11,-0.8,-0.8,Match Report,2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Away,D,0,0,Cádiz,0,0,0,,1,0.0,0.0,0,0,0,0,0,0,,23,7,0.0,20.0,6,0.0,21.8,13,0,0.0,1,19.0,Match Report,2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Away,D,0,0,Cádiz,689,799,86.2,11051,2816,334,363,92.0,272,301,90.4,50,79,63.3,0,0.6,1.0,3,28,6,0,45,Match Report,2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Away,D,0,0,Cádiz,799,750,46,14,2,7,21,20,5,3,0,0,689,3,10,Match Report,2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Away,D,0,0,Cádiz,13,10,0,1,1,1,0,0,0,0,0,0,0,0,Match Report,2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Away,D,0,0,Cádiz,13,6,4,9,0,5,10,50.0,5,3,1,2,6,19,18,0,Match Report,2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Away,D,0,0,Cádiz,75,868,44,185,506,185,11,868,10,8,80.0,2,20.0,536,3238,1880,19,24,0,12,8,683,45,Match Report,2020-10-25,16:00 (08:00),La Liga,Matchweek 7,Sun,Away,D,0,0,Cádiz,2,0,0,7,13,3,21,6,6,0,0,0,39,14,15,48.3,Match Report
2020-10-29,21:55 (10:55),Europa Lg,Group stage,Thu,Away,W,3,1,az Qarabağ,3,18,9,50.0,0.11,0.22,17.1,1,1,1,3.0,2.2,0.12,0.0,-0.2,Match Report,2020-10-29,21:55 (10:55),Europa Lg,Group stage,Thu,Away,W,3,1,az Qarabağ,1,1,0,0.0,0,0.4,-0.6,0,0,0,0,3,8,37.5,37,5,13.5,23.3,6,50.0,37.3,6,2,33.3,2,18.6,Match Report,2020-10-29,21:55 (10:55),Europa Lg,Group stage,Thu,Away,W,3,1,az Qarabağ,433,534,81.1,7127,2534,195,216,90.3,173,207,83.6,38,61,62.3,2,2.0,1.0,15,22,12,3,50,Match Report,2020-10-29,21:55 (10:55),Europa Lg,Group stage,Thu,Away,W,3,1,az Qarabağ,534,482,50,4,1,7,24,28,10,2,3,0,433,2,16,Match Report,2020-10-29,21:55 (10:55),Europa Lg,Group stage,Thu,Away,W,3,1,az Qarabağ,35,25,4,1,2,2,1,5,4,0,0,0,1,0,Match Report,2020-10-29,21:55 (10:55),Europa Lg,Group stage,Thu,Away,W,3,1,az Qarabağ,13,9,5,5,3,8,18,44.4,10,9,2,7,7,20,8,0,Match Report,2020-10-29,21:55 (10:55),Europa Lg,Group stage,Thu,Away,W,3,1,az Qarabağ,54,623,52,184,274,167,29,622,20,14,70.0,6,30.0,366,1914,1127,22,13,5,17,7,431,50,Match Report,2020-10-29,21:55 (10:55),Europa Lg,Group stage,Thu,Away,W,3,1,az Qarabağ,1,0,0,13,6,2,24,7,9,1,0,0,49,9,4,69.2,Match Report
2020-11-02,21:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,0,Valladolid,2,11,5,45.5,0.18,0.40,17.5,1,0,0,1.8,1.8,0.17,+0.2,+0.2,Match Report,2020-11-02,21:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,0,Valladolid,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,6,11,54.5,28,4,21.4,30.2,7,71.4,47.7,31,2,6.5,0,7.7,Match Report,2020-11-02,21:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,0,Valladolid,480,578,83.0,8757,2743,198,223,88.8,206,235,87.7,60,85,70.6,2,1.7,1.2,8,14,7,2,35,Match Report,2020-11-02,21:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,0,Valladolid,578,533,42,11,3,6,13,17,6,1,3,0,480,3,9,Match Report,2020-11-02,21:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,0,Valladolid,19,13,3,2,0,1,0,4,2,1,1,0,0,0,Match Report,2020-11-02,21:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,0,Valladolid,12,5,3,3,6,5,15,33.3,10,9,5,4,5,17,21,1,Match Report,2020-11-02,21:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,0,Valladolid,59,674,70,245,313,120,15,674,26,17,65.4,9,34.6,421,2022,1225,20,13,4,10,11,479,35,Match Report,2020-11-02,21:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,0,Valladolid,1,0,0,13,11,3,13,5,5,0,0,0,48,25,12,67.6,Match Report
