Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-15,22:15 (13:15),La Liga,Matchweek 1,Sun,Home,W,3,0,Rayo Vallecano,3,20,7,35.0,0.10,0.29,20.0,0,1,1,3.7,2.9,0.14,-0.7,-0.9,Match Report,2021-08-15,22:15 (13:15),La Liga,Matchweek 1,Sun,Home,W,3,0,Rayo Vallecano,3,0,3,100.0,1,0.6,+0.6,0,0,0,0,0,3,0.0,26,6,11.5,20.3,2,0.0,19.0,4,1,25.0,4,19.5,Match Report,2021-08-15,22:15 (13:15),La Liga,Matchweek 1,Sun,Home,W,3,0,Rayo Vallecano,722,787,91.7,12644,3330,326,347,93.9,323,339,95.3,68,91,74.7,1,2.7,2.4,17,60,13,3,60,Match Report,2021-08-15,22:15 (13:15),La Liga,Matchweek 1,Sun,Home,W,3,0,Rayo Vallecano,787,756,30,7,3,7,15,16,4,2,1,0,722,1,2,Match Report,2021-08-15,22:15 (13:15),La Liga,Matchweek 1,Sun,Home,W,3,0,Rayo Vallecano,40,35,3,0,1,1,0,5,3,0,0,1,1,0,Match Report,2021-08-15,22:15 (13:15),La Liga,Matchweek 1,Sun,Home,W,3,0,Rayo Vallecano,10,6,5,5,0,6,12,50.0,6,4,1,3,5,15,13,0,Match Report,2021-08-15,22:15 (13:15),La Liga,Matchweek 1,Sun,Home,W,3,0,Rayo Vallecano,74,872,54,212,437,226,26,871,13,7,53.8,6,46.2,704,3026,1641,21,33,5,11,4,720,60,Match Report,2021-08-15,22:15 (13:15),La Liga,Matchweek 1,Sun,Home,W,3,0,Rayo Vallecano,1,0,0,14,7,1,15,5,6,1,0,0,48,9,13,40.9,Match Report
2021-08-23,20:00 (11:00),La Liga,Matchweek 2,Mon,Away,W,1,0,Getafe,1,9,3,33.3,0.11,0.33,16.0,0,0,0,1.2,1.2,0.15,-0.2,-0.2,Match Report,2021-08-23,20:00 (11:00),La Liga,Matchweek 2,Mon,Away,W,1,0,Getafe,0,0,0,,1,0.0,0.0,0,0,0,0,4,10,40.0,24,6,25.0,31.6,10,40.0,36.9,16,1,6.3,1,14.5,Match Report,2021-08-23,20:00 (11:00),La Liga,Matchweek 2,Mon,Away,W,1,0,Getafe,443,540,82.0,8281,2606,194,211,91.9,159,181,87.8,76,121,62.8,0,0.4,0.4,7,13,8,0,44,Match Report,2021-08-23,20:00 (11:00),La Liga,Matchweek 2,Mon,Away,W,1,0,Getafe,540,483,54,19,1,14,16,20,4,1,3,0,443,3,2,Match Report,2021-08-23,20:00 (11:00),La Liga,Matchweek 2,Mon,Away,W,1,0,Getafe,16,11,2,1,1,1,0,1,0,0,0,1,0,0,Match Report,2021-08-23,20:00 (11:00),La Liga,Matchweek 2,Mon,Away,W,1,0,Getafe,6,2,5,1,0,3,7,42.9,4,10,5,5,14,20,17,0,Match Report,2021-08-23,20:00 (11:00),La Liga,Matchweek 2,Mon,Away,W,1,0,Getafe,60,620,75,244,305,75,16,620,12,6,50.0,6,50.0,442,1839,869,13,14,1,13,6,443,44,Match Report,2021-08-23,20:00 (11:00),La Liga,Matchweek 2,Mon,Away,W,1,0,Getafe,2,0,0,10,17,3,16,14,2,0,0,0,49,14,26,35.0,Match Report
2021-08-28,19:30 (10:30),La Liga,Matchweek 3,Sat,Away,D,1,1,Elche,1,18,5,27.8,0.06,0.20,17.2,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Match Report,2021-08-28,19:30 (10:30),La Liga,Matchweek 3,Sat,Away,D,1,1,Elche,4,1,3,75.0,0,0.3,-0.7,0,0,0,0,0,2,0.0,18,4,5.6,21.3,4,25.0,34.5,11,1,9.1,2,17.5,Match Report,2021-08-28,19:30 (10:30),La Liga,Matchweek 3,Sat,Away,D,1,1,Elche,609,705,86.4,11759,3374,243,268,90.7,280,307,91.2,77,110,70.0,1,1.1,1.1,17,44,20,6,71,Match Report,2021-08-28,19:30 (10:30),La Liga,Matchweek 3,Sat,Away,D,1,1,Elche,705,667,38,7,1,13,29,22,3,0,2,0,609,0,6,Match Report,2021-08-28,19:30 (10:30),La Liga,Matchweek 3,Sat,Away,D,1,1,Elche,36,31,2,1,0,1,1,2,0,1,0,0,1,0,Match Report,2021-08-28,19:30 (10:30),La Liga,Matchweek 3,Sat,Away,D,1,1,Elche,10,7,0,9,1,3,12,25.0,9,8,0,8,12,22,14,0,Match Report,2021-08-28,19:30 (10:30),La Liga,Matchweek 3,Sat,Away,D,1,1,Elche,70,790,29,147,469,178,23,790,16,11,68.8,5,31.3,553,2055,1201,16,15,1,15,11,607,71,Match Report,2021-08-28,19:30 (10:30),La Liga,Matchweek 3,Sat,Away,D,1,1,Elche,0,0,0,9,5,0,29,12,7,0,0,0,52,20,17,54.1,Match Report
2021-09-14,18:45 (09:45),Champions Lg,Group stage,Tue,Home,D,1,1,at RB Salzburg,1,10,1,10.0,0.00,0.00,17.8,0,1,1,1.5,0.7,0.07,-0.5,-0.7,Match Report,2021-09-14,18:45 (09:45),Champions Lg,Group stage,Tue,Home,D,1,1,at RB Salzburg,8,1,7,100.0,0,1.3,+0.3,3,1,0,2,3,12,25.0,31,6,35.5,36.3,4,25.0,31.5,13,2,15.4,1,12.6,Match Report,2021-09-14,18:45 (09:45),Champions Lg,Group stage,Tue,Home,D,1,1,at RB Salzburg,333,439,75.9,6494,2401,142,167,85.0,143,174,82.2,43,83,51.8,0,0.5,1.0,7,21,11,3,29,Match Report,2021-09-14,18:45 (09:45),Champions Lg,Group stage,Tue,Home,D,1,1,at RB Salzburg,439,390,49,16,3,8,18,23,4,3,0,0,333,0,4,Match Report,2021-09-14,18:45 (09:45),Champions Lg,Group stage,Tue,Home,D,1,1,at RB Salzburg,20,12,3,3,0,2,0,2,1,0,0,0,1,0,Match Report,2021-09-14,18:45 (09:45),Champions Lg,Group stage,Tue,Home,D,1,1,at RB Salzburg,14,9,8,3,3,5,16,31.3,11,11,4,7,4,18,28,1,Match Report,2021-09-14,18:45 (09:45),Champions Lg,Group stage,Tue,Home,D,1,1,at RB Salzburg,48,562,73,262,174,130,20,561,33,17,51.5,16,48.5,311,1557,764,14,8,4,18,8,328,29,Match Report,2021-09-14,18:45 (09:45),Champions Lg,Group stage,Tue,Home,D,1,1,at RB Salzburg,6,1,1,18,16,0,18,4,9,1,3,0,65,16,11,59.3,Match Report
2021-09-19,16:15 (07:15),La Liga,Matchweek 5,Sun,Away,D,0,0,Real Sociedad,0,11,4,36.4,0.00,0.00,17.3,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report,2021-09-19,16:15 (07:15),La Liga,Matchweek 5,Sun,Away,D,0,0,Real Sociedad,4,0,3,100.0,1,1.7,+1.7,1,0,1,0,6,16,37.5,30,5,36.7,34.4,6,83.3,51.8,13,5,38.5,0,9.9,Match Report,2021-09-19,16:15 (07:15),La Liga,Matchweek 5,Sun,Away,D,0,0,Real Sociedad,348,442,78.7,6811,2329,133,149,89.3,177,206,85.9,38,80,47.5,0,0.3,0.5,7,27,7,3,34,Match Report,2021-09-19,16:15 (07:15),La Liga,Matchweek 5,Sun,Away,D,0,0,Real Sociedad,442,389,51,18,2,3,20,20,6,0,5,0,348,2,5,Match Report,2021-09-19,16:15 (07:15),La Liga,Matchweek 5,Sun,Away,D,0,0,Real Sociedad,21,15,3,0,1,1,1,0,0,0,0,0,0,0,Match Report,2021-09-19,16:15 (07:15),La Liga,Matchweek 5,Sun,Away,D,0,0,Real Sociedad,16,10,8,6,2,6,15,40.0,9,10,2,8,2,18,19,0,Match Report,2021-09-19,16:15 (07:15),La Liga,Matchweek 5,Sun,Away,D,0,0,Real Sociedad,53,537,81,241,177,123,16,537,12,4,33.3,8,66.7,276,1315,727,18,12,4,13,8,343,34,Match Report,2021-09-19,16:15 (07:15),La Liga,Matchweek 5,Sun,Away,D,0,0,Real Sociedad,3,0,0,11,15,2,20,2,10,0,1,0,49,13,19,40.6,Match Report
2021-09-22,19:30 (10:30),La Liga,Matchweek 6,Wed,Home,W,3,1,Valencia,3,11,5,45.5,0.27,0.60,18.6,0,0,0,1.0,1.0,0.09,+2.0,+2.0,Match Report,2021-09-22,19:30 (10:30),La Liga,Matchweek 6,Wed,Home,W,3,1,Valencia,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,6,18,33.3,29,3,48.3,38.7,4,100.0,60.5,13,0,0.0,3,25.7,Match Report,2021-09-22,19:30 (10:30),La Liga,Matchweek 6,Wed,Home,W,3,1,Valencia,375,473,79.3,6318,2063,178,199,89.4,118,141,83.7,51,88,58.0,3,1.0,0.6,10,19,5,2,23,Match Report,2021-09-22,19:30 (10:30),La Liga,Matchweek 6,Wed,Home,W,3,1,Valencia,473,424,47,21,1,8,10,19,1,0,1,0,375,2,5,Match Report,2021-09-22,19:30 (10:30),La Liga,Matchweek 6,Wed,Home,W,3,1,Valencia,18,14,2,0,0,2,0,6,4,1,0,0,1,0,Match Report,2021-09-22,19:30 (10:30),La Liga,Matchweek 6,Wed,Home,W,3,1,Valencia,25,15,13,9,3,8,19,42.1,11,8,4,4,6,31,11,0,Match Report,2021-09-22,19:30 (10:30),La Liga,Matchweek 6,Wed,Home,W,3,1,Valencia,58,561,57,178,274,114,15,561,13,9,69.2,4,30.8,289,1530,769,18,17,1,9,13,371,21,Match Report,2021-09-22,19:30 (10:30),La Liga,Matchweek 6,Wed,Home,W,3,1,Valencia,5,0,0,25,19,2,10,6,15,0,0,0,56,18,14,56.3,Match Report
2021-09-25,18:30 (09:30),La Liga,Matchweek 7,Sat,Home,W,2,0,Espanyol,2,12,5,41.7,0.17,0.40,16.9,0,0,0,1.8,1.8,0.15,+0.2,+0.2,Match Report,2021-09-25,18:30 (09:30),La Liga,Matchweek 7,Sat,Home,W,2,0,Espanyol,2,0,2,100.0,1,0.3,+0.3,0,0,0,0,4,12,33.3,23,2,34.8,34.2,6,66.7,46.3,21,1,4.8,0,3.0,Match Report,2021-09-25,18:30 (09:30),La Liga,Matchweek 7,Sat,Home,W,2,0,Espanyol,434,524,82.8,7964,2381,187,206,90.8,161,180,89.4,63,99,63.6,2,1.7,1.3,10,29,10,2,43,Match Report,2021-09-25,18:30 (09:30),La Liga,Matchweek 7,Sat,Home,W,2,0,Espanyol,524,480,40,10,1,12,17,19,4,1,1,0,434,4,6,Match Report,2021-09-25,18:30 (09:30),La Liga,Matchweek 7,Sat,Home,W,2,0,Espanyol,23,19,2,1,0,1,0,4,4,0,0,0,0,0,Match Report,2021-09-25,18:30 (09:30),La Liga,Matchweek 7,Sat,Home,W,2,0,Espanyol,17,12,11,4,2,11,22,50.0,11,7,3,4,8,25,26,0,Match Report,2021-09-25,18:30 (09:30),La Liga,Matchweek 7,Sat,Home,W,2,0,Espanyol,54,626,78,199,265,168,18,626,20,8,40.0,12,60.0,419,2321,1307,19,18,3,9,3,431,42,Match Report,2021-09-25,18:30 (09:30),La Liga,Matchweek 7,Sat,Home,W,2,0,Espanyol,4,1,1,10,7,4,17,8,12,0,0,0,53,19,12,61.3,Match Report
2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,1,1,de Wolfsburg,1,9,3,33.3,0.00,0.00,22.3,1,1,1,1.1,0.4,0.04,-0.1,-0.4,Match Report,2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,1,1,de Wolfsburg,2,1,1,50.0,0,1.7,+0.7,0,0,0,0,3,4,75.0,11,2,27.3,26.6,4,25.0,38.0,2,0,0.0,0,,Match Report,2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,1,1,de Wolfsburg,526,644,81.7,10107,3094,209,236,88.6,238,269,88.5,72,108,66.7,0,0.3,1.0,7,54,8,1,72,Match Report,2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,1,1,de Wolfsburg,644,593,50,14,1,6,34,19,11,6,3,0,526,1,13,Match Report,2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,1,1,de Wolfsburg,18,9,5,0,1,3,0,2,1,0,0,0,1,0,Match Report,2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,1,1,de Wolfsburg,5,2,2,2,1,5,12,41.7,7,9,3,6,6,11,6,0,Match Report,2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,1,1,de Wolfsburg,69,724,25,146,360,224,18,723,18,10,55.6,8,44.4,452,1722,868,13,15,1,18,9,523,71,Match Report,2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,1,1,de Wolfsburg,3,0,0,12,14,1,34,6,2,1,0,0,58,14,19,42.4,Match Report
2021-10-03,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,1,Granada,0,14,3,21.4,0.00,0.00,18.6,0,0,0,1.3,1.3,0.09,-1.3,-1.3,Match Report,2021-10-03,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,1,Granada,1,1,0,0.0,0,0.1,-0.9,0,0,0,0,1,6,16.7,28,5,17.9,28.6,5,20.0,19.8,7,1,14.3,2,17.3,Match Report,2021-10-03,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,1,Granada,583,694,84.0,11287,3431,217,243,89.3,295,325,90.8,70,106,66.0,0,1.3,1.2,13,52,12,5,75,Match Report,2021-10-03,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,1,Granada,694,634,60,15,2,10,22,32,6,0,5,0,583,0,13,Match Report,2021-10-03,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,1,Granada,26,22,2,1,1,0,0,0,0,0,0,0,0,0,Match Report,2021-10-03,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,1,Granada,7,5,4,3,0,3,9,33.3,6,5,2,3,5,12,3,0,Match Report,2021-10-03,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,1,Granada,68,775,51,216,386,177,23,775,15,10,66.7,5,33.3,499,1998,967,9,8,4,23,9,582,75,Match Report,2021-10-03,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,1,Granada,4,1,1,11,11,0,22,5,5,0,0,0,53,18,9,66.7,Match Report
2021-10-17,16:15 (07:15),La Liga,Matchweek 9,Sun,Away,W,1,0,Celta Vigo,1,8,2,25.0,0.13,0.50,19.0,0,0,0,1.0,1.0,0.13,0.0,0.0,Match Report,2021-10-17,16:15 (07:15),La Liga,Matchweek 9,Sun,Away,W,1,0,Celta Vigo,3,0,3,100.0,1,0.1,+0.1,0,0,0,0,11,23,47.8,41,4,39.0,34.5,11,63.6,48.4,20,3,15.0,2,10.5,Match Report,2021-10-17,16:15 (07:15),La Liga,Matchweek 9,Sun,Away,W,1,0,Celta Vigo,426,528,80.7,7932,2769,175,197,88.8,193,218,88.5,47,87,54.0,0,0.2,0.3,5,16,3,0,23,Match Report,2021-10-17,16:15 (07:15),La Liga,Matchweek 9,Sun,Away,W,1,0,Celta Vigo,528,465,61,18,1,6,9,27,4,0,2,0,426,2,8,Match Report,2021-10-17,16:15 (07:15),La Liga,Matchweek 9,Sun,Away,W,1,0,Celta Vigo,13,6,3,1,2,1,0,1,0,0,0,1,0,0,Match Report,2021-10-17,16:15 (07:15),La Liga,Matchweek 9,Sun,Away,W,1,0,Celta Vigo,9,8,5,3,1,2,10,20.0,8,13,6,7,10,19,14,0,Match Report,2021-10-17,16:15 (07:15),La Liga,Matchweek 9,Sun,Away,W,1,0,Celta Vigo,54,624,86,271,267,90,11,624,13,6,46.2,7,53.8,309,1516,759,9,7,2,19,8,425,23,Match Report,2021-10-17,16:15 (07:15),La Liga,Matchweek 9,Sun,Away,W,1,0,Celta Vigo,3,0,0,9,12,2,9,10,8,0,0,0,42,17,15,53.1,Match Report
