Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2022-08-12,21:00 (12:00),La Liga,Matchweek 1,Fri,Home,W,2,1,Sevilla,2,11,4,36.4,0.09,0.25,25.0,0,1,1,1.5,0.7,0.07,+0.5,+0.3,Match Report,2022-08-12,21:00 (12:00),La Liga,Matchweek 1,Fri,Home,W,2,1,Sevilla,3,1,2,66.7,0,1.1,+0.1,0,0,0,0,9,19,47.4,28,6,60.7,43.9,4,50.0,44.5,13,0,0.0,2,16.7,Match Report,2022-08-12,21:00 (12:00),La Liga,Matchweek 1,Fri,Home,W,2,1,Sevilla,225,307,73.3,4777,1901,88,99,88.9,92,114,80.7,42,80,52.5,1,0.6,0.3,8,29,5,2,25,Match Report,2022-08-12,21:00 (12:00),La Liga,Matchweek 1,Fri,Home,W,2,1,Sevilla,307,263,39,9,0,6,22,19,5,2,3,0,225,5,4,Match Report,2022-08-12,21:00 (12:00),La Liga,Matchweek 1,Fri,Home,W,2,1,Sevilla,21,16,1,1,0,3,0,4,3,0,0,0,1,0,Match Report,2022-08-12,21:00 (12:00),La Liga,Matchweek 1,Fri,Home,W,2,1,Sevilla,11,7,4,4,3,5,11,45.5,6,6,3,3,5,16,19,0,Match Report,2022-08-12,21:00 (12:00),La Liga,Matchweek 1,Fri,Home,W,2,1,Sevilla,35,401,49,126,182,98,10,400,12,3,25.0,7,58.3,209,1154,525,8,7,2,14,5,219,23,Match Report,2022-08-12,21:00 (12:00),La Liga,Matchweek 1,Fri,Home,W,2,1,Sevilla,5,0,0,16,9,5,22,5,7,1,0,0,33,8,18,30.8,Match Report
2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Home,W,2,0,Cádiz,2,14,1,7.1,0.00,0.00,18.9,0,2,2,2.7,1.2,0.09,-0.7,-1.2,Match Report,2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Home,W,2,0,Cádiz,2,0,2,100.0,1,0.3,+0.3,0,0,0,0,7,22,31.8,20,2,65.0,48.5,10,90.0,62.9,7,0,0.0,0,,Match Report,2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Home,W,2,0,Cádiz,342,460,74.3,6658,2674,169,194,87.1,102,137,74.5,66,109,60.6,0,1.0,1.3,10,33,11,6,36,Match Report,2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Home,W,2,0,Cádiz,460,413,47,11,0,16,22,23,2,0,1,0,342,0,7,Match Report,2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Home,W,2,0,Cádiz,27,18,3,0,2,4,0,4,1,0,0,1,2,0,Match Report,2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Home,W,2,0,Cádiz,13,7,3,7,3,6,12,50.0,6,10,4,6,14,27,14,0,Match Report,2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Home,W,2,0,Cádiz,55,562,47,125,283,158,25,560,16,5,31.3,10,62.5,284,1455,653,12,11,3,11,5,341,36,Match Report,2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Home,W,2,0,Cádiz,2,0,0,11,13,0,22,14,7,2,0,0,45,27,16,62.8,Match Report
2022-08-26,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,L,0,1,Betis,0,12,2,16.7,0.00,0.00,17.5,0,0,0,1.3,1.3,0.12,-1.3,-1.3,Match Report,2022-08-26,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,L,0,1,Betis,1,1,0,0.0,0,0.2,-0.8,0,0,0,0,4,17,23.5,24,3,41.7,38.5,13,53.8,44.9,9,0,0.0,2,19.0,Match Report,2022-08-26,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,L,0,1,Betis,313,418,74.9,5974,2316,122,149,81.9,146,174,83.9,38,77,49.4,0,0.9,0.7,9,30,8,2,43,Match Report,2022-08-26,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,L,0,1,Betis,418,365,52,11,2,2,25,22,4,2,2,0,313,1,7,Match Report,2022-08-26,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,L,0,1,Betis,20,10,5,2,1,1,1,0,0,0,0,0,0,0,Match Report,2022-08-26,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,L,0,1,Betis,17,7,6,11,0,9,20,45.0,11,12,2,10,10,27,14,0,Match Report,2022-08-26,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,L,0,1,Betis,45,518,49,134,237,152,21,518,15,12,80.0,3,20.0,310,1385,721,18,12,2,14,11,310,42,Match Report,2022-08-26,22:00 (13:00),La Liga,Matchweek 3,Fri,Away,L,0,1,Betis,3,0,0,21,9,1,25,10,7,0,0,0,44,10,14,41.7,Match Report
2022-09-04,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,W,2,1,Rayo Vallecano,2,13,5,38.5,0.15,0.40,16.0,0,0,0,2.4,2.4,0.18,-0.4,-0.4,Match Report,2022-09-04,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,W,2,1,Rayo Vallecano,3,1,2,66.7,0,0.2,-0.8,0,0,0,0,8,24,33.3,31,3,71.0,52.2,4,50.0,49.0,8,0,0.0,0,,Match Report,2022-09-04,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,W,2,1,Rayo Vallecano,264,380,69.5,5139,2263,111,132,84.1,119,147,81.0,33,88,37.5,2,1.9,1.8,10,29,6,2,33,Match Report,2022-09-04,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,W,2,1,Rayo Vallecano,380,322,55,18,1,8,18,27,4,3,1,0,264,3,7,Match Report,2022-09-04,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,W,2,1,Rayo Vallecano,21,15,3,0,1,2,0,4,3,1,0,0,0,0,Match Report,2022-09-04,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,W,2,1,Rayo Vallecano,16,10,10,4,2,7,16,43.8,9,6,1,5,10,26,14,0,Match Report,2022-09-04,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,W,2,1,Rayo Vallecano,47,472,39,167,171,140,15,472,15,6,40.0,7,46.7,176,876,438,8,7,1,13,7,257,32,Match Report,2022-09-04,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,W,2,1,Rayo Vallecano,2,0,0,14,16,3,18,10,10,0,0,0,59,17,16,51.5,Match Report
2022-09-12,21:00 (12:00),La Liga,Matchweek 5,Mon,Away,W,1,0,Almería,1,15,4,26.7,0.07,0.25,13.0,0,0,0,2.0,2.0,0.13,-1.0,-1.0,Match Report,2022-09-12,21:00 (12:00),La Liga,Matchweek 5,Mon,Away,W,1,0,Almería,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,8,24,33.3,24,2,75.0,49.9,7,85.7,57.3,17,1,5.9,0,14.0,Match Report,2022-09-12,21:00 (12:00),La Liga,Matchweek 5,Mon,Away,W,1,0,Almería,263,378,69.6,4918,2158,129,147,87.8,89,109,81.7,37,92,40.2,1,1.4,1.7,8,25,8,5,30,Match Report,2022-09-12,21:00 (12:00),La Liga,Matchweek 5,Mon,Away,W,1,0,Almería,378,328,47,6,2,2,27,23,10,5,4,0,263,3,9,Match Report,2022-09-12,21:00 (12:00),La Liga,Matchweek 5,Mon,Away,W,1,0,Almería,23,19,1,0,3,0,0,2,2,0,0,0,0,0,Match Report,2022-09-12,21:00 (12:00),La Liga,Matchweek 5,Mon,Away,W,1,0,Almería,15,11,10,2,3,6,11,54.5,5,7,2,5,10,25,20,0,Match Report,2022-09-12,21:00 (12:00),La Liga,Matchweek 5,Mon,Away,W,1,0,Almería,39,489,57,158,188,144,30,489,16,7,43.8,8,50.0,198,1159,563,12,10,7,10,5,260,30,Match Report,2022-09-12,21:00 (12:00),La Liga,Matchweek 5,Mon,Away,W,1,0,Almería,2,0,0,9,4,3,27,10,11,0,0,0,53,13,19,40.6,Match Report
2022-09-18,14:00 (05:00),La Liga,Matchweek 6,Sun,Home,L,0,2,Getafe,0,12,4,33.3,0.00,0.00,14.3,1,0,0,0.5,0.5,0.04,-0.5,-0.5,Match Report,2022-09-18,14:00 (05:00),La Liga,Matchweek 6,Sun,Home,L,0,2,Getafe,4,2,2,50.0,0,1.5,-0.5,0,0,0,0,6,19,31.6,22,1,63.6,46.3,10,50.0,50.4,9,1,11.1,4,28.4,Match Report,2022-09-18,14:00 (05:00),La Liga,Matchweek 6,Sun,Home,L,0,2,Getafe,392,513,76.4,7218,2454,176,211,83.4,171,202,84.7,41,83,49.4,0,0.2,0.8,7,31,7,1,40,Match Report,2022-09-18,14:00 (05:00),La Liga,Matchweek 6,Sun,Home,L,0,2,Getafe,513,457,55,14,0,7,35,20,8,4,4,0,392,1,10,Match Report,2022-09-18,14:00 (05:00),La Liga,Matchweek 6,Sun,Home,L,0,2,Getafe,23,14,3,1,2,3,0,0,0,0,0,0,0,0,Match Report,2022-09-18,14:00 (05:00),La Liga,Matchweek 6,Sun,Home,L,0,2,Getafe,11,9,5,4,2,5,9,55.6,4,9,2,7,3,14,15,1,Match Report,2022-09-18,14:00 (05:00),La Liga,Matchweek 6,Sun,Home,L,0,2,Getafe,55,603,41,144,299,163,22,603,13,7,53.8,4,30.8,294,1592,681,13,5,3,18,5,391,39,Match Report,2022-09-18,14:00 (05:00),La Liga,Matchweek 6,Sun,Home,L,0,2,Getafe,7,1,0,15,15,1,35,3,9,0,0,0,39,17,27,38.6,Match Report
2022-10-02,21:00 (12:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Real Madrid,1,8,2,25.0,0.13,0.50,15.8,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Match Report,2022-10-02,21:00 (12:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Real Madrid,4,1,3,75.0,0,1.0,0.0,1,0,0,1,11,25,44.0,27,3,63.0,47.7,14,57.1,44.5,24,2,8.3,0,4.5,Match Report,2022-10-02,21:00 (12:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Real Madrid,294,371,79.2,5731,2197,132,147,89.8,121,137,88.3,40,75,53.3,1,0.3,0.5,6,21,5,1,23,Match Report,2022-10-02,21:00 (12:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Real Madrid,371,330,41,13,0,4,8,10,2,0,2,0,294,0,8,Match Report,2022-10-02,21:00 (12:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Real Madrid,16,14,1,1,0,0,0,2,2,0,0,0,0,0,Match Report,2022-10-02,21:00 (12:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Real Madrid,14,8,9,5,0,8,15,53.3,7,14,8,6,9,23,30,0,Match Report,2022-10-02,21:00 (12:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Real Madrid,36,479,89,205,199,80,12,479,9,5,55.6,2,22.2,194,1145,616,11,12,3,11,4,291,21,Match Report,2022-10-02,21:00 (12:00),La Liga,Matchweek 7,Sun,Away,D,1,1,Real Madrid,2,1,0,13,8,0,8,9,8,0,1,0,34,8,12,40.0,Match Report
2022-10-07,21:00 (12:00),La Liga,Matchweek 8,Fri,Home,L,1,2,Valencia,1,10,2,20.0,0.10,0.50,15.8,0,0,1,1.6,0.8,0.08,-0.6,+0.2,Match Report,2022-10-07,21:00 (12:00),La Liga,Matchweek 8,Fri,Home,L,1,2,Valencia,7,2,5,71.4,0,1.7,-0.3,1,0,0,1,17,31,54.8,37,4,64.9,44.4,9,77.8,51.3,15,1,6.7,4,23.0,Match Report,2022-10-07,21:00 (12:00),La Liga,Matchweek 8,Fri,Home,L,1,2,Valencia,253,361,70.1,5225,2488,87,112,77.7,98,123,79.7,49,90,54.4,0,0.7,0.5,7,22,5,1,19,Match Report,2022-10-07,21:00 (12:00),La Liga,Matchweek 8,Fri,Home,L,1,2,Valencia,361,297,63,20,0,2,14,24,7,3,3,0,253,1,8,Match Report,2022-10-07,21:00 (12:00),La Liga,Matchweek 8,Fri,Home,L,1,2,Valencia,18,8,6,0,1,3,0,1,0,0,0,1,0,0,Match Report,2022-10-07,21:00 (12:00),La Liga,Matchweek 8,Fri,Home,L,1,2,Valencia,14,8,8,4,2,7,12,58.3,5,14,2,12,14,28,17,0,Match Report,2022-10-07,21:00 (12:00),La Liga,Matchweek 8,Fri,Home,L,1,2,Valencia,44,485,62,161,201,126,20,484,14,10,71.4,2,14.3,222,1131,451,3,7,1,20,17,251,19,Match Report,2022-10-07,21:00 (12:00),La Liga,Matchweek 8,Fri,Home,L,1,2,Valencia,3,2,0,11,19,1,14,14,8,1,1,0,56,14,20,41.2,Match Report
2022-10-17,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,L,0,2,Villarreal,0,14,3,21.4,0.00,0.00,28.2,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Match Report,2022-10-17,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,L,0,2,Villarreal,9,2,7,88.9,0,2.6,+0.6,1,1,0,0,12,19,63.2,26,3,65.4,43.8,5,40.0,27.6,10,0,0.0,0,,Match Report,2022-10-17,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,L,0,2,Villarreal,249,326,76.4,5054,2184,89,99,89.9,114,136,83.8,38,75,50.7,0,0.3,0.2,8,20,4,1,22,Match Report,2022-10-17,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,L,0,2,Villarreal,326,278,46,19,1,1,17,15,4,3,1,0,249,2,4,Match Report,2022-10-17,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,L,0,2,Villarreal,17,13,1,0,2,0,1,0,0,0,0,0,0,0,Match Report,2022-10-17,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,L,0,2,Villarreal,13,7,8,2,3,6,10,60.0,4,6,1,5,12,25,18,0,Match Report,2022-10-17,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,L,0,2,Villarreal,42,425,70,171,168,89,7,425,6,1,16.7,3,50.0,230,1024,504,9,7,1,19,7,247,22,Match Report,2022-10-17,21:00 (12:00),La Liga,Matchweek 9,Mon,Away,L,0,2,Villarreal,6,0,0,23,13,2,17,12,7,0,1,0,40,14,8,63.6,Match Report
2022-10-20,20:00 (11:00),La Liga,Matchweek 10,Thu,Home,W,1,0,Espanyol,1,17,5,29.4,0.06,0.20,16.5,0,0,0,1.0,1.0,0.06,0.0,0.0,Match Report,2022-10-20,20:00 (11:00),La Liga,Matchweek 10,Thu,Home,W,1,0,Espanyol,3,0,3,100.0,1,1.2,+1.2,0,0,0,0,14,19,73.7,36,5,50.0,40.3,1,100.0,66.0,8,1,12.5,2,19.0,Match Report,2022-10-20,20:00 (11:00),La Liga,Matchweek 10,Thu,Home,W,1,0,Espanyol,431,552,78.1,8215,3389,205,235,87.2,146,187,78.1,71,100,71.0,1,0.8,1.0,10,48,9,3,51,Match Report,2022-10-20,20:00 (11:00),La Liga,Matchweek 10,Thu,Home,W,1,0,Espanyol,552,493,58,19,1,10,23,28,9,3,3,2,431,1,14,Match Report,2022-10-20,20:00 (11:00),La Liga,Matchweek 10,Thu,Home,W,1,0,Espanyol,32,20,4,3,5,0,0,2,1,1,0,0,0,0,Match Report,2022-10-20,20:00 (11:00),La Liga,Matchweek 10,Thu,Home,W,1,0,Espanyol,13,7,9,2,2,7,8,87.5,1,10,1,9,6,19,9,0,Match Report,2022-10-20,20:00 (11:00),La Liga,Matchweek 10,Thu,Home,W,1,0,Espanyol,64,662,42,154,291,219,27,662,23,11,47.8,9,39.1,317,1784,969,22,10,7,24,15,426,49,Match Report,2022-10-20,20:00 (11:00),La Liga,Matchweek 10,Thu,Home,W,1,0,Espanyol,1,0,0,17,14,1,23,6,7,0,0,0,53,21,15,58.3,Match Report
