For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,For Alavés_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,For Alavés_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Away,L,0,1,Cádiz,0,10,2,20.0,0.00,0.00,22.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Match Report,2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Away,L,0,1,Cádiz,3,1,2,66.7,0,0.4,-0.6,0,0,0,0,6,19,31.6,23,4,65.2,42.1,7,57.1,44.9,10,3,30.0,0,6.8,Match Report,2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Away,L,0,1,Cádiz,302,417,72.4,5711,2247,126,154,81.8,118,153,77.1,48,85,56.5,0,0.2,0.4,8,29,6,2,36,Match Report,2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Away,L,0,1,Cádiz,417,359,56,21,0,5,24,22,4,0,1,0,302,2,9,Match Report,2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Away,L,0,1,Cádiz,17,12,2,1,1,1,0,0,0,0,0,0,0,0,Match Report,2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Away,L,0,1,Cádiz,9,6,3,5,1,2,9,22.2,7,6,3,3,11,20,14,0,Match Report,2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Away,L,0,1,Cádiz,55,495,41,130,226,145,14,495,10,7,70.0,3,30.0,253,1544,805,16,15,1,14,10,299,36,Match Report,2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Away,L,0,1,Cádiz,2,0,0,15,19,2,24,11,6,0,0,0,54,26,19,57.8,Match Report
2023-08-21,19:00 (10:00),La Liga,Matchweek 2,Mon,Home,W,4,3,Sevilla,4,14,7,50.0,0.29,0.57,16.1,1,0,0,1.8,1.8,0.13,+2.2,+2.2,Match Report,2023-08-21,19:00 (10:00),La Liga,Matchweek 2,Mon,Home,W,4,3,Sevilla,2,3,0,-50.0,0,0.9,-1.1,0,0,0,0,8,16,50.0,16,3,62.5,46.6,10,60.0,42.3,19,0,0.0,0,8.0,Match Report,2023-08-21,19:00 (10:00),La Liga,Matchweek 2,Mon,Home,W,4,3,Sevilla,194,313,62.0,3838,1873,87,118,73.7,69,109,63.3,32,67,47.8,4,1.6,1.0,12,17,9,5,31,Match Report,2023-08-21,19:00 (10:00),La Liga,Matchweek 2,Mon,Home,W,4,3,Sevilla,313,260,53,13,1,5,20,22,4,1,0,0,194,0,3,Match Report,2023-08-21,19:00 (10:00),La Liga,Matchweek 2,Mon,Home,W,4,3,Sevilla,26,21,0,2,1,2,0,8,7,0,1,0,0,0,Match Report,2023-08-21,19:00 (10:00),La Liga,Matchweek 2,Mon,Home,W,4,3,Sevilla,17,9,11,6,0,6,19,31.6,13,10,6,4,2,19,27,0,Match Report,2023-08-21,19:00 (10:00),La Liga,Matchweek 2,Mon,Home,W,4,3,Sevilla,34,426,51,150,162,114,18,426,12,4,33.3,7,58.3,142,711,361,9,3,3,15,7,192,31,Match Report,2023-08-21,19:00 (10:00),La Liga,Matchweek 2,Mon,Home,W,4,3,Sevilla,1,0,0,14,12,0,20,2,9,0,0,1,48,16,18,47.1,Match Report
2023-08-28,19:30 (10:30),La Liga,Matchweek 3,Mon,Away,L,0,1,Getafe,0,16,1,6.3,0.00,0.00,18.9,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Match Report,2023-08-28,19:30 (10:30),La Liga,Matchweek 3,Mon,Away,L,0,1,Getafe,4,1,3,100.0,0,1.2,+0.2,1,1,0,0,7,23,30.4,31,6,54.8,43.4,11,54.5,37.8,11,1,9.1,2,15.5,Match Report,2023-08-28,19:30 (10:30),La Liga,Matchweek 3,Mon,Away,L,0,1,Getafe,270,401,67.3,5209,2264,127,152,83.6,96,131,73.3,43,100,43.0,0,0.5,0.6,11,23,7,3,31,Match Report,2023-08-28,19:30 (10:30),La Liga,Matchweek 3,Mon,Away,L,0,1,Getafe,401,336,62,13,0,2,24,31,5,1,1,0,270,3,6,Match Report,2023-08-28,19:30 (10:30),La Liga,Matchweek 3,Mon,Away,L,0,1,Getafe,29,16,5,0,3,3,2,0,0,0,0,0,0,0,Match Report,2023-08-28,19:30 (10:30),La Liga,Matchweek 3,Mon,Away,L,0,1,Getafe,16,13,6,8,2,10,14,71.4,4,5,2,3,8,24,18,1,Match Report,2023-08-28,19:30 (10:30),La Liga,Matchweek 3,Mon,Away,L,0,1,Getafe,53,510,55,164,217,130,17,510,9,4,44.4,4,44.4,224,1301,695,11,7,4,14,3,267,31,Match Report,2023-08-28,19:30 (10:30),La Liga,Matchweek 3,Mon,Away,L,0,1,Getafe,2,0,0,15,13,3,24,8,13,0,1,0,53,24,28,46.2,Match Report
2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,1,0,Valencia,0,6,0,0.0,0.00,,15.9,0,0,1,1.3,0.5,0.09,-1.3,-0.5,Match Report,2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,1,0,Valencia,4,0,4,100.0,1,0.9,+0.9,0,0,0,0,11,22,50.0,28,3,53.6,41.4,12,58.3,43.8,10,0,0.0,0,8.7,Match Report,2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,1,0,Valencia,246,357,68.9,4514,2245,121,144,84.0,88,120,73.3,30,71,42.3,0,0.5,0.7,6,26,2,2,28,Match Report,2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,1,0,Valencia,357,304,50,8,2,3,16,28,1,0,1,0,246,3,9,Match Report,2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,1,0,Valencia,12,7,2,1,0,2,0,0,0,0,0,0,0,0,Match Report,2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,1,0,Valencia,13,9,6,6,1,7,19,36.8,12,9,2,7,3,16,18,0,Match Report,2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,1,0,Valencia,40,455,58,144,186,130,19,454,21,10,47.6,7,33.3,251,1144,555,12,9,6,16,10,243,28,Match Report,2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,1,0,Valencia,5,0,0,18,9,3,16,3,9,1,0,0,47,12,9,57.1,Match Report
2023-09-15,21:00 (12:00),La Liga,Matchweek 5,Fri,Away,L,0,2,Rayo Vallecano,0,9,1,11.1,0.00,0.00,16.1,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report,2023-09-15,21:00 (12:00),La Liga,Matchweek 5,Fri,Away,L,0,2,Rayo Vallecano,11,2,9,90.9,0,3.6,+1.6,1,1,0,0,15,25,60.0,24,1,75.0,49.6,9,77.8,53.2,14,0,0.0,0,12.0,Match Report,2023-09-15,21:00 (12:00),La Liga,Matchweek 5,Fri,Away,L,0,2,Rayo Vallecano,290,411,70.6,5855,2790,124,155,80.0,114,149,76.5,46,88,52.3,0,0.5,0.9,8,30,10,7,44,Match Report,2023-09-15,21:00 (12:00),La Liga,Matchweek 5,Fri,Away,L,0,2,Rayo Vallecano,411,352,58,14,0,2,28,29,3,0,2,0,290,1,9,Match Report,2023-09-15,21:00 (12:00),La Liga,Matchweek 5,Fri,Away,L,0,2,Rayo Vallecano,17,10,2,3,1,1,0,0,0,0,0,0,0,0,Match Report,2023-09-15,21:00 (12:00),La Liga,Matchweek 5,Fri,Away,L,0,2,Rayo Vallecano,21,11,9,11,1,6,19,31.6,13,9,3,6,5,26,19,0,Match Report,2023-09-15,21:00 (12:00),La Liga,Matchweek 5,Fri,Away,L,0,2,Rayo Vallecano,49,514,64,141,257,119,18,514,16,10,62.5,5,31.3,204,1260,685,14,10,5,19,10,283,43,Match Report,2023-09-15,21:00 (12:00),La Liga,Matchweek 5,Fri,Away,L,0,2,Rayo Vallecano,3,0,0,14,15,1,28,5,11,0,1,0,60,22,10,68.8,Match Report
2023-09-22,21:00 (12:00),La Liga,Matchweek 6,Fri,Home,L,0,2,Athletic Club,0,15,5,33.3,0.00,0.00,15.4,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Match Report,2023-09-22,21:00 (12:00),La Liga,Matchweek 6,Fri,Home,L,0,2,Athletic Club,3,2,1,33.3,0,1.2,-0.8,0,0,0,0,12,22,54.5,27,3,63.0,43.1,12,41.7,35.2,9,0,0.0,2,26.0,Match Report,2023-09-22,21:00 (12:00),La Liga,Matchweek 6,Fri,Home,L,0,2,Athletic Club,294,422,69.7,5656,2539,127,154,82.5,113,154,73.4,42,82,51.2,0,0.9,0.6,10,23,5,0,29,Match Report,2023-09-22,21:00 (12:00),La Liga,Matchweek 6,Fri,Home,L,0,2,Athletic Club,422,366,52,9,0,3,17,25,3,1,0,0,294,4,13,Match Report,2023-09-22,21:00 (12:00),La Liga,Matchweek 6,Fri,Home,L,0,2,Athletic Club,28,20,2,1,3,0,2,0,0,0,0,0,0,0,Match Report,2023-09-22,21:00 (12:00),La Liga,Matchweek 6,Fri,Home,L,0,2,Athletic Club,18,8,6,11,1,7,14,50.0,7,17,2,15,8,26,19,0,Match Report,2023-09-22,21:00 (12:00),La Liga,Matchweek 6,Fri,Home,L,0,2,Athletic Club,44,542,58,168,247,130,19,542,14,6,42.9,6,42.9,233,1086,595,13,8,3,18,7,291,29,Match Report,2023-09-22,21:00 (12:00),La Liga,Matchweek 6,Fri,Home,L,0,2,Athletic Club,3,0,0,13,9,4,17,8,8,0,0,0,72,16,16,50.0,Match Report
2023-09-28,19:00 (10:00),La Liga,Matchweek 7,Thu,Away,D,1,1,Celta Vigo,1,21,9,42.9,0.05,0.11,14.9,1,0,0,2.6,2.6,0.12,-1.6,-1.6,Match Report,2023-09-28,19:00 (10:00),La Liga,Matchweek 7,Thu,Away,D,1,1,Celta Vigo,0,1,0,,0,0.0,0.0,0,0,0,0,3,9,33.3,19,5,36.8,35.1,6,33.3,29.7,6,1,16.7,4,23.6,Match Report,2023-09-28,19:00 (10:00),La Liga,Matchweek 7,Thu,Away,D,1,1,Celta Vigo,409,497,82.3,7326,2709,185,199,93.0,160,188,85.1,54,82,65.9,1,1.7,1.7,15,42,14,3,49,Match Report,2023-09-28,19:00 (10:00),La Liga,Matchweek 7,Thu,Away,D,1,1,Celta Vigo,497,452,43,8,0,1,28,19,8,2,3,0,409,2,13,Match Report,2023-09-28,19:00 (10:00),La Liga,Matchweek 7,Thu,Away,D,1,1,Celta Vigo,38,29,4,3,2,0,0,2,1,0,1,0,0,0,Match Report,2023-09-28,19:00 (10:00),La Liga,Matchweek 7,Thu,Away,D,1,1,Celta Vigo,12,9,6,5,1,7,15,46.7,8,9,4,5,5,17,15,0,Match Report,2023-09-28,19:00 (10:00),La Liga,Matchweek 7,Thu,Away,D,1,1,Celta Vigo,54,618,40,166,278,181,37,618,26,13,50.0,8,30.8,322,1616,868,22,8,9,19,4,404,49,Match Report,2023-09-28,19:00 (10:00),La Liga,Matchweek 7,Thu,Away,D,1,1,Celta Vigo,3,0,0,11,8,2,28,5,9,0,0,1,51,17,12,58.6,Match Report
2023-10-01,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,L,0,2,Osasuna,0,17,3,17.6,0.00,0.00,18.7,1,0,0,1.5,1.5,0.09,-1.5,-1.5,Match Report,2023-10-01,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,L,0,2,Osasuna,3,2,1,33.3,0,1.5,-0.5,0,0,0,0,7,20,35.0,29,7,62.1,44.0,8,25.0,23.9,10,1,10.0,4,23.4,Match Report,2023-10-01,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,L,0,2,Osasuna,288,410,70.2,5199,2239,143,161,88.8,104,142,73.2,36,81,44.4,0,1.4,1.1,13,25,9,4,30,Match Report,2023-10-01,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,L,0,2,Osasuna,410,357,48,13,1,3,26,20,4,1,2,0,288,5,6,Match Report,2023-10-01,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,L,0,2,Osasuna,32,19,4,6,0,2,1,0,0,0,0,0,0,0,Match Report,2023-10-01,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,L,0,2,Osasuna,12,10,5,4,3,5,13,38.5,8,7,2,5,9,21,18,0,Match Report,2023-10-01,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,L,0,2,Osasuna,46,501,48,150,213,147,20,501,17,10,58.8,5,29.4,284,1528,899,19,8,4,11,1,283,29,Match Report,2023-10-01,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,L,0,2,Osasuna,2,1,0,13,12,5,26,9,10,0,0,0,55,23,18,56.1,Match Report
2023-10-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Home,D,1,1,Betis,0,15,5,33.3,0.00,0.00,16.7,2,0,0,1.3,1.3,0.09,-1.3,-1.3,Match Report,2023-10-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Home,D,1,1,Betis,2,1,1,50.0,0,1.0,0.0,0,0,0,0,2,11,18.2,19,4,47.4,41.8,6,33.3,29.0,12,0,0.0,0,,Match Report,2023-10-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Home,D,1,1,Betis,285,389,73.3,5015,2159,144,171,84.2,104,130,80.0,29,62,46.8,0,0.9,0.9,11,27,11,5,39,Match Report,2023-10-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Home,D,1,1,Betis,389,344,44,8,2,2,23,23,5,1,0,0,285,1,10,Match Report,2023-10-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Home,D,1,1,Betis,30,18,5,3,0,4,0,0,0,0,0,0,0,0,Match Report,2023-10-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Home,D,1,1,Betis,11,6,3,5,3,7,20,35.0,13,13,1,12,11,22,17,0,Match Report,2023-10-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Home,D,1,1,Betis,40,492,60,176,182,144,19,492,20,13,65.0,5,25.0,251,1567,795,18,18,4,14,5,281,39,Match Report,2023-10-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Home,D,1,1,Betis,3,0,0,13,9,1,23,11,6,0,0,0,59,10,5,66.7,Match Report
2023-10-22,18:30 (09:30),La Liga,Matchweek 10,Sun,Away,D,1,1,Villarreal,1,16,7,43.8,0.06,0.14,21.1,1,0,0,1.7,1.7,0.10,-0.7,-0.7,Match Report,2023-10-22,18:30 (09:30),La Liga,Matchweek 10,Sun,Away,D,1,1,Villarreal,3,1,2,100.0,0,1.1,+0.1,1,1,0,0,6,27,22.2,27,2,85.2,56.6,4,100.0,58.3,27,1,3.7,0,2.5,Match Report,2023-10-22,18:30 (09:30),La Liga,Matchweek 10,Sun,Away,D,1,1,Villarreal,200,299,66.9,3759,1649,94,117,80.3,70,93,75.3,27,66,40.9,1,1.0,0.8,10,15,7,1,28,Match Report,2023-10-22,18:30 (09:30),La Liga,Matchweek 10,Sun,Away,D,1,1,Villarreal,299,255,43,16,2,8,15,18,3,2,0,0,200,1,6,Match Report,2023-10-22,18:30 (09:30),La Liga,Matchweek 10,Sun,Away,D,1,1,Villarreal,24,17,1,3,1,1,1,2,2,0,0,0,0,0,Match Report,2023-10-22,18:30 (09:30),La Liga,Matchweek 10,Sun,Away,D,1,1,Villarreal,26,19,15,9,2,12,18,66.7,6,8,5,3,9,35,26,0,Match Report,2023-10-22,18:30 (09:30),La Liga,Matchweek 10,Sun,Away,D,1,1,Villarreal,32,416,62,157,159,109,17,416,10,6,60.0,4,40.0,161,1002,480,15,11,4,15,6,197,28,Match Report,2023-10-22,18:30 (09:30),La Liga,Matchweek 10,Sun,Away,D,1,1,Villarreal,3,0,0,10,13,1,15,9,19,0,1,0,49,7,17,29.2,Match Report
