Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-12,18:30 (10:30),La Liga,Matchweek 1,Sat,Home,D,1,1,Mallorca,1,4,1,25.0,0.00,0.00,29.7,0,1,1,0.9,0.1,0.03,+0.1,-0.1,Match Report,2023-08-12,18:30 (10:30),La Liga,Matchweek 1,Sat,Home,D,1,1,Mallorca,2,1,1,50.0,0,0.2,-0.8,1,0,0,1,6,21,28.6,32,2,56.3,40.4,8,37.5,31.6,16,1,6.3,2,19.3,Match Report,2023-08-12,18:30 (10:30),La Liga,Matchweek 1,Sat,Home,D,1,1,Mallorca,542,636,85.2,7905,2687,330,349,94.6,173,200,86.5,23,54,42.6,0,0.1,0.2,3,33,5,0,37,Match Report,2023-08-12,18:30 (10:30),La Liga,Matchweek 1,Sat,Home,D,1,1,Mallorca,636,571,64,27,1,1,5,24,3,0,0,0,542,1,6,Match Report,2023-08-12,18:30 (10:30),La Liga,Matchweek 1,Sat,Home,D,1,1,Mallorca,10,9,0,0,0,1,0,2,1,0,0,0,1,0,Match Report,2023-08-12,18:30 (10:30),La Liga,Matchweek 1,Sat,Home,D,1,1,Mallorca,14,5,7,6,1,4,8,50.0,4,5,1,4,9,23,19,0,Match Report,2023-08-12,18:30 (10:30),La Liga,Matchweek 1,Sat,Home,D,1,1,Mallorca,68,738,54,176,452,114,9,737,23,9,39.1,12,52.2,472,2144,937,13,5,3,12,13,537,37,Match Report,2023-08-12,18:30 (10:30),La Liga,Matchweek 1,Sat,Home,D,1,1,Mallorca,3,0,0,11,19,1,5,9,5,1,1,0,37,14,15,48.3,Match Report
2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Away,L,0,1,Valencia,0,7,1,14.3,0.00,0.00,23.6,1,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report,2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Away,L,0,1,Valencia,4,1,3,100.0,0,1.8,+0.8,1,1,0,0,3,12,25.0,47,2,19.1,26.4,8,37.5,32.3,12,0,0.0,0,9.3,Match Report,2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Away,L,0,1,Valencia,549,641,85.6,8434,2847,300,327,91.7,208,225,92.4,27,55,49.1,0,0.5,0.4,5,30,5,1,35,Match Report,2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Away,L,0,1,Valencia,641,589,51,13,1,2,9,24,4,1,1,0,549,1,8,Match Report,2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Away,L,0,1,Valencia,12,10,0,1,0,1,0,0,0,0,0,0,0,0,Match Report,2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Away,L,0,1,Valencia,19,13,7,9,3,7,18,38.9,11,7,3,4,7,26,15,0,Match Report,2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Away,L,0,1,Valencia,61,739,56,245,377,121,8,739,26,15,57.7,9,34.6,493,1994,872,9,8,2,14,7,544,34,Match Report,2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Away,L,0,1,Valencia,0,0,0,6,12,1,9,7,13,0,1,0,45,11,10,52.4,Match Report
2023-08-25,18:30 (10:30),La Liga,Matchweek 3,Fri,Home,D,0,0,Real Sociedad,0,11,5,45.5,0.00,0.00,18.6,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report,2023-08-25,18:30 (10:30),La Liga,Matchweek 3,Fri,Home,D,0,0,Real Sociedad,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,5,23,21.7,52,3,36.5,32.9,6,66.7,49.7,14,1,7.1,2,17.5,Match Report,2023-08-25,18:30 (10:30),La Liga,Matchweek 3,Fri,Home,D,0,0,Real Sociedad,396,501,79.0,6606,2456,188,210,89.5,169,192,88.0,29,69,42.0,0,0.9,1.0,10,23,6,0,38,Match Report,2023-08-25,18:30 (10:30),La Liga,Matchweek 3,Fri,Home,D,0,0,Real Sociedad,501,438,60,31,3,0,12,17,5,3,2,0,396,3,8,Match Report,2023-08-25,18:30 (10:30),La Liga,Matchweek 3,Fri,Home,D,0,0,Real Sociedad,19,15,2,1,0,0,1,0,0,0,0,0,0,0,Match Report,2023-08-25,18:30 (10:30),La Liga,Matchweek 3,Fri,Home,D,0,0,Real Sociedad,17,9,4,11,2,10,23,43.5,13,11,3,8,12,29,12,1,Match Report,2023-08-25,18:30 (10:30),La Liga,Matchweek 3,Fri,Home,D,0,0,Real Sociedad,52,604,57,194,300,117,18,604,14,4,28.6,7,50.0,349,1556,793,17,11,4,20,5,394,38,Match Report,2023-08-25,18:30 (10:30),La Liga,Matchweek 3,Fri,Home,D,0,0,Real Sociedad,1,0,0,7,28,3,12,12,9,0,0,0,58,20,19,51.3,Match Report
2023-09-03,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,L,0,1,Girona,0,10,5,50.0,0.00,0.00,20.6,1,0,0,1.1,1.1,0.11,-1.1,-1.1,Match Report,2023-09-03,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,L,0,1,Girona,6,1,5,83.3,0,1.2,+0.2,0,0,0,0,5,11,45.5,43,7,25.6,30.2,5,0.0,8.4,11,0,0.0,1,30.0,Match Report,2023-09-03,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,L,0,1,Girona,441,524,84.2,7009,2629,225,238,94.5,168,198,84.8,31,57,54.4,0,1.0,1.0,8,34,9,2,28,Match Report,2023-09-03,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,L,0,1,Girona,524,476,48,18,2,1,15,18,5,2,1,0,441,0,10,Match Report,2023-09-03,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,L,0,1,Girona,16,12,1,1,1,1,0,0,0,0,0,0,0,0,Match Report,2023-09-03,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,L,0,1,Girona,15,11,9,5,1,10,27,37.0,17,8,1,7,5,20,17,0,Match Report,2023-09-03,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,L,0,1,Girona,54,617,61,184,272,168,22,617,18,10,55.6,7,38.9,405,1834,890,14,13,4,13,11,437,28,Match Report,2023-09-03,14:00 (05:00),La Liga,Matchweek 4,Sun,Away,L,0,1,Girona,3,0,0,10,15,0,15,5,11,0,0,0,43,9,9,50.0,Match Report
2023-09-17,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0,1,Sevilla,0,14,2,14.3,0.00,0.00,22.0,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Match Report,2023-09-17,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0,1,Sevilla,9,1,8,88.9,0,2.5,+1.5,0,0,0,0,4,14,28.6,32,5,31.3,29.5,10,40.0,29.1,21,0,0.0,2,13.4,Match Report,2023-09-17,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0,1,Sevilla,420,526,79.8,7235,3117,206,235,87.7,165,199,82.9,41,66,62.1,0,0.8,1.1,12,44,6,0,46,Match Report,2023-09-17,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0,1,Sevilla,526,459,67,19,1,1,12,33,3,1,0,0,420,0,14,Match Report,2023-09-17,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0,1,Sevilla,24,19,0,2,2,0,1,0,0,0,0,0,0,0,Match Report,2023-09-17,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0,1,Sevilla,16,10,7,7,2,8,18,44.4,10,14,6,8,6,22,29,0,Match Report,2023-09-17,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0,1,Sevilla,57,665,81,242,291,138,15,665,27,11,40.7,12,44.4,316,1763,963,23,16,5,25,13,415,45,Match Report,2023-09-17,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0,1,Sevilla,5,0,0,12,12,0,12,6,10,0,0,0,58,11,10,52.4,Match Report
2023-09-24,17:30 (09:30),La Liga,Matchweek 6,Sun,Home,W,1,0,Granada,1,10,3,30.0,0.10,0.33,20.7,1,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report,2023-09-24,17:30 (09:30),La Liga,Matchweek 6,Sun,Home,W,1,0,Granada,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,7,19,36.8,43,3,37.2,34.2,7,42.9,33.1,20,1,5.0,2,14.0,Match Report,2023-09-24,17:30 (09:30),La Liga,Matchweek 6,Sun,Home,W,1,0,Granada,376,474,79.3,6211,2322,182,208,87.5,157,181,86.7,23,57,40.4,1,0.5,0.5,7,22,7,1,32,Match Report,2023-09-24,17:30 (09:30),La Liga,Matchweek 6,Sun,Home,W,1,0,Granada,474,424,46,22,0,4,15,10,6,4,1,0,376,4,7,Match Report,2023-09-24,17:30 (09:30),La Liga,Matchweek 6,Sun,Home,W,1,0,Granada,17,13,1,0,1,2,0,2,2,0,0,0,0,0,Match Report,2023-09-24,17:30 (09:30),La Liga,Matchweek 6,Sun,Home,W,1,0,Granada,23,13,14,8,1,12,19,63.2,7,8,0,8,7,30,28,0,Match Report,2023-09-24,17:30 (09:30),La Liga,Matchweek 6,Sun,Home,W,1,0,Granada,56,601,62,221,289,99,10,601,22,9,40.9,10,45.5,252,1502,806,7,7,0,18,6,372,31,Match Report,2023-09-24,17:30 (09:30),La Liga,Matchweek 6,Sun,Home,W,1,0,Granada,7,1,1,13,19,4,15,7,13,0,0,0,55,20,18,52.6,Match Report
2023-09-27,19:00 (10:00),La Liga,Matchweek 7,Wed,Away,L,0,2,Real Madrid,0,16,2,12.5,0.00,0.00,21.5,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report,2023-09-27,19:00 (10:00),La Liga,Matchweek 7,Wed,Away,L,0,2,Real Madrid,9,2,7,77.8,0,3.1,+1.1,0,0,0,0,4,12,33.3,41,12,29.3,32.5,4,0.0,11.0,15,2,13.3,2,10.5,Match Report,2023-09-27,19:00 (10:00),La Liga,Matchweek 7,Wed,Away,L,0,2,Real Madrid,615,680,90.4,9089,3329,362,374,96.8,208,229,90.8,31,47,66.0,0,0.7,1.1,15,35,12,3,46,Match Report,2023-09-27,19:00 (10:00),La Liga,Matchweek 7,Wed,Away,L,0,2,Real Madrid,680,650,28,12,2,3,8,8,2,0,0,0,615,2,7,Match Report,2023-09-27,19:00 (10:00),La Liga,Matchweek 7,Wed,Away,L,0,2,Real Madrid,32,30,0,0,0,1,1,0,0,0,0,0,0,0,Match Report,2023-09-27,19:00 (10:00),La Liga,Matchweek 7,Wed,Away,L,0,2,Real Madrid,24,14,15,7,2,14,24,58.3,10,14,9,5,7,31,26,1,Match Report,2023-09-27,19:00 (10:00),La Liga,Matchweek 7,Wed,Away,L,0,2,Real Madrid,52,823,103,280,375,169,19,823,11,6,54.5,4,36.4,554,2210,1134,15,10,2,22,8,611,45,Match Report,2023-09-27,19:00 (10:00),La Liga,Matchweek 7,Wed,Away,L,0,2,Real Madrid,1,0,0,9,7,2,8,7,14,0,0,0,53,3,5,37.5,Match Report
2023-10-02,20:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,1,Celta Vigo,2,15,4,26.7,0.07,0.25,22.2,0,1,1,1.7,0.9,0.06,+0.3,+0.1,Match Report,2023-10-02,20:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,1,Celta Vigo,3,1,2,66.7,0,1.6,+0.6,0,0,0,0,3,7,42.9,43,3,11.6,23.8,5,40.0,36.8,10,1,10.0,5,25.6,Match Report,2023-10-02,20:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,1,Celta Vigo,687,791,86.9,11235,3728,335,364,92.0,271,304,89.1,58,84,69.0,1,0.8,1.0,12,36,14,4,62,Match Report,2023-10-02,20:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,1,Celta Vigo,791,731,58,15,2,5,28,32,4,1,2,0,687,2,9,Match Report,2023-10-02,20:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,1,Celta Vigo,28,22,1,1,2,1,1,4,3,0,0,0,1,0,Match Report,2023-10-02,20:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,1,Celta Vigo,21,9,9,7,5,10,19,52.6,9,9,3,6,7,28,9,0,Match Report,2023-10-02,20:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,1,Celta Vigo,73,901,49,189,497,220,29,900,16,7,43.8,8,50.0,602,2835,1356,30,21,5,19,10,685,61,Match Report,2023-10-02,20:00 (12:00),La Liga,Matchweek 8,Mon,Home,W,2,1,Celta Vigo,2,0,0,13,14,2,28,7,9,1,0,0,55,17,9,65.4,Match Report
2023-10-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Away,W,2,1,Villarreal,2,7,4,57.1,0.14,0.25,22.3,1,1,1,1.1,0.3,0.05,+0.9,+0.7,Match Report,2023-10-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Away,W,2,1,Villarreal,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,4,12,33.3,40,8,25.0,29.4,5,40.0,37.8,17,0,0.0,2,16.5,Match Report,2023-10-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Away,W,2,1,Villarreal,398,472,84.3,6746,2872,199,225,88.4,164,178,92.1,33,58,56.9,0,0.2,0.5,4,31,6,1,26,Match Report,2023-10-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Away,W,2,1,Villarreal,472,427,40,19,3,3,11,12,2,2,0,0,398,5,3,Match Report,2023-10-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Away,W,2,1,Villarreal,15,12,0,2,0,1,0,3,2,0,0,0,1,0,Match Report,2023-10-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Away,W,2,1,Villarreal,34,20,17,13,4,13,22,59.1,9,12,1,11,15,49,13,0,Match Report,2023-10-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Away,W,2,1,Villarreal,51,593,52,227,251,126,16,592,23,12,52.2,9,39.1,261,1716,859,21,16,5,16,7,393,26,Match Report,2023-10-08,14:00 (05:00),La Liga,Matchweek 9,Sun,Away,W,2,1,Villarreal,4,0,0,7,14,5,11,15,20,0,0,0,61,3,9,25.0,Match Report
2023-10-22,13:00 (05:00),La Liga,Matchweek 10,Sun,Home,L,0,1,Rayo Vallecano,0,11,5,45.5,0.00,0.00,19.9,0,0,1,1.3,0.5,0.05,-1.3,-0.5,Match Report,2023-10-22,13:00 (05:00),La Liga,Matchweek 10,Sun,Home,L,0,1,Rayo Vallecano,4,1,3,100.0,0,1.2,+0.2,1,1,0,0,6,11,54.5,55,5,18.2,25.2,7,14.3,26.3,12,1,8.3,3,16.6,Match Report,2023-10-22,13:00 (05:00),La Liga,Matchweek 10,Sun,Home,L,0,1,Rayo Vallecano,493,607,81.2,7322,3051,272,315,86.3,184,205,89.8,20,50,40.0,0,0.4,1.0,9,29,13,2,49,Match Report,2023-10-22,13:00 (05:00),La Liga,Matchweek 10,Sun,Home,L,0,1,Rayo Vallecano,607,562,43,12,0,0,23,12,10,6,1,0,493,2,15,Match Report,2023-10-22,13:00 (05:00),La Liga,Matchweek 10,Sun,Home,L,0,1,Rayo Vallecano,23,20,1,1,1,0,0,0,0,0,0,0,0,0,Match Report,2023-10-22,13:00 (05:00),La Liga,Matchweek 10,Sun,Home,L,0,1,Rayo Vallecano,15,12,5,7,3,8,17,47.1,9,4,1,3,6,21,13,0,Match Report,2023-10-22,13:00 (05:00),La Liga,Matchweek 10,Sun,Home,L,0,1,Rayo Vallecano,60,716,61,207,333,181,31,715,16,9,56.3,6,37.5,462,2091,1232,24,18,1,25,13,487,48,Match Report,2023-10-22,13:00 (05:00),La Liga,Matchweek 10,Sun,Home,L,0,1,Rayo Vallecano,4,0,0,13,10,2,23,6,12,0,1,0,66,16,14,53.3,Match Report
