Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-11,22:00 (13:00),La Liga,Matchweek 1,Fri,Away,W,2,1,Sevilla,2,10,3,30.0,0.20,0.67,16.0,1,0,0,1.1,1.1,0.11,+0.9,+0.9,Match Report,2023-08-11,22:00 (13:00),La Liga,Matchweek 1,Fri,Away,W,2,1,Sevilla,3,1,2,66.7,0,1.0,0.0,0,0,0,0,3,12,25.0,12,3,58.3,41.2,8,62.5,46.8,26,1,3.8,0,5.5,Match Report,2023-08-11,22:00 (13:00),La Liga,Matchweek 1,Fri,Away,W,2,1,Sevilla,275,385,71.4,4605,1942,139,164,84.8,106,133,79.7,22,62,35.5,2,1.0,0.8,8,21,7,3,26,Match Report,2023-08-11,22:00 (13:00),La Liga,Matchweek 1,Fri,Away,W,2,1,Sevilla,385,329,56,17,3,2,11,28,1,0,0,0,275,0,11,Match Report,2023-08-11,22:00 (13:00),La Liga,Matchweek 1,Fri,Away,W,2,1,Sevilla,19,17,0,1,0,1,0,4,4,0,0,0,0,0,Match Report,2023-08-11,22:00 (13:00),La Liga,Matchweek 1,Fri,Away,W,2,1,Sevilla,24,13,10,12,2,13,20,65.0,7,12,1,11,10,34,36,1,Match Report,2023-08-11,22:00 (13:00),La Liga,Matchweek 1,Fri,Away,W,2,1,Sevilla,45,516,57,190,232,99,15,516,22,12,54.5,7,31.8,232,1080,538,13,15,5,11,16,273,26,Match Report,2023-08-11,22:00 (13:00),La Liga,Matchweek 1,Fri,Away,W,2,1,Sevilla,2,0,0,17,15,0,11,10,13,0,0,0,59,19,17,52.8,Match Report
2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Home,W,1,0,Las Palmas,1,8,3,37.5,0.00,0.00,17.3,0,1,1,1.5,0.7,0.09,-0.5,-0.7,Match Report,2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Home,W,1,0,Las Palmas,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,3,14,21.4,19,0,63.2,42.6,5,40.0,43.4,6,1,16.7,2,18.0,Match Report,2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Home,W,1,0,Las Palmas,317,411,77.1,6114,1921,116,133,87.2,153,170,90.0,37,84,44.0,0,0.7,0.6,7,24,5,1,27,Match Report,2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Home,W,1,0,Las Palmas,411,367,42,6,2,10,20,24,6,2,3,0,317,2,5,Match Report,2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Home,W,1,0,Las Palmas,16,11,2,1,1,0,1,1,1,0,0,0,0,0,Match Report,2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Home,W,1,0,Las Palmas,16,9,10,4,2,9,24,37.5,15,9,2,7,9,25,9,0,Match Report,2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Home,W,1,0,Las Palmas,39,502,43,175,234,99,13,501,19,11,57.9,7,36.8,284,1730,806,16,12,3,12,12,316,27,Match Report,2023-08-18,21:30 (12:30),La Liga,Matchweek 2,Fri,Home,W,1,0,Las Palmas,0,0,0,12,5,2,20,9,9,0,0,0,52,10,11,47.6,Match Report
2023-08-27,19:30 (10:30),La Liga,Matchweek 3,Sun,Home,L,1,2,Osasuna,1,16,4,25.0,0.06,0.25,15.6,0,0,0,1.7,1.7,0.11,-0.7,-0.7,Match Report,2023-08-27,19:30 (10:30),La Liga,Matchweek 3,Sun,Home,L,1,2,Osasuna,2,2,0,50.0,0,1.4,-0.6,1,1,0,0,0,0,,8,1,0.0,19.4,3,0.0,20.0,9,0,0.0,1,23.0,Match Report,2023-08-27,19:30 (10:30),La Liga,Matchweek 3,Sun,Home,L,1,2,Osasuna,459,573,80.1,7769,2475,215,244,88.1,200,234,85.5,34,69,49.3,0,1.1,1.2,13,41,11,3,50,Match Report,2023-08-27,19:30 (10:30),La Liga,Matchweek 3,Sun,Home,L,1,2,Osasuna,573,519,51,12,0,3,32,27,6,1,2,0,459,3,9,Match Report,2023-08-27,19:30 (10:30),La Liga,Matchweek 3,Sun,Home,L,1,2,Osasuna,27,25,1,0,1,0,0,0,0,0,0,0,0,0,Match Report,2023-08-27,19:30 (10:30),La Liga,Matchweek 3,Sun,Home,L,1,2,Osasuna,14,11,5,8,1,5,9,55.6,4,12,2,10,11,25,13,0,Match Report,2023-08-27,19:30 (10:30),La Liga,Matchweek 3,Sun,Home,L,1,2,Osasuna,64,684,27,155,341,196,24,684,24,12,50.0,11,45.8,421,2553,1403,35,26,6,19,3,453,49,Match Report,2023-08-27,19:30 (10:30),La Liga,Matchweek 3,Sun,Home,L,1,2,Osasuna,3,0,0,13,12,3,32,11,11,0,1,0,68,16,17,48.5,Match Report
2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,1,Alavés,0,9,4,44.4,0.00,0.00,18.0,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Match Report,2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,1,Alavés,1,1,0,0.0,0,1.0,+1.0,1,0,1,0,2,11,18.2,25,8,36.0,33.0,9,22.2,32.3,9,1,11.1,0,6.0,Match Report,2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,1,Alavés,428,531,80.6,7726,2234,149,169,88.2,255,283,90.1,18,58,31.0,0,0.7,0.5,8,29,8,0,47,Match Report,2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,1,Alavés,531,477,54,21,0,4,17,20,2,0,0,0,428,0,10,Match Report,2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,1,Alavés,18,13,0,4,0,0,1,0,0,0,0,0,0,0,Match Report,2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,1,Alavés,17,8,9,7,1,7,17,41.2,10,9,2,7,5,22,19,0,Match Report,2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,1,Alavés,60,641,55,209,316,123,13,641,21,12,57.1,7,33.3,334,2444,1354,21,19,2,21,6,422,46,Match Report,2023-09-02,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,1,Alavés,2,0,0,9,17,0,17,5,8,0,1,1,53,9,12,42.9,Match Report
2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,W,3,0,Atlético Madrid,3,12,8,66.7,0.25,0.38,16.2,1,0,0,1.3,1.3,0.11,+1.7,+1.7,Match Report,2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,W,3,0,Atlético Madrid,3,0,3,100.0,1,0.6,+0.6,0,0,0,0,9,28,32.1,25,3,76.0,49.2,11,81.8,57.7,23,1,4.3,0,4.0,Match Report,2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,W,3,0,Atlético Madrid,276,360,76.7,4843,1867,139,151,92.1,91,112,81.3,34,70,48.6,2,0.7,0.4,8,16,2,0,19,Match Report,2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,W,3,0,Atlético Madrid,360,309,51,16,1,1,12,18,5,1,2,0,276,0,10,Match Report,2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,W,3,0,Atlético Madrid,22,12,3,2,2,3,0,6,4,0,2,0,0,0,Match Report,2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,W,3,0,Atlético Madrid,18,10,9,6,3,10,21,47.6,11,17,3,14,8,26,34,0,Match Report,2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,W,3,0,Atlético Madrid,37,494,87,207,192,101,14,494,21,8,38.1,9,42.9,276,1246,578,14,6,7,21,9,273,19,Match Report,2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Home,W,3,0,Atlético Madrid,1,0,0,13,16,0,12,8,10,0,0,0,43,8,17,32.0,Match Report
2023-09-23,21:00 (12:00),La Liga,Matchweek 6,Sat,Away,D,2,2,Almería,2,7,5,71.4,0.29,0.40,19.0,0,0,0,0.8,0.8,0.11,+1.2,+1.2,Match Report,2023-09-23,21:00 (12:00),La Liga,Matchweek 6,Sat,Away,D,2,2,Almería,10,2,8,80.0,0,3.2,+1.2,0,0,0,0,3,19,15.8,18,0,77.8,50.8,8,62.5,48.1,18,0,0.0,0,3.0,Match Report,2023-09-23,21:00 (12:00),La Liga,Matchweek 6,Sat,Away,D,2,2,Almería,278,386,72.0,4923,1630,143,172,83.1,95,121,78.5,35,77,45.5,2,0.7,0.5,6,7,3,1,19,Match Report,2023-09-23,21:00 (12:00),La Liga,Matchweek 6,Sat,Away,D,2,2,Almería,386,332,53,15,3,2,11,24,3,0,1,1,278,1,9,Match Report,2023-09-23,21:00 (12:00),La Liga,Matchweek 6,Sat,Away,D,2,2,Almería,12,9,1,2,0,0,0,4,3,0,1,0,0,0,Match Report,2023-09-23,21:00 (12:00),La Liga,Matchweek 6,Sat,Away,D,2,2,Almería,25,15,13,8,4,12,21,57.1,9,6,2,4,5,30,23,1,Match Report,2023-09-23,21:00 (12:00),La Liga,Matchweek 6,Sat,Away,D,2,2,Almería,39,490,55,191,210,94,12,490,12,7,58.3,4,33.3,250,1291,723,13,11,1,13,6,276,19,Match Report,2023-09-23,21:00 (12:00),La Liga,Matchweek 6,Sat,Away,D,2,2,Almería,2,0,0,10,12,1,11,5,15,0,0,0,37,13,24,35.1,Match Report
2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,L,0,1,Real Sociedad,0,9,2,22.2,0.00,0.00,27.2,2,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,L,0,1,Real Sociedad,1,1,0,0.0,0,0.0,-1.0,0,0,0,0,5,23,21.7,29,1,69.0,44.6,4,75.0,52.0,7,1,14.3,3,17.5,Match Report,2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,L,0,1,Real Sociedad,282,393,71.8,5122,1707,130,153,85.0,121,148,81.8,28,72,38.9,0,0.2,0.4,4,20,2,1,21,Match Report,2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,L,0,1,Real Sociedad,393,341,49,17,0,4,8,26,0,0,0,0,282,3,12,Match Report,2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,L,0,1,Real Sociedad,12,7,2,0,0,3,0,0,0,0,0,0,0,0,Match Report,2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,L,0,1,Real Sociedad,18,10,4,10,4,8,16,50.0,8,13,0,13,2,20,16,0,Match Report,2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,L,0,1,Real Sociedad,38,478,39,155,234,99,8,478,15,8,53.3,7,46.7,263,1333,518,6,10,1,10,9,281,21,Match Report,2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,L,0,1,Real Sociedad,4,1,1,14,16,3,8,2,10,0,0,0,60,15,27,35.7,Match Report
2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,3,Betis,0,9,2,22.2,0.00,0.00,19.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,3,Betis,7,3,4,57.1,0,1.4,-1.6,0,0,0,0,1,12,8.3,21,6,38.1,31.2,7,57.1,47.6,10,2,20.0,3,16.5,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,3,Betis,347,441,78.7,5724,1973,178,205,86.8,140,159,88.1,25,59,42.4,0,0.6,0.4,7,23,1,1,24,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,3,Betis,441,388,51,16,2,2,13,21,3,1,2,0,347,2,9,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,3,Betis,17,10,3,1,1,1,1,0,0,0,0,0,0,0,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,3,Betis,19,11,10,7,2,9,20,45.0,11,8,3,5,5,24,17,0,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,3,Betis,45,536,68,208,228,108,11,536,14,6,42.9,7,50.0,259,1686,905,15,11,3,18,6,347,24,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,0,3,Betis,2,0,0,10,11,2,13,5,11,0,0,0,52,11,13,45.8,Match Report
2023-10-07,18:30 (09:30),La Liga,Matchweek 9,Sat,Away,D,1,1,Mallorca,1,11,3,27.3,0.09,0.33,24.6,2,0,0,0.5,0.5,0.05,+0.5,+0.5,Match Report,2023-10-07,18:30 (09:30),La Liga,Matchweek 9,Sat,Away,D,1,1,Mallorca,5,1,4,80.0,0,2.3,+1.3,0,0,0,0,0,11,0.0,21,7,42.9,32.2,2,100.0,65.0,10,2,20.0,0,7.3,Match Report,2023-10-07,18:30 (09:30),La Liga,Matchweek 9,Sat,Away,D,1,1,Mallorca,400,509,78.6,6490,2347,203,234,86.8,163,182,89.6,27,68,39.7,1,0.3,0.3,6,30,2,1,43,Match Report,2023-10-07,18:30 (09:30),La Liga,Matchweek 9,Sat,Away,D,1,1,Mallorca,509,457,52,18,0,1,15,24,6,0,2,0,400,0,9,Match Report,2023-10-07,18:30 (09:30),La Liga,Matchweek 9,Sat,Away,D,1,1,Mallorca,21,14,1,2,1,2,1,2,2,0,0,0,0,0,Match Report,2023-10-07,18:30 (09:30),La Liga,Matchweek 9,Sat,Away,D,1,1,Mallorca,15,11,6,9,0,7,14,50.0,7,8,2,6,14,29,14,1,Match Report,2023-10-07,18:30 (09:30),La Liga,Matchweek 9,Sat,Away,D,1,1,Mallorca,51,646,42,164,335,156,15,646,32,17,53.1,12,37.5,370,1787,800,16,16,4,27,14,399,43,Match Report,2023-10-07,18:30 (09:30),La Liga,Matchweek 9,Sat,Away,D,1,1,Mallorca,1,0,0,11,16,0,15,14,11,0,0,0,67,16,19,45.7,Match Report
2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Home,W,2,0,Cádiz,2,12,4,33.3,0.17,0.50,16.8,1,0,0,1.5,1.5,0.14,+0.5,+0.5,Match Report,2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Home,W,2,0,Cádiz,4,0,4,100.0,1,1.4,+1.4,0,0,0,0,4,9,44.4,21,8,33.3,31.4,4,50.0,45.3,18,2,11.1,0,10.0,Match Report,2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Home,W,2,0,Cádiz,507,590,85.9,8592,3126,249,269,92.6,194,221,87.8,53,77,68.8,1,0.5,0.6,9,37,6,2,40,Match Report,2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Home,W,2,0,Cádiz,590,545,41,17,1,3,14,15,4,0,2,0,507,4,9,Match Report,2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Home,W,2,0,Cádiz,22,18,1,1,1,1,0,3,2,0,0,1,0,0,Match Report,2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Home,W,2,0,Cádiz,13,6,8,2,3,3,9,33.3,6,7,0,7,7,20,16,2,Match Report,2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Home,W,2,0,Cádiz,61,672,49,188,325,164,20,672,20,7,35.0,7,35.0,424,2224,1282,26,16,7,10,7,503,40,Match Report,2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Home,W,2,0,Cádiz,0,0,0,16,16,4,14,7,6,0,0,0,53,12,14,46.2,Match Report
