Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-05,17:15 (08:15),Ligue 1,Matchweek 1,Sat,Away,L,0,2,Paris S-G,0,7,1,14.3,0.00,0.00,21.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report,2017-08-05,17:15 (08:15),Ligue 1,Matchweek 1,Sat,Away,L,0,2,Paris S-G,5,2,3,60.0,0,3.0,+1.0,0,0,0,0,6,17,35.3,23,7,34.8,34.2,13,69.2,48.9,13,1,7.7,0,11.3,Match Report,2017-08-05,17:15 (08:15),Ligue 1,Matchweek 1,Sat,Away,L,0,2,Paris S-G,269,366,73.5,4597,2080,115,139,82.7,98,117,83.8,33,74,44.6,0,0.3,0.2,6,13,2,0,19,Match Report,2017-08-05,17:15 (08:15),Ligue 1,Matchweek 1,Sat,Away,L,0,2,Paris S-G,366,327,39,12,1,4,13,8,3,3,0,0,269,0,10,Match Report,2017-08-05,17:15 (08:15),Ligue 1,Matchweek 1,Sat,Away,L,0,2,Paris S-G,10,8,1,0,1,0,0,0,0,0,0,0,0,0,Match Report,2017-08-05,17:15 (08:15),Ligue 1,Matchweek 1,Sat,Away,L,0,2,Paris S-G,18,17,9,8,1,7,16,43.8,9,15,4,11,22,40,25,0,Match Report,2017-08-05,17:15 (08:15),Ligue 1,Matchweek 1,Sat,Away,L,0,2,Paris S-G,32,481,77,226,194,72,5,481,15,7,46.7,8,53.3,232,1530,758,14,13,2,18,12,266,19,Match Report,2017-08-05,17:15 (08:15),Ligue 1,Matchweek 1,Sat,Away,L,0,2,Paris S-G,1,0,0,12,8,0,13,22,17,0,0,0,56,5,6,45.5,Match Report
2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,L,0,2,Angers,0,10,1,10.0,0.00,0.00,18.8,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,L,0,2,Angers,6,2,4,66.7,0,1.1,-0.9,0,0,0,0,5,9,55.6,21,7,38.1,36.9,5,20.0,35.4,12,2,16.7,3,16.5,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,L,0,2,Angers,448,568,78.9,7340,2609,230,267,86.1,151,184,82.1,48,82,58.5,0,0.9,0.7,9,39,6,0,56,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,L,0,2,Angers,568,506,58,18,1,7,26,27,5,2,3,0,448,4,7,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,L,0,2,Angers,20,15,4,1,0,0,0,0,0,0,0,0,0,0,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,L,0,2,Angers,12,10,5,6,1,6,10,60.0,4,10,4,6,18,30,20,0,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,L,0,2,Angers,59,668,55,166,375,138,13,668,18,16,88.9,2,11.1,474,2624,1565,27,22,4,21,16,447,56,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,L,0,2,Angers,3,0,0,8,17,4,26,18,10,0,0,0,61,14,18,43.8,Match Report
2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,3,Saint-Étienne,0,16,1,6.3,0.00,0.00,17.0,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,3,Saint-Étienne,5,3,2,80.0,0,2.2,-0.8,2,2,0,0,9,16,56.3,21,5,52.4,36.5,5,100.0,56.6,9,0,0.0,1,15.5,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,3,Saint-Étienne,387,509,76.0,6772,2757,205,234,87.6,125,152,82.2,47,94,50.0,0,1.1,1.3,14,24,11,4,45,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,3,Saint-Étienne,509,447,61,13,1,5,28,28,11,5,3,0,387,1,11,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,3,Saint-Étienne,31,18,7,3,1,2,0,0,0,0,0,0,0,0,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,3,Saint-Étienne,16,15,5,9,2,5,8,62.5,3,13,5,8,14,30,19,1,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,3,Saint-Étienne,53,625,43,163,308,161,31,625,25,18,72.0,7,28.0,287,1475,764,22,14,11,19,19,385,45,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,3,Saint-Étienne,2,0,0,12,11,1,28,14,15,0,2,0,62,14,19,42.4,Match Report
2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,3,0,Nice,3,12,4,33.3,0.25,0.75,17.9,1,0,0,1.3,1.3,0.11,+1.7,+1.7,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,3,0,Nice,3,0,3,100.0,1,0.1,+0.1,0,0,0,0,11,29,37.9,27,1,77.8,46.4,8,100.0,60.3,10,0,0.0,0,13.0,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,3,0,Nice,237,338,70.1,4222,2012,121,147,82.3,79,104,76.0,30,71,42.3,2,1.1,0.9,8,24,5,0,25,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,3,0,Nice,338,302,34,7,0,4,11,15,3,1,2,0,237,2,3,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,3,0,Nice,21,12,4,2,1,1,1,6,2,1,1,1,1,0,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,3,0,Nice,28,18,19,7,2,12,22,54.5,10,15,4,11,12,40,27,0,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,3,0,Nice,35,453,57,161,185,108,17,453,13,10,76.9,3,23.1,191,1107,549,14,11,4,13,14,236,25,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,3,0,Nice,3,0,0,14,7,2,11,12,18,0,0,0,65,10,12,45.5,Match Report
2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,W,1,0,Strasbourg,1,8,3,37.5,0.13,0.33,21.7,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,W,1,0,Strasbourg,3,0,3,100.0,1,0.3,+0.3,0,0,0,0,6,31,19.4,24,3,83.3,50.5,11,100.0,62.9,19,0,0.0,1,19.5,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,W,1,0,Strasbourg,244,374,65.2,4336,2185,112,139,80.6,100,132,75.8,22,70,31.4,1,0.3,0.2,7,20,2,1,29,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,W,1,0,Strasbourg,374,320,54,23,0,0,11,19,0,0,0,0,244,0,10,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,W,1,0,Strasbourg,14,9,2,0,0,3,0,2,2,0,0,0,0,0,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,W,1,0,Strasbourg,18,14,8,8,2,6,20,30.0,14,8,2,6,12,30,36,1,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,W,1,0,Strasbourg,42,483,62,177,228,86,6,483,13,12,92.3,1,7.7,214,1411,788,24,21,1,16,19,241,29,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,W,1,0,Strasbourg,3,0,0,14,20,0,11,12,14,0,0,0,63,21,19,52.5,Match Report
2017-09-17,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,0,2,Marseille,0,8,3,37.5,0.00,0.00,20.7,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report,2017-09-17,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,0,2,Marseille,6,2,4,66.7,0,1.2,-0.8,0,0,0,0,10,26,38.5,24,8,58.3,40.0,12,100.0,56.7,8,1,12.5,3,23.8,Match Report,2017-09-17,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,0,2,Marseille,289,425,68.0,5443,2463,122,159,76.7,120,152,78.9,37,77,48.1,0,0.4,0.6,3,21,3,1,33,Match Report,2017-09-17,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,0,2,Marseille,425,351,72,15,0,5,20,36,6,1,2,0,289,2,20,Match Report,2017-09-17,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,0,2,Marseille,14,8,3,0,0,3,0,0,0,0,0,0,0,0,Match Report,2017-09-17,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,0,2,Marseille,35,25,17,15,3,8,20,40.0,12,14,8,6,6,41,15,1,Match Report,2017-09-17,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,0,2,Marseille,49,538,49,159,255,128,12,538,14,9,64.3,5,35.7,221,993,471,15,8,2,17,18,287,32,Match Report,2017-09-17,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,0,2,Marseille,2,0,0,11,15,2,20,6,25,0,0,0,53,11,20,35.5,Match Report
2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,L,0,1,Caen,0,2,0,0.0,0.00,,34.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,L,0,1,Caen,5,1,4,100.0,0,1.8,+0.8,1,1,0,0,17,37,45.9,31,3,77.4,47.5,13,100.0,64.2,20,3,15.0,1,11.6,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,L,0,1,Caen,249,390,63.8,5060,2719,106,143,74.1,84,119,70.6,48,98,49.0,0,0.0,0.1,2,18,2,0,21,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,L,0,1,Caen,390,335,54,16,0,0,12,20,3,0,3,0,249,1,7,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,L,0,1,Caen,4,3,0,1,0,0,0,0,0,0,0,0,0,0,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,L,0,1,Caen,17,13,13,3,1,7,13,53.8,6,12,5,7,21,38,42,0,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,L,0,1,Caen,44,514,73,219,217,80,5,514,8,6,75.0,2,25.0,195,963,434,7,7,2,18,11,248,21,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,L,0,1,Caen,2,0,0,19,14,1,12,21,13,0,1,0,54,21,28,42.9,Match Report
2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,0,1,Toulouse,0,7,2,28.6,0.00,0.00,22.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,0,1,Toulouse,5,1,4,80.0,0,1.3,+0.3,0,0,0,0,5,23,21.7,36,8,44.4,36.7,8,87.5,58.8,13,1,7.7,0,14.8,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,0,1,Toulouse,342,453,75.5,6075,2378,158,175,90.3,126,157,80.3,40,77,51.9,0,0.3,0.3,6,23,3,0,24,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,0,1,Toulouse,453,395,49,18,1,3,13,21,0,0,0,0,342,9,11,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,0,1,Toulouse,11,6,0,3,0,1,1,0,0,0,0,0,0,0,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,0,1,Toulouse,9,7,4,4,1,1,14,7.1,13,10,4,6,12,21,27,0,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,0,1,Toulouse,44,543,59,199,264,88,5,543,7,6,85.7,1,14.3,277,1315,736,11,10,3,14,19,340,24,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,0,1,Toulouse,5,1,1,21,14,9,13,12,7,0,0,0,56,12,19,38.7,Match Report
2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,1,0,Bordeaux,1,13,4,30.8,0.08,0.25,15.9,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Match Report,2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,1,0,Bordeaux,4,0,4,100.0,1,0.9,+0.9,0,0,0,0,11,28,39.3,31,2,54.8,40.7,11,100.0,61.7,18,2,11.1,0,10.2,Match Report,2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,1,0,Bordeaux,298,405,73.6,5920,3089,121,147,82.3,134,164,81.7,40,82,48.8,1,1.1,1.2,12,29,7,0,36,Match Report,2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,1,0,Bordeaux,405,362,43,14,1,0,14,13,4,1,3,0,298,0,6,Match Report,2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,1,0,Bordeaux,24,13,6,0,2,3,0,1,0,0,0,1,0,0,Match Report,2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,1,0,Bordeaux,20,7,8,8,4,7,16,43.8,9,10,5,5,16,36,38,0,Match Report,2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,1,0,Bordeaux,41,536,71,207,231,102,23,536,12,7,58.3,5,41.7,223,1259,643,12,12,0,21,11,292,34,Match Report,2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,1,0,Bordeaux,3,0,0,12,12,0,14,16,7,0,0,0,64,19,13,59.4,Match Report
2017-10-25,21:05 (12:05),Coupe de la Ligue,Third round,Wed,Away,W,2,1,Troyes,2,,,,,,,,0,0,,,,,,Match Report,2017-10-25,21:05 (12:05),Coupe de la Ligue,Third round,Wed,Away,W,2,1,Troyes,,1,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-10-25,21:05 (12:05),Coupe de la Ligue,Third round,Wed,Away,W,2,1,Troyes,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2017-10-25,21:05 (12:05),Coupe de la Ligue,Third round,Wed,Away,W,2,1,Troyes,,,,,,,,,,,,,,,,Match Report,2017-10-25,21:05 (12:05),Coupe de la Ligue,Third round,Wed,Away,W,2,1,Troyes,,,,,,,,,,,,,,,Match Report,2017-10-25,21:05 (12:05),Coupe de la Ligue,Third round,Wed,Away,W,2,1,Troyes,,,,,,,,,,,,,,0,,,Match Report,2017-10-25,21:05 (12:05),Coupe de la Ligue,Third round,Wed,Away,W,2,1,Troyes,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-10-25,21:05 (12:05),Coupe de la Ligue,Third round,Wed,Away,W,2,1,Troyes,2,0,0,,,,,,,,,0,,,,,Match Report
