Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-07-27,20:30 (11:30),Europa Lg,Third qualifying round,Thu,Home,W,2,1,hu Videoton,2,,,,,,,,0,0,,,,,,Match Report,2017-07-27,20:30 (11:30),Europa Lg,Third qualifying round,Thu,Home,W,2,1,hu Videoton,,1,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-07-27,20:30 (11:30),Europa Lg,Third qualifying round,Thu,Home,W,2,1,hu Videoton,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2017-07-27,20:30 (11:30),Europa Lg,Third qualifying round,Thu,Home,W,2,1,hu Videoton,,,,,,,,,,,,,,,,Match Report,2017-07-27,20:30 (11:30),Europa Lg,Third qualifying round,Thu,Home,W,2,1,hu Videoton,,,,,,,,,,,,,,,Match Report,2017-07-27,20:30 (11:30),Europa Lg,Third qualifying round,Thu,Home,W,2,1,hu Videoton,,,,,,,,,,,,,,0,,,Match Report,2017-07-27,20:30 (11:30),Europa Lg,Third qualifying round,Thu,Home,W,2,1,hu Videoton,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-07-27,20:30 (11:30),Europa Lg,Third qualifying round,Thu,Home,W,2,1,hu Videoton,3,0,0,,,,,,,,,0,,,,,Match Report
2017-08-03,19:00 (10:00),Europa Lg,Third qualifying round,Thu,Away,L,0,1,hu Videoton,0,,,,,,,,0,0,,,,,,Match Report,2017-08-03,19:00 (10:00),Europa Lg,Third qualifying round,Thu,Away,L,0,1,hu Videoton,,1,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-03,19:00 (10:00),Europa Lg,Third qualifying round,Thu,Away,L,0,1,hu Videoton,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2017-08-03,19:00 (10:00),Europa Lg,Third qualifying round,Thu,Away,L,0,1,hu Videoton,,,,,,,,,,,,,,,,Match Report,2017-08-03,19:00 (10:00),Europa Lg,Third qualifying round,Thu,Away,L,0,1,hu Videoton,,,,,,,,,,,,,,,Match Report,2017-08-03,19:00 (10:00),Europa Lg,Third qualifying round,Thu,Away,L,0,1,hu Videoton,,,,,,,,,,,,,,0,,,Match Report,2017-08-03,19:00 (10:00),Europa Lg,Third qualifying round,Thu,Away,L,0,1,hu Videoton,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-03,19:00 (10:00),Europa Lg,Third qualifying round,Thu,Away,L,0,1,hu Videoton,4,1,1,,,,,,,,,0,,,,,Match Report
2017-08-06,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,D,2,2,Angers,2,7,3,42.9,0.29,0.67,13.9,0,0,0,1.7,1.7,0.24,+0.3,+0.3,Match Report,2017-08-06,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,D,2,2,Angers,5,2,3,60.0,0,1.2,-0.8,0,0,0,0,7,20,35.0,28,6,39.3,35.4,10,90.0,63.4,11,1,9.1,2,14.8,Match Report,2017-08-06,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,D,2,2,Angers,424,548,77.4,7486,2730,186,216,86.1,160,187,85.6,55,95,57.9,2,1.7,1.6,7,30,9,3,34,Match Report,2017-08-06,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,D,2,2,Angers,548,482,62,17,1,6,17,27,5,3,0,0,424,4,12,Match Report,2017-08-06,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,D,2,2,Angers,13,12,1,0,0,0,0,4,4,0,0,0,0,0,Match Report,2017-08-06,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,D,2,2,Angers,18,13,7,11,0,3,12,25.0,9,11,1,10,6,24,17,0,Match Report,2017-08-06,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,D,2,2,Angers,56,641,47,185,345,121,14,641,24,16,66.7,8,33.3,316,1846,1026,21,13,2,15,11,424,34,Match Report,2017-08-06,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,D,2,2,Angers,2,0,0,15,16,4,17,6,13,0,0,0,58,12,18,40.0,Match Report
2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,2,0,Metz,2,12,5,41.7,0.17,0.40,16.4,0,0,0,2.0,2.0,0.17,0.0,0.0,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,2,0,Metz,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,8,12,66.7,22,4,27.3,29.0,7,85.7,54.3,8,1,12.5,1,12.7,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,2,0,Metz,446,544,82.0,7069,2681,213,237,89.9,153,185,82.7,41,62,66.1,2,1.9,1.2,11,27,8,3,47,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,2,0,Metz,544,502,40,12,1,5,27,15,5,2,0,0,446,2,10,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,2,0,Metz,22,18,1,2,1,0,0,4,2,1,1,0,0,0,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,2,0,Metz,13,7,2,8,3,5,16,31.3,11,11,2,9,16,29,14,0,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,2,0,Metz,51,630,39,183,301,150,22,630,19,14,73.7,5,26.3,458,2694,1406,25,18,6,9,8,443,47,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,2,0,Metz,1,0,0,17,10,2,27,16,7,0,0,0,52,16,13,55.2,Match Report
2017-08-19,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,D,3,3,Lyon,3,16,6,37.5,0.19,0.50,21.8,1,0,0,0.9,0.9,0.06,+2.1,+2.1,Match Report,2017-08-19,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,D,3,3,Lyon,5,3,2,40.0,0,0.9,-2.1,0,0,0,0,1,3,33.3,22,2,9.1,28.9,4,25.0,33.8,2,0,0.0,1,23.5,Match Report,2017-08-19,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,D,3,3,Lyon,434,539,80.5,7286,2526,205,230,89.1,176,211,83.4,38,65,58.5,1,0.7,0.6,11,41,3,1,60,Match Report,2017-08-19,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,D,3,3,Lyon,539,477,59,19,0,6,30,24,8,5,3,0,434,3,10,Match Report,2017-08-19,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,D,3,3,Lyon,29,25,0,2,1,1,0,5,4,0,0,1,0,0,Match Report,2017-08-19,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,D,3,3,Lyon,15,8,8,7,0,6,18,33.3,12,7,0,7,16,31,6,0,Match Report,2017-08-19,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,D,3,3,Lyon,59,630,37,120,341,175,17,630,14,7,50.0,7,50.0,435,2395,1365,32,16,5,18,11,431,60,Match Report,2017-08-19,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,D,3,3,Lyon,2,0,0,16,20,3,30,16,8,0,0,0,54,10,16,38.5,Match Report
2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,2,1,Troyes,2,13,7,53.8,0.15,0.29,15.5,2,0,0,2.5,2.5,0.20,-0.5,-0.5,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,2,1,Troyes,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,6,17,35.3,35,5,40.0,35.3,9,33.3,40.0,16,2,12.5,2,15.3,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,2,1,Troyes,489,595,82.2,8894,2776,212,234,90.6,202,238,84.9,52,87,59.8,1,1.9,1.7,9,32,7,4,47,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,2,1,Troyes,595,543,49,17,1,14,18,17,4,2,0,0,489,3,8,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,2,1,Troyes,20,12,2,3,0,3,0,2,2,0,0,0,0,0,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,2,1,Troyes,20,14,11,7,2,4,6,66.7,2,5,1,4,18,38,26,0,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,2,1,Troyes,56,691,55,192,369,136,20,691,16,9,56.3,7,43.8,457,2334,1301,19,18,6,8,7,485,47,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,2,1,Troyes,0,0,0,9,17,3,18,18,14,0,0,0,62,17,11,60.7,Match Report
2017-09-08,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,D,0,0,Lille,0,18,1,5.6,0.00,0.00,22.0,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Match Report,2017-09-08,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,D,0,0,Lille,2,0,2,100.0,1,0.4,+0.4,0,0,0,0,4,13,30.8,29,11,24.1,31.0,7,85.7,51.0,11,1,9.1,3,19.7,Match Report,2017-09-08,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,D,0,0,Lille,512,608,84.2,8558,3095,258,285,90.5,188,216,87.0,48,78,61.5,0,1.0,1.3,16,44,10,2,59,Match Report,2017-09-08,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,D,0,0,Lille,608,565,41,14,2,4,19,16,3,2,1,0,512,2,5,Match Report,2017-09-08,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,D,0,0,Lille,30,26,2,1,1,0,0,0,0,0,0,0,0,0,Match Report,2017-09-08,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,D,0,0,Lille,21,15,7,9,5,5,17,29.4,12,13,5,8,11,32,8,0,Match Report,2017-09-08,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,D,0,0,Lille,59,716,48,134,374,214,23,716,19,9,47.4,10,52.6,533,2767,1660,29,30,6,17,9,511,59,Match Report,2017-09-08,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,D,0,0,Lille,4,0,0,13,11,2,19,11,15,0,0,0,66,10,7,58.8,Match Report
2017-09-15,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,W,1,0,Toulouse,1,14,4,28.6,0.07,0.25,22.0,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Match Report,2017-09-15,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,W,1,0,Toulouse,5,0,5,100.0,1,1.3,+1.3,0,0,0,0,12,21,57.1,25,5,60.0,42.8,7,85.7,54.9,9,1,11.1,0,11.2,Match Report,2017-09-15,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,W,1,0,Toulouse,421,545,77.2,6869,3172,220,258,85.3,135,169,79.9,43,78,55.1,1,0.7,1.0,13,23,9,2,43,Match Report,2017-09-15,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,W,1,0,Toulouse,545,477,62,20,2,2,22,25,9,5,0,0,421,6,7,Match Report,2017-09-15,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,W,1,0,Toulouse,25,23,0,1,1,0,0,2,2,0,0,0,0,0,Match Report,2017-09-15,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,W,1,0,Toulouse,18,15,9,9,0,7,17,41.2,10,8,5,3,14,32,21,1,Match Report,2017-09-15,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,W,1,0,Toulouse,55,643,55,187,307,165,25,643,20,15,75.0,5,25.0,406,2375,1274,23,32,7,19,10,418,43,Match Report,2017-09-15,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,W,1,0,Toulouse,1,0,0,10,17,6,22,14,15,0,0,0,63,11,28,28.2,Match Report
2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,W,3,1,Guingamp,3,20,6,30.0,0.15,0.50,19.2,1,0,1,2.7,1.9,0.10,+0.3,+1.1,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,W,3,1,Guingamp,4,1,2,75.0,0,1.4,+0.4,1,0,1,0,6,18,33.3,28,4,42.9,38.2,9,66.7,52.7,6,0,0.0,2,20.0,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,W,3,1,Guingamp,432,532,81.2,8097,2945,181,205,88.3,183,209,87.6,55,89,61.8,2,1.7,1.3,13,37,12,4,53,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,W,3,1,Guingamp,532,481,48,12,6,5,26,20,5,3,1,0,432,3,11,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,W,3,1,Guingamp,37,25,2,3,4,2,1,5,4,0,0,1,0,0,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,W,3,1,Guingamp,14,7,8,6,0,3,8,37.5,5,3,1,2,8,22,11,0,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,W,3,1,Guingamp,56,619,52,156,324,148,24,618,17,10,58.8,7,41.2,370,2228,1289,27,16,7,13,1,429,53,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,W,3,1,Guingamp,4,0,0,14,13,3,26,8,7,1,1,0,53,13,21,38.2,Match Report
2017-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Away,L,2,6,Paris S-G,2,17,5,29.4,0.06,0.20,20.5,2,1,1,2.1,1.3,0.08,-0.1,-0.3,Match Report,2017-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Away,L,2,6,Paris S-G,9,6,3,44.4,0,4.3,-1.7,1,1,0,0,5,10,50.0,16,5,43.8,38.3,4,75.0,48.5,7,1,14.3,0,5.5,Match Report,2017-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Away,L,2,6,Paris S-G,410,476,86.1,6737,2152,201,215,93.5,129,147,87.8,48,69,69.6,1,1.0,1.7,11,26,13,1,52,Match Report,2017-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Away,L,2,6,Paris S-G,476,442,32,8,1,8,22,8,5,4,1,0,410,2,8,Match Report,2017-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Away,L,2,6,Paris S-G,31,24,0,3,1,3,0,4,3,0,0,0,1,0,Match Report,2017-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Away,L,2,6,Paris S-G,24,18,12,8,4,8,23,34.8,15,4,0,4,12,36,19,0,Match Report,2017-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Away,L,2,6,Paris S-G,41,570,44,153,278,149,25,569,14,12,85.7,2,14.3,408,2374,1437,37,28,6,13,8,405,52,Match Report,2017-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Away,L,2,6,Paris S-G,2,0,0,18,10,2,22,12,18,1,1,0,56,6,4,60.0,Match Report
