Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,1,3,Guingamp,1,6,4,66.7,0.17,0.25,20.9,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,1,3,Guingamp,5,3,2,60.0,0,2.2,-0.8,1,1,0,0,5,16,31.3,23,2,39.1,37.7,8,87.5,56.3,12,1,8.3,3,24.0,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,1,3,Guingamp,494,607,81.4,10511,3976,167,190,87.9,241,275,87.6,85,136,62.5,1,0.6,0.3,5,55,5,1,58,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,1,3,Guingamp,607,541,63,14,0,13,21,34,3,2,0,0,494,3,6,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,1,3,Guingamp,11,8,2,0,0,1,0,2,2,0,0,0,0,0,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,1,3,Guingamp,13,9,4,9,0,6,15,40.0,9,9,3,6,12,25,17,1,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,1,3,Guingamp,58,685,56,197,354,137,9,685,9,7,77.8,2,22.2,481,1806,738,12,5,2,10,10,490,57,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,1,3,Guingamp,1,0,0,9,13,3,21,12,9,0,1,0,56,9,11,45.0,Match Report
2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,2,Bordeaux,0,6,1,16.7,0.00,0.00,20.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,2,Bordeaux,5,2,3,60.0,0,2.1,+0.1,0,0,0,0,5,17,29.4,20,3,50.0,40.1,7,100.0,71.3,25,2,8.0,1,15.3,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,2,Bordeaux,426,521,81.8,8971,3380,144,163,88.3,202,226,89.4,77,118,65.3,0,0.3,0.7,6,51,10,2,43,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,2,Bordeaux,521,470,49,19,0,5,10,19,1,1,0,0,426,2,9,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,2,Bordeaux,12,7,2,2,0,1,0,0,0,0,0,0,0,0,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,2,Bordeaux,13,8,7,2,4,5,19,26.3,14,11,3,8,21,34,15,0,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,2,Bordeaux,49,621,59,188,315,124,14,621,16,11,68.8,5,31.3,394,1673,792,12,10,1,11,8,423,42,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,2,Bordeaux,2,0,0,10,15,2,10,21,8,0,0,0,51,13,16,44.8,Match Report
2017-08-18,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,L,0,1,Monaco,0,10,5,50.0,0.00,0.00,15.9,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report,2017-08-18,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,L,0,1,Monaco,5,1,4,80.0,0,1.4,+0.4,0,0,0,0,15,25,60.0,25,4,64.0,44.7,10,90.0,52.6,22,0,0.0,0,7.0,Match Report,2017-08-18,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,L,0,1,Monaco,318,427,74.5,7163,3294,100,122,82.0,142,166,85.5,74,124,59.7,0,0.9,0.7,9,29,9,4,34,Match Report,2017-08-18,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,L,0,1,Monaco,427,366,56,16,1,10,15,22,6,2,2,0,318,5,10,Match Report,2017-08-18,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,L,0,1,Monaco,20,15,3,1,1,0,0,0,0,0,0,0,0,0,Match Report,2017-08-18,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,L,0,1,Monaco,14,9,11,2,1,6,27,22.2,21,14,6,8,14,28,35,1,Match Report,2017-08-18,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,L,0,1,Monaco,44,537,72,210,229,104,14,537,13,9,69.2,4,30.8,300,1166,496,8,9,2,13,9,317,34,Match Report,2017-08-18,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,L,0,1,Monaco,2,0,0,17,16,5,15,14,9,0,0,0,50,24,20,54.5,Match Report
2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,0,1,Caen,0,9,2,22.2,0.00,0.00,22.0,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,0,1,Caen,4,1,3,75.0,0,1.2,+0.2,0,0,0,0,7,14,50.0,19,6,31.6,40.1,9,88.9,51.6,19,1,5.3,3,22.8,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,0,1,Caen,324,431,75.2,7212,3126,91,120,75.8,160,191,83.8,73,110,66.4,0,0.8,0.9,8,42,4,3,43,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,0,1,Caen,431,371,57,14,0,6,26,29,3,0,1,0,324,3,13,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,0,1,Caen,18,14,2,1,0,1,0,0,0,0,0,0,0,0,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,0,1,Caen,14,10,9,4,1,2,11,18.2,9,15,4,11,10,24,33,0,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,0,1,Caen,48,539,50,176,232,142,11,539,13,4,30.8,9,69.2,303,1216,529,10,12,3,16,6,322,43,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,0,1,Caen,2,0,0,16,11,3,26,10,10,0,0,0,52,19,21,47.5,Match Report
2017-09-08,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Home,L,1,5,Paris S-G,1,8,1,12.5,0.13,1.00,15.2,0,0,0,1.2,1.2,0.15,-0.2,-0.2,Match Report,2017-09-08,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Home,L,1,5,Paris S-G,11,5,6,54.5,0,5.2,+0.2,0,0,0,0,9,26,34.6,23,8,69.6,50.3,10,100.0,67.1,16,0,0.0,0,13.0,Match Report,2017-09-08,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Home,L,1,5,Paris S-G,206,280,73.6,4537,2474,86,97,88.7,79,97,81.4,41,79,51.9,1,0.8,0.6,7,20,2,1,20,Match Report,2017-09-08,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Home,L,1,5,Paris S-G,280,232,45,13,0,3,12,10,6,1,3,0,206,3,4,Match Report,2017-09-08,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Home,L,1,5,Paris S-G,13,7,2,2,1,0,1,2,1,0,0,0,0,1,Match Report,2017-09-08,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Home,L,1,5,Paris S-G,19,11,13,5,1,7,27,25.9,20,6,1,5,17,36,19,0,Match Report,2017-09-08,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Home,L,1,5,Paris S-G,28,386,68,200,114,77,9,386,11,5,45.5,6,54.5,232,1004,436,7,12,1,9,8,205,20,Match Report,2017-09-08,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Home,L,1,5,Paris S-G,0,1,0,10,8,3,12,17,11,0,0,0,45,5,5,50.0,Match Report
2017-09-17,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Away,W,1,0,Angers,1,10,5,50.0,0.10,0.20,14.9,0,0,0,1.9,1.9,0.19,-0.9,-0.9,Match Report,2017-09-17,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Away,W,1,0,Angers,4,0,4,100.0,1,1.0,+1.0,0,0,0,0,13,25,52.0,28,4,57.1,43.0,9,100.0,60.4,18,3,16.7,1,11.5,Match Report,2017-09-17,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Away,W,1,0,Angers,358,455,78.7,7561,3540,128,142,90.1,159,181,87.8,70,121,57.9,1,1.9,0.7,10,37,4,2,43,Match Report,2017-09-17,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Away,W,1,0,Angers,455,402,52,16,1,6,20,21,5,3,2,0,358,1,12,Match Report,2017-09-17,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Away,W,1,0,Angers,19,12,3,2,0,1,1,2,2,0,0,0,0,0,Match Report,2017-09-17,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Away,W,1,0,Angers,25,18,15,10,0,11,20,55.0,9,12,5,7,6,31,36,0,Match Report,2017-09-17,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Away,W,1,0,Angers,47,585,59,211,271,111,14,585,18,10,55.6,8,44.4,366,1700,845,16,13,6,21,17,352,42,Match Report,2017-09-17,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Away,W,1,0,Angers,3,0,0,14,12,1,20,6,18,0,0,0,61,16,17,48.5,Match Report
2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,L,0,1,Troyes,0,15,7,46.7,0.00,0.00,21.7,1,0,0,1.1,1.1,0.08,-1.1,-1.1,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,L,0,1,Troyes,3,1,2,66.7,0,1.5,+0.5,0,0,0,0,3,5,60.0,26,12,15.4,31.7,6,16.7,29.3,14,4,28.6,2,12.8,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,L,0,1,Troyes,545,671,81.2,11024,3591,199,222,89.6,240,272,88.2,95,150,63.3,0,0.6,1.2,12,48,9,3,61,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,L,0,1,Troyes,671,608,59,11,2,14,34,35,5,2,2,1,545,4,13,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,L,0,1,Troyes,24,17,1,2,1,2,1,0,0,0,0,0,0,0,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,L,0,1,Troyes,15,9,7,5,3,5,13,38.5,8,6,1,5,10,25,18,0,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,L,0,1,Troyes,62,770,44,179,417,176,18,770,18,6,33.3,12,66.7,436,2674,1452,31,21,6,16,13,540,61,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Home,L,0,1,Troyes,3,0,0,11,12,4,34,10,9,0,0,0,66,10,22,31.3,Match Report
2017-09-30,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,L,0,1,Nantes,0,8,1,12.5,0.00,0.00,20.6,0,0,1,1.4,0.6,0.07,-1.4,-0.6,Match Report,2017-09-30,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,L,0,1,Nantes,6,1,5,83.3,0,1.4,+0.4,0,0,0,0,9,17,52.9,21,5,28.6,34.8,12,91.7,57.3,15,3,20.0,0,6.3,Match Report,2017-09-30,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,L,0,1,Nantes,369,472,78.2,8171,2830,121,149,81.2,165,184,89.7,77,116,66.4,0,0.5,0.5,5,30,5,4,44,Match Report,2017-09-30,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,L,0,1,Nantes,472,419,52,14,0,10,21,20,4,3,1,0,369,1,11,Match Report,2017-09-30,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,L,0,1,Nantes,14,10,1,2,0,1,0,0,0,0,0,0,0,0,Match Report,2017-09-30,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,L,0,1,Nantes,20,12,7,10,3,4,16,25.0,12,10,1,9,12,32,29,0,Match Report,2017-09-30,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,L,0,1,Nantes,47,593,67,177,289,133,19,592,19,10,52.6,9,47.4,309,1750,901,21,17,4,15,9,367,44,Match Report,2017-09-30,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,L,0,1,Nantes,4,1,1,9,14,1,21,12,12,1,0,0,54,12,8,60.0,Match Report
2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Saint-Étienne,1,10,2,20.0,0.10,0.50,25.1,1,0,0,0.4,0.4,0.04,+0.6,+0.6,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Saint-Étienne,5,3,2,40.0,0,1.9,-0.1,1,0,1,0,3,23,13.0,11,2,81.8,53.3,15,93.3,65.0,29,0,0.0,0,4.0,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Saint-Étienne,166,261,63.6,3614,1762,56,67,83.6,78,111,70.3,32,76,42.1,1,0.3,0.1,8,22,3,1,23,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Saint-Étienne,261,210,49,10,2,4,13,15,5,0,5,0,166,2,7,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Saint-Étienne,17,12,1,1,0,1,2,1,0,1,0,0,0,0,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Saint-Étienne,24,15,15,8,1,7,25,28.0,18,12,5,7,11,35,36,1,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Saint-Étienne,30,384,76,170,149,73,8,384,17,11,64.7,6,35.3,161,1065,508,15,9,2,16,4,166,23,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Saint-Étienne,1,0,0,16,9,2,13,11,15,0,1,1,47,12,27,30.8,Match Report
2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,L,1,2,Dijon,1,15,5,33.3,0.07,0.20,24.9,0,0,0,1.0,1.0,0.07,0.0,0.0,Match Report,2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,L,1,2,Dijon,6,2,4,66.7,0,1.0,-1.0,0,0,0,0,7,14,50.0,26,7,50.0,42.0,4,25.0,43.0,11,0,0.0,2,17.2,Match Report,2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,L,1,2,Dijon,350,456,76.8,8152,3569,87,107,81.3,177,206,85.9,83,128,64.8,1,0.9,0.7,11,51,8,2,52,Match Report,2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,L,1,2,Dijon,456,403,52,17,0,10,22,26,2,1,1,0,350,1,12,Match Report,2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,L,1,2,Dijon,29,19,4,4,1,1,0,2,2,0,0,0,0,0,Match Report,2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,L,1,2,Dijon,22,15,11,9,2,7,24,29.2,17,5,0,5,14,36,23,0,Match Report,2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,L,1,2,Dijon,50,568,46,164,262,150,11,568,19,12,63.2,7,36.8,354,1642,762,9,14,0,18,10,349,52,Match Report,2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,L,1,2,Dijon,1,1,0,11,14,1,22,14,15,0,0,0,61,17,21,44.7,Match Report
