Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,1,0,Caen,1,10,2,20.0,0.10,0.50,19.5,0,0,0,1.4,1.4,0.14,-0.4,-0.4,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,1,0,Caen,1,0,1,100.0,1,0.4,+0.4,0,0,0,0,8,20,40.0,23,2,60.9,43.9,8,75.0,54.3,15,5,33.3,0,10.8,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,1,0,Caen,356,485,73.4,6876,2506,148,172,86.0,147,194,75.8,53,96,55.2,1,1.3,1.1,7,29,5,1,48,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,1,0,Caen,485,426,58,13,1,5,17,27,9,4,4,0,356,1,12,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,1,0,Caen,16,12,2,0,0,1,1,2,2,0,0,0,0,0,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,1,0,Caen,15,11,4,8,3,4,9,44.4,5,3,1,2,13,28,23,0,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,1,0,Caen,52,586,37,136,324,134,15,586,23,8,34.8,15,65.2,266,1664,972,21,14,6,18,4,353,47,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,1,0,Caen,2,0,0,9,10,1,17,13,11,0,0,0,62,17,24,41.5,Match Report
2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Toulouse,0,14,1,7.1,0.00,0.00,21.6,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Toulouse,4,1,3,100.0,0,1.6,+0.6,1,1,0,0,4,16,25.0,21,3,57.1,42.5,5,80.0,55.4,14,2,14.3,2,14.0,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Toulouse,295,413,71.4,5475,2268,148,167,88.6,93,128,72.7,46,97,47.4,0,0.6,0.4,10,32,4,0,45,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Toulouse,413,351,62,26,0,7,24,26,3,2,1,0,295,0,9,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Toulouse,24,17,1,2,2,1,1,0,0,0,0,0,0,0,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Toulouse,11,8,3,8,0,4,10,40.0,6,5,1,4,11,22,32,1,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Toulouse,51,530,46,135,266,132,10,530,9,3,33.3,6,66.7,241,1453,726,19,8,2,14,13,291,44,Match Report,2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Toulouse,3,0,0,12,24,0,24,11,8,0,1,0,49,19,25,43.2,Match Report
2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Strasbourg,1,16,4,25.0,0.06,0.25,17.6,0,0,0,1.8,1.8,0.11,-0.8,-0.8,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Strasbourg,1,1,0,0.0,0,0.8,-0.2,0,0,0,0,3,4,75.0,16,5,12.5,26.2,6,33.3,39.5,8,0,0.0,0,17.0,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Strasbourg,428,548,78.1,7949,3308,196,229,85.6,167,210,79.5,57,86,66.3,1,1.8,1.3,15,41,6,1,72,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Strasbourg,548,474,71,19,1,11,29,35,9,3,6,0,428,3,8,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Strasbourg,29,19,4,2,3,0,1,1,0,0,0,1,0,0,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Strasbourg,20,15,4,11,5,5,11,45.5,6,7,4,3,13,33,18,0,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Strasbourg,55,667,37,142,363,168,21,667,16,8,50.0,8,50.0,319,2068,971,19,12,4,20,22,426,70,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Strasbourg,2,0,0,6,18,3,29,13,15,0,0,0,66,20,14,58.8,Match Report
2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Dijon,1,11,2,18.2,0.09,0.50,19.3,0,0,0,1.5,1.5,0.13,-0.5,-0.5,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Dijon,2,2,0,0.0,0,0.9,-1.1,0,0,0,0,0,5,0.0,26,7,15.4,28.4,6,16.7,30.0,10,0,0.0,0,,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Dijon,379,474,80.0,7292,2775,159,178,89.3,153,185,82.7,61,89,68.5,1,1.4,1.0,9,15,5,4,34,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Dijon,474,410,63,18,0,9,20,32,4,0,2,0,379,1,13,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Dijon,20,13,3,2,0,2,0,2,1,0,1,0,0,0,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Dijon,7,5,3,4,0,4,15,26.7,11,7,1,6,10,17,23,1,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Dijon,48,578,53,191,287,102,13,578,18,6,33.3,12,66.7,309,1635,838,16,18,4,27,7,375,34,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Dijon,2,0,0,14,18,1,20,10,5,0,0,0,56,15,8,65.2,Match Report
2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,L,0,1,Nantes,0,11,3,27.3,0.00,0.00,22.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,L,0,1,Nantes,4,1,3,75.0,0,0.9,-0.1,0,0,0,0,7,10,70.0,19,2,47.4,38.8,6,16.7,29.2,11,1,9.1,1,16.5,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,L,0,1,Nantes,450,580,77.6,9246,3342,172,200,86.0,191,240,79.6,79,115,68.7,0,0.5,0.7,10,49,11,4,58,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,L,0,1,Nantes,580,515,64,13,1,10,47,35,8,0,6,0,450,1,14,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,L,0,1,Nantes,22,18,2,1,0,1,0,0,0,0,0,0,0,0,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,L,0,1,Nantes,13,11,6,4,3,1,9,11.1,8,13,2,11,11,24,18,0,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,L,0,1,Nantes,61,691,32,133,359,200,17,691,22,13,59.1,9,40.9,332,1996,1014,21,19,2,15,6,447,58,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,L,0,1,Nantes,1,1,0,7,12,1,47,11,11,0,0,0,55,14,15,48.3,Match Report
2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,W,1,0,Troyes,1,8,3,37.5,0.13,0.33,16.7,1,0,0,1.1,1.1,0.14,-0.1,-0.1,Match Report,2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,W,1,0,Troyes,0,0,0,,1,0.0,0.0,0,0,0,0,11,19,57.9,30,9,46.7,35.4,10,50.0,44.5,14,2,14.3,0,9.0,Match Report,2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,W,1,0,Troyes,443,546,81.1,8109,2842,206,222,92.8,178,206,86.4,53,97,54.6,1,1.0,1.2,6,33,6,4,40,Match Report,2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,W,1,0,Troyes,546,485,57,19,2,2,15,21,6,3,2,0,443,4,3,Match Report,2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,W,1,0,Troyes,14,9,2,0,1,1,1,2,1,1,0,0,0,0,Match Report,2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,W,1,0,Troyes,23,11,10,11,2,5,10,50.0,5,10,1,9,21,44,22,0,Match Report,2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,W,1,0,Troyes,51,673,55,202,354,124,14,673,21,12,57.1,9,42.9,318,1950,1023,18,11,1,21,5,440,40,Match Report,2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,W,1,0,Troyes,3,0,0,10,18,4,15,21,11,0,0,0,45,20,14,58.8,Match Report
2017-09-23,17:00 (08:00),Ligue 1,Matchweek 7,Sat,Home,D,0,0,Paris S-G,0,5,2,40.0,0.00,0.00,24.3,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report,2017-09-23,17:00 (08:00),Ligue 1,Matchweek 7,Sat,Home,D,0,0,Paris S-G,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,8,25,32.0,22,3,81.8,53.2,11,63.6,44.9,26,4,15.4,1,11.0,Match Report,2017-09-23,17:00 (08:00),Ligue 1,Matchweek 7,Sat,Home,D,0,0,Paris S-G,182,259,70.3,3152,1529,98,115,85.2,59,76,77.6,20,55,36.4,0,0.1,0.1,3,14,2,1,23,Match Report,2017-09-23,17:00 (08:00),Ligue 1,Matchweek 7,Sat,Home,D,0,0,Paris S-G,259,215,42,13,0,1,13,15,2,1,1,0,182,2,6,Match Report,2017-09-23,17:00 (08:00),Ligue 1,Matchweek 7,Sat,Home,D,0,0,Paris S-G,8,5,1,1,0,1,0,0,0,0,0,0,0,0,Match Report,2017-09-23,17:00 (08:00),Ligue 1,Matchweek 7,Sat,Home,D,0,0,Paris S-G,25,17,17,5,3,7,14,50.0,7,12,4,8,20,45,38,1,Match Report,2017-09-23,17:00 (08:00),Ligue 1,Matchweek 7,Sat,Home,D,0,0,Paris S-G,26,392,75,154,179,67,7,392,14,8,57.1,6,42.9,165,1023,550,11,9,4,9,12,178,23,Match Report,2017-09-23,17:00 (08:00),Ligue 1,Matchweek 7,Sat,Home,D,0,0,Paris S-G,2,0,0,15,12,2,13,20,17,0,0,0,46,9,13,40.9,Match Report
2017-09-29,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Away,D,1,1,Monaco,1,15,3,20.0,0.07,0.33,20.3,2,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report,2017-09-29,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Away,D,1,1,Monaco,1,1,0,0.0,0,0.8,-0.2,0,0,0,0,8,14,57.1,23,6,39.1,32.9,9,55.6,44.7,12,1,8.3,0,12.0,Match Report,2017-09-29,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Away,D,1,1,Monaco,351,453,77.5,6644,2576,163,179,91.1,126,155,81.3,54,100,54.0,1,0.7,0.6,8,31,7,3,37,Match Report,2017-09-29,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Away,D,1,1,Monaco,453,395,57,18,3,5,30,24,4,2,2,0,351,1,7,Match Report,2017-09-29,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Away,D,1,1,Monaco,25,20,0,1,2,2,0,2,2,0,0,0,0,0,Match Report,2017-09-29,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Away,D,1,1,Monaco,13,9,7,4,2,2,10,20.0,8,10,3,7,9,22,25,1,Match Report,2017-09-29,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Away,D,1,1,Monaco,49,563,50,155,265,149,16,563,26,13,50.0,13,50.0,313,1721,896,13,16,1,12,12,349,37,Match Report,2017-09-29,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Away,D,1,1,Monaco,1,0,0,12,17,1,30,9,9,0,0,0,51,14,13,51.9,Match Report
2017-10-15,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,2,0,Nice,2,14,4,28.6,0.14,0.50,18.0,2,0,0,1.3,1.3,0.09,+0.7,+0.7,Match Report,2017-10-15,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,2,0,Nice,8,0,8,100.0,1,1.7,+1.7,0,0,0,0,12,17,70.6,12,2,75.0,41.5,9,88.9,54.6,11,1,9.1,0,8.7,Match Report,2017-10-15,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,2,0,Nice,277,358,77.4,5440,2273,123,142,86.6,107,127,84.3,43,75,57.3,2,1.1,0.8,10,24,6,5,31,Match Report,2017-10-15,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,2,0,Nice,358,314,44,16,1,4,17,14,4,1,2,0,277,0,7,Match Report,2017-10-15,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,2,0,Nice,25,16,2,3,1,2,1,4,3,0,1,0,0,0,Match Report,2017-10-15,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,2,0,Nice,17,13,8,8,1,7,21,33.3,14,7,2,5,20,37,28,2,Match Report,2017-10-15,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,2,0,Nice,36,468,56,156,225,96,10,468,14,7,50.0,7,50.0,240,1265,610,11,15,0,10,2,275,31,Match Report,2017-10-15,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,2,0,Nice,3,0,0,15,13,0,17,20,13,0,0,0,49,20,6,76.9,Match Report
2017-10-20,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,W,1,0,Saint-Étienne,1,14,4,28.6,0.07,0.25,16.4,1,0,0,1.8,1.8,0.16,-0.8,-0.8,Match Report,2017-10-20,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,W,1,0,Saint-Étienne,4,0,4,100.0,1,0.6,+0.6,0,0,0,0,7,20,35.0,24,4,62.5,47.5,8,62.5,52.0,20,1,5.0,0,10.5,Match Report,2017-10-20,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,W,1,0,Saint-Étienne,294,376,78.2,5581,2500,140,155,90.3,97,112,86.6,51,89,57.3,0,0.9,0.8,11,30,7,4,24,Match Report,2017-10-20,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,W,1,0,Saint-Étienne,376,328,48,27,1,4,12,10,2,0,2,0,294,0,8,Match Report,2017-10-20,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,W,1,0,Saint-Étienne,24,17,2,0,3,2,0,1,0,0,0,1,0,0,Match Report,2017-10-20,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,W,1,0,Saint-Étienne,15,6,11,2,2,4,15,26.7,11,14,6,8,14,29,43,0,Match Report,2017-10-20,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,W,1,0,Saint-Étienne,43,510,70,181,222,115,24,510,16,8,50.0,8,50.0,244,1467,647,14,11,3,12,4,291,24,Match Report,2017-10-20,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,W,1,0,Saint-Étienne,3,0,0,17,24,0,12,14,6,0,0,0,50,22,12,64.7,Match Report
