Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,D,1,1,Rennes,1,12,4,33.3,0.08,0.25,19.1,0,0,0,1.9,1.9,0.16,-0.9,-0.9,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,D,1,1,Rennes,3,1,2,66.7,0,1.2,+0.2,0,0,0,0,5,26,19.2,23,4,56.5,43.0,13,100.0,63.0,22,2,9.1,2,16.4,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,D,1,1,Rennes,220,353,62.3,3741,1791,110,136,80.9,68,100,68.0,27,83,32.5,1,1.4,0.5,7,15,5,2,22,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,D,1,1,Rennes,353,296,55,9,1,2,14,25,6,4,1,0,220,2,13,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,D,1,1,Rennes,16,11,1,2,2,0,0,1,0,0,1,0,0,0,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,D,1,1,Rennes,19,15,13,5,1,7,21,33.3,14,11,5,6,17,36,35,1,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,D,1,1,Rennes,37,485,63,219,169,104,14,485,14,7,50.0,7,50.0,213,1017,458,7,4,4,15,13,220,22,Match Report,2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,D,1,1,Rennes,1,0,0,13,8,2,14,17,15,0,0,0,65,15,27,35.7,Match Report
2017-08-11,19:00 (10:00),Ligue 1,Matchweek 2,Fri,Away,W,2,1,Nice,2,10,4,40.0,0.20,0.50,17.0,0,0,0,0.5,0.5,0.05,+1.5,+1.5,Match Report,2017-08-11,19:00 (10:00),Ligue 1,Matchweek 2,Fri,Away,W,2,1,Nice,6,1,5,100.0,0,2.0,+1.0,1,1,0,0,5,23,21.7,16,2,75.0,45.7,11,100.0,64.3,20,2,10.0,3,16.8,Match Report,2017-08-11,19:00 (10:00),Ligue 1,Matchweek 2,Fri,Away,W,2,1,Nice,245,355,69.0,4222,1900,126,145,86.9,75,98,76.5,32,76,42.1,2,0.5,0.5,10,22,8,2,30,Match Report,2017-08-11,19:00 (10:00),Ligue 1,Matchweek 2,Fri,Away,W,2,1,Nice,355,308,45,11,0,1,15,17,4,0,0,0,245,2,12,Match Report,2017-08-11,19:00 (10:00),Ligue 1,Matchweek 2,Fri,Away,W,2,1,Nice,18,17,0,0,1,0,0,4,4,0,0,0,0,0,Match Report,2017-08-11,19:00 (10:00),Ligue 1,Matchweek 2,Fri,Away,W,2,1,Nice,23,16,11,10,2,4,24,16.7,20,12,6,6,17,40,33,1,Match Report,2017-08-11,19:00 (10:00),Ligue 1,Matchweek 2,Fri,Away,W,2,1,Nice,31,462,60,176,199,96,16,462,10,7,70.0,3,30.0,225,1150,593,12,7,4,11,2,244,30,Match Report,2017-08-11,19:00 (10:00),Ligue 1,Matchweek 2,Fri,Away,W,2,1,Nice,3,0,0,8,11,2,15,17,16,0,1,0,59,6,17,26.1,Match Report
2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,1,Nantes,0,8,1,12.5,0.00,0.00,19.3,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,1,Nantes,4,1,3,75.0,0,1.4,+0.4,0,0,0,0,2,9,22.2,28,7,28.6,33.4,4,25.0,27.0,19,3,15.8,2,17.2,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,1,Nantes,557,683,81.6,10312,3349,229,259,88.4,245,277,88.4,73,116,62.9,0,0.8,0.9,7,47,13,4,69,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,1,Nantes,683,635,47,14,1,6,28,25,2,1,0,0,557,1,11,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,1,Nantes,15,12,1,1,1,0,0,0,0,0,0,0,0,0,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,1,Nantes,17,11,12,4,1,7,16,43.8,9,9,3,6,10,27,30,0,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,1,Nantes,64,795,60,219,405,176,16,795,16,9,56.3,7,43.8,483,2426,1313,21,14,4,10,19,557,69,Match Report,2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,1,Nantes,1,0,0,7,8,1,28,10,11,0,0,0,62,18,23,43.9,Match Report
2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Bordeaux,1,5,2,40.0,0.20,0.50,16.4,0,0,0,0.7,0.7,0.14,+0.3,+0.3,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Bordeaux,7,2,5,71.4,0,2.6,+0.6,0,0,0,0,12,25,48.0,32,4,62.5,43.5,7,71.4,54.0,11,2,18.2,1,11.0,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Bordeaux,362,461,78.5,7028,2853,132,152,86.8,168,195,86.2,49,85,57.6,1,0.7,0.6,5,29,6,1,32,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Bordeaux,461,407,51,12,0,1,21,25,4,3,0,0,362,3,6,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Bordeaux,9,8,1,0,0,0,0,2,2,0,0,0,0,0,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Bordeaux,14,10,9,1,4,7,16,43.8,9,10,3,7,11,25,22,2,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Bordeaux,44,547,59,187,252,113,11,547,6,2,33.3,4,66.7,274,1407,715,13,12,2,12,16,360,32,Match Report,2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Bordeaux,1,0,0,17,8,3,21,11,10,0,0,0,45,11,17,39.3,Match Report
2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,D,0,0,Toulouse,0,11,3,27.3,0.00,0.00,23.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,D,0,0,Toulouse,0,0,0,,1,0.0,0.0,0,0,0,0,3,22,13.6,24,4,54.2,42.4,10,90.0,63.6,9,0,0.0,0,,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,D,0,0,Toulouse,346,465,74.4,6582,2306,148,174,85.1,137,161,85.1,50,101,49.5,0,0.5,0.5,8,31,7,2,38,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,D,0,0,Toulouse,465,407,52,13,1,10,22,24,4,1,2,0,346,6,7,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,D,0,0,Toulouse,21,16,1,0,1,2,1,0,0,0,0,0,0,0,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,D,0,0,Toulouse,13,9,9,2,2,6,13,46.2,7,9,2,7,7,20,20,0,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,D,0,0,Toulouse,47,554,44,183,248,125,12,554,6,3,50.0,3,50.0,278,1694,921,21,8,4,14,9,344,38,Match Report,2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,D,0,0,Toulouse,2,0,0,12,12,6,22,7,9,0,0,0,45,12,25,32.4,Match Report
2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,L,0,1,Montpellier,0,7,0,0.0,0.00,,21.0,1,0,0,0.7,0.7,0.11,-0.7,-0.7,Match Report,2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,L,0,1,Montpellier,3,1,2,66.7,0,1.1,+0.1,0,0,0,0,6,12,50.0,15,3,26.7,29.1,10,80.0,55.0,13,0,0.0,0,,Match Report,2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,L,0,1,Montpellier,405,528,76.7,7538,2893,152,177,85.9,188,215,87.4,50,96,52.1,0,0.3,0.5,5,33,6,2,43,Match Report,2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,L,0,1,Montpellier,528,469,58,13,0,1,19,31,2,0,1,0,405,1,12,Match Report,2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,L,0,1,Montpellier,12,10,0,0,1,1,0,0,0,0,0,0,0,0,Match Report,2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,L,0,1,Montpellier,14,11,6,8,0,9,21,42.9,12,3,1,2,8,22,23,0,Match Report,2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,L,0,1,Montpellier,49,619,44,170,319,132,8,619,10,5,50.0,5,50.0,412,1985,751,13,14,0,11,18,405,43,Match Report,2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,L,0,1,Montpellier,5,1,1,19,10,1,19,8,11,0,0,0,51,14,20,41.2,Match Report
2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,W,1,0,Metz,1,9,3,33.3,0.11,0.33,25.2,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,W,1,0,Metz,7,0,7,100.0,1,0.4,+0.4,0,0,0,0,5,22,22.7,28,7,50.0,45.1,9,88.9,62.6,28,3,10.7,0,4.8,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,W,1,0,Metz,284,403,70.5,5446,2345,115,147,78.2,102,135,75.6,53,99,53.5,1,0.6,0.5,8,29,6,1,35,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,W,1,0,Metz,403,357,46,15,3,3,17,17,4,2,2,0,284,0,7,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,W,1,0,Metz,15,13,1,1,0,0,0,2,1,0,1,0,0,0,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,W,1,0,Metz,25,16,18,5,2,12,18,66.7,6,12,2,10,7,32,37,0,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,W,1,0,Metz,38,527,71,217,210,109,11,527,13,8,61.5,5,38.5,257,1595,911,16,11,1,17,10,284,35,Match Report,2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,W,1,0,Metz,3,1,1,12,11,0,17,7,16,0,0,0,66,22,10,68.8,Match Report
2017-10-01,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,2,1,Saint-Étienne,2,9,7,77.8,0.22,0.29,20.6,1,0,0,0.8,0.8,0.09,+1.2,+1.2,Match Report,2017-10-01,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,2,1,Saint-Étienne,3,1,2,66.7,0,1.0,0.0,0,0,0,0,7,28,25.0,23,5,65.2,47.6,13,100.0,64.1,29,3,10.3,0,7.3,Match Report,2017-10-01,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,2,1,Saint-Étienne,164,254,64.6,3352,1723,62,76,81.6,61,80,76.3,29,71,40.8,1,0.6,0.6,6,16,6,0,23,Match Report,2017-10-01,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,2,1,Saint-Étienne,254,194,59,20,1,3,14,19,5,4,0,0,164,1,13,Match Report,2017-10-01,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,2,1,Saint-Étienne,11,9,1,0,0,1,0,3,2,0,0,0,1,0,Match Report,2017-10-01,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,2,1,Saint-Étienne,15,7,10,3,2,4,9,44.4,5,16,4,12,9,24,43,1,Match Report,2017-10-01,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,2,1,Saint-Étienne,29,372,70,187,126,66,11,372,15,7,46.7,8,53.3,161,1017,614,11,9,1,11,7,162,22,Match Report,2017-10-01,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,2,1,Saint-Étienne,3,1,0,7,15,1,14,9,7,0,0,0,43,7,15,31.8,Match Report
2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Lille,2,10,1,10.0,0.10,1.00,23.7,1,1,1,1.5,0.7,0.07,+0.5,+0.3,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Lille,6,2,4,66.7,0,1.6,-0.4,0,0,0,0,8,31,25.8,18,1,83.3,51.6,16,100.0,61.8,13,0,0.0,0,14.0,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Lille,194,294,66.0,3694,2044,88,107,82.2,73,89,82.0,28,77,36.4,1,0.6,0.9,6,14,3,1,20,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Lille,294,237,54,17,0,2,9,17,1,0,1,0,194,3,4,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Lille,20,16,1,0,0,3,0,4,3,0,0,0,1,0,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Lille,17,10,10,5,2,5,23,21.7,18,4,2,2,16,33,20,0,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Lille,29,391,51,152,167,76,9,390,6,4,66.7,2,33.3,204,1344,511,7,12,0,13,9,194,20,Match Report,2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Lille,2,0,0,12,15,3,9,16,10,1,0,0,43,11,16,40.7,Match Report
2017-10-22,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,L,0,5,Lyon,0,9,3,33.3,0.00,0.00,25.7,2,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2017-10-22,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,L,0,5,Lyon,9,5,4,55.6,0,4.3,-0.7,1,1,0,0,2,9,22.2,18,3,33.3,35.1,3,100.0,66.3,8,0,0.0,2,12.8,Match Report,2017-10-22,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,L,0,5,Lyon,351,450,78.0,6398,1993,156,176,88.6,147,172,85.5,39,72,54.2,0,0.2,0.3,5,27,6,1,47,Match Report,2017-10-22,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,L,0,5,Lyon,450,399,49,14,0,9,18,22,4,0,0,0,351,2,14,Match Report,2017-10-22,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,L,0,5,Lyon,13,11,0,0,0,2,0,0,0,0,0,0,0,0,Match Report,2017-10-22,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,L,0,5,Lyon,23,16,16,6,1,6,27,22.2,21,8,2,6,12,35,15,0,Match Report,2017-10-22,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,L,0,5,Lyon,43,549,47,154,248,153,15,549,16,7,43.8,9,56.3,316,1673,880,15,16,4,15,7,350,46,Match Report,2017-10-22,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,L,0,5,Lyon,2,1,0,12,12,2,18,12,16,0,1,0,52,6,14,30.0,Match Report
