Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,2,Saint-Étienne,1,10,4,40.0,0.00,0.00,18.4,0,1,1,1.6,0.8,0.08,-0.6,-0.8,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,2,Saint-Étienne,6,2,4,66.7,0,1.6,-0.4,0,0,0,0,11,24,45.8,35,10,51.4,42.4,7,85.7,61.9,21,2,9.5,0,6.8,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,2,Saint-Étienne,399,529,75.4,7173,2855,185,217,85.3,148,189,78.3,50,85,58.8,0,0.7,0.6,9,28,5,2,46,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,2,Saint-Étienne,529,473,55,15,1,4,22,21,9,1,8,0,399,1,11,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,2,Saint-Étienne,18,11,3,2,0,2,0,2,1,0,0,0,1,0,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,2,Saint-Étienne,10,7,3,5,2,2,5,40.0,3,15,3,12,5,15,23,0,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,2,Saint-Étienne,57,623,63,151,348,131,22,622,13,8,61.5,5,38.5,317,1996,869,23,17,3,11,12,399,46,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,2,Saint-Étienne,1,0,0,11,14,1,22,5,7,1,0,0,47,28,21,57.1,Match Report
2018-08-18,17:00 (08:00),Ligue 1,Matchweek 2,Sat,Home,L,1,3,Paris S-G,1,11,3,27.3,0.09,0.33,19.7,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Match Report,2018-08-18,17:00 (08:00),Ligue 1,Matchweek 2,Sat,Home,L,1,3,Paris S-G,6,3,3,66.7,0,2.9,-0.1,1,1,0,0,7,16,43.8,11,3,63.6,47.9,10,90.0,59.8,9,0,0.0,0,6.0,Match Report,2018-08-18,17:00 (08:00),Ligue 1,Matchweek 2,Sat,Home,L,1,3,Paris S-G,246,344,71.5,4154,1994,131,152,86.2,69,100,69.0,31,61,50.8,1,1.1,0.8,8,15,8,2,17,Match Report,2018-08-18,17:00 (08:00),Ligue 1,Matchweek 2,Sat,Home,L,1,3,Paris S-G,344,287,55,16,1,2,13,21,4,2,1,0,246,2,8,Match Report,2018-08-18,17:00 (08:00),Ligue 1,Matchweek 2,Sat,Home,L,1,3,Paris S-G,18,13,1,2,1,0,1,1,1,0,0,0,0,0,Match Report,2018-08-18,17:00 (08:00),Ligue 1,Matchweek 2,Sat,Home,L,1,3,Paris S-G,15,9,7,6,2,4,18,22.2,14,14,4,10,14,29,24,0,Match Report,2018-08-18,17:00 (08:00),Ligue 1,Matchweek 2,Sat,Home,L,1,3,Paris S-G,35,464,49,175,185,111,20,464,23,11,47.8,12,52.2,234,1286,642,15,14,3,17,18,242,16,Match Report,2018-08-18,17:00 (08:00),Ligue 1,Matchweek 2,Sat,Home,L,1,3,Paris S-G,0,0,0,15,14,2,13,14,9,0,1,0,63,14,15,48.3,Match Report
2018-08-26,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,3,Lille,0,12,4,33.3,0.00,0.00,19.6,2,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report,2018-08-26,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,3,Lille,7,3,4,57.1,0,2.9,-0.1,0,0,0,0,8,13,61.5,20,4,40.0,34.8,6,83.3,62.2,5,0,0.0,1,16.0,Match Report,2018-08-26,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,3,Lille,382,489,78.1,7369,2822,160,187,85.6,166,196,84.7,51,82,62.2,0,0.5,0.5,8,27,2,0,49,Match Report,2018-08-26,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,3,Lille,489,434,53,14,0,8,19,25,4,0,4,0,382,2,11,Match Report,2018-08-26,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,3,Lille,24,15,3,3,0,2,1,0,0,0,0,0,0,0,Match Report,2018-08-26,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,3,Lille,15,8,7,6,2,5,14,35.7,9,11,2,9,14,29,15,0,Match Report,2018-08-26,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,3,Lille,52,590,47,149,320,130,18,590,12,9,75.0,3,25.0,260,1557,843,20,11,4,16,6,380,49,Match Report,2018-08-26,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,3,Lille,1,1,0,13,12,2,19,14,8,0,0,0,54,25,13,65.8,Match Report
2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,1,2,Toulouse,1,23,5,21.7,0.04,0.20,19.2,2,0,0,1.7,1.7,0.08,-0.7,-0.7,Match Report,2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,1,2,Toulouse,4,2,2,50.0,0,1.4,-0.6,0,0,0,0,6,7,85.7,11,2,45.5,38.9,2,100.0,51.5,7,1,14.3,1,13.5,Match Report,2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,1,2,Toulouse,428,545,78.5,7908,2727,185,216,85.6,181,215,84.2,48,77,62.3,1,1.3,1.1,17,40,9,5,66,Match Report,2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,1,2,Toulouse,545,484,60,13,0,6,45,31,11,2,3,1,428,1,20,Match Report,2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,1,2,Toulouse,42,29,4,2,3,4,0,2,1,1,0,0,0,0,Match Report,2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,1,2,Toulouse,23,15,8,12,3,10,19,52.6,9,1,0,1,6,29,14,0,Match Report,2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,1,2,Toulouse,60,650,27,87,328,241,32,650,14,7,50.0,7,50.0,336,2031,1050,30,23,7,9,13,424,64,Match Report,2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,1,2,Toulouse,3,0,0,12,12,1,45,6,15,0,0,0,55,18,14,56.3,Match Report
2018-09-16,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,L,0,4,Marseille,0,2,0,0.0,0.00,,14.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Match Report,2018-09-16,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,L,0,4,Marseille,6,4,2,33.3,0,2.5,-1.5,0,0,0,0,10,21,47.6,14,1,78.6,49.6,12,83.3,54.5,18,0,0.0,0,10.0,Match Report,2018-09-16,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,L,0,4,Marseille,294,392,75.0,5535,2292,128,148,86.5,117,148,79.1,40,71,56.3,0,0.2,0.2,2,16,0,0,30,Match Report,2018-09-16,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,L,0,4,Marseille,392,340,52,9,0,7,7,25,1,1,0,0,294,0,9,Match Report,2018-09-16,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,L,0,4,Marseille,4,1,1,2,0,0,0,0,0,0,0,0,0,0,Match Report,2018-09-16,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,L,0,4,Marseille,17,11,10,5,2,4,9,44.4,5,8,4,4,5,22,26,0,Match Report,2018-09-16,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,L,0,4,Marseille,39,488,57,156,258,79,6,488,22,15,68.2,7,31.8,221,1532,809,15,18,3,16,14,292,30,Match Report,2018-09-16,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,L,0,4,Marseille,1,0,0,9,8,0,7,5,11,0,0,0,44,17,12,58.6,Match Report
2018-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Bordeaux,1,17,4,23.5,0.00,0.00,18.5,1,1,1,1.9,1.1,0.07,-0.9,-1.1,Match Report,2018-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Bordeaux,6,3,3,50.0,0,2.1,-0.9,0,0,0,0,7,17,41.2,19,1,68.4,47.8,5,80.0,55.2,7,0,0.0,1,13.0,Match Report,2018-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Bordeaux,291,399,72.9,5576,2353,122,147,83.0,103,131,78.6,51,90,56.7,0,0.7,0.6,12,35,5,3,34,Match Report,2018-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Bordeaux,399,343,55,16,0,5,23,24,6,4,2,0,291,1,9,Match Report,2018-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Bordeaux,31,20,5,1,2,3,0,2,0,1,0,0,1,0,Match Report,2018-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Bordeaux,18,10,9,9,0,7,11,63.6,4,15,1,14,15,33,18,2,Match Report,2018-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Bordeaux,44,513,38,113,260,144,16,512,10,9,90.0,1,10.0,200,1319,640,16,8,2,12,10,286,33,Match Report,2018-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Bordeaux,1,0,0,14,16,1,23,15,10,1,0,0,52,12,23,34.3,Match Report
2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,D,0,0,Nîmes,0,9,3,33.3,0.00,0.00,20.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,D,0,0,Nîmes,2,0,2,100.0,1,0.2,+0.2,1,0,0,1,7,23,30.4,20,3,75.0,49.4,8,100.0,60.9,13,0,0.0,1,15.3,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,D,0,0,Nîmes,202,359,56.3,3911,1748,81,116,69.8,74,135,54.8,35,81,43.2,0,0.3,0.5,7,20,7,4,32,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,D,0,0,Nîmes,359,297,61,11,2,5,15,38,3,3,0,0,202,1,7,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,D,0,0,Nîmes,15,11,2,1,1,0,0,0,0,0,0,0,0,0,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,D,0,0,Nîmes,18,13,8,9,1,5,11,45.5,6,10,1,9,10,28,30,0,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,D,0,0,Nîmes,42,503,52,142,217,147,19,503,18,8,44.4,10,55.6,175,1149,437,10,8,3,24,13,200,31,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,D,0,0,Nîmes,3,0,0,12,11,1,15,10,13,0,1,0,56,29,40,42.0,Match Report
2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,W,1,0,Angers,1,11,5,45.5,0.09,0.20,14.0,0,0,0,1.5,1.5,0.14,-0.5,-0.5,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,W,1,0,Angers,4,0,4,100.0,1,0.3,+0.3,0,0,0,0,11,28,39.3,25,4,72.0,44.8,10,100.0,66.5,18,1,5.6,0,9.0,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,W,1,0,Angers,267,398,67.1,5097,2497,106,133,79.7,107,144,74.3,40,76,52.6,1,1.4,0.5,9,21,6,1,29,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,W,1,0,Angers,398,337,59,18,0,1,12,26,4,2,0,0,267,2,17,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,W,1,0,Angers,21,11,6,1,0,3,0,2,2,0,0,0,0,0,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,W,1,0,Angers,9,7,7,1,1,3,9,33.3,6,10,3,7,12,21,49,0,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,W,1,0,Angers,40,535,67,216,226,98,18,535,11,4,36.4,7,63.6,219,1252,697,11,8,2,26,6,263,29,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,W,1,0,Angers,3,0,0,13,13,2,12,12,7,0,0,0,61,33,34,49.3,Match Report
2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,1,1,Montpellier,1,7,2,28.6,0.14,0.50,23.6,2,0,0,0.8,0.8,0.11,+0.2,+0.2,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,1,1,Montpellier,5,1,4,80.0,0,1.0,0.0,0,0,0,0,6,21,28.6,29,6,44.8,39.0,10,80.0,57.1,13,0,0.0,0,12.5,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,1,1,Montpellier,318,435,73.1,5470,2195,137,169,81.1,125,155,80.6,33,68,48.5,1,0.7,0.6,5,24,4,1,32,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,1,1,Montpellier,435,381,53,16,0,1,13,22,3,0,2,0,318,1,11,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,1,1,Montpellier,13,9,0,1,0,2,1,2,2,0,0,0,0,0,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,1,1,Montpellier,17,14,9,7,1,7,9,77.8,2,7,1,6,11,28,19,0,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,1,1,Montpellier,42,528,59,169,254,107,8,528,10,6,60.0,4,40.0,227,1514,676,11,9,3,8,12,315,32,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,1,1,Montpellier,0,1,0,11,16,1,13,11,14,0,0,0,48,14,22,38.9,Match Report
2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Away,D,0,0,Caen,0,7,2,28.6,0.00,0.00,19.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report,2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Away,D,0,0,Caen,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,7,29,24.1,27,2,88.9,55.0,5,100.0,60.6,16,1,6.3,0,13.0,Match Report,2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Away,D,0,0,Caen,298,427,69.8,5304,2097,129,163,79.1,126,155,81.3,33,83,39.8,0,0.3,0.4,5,16,6,1,28,Match Report,2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Away,D,0,0,Caen,427,368,58,18,0,3,11,32,2,1,1,0,298,1,7,Match Report,2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Away,D,0,0,Caen,10,10,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Away,D,0,0,Caen,12,8,5,5,2,2,7,28.6,5,8,3,5,13,25,22,0,Match Report,2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Away,D,0,0,Caen,41,522,45,156,264,108,13,522,9,6,66.7,3,33.3,230,1565,727,10,16,4,13,24,297,27,Match Report,2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Away,D,0,0,Caen,0,0,0,5,16,1,11,13,8,0,0,0,51,19,32,37.3,Match Report
