Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-12,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,0,Amiens,2,15,7,46.7,0.13,0.29,18.3,4,0,0,1.4,1.4,0.09,+0.6,+0.6,Match Report,2018-08-12,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,0,Amiens,1,0,1,100.0,1,0.0,0.0,0,0,0,0,0,5,0.0,15,2,6.7,23.3,6,66.7,47.2,5,0,0.0,2,19.2,Match Report,2018-08-12,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,0,Amiens,523,608,86.0,9029,2560,229,248,92.3,231,251,92.0,48,76,63.2,1,1.2,1.0,10,52,2,0,53,Match Report,2018-08-12,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,0,Amiens,608,554,52,15,4,2,14,20,10,4,5,0,523,2,14,Match Report,2018-08-12,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,0,Amiens,29,19,3,3,0,4,0,4,2,0,1,0,1,0,Match Report,2018-08-12,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,0,Amiens,13,7,4,9,0,5,13,38.5,8,12,5,7,11,24,14,0,Match Report,2018-08-12,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,0,Amiens,67,712,32,156,401,164,21,712,28,16,57.1,12,42.9,446,2887,1638,22,23,9,12,11,520,52,Match Report,2018-08-12,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,0,Amiens,0,0,0,9,17,2,14,11,7,0,0,0,42,8,12,40.0,Match Report
2018-08-17,20:45 (11:45),Ligue 1,Matchweek 2,Fri,Away,L,0,1,Reims,0,19,5,26.3,0.00,0.00,19.5,1,0,0,1.1,1.1,0.06,-1.1,-1.1,Match Report,2018-08-17,20:45 (11:45),Ligue 1,Matchweek 2,Fri,Away,L,0,1,Reims,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,4,4,100.0,22,6,13.6,25.3,9,11.1,32.3,9,0,0.0,2,24.5,Match Report,2018-08-17,20:45 (11:45),Ligue 1,Matchweek 2,Fri,Away,L,0,1,Reims,600,705,85.1,10587,3250,273,309,88.3,249,280,88.9,64,84,76.2,0,0.8,1.7,13,61,11,4,81,Match Report,2018-08-17,20:45 (11:45),Ligue 1,Matchweek 2,Fri,Away,L,0,1,Reims,705,652,52,11,2,4,31,26,4,3,1,0,600,1,10,Match Report,2018-08-17,20:45 (11:45),Ligue 1,Matchweek 2,Fri,Away,L,0,1,Reims,34,23,3,4,2,1,1,0,0,0,0,0,0,0,Match Report,2018-08-17,20:45 (11:45),Ligue 1,Matchweek 2,Fri,Away,L,0,1,Reims,12,5,6,5,1,7,9,77.8,2,1,0,1,8,20,7,0,Match Report,2018-08-17,20:45 (11:45),Ligue 1,Matchweek 2,Fri,Away,L,0,1,Reims,66,798,36,140,371,291,33,798,21,12,57.1,9,42.9,592,3462,2021,41,34,5,18,14,597,79,Match Report,2018-08-17,20:45 (11:45),Ligue 1,Matchweek 2,Fri,Away,L,0,1,Reims,0,0,0,10,11,1,31,8,5,0,0,0,54,13,13,50.0,Match Report
2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,W,2,0,Strasbourg,2,22,10,45.5,0.09,0.20,19.8,3,0,0,1.6,1.6,0.07,+0.4,+0.4,Match Report,2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,W,2,0,Strasbourg,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,4,6,66.7,29,5,13.8,27.8,10,20.0,36.1,7,1,14.3,0,14.0,Match Report,2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,W,2,0,Strasbourg,502,607,82.7,8662,3308,230,259,88.8,204,235,86.8,50,75,66.7,2,1.2,0.9,15,42,9,1,56,Match Report,2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,W,2,0,Strasbourg,607,559,48,12,5,2,17,20,5,2,2,0,502,0,16,Match Report,2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,W,2,0,Strasbourg,39,29,3,4,0,3,0,4,2,0,2,0,0,0,Match Report,2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,W,2,0,Strasbourg,17,10,8,9,0,5,13,38.5,8,9,2,7,5,22,9,0,Match Report,2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,W,2,0,Strasbourg,61,706,51,184,367,163,20,706,18,11,61.1,7,38.9,460,2570,1440,28,19,5,15,14,500,55,Match Report,2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Home,W,2,0,Strasbourg,1,0,0,13,13,0,17,5,10,0,0,0,68,14,9,60.9,Match Report
2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Home,L,0,1,Nice,0,29,9,31.0,0.00,0.00,20.5,2,0,0,1.9,1.9,0.07,-1.9,-1.9,Match Report,2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Home,L,0,1,Nice,1,1,0,0.0,0,0.0,-1.0,0,0,0,0,3,5,60.0,24,5,20.8,29.0,4,0.0,24.3,9,0,0.0,1,17.0,Match Report,2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Home,L,0,1,Nice,513,607,84.5,9049,3062,226,251,90.0,212,231,91.8,55,72,76.4,0,1.0,1.8,19,44,16,4,76,Match Report,2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Home,L,0,1,Nice,607,547,55,13,1,7,25,26,10,6,1,0,513,5,13,Match Report,2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Home,L,0,1,Nice,51,41,4,2,2,2,0,0,0,0,0,0,0,0,Match Report,2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Home,L,0,1,Nice,28,17,7,13,8,13,19,68.4,6,11,4,7,6,34,14,0,Match Report,2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Home,L,0,1,Nice,58,734,44,150,353,237,40,734,16,7,43.8,9,56.3,398,2345,1477,35,26,9,10,16,513,76,Match Report,2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Home,L,0,1,Nice,0,0,0,6,12,5,25,6,17,0,0,0,61,9,16,36.0,Match Report
2018-09-15,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,D,2,2,Caen,2,18,6,33.3,0.11,0.33,17.0,2,0,0,1.6,1.6,0.10,+0.4,+0.4,Match Report,2018-09-15,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,D,2,2,Caen,4,2,2,75.0,0,1.8,-0.2,1,1,0,0,3,4,75.0,23,6,13.0,27.0,9,11.1,31.8,8,0,0.0,4,20.1,Match Report,2018-09-15,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,D,2,2,Caen,442,525,84.2,7712,2875,184,209,88.0,212,238,89.1,34,54,63.0,1,0.4,0.6,9,31,5,1,57,Match Report,2018-09-15,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,D,2,2,Caen,525,471,52,14,1,1,19,22,4,1,3,0,442,2,4,Match Report,2018-09-15,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,D,2,2,Caen,33,20,3,2,3,5,0,4,3,0,0,0,1,0,Match Report,2018-09-15,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,D,2,2,Caen,13,5,8,5,0,5,10,50.0,5,11,6,5,6,19,22,0,Match Report,2018-09-15,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,D,2,2,Caen,67,632,56,165,338,135,30,632,17,10,58.8,7,41.2,417,2294,1235,22,17,7,18,19,441,57,Match Report,2018-09-15,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,D,2,2,Caen,2,0,0,13,15,2,19,6,5,0,1,0,43,25,14,64.1,Match Report
2018-09-19,20:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,1,eng Manchester City,2,11,4,36.4,0.18,0.50,21.6,0,0,0,0.8,0.8,0.08,+1.2,+1.2,Match Report,2018-09-19,20:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,1,eng Manchester City,8,1,7,87.5,0,1.5,+0.5,0,0,0,0,8,26,30.8,26,2,61.5,47.0,13,76.9,51.4,15,0,0.0,0,9.5,Match Report,2018-09-19,20:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,1,eng Manchester City,256,345,74.2,4842,1883,105,123,85.4,95,116,81.9,41,78,52.6,2,0.7,0.4,8,18,3,1,20,Match Report,2018-09-19,20:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,1,eng Manchester City,345,293,48,15,3,2,6,17,1,1,0,0,256,4,3,Match Report,2018-09-19,20:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,1,eng Manchester City,17,10,1,1,2,1,2,4,3,0,0,0,0,1,Match Report,2018-09-19,20:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,1,eng Manchester City,23,14,10,11,2,8,16,50.0,8,11,2,9,7,30,34,0,Match Report,2018-09-19,20:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,1,eng Manchester City,31,465,87,192,205,76,10,465,14,10,71.4,4,28.6,247,1488,828,10,7,5,19,9,254,20,Match Report,2018-09-19,20:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,1,eng Manchester City,2,0,0,12,13,4,6,7,14,0,0,0,53,7,13,35.0,Match Report
2018-09-23,21:00 (12:00),Ligue 1,Matchweek 6,Sun,Home,W,4,2,Marseille,4,16,4,25.0,0.19,0.75,19.4,2,1,1,1.9,1.2,0.07,+2.1,+1.8,Match Report,2018-09-23,21:00 (12:00),Ligue 1,Matchweek 6,Sun,Home,W,4,2,Marseille,3,2,1,33.3,0,1.5,-0.5,0,0,0,0,0,9,0.0,16,3,50.0,39.1,8,12.5,31.9,15,0,0.0,0,5.3,Match Report,2018-09-23,21:00 (12:00),Ligue 1,Matchweek 6,Sun,Home,W,4,2,Marseille,437,499,87.6,7798,2360,194,216,89.8,175,192,91.1,50,66,75.8,3,1.0,0.9,13,33,2,1,25,Match Report,2018-09-23,21:00 (12:00),Ligue 1,Matchweek 6,Sun,Home,W,4,2,Marseille,499,455,43,10,1,9,4,19,3,1,1,0,437,1,2,Match Report,2018-09-23,21:00 (12:00),Ligue 1,Matchweek 6,Sun,Home,W,4,2,Marseille,31,22,3,0,3,3,0,7,5,0,0,1,1,0,Match Report,2018-09-23,21:00 (12:00),Ligue 1,Matchweek 6,Sun,Home,W,4,2,Marseille,20,14,13,7,0,6,12,50.0,6,14,2,12,8,28,27,1,Match Report,2018-09-23,21:00 (12:00),Ligue 1,Matchweek 6,Sun,Home,W,4,2,Marseille,56,612,49,164,347,106,17,611,10,6,60.0,4,40.0,381,1998,1004,16,10,8,14,9,433,25,Match Report,2018-09-23,21:00 (12:00),Ligue 1,Matchweek 6,Sun,Home,W,4,2,Marseille,1,0,0,7,12,1,4,8,14,1,0,0,37,10,6,62.5,Match Report
2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,W,3,0,Dijon,3,16,5,31.3,0.19,0.60,15.8,0,0,0,2.5,2.5,0.16,+0.5,+0.5,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,W,3,0,Dijon,6,0,6,100.0,1,0.7,+0.7,0,0,0,0,6,17,35.3,29,7,27.6,32.8,12,75.0,51.8,23,0,0.0,2,14.3,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,W,3,0,Dijon,385,462,83.3,6708,2640,182,200,91.0,158,181,87.3,35,58,60.3,2,1.9,0.9,12,21,6,1,28,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,W,3,0,Dijon,462,414,46,12,2,1,7,19,2,0,2,0,385,2,8,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,W,3,0,Dijon,28,25,0,1,2,0,0,5,4,0,0,1,0,0,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,W,3,0,Dijon,19,8,16,2,1,8,16,50.0,8,18,13,5,9,28,29,1,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,W,3,0,Dijon,48,588,84,252,252,91,19,588,13,7,53.8,6,46.2,370,2033,1035,21,13,7,11,12,383,28,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,W,3,0,Dijon,2,1,1,11,11,2,7,9,8,0,0,0,43,12,6,66.7,Match Report
2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,D,1,1,Nantes,1,19,6,31.6,0.05,0.17,18.3,1,0,1,2.2,1.4,0.07,-1.2,-0.4,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,D,1,1,Nantes,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,2,6,33.3,22,5,18.2,28.3,8,25.0,37.1,17,0,0.0,0,10.7,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,D,1,1,Nantes,394,479,82.3,7192,2708,170,188,90.4,161,185,87.0,56,80,70.0,1,1.1,1.1,14,23,9,3,36,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,D,1,1,Nantes,479,430,48,11,6,1,17,17,10,5,2,0,394,1,12,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,D,1,1,Nantes,36,26,3,1,2,4,0,2,2,0,0,0,0,0,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,D,1,1,Nantes,20,13,11,6,3,11,17,64.7,6,15,9,6,11,31,16,0,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,D,1,1,Nantes,50,609,53,172,314,128,25,608,22,11,50.0,11,50.0,390,2017,1165,25,20,4,21,15,392,36,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,D,1,1,Nantes,3,0,0,15,12,1,17,11,13,1,0,0,55,16,19,45.7,Match Report
2018-10-02,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,2,2,ua Shakhtar,2,22,7,31.8,0.09,0.29,19.6,3,0,0,2.8,2.8,0.13,-0.8,-0.8,Match Report,2018-10-02,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,2,2,ua Shakhtar,7,2,5,71.4,0,1.8,-0.2,0,0,0,0,3,6,50.0,20,7,5.0,22.8,8,62.5,50.8,7,0,0.0,1,21.5,Match Report,2018-10-02,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,2,2,ua Shakhtar,474,561,84.5,8737,2885,194,220,88.2,235,257,91.4,43,61,70.5,2,2.0,1.3,14,25,7,0,56,Match Report,2018-10-02,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,2,2,ua Shakhtar,561,509,45,14,3,2,16,17,3,1,1,0,474,7,9,Match Report,2018-10-02,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,2,2,ua Shakhtar,36,24,2,1,5,4,0,3,3,0,0,0,0,0,Match Report,2018-10-02,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,2,2,ua Shakhtar,13,7,4,7,2,4,9,44.4,5,9,3,6,8,21,10,0,Match Report,2018-10-02,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,2,2,ua Shakhtar,51,647,45,134,367,150,28,647,16,9,56.3,7,43.8,449,2320,1212,16,19,4,11,10,470,56,Match Report,2018-10-02,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,2,2,ua Shakhtar,1,0,0,11,15,7,16,8,7,0,0,0,53,14,5,73.7,Match Report
2018-10-07,21:00 (12:00),Ligue 1,Matchweek 9,Sun,Away,L,0,5,Paris S-G,0,16,6,37.5,0.00,0.00,19.0,2,0,0,1.5,1.5,0.10,-1.5,-1.5,Match Report,2018-10-07,21:00 (12:00),Ligue 1,Matchweek 9,Sun,Away,L,0,5,Paris S-G,8,5,3,50.0,0,3.7,-1.3,1,1,0,0,3,10,30.0,21,3,28.6,27.9,10,40.0,40.5,2,0,0.0,0,16.5,Match Report,2018-10-07,21:00 (12:00),Ligue 1,Matchweek 9,Sun,Away,L,0,5,Paris S-G,403,487,82.8,6892,2283,185,208,88.9,176,198,88.9,32,56,57.1,0,0.7,0.8,11,34,6,0,45,Match Report,2018-10-07,21:00 (12:00),Ligue 1,Matchweek 9,Sun,Away,L,0,5,Paris S-G,487,436,50,13,1,3,21,11,10,6,3,0,403,1,10,Match Report,2018-10-07,21:00 (12:00),Ligue 1,Matchweek 9,Sun,Away,L,0,5,Paris S-G,27,18,2,0,2,3,2,0,0,0,0,0,0,0,Match Report,2018-10-07,21:00 (12:00),Ligue 1,Matchweek 9,Sun,Away,L,0,5,Paris S-G,17,11,7,6,4,6,12,50.0,6,5,4,1,12,29,7,1,Match Report,2018-10-07,21:00 (12:00),Ligue 1,Matchweek 9,Sun,Away,L,0,5,Paris S-G,51,588,61,141,286,167,20,588,25,13,52.0,12,48.0,373,2139,1157,25,18,6,11,11,398,43,Match Report,2018-10-07,21:00 (12:00),Ligue 1,Matchweek 9,Sun,Away,L,0,5,Paris S-G,4,1,1,16,11,1,21,12,11,0,1,0,48,4,5,44.4,Match Report
