Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,0,1,Reims,0,19,1,5.3,0.00,0.00,21.9,2,0,0,1.2,1.2,0.06,-1.2,-1.2,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,0,1,Reims,3,1,2,66.7,0,0.4,-0.6,0,0,0,0,0,0,,20,8,0.0,18.5,6,0.0,26.8,8,0,0.0,1,26.0,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,0,1,Reims,589,685,86.0,10753,3032,236,258,91.5,299,331,90.3,50,77,64.9,0,0.6,0.7,14,69,4,2,70,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,0,1,Reims,685,629,53,15,0,11,29,20,10,6,3,0,589,3,9,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,0,1,Reims,36,23,4,3,3,3,0,0,0,0,0,0,0,0,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,0,1,Reims,9,6,3,4,2,4,11,36.4,7,6,0,6,17,26,5,0,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,0,1,Reims,69,778,30,115,450,218,25,778,24,14,58.3,10,41.7,455,2630,1648,30,20,8,9,4,586,69,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,0,1,Reims,1,0,0,13,13,3,29,17,6,0,0,0,42,19,10,65.5,Match Report
2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,D,1,1,Caen,1,16,5,31.3,0.06,0.20,18.6,0,0,0,0.9,0.9,0.05,+0.1,+0.1,Match Report,2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,D,1,1,Caen,4,1,3,100.0,0,1.2,+0.2,1,1,0,0,0,1,0.0,23,8,4.3,22.7,7,0.0,23.4,14,0,0.0,3,18.3,Match Report,2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,D,1,1,Caen,514,609,84.4,8990,2985,232,260,89.2,231,262,88.2,44,71,62.0,1,0.8,0.9,14,30,3,1,44,Match Report,2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,D,1,1,Caen,609,541,68,25,0,6,19,24,10,4,6,0,514,0,7,Match Report,2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,D,1,1,Caen,31,22,3,4,2,0,0,2,2,0,0,0,0,0,Match Report,2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,D,1,1,Caen,13,4,4,9,0,4,9,44.4,5,13,4,9,3,16,24,0,Match Report,2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,D,1,1,Caen,62,717,48,203,396,124,19,717,19,10,52.6,9,47.4,340,1565,924,14,12,6,17,4,508,42,Match Report,2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,D,1,1,Caen,2,0,0,11,20,0,19,3,4,0,1,0,34,20,18,52.6,Match Report
2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,4,Dijon,0,16,3,18.8,0.00,0.00,19.5,1,0,0,1.9,1.9,0.12,-1.9,-1.9,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,4,Dijon,5,4,1,20.0,0,2.2,-1.8,0,0,0,0,0,0,,24,5,0.0,22.3,4,0.0,23.3,9,0,0.0,1,18.5,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,4,Dijon,470,551,85.3,8615,3102,195,220,88.6,206,224,92.0,56,81,69.1,0,1.8,1.3,14,35,7,3,45,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,4,Dijon,551,500,50,19,3,5,13,18,5,0,4,0,470,1,11,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,4,Dijon,31,21,3,3,1,2,1,0,0,0,0,0,0,0,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,4,Dijon,14,9,7,7,0,9,17,52.9,8,6,0,6,10,24,18,0,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,4,Dijon,55,650,51,170,370,116,24,650,28,14,50.0,14,50.0,349,1945,1187,24,8,9,10,7,468,45,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,4,Dijon,2,0,0,11,18,1,13,10,9,0,0,0,56,17,19,47.2,Match Report
2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Away,W,1,0,Lyon,1,8,1,12.5,0.13,1.00,20.6,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Match Report,2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Away,W,1,0,Lyon,9,0,9,100.0,1,2.1,+2.1,0,0,0,0,15,28,53.6,23,4,52.2,40.0,18,88.9,58.1,21,0,0.0,0,9.7,Match Report,2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Away,W,1,0,Lyon,356,440,80.9,5909,2585,196,218,89.9,104,120,86.7,37,69,53.6,0,0.6,0.3,7,25,1,0,32,Match Report,2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Away,W,1,0,Lyon,440,388,51,10,0,4,11,17,5,2,1,0,356,1,8,Match Report,2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Away,W,1,0,Lyon,14,10,4,0,0,0,0,2,1,1,0,0,0,0,Match Report,2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Away,W,1,0,Lyon,25,14,16,7,2,9,16,56.3,7,16,3,13,14,39,33,0,Match Report,2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Away,W,1,0,Lyon,42,580,86,224,270,90,9,580,19,6,31.6,13,68.4,313,1650,827,13,8,6,16,15,352,32,Match Report,2018-08-31,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Away,W,1,0,Lyon,2,0,0,14,6,1,11,14,14,0,0,0,42,16,9,64.0,Match Report
2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Rennes,2,13,4,30.8,0.15,0.50,15.8,1,0,0,1.4,1.4,0.11,+0.6,+0.6,Match Report,2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Rennes,2,1,1,50.0,0,1.0,+1.0,1,0,1,0,2,8,25.0,19,2,21.1,29.9,7,57.1,42.7,9,0,0.0,2,15.7,Match Report,2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Rennes,422,520,81.2,8611,3018,147,170,86.5,205,235,87.2,65,100,65.0,2,1.2,1.5,9,29,7,2,48,Match Report,2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Rennes,520,465,55,20,1,9,19,23,3,0,3,0,422,0,7,Match Report,2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Rennes,23,20,1,1,0,1,0,4,4,0,0,0,0,0,Match Report,2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Rennes,23,15,8,14,1,17,23,73.9,6,13,3,10,6,29,14,0,Match Report,2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Rennes,58,636,58,193,317,134,26,636,30,16,53.3,14,46.7,311,1945,1193,22,11,9,18,11,419,48,Match Report,2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Rennes,4,0,0,10,18,0,19,6,15,0,1,1,63,12,11,52.2,Match Report
2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,L,0,1,Montpellier,0,9,2,22.2,0.00,0.00,27.2,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,L,0,1,Montpellier,4,1,3,75.0,0,1.2,+0.2,0,0,0,0,3,7,42.9,26,6,11.5,26.5,5,80.0,53.0,16,1,6.3,0,3.5,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,L,0,1,Montpellier,537,629,85.4,9590,3208,244,270,90.4,239,265,90.2,51,83,61.4,0,0.2,0.3,5,26,2,0,47,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,L,0,1,Montpellier,629,577,52,15,1,7,15,25,5,1,2,0,537,0,5,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,L,0,1,Montpellier,14,10,2,0,0,2,0,0,0,0,0,0,0,0,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,L,0,1,Montpellier,23,11,15,5,3,10,18,55.6,8,11,3,8,12,35,20,1,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,L,0,1,Montpellier,59,740,62,246,375,127,9,740,22,10,45.5,12,54.5,326,1783,1074,15,14,4,15,11,537,47,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,L,0,1,Montpellier,2,0,0,11,14,0,15,12,11,0,0,0,54,16,23,41.0,Match Report
2018-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,W,2,1,Nantes,2,12,5,41.7,0.17,0.40,14.6,0,0,0,1.1,1.1,0.09,+0.9,+0.9,Match Report,2018-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,W,2,1,Nantes,3,1,2,66.7,0,1.2,+0.2,0,0,0,0,4,11,36.4,23,4,34.8,31.1,6,50.0,39.8,21,0,0.0,0,,Match Report,2018-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,W,2,1,Nantes,390,497,78.5,6903,2563,197,223,88.3,150,179,83.8,38,74,51.4,2,0.8,0.9,9,24,7,1,35,Match Report,2018-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,W,2,1,Nantes,497,446,50,14,1,6,12,20,8,2,5,0,390,1,7,Match Report,2018-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,W,2,1,Nantes,21,13,3,3,2,0,0,4,4,0,0,0,0,0,Match Report,2018-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,W,2,1,Nantes,17,10,4,11,2,6,11,54.5,5,16,3,13,15,32,25,0,Match Report,2018-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,W,2,1,Nantes,49,642,62,222,285,143,26,642,19,9,47.4,10,52.6,282,1507,866,18,16,9,23,14,388,34,Match Report,2018-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,W,2,1,Nantes,2,0,0,15,12,1,12,15,10,0,0,0,62,17,19,47.2,Match Report
2018-09-29,17:15 (08:15),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Paris S-G,0,9,1,11.1,0.00,0.00,18.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report,2018-09-29,17:15 (08:15),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Paris S-G,8,3,5,62.5,0,2.5,-0.5,0,0,0,0,4,14,28.6,27,8,29.6,31.5,14,42.9,36.0,10,0,0.0,0,8.7,Match Report,2018-09-29,17:15 (08:15),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Paris S-G,293,374,78.3,5045,2144,151,172,87.8,108,125,86.4,28,60,46.7,0,0.4,0.2,7,8,5,1,25,Match Report,2018-09-29,17:15 (08:15),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Paris S-G,374,318,55,18,0,1,13,16,3,1,2,0,293,1,7,Match Report,2018-09-29,17:15 (08:15),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Paris S-G,13,6,2,2,0,2,1,0,0,0,0,0,0,0,Match Report,2018-09-29,17:15 (08:15),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Paris S-G,16,10,6,6,4,5,11,45.5,6,16,5,11,15,31,15,0,Match Report,2018-09-29,17:15 (08:15),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Paris S-G,38,488,77,205,197,94,13,488,29,14,48.3,15,51.7,241,1563,928,26,14,4,11,11,291,23,Match Report,2018-09-29,17:15 (08:15),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Paris S-G,3,1,1,13,12,1,13,15,10,0,0,0,40,7,10,41.2,Match Report
2018-10-05,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,D,1,1,Toulouse,1,11,2,18.2,0.09,0.50,19.1,0,0,0,1.0,1.0,0.09,0.0,0.0,Match Report,2018-10-05,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,D,1,1,Toulouse,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,2,9,22.2,31,7,22.6,29.4,5,40.0,33.8,15,0,0.0,0,16.0,Match Report,2018-10-05,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,D,1,1,Toulouse,533,611,87.2,9180,3115,260,281,92.5,217,235,92.3,50,78,64.1,1,1.0,0.9,11,36,7,2,50,Match Report,2018-10-05,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,D,1,1,Toulouse,611,561,49,23,0,5,12,17,2,2,0,0,533,1,7,Match Report,2018-10-05,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,D,1,1,Toulouse,21,17,1,1,0,1,1,1,1,0,0,0,0,0,Match Report,2018-10-05,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,D,1,1,Toulouse,30,15,13,11,6,12,26,46.2,14,18,5,13,16,46,24,1,Match Report,2018-10-05,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,D,1,1,Toulouse,58,772,73,231,371,175,26,772,28,8,28.6,20,71.4,371,2139,1134,25,24,12,25,13,529,50,Match Report,2018-10-05,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,D,1,1,Toulouse,2,0,0,14,17,1,12,16,15,0,0,0,56,12,10,54.5,Match Report
2018-10-21,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,L,0,1,Marseille,0,14,3,21.4,0.00,0.00,19.4,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report,2018-10-21,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,L,0,1,Marseille,1,1,0,0.0,0,0.2,-0.8,0,0,0,0,2,3,66.7,23,6,4.3,20.8,6,33.3,33.7,14,1,7.1,0,4.0,Match Report,2018-10-21,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,L,0,1,Marseille,503,615,81.8,9284,3215,205,227,90.3,227,267,85.0,59,91,64.8,0,0.5,0.8,10,41,7,3,53,Match Report,2018-10-21,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,L,0,1,Marseille,615,568,46,9,1,9,22,24,5,0,4,0,503,1,9,Match Report,2018-10-21,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,L,0,1,Marseille,23,16,1,2,1,2,1,0,0,0,0,0,0,0,Match Report,2018-10-21,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,L,0,1,Marseille,16,10,9,6,1,8,16,50.0,8,13,4,9,9,25,18,0,Match Report,2018-10-21,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,L,0,1,Marseille,57,737,68,216,353,171,24,737,23,16,69.6,7,30.4,380,1818,1187,25,14,10,15,5,500,53,Match Report,2018-10-21,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,L,0,1,Marseille,3,0,0,12,8,1,22,9,10,0,0,0,53,21,14,60.0,Match Report
