Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,3,Lille,1,8,2,25.0,0.13,0.50,23.0,1,0,0,0.5,0.5,0.06,+0.5,+0.5,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,3,Lille,6,3,3,50.0,0,2.3,-0.7,0,0,0,0,6,12,50.0,15,4,46.7,36.9,9,55.6,46.9,9,1,11.1,0,3.5,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,3,Lille,301,404,74.5,5740,2451,126,153,82.4,134,162,82.7,36,74,48.6,1,0.4,0.4,6,29,10,1,47,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,3,Lille,404,353,50,12,1,6,19,20,6,4,1,0,301,1,6,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,3,Lille,16,11,2,2,0,1,0,2,1,0,1,0,0,0,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,3,Lille,13,9,6,4,3,3,13,23.1,10,16,4,12,10,23,10,0,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,3,Lille,44,490,43,135,226,139,17,490,10,5,50.0,5,50.0,280,1679,828,14,12,6,16,10,299,46,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,3,Lille,0,0,0,13,12,1,19,10,9,0,0,0,53,10,10,50.0,Match Report
2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,1,0,Angers,1,5,2,40.0,0.20,0.50,22.2,1,0,0,0.3,0.3,0.06,+0.7,+0.7,Match Report,2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,1,0,Angers,0,0,0,,1,0.0,0.0,0,0,0,0,2,6,33.3,15,3,26.7,32.1,7,28.6,34.1,5,0,0.0,1,28.0,Match Report,2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,1,0,Angers,426,558,76.3,8021,2594,170,206,82.5,193,223,86.5,51,94,54.3,1,0.2,0.4,3,45,5,1,61,Match Report,2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,1,0,Angers,558,509,47,11,2,10,17,25,3,1,2,0,426,2,10,Match Report,2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,1,0,Angers,7,4,0,2,0,1,0,2,1,0,1,0,0,0,Match Report,2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,1,0,Angers,13,7,3,8,2,9,21,42.9,12,9,1,8,5,18,14,0,Match Report,2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,1,0,Angers,58,639,27,128,378,140,17,639,15,11,73.3,4,26.7,322,2010,1219,25,8,10,19,10,423,60,Match Report,2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,1,0,Angers,1,0,0,8,11,2,17,5,7,0,0,0,56,24,10,70.6,Match Report
2018-08-26,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Away,D,2,2,Marseille,2,6,1,16.7,0.17,1.00,21.3,2,1,1,2.0,1.2,0.20,0.0,-0.2,Match Report,2018-08-26,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Away,D,2,2,Marseille,3,2,2,33.3,0,1.2,+0.2,0,0,0,0,7,28,25.0,23,2,69.6,48.6,12,100.0,66.8,26,0,0.0,0,7.0,Match Report,2018-08-26,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Away,D,2,2,Marseille,209,321,65.1,4362,1856,78,98,79.6,89,117,76.1,38,93,40.9,0,0.2,0.2,3,20,2,1,20,Match Report,2018-08-26,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Away,D,2,2,Marseille,321,266,53,14,0,6,15,20,4,1,1,0,209,2,6,Match Report,2018-08-26,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Away,D,2,2,Marseille,13,5,1,2,0,4,1,4,2,0,1,0,1,0,Match Report,2018-08-26,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Away,D,2,2,Marseille,16,10,9,6,1,4,12,33.3,8,6,1,5,11,27,33,0,Match Report,2018-08-26,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Away,D,2,2,Marseille,36,436,67,179,181,78,8,435,12,5,41.7,7,58.3,206,1047,459,10,8,2,16,9,206,19,Match Report,2018-08-26,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Away,D,2,2,Marseille,1,0,0,15,14,2,15,11,10,1,0,1,49,17,23,42.5,Match Report
2018-09-02,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Home,W,2,0,Bordeaux,2,16,7,43.8,0.13,0.29,15.2,0,0,0,2.3,2.3,0.14,-0.3,-0.3,Match Report,2018-09-02,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Home,W,2,0,Bordeaux,1,0,1,100.0,1,0.4,+0.4,0,0,0,0,4,14,28.6,19,2,36.8,34.4,8,87.5,62.5,10,0,0.0,2,26.0,Match Report,2018-09-02,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Home,W,2,0,Bordeaux,314,420,74.8,5604,2274,144,172,83.7,131,166,78.9,34,66,51.5,2,1.5,1.2,13,24,9,5,32,Match Report,2018-09-02,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Home,W,2,0,Bordeaux,420,376,44,14,0,3,17,15,6,3,3,0,314,0,5,Match Report,2018-09-02,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Home,W,2,0,Bordeaux,27,17,5,4,0,1,0,3,0,2,1,0,0,0,Match Report,2018-09-02,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Home,W,2,0,Bordeaux,25,17,13,11,1,14,25,56.0,11,11,2,9,12,37,29,0,Match Report,2018-09-02,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Home,W,2,0,Bordeaux,46,545,43,148,271,137,24,545,22,12,54.5,10,45.5,307,1719,1009,21,10,4,12,10,313,32,Match Report,2018-09-02,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Home,W,2,0,Bordeaux,0,0,0,12,13,0,17,12,17,0,0,0,68,11,19,36.7,Match Report
2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,L,1,2,Nice,0,8,1,12.5,0.00,0.00,27.4,2,0,1,1.1,0.3,0.04,-1.1,-0.3,Match Report,2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,L,1,2,Nice,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,8,22,36.4,22,2,54.5,40.1,11,90.9,55.6,17,0,0.0,4,22.0,Match Report,2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,L,1,2,Nice,284,380,74.7,4945,1936,135,163,82.8,96,111,86.5,38,72,52.8,0,0.1,0.4,5,19,5,2,25,Match Report,2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,L,1,2,Nice,380,331,47,7,1,6,12,24,2,2,0,0,284,2,12,Match Report,2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,L,1,2,Nice,14,11,0,0,0,3,0,0,0,0,0,0,0,0,Match Report,2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,L,1,2,Nice,25,12,13,10,2,14,30,46.7,16,8,3,5,14,39,24,0,Match Report,2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,L,1,2,Nice,42,503,62,147,269,95,15,502,23,6,26.1,17,73.9,244,1651,809,15,15,3,15,6,284,25,Match Report,2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,L,1,2,Nice,1,0,0,19,9,2,12,14,12,1,0,0,61,11,12,47.8,Match Report
2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cz Jablonec,2,16,5,31.3,0.06,0.20,20.4,1,1,1,1.5,0.8,0.05,+0.5,+0.2,Match Report,2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cz Jablonec,1,1,0,0.0,0,0.2,-0.8,0,0,0,0,8,22,36.4,32,1,43.8,38.3,9,88.9,62.4,9,0,0.0,3,24.5,Match Report,2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cz Jablonec,413,529,78.1,7500,2816,168,198,84.8,199,230,86.5,35,77,45.5,1,0.5,0.8,10,25,7,1,38,Match Report,2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cz Jablonec,529,473,55,10,0,1,16,29,5,3,2,0,413,1,8,Match Report,2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cz Jablonec,30,19,4,2,3,2,0,4,2,1,0,0,1,0,Match Report,2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cz Jablonec,20,14,10,7,3,8,10,80.0,2,9,2,7,16,36,20,0,Match Report,2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cz Jablonec,60,652,45,219,310,132,22,651,14,5,35.7,9,64.3,352,1844,806,11,9,3,23,12,409,38,Match Report,2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cz Jablonec,1,0,0,11,10,1,16,16,14,1,0,0,59,27,21,56.3,Match Report
2018-09-23,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Paris S-G,0,14,4,28.6,0.00,0.00,17.3,1,0,0,1.3,1.3,0.09,-1.3,-1.3,Match Report,2018-09-23,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Paris S-G,4,3,1,25.0,0,1.4,-1.6,0,0,0,0,8,19,42.1,23,3,52.2,40.4,8,87.5,60.1,8,0,0.0,2,18.4,Match Report,2018-09-23,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Paris S-G,294,368,79.9,6016,2381,108,123,87.8,133,150,88.7,50,80,62.5,0,0.9,0.5,11,24,5,0,30,Match Report,2018-09-23,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Paris S-G,368,313,50,18,1,2,18,11,9,3,4,0,294,5,3,Match Report,2018-09-23,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Paris S-G,24,17,3,0,2,1,1,0,0,0,0,0,0,0,Match Report,2018-09-23,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Paris S-G,15,10,6,7,2,5,15,33.3,10,11,4,7,12,27,23,0,Match Report,2018-09-23,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Paris S-G,39,479,59,174,198,110,16,479,12,5,41.7,7,58.3,246,1312,749,18,12,5,10,5,291,30,Match Report,2018-09-23,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Paris S-G,2,0,0,11,16,5,18,12,10,0,0,0,53,4,6,40.0,Match Report
2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Amiens,1,16,2,12.5,0.06,0.50,15.0,0,0,0,2.0,2.0,0.13,-1.0,-1.0,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Amiens,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,4,16,25.0,23,6,43.5,38.2,7,85.7,54.6,14,0,0.0,1,16.0,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Amiens,304,408,74.5,5159,2083,149,170,87.6,105,132,79.5,37,76,48.7,1,1.3,0.6,13,21,4,2,31,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Amiens,408,351,57,11,1,2,16,30,6,5,1,0,304,0,11,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Amiens,28,17,5,4,1,1,0,2,1,0,1,0,0,0,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Amiens,11,7,6,4,1,5,10,50.0,5,15,5,10,9,20,20,1,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Amiens,51,524,49,149,250,129,19,524,18,13,72.2,5,27.8,229,1319,634,16,6,5,20,13,300,31,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Amiens,2,1,0,18,11,0,16,9,7,0,0,0,50,25,28,47.2,Match Report
2018-09-30,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Toulouse,1,21,6,28.6,0.00,0.00,21.7,2,1,1,2.7,1.9,0.09,-1.7,-1.9,Match Report,2018-09-30,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Toulouse,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,2,4,50.0,18,4,16.7,28.4,5,20.0,28.8,7,1,14.3,0,8.5,Match Report,2018-09-30,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Toulouse,473,573,82.5,8305,2925,193,210,91.9,209,232,90.1,49,79,62.0,0,1.7,1.3,16,35,11,4,61,Match Report,2018-09-30,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Toulouse,573,511,60,12,5,6,28,34,7,1,2,1,473,2,16,Match Report,2018-09-30,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Toulouse,42,34,0,3,1,3,1,1,0,0,0,0,1,0,Match Report,2018-09-30,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Toulouse,17,11,7,6,4,3,9,33.3,6,5,1,4,4,21,11,0,Match Report,2018-09-30,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Toulouse,65,682,32,137,334,218,28,681,18,10,55.6,8,44.4,368,2136,1201,33,27,8,18,8,471,61,Match Report,2018-09-30,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Toulouse,1,0,0,17,14,2,28,4,11,1,0,0,49,14,14,50.0,Match Report
2018-10-04,20:50 (07:50),Europa Lg,Group stage,Thu,Away,L,0,2,kz Astana FK,0,15,3,20.0,0.00,0.00,22.9,1,0,0,0.9,0.9,0.07,-0.9,-0.9,Match Report,2018-10-04,20:50 (07:50),Europa Lg,Group stage,Thu,Away,L,0,2,kz Astana FK,2,2,0,0.0,0,0.5,-1.5,0,0,0,0,2,5,40.0,16,5,18.8,28.1,4,50.0,39.0,13,1,7.7,0,11.0,Match Report,2018-10-04,20:50 (07:50),Europa Lg,Group stage,Thu,Away,L,0,2,kz Astana FK,525,651,80.6,9600,3168,221,252,87.7,241,276,87.3,55,91,60.4,0,0.5,0.3,11,39,5,1,52,Match Report,2018-10-04,20:50 (07:50),Europa Lg,Group stage,Thu,Away,L,0,2,kz Astana FK,651,602,47,15,0,7,23,24,1,1,0,0,525,2,10,Match Report,2018-10-04,20:50 (07:50),Europa Lg,Group stage,Thu,Away,L,0,2,kz Astana FK,24,20,2,0,2,0,0,0,0,0,0,0,0,0,Match Report,2018-10-04,20:50 (07:50),Europa Lg,Group stage,Thu,Away,L,0,2,kz Astana FK,17,11,7,9,1,9,13,69.2,4,10,2,8,11,28,21,0,Match Report,2018-10-04,20:50 (07:50),Europa Lg,Group stage,Thu,Away,L,0,2,kz Astana FK,59,759,37,176,430,161,9,759,10,7,70.0,3,30.0,408,2107,1154,16,14,2,16,11,522,51,Match Report,2018-10-04,20:50 (07:50),Europa Lg,Group stage,Thu,Away,L,0,2,kz Astana FK,2,0,0,6,11,2,23,11,11,0,0,0,65,25,15,62.5,Match Report
