Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-12,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,W,2,0,Bordeaux,2,17,6,35.3,0.12,0.33,21.6,2,0,0,1.5,1.5,0.09,+0.5,+0.5,Match Report,2018-08-12,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,W,2,0,Bordeaux,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,3,8,37.5,18,3,22.2,30.6,6,66.7,47.3,11,1,9.1,0,7.7,Match Report,2018-08-12,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,W,2,0,Bordeaux,527,632,83.4,9548,2814,235,263,89.4,206,232,88.8,64,100,64.0,2,1.3,1.5,12,30,12,4,60,Match Report,2018-08-12,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,W,2,0,Bordeaux,632,579,51,4,1,10,23,30,10,3,2,0,527,2,6,Match Report,2018-08-12,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,W,2,0,Bordeaux,29,20,3,2,2,2,0,4,2,1,0,1,0,0,Match Report,2018-08-12,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,W,2,0,Bordeaux,20,17,10,9,1,11,19,57.9,8,8,1,7,6,26,15,0,Match Report,2018-08-12,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,W,2,0,Bordeaux,66,735,35,162,373,206,21,735,19,9,47.4,10,52.6,490,2235,1290,21,23,6,15,16,522,59,Match Report,2018-08-12,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,W,2,0,Bordeaux,0,0,0,12,5,2,23,6,17,0,0,0,49,24,17,58.5,Match Report
2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Saint-Étienne,1,11,5,45.5,0.09,0.20,19.4,1,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report,2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Saint-Étienne,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,4,9,44.4,17,7,17.6,27.4,7,85.7,53.7,5,0,0.0,1,14.0,Match Report,2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Saint-Étienne,500,597,83.8,8983,2588,225,247,91.1,199,229,86.9,62,89,69.7,1,0.5,0.6,10,41,10,3,58,Match Report,2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Saint-Étienne,597,547,49,7,3,8,27,26,7,4,1,0,500,1,13,Match Report,2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Saint-Étienne,20,15,2,1,1,1,0,2,1,0,1,0,0,0,Match Report,2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Saint-Étienne,11,7,6,3,2,3,7,42.9,4,14,2,12,11,22,9,0,Match Report,2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Saint-Étienne,58,686,36,129,344,215,22,686,13,8,61.5,5,38.5,468,2070,1271,25,24,5,16,4,497,58,Match Report,2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Saint-Étienne,1,0,0,11,7,1,27,11,7,0,0,0,38,17,12,58.6,Match Report
2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Away,L,0,2,Lyon,0,9,1,11.1,0.00,0.00,20.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report,2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Away,L,0,2,Lyon,10,2,8,80.0,0,2.0,0.0,0,0,0,0,9,24,37.5,21,4,57.1,40.8,13,92.3,61.2,11,1,9.1,0,8.5,Match Report,2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Away,L,0,2,Lyon,297,395,75.2,5216,2060,149,165,90.3,111,131,84.7,28,72,38.9,0,0.4,0.5,8,23,3,1,28,Match Report,2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Away,L,0,2,Lyon,395,345,48,13,0,5,13,15,4,2,0,1,297,2,8,Match Report,2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Away,L,0,2,Lyon,18,14,1,2,0,1,0,0,0,0,0,0,0,0,Match Report,2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Away,L,0,2,Lyon,21,15,9,8,4,7,18,38.9,11,18,5,13,14,35,15,0,Match Report,2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Away,L,0,2,Lyon,39,503,58,175,236,100,12,503,13,8,61.5,5,38.5,297,1772,1092,25,17,4,15,12,295,28,Match Report,2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Away,L,0,2,Lyon,2,0,0,13,12,2,13,14,15,0,0,0,58,9,14,39.1,Match Report
2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,2,3,Nantes,2,10,5,50.0,0.20,0.40,14.1,0,0,0,1.4,1.4,0.14,+0.6,+0.6,Match Report,2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,2,3,Nantes,5,3,3,40.0,0,0.7,-1.3,0,0,0,0,13,26,50.0,24,3,70.8,46.8,10,90.0,52.5,16,1,6.3,1,20.0,Match Report,2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,2,3,Nantes,372,505,73.7,7484,2986,148,183,80.9,140,173,80.9,66,110,60.0,2,1.3,1.3,8,29,5,3,36,Match Report,2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,2,3,Nantes,505,449,55,12,1,14,23,28,1,0,1,0,372,1,11,Match Report,2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,2,3,Nantes,14,10,2,1,0,0,1,3,3,0,0,0,0,0,Match Report,2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,2,3,Nantes,18,16,8,9,1,7,13,53.8,6,17,3,14,12,30,16,1,Match Report,2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,2,3,Nantes,49,614,54,193,288,141,22,614,11,5,45.5,6,54.5,364,1773,840,21,14,5,17,15,371,36,Match Report,2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,2,3,Nantes,1,0,0,12,11,1,23,12,16,0,0,1,66,17,17,50.0,Match Report
2018-09-15,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,D,1,1,Montpellier,1,7,1,14.3,0.14,1.00,18.7,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Match Report,2018-09-15,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,D,1,1,Montpellier,3,1,2,66.7,0,0.4,-0.6,0,0,0,0,8,14,57.1,22,6,40.9,37.1,6,83.3,47.8,17,1,5.9,1,11.8,Match Report,2018-09-15,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,D,1,1,Montpellier,434,535,81.1,8525,2785,174,202,86.1,171,196,87.2,73,101,72.3,1,0.4,0.6,5,24,10,5,43,Match Report,2018-09-15,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,D,1,1,Montpellier,535,480,55,17,0,19,20,25,5,0,3,0,434,0,12,Match Report,2018-09-15,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,D,1,1,Montpellier,12,9,1,0,0,2,0,2,2,0,0,0,0,0,Match Report,2018-09-15,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,D,1,1,Montpellier,18,14,11,7,0,4,13,30.8,9,4,4,0,10,28,25,0,Match Report,2018-09-15,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,D,1,1,Montpellier,58,634,42,181,314,143,13,634,14,3,21.4,11,78.6,397,1867,876,16,16,2,14,6,432,43,Match Report,2018-09-15,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,D,1,1,Montpellier,2,0,0,14,15,0,20,10,14,0,0,0,40,14,15,48.3,Match Report
2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,3,1,Amiens,2,13,6,46.2,0.15,0.33,20.7,1,0,0,1.3,1.3,0.10,+0.7,+0.7,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,3,1,Amiens,3,1,2,66.7,0,1.3,+0.3,0,0,0,0,6,21,28.6,22,6,63.6,45.9,8,87.5,57.4,10,0,0.0,0,6.0,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,3,1,Amiens,407,511,79.6,7385,2371,181,199,91.0,151,181,83.4,54,94,57.4,1,1.1,0.9,9,34,6,2,44,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,3,1,Amiens,511,453,55,12,0,8,18,32,1,1,0,0,407,3,6,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,3,1,Amiens,22,18,1,1,0,2,0,4,3,0,0,0,1,0,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,3,1,Amiens,20,13,7,8,5,7,11,63.6,4,6,2,4,17,37,13,3,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,3,1,Amiens,53,619,49,158,278,189,17,619,12,7,58.3,5,41.7,381,1740,1060,19,20,4,25,14,402,43,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,3,1,Amiens,1,0,0,16,13,3,18,17,13,0,0,0,49,13,12,52.0,Match Report
2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,2,3,Marseille,2,9,5,55.6,0.22,0.40,21.1,0,0,0,0.8,0.8,0.09,+1.2,+1.2,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,2,3,Marseille,5,3,2,60.0,0,2.3,-0.7,1,1,0,0,5,16,31.3,27,4,40.7,36.6,7,71.4,55.4,14,2,14.3,1,11.0,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,2,3,Marseille,376,480,78.3,6781,2478,174,202,86.1,143,173,82.7,50,75,66.7,2,0.8,0.5,7,16,4,0,33,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,2,3,Marseille,480,426,48,12,1,10,7,23,2,0,1,0,376,6,11,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,2,3,Marseille,17,15,0,1,1,0,0,4,4,0,0,0,0,0,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,2,3,Marseille,20,10,8,10,2,5,11,45.5,6,8,3,5,11,31,14,0,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,2,3,Marseille,47,572,59,209,283,82,9,572,8,5,62.5,3,37.5,374,1704,952,16,6,2,18,10,374,33,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,2,3,Marseille,3,0,0,13,11,6,7,11,10,0,1,0,49,12,14,46.2,Match Report
2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,W,3,0,Dijon,3,7,5,71.4,0.43,0.60,15.2,0,0,0,1.0,1.0,0.14,+2.0,+2.0,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,W,3,0,Dijon,0,0,0,,1,0.0,0.0,0,0,0,0,13,30,43.3,36,8,61.1,42.4,11,72.7,54.2,7,1,14.3,0,10.0,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,W,3,0,Dijon,354,475,74.5,6418,2670,144,172,83.7,139,167,83.2,47,85,55.3,3,1.0,0.4,7,16,3,2,20,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,W,3,0,Dijon,475,417,55,19,2,2,7,24,0,0,0,0,354,3,13,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,W,3,0,Dijon,12,8,1,2,0,1,0,5,4,0,1,0,0,0,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,W,3,0,Dijon,16,8,3,11,2,2,9,22.2,7,16,7,9,16,32,17,0,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,W,3,0,Dijon,49,584,63,211,283,97,9,584,14,8,57.1,6,42.9,360,1655,803,24,19,4,21,15,353,20,Match Report,2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,W,3,0,Dijon,1,0,0,11,17,3,7,16,8,0,0,0,51,18,28,39.1,Match Report
2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Angers,2,9,4,44.4,0.22,0.50,16.2,0,0,0,1.3,1.3,0.15,+0.7,+0.7,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Angers,6,2,3,66.7,0,2.8,+0.8,1,0,1,0,6,27,22.2,19,3,68.4,49.6,14,100.0,65.6,36,3,8.3,2,10.5,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Angers,261,361,72.3,4634,1910,100,115,87.0,99,126,78.6,35,80,43.8,2,1.4,0.9,9,15,5,0,22,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Angers,361,317,44,11,2,2,7,15,1,1,0,0,261,0,11,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Angers,16,14,1,0,1,0,0,4,4,0,0,0,0,0,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Angers,16,11,10,5,1,6,13,46.2,7,14,7,7,8,24,40,0,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Angers,38,482,84,199,187,101,13,482,11,4,36.4,7,63.6,239,1310,682,14,13,3,9,9,259,22,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Angers,5,0,0,13,10,0,7,8,11,0,1,0,44,6,21,22.2,Match Report
2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,2,1,Monaco,2,8,5,62.5,0.25,0.40,20.2,0,0,0,0.9,0.9,0.11,+1.1,+1.1,Match Report,2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,2,1,Monaco,3,1,2,100.0,0,1.2,+0.2,1,1,0,0,1,12,8.3,22,8,31.8,35.3,8,62.5,50.3,14,0,0.0,3,22.3,Match Report,2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,2,1,Monaco,335,430,77.9,6533,2154,137,166,82.5,133,154,86.4,52,87,59.8,2,0.9,0.6,8,23,4,3,26,Match Report,2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,2,1,Monaco,430,383,47,15,2,11,16,18,4,2,2,0,335,0,8,Match Report,2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,2,1,Monaco,15,10,3,2,0,0,0,3,3,0,0,0,0,0,Match Report,2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,2,1,Monaco,16,9,8,7,1,4,8,50.0,4,13,4,9,11,27,20,0,Match Report,2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,2,1,Monaco,47,531,58,201,234,100,11,531,11,6,54.5,5,45.5,328,1564,857,15,9,2,14,6,333,24,Match Report,2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,2,1,Monaco,2,0,0,13,11,0,16,11,9,0,1,0,36,10,17,37.0,Match Report
