Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-08-11,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,1,Nantes,2,13,3,23.1,0.15,0.67,18.1,1.0,0,0,1.3,1.3,0.1,0.7,0.7,Match Report,2019-08-11,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,1,Nantes,3,1,3,66.7,0,0.4,0.4,0,0,0,0,5.0,16.0,31.3,24.0,6.0,41.7,37.2,8.0,75.0,54.5,22.0,0.0,0.0,3.0,22.3,Match Report,2019-08-11,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,1,Nantes,387.0,469.0,82.5,7400.0,2783.0,160.0,180.0,88.9,174.0,192.0,90.6,47.0,77.0,61.0,2,1.2,0.7,11.0,30.0,4.0,1.0,40.0,Match Report,2019-08-11,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,1,Nantes,469.0,409.0,57.0,18.0,1.0,4.0,16,24.0,5.0,2.0,2.0,0.0,387.0,3.0,4.0,Match Report,2019-08-11,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,1,Nantes,24.0,19.0,3.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-08-11,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,1,Nantes,13.0,6,3.0,6.0,4.0,4.0,13.0,30.8,9.0,5.0,1.0,4.0,10,23,23.0,0.0,Match Report,2019-08-11,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,1,Nantes,54.0,580.0,58.0,168.0,274.0,140.0,14.0,580.0,25.0,12.0,48.0,13.0,52.0,275.0,1454.0,695.0,13.0,12.0,2.0,16.0,7.0,384.0,40.0,Match Report,2019-08-11,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,2,1,Nantes,2,0,0,13,15,3,16,10,6,0.0,0.0,1,41.0,9.0,20.0,31.0,Match Report
2019-08-17,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Amiens,0,9,0,0.0,0.0,,24.8,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report,2019-08-17,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Amiens,3,1,2,66.7,0,1.1,0.1,0,0,0,0,8.0,20.0,40.0,21.0,5.0,61.9,44.2,7.0,100.0,62.3,9.0,0.0,0.0,0.0,12.0,Match Report,2019-08-17,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Amiens,341.0,476.0,71.6,6071.0,2159.0,133.0,158.0,84.2,144.0,172.0,83.7,37.0,88.0,42.0,0,0.2,0.3,5.0,20.0,3.0,0.0,26.0,Match Report,2019-08-17,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Amiens,476.0,409.0,63.0,13.0,0.0,4.0,30,31.0,10.0,6.0,4.0,0.0,341.0,4.0,17.0,Match Report,2019-08-17,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Amiens,15.0,8.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-08-17,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Amiens,15.0,13,5.0,7.0,3.0,1.0,5.0,20.0,4.0,11.0,2.0,9.0,13,28,13.0,0.0,Match Report,2019-08-17,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Amiens,51.0,582.0,44.0,138.0,313.0,138.0,10.0,582.0,22.0,11.0,50.0,11.0,50.0,302.0,1649.0,780.0,13.0,15.0,3.0,14.0,10.0,339.0,26.0,Match Report,2019-08-17,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Amiens,1,1,0,7,11,4,30,13,13,0.0,0.0,0,61.0,17.0,19.0,47.2,Match Report
2019-08-28,19:00 (10:00),Ligue 1,Matchweek 3,Wed,Home,W,3,0,Saint-Étienne,3,15,6,40.0,0.13,0.33,18.2,1.0,1,1,2.4,1.6,0.11,0.6,0.4,Match Report,2019-08-28,19:00 (10:00),Ligue 1,Matchweek 3,Wed,Home,W,3,0,Saint-Étienne,3,0,3,100.0,1,0.4,0.4,0,0,0,0,5.0,23.0,21.7,29.0,6.0,55.2,40.8,7.0,100.0,67.6,10.0,2.0,20.0,1.0,13.0,Match Report,2019-08-28,19:00 (10:00),Ligue 1,Matchweek 3,Wed,Home,W,3,0,Saint-Étienne,407.0,503.0,80.9,6481.0,2106.0,175.0,198.0,88.4,162.0,184.0,88.0,31.0,65.0,47.7,2,1.5,1.6,13.0,23.0,7.0,3.0,34.0,Match Report,2019-08-28,19:00 (10:00),Ligue 1,Matchweek 3,Wed,Home,W,3,0,Saint-Étienne,503.0,455.0,48.0,11.0,6.0,1.0,11,26.0,3.0,0.0,2.0,0.0,407.0,0.0,4.0,Match Report,2019-08-28,19:00 (10:00),Ligue 1,Matchweek 3,Wed,Home,W,3,0,Saint-Étienne,30.0,27.0,0.0,0.0,1.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,Match Report,2019-08-28,19:00 (10:00),Ligue 1,Matchweek 3,Wed,Home,W,3,0,Saint-Étienne,12.0,4,6.0,6.0,0.0,7.0,12.0,58.3,5.0,7.0,3.0,4.0,5,17,13.0,1.0,Match Report,2019-08-28,19:00 (10:00),Ligue 1,Matchweek 3,Wed,Home,W,3,0,Saint-Étienne,51.0,593.0,54.0,144.0,338.0,117.0,22.0,592.0,8.0,4.0,50.0,4.0,50.0,366.0,1932.0,981.0,17.0,16.0,5.0,13.0,13.0,401.0,34.0,Match Report,2019-08-28,19:00 (10:00),Ligue 1,Matchweek 3,Wed,Home,W,3,0,Saint-Étienne,0,0,0,9,12,0,11,5,4,1.0,0.0,0,49.0,13.0,19.0,40.6,Match Report
2019-09-01,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0,2,Reims,0,10,2,20.0,0.0,0.0,18.4,0.0,0,1,1.6,0.7,0.08,-1.6,-0.7,Match Report,2019-09-01,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0,2,Reims,4,2,2,75.0,0,1.1,-0.9,1,1,0,0,10.0,19.0,52.6,20.0,6.0,65.0,44.5,6.0,100.0,66.2,9.0,0.0,0.0,0.0,4.0,Match Report,2019-09-01,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0,2,Reims,420.0,517.0,81.2,7879.0,2656.0,159.0,186.0,85.5,215.0,240.0,89.6,42.0,76.0,55.3,0,0.7,0.6,7.0,20.0,3.0,1.0,29.0,Match Report,2019-09-01,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0,2,Reims,517.0,466.0,49.0,18.0,0.0,4.0,14,21.0,1.0,0.0,0.0,1.0,420.0,2.0,4.0,Match Report,2019-09-01,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0,2,Reims,18.0,10.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-01,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0,2,Reims,16.0,9,5.0,9.0,2.0,11.0,18.0,61.1,7.0,12.0,4.0,8.0,7,23,14.0,0.0,Match Report,2019-09-01,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0,2,Reims,59.0,623.0,57.0,164.0,385.0,81.0,17.0,622.0,13.0,9.0,69.2,4.0,30.8,348.0,1795.0,958.0,13.0,6.0,5.0,18.0,15.0,413.0,29.0,Match Report,2019-09-01,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0,2,Reims,2,1,1,15,18,2,14,7,9,1.0,1.0,0,54.0,26.0,12.0,68.4,Match Report
2019-09-13,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Angers,2,13,4,30.8,0.15,0.5,21.1,1.0,0,0,1.4,1.4,0.12,0.6,0.6,Match Report,2019-09-13,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Angers,3,1,2,66.7,0,1.0,0.0,0,0,0,0,3.0,7.0,42.9,21.0,5.0,23.8,32.6,6.0,33.3,39.5,12.0,0.0,0.0,0.0,,Match Report,2019-09-13,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Angers,530.0,642.0,82.6,8587.0,3057.0,265.0,292.0,90.8,199.0,227.0,87.7,43.0,78.0,55.1,1,0.5,0.5,11.0,36.0,5.0,1.0,38.0,Match Report,2019-09-13,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Angers,642.0,592.0,47.0,15.0,2.0,3.0,19,20.0,4.0,2.0,1.0,0.0,530.0,3.0,13.0,Match Report,2019-09-13,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Angers,22.0,16.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Match Report,2019-09-13,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Angers,25.0,16,11.0,14.0,0.0,10.0,15.0,66.7,5.0,9.0,2.0,7.0,12,37,23.0,0.0,Match Report,2019-09-13,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Angers,56.0,772.0,57.0,185.0,415.0,177.0,20.0,772.0,17.0,13.0,76.5,4.0,23.5,439.0,2553.0,1467.0,37.0,25.0,7.0,17.0,12.0,529.0,38.0,Match Report,2019-09-13,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Angers,1,0,0,3,12,3,19,12,16,0.0,0.0,0,64.0,13.0,19.0,40.6,Match Report
2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Away,L,0,3,nl Ajax,0,17,5,29.4,0.0,0.0,16.2,0.0,0,0,2.0,2.0,0.12,-2.0,-2.0,Match Report,2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Away,L,0,3,nl Ajax,6,3,3,50.0,0,2.6,-0.4,0,0,0,0,1.0,11.0,9.1,23.0,8.0,43.5,37.6,2.0,50.0,51.0,12.0,0.0,0.0,2.0,20.3,Match Report,2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Away,L,0,3,nl Ajax,326.0,434.0,75.1,5478.0,2105.0,154.0,180.0,85.6,125.0,153.0,81.7,34.0,69.0,49.3,0,1.7,0.9,14.0,22.0,9.0,1.0,36.0,Match Report,2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Away,L,0,3,nl Ajax,434.0,384.0,46.0,11.0,3.0,5.0,15,24.0,5.0,2.0,3.0,0.0,326.0,4.0,4.0,Match Report,2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Away,L,0,3,nl Ajax,26.0,17.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Away,L,0,3,nl Ajax,20.0,15,12.0,7.0,1.0,3.0,18.0,16.7,15.0,11.0,5.0,6.0,21,41,18.0,0.0,Match Report,2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Away,L,0,3,nl Ajax,39.0,563.0,57.0,193.0,249.0,134.0,21.0,563.0,25.0,10.0,40.0,15.0,60.0,312.0,1839.0,995.0,28.0,17.0,4.0,17.0,18.0,325.0,35.0,Match Report,2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Away,L,0,3,nl Ajax,1,0,0,12,9,4,15,21,15,0.0,0.0,0,67.0,10.0,16.0,38.5,Match Report
2019-09-22,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Rennes,1,15,6,40.0,0.07,0.17,19.2,0.0,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report,2019-09-22,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Rennes,3,1,2,66.7,0,0.7,-0.3,0,0,0,0,12.0,23.0,52.2,34.0,10.0,38.2,34.2,10.0,100.0,60.9,17.0,1.0,5.9,0.0,8.0,Match Report,2019-09-22,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Rennes,393.0,478.0,82.2,6746.0,2405.0,186.0,204.0,91.2,143.0,162.0,88.3,41.0,76.0,53.9,1,1.0,0.7,12.0,20.0,6.0,1.0,29.0,Match Report,2019-09-22,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Rennes,478.0,422.0,56.0,15.0,1.0,2.0,17,21.0,8.0,4.0,4.0,0.0,393.0,0.0,5.0,Match Report,2019-09-22,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Rennes,24.0,14.0,3.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-22,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Rennes,20.0,13,12.0,6.0,2.0,11.0,22.0,50.0,11.0,16.0,2.0,14.0,9,29,23.0,0.0,Match Report,2019-09-22,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Rennes,49.0,600.0,59.0,179.0,293.0,133.0,21.0,600.0,21.0,10.0,47.6,11.0,52.4,372.0,2051.0,1153.0,27.0,18.0,6.0,13.0,7.0,388.0,28.0,Match Report,2019-09-22,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Rennes,1,0,0,11,14,0,17,9,13,0.0,0.0,0,40.0,19.0,14.0,57.6,Match Report
2019-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,W,2,0,Strasbourg,2,12,5,41.7,0.17,0.4,15.0,1.0,0,0,2.8,2.8,0.23,-0.8,-0.8,Match Report,2019-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,W,2,0,Strasbourg,1,0,1,100.0,1,0.0,0.0,0,0,0,0,3.0,9.0,33.3,16.0,4.0,31.3,31.4,7.0,57.1,42.0,4.0,0.0,0.0,1.0,21.0,Match Report,2019-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,W,2,0,Strasbourg,616.0,694.0,88.8,11478.0,3096.0,216.0,233.0,92.7,325.0,339.0,95.9,62.0,97.0,63.9,1,0.6,0.7,5.0,60.0,6.0,2.0,41.0,Match Report,2019-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,W,2,0,Strasbourg,694.0,651.0,42.0,12.0,1.0,9.0,21,18.0,4.0,2.0,1.0,0.0,616.0,1.0,7.0,Match Report,2019-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,W,2,0,Strasbourg,23.0,21.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,W,2,0,Strasbourg,14.0,9,4.0,9.0,1.0,6.0,16.0,37.5,10.0,6.0,1.0,5.0,7,21,10.0,0.0,Match Report,2019-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,W,2,0,Strasbourg,64.0,784.0,33.0,166.0,454.0,169.0,14.0,784.0,7.0,2.0,28.6,5.0,71.4,536.0,2938.0,1587.0,22.0,17.0,1.0,13.0,13.0,615.0,41.0,Match Report,2019-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,W,2,0,Strasbourg,0,0,0,7,12,1,21,7,9,0.0,0.0,0,47.0,4.0,16.0,20.0,Match Report
2019-09-28,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,D,1,1,Nice,1,11,6,54.5,0.09,0.17,20.7,0.0,0,0,1.4,1.4,0.12,-0.4,-0.4,Match Report,2019-09-28,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,D,1,1,Nice,5,1,4,80.0,0,1.6,0.6,0,0,0,0,0.0,4.0,0.0,12.0,2.0,25.0,32.1,9.0,11.1,27.0,11.0,0.0,0.0,0.0,,Match Report,2019-09-28,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,D,1,1,Nice,367.0,445.0,82.5,6265.0,2142.0,175.0,193.0,90.7,142.0,167.0,85.0,35.0,59.0,59.3,1,0.9,0.4,9.0,26.0,7.0,0.0,33.0,Match Report,2019-09-28,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,D,1,1,Nice,445.0,401.0,42.0,8.0,4.0,3.0,12,18.0,5.0,0.0,1.0,0.0,367.0,2.0,8.0,Match Report,2019-09-28,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,D,1,1,Nice,22.0,18.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,Match Report,2019-09-28,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,D,1,1,Nice,27.0,16,11.0,14.0,2.0,14.0,25.0,56.0,11.0,7.0,2.0,5.0,10,37,18.0,1.0,Match Report,2019-09-28,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,D,1,1,Nice,41.0,561.0,51.0,180.0,247.0,141.0,20.0,561.0,23.0,15.0,65.2,8.0,34.8,331.0,1737.0,919.0,22.0,18.0,6.0,12.0,11.0,365.0,33.0,Match Report,2019-09-28,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,D,1,1,Nice,2,0,0,14,7,2,12,10,16,0.0,0.0,0,54.0,5.0,2.0,71.4,Match Report
2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,1,7,3,42.9,0.14,0.33,11.7,0.0,0,0,0.6,0.6,0.1,0.4,0.4,Match Report,2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,3,2,1,33.3,0,1.9,-0.1,0,0,0,0,4.0,14.0,28.6,19.0,1.0,36.8,35.1,7.0,100.0,61.7,15.0,1.0,6.7,1.0,13.0,Match Report,2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,305.0,407.0,74.9,5095.0,1964.0,133.0,159.0,83.6,119.0,143.0,83.2,33.0,67.0,49.3,1,0.6,0.3,6.0,22.0,2.0,0.0,34.0,Match Report,2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,407.0,353.0,54.0,6.0,1.0,1.0,14,30.0,8.0,3.0,2.0,0.0,305.0,0.0,13.0,Match Report,2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,12.0,5.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,Match Report,2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,23.0,14,12.0,9.0,2.0,8.0,22.0,36.4,14.0,9.0,2.0,7.0,9,32,14.0,1.0,Match Report,2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,38.0,521.0,53.0,161.0,257.0,109.0,17.0,521.0,28.0,16.0,57.1,11.0,39.3,252.0,1433.0,685.0,14.0,11.0,7.0,19.0,12.0,305.0,34.0,Match Report,2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,1,0,0,11,6,0,14,9,14,0.0,0.0,0,52.0,11.0,27.0,28.9,Match Report
