Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-08-10,17:30 (08:30),Ligue 1,Matchweek 1,Sat,Home,L,0,2,Reims,0,10,2,20.0,0.0,0.0,19.5,0.0,0,0,0.9,0.9,0.09,-0.9,-0.9,Match Report,2019-08-10,17:30 (08:30),Ligue 1,Matchweek 1,Sat,Home,L,0,2,Reims,5,2,3,60.0,0,1.7,-0.3,0,0,0,0,0.0,0.0,,25.0,6.0,0.0,19.6,2.0,0.0,23.0,3.0,0.0,0.0,1.0,24.0,Match Report,2019-08-10,17:30 (08:30),Ligue 1,Matchweek 1,Sat,Home,L,0,2,Reims,530.0,643.0,82.4,8486.0,2679.0,272.0,294.0,92.5,187.0,224.0,83.5,48.0,81.0,59.3,0,0.7,0.5,5.0,34.0,8.0,2.0,54.0,Match Report,2019-08-10,17:30 (08:30),Ligue 1,Matchweek 1,Sat,Home,L,0,2,Reims,643.0,586.0,57.0,11.0,3.0,2.0,29,36.0,5.0,1.0,4.0,0.0,530.0,0.0,12.0,Match Report,2019-08-10,17:30 (08:30),Ligue 1,Matchweek 1,Sat,Home,L,0,2,Reims,16.0,10.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-08-10,17:30 (08:30),Ligue 1,Matchweek 1,Sat,Home,L,0,2,Reims,16.0,5,4.0,8.0,4.0,7.0,15.0,46.7,8.0,9.0,2.0,7.0,11,27,10.0,0.0,Match Report,2019-08-10,17:30 (08:30),Ligue 1,Matchweek 1,Sat,Home,L,0,2,Reims,64.0,748.0,44.0,158.0,402.0,195.0,18.0,748.0,17.0,10.0,58.8,7.0,41.2,514.0,2630.0,1428.0,27.0,20.0,2.0,17.0,16.0,527.0,54.0,Match Report,2019-08-10,17:30 (08:30),Ligue 1,Matchweek 1,Sat,Home,L,0,2,Reims,1,0,0,18,8,0,29,11,5,0.0,0.0,0,56.0,16.0,12.0,57.1,Match Report
2019-08-17,17:30 (08:30),Ligue 1,Matchweek 2,Sat,Away,D,0,0,Nantes,0,8,2,25.0,0.0,0.0,20.8,1.0,0,1,1.2,0.6,0.07,-1.2,-0.6,Match Report,2019-08-17,17:30 (08:30),Ligue 1,Matchweek 2,Sat,Away,D,0,0,Nantes,6,0,6,100.0,1,1.4,1.4,0,0,0,0,4.0,15.0,26.7,28.0,7.0,42.9,37.4,6.0,50.0,40.7,20.0,0.0,0.0,0.0,8.0,Match Report,2019-08-17,17:30 (08:30),Ligue 1,Matchweek 2,Sat,Away,D,0,0,Nantes,340.0,437.0,77.8,6002.0,2352.0,145.0,167.0,86.8,139.0,162.0,85.8,42.0,76.0,55.3,0,0.5,0.5,7.0,22.0,6.0,3.0,35.0,Match Report,2019-08-17,17:30 (08:30),Ligue 1,Matchweek 2,Sat,Away,D,0,0,Nantes,437.0,382.0,53.0,16.0,1.0,2.0,17,27.0,3.0,3.0,0.0,0.0,340.0,2.0,6.0,Match Report,2019-08-17,17:30 (08:30),Ligue 1,Matchweek 2,Sat,Away,D,0,0,Nantes,16.0,9.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-08-17,17:30 (08:30),Ligue 1,Matchweek 2,Sat,Away,D,0,0,Nantes,11.0,5,5.0,6.0,0.0,4.0,11.0,36.4,7.0,15.0,4.0,11.0,6,17,34.0,0.0,Match Report,2019-08-17,17:30 (08:30),Ligue 1,Matchweek 2,Sat,Away,D,0,0,Nantes,47.0,551.0,65.0,206.0,254.0,94.0,12.0,550.0,17.0,8.0,47.1,9.0,52.9,305.0,1311.0,674.0,10.0,5.0,1.0,10.0,11.0,337.0,35.0,Match Report,2019-08-17,17:30 (08:30),Ligue 1,Matchweek 2,Sat,Away,D,0,0,Nantes,3,0,0,18,15,2,17,6,5,0.0,0.0,0,39.0,23.0,19.0,54.8,Match Report
2019-08-28,21:00 (12:00),Ligue 1,Matchweek 3,Wed,Away,W,2,1,Nice,2,11,4,36.4,0.09,0.25,20.3,0.0,1,1,1.7,0.9,0.08,0.3,0.1,Match Report,2019-08-28,21:00 (12:00),Ligue 1,Matchweek 3,Wed,Away,W,2,1,Nice,3,1,2,100.0,0,1.0,0.0,1,1,0,0,5.0,11.0,45.5,22.0,5.0,40.9,34.0,4.0,50.0,40.8,11.0,1.0,9.1,0.0,11.7,Match Report,2019-08-28,21:00 (12:00),Ligue 1,Matchweek 3,Wed,Away,W,2,1,Nice,281.0,365.0,77.0,4936.0,1956.0,114.0,137.0,83.2,111.0,130.0,85.4,35.0,62.0,56.5,0,0.8,0.6,10.0,20.0,5.0,2.0,21.0,Match Report,2019-08-28,21:00 (12:00),Ligue 1,Matchweek 3,Wed,Away,W,2,1,Nice,365.0,324.0,41.0,7.0,0.0,1.0,12,25.0,3.0,1.0,2.0,0.0,281.0,0.0,3.0,Match Report,2019-08-28,21:00 (12:00),Ligue 1,Matchweek 3,Wed,Away,W,2,1,Nice,22.0,13.0,4.0,2.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,Match Report,2019-08-28,21:00 (12:00),Ligue 1,Matchweek 3,Wed,Away,W,2,1,Nice,22.0,15,8.0,11.0,3.0,12.0,28.0,42.9,16.0,9.0,4.0,5.0,8,30,19.0,0.0,Match Report,2019-08-28,21:00 (12:00),Ligue 1,Matchweek 3,Wed,Away,W,2,1,Nice,38.0,483.0,58.0,167.0,218.0,102.0,13.0,482.0,14.0,6.0,42.9,8.0,57.1,284.0,1538.0,789.0,19.0,8.0,2.0,14.0,14.0,281.0,21.0,Match Report,2019-08-28,21:00 (12:00),Ligue 1,Matchweek 3,Wed,Away,W,2,1,Nice,1,0,0,13,7,0,12,8,15,1.0,1.0,0,42.0,17.0,10.0,63.0,Match Report
2019-09-01,21:00 (12:00),Ligue 1,Matchweek 4,Sun,Home,W,1,0,Saint-Étienne,1,9,2,22.2,0.11,0.5,21.2,0.0,0,0,0.7,0.7,0.08,0.3,0.3,Match Report,2019-09-01,21:00 (12:00),Ligue 1,Matchweek 4,Sun,Home,W,1,0,Saint-Étienne,3,0,3,100.0,1,0.4,0.4,0,0,0,0,4.0,12.0,33.3,32.0,6.0,34.4,32.4,5.0,20.0,26.6,13.0,2.0,15.4,0.0,10.3,Match Report,2019-09-01,21:00 (12:00),Ligue 1,Matchweek 4,Sun,Home,W,1,0,Saint-Étienne,400.0,487.0,82.1,6251.0,2341.0,204.0,229.0,89.1,137.0,161.0,85.1,28.0,53.0,52.8,1,0.6,0.9,7.0,16.0,6.0,0.0,31.0,Match Report,2019-09-01,21:00 (12:00),Ligue 1,Matchweek 4,Sun,Home,W,1,0,Saint-Étienne,487.0,443.0,44.0,10.0,1.0,3.0,12,23.0,5.0,1.0,3.0,0.0,400.0,0.0,5.0,Match Report,2019-09-01,21:00 (12:00),Ligue 1,Matchweek 4,Sun,Home,W,1,0,Saint-Étienne,15.0,13.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-01,21:00 (12:00),Ligue 1,Matchweek 4,Sun,Home,W,1,0,Saint-Étienne,20.0,9,7.0,11.0,2.0,5.0,18.0,27.8,13.0,10.0,5.0,5.0,15,35,28.0,0.0,Match Report,2019-09-01,21:00 (12:00),Ligue 1,Matchweek 4,Sun,Home,W,1,0,Saint-Étienne,50.0,622.0,80.0,222.0,288.0,118.0,16.0,622.0,18.0,10.0,55.6,8.0,44.4,388.0,1890.0,985.0,17.0,10.0,7.0,17.0,19.0,397.0,31.0,Match Report,2019-09-01,21:00 (12:00),Ligue 1,Matchweek 4,Sun,Home,W,1,0,Saint-Étienne,5,0,0,16,7,0,12,15,9,0.0,0.0,0,48.0,18.0,10.0,64.3,Match Report
2019-09-15,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,4,3,Monaco,4,13,6,46.2,0.31,0.67,14.4,0.0,0,0,1.6,1.6,0.13,2.4,2.4,Match Report,2019-09-15,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,4,3,Monaco,8,3,5,75.0,0,3.1,0.1,1,1,0,0,1.0,8.0,12.5,30.0,12.0,26.7,35.0,4.0,0.0,18.8,20.0,1.0,5.0,0.0,11.3,Match Report,2019-09-15,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,4,3,Monaco,470.0,554.0,84.8,7638.0,2448.0,250.0,276.0,90.6,165.0,184.0,89.7,42.0,70.0,60.0,4,1.6,1.8,12.0,28.0,7.0,3.0,43.0,Match Report,2019-09-15,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,4,3,Monaco,554.0,511.0,42.0,12.0,1.0,7.0,17,18.0,4.0,1.0,3.0,0.0,470.0,1.0,5.0,Match Report,2019-09-15,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,4,3,Monaco,24.0,20.0,2.0,0.0,2.0,0.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,Match Report,2019-09-15,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,4,3,Monaco,14.0,8,7.0,5.0,2.0,7.0,18.0,38.9,11.0,4.0,2.0,2.0,7,21,29.0,1.0,Match Report,2019-09-15,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,4,3,Monaco,56.0,657.0,90.0,218.0,312.0,132.0,19.0,657.0,14.0,10.0,71.4,4.0,28.6,464.0,2254.0,1306.0,25.0,17.0,6.0,16.0,6.0,466.0,42.0,Match Report,2019-09-15,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,4,3,Monaco,3,0,0,14,9,1,17,7,8,0.0,1.0,0,39.0,15.0,13.0,53.6,Match Report
2019-09-21,17:30 (08:30),Ligue 1,Matchweek 6,Sat,Home,D,1,1,Montpellier,1,24,5,20.8,0.04,0.2,20.9,2.0,0,0,1.2,1.2,0.05,-0.2,-0.2,Match Report,2019-09-21,17:30 (08:30),Ligue 1,Matchweek 6,Sat,Home,D,1,1,Montpellier,1,1,1,0.0,0,0.1,0.1,0,0,0,0,0.0,1.0,0.0,20.0,5.0,5.0,22.3,0.0,,,8.0,0.0,0.0,5.0,30.4,Match Report,2019-09-21,17:30 (08:30),Ligue 1,Matchweek 6,Sat,Home,D,1,1,Montpellier,523.0,638.0,82.0,8515.0,2891.0,263.0,293.0,89.8,187.0,227.0,82.4,45.0,74.0,60.8,0,0.8,1.0,16.0,53.0,15.0,4.0,73.0,Match Report,2019-09-21,17:30 (08:30),Ligue 1,Matchweek 6,Sat,Home,D,1,1,Montpellier,638.0,585.0,52.0,17.0,5.0,7.0,38,18.0,15.0,8.0,5.0,0.0,523.0,1.0,5.0,Match Report,2019-09-21,17:30 (08:30),Ligue 1,Matchweek 6,Sat,Home,D,1,1,Montpellier,40.0,25.0,2.0,6.0,3.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Match Report,2019-09-21,17:30 (08:30),Ligue 1,Matchweek 6,Sat,Home,D,1,1,Montpellier,19.0,10,9.0,8.0,2.0,11.0,19.0,57.9,8.0,11.0,1.0,10.0,4,23,9.0,0.0,Match Report,2019-09-21,17:30 (08:30),Ligue 1,Matchweek 6,Sat,Home,D,1,1,Montpellier,65.0,751.0,23.0,109.0,317.0,335.0,38.0,751.0,29.0,22.0,75.9,7.0,24.1,439.0,2994.0,1735.0,42.0,34.0,10.0,15.0,8.0,518.0,71.0,Match Report,2019-09-21,17:30 (08:30),Ligue 1,Matchweek 6,Sat,Home,D,1,1,Montpellier,4,2,1,11,17,1,38,4,10,0.0,0.0,1,63.0,15.0,24.0,38.5,Match Report
2019-09-24,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,D,0,0,Dijon,0,9,2,22.2,0.0,0.0,15.4,0.0,0,0,0.9,0.9,0.1,-0.9,-0.9,Match Report,2019-09-24,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,D,0,0,Dijon,6,0,6,100.0,1,0.5,0.5,0,0,0,0,4.0,9.0,44.4,31.0,7.0,25.8,29.7,6.0,16.7,27.0,12.0,0.0,0.0,0.0,10.5,Match Report,2019-09-24,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,D,0,0,Dijon,439.0,540.0,81.3,8227.0,3002.0,180.0,204.0,88.2,197.0,225.0,87.6,53.0,80.0,66.3,0,0.9,0.6,8.0,20.0,6.0,1.0,39.0,Match Report,2019-09-24,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,D,0,0,Dijon,540.0,496.0,43.0,9.0,1.0,4.0,14,24.0,3.0,0.0,3.0,0.0,439.0,1.0,9.0,Match Report,2019-09-24,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,D,0,0,Dijon,15.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-24,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,D,0,0,Dijon,21.0,10,8.0,13.0,0.0,10.0,24.0,41.7,14.0,15.0,5.0,10.0,15,36,28.0,0.0,Match Report,2019-09-24,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,D,0,0,Dijon,55.0,684.0,75.0,291.0,290.0,114.0,14.0,684.0,21.0,10.0,47.6,11.0,52.4,307.0,1752.0,917.0,20.0,17.0,4.0,21.0,5.0,437.0,39.0,Match Report,2019-09-24,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Away,D,0,0,Dijon,3,0,0,14,8,1,14,15,10,0.0,0.0,0,57.0,27.0,19.0,58.7,Match Report
2019-09-29,21:00 (12:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Rennes,1,17,5,29.4,0.06,0.2,22.0,0.0,0,0,0.8,0.8,0.05,0.2,0.2,Match Report,2019-09-29,21:00 (12:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Rennes,3,1,2,66.7,0,0.4,-0.6,0,0,0,0,10.0,16.0,62.5,31.0,7.0,38.7,35.9,7.0,57.1,41.7,11.0,2.0,18.2,0.0,3.0,Match Report,2019-09-29,21:00 (12:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Rennes,448.0,553.0,81.0,7590.0,2604.0,221.0,249.0,88.8,149.0,184.0,81.0,56.0,80.0,70.0,1,0.7,0.5,13.0,27.0,6.0,1.0,40.0,Match Report,2019-09-29,21:00 (12:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Rennes,553.0,487.0,66.0,14.0,3.0,4.0,22,36.0,7.0,3.0,3.0,0.0,448.0,0.0,10.0,Match Report,2019-09-29,21:00 (12:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Rennes,28.0,21.0,4.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Match Report,2019-09-29,21:00 (12:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Rennes,23.0,13,10.0,11.0,2.0,7.0,19.0,36.8,12.0,5.0,3.0,2.0,12,35,13.0,2.0,Match Report,2019-09-29,21:00 (12:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Rennes,55.0,671.0,57.0,195.0,300.0,180.0,18.0,671.0,14.0,11.0,78.6,3.0,21.4,445.0,2296.0,1389.0,26.0,27.0,5.0,17.0,14.0,443.0,40.0,Match Report,2019-09-29,21:00 (12:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Rennes,4,0,0,18,13,0,22,12,13,0.0,0.0,0,53.0,16.0,18.0,47.1,Match Report
2019-10-04,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,L,1,3,Amiens,1,13,4,30.8,0.08,0.25,24.9,3.0,0,0,0.5,0.5,0.04,0.5,0.5,Match Report,2019-10-04,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,L,1,3,Amiens,5,3,2,60.0,0,3.1,0.1,1,1,0,0,4.0,8.0,50.0,33.0,6.0,24.2,28.0,4.0,0.0,13.5,11.0,0.0,0.0,1.0,29.0,Match Report,2019-10-04,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,L,1,3,Amiens,515.0,614.0,83.9,8743.0,2640.0,248.0,271.0,91.5,187.0,222.0,84.2,58.0,79.0,73.4,1,0.3,0.5,7.0,32.0,7.0,3.0,47.0,Match Report,2019-10-04,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,L,1,3,Amiens,614.0,563.0,50.0,15.0,1.0,12.0,22,20.0,7.0,4.0,3.0,0.0,515.0,1.0,10.0,Match Report,2019-10-04,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,L,1,3,Amiens,21.0,13.0,0.0,3.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Match Report,2019-10-04,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,L,1,3,Amiens,24.0,14,10.0,11.0,3.0,8.0,18.0,44.4,10.0,9.0,2.0,7.0,10,34,13.0,0.0,Match Report,2019-10-04,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,L,1,3,Amiens,67.0,739.0,57.0,194.0,367.0,187.0,15.0,739.0,24.0,18.0,75.0,6.0,25.0,517.0,3036.0,1600.0,29.0,22.0,2.0,23.0,15.0,512.0,47.0,Match Report,2019-10-04,20:45 (11:45),Ligue 1,Matchweek 9,Fri,Away,L,1,3,Amiens,3,0,0,15,15,1,22,10,14,0.0,1.0,0,50.0,23.0,18.0,56.1,Match Report
2019-10-20,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,W,2,0,Strasbourg,2,10,5,50.0,0.1,0.2,20.6,1.0,1,1,1.6,0.8,0.08,0.4,0.2,Match Report,2019-10-20,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,W,2,0,Strasbourg,2,0,2,100.0,1,0.1,0.1,0,0,0,0,7.0,16.0,43.8,28.0,9.0,42.9,35.1,8.0,50.0,39.0,18.0,2.0,11.1,0.0,9.7,Match Report,2019-10-20,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,W,2,0,Strasbourg,421.0,516.0,81.6,6763.0,2683.0,233.0,254.0,91.7,124.0,151.0,82.1,45.0,76.0,59.2,1,0.3,0.3,6.0,32.0,4.0,1.0,35.0,Match Report,2019-10-20,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,W,2,0,Strasbourg,516.0,467.0,48.0,16.0,2.0,4.0,12,18.0,5.0,2.0,1.0,0.0,421.0,1.0,4.0,Match Report,2019-10-20,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,W,2,0,Strasbourg,18.0,13.0,2.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,Match Report,2019-10-20,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,W,2,0,Strasbourg,21.0,12,12.0,8.0,1.0,8.0,18.0,44.4,10.0,6.0,2.0,4.0,11,32,28.0,0.0,Match Report,2019-10-20,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,W,2,0,Strasbourg,50.0,629.0,78.0,214.0,303.0,116.0,13.0,628.0,12.0,6.0,50.0,6.0,50.0,426.0,2440.0,1358.0,26.0,16.0,4.0,16.0,13.0,420.0,34.0,Match Report,2019-10-20,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,W,2,0,Strasbourg,3,0,0,13,13,1,12,11,12,1.0,0.0,0,53.0,16.0,12.0,57.1,Match Report
