Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-08-22,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,W,1,0,Dijon,1,12,4,33.3,0.08,0.25,14.4,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Match Report,2020-08-22,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,W,1,0,Dijon,1,0,1,100.0,1,0.0,0.0,0,0,0,0,1,6,16.7,21,7,23.8,29.0,5,20.0,35.8,8,0,0.0,0,17.0,Match Report,2020-08-22,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,W,1,0,Dijon,411,491,83.7,7471,2746,174,186,93.5,180,199,90.5,45,78,57.7,0,1.3,1.1,10,25,6,0,42,Match Report,2020-08-22,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,W,1,0,Dijon,491,440,50,16,1,5,26,19,9,3,5,0,411,1,10,Match Report,2020-08-22,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,W,1,0,Dijon,22,12,4,2,2,2,0,1,0,0,0,1,0,0,Match Report,2020-08-22,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,W,1,0,Dijon,11,8,6,4,1,5,16,31.3,11,11,3,8,10,21,26,0,Match Report,2020-08-22,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,W,1,0,Dijon,46,599,44,213,248,140,23,599,13,8,61.5,5,38.5,292,1659,711,9,11,6,16,8,407,41,Match Report,2020-08-22,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,W,1,0,Dijon,0,0,0,8,15,1,26,10,8,0,0,0,40,6,20,23.1,Match Report
2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,0,2,Bordeaux,0,12,2,16.7,0.00,0.00,18.5,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,0,2,Bordeaux,7,2,5,71.4,0,3.3,+1.3,0,0,0,0,1,2,50.0,14,6,14.3,28.9,1,0.0,32.0,13,0,0.0,0,4.5,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,0,2,Bordeaux,488,590,82.7,8727,3102,216,242,89.3,212,247,85.8,49,75,65.3,0,0.6,0.9,10,47,5,1,53,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,0,2,Bordeaux,590,541,48,20,1,3,26,19,5,2,3,0,488,1,6,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,0,2,Bordeaux,20,15,1,2,1,1,0,0,0,0,0,0,0,0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,0,2,Bordeaux,20,16,12,6,2,7,15,46.7,8,9,0,9,16,36,18,0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,0,2,Bordeaux,57,713,35,148,387,185,20,713,27,19,70.4,8,29.6,528,2276,1051,18,16,3,17,22,484,52,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,0,2,Bordeaux,1,0,0,12,19,1,26,16,16,0,0,0,64,14,13,51.9,Match Report
2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,W,1,0,Reims,1,19,6,31.6,0.05,0.17,23.8,2,0,1,2.0,1.2,0.07,-1.0,-0.2,Match Report,2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,W,1,0,Reims,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,4,10,40.0,15,4,33.3,30.5,9,55.6,39.3,10,0,0.0,1,11.8,Match Report,2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,W,1,0,Reims,502,587,85.5,8843,2747,206,220,93.6,220,246,89.4,50,76,65.8,1,0.9,0.7,14,30,4,2,49,Match Report,2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,W,1,0,Reims,587,545,40,9,2,4,17,20,1,1,0,0,502,2,8,Match Report,2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,W,1,0,Reims,39,30,1,3,1,4,0,2,2,0,0,0,0,0,Match Report,2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,W,1,0,Reims,8,4,1,6,1,5,12,41.7,7,11,0,11,6,14,15,0,Match Report,2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,W,1,0,Reims,58,688,37,141,378,173,17,687,14,9,64.3,5,35.7,375,2026,1067,20,15,1,21,10,500,49,Match Report,2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,W,1,0,Reims,4,1,1,12,12,2,17,6,4,1,0,0,47,14,16,46.7,Match Report
2020-09-20,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,4,Montpellier,1,14,3,21.4,0.07,0.33,19.8,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report,2020-09-20,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,4,Montpellier,9,4,6,55.6,0,2.5,-1.5,0,0,0,0,1,5,20.0,8,4,25.0,30.9,4,75.0,52.5,21,1,4.8,0,4.0,Match Report,2020-09-20,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,4,Montpellier,470,555,84.7,7529,2561,244,267,91.4,185,204,90.7,30,57,52.6,1,1.2,0.5,13,13,4,0,32,Match Report,2020-09-20,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,4,Montpellier,555,508,47,14,0,1,12,21,3,1,1,0,470,0,10,Match Report,2020-09-20,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,4,Montpellier,25,17,2,1,1,2,2,2,2,0,0,0,0,0,Match Report,2020-09-20,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,4,Montpellier,26,15,16,8,2,10,19,52.6,9,9,2,7,10,36,26,0,Match Report,2020-09-20,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,4,Montpellier,50,684,58,229,366,96,14,684,17,8,47.1,9,52.9,412,1739,828,17,12,2,9,5,467,32,Match Report,2020-09-20,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,4,Montpellier,3,0,0,5,13,0,12,10,15,0,0,0,53,10,16,38.5,Match Report
2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Brest,3,12,4,33.3,0.25,0.75,15.6,0,0,0,1.1,1.1,0.10,+1.9,+1.9,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Brest,6,2,4,83.3,0,2.5,+0.5,1,1,0,0,4,20,20.0,25,5,56.0,41.8,9,66.7,50.2,10,0,0.0,2,21.5,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Brest,443,565,78.4,6838,2663,237,262,90.5,144,175,82.3,36,76,47.4,3,1.0,0.7,8,32,8,4,32,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Brest,565,496,64,20,0,4,19,26,6,5,0,0,443,5,11,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Brest,18,15,1,2,0,0,0,4,2,1,1,0,0,0,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Brest,16,13,7,8,1,10,17,58.8,7,6,2,4,14,30,10,0,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Brest,53,662,55,187,350,133,20,662,18,11,61.1,7,38.9,336,1701,769,13,10,4,15,22,436,30,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Brest,3,0,0,17,21,5,19,14,13,0,1,0,61,14,26,35.0,Match Report
2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Away,L,1,6,Paris S-G,1,8,2,25.0,0.13,0.50,17.8,1,0,0,1.0,1.0,0.13,0.0,0.0,Match Report,2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Away,L,1,6,Paris S-G,12,6,6,50.0,0,4.4,-1.6,0,0,0,0,5,12,41.7,16,8,43.8,41.2,8,62.5,51.4,10,1,10.0,0,11.0,Match Report,2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Away,L,1,6,Paris S-G,439,508,86.4,6970,2603,251,273,91.9,140,153,91.5,33,51,64.7,1,1.0,1.0,7,15,6,3,32,Match Report,2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Away,L,1,6,Paris S-G,508,467,41,12,1,4,10,12,2,1,0,0,439,0,10,Match Report,2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Away,L,1,6,Paris S-G,16,13,0,2,0,1,0,2,2,0,0,0,0,0,Match Report,2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Away,L,1,6,Paris S-G,19,10,12,7,0,11,31,35.5,20,7,4,3,10,29,10,0,Match Report,2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Away,L,1,6,Paris S-G,43,595,55,195,320,87,9,595,18,11,61.1,7,38.9,301,1637,830,13,17,1,15,14,438,32,Match Report,2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Away,L,1,6,Paris S-G,2,0,0,9,11,0,10,10,10,0,0,0,46,5,6,45.5,Match Report
2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Metz,1,6,1,16.7,0.00,0.00,21.4,1,1,1,1.1,0.3,0.05,-0.1,-0.3,Match Report,2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Metz,3,1,2,66.7,0,1.6,+0.6,0,0,0,0,4,10,40.0,20,10,40.0,35.7,8,25.0,37.4,12,2,16.7,0,6.3,Match Report,2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Metz,360,475,75.8,6199,3048,177,204,86.8,136,166,81.9,37,72,51.4,0,0.1,0.3,2,30,8,1,33,Match Report,2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Metz,475,423,50,13,0,2,17,25,2,1,1,0,360,2,15,Match Report,2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Metz,10,6,0,1,1,2,0,2,0,0,0,1,1,0,Match Report,2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Metz,22,13,10,10,2,6,19,31.6,13,5,1,4,12,34,16,0,Match Report,2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Metz,47,580,45,207,254,125,22,579,19,8,42.1,11,57.9,274,1293,633,14,7,2,20,18,359,33,Match Report,2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Metz,4,0,0,18,13,2,17,12,13,1,0,0,62,20,14,58.8,Match Report
2020-10-23,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Away,W,2,1,Rennes,2,10,4,40.0,0.20,0.50,17.9,1,0,0,1.2,1.2,0.12,+0.8,+0.8,Match Report,2020-10-23,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Away,W,2,1,Rennes,1,1,0,0.0,0,0.9,-0.1,0,0,0,0,3,18,16.7,17,3,52.9,40.9,10,90.0,58.5,20,1,5.0,0,10.0,Match Report,2020-10-23,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Away,W,2,1,Rennes,348,434,80.2,5515,2074,184,205,89.8,135,146,92.5,21,57,36.8,2,1.1,0.9,9,24,6,1,26,Match Report,2020-10-23,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Away,W,2,1,Rennes,434,384,48,12,1,1,10,20,4,3,1,0,348,2,8,Match Report,2020-10-23,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Away,W,2,1,Rennes,18,14,0,3,0,1,0,4,4,0,0,0,0,0,Match Report,2020-10-23,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Away,W,2,1,Rennes,17,7,11,5,1,8,26,30.8,18,10,3,7,17,34,35,1,Match Report,2020-10-23,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Away,W,2,1,Rennes,37,569,69,208,277,92,18,569,27,19,70.4,8,29.6,304,1584,834,19,6,6,18,11,347,25,Match Report,2020-10-23,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Away,W,2,1,Rennes,0,0,0,5,11,2,10,17,7,0,0,0,48,9,12,42.9,Match Report
2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0,3,Nice,0,11,5,45.5,0.00,0.00,22.4,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0,3,Nice,5,3,2,60.0,0,2.4,-0.6,1,1,0,0,1,4,25.0,17,6,17.6,30.0,2,50.0,44.5,10,0,0.0,0,3.7,Match Report,2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0,3,Nice,437,537,81.4,7560,2837,200,235,85.1,198,225,88.0,31,59,52.5,0,0.3,0.6,8,39,8,2,52,Match Report,2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0,3,Nice,537,485,52,12,0,4,29,25,9,3,3,0,437,0,3,Match Report,2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0,3,Nice,21,17,1,1,1,1,0,0,0,0,0,0,0,0,Match Report,2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0,3,Nice,22,13,10,7,5,12,27,44.4,15,11,4,7,4,26,9,0,Match Report,2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0,3,Nice,52,635,37,146,315,183,21,635,16,9,56.3,7,43.8,345,1916,802,22,23,6,23,15,437,52,Match Report,2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0,3,Nice,5,0,0,18,12,0,29,4,13,0,1,0,60,11,13,45.8,Match Report
2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,W,5,1,Nîmes,5,17,7,41.2,0.24,0.57,17.3,1,1,1,2.8,2.0,0.12,+2.2,+2.0,Match Report,2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,W,5,1,Nîmes,4,1,3,75.0,0,1.0,0.0,0,0,0,0,6,22,27.3,22,6,77.3,46.4,6,83.3,58.0,23,0,0.0,0,4.5,Match Report,2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,W,5,1,Nîmes,270,371,72.8,4830,2183,138,161,85.7,95,113,84.1,35,74,47.3,4,1.8,1.9,14,21,5,2,22,Match Report,2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,W,5,1,Nîmes,371,322,49,13,1,4,10,26,2,1,1,0,270,0,16,Match Report,2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,W,5,1,Nîmes,34,25,3,1,2,3,0,9,5,1,1,1,1,0,Match Report,2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,W,5,1,Nîmes,9,7,7,2,0,3,15,20.0,12,8,2,6,12,21,18,0,Match Report,2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,W,5,1,Nîmes,41,478,52,166,202,117,24,477,13,7,53.8,6,46.2,229,1124,565,13,11,4,10,6,269,22,Match Report,2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,W,5,1,Nîmes,5,0,0,17,14,0,10,12,7,1,0,0,35,16,11,59.3,Match Report
