Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-08-23,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Home,D,2,2,Reims,2,22,5,22.7,0.09,0.40,16.3,0,0,0,1.8,1.8,0.09,+0.2,+0.2,Match Report,2020-08-23,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Home,D,2,2,Reims,3,2,1,33.3,0,1.2,-0.8,0,0,0,0,0,2,0.0,26,6,7.7,23.3,9,0.0,23.7,4,0,0.0,7,23.5,Match Report,2020-08-23,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Home,D,2,2,Reims,700,794,88.2,12342,3563,295,319,92.5,321,353,90.9,66,89,74.2,2,1.7,1.9,20,64,16,7,63,Match Report,2020-08-23,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Home,D,2,2,Reims,794,743,51,14,1,4,36,17,8,2,6,0,700,0,5,Match Report,2020-08-23,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Home,D,2,2,Reims,42,31,4,1,2,2,2,4,1,2,0,0,1,0,Match Report,2020-08-23,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Home,D,2,2,Reims,23,17,8,8,7,4,19,21.1,15,8,2,6,11,34,5,0,Match Report,2020-08-23,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Home,D,2,2,Reims,75,899,44,162,487,254,36,899,12,6,50.0,6,50.0,621,3588,1926,24,32,5,13,18,697,63,Match Report,2020-08-23,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Home,D,2,2,Reims,1,0,0,8,14,0,36,11,17,0,0,0,51,20,12,62.5,Match Report
2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,W,1,0,Metz,1,3,2,66.7,0.33,0.50,18.4,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,W,1,0,Metz,4,0,4,100.0,1,0.9,+0.9,0,0,0,0,6,20,30.0,26,3,42.3,41.2,11,81.8,60.8,22,0,0.0,0,4.0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,W,1,0,Metz,320,439,72.9,5548,1959,149,174,85.6,128,152,84.2,34,80,42.5,0,0.1,0.4,2,18,2,0,23,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,W,1,0,Metz,439,387,48,14,1,1,7,21,1,0,0,0,320,4,12,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,W,1,0,Metz,6,5,0,0,0,1,0,2,1,0,0,0,1,0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,W,1,0,Metz,26,13,16,10,0,15,27,55.6,12,14,2,12,11,37,25,0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,W,1,0,Metz,46,558,74,230,250,82,9,558,18,7,38.9,11,61.1,255,1796,879,12,6,3,12,10,318,23,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,W,1,0,Metz,5,1,1,20,13,4,7,11,13,0,0,0,44,22,18,55.0,Match Report
2020-09-13,17:00 (08:00),Ligue 1,Matchweek 3,Sun,Home,W,2,1,Nantes,2,18,5,27.8,0.11,0.40,14.6,0,0,0,2.3,2.3,0.13,-0.3,-0.3,Match Report,2020-09-13,17:00 (08:00),Ligue 1,Matchweek 3,Sun,Home,W,2,1,Nantes,2,1,1,50.0,0,1.1,+0.1,0,0,0,0,2,11,18.2,25,2,20.0,29.3,12,50.0,41.4,12,0,0.0,3,24.7,Match Report,2020-09-13,17:00 (08:00),Ligue 1,Matchweek 3,Sun,Home,W,2,1,Nantes,518,623,83.1,8947,3172,255,270,94.4,191,234,81.6,61,92,66.3,1,2.0,1.1,13,39,8,2,50,Match Report,2020-09-13,17:00 (08:00),Ligue 1,Matchweek 3,Sun,Home,W,2,1,Nantes,623,571,49,12,0,6,22,14,9,4,3,1,518,3,6,Match Report,2020-09-13,17:00 (08:00),Ligue 1,Matchweek 3,Sun,Home,W,2,1,Nantes,31,19,4,4,3,0,1,3,3,0,0,0,0,0,Match Report,2020-09-13,17:00 (08:00),Ligue 1,Matchweek 3,Sun,Home,W,2,1,Nantes,27,16,10,11,6,10,19,52.6,9,8,1,7,10,37,18,0,Match Report,2020-09-13,17:00 (08:00),Ligue 1,Matchweek 3,Sun,Home,W,2,1,Nantes,57,727,62,233,348,155,30,727,21,11,52.4,10,47.6,433,2455,1329,28,17,8,9,6,515,50,Match Report,2020-09-13,17:00 (08:00),Ligue 1,Matchweek 3,Sun,Home,W,2,1,Nantes,3,0,0,14,11,3,22,10,16,0,0,0,54,17,9,65.4,Match Report
2020-09-19,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Rennes,1,14,2,14.3,0.07,0.50,16.8,1,0,0,0.9,0.9,0.07,+0.1,+0.1,Match Report,2020-09-19,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Rennes,3,2,1,33.3,0,0.4,-1.6,0,0,0,0,1,11,9.1,28,6,25.0,28.1,9,44.4,38.7,21,1,4.8,0,5.5,Match Report,2020-09-19,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Rennes,374,470,79.6,6635,2547,164,187,87.7,162,183,88.5,39,74,52.7,0,0.8,1.1,10,25,3,1,34,Match Report,2020-09-19,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Rennes,470,418,49,10,5,4,20,17,10,4,6,0,374,3,8,Match Report,2020-09-19,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Rennes,22,13,5,0,3,1,0,1,0,0,0,1,0,0,Match Report,2020-09-19,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Rennes,16,12,10,5,1,10,21,47.6,11,9,4,5,13,29,17,1,Match Report,2020-09-19,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Rennes,42,570,64,237,241,100,14,570,8,5,62.5,3,37.5,360,1543,846,16,5,0,11,7,372,34,Match Report,2020-09-19,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Rennes,2,0,0,12,10,3,20,13,12,0,0,0,46,18,14,56.3,Match Report
2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Strasbourg,3,11,5,45.5,0.27,0.60,19.1,1,0,0,1.3,1.3,0.12,+1.7,+1.7,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Strasbourg,5,2,3,80.0,0,2.2,+0.2,1,1,0,0,8,19,42.1,43,7,37.2,34.8,3,100.0,67.7,21,1,4.8,1,13.8,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Strasbourg,463,576,80.4,8046,2983,216,245,88.2,178,200,89.0,52,91,57.1,3,1.2,0.9,9,30,7,2,40,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Strasbourg,576,522,51,16,0,5,16,23,6,2,2,0,463,3,7,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Strasbourg,20,17,1,0,1,1,0,6,6,0,0,0,0,0,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Strasbourg,18,10,4,9,5,4,9,44.4,5,12,2,10,9,27,21,1,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Strasbourg,57,675,68,204,330,147,19,675,10,3,30.0,7,70.0,306,1617,881,15,9,1,16,6,461,40,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,W,3,2,Strasbourg,3,2,1,11,11,3,16,9,10,0,1,0,46,10,13,43.5,Match Report
2020-10-04,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,0,1,Brest,0,21,2,9.5,0.00,0.00,18.6,2,0,0,1.2,1.2,0.06,-1.2,-1.2,Match Report,2020-10-04,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,0,1,Brest,5,1,4,80.0,0,1.0,0.0,0,0,0,0,5,8,62.5,36,5,19.4,26.9,3,33.3,28.7,9,0,0.0,4,22.7,Match Report,2020-10-04,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,0,1,Brest,597,711,84.0,10400,3609,272,310,87.7,243,271,89.7,59,88,67.0,0,0.9,1.4,13,67,15,5,73,Match Report,2020-10-04,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,0,1,Brest,711,661,50,8,0,3,31,29,8,5,2,1,597,0,10,Match Report,2020-10-04,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,0,1,Brest,39,28,2,3,1,4,1,0,0,0,0,0,0,0,Match Report,2020-10-04,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,0,1,Brest,11,7,3,5,3,2,15,13.3,13,2,0,2,13,24,16,2,Match Report,2020-10-04,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,0,1,Brest,71,822,51,205,382,241,32,822,16,12,75.0,4,25.0,539,2814,1428,29,14,8,18,19,595,73,Match Report,2020-10-04,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,0,1,Brest,4,0,0,17,10,0,31,13,7,0,0,0,59,23,20,53.5,Match Report
2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Montpellier,1,20,6,30.0,0.00,0.00,19.4,1,1,1,2.2,1.5,0.07,-1.2,-1.5,Match Report,2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Montpellier,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,4,4,100.0,22,7,18.2,29.1,2,0.0,23.5,6,0,0.0,3,25.8,Match Report,2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Montpellier,636,764,83.2,11462,3161,262,291,90.0,288,319,90.3,66,104,63.5,0,1.0,2.1,16,81,20,8,88,Match Report,2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Montpellier,764,701,61,14,0,6,44,33,10,4,2,0,636,2,10,Match Report,2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Montpellier,38,30,4,1,1,2,0,2,1,0,0,0,1,0,Match Report,2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Montpellier,13,6,3,7,3,7,11,63.6,4,4,0,4,7,20,3,1,Match Report,2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Montpellier,80,849,24,74,449,329,44,848,11,9,81.8,2,18.2,406,2747,1692,33,24,2,20,6,628,88,Match Report,2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,D,1,1,Montpellier,2,0,0,13,13,2,44,7,6,1,0,0,51,23,20,53.5,Match Report
2020-10-25,21:00 (13:00),Ligue 1,Matchweek 8,Sun,Away,L,1,4,Lyon,1,17,4,23.5,0.00,0.00,19.5,3,1,1,2.0,1.2,0.07,-1.0,-1.2,Match Report,2020-10-25,21:00 (13:00),Ligue 1,Matchweek 8,Sun,Away,L,1,4,Lyon,6,4,2,50.0,0,4.2,+0.2,1,1,0,0,1,7,14.3,36,6,16.7,26.5,6,16.7,34.0,6,0,0.0,5,22.9,Match Report,2020-10-25,21:00 (13:00),Ligue 1,Matchweek 8,Sun,Away,L,1,4,Lyon,510,615,82.9,8677,2742,246,267,92.1,206,237,86.9,48,85,56.5,0,0.9,0.9,12,29,10,5,39,Match Report,2020-10-25,21:00 (13:00),Ligue 1,Matchweek 8,Sun,Away,L,1,4,Lyon,615,563,52,11,0,8,30,18,12,3,7,0,510,0,9,Match Report,2020-10-25,21:00 (13:00),Ligue 1,Matchweek 8,Sun,Away,L,1,4,Lyon,33,17,4,2,4,4,2,1,0,0,0,0,1,0,Match Report,2020-10-25,21:00 (13:00),Ligue 1,Matchweek 8,Sun,Away,L,1,4,Lyon,16,11,6,8,2,10,24,41.7,14,9,3,6,11,27,8,1,Match Report,2020-10-25,21:00 (13:00),Ligue 1,Matchweek 8,Sun,Away,L,1,4,Lyon,65,720,57,182,361,183,28,719,27,15,55.6,12,44.4,430,2301,1174,14,15,2,19,3,506,38,Match Report,2020-10-25,21:00 (13:00),Ligue 1,Matchweek 8,Sun,Away,L,1,4,Lyon,4,0,0,15,11,0,30,11,11,1,1,0,49,12,7,63.2,Match Report
2020-11-01,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,4,0,Bordeaux,4,16,5,31.3,0.19,0.60,15.3,0,1,1,3.5,2.8,0.17,+0.5,+0.2,Match Report,2020-11-01,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,4,0,Bordeaux,0,0,0,,1,0.0,0.0,0,0,0,0,2,8,25.0,31,3,19.4,28.5,3,66.7,55.7,8,1,12.5,4,19.3,Match Report,2020-11-01,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,4,0,Bordeaux,428,506,84.6,8004,2724,170,184,92.4,199,220,90.5,47,78,60.3,3,2.6,2.8,14,36,7,1,51,Match Report,2020-11-01,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,4,0,Bordeaux,506,470,34,12,0,5,19,8,10,2,7,0,428,2,6,Match Report,2020-11-01,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,4,0,Bordeaux,33,25,5,0,3,0,0,7,6,0,0,1,0,0,Match Report,2020-11-01,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,4,0,Bordeaux,16,13,11,2,3,9,21,42.9,12,9,4,5,13,29,12,0,Match Report,2020-11-01,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,4,0,Bordeaux,52,592,47,174,290,133,29,591,6,0,0.0,6,100.0,260,1501,927,16,5,7,13,6,427,50,Match Report,2020-11-01,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,4,0,Bordeaux,2,0,0,10,11,2,19,13,13,0,0,0,50,13,15,46.4,Match Report
2020-11-08,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,W,2,1,Nice,2,15,8,53.3,0.13,0.25,14.6,0,0,0,2.0,2.0,0.13,0.0,0.0,Match Report,2020-11-08,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,W,2,1,Nice,4,1,3,75.0,0,1.2,+0.2,0,0,0,0,4,21,19.0,33,2,51.5,38.4,6,66.7,56.5,10,0,0.0,1,22.0,Match Report,2020-11-08,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,W,2,1,Nice,290,388,74.7,5300,1954,135,148,91.2,112,138,81.2,39,83,47.0,1,1.6,0.7,12,19,6,0,21,Match Report,2020-11-08,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,W,2,1,Nice,388,352,35,10,1,7,10,13,4,1,3,0,290,1,8,Match Report,2020-11-08,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,W,2,1,Nice,24,18,2,2,1,0,1,3,0,1,1,0,0,1,Match Report,2020-11-08,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,W,2,1,Nice,23,12,13,9,1,9,26,34.6,17,8,2,6,10,33,21,0,Match Report,2020-11-08,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,W,2,1,Nice,37,513,72,214,204,99,23,513,10,7,70.0,3,30.0,210,1255,728,19,5,8,22,8,289,21,Match Report,2020-11-08,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,W,2,1,Nice,2,0,0,16,8,1,10,10,12,0,0,0,63,13,18,41.9,Match Report
