For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,For Nîmes_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,For Nîmes_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-08-23,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,4.0,0.0,Brest,4,12,5,41.7,0.33,0.8,12.7,1.0,0,0,1.7,1.7,0.14,2.3,2.3,Match Report,2020-08-23,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,4.0,0.0,Brest,3,0,3,100.0,1,0.8,0.8,0,0,0,0,11.0,27.0,40.7,34.0,4.0,61.8,45.8,7.0,85.7,57.7,10.0,0.0,0.0,0.0,14.0,Match Report,2020-08-23,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,4.0,0.0,Brest,274.0,372.0,73.7,5276.0,2257.0,111.0,131.0,84.7,94.0,115.0,81.7,47.0,89.0,52.8,4,1.6,2.0,10.0,20.0,12.0,5.0,32.0,Match Report,2020-08-23,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,4.0,0.0,Brest,372.0,319.0,53.0,19.0,1.0,3.0,13,22.0,4.0,2.0,1.0,0.0,274.0,0.0,8.0,Match Report,2020-08-23,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,4.0,0.0,Brest,19.0,14.0,2.0,1.0,1.0,1.0,0.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,Match Report,2020-08-23,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,4.0,0.0,Brest,18.0,9,8.0,9.0,1.0,7.0,21.0,33.3,14.0,6.0,2.0,4.0,14,32,21.0,0.0,Match Report,2020-08-23,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,4.0,0.0,Brest,44.0,487.0,48.0,162.0,218.0,112.0,23.0,487.0,14.0,5.0,35.7,9.0,64.3,258.0,1334.0,700.0,18.0,8.0,6.0,21.0,9.0,267.0,31.0,Match Report,2020-08-23,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,4.0,0.0,Brest,2,0,0,14,16,0,13,14,9,0.0,0.0,0,50.0,15.0,18.0,45.5,Match Report
2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,L,1.0,2.0,Nantes,1,18,9,50.0,0.06,0.11,15.7,0.0,0,0,1.2,1.2,0.07,-0.2,-0.2,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,L,1.0,2.0,Nantes,4,2,2,75.0,0,1.9,-0.1,1,1,0,0,3.0,10.0,30.0,45.0,4.0,17.8,26.4,2.0,100.0,65.5,9.0,0.0,0.0,10.0,30.5,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,L,1.0,2.0,Nantes,474.0,606.0,78.2,9008.0,3162.0,186.0,215.0,86.5,218.0,252.0,86.5,62.0,108.0,57.4,1,1.0,0.8,15.0,51.0,11.0,4.0,63.0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,L,1.0,2.0,Nantes,606.0,536.0,69.0,19.0,0.0,6.0,32,37.0,8.0,5.0,3.0,0.0,474.0,1.0,13.0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,L,1.0,2.0,Nantes,29.0,19.0,4.0,1.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,L,1.0,2.0,Nantes,11.0,7,3.0,4.0,4.0,10.0,12.0,83.3,2.0,13.0,1.0,12.0,10,21,10.0,1.0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,L,1.0,2.0,Nantes,67.0,698.0,45.0,197.0,293.0,215.0,26.0,698.0,20.0,7.0,35.0,13.0,65.0,402.0,1920.0,1085.0,20.0,8.0,1.0,11.0,13.0,471.0,63.0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,L,1.0,2.0,Nantes,2,0,0,9,16,1,32,10,7,0.0,1.0,0,52.0,15.0,19.0,44.1,Match Report
2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,L,2.0,4.0,Rennes,2,17,9,52.9,0.12,0.22,17.5,0.0,0,0,1.3,1.3,0.08,0.7,0.7,Match Report,2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,L,2.0,4.0,Rennes,6,4,2,33.3,0,2.1,-1.9,0,0,0,0,10.0,17.0,58.8,37.0,4.0,40.5,32.8,4.0,50.0,37.3,12.0,0.0,0.0,4.0,18.8,Match Report,2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,L,2.0,4.0,Rennes,303.0,398.0,76.1,6229.0,2339.0,104.0,120.0,86.7,135.0,161.0,83.9,53.0,95.0,55.8,1,0.8,0.6,9.0,27.0,3.0,3.0,34.0,Match Report,2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,L,2.0,4.0,Rennes,398.0,353.0,44.0,13.0,1.0,7.0,25,14.0,8.0,3.0,3.0,1.0,303.0,1.0,4.0,Match Report,2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,L,2.0,4.0,Rennes,20.0,15.0,2.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,Match Report,2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,L,2.0,4.0,Rennes,18.0,12,8.0,10.0,0.0,14.0,24.0,58.3,10.0,10.0,1.0,9.0,12,30,8.0,0.0,Match Report,2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,L,2.0,4.0,Rennes,45.0,503.0,47.0,163.0,244.0,104.0,18.0,503.0,12.0,6.0,50.0,6.0,50.0,271.0,1370.0,786.0,13.0,7.0,5.0,11.0,7.0,299.0,34.0,Match Report,2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,L,2.0,4.0,Rennes,2,0,0,17,13,1,25,12,12,0.0,0.0,0,57.0,21.0,14.0,60.0,Match Report
2020-09-18,21:00 (12:00),Ligue 1,Matchweek 4,Fri,Away,D,0.0,0.0,Lyon,0,10,3,30.0,0.0,0.0,26.3,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report,2020-09-18,21:00 (12:00),Ligue 1,Matchweek 4,Fri,Away,D,0.0,0.0,Lyon,3,0,3,100.0,1,0.3,0.3,0,0,0,0,9.0,31.0,29.0,25.0,0.0,88.0,51.0,11.0,81.8,50.1,32.0,1.0,3.1,0.0,7.3,Match Report,2020-09-18,21:00 (12:00),Ligue 1,Matchweek 4,Fri,Away,D,0.0,0.0,Lyon,161.0,263.0,61.2,3171.0,1564.0,75.0,94.0,79.8,51.0,74.0,68.9,30.0,74.0,40.5,0,0.3,0.2,7.0,13.0,0.0,0.0,17.0,Match Report,2020-09-18,21:00 (12:00),Ligue 1,Matchweek 4,Fri,Away,D,0.0,0.0,Lyon,263.0,209.0,54.0,18.0,0.0,4.0,9,22.0,2.0,1.0,0.0,1.0,161.0,0.0,6.0,Match Report,2020-09-18,21:00 (12:00),Ligue 1,Matchweek 4,Fri,Away,D,0.0,0.0,Lyon,16.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-09-18,21:00 (12:00),Ligue 1,Matchweek 4,Fri,Away,D,0.0,0.0,Lyon,29.0,16,13.0,12.0,4.0,12.0,37.0,32.4,25.0,13.0,8.0,5.0,16,45,39.0,0.0,Match Report,2020-09-18,21:00 (12:00),Ligue 1,Matchweek 4,Fri,Away,D,0.0,0.0,Lyon,27.0,419.0,96.0,193.0,165.0,74.0,8.0,419.0,25.0,18.0,72.0,7.0,28.0,194.0,1090.0,529.0,9.0,8.0,1.0,18.0,13.0,158.0,17.0,Match Report,2020-09-18,21:00 (12:00),Ligue 1,Matchweek 4,Fri,Away,D,0.0,0.0,Lyon,2,0,0,12,16,0,9,16,16,0.0,0.0,0,56.0,16.0,21.0,43.2,Match Report
2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1.0,1.0,Lens,1,13,4,30.8,0.08,0.25,24.8,0.0,0,0,0.5,0.5,0.04,0.5,0.5,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1.0,1.0,Lens,5,1,4,80.0,0,1.1,0.1,0,0,0,0,7.0,23.0,30.4,28.0,1.0,64.3,47.5,5.0,100.0,58.8,19.0,0.0,0.0,0.0,,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1.0,1.0,Lens,343.0,486.0,70.6,7411.0,2969.0,109.0,151.0,72.2,161.0,192.0,83.9,67.0,117.0,57.3,0,0.4,0.4,8.0,35.0,7.0,3.0,30.0,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1.0,1.0,Lens,486.0,422.0,62.0,17.0,0.0,4.0,21,33.0,5.0,0.0,4.0,0.0,343.0,2.0,11.0,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1.0,1.0,Lens,20.0,13.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1.0,1.0,Lens,18.0,5,10.0,6.0,2.0,9.0,21.0,42.9,12.0,12.0,4.0,8.0,17,35,17.0,0.0,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1.0,1.0,Lens,51.0,611.0,65.0,205.0,284.0,127.0,14.0,611.0,9.0,5.0,55.6,4.0,44.4,318.0,1550.0,618.0,17.0,12.0,2.0,22.0,8.0,340.0,30.0,Match Report,2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1.0,1.0,Lens,0,0,0,10,16,2,21,17,5,0.0,0.0,0,65.0,22.0,28.0,44.0,Match Report
2020-10-04,13:00 (04:00),Ligue 1,Matchweek 6,Sun,Away,W,1.0,0.0,Montpellier,1,8,1,12.5,0.13,1.0,20.0,1.0,0,0,0.7,0.7,0.08,0.3,0.3,Match Report,2020-10-04,13:00 (04:00),Ligue 1,Matchweek 6,Sun,Away,W,1.0,0.0,Montpellier,2,0,2,100.0,1,0.2,0.2,0,0,0,0,6.0,19.0,31.6,21.0,2.0,47.6,37.5,9.0,100.0,70.9,20.0,1.0,5.0,0.0,7.5,Match Report,2020-10-04,13:00 (04:00),Ligue 1,Matchweek 6,Sun,Away,W,1.0,0.0,Montpellier,316.0,422.0,74.9,6400.0,2682.0,121.0,140.0,86.4,144.0,176.0,81.8,47.0,91.0,51.6,1,0.6,0.4,6.0,30.0,5.0,2.0,30.0,Match Report,2020-10-04,13:00 (04:00),Ligue 1,Matchweek 6,Sun,Away,W,1.0,0.0,Montpellier,422.0,375.0,47.0,15.0,1.0,3.0,16,20.0,2.0,1.0,1.0,0.0,316.0,0.0,8.0,Match Report,2020-10-04,13:00 (04:00),Ligue 1,Matchweek 6,Sun,Away,W,1.0,0.0,Montpellier,13.0,11.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-10-04,13:00 (04:00),Ligue 1,Matchweek 6,Sun,Away,W,1.0,0.0,Montpellier,13.0,8,6.0,5.0,2.0,8.0,13.0,61.5,5.0,23.0,5.0,18.0,16,29,20.0,0.0,Match Report,2020-10-04,13:00 (04:00),Ligue 1,Matchweek 6,Sun,Away,W,1.0,0.0,Montpellier,47.0,545.0,58.0,188.0,255.0,110.0,9.0,545.0,17.0,9.0,52.9,8.0,47.1,302.0,1703.0,866.0,18.0,14.0,2.0,15.0,6.0,312.0,29.0,Match Report,2020-10-04,13:00 (04:00),Ligue 1,Matchweek 6,Sun,Away,W,1.0,0.0,Montpellier,1,0,0,15,14,0,16,16,8,0.0,0.0,0,59.0,21.0,24.0,46.7,Match Report
2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Home,L,0.0,4.0,Paris S-G,0,5,2,40.0,0.0,0.0,25.3,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report,2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Home,L,0.0,4.0,Paris S-G,11,4,7,63.6,0,4.3,0.3,0,0,0,0,15.0,35.0,42.9,23.0,1.0,82.6,50.6,17.0,94.1,53.6,21.0,1.0,4.8,2.0,19.5,Match Report,2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Home,L,0.0,4.0,Paris S-G,165.0,256.0,64.5,3217.0,1819.0,72.0,99.0,72.7,62.0,79.0,78.5,25.0,60.0,41.7,0,0.2,0.1,4.0,9.0,1.0,1.0,16.0,Match Report,2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Home,L,0.0,4.0,Paris S-G,256.0,197.0,58.0,12.0,0.0,1.0,7,23.0,1.0,0.0,1.0,0.0,165.0,1.0,6.0,Match Report,2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Home,L,0.0,4.0,Paris S-G,9.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Home,L,0.0,4.0,Paris S-G,12.0,8,5.0,5.0,2.0,2.0,12.0,16.7,10.0,11.0,5.0,6.0,13,25,22.0,2.0,Match Report,2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Home,L,0.0,4.0,Paris S-G,25.0,370.0,77.0,177.0,142.0,55.0,4.0,370.0,11.0,5.0,45.5,6.0,54.5,185.0,600.0,236.0,1.0,3.0,0.0,16.0,5.0,162.0,15.0,Match Report,2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Home,L,0.0,4.0,Paris S-G,1,1,0,10,12,1,7,13,8,0.0,0.0,0,45.0,9.0,20.0,31.0,Match Report
2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Bordeaux,0,8,4,50.0,0.0,0.0,17.2,1.0,0,0,0.7,0.7,0.09,-0.7,-0.7,Match Report,2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Bordeaux,6,2,4,83.3,0,2.2,0.2,1,1,0,0,4.0,10.0,40.0,38.0,2.0,15.8,27.3,9.0,44.4,35.2,16.0,0.0,0.0,3.0,18.2,Match Report,2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Bordeaux,328.0,422.0,77.7,6693.0,2080.0,97.0,110.0,88.2,171.0,197.0,86.8,48.0,91.0,52.7,0,0.5,0.3,5.0,23.0,2.0,0.0,25.0,Match Report,2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Bordeaux,422.0,371.0,50.0,10.0,0.0,4.0,17,24.0,4.0,1.0,3.0,0.0,328.0,1.0,5.0,Match Report,2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Bordeaux,12.0,7.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Bordeaux,20.0,13,6.0,8.0,6.0,8.0,30.0,26.7,22.0,11.0,5.0,6.0,8,28,22.0,1.0,Match Report,2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Bordeaux,41.0,532.0,73.0,200.0,224.0,114.0,10.0,532.0,15.0,4.0,26.7,11.0,73.3,316.0,1411.0,704.0,10.0,5.0,2.0,11.0,3.0,328.0,25.0,Match Report,2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Bordeaux,3,0,0,16,9,1,17,8,13,0.0,1.0,0,46.0,12.0,17.0,41.4,Match Report
2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Metz,0,16,2,12.5,0.0,0.0,19.7,0.0,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report,2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Metz,5,1,4,80.0,0,1.2,0.2,0,0,0,0,2.0,6.0,33.3,34.0,7.0,17.6,29.1,3.0,0.0,24.0,6.0,0.0,0.0,3.0,24.0,Match Report,2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Metz,511.0,649.0,78.7,9599.0,3339.0,217.0,248.0,87.5,211.0,243.0,86.8,73.0,127.0,57.5,0,0.6,1.1,10.0,42.0,9.0,4.0,67.0,Match Report,2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Metz,649.0,575.0,73.0,16.0,0.0,14.0,39,42.0,10.0,6.0,3.0,0.0,511.0,1.0,13.0,Match Report,2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Metz,26.0,18.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Metz,12.0,8,3.0,6.0,3.0,4.0,9.0,44.4,5.0,4.0,2.0,2.0,9,21,8.0,0.0,Match Report,2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Metz,67.0,728.0,36.0,174.0,359.0,198.0,17.0,728.0,8.0,4.0,50.0,4.0,50.0,443.0,1958.0,1053.0,16.0,11.0,1.0,12.0,17.0,509.0,67.0,Match Report,2020-11-01,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Metz,3,0,0,13,14,1,39,9,8,0.0,0.0,0,48.0,24.0,23.0,51.1,Match Report
2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,L,1.0,5.0,Angers,1,11,4,36.4,0.09,0.25,16.3,2.0,0,0,1.9,1.9,0.18,-0.9,-0.9,Match Report,2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,L,1.0,5.0,Angers,8,5,3,50.0,0,2.6,-2.4,1,1,0,0,5.0,7.0,71.4,25.0,4.0,20.0,28.6,4.0,50.0,42.3,6.0,0.0,0.0,2.0,25.0,Match Report,2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,L,1.0,5.0,Angers,433.0,544.0,79.6,8185.0,3047.0,181.0,207.0,87.4,189.0,224.0,84.4,51.0,90.0,56.7,1,1.8,1.3,8.0,46.0,8.0,3.0,50.0,Match Report,2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,L,1.0,5.0,Angers,544.0,492.0,51.0,15.0,0.0,7.0,30,20.0,6.0,2.0,3.0,0.0,433.0,1.0,6.0,Match Report,2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,L,1.0,5.0,Angers,20.0,13.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,L,1.0,5.0,Angers,12.0,8,5.0,6.0,1.0,6.0,13.0,46.2,7.0,18.0,5.0,13.0,12,24,10.0,0.0,Match Report,2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,L,1.0,5.0,Angers,59.0,632.0,43.0,184.0,309.0,143.0,17.0,632.0,15.0,12.0,80.0,3.0,20.0,332.0,1899.0,1113.0,19.0,9.0,3.0,14.0,6.0,429.0,50.0,Match Report,2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,L,1.0,5.0,Angers,2,0,0,14,14,1,30,12,8,0.0,1.0,0,39.0,11.0,16.0,40.7,Match Report
