Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-10,21:00 (12:00),Ligue 1,Matchweek 2,Thu,Away,L,0,1,Lens,0,8,1,12.5,0.00,0.00,22.9,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report,2020-09-10,21:00 (12:00),Ligue 1,Matchweek 2,Thu,Away,L,0,1,Lens,3,1,2,66.7,0,1.5,+0.5,0,0,0,0,2,4,50.0,28,9,10.7,21.3,2,50.0,36.0,12,0,0.0,2,18.6,Match Report,2020-09-10,21:00 (12:00),Ligue 1,Matchweek 2,Thu,Away,L,0,1,Lens,841,940,89.5,11583,3729,500,529,94.5,277,303,91.4,26,44,59.1,0,0.3,1.1,6,61,11,0,64,Match Report,2020-09-10,21:00 (12:00),Ligue 1,Matchweek 2,Thu,Away,L,0,1,Lens,940,889,48,23,1,1,13,19,2,1,0,0,841,3,12,Match Report,2020-09-10,21:00 (12:00),Ligue 1,Matchweek 2,Thu,Away,L,0,1,Lens,14,11,0,1,1,1,0,0,0,0,0,0,0,0,Match Report,2020-09-10,21:00 (12:00),Ligue 1,Matchweek 2,Thu,Away,L,0,1,Lens,17,14,10,7,0,4,15,26.7,11,8,1,7,5,22,12,1,Match Report,2020-09-10,21:00 (12:00),Ligue 1,Matchweek 2,Thu,Away,L,0,1,Lens,78,1030,54,214,561,264,19,1030,26,15,57.7,11,42.3,606,3257,1626,18,27,3,13,13,838,64,Match Report,2020-09-10,21:00 (12:00),Ligue 1,Matchweek 2,Thu,Away,L,0,1,Lens,2,0,0,10,20,3,13,5,14,0,0,0,48,6,12,33.3,Match Report
2020-09-13,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Home,L,0,1,Marseille,0,14,4,28.6,0.00,0.00,16.3,2,0,0,2.4,2.4,0.17,-2.4,-2.4,Match Report,2020-09-13,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Home,L,0,1,Marseille,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,0,2,0.0,13,5,15.4,24.5,3,0.0,13.0,7,0,0.0,1,29.0,Match Report,2020-09-13,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Home,L,0,1,Marseille,499,589,84.7,8326,2919,244,269,90.7,207,231,89.6,37,59,62.7,0,2.2,1.8,9,60,15,7,74,Match Report,2020-09-13,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Home,L,0,1,Marseille,589,532,53,20,0,1,27,24,4,2,1,0,499,4,13,Match Report,2020-09-13,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Home,L,0,1,Marseille,22,18,0,1,1,2,0,0,0,0,0,0,0,0,Match Report,2020-09-13,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Home,L,0,1,Marseille,19,13,10,8,1,8,16,50.0,8,12,2,10,5,24,7,1,Match Report,2020-09-13,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Home,L,0,1,Marseille,65,701,31,129,358,221,29,701,23,14,60.9,9,39.1,409,2439,1152,18,18,3,16,10,496,74,Match Report,2020-09-13,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Home,L,0,1,Marseille,6,3,1,17,19,4,27,5,13,0,0,0,49,12,16,42.9,Match Report
2020-09-16,21:00 (12:00),Ligue 1,Matchweek 1,Wed,Home,W,1,0,Metz,1,20,8,40.0,0.05,0.13,18.2,1,0,0,2.2,2.2,0.11,-1.2,-1.2,Match Report,2020-09-16,21:00 (12:00),Ligue 1,Matchweek 1,Wed,Home,W,1,0,Metz,1,0,1,100.0,1,0.3,+0.3,0,0,0,0,3,5,60.0,20,4,25.0,28.3,4,0.0,22.8,7,0,0.0,1,13.8,Match Report,2020-09-16,21:00 (12:00),Ligue 1,Matchweek 1,Wed,Home,W,1,0,Metz,591,699,84.5,9703,3569,298,327,91.1,231,266,86.8,48,76,63.2,0,1.7,1.6,14,56,15,2,57,Match Report,2020-09-16,21:00 (12:00),Ligue 1,Matchweek 1,Wed,Home,W,1,0,Metz,699,652,46,8,4,5,31,25,8,8,0,0,591,1,7,Match Report,2020-09-16,21:00 (12:00),Ligue 1,Matchweek 1,Wed,Home,W,1,0,Metz,34,29,2,1,1,1,0,2,2,0,0,0,0,0,Match Report,2020-09-16,21:00 (12:00),Ligue 1,Matchweek 1,Wed,Home,W,1,0,Metz,12,8,7,3,2,6,19,31.6,13,6,2,4,9,21,10,0,Match Report,2020-09-16,21:00 (12:00),Ligue 1,Matchweek 1,Wed,Home,W,1,0,Metz,71,786,42,219,356,218,35,786,14,8,57.1,6,42.9,416,2734,1623,33,23,8,9,10,584,56,Match Report,2020-09-16,21:00 (12:00),Ligue 1,Matchweek 1,Wed,Home,W,1,0,Metz,3,1,1,8,6,1,31,9,8,0,0,0,52,15,17,46.9,Match Report
2020-09-20,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Away,W,3,0,Nice,3,13,5,38.5,0.15,0.40,12.5,0,1,1,3.3,2.5,0.21,-0.3,-0.5,Match Report,2020-09-20,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Away,W,3,0,Nice,5,0,5,100.0,1,1.3,+1.3,0,0,0,0,0,3,0.0,23,6,8.7,24.1,10,10.0,28.1,16,0,0.0,0,5.0,Match Report,2020-09-20,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Away,W,3,0,Nice,519,581,89.3,8667,3041,269,283,95.1,181,196,92.3,60,77,77.9,1,1.8,1.8,10,42,15,3,54,Match Report,2020-09-20,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Away,W,3,0,Nice,581,545,34,8,0,5,26,8,7,2,2,0,519,2,8,Match Report,2020-09-20,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Away,W,3,0,Nice,26,17,2,2,1,3,1,5,0,1,1,1,2,0,Match Report,2020-09-20,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Away,W,3,0,Nice,14,8,5,5,4,7,19,36.8,12,13,4,9,6,20,7,0,Match Report,2020-09-20,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Away,W,3,0,Nice,50,674,71,197,289,190,37,673,19,14,73.7,5,26.3,331,1726,1066,21,8,8,15,3,517,53,Match Report,2020-09-20,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Away,W,3,0,Nice,2,0,0,9,8,2,26,6,8,1,0,0,39,2,3,40.0,Match Report
2020-09-27,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Reims,2,21,7,33.3,0.10,0.29,15.5,2,0,0,3.8,3.8,0.18,-1.8,-1.8,Match Report,2020-09-27,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Reims,3,0,3,100.0,1,0.5,+0.5,0,0,0,0,4,6,66.7,27,10,18.5,24.9,7,14.3,24.3,11,0,0.0,0,10.0,Match Report,2020-09-27,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Reims,638,715,89.2,10036,3558,333,353,94.3,246,268,91.8,35,52,67.3,2,3.2,2.8,17,55,22,2,71,Match Report,2020-09-27,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Reims,715,680,34,10,1,5,19,9,7,3,1,0,638,1,10,Match Report,2020-09-27,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Reims,41,29,2,5,2,3,0,4,3,0,1,0,0,0,Match Report,2020-09-27,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Reims,14,10,6,7,1,9,18,50.0,9,4,1,3,7,21,8,0,Match Report,2020-09-27,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Reims,64,801,68,210,343,253,42,801,18,13,72.2,5,27.8,487,2976,1841,29,32,8,13,6,632,70,Match Report,2020-09-27,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Reims,2,0,0,10,10,1,19,7,10,0,0,0,51,1,4,20.0,Match Report
2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Home,W,6,1,Angers,6,18,12,66.7,0.33,0.50,18.4,1,0,0,2.4,2.4,0.13,+3.6,+3.6,Match Report,2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Home,W,6,1,Angers,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,2,2,100.0,16,0,12.5,24.0,5,0.0,15.0,8,0,0.0,1,9.6,Match Report,2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Home,W,6,1,Angers,606,672,90.2,7295,2616,383,404,94.8,151,165,91.5,13,29,44.8,4,1.8,2.0,14,58,13,0,52,Match Report,2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Home,W,6,1,Angers,672,638,32,8,1,0,11,11,6,1,2,0,606,2,4,Match Report,2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Home,W,6,1,Angers,34,24,2,6,1,1,0,12,9,0,3,0,0,0,Match Report,2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Home,W,6,1,Angers,21,15,8,10,3,7,18,38.9,11,11,1,10,11,32,5,0,Match Report,2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Home,W,6,1,Angers,57,780,30,109,441,236,28,780,31,20,64.5,11,35.5,547,2860,1665,28,32,3,11,8,603,51,Match Report,2020-10-02,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Home,W,6,1,Angers,1,0,0,11,9,2,11,11,15,0,0,0,62,6,5,54.5,Match Report
2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Away,W,4,0,Nîmes,4,30,11,36.7,0.13,0.36,15.0,0,0,0,3.8,3.8,0.13,+0.2,+0.2,Match Report,2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Away,W,4,0,Nîmes,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,1,1,100.0,10,4,0.0,21.3,3,33.3,29.3,6,0,0.0,0,6.0,Match Report,2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Away,W,4,0,Nîmes,661,749,88.3,10354,2948,344,373,92.2,248,277,89.5,38,48,79.2,4,3.3,2.7,25,67,21,9,73,Match Report,2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Away,W,4,0,Nîmes,749,711,38,11,3,3,25,14,9,3,4,0,661,0,7,Match Report,2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Away,W,4,0,Nîmes,56,42,3,3,5,0,3,7,5,0,1,1,0,0,Match Report,2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Away,W,4,0,Nîmes,11,9,1,7,3,6,11,54.5,5,5,0,5,9,20,8,1,Match Report,2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Away,W,4,0,Nîmes,75,845,25,128,458,266,49,845,12,10,83.3,2,16.7,574,2923,1719,31,25,10,15,10,656,72,Match Report,2020-10-16,21:00 (12:00),Ligue 1,Matchweek 7,Fri,Away,W,4,0,Nîmes,2,0,0,12,10,0,25,9,9,0,0,0,63,20,9,69.0,Match Report
2020-10-20,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,eng Manchester Utd,0,14,5,35.7,0.00,0.00,19.3,1,0,0,1.4,1.4,0.10,-1.4,-1.4,Match Report,2020-10-20,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,eng Manchester Utd,6,2,4,83.3,0,1.8,-0.2,1,1,0,0,3,6,50.0,35,8,17.1,28.5,7,0.0,21.1,12,1,8.3,0,7.5,Match Report,2020-10-20,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,eng Manchester Utd,489,588,83.2,7532,2771,251,269,93.3,175,208,84.1,37,64,57.8,0,1.2,0.9,9,31,10,3,46,Match Report,2020-10-20,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,eng Manchester Utd,588,535,50,15,1,3,25,14,11,5,1,0,489,3,14,Match Report,2020-10-20,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,eng Manchester Utd,25,16,1,4,2,2,0,0,0,0,0,0,0,0,Match Report,2020-10-20,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,eng Manchester Utd,20,15,12,5,3,11,20,55.0,9,8,3,5,11,31,12,0,Match Report,2020-10-20,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,eng Manchester Utd,61,698,82,237,293,175,27,698,25,14,56.0,11,44.0,471,2221,1061,18,12,8,12,13,481,45,Match Report,2020-10-20,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,eng Manchester Utd,3,0,0,9,14,3,25,11,15,0,1,0,54,8,6,57.1,Match Report
2020-10-24,21:00 (12:00),Ligue 1,Matchweek 8,Sat,Home,W,4,0,Dijon,4,20,9,45.0,0.20,0.44,12.5,3,0,0,3.8,3.8,0.21,+0.2,+0.2,Match Report,2020-10-24,21:00 (12:00),Ligue 1,Matchweek 8,Sat,Home,W,4,0,Dijon,3,0,3,100.0,1,0.3,+0.3,0,0,0,0,1,1,100.0,11,4,0.0,19.3,8,12.5,29.6,20,0,0.0,0,18.0,Match Report,2020-10-24,21:00 (12:00),Ligue 1,Matchweek 8,Sat,Home,W,4,0,Dijon,510,567,89.9,8392,2888,258,274,94.2,196,212,92.5,37,50,74.0,4,3.0,2.0,14,36,12,3,48,Match Report,2020-10-24,21:00 (12:00),Ligue 1,Matchweek 8,Sat,Home,W,4,0,Dijon,567,526,39,15,1,2,12,11,4,0,1,0,510,2,6,Match Report,2020-10-24,21:00 (12:00),Ligue 1,Matchweek 8,Sat,Home,W,4,0,Dijon,34,24,3,2,1,4,0,6,6,0,0,0,0,0,Match Report,2020-10-24,21:00 (12:00),Ligue 1,Matchweek 8,Sat,Home,W,4,0,Dijon,21,16,7,10,4,7,16,43.8,9,9,5,4,11,32,18,2,Match Report,2020-10-24,21:00 (12:00),Ligue 1,Matchweek 8,Sat,Home,W,4,0,Dijon,55,672,47,142,392,143,33,672,14,8,57.1,6,42.9,326,1877,1127,24,11,8,15,9,505,47,Match Report,2020-10-24,21:00 (12:00),Ligue 1,Matchweek 8,Sat,Home,W,4,0,Dijon,0,0,0,12,18,2,12,11,16,0,0,0,46,8,4,66.7,Match Report
2020-10-28,20:55 (10:55),Champions Lg,Group stage,Wed,Away,W,2,0,tr Başakşehir,2,18,4,22.2,0.11,0.50,17.4,1,0,0,2.4,2.4,0.14,-0.4,-0.4,Match Report,2020-10-28,20:55 (10:55),Champions Lg,Group stage,Wed,Away,W,2,0,tr Başakşehir,4,0,4,100.0,1,0.6,+0.6,0,0,0,0,6,12,50.0,22,4,40.9,33.6,9,33.3,33.6,21,1,4.8,2,13.3,Match Report,2020-10-28,20:55 (10:55),Champions Lg,Group stage,Wed,Away,W,2,0,tr Başakşehir,463,556,83.3,7144,2640,261,285,91.6,146,170,85.9,36,59,61.0,2,2.2,1.5,13,32,10,0,48,Match Report,2020-10-28,20:55 (10:55),Champions Lg,Group stage,Wed,Away,W,2,0,tr Başakşehir,556,510,44,10,1,3,14,19,5,2,2,0,463,2,10,Match Report,2020-10-28,20:55 (10:55),Champions Lg,Group stage,Wed,Away,W,2,0,tr Başakşehir,32,22,3,4,2,1,0,4,3,1,0,0,0,0,Match Report,2020-10-28,20:55 (10:55),Champions Lg,Group stage,Wed,Away,W,2,0,tr Başakşehir,12,6,5,6,1,6,19,31.6,13,12,4,8,13,25,25,1,Match Report,2020-10-28,20:55 (10:55),Champions Lg,Group stage,Wed,Away,W,2,0,tr Başakşehir,53,683,80,207,318,169,27,683,23,16,69.6,7,30.4,446,2209,1421,25,20,6,14,3,459,47,Match Report,2020-10-28,20:55 (10:55),Champions Lg,Group stage,Wed,Away,W,2,0,tr Başakşehir,1,0,0,6,10,2,14,13,6,0,0,0,59,10,11,47.6,Match Report
