Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-07,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,D,1,1,Lyon,1,13,7,53.8,0.08,0.14,17.4,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Match Report,2021-08-07,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,D,1,1,Lyon,4,1,3,75.0,0,0.3,-0.7,0,0,0,0,7,14,50.0,29,6,37.9,37.9,10,30.0,35.3,18,1,5.6,0,8.3,Match Report,2021-08-07,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,D,1,1,Lyon,257,345,74.5,5304,2422,100,121,82.6,113,136,83.1,40,68,58.8,0,0.6,0.8,9,15,9,4,17,Match Report,2021-08-07,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,D,1,1,Lyon,345,291,53,11,0,5,14,26,4,1,2,0,257,1,8,Match Report,2021-08-07,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,D,1,1,Lyon,19,11,4,0,2,2,0,0,0,0,0,0,0,0,Match Report,2021-08-07,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,D,1,1,Lyon,16,12,12,4,0,7,11,63.6,4,7,3,4,15,31,26,0,Match Report,2021-08-07,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,D,1,1,Lyon,32,462,62,205,170,94,19,462,9,2,22.2,7,77.8,191,1363,781,17,13,3,20,9,254,17,Match Report,2021-08-07,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Away,D,1,1,Lyon,1,0,0,12,9,1,14,15,12,0,0,0,46,18,16,52.9,Match Report
2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Rennes,1,10,5,50.0,0.10,0.20,11.9,0,0,0,1.9,1.9,0.22,-0.9,-0.9,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Rennes,2,1,1,50.0,0,1.1,+0.1,0,0,0,0,13,22,59.1,22,2,59.1,40.9,10,90.0,60.9,15,0,0.0,1,15.7,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Rennes,290,398,72.9,5410,2216,117,141,83.0,118,143,82.5,40,82,48.8,1,1.5,0.9,8,20,3,3,17,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Rennes,398,335,63,18,0,1,25,27,6,4,2,0,290,0,10,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Rennes,18,14,2,0,2,0,0,2,2,0,0,0,0,0,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Rennes,19,12,8,7,4,10,22,45.5,12,3,1,2,7,26,19,0,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Rennes,41,490,58,152,211,129,16,490,11,4,36.4,7,63.6,283,1313,581,14,10,4,11,4,287,16,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Rennes,2,0,0,7,15,0,25,7,12,0,0,0,45,17,13,56.7,Match Report
2021-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Fri,Home,L,2,4,Paris S-G,2,11,3,27.3,0.18,0.67,18.8,1,0,0,1.1,1.1,0.10,+0.9,+0.9,Match Report,2021-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Fri,Home,L,2,4,Paris S-G,8,4,4,50.0,0,2.3,-1.7,0,0,0,0,8,12,66.7,15,6,46.7,40.2,7,71.4,50.4,9,0,0.0,1,10.3,Match Report,2021-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Fri,Home,L,2,4,Paris S-G,239,308,77.6,4862,2242,101,115,87.8,85,102,83.3,48,72,66.7,2,1.0,0.7,7,25,7,1,23,Match Report,2021-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Fri,Home,L,2,4,Paris S-G,308,273,33,7,1,5,15,11,3,1,0,0,239,2,7,Match Report,2021-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Fri,Home,L,2,4,Paris S-G,18,14,1,1,1,1,0,4,4,0,0,0,0,0,Match Report,2021-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Fri,Home,L,2,4,Paris S-G,16,5,9,6,1,7,21,33.3,14,13,4,9,8,24,20,0,Match Report,2021-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Fri,Home,L,2,4,Paris S-G,26,416,53,182,131,105,14,416,16,8,50.0,8,50.0,182,1275,684,19,8,5,10,8,235,23,Match Report,2021-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Fri,Home,L,2,4,Paris S-G,1,0,0,8,7,2,15,8,5,0,0,0,39,9,9,50.0,Match Report
2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,3,Strasbourg,1,11,5,45.5,0.09,0.20,15.7,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,3,Strasbourg,5,3,3,40.0,0,1.7,-0.3,0,0,0,0,5,10,50.0,29,10,27.6,31.0,4,50.0,40.0,9,0,0.0,1,14.3,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,3,Strasbourg,429,546,78.6,7690,2906,190,229,83.0,181,211,85.8,47,76,61.8,1,0.7,0.7,10,34,10,1,46,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,3,Strasbourg,546,485,59,11,2,6,21,31,9,1,6,0,429,2,9,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,3,Strasbourg,22,18,3,1,0,0,0,2,1,0,1,0,0,0,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,3,Strasbourg,13,9,9,2,2,2,13,15.4,11,8,1,7,14,27,21,0,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,3,Strasbourg,52,659,62,196,316,150,25,659,16,7,43.8,9,56.3,449,2106,1151,22,11,4,25,8,425,46,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,3,Strasbourg,1,0,0,10,11,2,21,14,9,0,0,1,50,16,19,45.7,Match Report
2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1,1,Angers,1,11,5,45.5,0.00,0.00,23.1,0,1,1,1.3,0.6,0.05,-0.3,-0.6,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1,1,Angers,2,1,1,100.0,0,1.1,+0.1,1,1,0,0,3,10,30.0,24,7,25.0,30.1,4,100.0,64.0,11,0,0.0,0,18.0,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1,1,Angers,427,514,83.1,7471,2583,196,216,90.7,163,184,88.6,47,74,63.5,0,0.5,0.3,10,25,8,3,45,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1,1,Angers,514,472,40,7,0,8,17,22,5,1,2,0,427,2,13,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1,1,Angers,23,15,1,2,2,1,2,2,1,0,0,0,1,0,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1,1,Angers,19,12,7,11,1,13,26,50.0,13,9,1,8,11,30,17,0,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1,1,Angers,49,633,57,187,298,155,20,632,28,16,57.1,12,42.9,413,1790,942,24,11,5,16,9,423,44,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,1,1,Angers,2,0,0,19,8,2,17,11,12,1,1,0,48,12,6,66.7,Match Report
2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Clermont Foot,1,5,1,20.0,0.20,1.00,16.6,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Clermont Foot,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,2,8,25.0,20,7,30.0,31.5,7,28.6,34.0,15,0,0.0,1,17.5,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Clermont Foot,364,445,81.8,7266,2155,120,137,87.6,182,203,89.7,55,92,59.8,1,0.5,1.0,5,28,9,0,42,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Clermont Foot,445,413,31,7,0,6,17,10,5,4,1,0,364,1,4,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Clermont Foot,9,5,2,1,0,1,0,2,0,1,0,0,1,0,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Clermont Foot,15,9,3,4,8,3,8,37.5,5,7,0,7,11,26,12,0,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Clermont Foot,42,529,51,172,221,144,22,529,13,9,69.2,4,30.8,327,2073,1199,19,14,5,14,15,360,42,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,1,1,Clermont Foot,1,0,0,19,7,1,17,11,9,0,0,0,58,14,10,58.3,Match Report
2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Nantes,1,10,2,20.0,0.10,0.50,19.1,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Nantes,5,3,3,40.0,0,1.6,-0.4,0,0,0,0,4,7,57.1,26,4,7.7,23.0,5,100.0,65.2,15,1,6.7,2,16.7,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Nantes,463,569,81.4,8747,3188,181,211,85.8,222,249,89.2,55,86,64.0,0,0.3,0.7,7,39,6,3,44,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Nantes,569,512,55,10,0,1,16,32,4,3,1,0,463,2,9,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Nantes,20,13,3,3,0,1,0,2,1,1,0,0,0,0,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Nantes,12,8,8,4,0,10,16,62.5,6,12,5,7,10,22,31,0,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Nantes,58,699,69,239,313,150,16,699,26,12,46.2,14,53.8,385,2104,1032,12,9,2,12,1,461,44,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Nantes,2,0,0,13,8,2,16,10,8,0,0,1,52,19,14,57.6,Match Report
2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,L,1,2,Metz,1,10,1,10.0,0.00,0.00,18.3,1,1,1,1.6,0.8,0.08,-0.6,-0.8,Match Report,2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,L,1,2,Metz,4,2,2,50.0,0,1.3,-0.7,0,0,0,0,2,4,50.0,28,10,14.3,27.9,2,0.0,23.0,11,0,0.0,3,25.3,Match Report,2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,L,1,2,Metz,434,548,79.2,8039,3020,170,196,86.7,199,237,84.0,56,90,62.2,0,0.4,1.0,6,45,9,4,58,Match Report,2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,L,1,2,Metz,548,491,53,15,0,5,31,29,4,3,1,0,434,4,6,Match Report,2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,L,1,2,Metz,20,14,1,2,0,3,0,2,0,0,1,0,1,0,Match Report,2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,L,1,2,Metz,17,11,9,3,5,8,15,53.3,7,4,1,3,5,22,12,0,Match Report,2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,L,1,2,Metz,66,652,47,164,299,195,24,651,25,13,52.0,12,48.0,398,2325,1400,30,12,8,24,7,432,58,Match Report,2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,L,1,2,Metz,3,0,0,16,15,4,31,5,11,1,0,0,65,25,32,43.9,Match Report
2021-10-02,21:00 (12:00),Ligue 1,Matchweek 9,Sat,Away,L,1,2,Nice,1,6,2,33.3,0.17,0.50,13.4,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Match Report,2021-10-02,21:00 (12:00),Ligue 1,Matchweek 9,Sat,Away,L,1,2,Nice,9,2,7,77.8,0,2.6,+0.6,0,0,0,0,9,30,30.0,32,5,65.6,45.0,11,81.8,56.5,17,1,5.9,0,9.7,Match Report,2021-10-02,21:00 (12:00),Ligue 1,Matchweek 9,Sat,Away,L,1,2,Nice,253,351,72.1,4966,2283,111,134,82.8,103,127,81.1,38,77,49.4,1,0.6,0.6,6,21,8,2,31,Match Report,2021-10-02,21:00 (12:00),Ligue 1,Matchweek 9,Sat,Away,L,1,2,Nice,351,309,41,11,0,2,8,14,2,1,1,0,253,1,8,Match Report,2021-10-02,21:00 (12:00),Ligue 1,Matchweek 9,Sat,Away,L,1,2,Nice,10,9,0,0,1,0,0,1,0,0,0,1,0,0,Match Report,2021-10-02,21:00 (12:00),Ligue 1,Matchweek 9,Sat,Away,L,1,2,Nice,16,4,10,5,1,5,12,41.7,7,9,1,8,10,26,25,1,Match Report,2021-10-02,21:00 (12:00),Ligue 1,Matchweek 9,Sat,Away,L,1,2,Nice,30,454,86,187,214,62,14,454,16,9,56.3,7,43.8,251,1420,703,14,13,1,21,8,251,31,Match Report,2021-10-02,21:00 (12:00),Ligue 1,Matchweek 9,Sat,Away,L,1,2,Nice,1,0,0,12,8,1,8,10,4,0,0,0,49,25,23,52.1,Match Report
2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Reims,1,9,4,44.4,0.11,0.25,14.6,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Reims,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,9,14,64.3,28,7,39.3,36.0,8,37.5,38.4,17,1,5.9,0,2.5,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Reims,384,514,74.7,8059,3220,142,175,81.1,159,197,80.7,78,118,66.1,0,0.4,1.3,6,36,15,10,54,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Reims,514,453,60,14,0,9,39,29,7,5,2,0,384,1,9,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Reims,16,12,2,1,1,0,0,0,0,0,0,0,0,0,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Reims,14,6,5,6,3,5,15,33.3,10,15,6,9,12,26,16,0,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Reims,55,627,61,198,257,178,28,627,12,5,41.7,7,58.3,386,1914,874,18,13,1,17,14,380,54,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Reims,3,0,0,18,12,1,39,12,6,0,0,0,61,26,17,60.5,Match Report
