Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2.0,0.0,Bordeaux,2,19,10,52.6,0.11,0.2,14.1,0.0,0,0,3.1,3.1,0.17,-1.1,-1.1,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2.0,0.0,Bordeaux,6,0.0,6,100.0,1,0.6,0.6,0,0,0,0,0.0,2.0,0.0,12.0,4.0,16.7,22.3,5.0,0.0,9.4,15.0,0.0,0.0,0.0,,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2.0,0.0,Bordeaux,504.0,601.0,83.9,8568.0,2692.0,273.0,299.0,91.3,161.0,190.0,84.7,60.0,89.0,67.4,2,2.3,1.5,13.0,31.0,8.0,2.0,31.0,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2.0,0.0,Bordeaux,601.0,547.0,52.0,13.0,1.0,8.0,20,23.0,10.0,3.0,5.0,1.0,504.0,2.0,6.0,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2.0,0.0,Bordeaux,34.0,22.0,4.0,3.0,4.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2.0,0.0,Bordeaux,18.0,13,7.0,9.0,2.0,9.0,15.0,60.0,6.0,3.0,1.0,2.0,9,27,13.0,0.0,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2.0,0.0,Bordeaux,56.0,709.0,51.0,219.0,359.0,135.0,25.0,709.0,16.0,9.0,56.3,7.0,43.8,300.0,1820.0,1036.0,23.0,12.0,6.0,19.0,12.0,497.0,31.0,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2.0,0.0,Bordeaux,0,0,0,9,13,2,20,9,13,0.0,0.0,0,54.0,18.0,10.0,64.3,Match Report
2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Troyes,2,18,8,44.4,0.11,0.25,17.4,2.0,0,0,1.9,1.9,0.11,0.1,0.1,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Troyes,1,0.0,1,100.0,1,0.6,0.6,0,0,0,0,0.0,0.0,,14.0,2.0,0.0,18.8,4.0,0.0,24.0,10.0,0.0,0.0,0.0,17.7,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Troyes,614.0,682.0,90.0,11042.0,3118.0,265.0,290.0,91.4,286.0,299.0,95.7,56.0,80.0,70.0,1,1.2,1.3,10.0,49.0,10.0,3.0,66.0,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Troyes,682.0,639.0,41.0,9.0,2.0,3.0,27,18.0,9.0,3.0,4.0,0.0,614.0,2.0,5.0,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Troyes,34.0,25.0,2.0,2.0,3.0,2.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Troyes,9.0,2,0.0,7.0,2.0,4.0,9.0,44.4,5.0,5.0,1.0,4.0,6,15,11.0,0.0,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Troyes,64.0,758.0,29.0,146.0,429.0,186.0,25.0,758.0,22.0,11.0,50.0,11.0,50.0,512.0,2530.0,1282.0,20.0,22.0,6.0,8.0,8.0,611.0,66.0,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Troyes,1,0,0,6,11,2,27,6,2,0.0,0.0,0,40.0,4.0,9.0,30.8,Match Report
2021-08-22,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,3.0,3.0,Lyon,2,17,5,29.4,0.12,0.4,16.3,0.0,0,0,1.4,1.4,0.08,0.6,0.6,Match Report,2021-08-22,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,3.0,3.0,Lyon,9,3.0,6,77.8,0,3.2,0.2,1,1,0,0,3.0,5.0,60.0,19.0,7.0,15.8,26.9,14.0,14.3,23.1,10.0,1.0,10.0,0.0,4.5,Match Report,2021-08-22,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,3.0,3.0,Lyon,391.0,483.0,81.0,6729.0,2882.0,188.0,211.0,89.1,137.0,165.0,83.0,51.0,71.0,71.8,2,1.3,0.8,15.0,24.0,9.0,5.0,42.0,Match Report,2021-08-22,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,3.0,3.0,Lyon,483.0,431.0,52.0,10.0,0.0,7.0,24,16.0,8.0,4.0,2.0,0.0,391.0,0.0,10.0,Match Report,2021-08-22,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,3.0,3.0,Lyon,33.0,24.0,4.0,4.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,Match Report,2021-08-22,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,3.0,3.0,Lyon,20.0,11,13.0,6.0,1.0,9.0,28.0,32.1,19.0,9.0,2.0,7.0,14,34,10.0,0.0,Match Report,2021-08-22,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,3.0,3.0,Lyon,45.0,604.0,69.0,243.0,251.0,117.0,22.0,604.0,17.0,7.0,41.2,10.0,58.8,330.0,1812.0,994.0,25.0,16.0,4.0,19.0,15.0,384.0,42.0,Match Report,2021-08-22,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,3.0,3.0,Lyon,2,0,0,6,8,0,24,14,11,0.0,1.0,0,54.0,10.0,13.0,43.5,Match Report
2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2.0,2.0,Metz,1,16,4,25.0,0.06,0.25,15.7,0.0,0,0,1.6,1.6,0.1,-0.6,-0.6,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2.0,2.0,Metz,4,2.0,3,75.0,0,2.0,1.0,1,1,0,0,5.0,11.0,45.5,21.0,7.0,28.6,27.0,10.0,50.0,32.2,13.0,0.0,0.0,0.0,1.0,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2.0,2.0,Metz,466.0,586.0,79.5,7461.0,2708.0,212.0,248.0,85.5,165.0,195.0,84.6,47.0,77.0,61.0,1,1.5,1.8,13.0,22.0,11.0,2.0,44.0,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2.0,2.0,Metz,586.0,526.0,58.0,15.0,1.0,5.0,26,24.0,6.0,3.0,2.0,0.0,466.0,2.0,9.0,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2.0,2.0,Metz,29.0,20.0,3.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2.0,2.0,Metz,15.0,10,6.0,6.0,3.0,6.0,11.0,54.5,5.0,12.0,2.0,10.0,6,21,16.0,1.0,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2.0,2.0,Metz,60.0,687.0,60.0,233.0,292.0,168.0,31.0,687.0,20.0,12.0,60.0,8.0,40.0,434.0,2123.0,1055.0,30.0,17.0,4.0,13.0,12.0,464.0,44.0,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2.0,2.0,Metz,1,0,0,11,13,2,26,6,10,0.0,1.0,1,51.0,11.0,12.0,47.8,Match Report
2021-09-11,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,L,0.0,4.0,Paris S-G,0,14,2,14.3,0.0,0.0,19.8,1.0,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report,2021-09-11,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,L,0.0,4.0,Paris S-G,7,4.0,3,42.9,0,1.7,-2.3,0,0,0,0,1.0,4.0,25.0,17.0,1.0,17.6,26.9,4.0,25.0,30.8,4.0,0.0,0.0,1.0,12.0,Match Report,2021-09-11,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,L,0.0,4.0,Paris S-G,486.0,572.0,85.0,7622.0,2640.0,284.0,317.0,89.6,157.0,173.0,90.8,39.0,61.0,63.9,0,0.7,1.1,8.0,37.0,10.0,4.0,40.0,Match Report,2021-09-11,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,L,0.0,4.0,Paris S-G,572.0,526.0,45.0,13.0,2.0,3.0,22,19.0,4.0,0.0,2.0,0.0,486.0,1.0,12.0,Match Report,2021-09-11,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,L,0.0,4.0,Paris S-G,20.0,12.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-09-11,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,L,0.0,4.0,Paris S-G,19.0,12,9.0,9.0,1.0,11.0,30.0,36.7,19.0,8.0,3.0,5.0,12,31,8.0,0.0,Match Report,2021-09-11,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,L,0.0,4.0,Paris S-G,49.0,679.0,45.0,217.0,325.0,144.0,22.0,679.0,18.0,13.0,72.2,5.0,27.8,390.0,1894.0,1022.0,26.0,15.0,7.0,22.0,17.0,481.0,39.0,Match Report,2021-09-11,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,L,0.0,4.0,Paris S-G,1,0,0,9,12,1,22,12,12,0.0,0.0,0,54.0,5.0,6.0,45.5,Match Report
2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,1.0,1.0,Brest,1,7,4,57.1,0.14,0.25,13.2,0.0,0,0,1.1,1.1,0.15,-0.1,-0.1,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,1.0,1.0,Brest,1,1.0,0,0.0,0,0.6,-0.4,0,0,0,0,3.0,10.0,30.0,32.0,6.0,25.0,27.9,2.0,100.0,59.0,14.0,2.0,14.3,0.0,10.5,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,1.0,1.0,Brest,522.0,612.0,85.3,9334.0,3053.0,221.0,240.0,92.1,217.0,244.0,88.9,61.0,83.0,73.5,1,1.1,1.0,7.0,29.0,8.0,2.0,36.0,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,1.0,1.0,Brest,612.0,564.0,48.0,20.0,1.0,5.0,20,21.0,3.0,2.0,1.0,0.0,522.0,0.0,10.0,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,1.0,1.0,Brest,14.0,6.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,1.0,1.0,Brest,19.0,14,9.0,10.0,0.0,4.0,13.0,30.8,9.0,7.0,3.0,4.0,1,20,18.0,0.0,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,1.0,1.0,Brest,58.0,691.0,81.0,312.0,298.0,89.0,16.0,691.0,8.0,5.0,62.5,3.0,37.5,388.0,1903.0,1000.0,13.0,9.0,3.0,12.0,12.0,519.0,36.0,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,1.0,1.0,Brest,1,1,0,7,18,0,20,1,14,0.0,0.0,0,51.0,10.0,14.0,41.7,Match Report
2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,0.0,6.0,Rennes,0,4,1,25.0,0.0,0.0,14.9,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,0.0,6.0,Rennes,10,6.0,4,40.0,0,3.3,-2.7,0,0,0,0,5.0,16.0,31.3,23.0,5.0,34.8,33.6,10.0,80.0,58.1,12.0,0.0,0.0,0.0,2.0,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,0.0,6.0,Rennes,363.0,452.0,80.3,6162.0,2273.0,193.0,218.0,88.5,133.0,160.0,83.1,36.0,59.0,61.0,0,0.1,0.2,2.0,12.0,3.0,1.0,23.0,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,0.0,6.0,Rennes,452.0,394.0,58.0,14.0,0.0,4.0,20,20.0,7.0,4.0,1.0,0.0,363.0,0.0,8.0,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,0.0,6.0,Rennes,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,0.0,6.0,Rennes,9.0,7,3.0,4.0,2.0,2.0,11.0,18.2,9.0,12.0,5.0,7.0,8,17,18.0,1.0,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,0.0,6.0,Rennes,45.0,537.0,68.0,206.0,249.0,85.0,9.0,537.0,14.0,8.0,57.1,6.0,42.9,353.0,1383.0,456.0,11.0,9.0,1.0,22.0,14.0,360.0,23.0,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,0.0,6.0,Rennes,1,0,0,5,14,0,20,8,7,0.0,0.0,0,41.0,16.0,11.0,59.3,Match Report
2021-09-26,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Home,L,1.0,3.0,Monaco,1,12,4,33.3,0.08,0.25,18.0,0.0,0,0,1.1,1.1,0.09,-0.1,-0.1,Match Report,2021-09-26,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Home,L,1.0,3.0,Monaco,3,3.0,0,0.0,0,1.7,-1.3,0,0,0,0,1.0,5.0,20.0,17.0,5.0,23.5,29.2,6.0,16.7,21.5,5.0,0.0,0.0,0.0,4.5,Match Report,2021-09-26,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Home,L,1.0,3.0,Monaco,461.0,561.0,82.2,8070.0,2576.0,217.0,253.0,85.8,158.0,176.0,89.8,63.0,90.0,70.0,1,1.0,0.8,10.0,31.0,7.0,5.0,37.0,Match Report,2021-09-26,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Home,L,1.0,3.0,Monaco,561.0,515.0,44.0,12.0,1.0,13.0,22,17.0,5.0,2.0,3.0,0.0,461.0,2.0,6.0,Match Report,2021-09-26,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Home,L,1.0,3.0,Monaco,21.0,16.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-09-26,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Home,L,1.0,3.0,Monaco,16.0,11,4.0,6.0,6.0,9.0,17.0,52.9,8.0,3.0,0.0,3.0,7,23,10.0,1.0,Match Report,2021-09-26,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Home,L,1.0,3.0,Monaco,53.0,650.0,49.0,185.0,323.0,147.0,17.0,650.0,22.0,16.0,72.7,6.0,27.3,476.0,2042.0,1140.0,18.0,11.0,3.0,13.0,9.0,457.0,35.0,Match Report,2021-09-26,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Home,L,1.0,3.0,Monaco,2,0,0,9,12,2,22,7,11,0.0,0.0,0,59.0,6.0,11.0,35.3,Match Report
2021-10-03,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,D,1.0,1.0,Lorient,1,8,4,50.0,0.13,0.25,15.6,0.0,0,0,1.1,1.1,0.14,-0.1,-0.1,Match Report,2021-10-03,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,D,1.0,1.0,Lorient,1,1.0,0,0.0,0,0.1,-0.9,0,0,0,0,3.0,9.0,33.3,23.0,1.0,30.4,32.4,4.0,50.0,34.5,13.0,0.0,0.0,2.0,17.5,Match Report,2021-10-03,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,D,1.0,1.0,Lorient,464.0,571.0,81.3,7683.0,2629.0,244.0,268.0,91.0,184.0,216.0,85.2,30.0,66.0,45.5,1,1.1,0.7,8.0,24.0,2.0,0.0,29.0,Match Report,2021-10-03,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,D,1.0,1.0,Lorient,571.0,513.0,57.0,19.0,1.0,2.0,12,28.0,4.0,3.0,1.0,0.0,464.0,1.0,11.0,Match Report,2021-10-03,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,D,1.0,1.0,Lorient,16.0,10.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-10-03,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,D,1.0,1.0,Lorient,20.0,9,10.0,9.0,1.0,7.0,19.0,36.8,12.0,14.0,3.0,11.0,13,33,13.0,0.0,Match Report,2021-10-03,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,D,1.0,1.0,Lorient,54.0,668.0,44.0,251.0,324.0,99.0,13.0,668.0,10.0,7.0,70.0,3.0,30.0,412.0,1792.0,859.0,17.0,14.0,4.0,17.0,12.0,460.0,28.0,Match Report,2021-10-03,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,D,1.0,1.0,Lorient,1,0,0,12,18,1,12,13,9,0.0,0.0,0,63.0,14.0,13.0,51.9,Match Report
2021-10-16,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Home,W,1.0,0.0,Lille,1,9,3,33.3,0.11,0.33,22.0,0.0,0,0,0.3,0.3,0.04,0.7,0.7,Match Report,2021-10-16,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Home,W,1.0,0.0,Lille,2,0.0,2,100.0,1,0.1,0.1,0,0,0,0,1.0,14.0,7.1,16.0,4.0,50.0,44.1,9.0,66.7,44.6,18.0,1.0,5.6,0.0,7.7,Match Report,2021-10-16,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Home,W,1.0,0.0,Lille,333.0,439.0,75.9,5123.0,2145.0,191.0,216.0,88.4,103.0,134.0,76.9,28.0,60.0,46.7,0,0.3,1.2,5.0,20.0,5.0,3.0,34.0,Match Report,2021-10-16,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Home,W,1.0,0.0,Lille,439.0,389.0,50.0,9.0,0.0,1.0,23,25.0,6.0,3.0,2.0,0.0,333.0,0.0,7.0,Match Report,2021-10-16,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Home,W,1.0,0.0,Lille,14.0,8.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Match Report,2021-10-16,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Home,W,1.0,0.0,Lille,16.0,10,9.0,5.0,2.0,7.0,17.0,41.2,10.0,13.0,3.0,10.0,9,25,20.0,0.0,Match Report,2021-10-16,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Home,W,1.0,0.0,Lille,43.0,556.0,65.0,213.0,218.0,136.0,18.0,556.0,28.0,12.0,42.9,16.0,57.1,338.0,2001.0,1084.0,29.0,16.0,5.0,18.0,4.0,330.0,32.0,Match Report,2021-10-16,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Home,W,1.0,0.0,Lille,1,0,0,9,8,0,23,9,10,0.0,0.0,0,68.0,10.0,18.0,35.7,Match Report
