Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-08,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Away,D,1,1,Rennes,1,11,6,54.5,0.09,0.17,16.5,0,0,0,2.1,2.1,0.22,-1.1,-1.1,Match Report,2021-08-08,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Away,D,1,1,Rennes,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,6,15,40.0,25,4,40.0,37.5,7,71.4,50.3,7,0,0.0,0,13.0,Match Report,2021-08-08,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Away,D,1,1,Rennes,317,389,81.5,6229,2041,130,141,92.2,130,140,92.9,48,85,56.5,1,1.7,1.5,7,17,4,3,17,Match Report,2021-08-08,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Away,D,1,1,Rennes,389,341,48,10,3,8,22,20,9,5,2,0,317,0,7,Match Report,2021-08-08,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Away,D,1,1,Rennes,17,10,2,2,1,1,1,2,1,0,0,0,0,1,Match Report,2021-08-08,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Away,D,1,1,Rennes,18,9,13,3,2,8,17,47.1,9,9,5,4,5,23,15,1,Match Report,2021-08-08,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Away,D,1,1,Rennes,41,483,48,165,203,118,15,483,18,9,50.0,9,50.0,190,1108,609,10,10,2,17,6,314,17,Match Report,2021-08-08,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Away,D,1,1,Rennes,2,0,0,14,10,0,22,5,9,0,0,0,40,11,9,55.0,Match Report
2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Saint-Étienne,2,22,7,31.8,0.09,0.29,17.6,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Match Report,2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Saint-Étienne,6,2,4,66.7,0,1.4,-0.6,0,0,0,0,3,9,33.3,29,9,27.6,30.3,6,16.7,26.3,9,0,0.0,0,15.0,Match Report,2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Saint-Étienne,441,543,81.2,7846,3304,185,214,86.4,196,230,85.2,49,71,69.0,2,1.2,1.1,20,42,8,5,49,Match Report,2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Saint-Étienne,543,486,56,17,0,5,24,23,7,2,5,0,441,1,9,Match Report,2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Saint-Étienne,40,29,5,2,3,0,1,4,4,0,0,0,0,0,Match Report,2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Saint-Étienne,23,12,6,13,4,7,14,50.0,7,9,2,7,20,43,8,0,Match Report,2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Saint-Étienne,57,689,44,166,368,162,25,689,23,16,69.6,7,30.4,353,2053,1205,22,15,2,36,13,436,49,Match Report,2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Saint-Étienne,1,0,0,10,17,1,24,20,12,0,0,0,65,22,17,56.4,Match Report
2021-08-21,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,W,2,0,Monaco,2,4,2,50.0,0.50,1.00,14.3,0,0,0,0.5,0.5,0.12,+1.5,+1.5,Match Report,2021-08-21,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,W,2,0,Monaco,2,0,2,100.0,1,0.5,+0.5,0,0,0,0,7,22,31.8,17,3,70.6,42.9,11,90.9,62.5,22,2,9.1,0,10.3,Match Report,2021-08-21,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,W,2,0,Monaco,189,265,71.3,3922,1801,77,89,86.5,75,95,78.9,36,69,52.2,2,0.5,0.4,4,15,2,0,28,Match Report,2021-08-21,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,W,2,0,Monaco,265,223,42,12,0,5,8,15,3,1,1,0,189,0,6,Match Report,2021-08-21,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,W,2,0,Monaco,5,4,1,0,0,0,0,3,3,0,0,0,0,0,Match Report,2021-08-21,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,W,2,0,Monaco,13,10,8,5,0,5,18,27.8,13,9,1,8,16,29,37,0,Match Report,2021-08-21,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,W,2,0,Monaco,29,377,73,140,183,59,5,377,12,6,50.0,6,50.0,191,906,382,7,9,1,11,18,187,27,Match Report,2021-08-21,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,W,2,0,Monaco,1,1,0,14,11,0,8,16,10,0,0,0,43,13,11,54.2,Match Report
2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Lorient,2,19,9,47.4,0.11,0.22,18.8,3,0,0,1.3,1.3,0.07,+0.7,+0.7,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Lorient,7,2,5,71.4,0,1.5,-0.5,0,0,0,0,3,5,60.0,20,7,15.0,20.9,6,33.3,33.2,8,0,0.0,2,28.0,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Lorient,416,532,78.2,7060,2883,205,250,82.0,173,209,82.8,30,57,52.6,0,0.7,0.9,11,36,12,5,49,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Lorient,532,485,46,7,1,3,26,22,8,6,2,0,416,1,6,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Lorient,30,22,1,2,2,3,0,3,1,0,0,1,1,0,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Lorient,13,7,0,8,5,6,16,37.5,10,10,2,8,14,27,14,0,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Lorient,54,651,52,168,311,181,28,651,19,13,68.4,6,31.6,321,1904,1139,21,14,5,18,9,411,49,Match Report,2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Lorient,2,0,0,10,10,1,26,14,7,0,0,0,68,21,10,67.7,Match Report
2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,3,2,Bordeaux,3,12,4,33.3,0.17,0.50,18.5,0,1,1,2.5,1.8,0.15,+0.5,+0.2,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,3,2,Bordeaux,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,9,16,56.3,20,2,55.0,44.2,7,71.4,52.3,7,3,42.9,0,10.6,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,3,2,Bordeaux,345,440,78.4,6084,2634,168,203,82.8,133,154,86.4,33,62,53.2,2,1.8,1.4,10,31,7,1,43,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,3,2,Bordeaux,440,399,40,9,0,5,21,14,7,1,5,0,345,1,4,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,3,2,Bordeaux,22,17,2,2,1,0,0,4,2,1,0,1,0,0,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,3,2,Bordeaux,14,10,4,9,1,5,13,38.5,8,7,4,3,10,24,13,0,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,3,2,Bordeaux,44,526,51,174,254,101,19,525,18,12,66.7,6,33.3,272,1575,927,18,10,4,10,3,342,43,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,3,2,Bordeaux,2,0,0,11,7,1,21,10,10,0,0,0,53,9,11,45.0,Match Report
2021-09-18,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,W,1,0,Lille,1,13,4,30.8,0.08,0.25,20.7,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Match Report,2021-09-18,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,W,1,0,Lille,2,0,2,100.0,1,0.8,+0.8,0,0,0,0,1,11,9.1,25,5,40.0,39.0,4,25.0,29.5,12,3,25.0,2,12.9,Match Report,2021-09-18,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,W,1,0,Lille,330,442,74.7,5641,2021,164,184,89.1,128,159,80.5,31,71,43.7,0,0.5,0.3,9,23,2,0,36,Match Report,2021-09-18,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,W,1,0,Lille,442,398,43,12,0,5,18,22,4,1,2,0,330,1,13,Match Report,2021-09-18,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,W,1,0,Lille,19,12,1,3,3,0,0,2,1,0,1,0,0,0,Match Report,2021-09-18,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,W,1,0,Lille,8,6,3,4,1,5,13,38.5,8,13,3,10,11,19,19,0,Match Report,2021-09-18,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,W,1,0,Lille,46,534,49,177,233,128,17,534,14,9,64.3,5,35.7,277,1261,714,17,8,3,10,3,329,36,Match Report,2021-09-18,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,W,1,0,Lille,2,0,0,12,8,1,18,11,6,0,0,0,51,13,9,59.1,Match Report
2021-09-22,21:00 (12:00),Ligue 1,Matchweek 7,Wed,Home,L,0,1,Strasbourg,0,17,4,23.5,0.00,0.00,15.4,0,0,0,1.5,1.5,0.10,-1.5,-1.5,Match Report,2021-09-22,21:00 (12:00),Ligue 1,Matchweek 7,Wed,Home,L,0,1,Strasbourg,1,1,0,0.0,0,0.9,-0.1,0,0,0,0,1,5,20.0,17,6,17.6,23.2,7,28.6,31.6,14,1,7.1,4,17.8,Match Report,2021-09-22,21:00 (12:00),Ligue 1,Matchweek 7,Wed,Home,L,0,1,Strasbourg,609,706,86.3,10311,2852,271,292,92.8,272,295,92.2,49,79,62.0,0,0.6,0.6,12,38,13,1,70,Match Report,2021-09-22,21:00 (12:00),Ligue 1,Matchweek 7,Wed,Home,L,0,1,Strasbourg,706,668,37,8,1,5,20,13,7,2,5,0,609,1,13,Match Report,2021-09-22,21:00 (12:00),Ligue 1,Matchweek 7,Wed,Home,L,0,1,Strasbourg,29,21,1,3,3,0,1,0,0,0,0,0,0,0,Match Report,2021-09-22,21:00 (12:00),Ligue 1,Matchweek 7,Wed,Home,L,0,1,Strasbourg,8,3,2,3,3,3,12,25.0,9,7,1,6,12,20,9,0,Match Report,2021-09-22,21:00 (12:00),Ligue 1,Matchweek 7,Wed,Home,L,0,1,Strasbourg,59,785,35,118,499,177,29,785,14,11,78.6,3,21.4,451,2893,1632,31,17,8,14,12,606,70,Match Report,2021-09-22,21:00 (12:00),Ligue 1,Matchweek 7,Wed,Home,L,0,1,Strasbourg,2,1,0,14,7,1,20,12,3,0,0,0,51,9,18,33.3,Match Report
2021-09-26,20:45 (11:45),Ligue 1,Matchweek 8,Sun,Away,W,3,2,Marseille,3,12,4,33.3,0.17,0.50,20.5,0,1,1,2.0,1.2,0.10,+1.0,+0.8,Match Report,2021-09-26,20:45 (11:45),Ligue 1,Matchweek 8,Sun,Away,W,3,2,Marseille,4,2,2,75.0,0,1.9,-0.1,1,1,0,0,4,10,40.0,14,2,57.1,43.1,9,44.4,40.7,7,0,0.0,0,,Match Report,2021-09-26,20:45 (11:45),Ligue 1,Matchweek 8,Sun,Away,W,3,2,Marseille,319,389,82.0,5610,2049,162,171,94.7,124,143,86.7,29,63,46.0,2,0.7,0.3,9,18,4,2,26,Match Report,2021-09-26,20:45 (11:45),Ligue 1,Matchweek 8,Sun,Away,W,3,2,Marseille,389,352,37,6,2,10,14,12,7,2,4,0,319,0,5,Match Report,2021-09-26,20:45 (11:45),Ligue 1,Matchweek 8,Sun,Away,W,3,2,Marseille,25,17,1,5,0,0,2,5,3,1,0,0,0,1,Match Report,2021-09-26,20:45 (11:45),Ligue 1,Matchweek 8,Sun,Away,W,3,2,Marseille,20,12,10,6,4,8,15,53.3,7,9,3,6,8,28,11,0,Match Report,2021-09-26,20:45 (11:45),Ligue 1,Matchweek 8,Sun,Away,W,3,2,Marseille,39,489,39,165,218,110,17,488,21,13,61.9,8,38.1,220,1322,660,14,15,5,17,8,316,26,Match Report,2021-09-26,20:45 (11:45),Ligue 1,Matchweek 8,Sun,Away,W,3,2,Marseille,1,0,0,14,3,0,14,8,12,0,1,0,44,4,5,44.4,Match Report
2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,W,2,0,Reims,2,12,6,50.0,0.08,0.17,15.8,1,1,1,2.1,1.4,0.12,-0.1,-0.4,Match Report,2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,W,2,0,Reims,0,0,0,,1,0.0,0.0,0,0,0,0,3,7,42.9,26,5,23.1,25.0,3,33.3,30.3,7,0,0.0,1,25.0,Match Report,2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,W,2,0,Reims,622,712,87.4,10642,3403,288,317,90.9,248,276,89.9,58,80,72.5,1,1.2,1.0,10,44,11,6,60,Match Report,2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,W,2,0,Reims,712,669,41,12,4,7,25,20,5,3,1,0,622,2,5,Match Report,2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,W,2,0,Reims,25,21,0,1,1,2,0,4,3,0,0,0,1,0,Match Report,2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,W,2,0,Reims,14,6,4,8,2,7,14,50.0,7,9,0,9,7,21,14,0,Match Report,2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,W,2,0,Reims,61,805,46,181,436,195,19,804,14,7,50.0,7,50.0,572,2800,1355,24,16,4,15,5,614,58,Match Report,2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,W,2,0,Reims,3,0,0,13,13,2,25,7,6,1,0,0,49,7,8,46.7,Match Report
2021-10-17,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,L,0,1,Montpellier,0,18,5,27.8,0.00,0.00,20.5,1,0,0,0.9,0.9,0.05,-0.9,-0.9,Match Report,2021-10-17,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,L,0,1,Montpellier,6,1,5,83.3,0,1.6,+0.6,0,0,0,0,4,13,30.8,21,6,38.1,38.4,9,55.6,41.3,15,0,0.0,0,5.0,Match Report,2021-10-17,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,L,0,1,Montpellier,360,471,76.4,6233,2287,166,196,84.7,144,174,82.8,35,71,49.3,0,0.8,1.2,15,32,8,4,37,Match Report,2021-10-17,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,L,0,1,Montpellier,471,418,51,8,1,6,20,30,2,1,1,0,360,2,5,Match Report,2021-10-17,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,L,0,1,Montpellier,33,28,0,4,0,1,0,0,0,0,0,0,0,0,Match Report,2021-10-17,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,L,0,1,Montpellier,18,11,6,10,2,7,24,29.2,17,11,5,6,8,26,18,0,Match Report,2021-10-17,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,L,0,1,Montpellier,50,572,56,165,269,147,24,572,18,14,77.8,4,22.2,342,2037,1152,30,15,6,8,5,357,37,Match Report,2021-10-17,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Away,L,0,1,Montpellier,4,0,0,15,7,2,20,8,11,0,0,0,43,12,8,60.0,Match Report
