Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Nice,0,5,0,0.0,0.00,,24.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Nice,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,2,15,13.3,20,6,40.0,35.2,10,70.0,56.9,13,0,0.0,1,15.0,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Nice,289,380,76.1,5072,1769,125,148,84.5,118,135,87.4,32,71,45.1,0,0.1,0.6,3,9,3,1,14,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Nice,380,337,43,10,0,8,8,20,2,1,1,0,289,0,8,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Nice,8,8,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Nice,18,12,10,8,0,9,27,33.3,18,12,4,8,11,29,19,0,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Nice,39,479,53,197,214,72,8,479,14,4,28.6,10,71.4,211,993,452,6,10,0,15,11,286,14,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Nice,1,0,0,8,10,0,8,11,12,0,0,0,45,12,14,46.2,Match Report
2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,3,3,Montpellier,3,19,9,47.4,0.16,0.33,17.9,0,0,0,1.8,1.8,0.10,+1.2,+1.2,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,3,3,Montpellier,5,3,2,40.0,0,3.0,0.0,0,0,0,0,3,6,50.0,20,3,20.0,29.9,5,40.0,34.4,17,0,0.0,0,7.0,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,3,3,Montpellier,421,522,80.7,8304,2850,157,181,86.7,186,210,88.6,65,99,65.7,1,1.6,1.6,16,30,13,5,48,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,3,3,Montpellier,522,469,53,13,0,13,31,23,8,6,2,0,421,0,12,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,3,3,Montpellier,35,31,1,2,1,0,0,5,4,0,1,0,0,0,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,3,3,Montpellier,12,10,6,4,2,5,12,41.7,7,19,6,13,11,23,14,2,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,3,3,Montpellier,56,627,49,188,255,189,27,627,17,11,64.7,6,35.3,359,1873,1170,33,24,4,6,7,420,47,Match Report,2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,3,3,Montpellier,2,0,0,12,12,0,31,11,10,0,0,0,51,19,18,51.4,Match Report
2021-08-22,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,D,1,1,Metz,1,13,3,23.1,0.08,0.33,14.5,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Match Report,2021-08-22,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,D,1,1,Metz,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,4,14,28.6,21,6,52.4,41.6,6,50.0,45.5,15,0,0.0,0,12.7,Match Report,2021-08-22,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,D,1,1,Metz,252,372,67.7,4829,2169,121,142,85.2,86,122,70.5,41,82,50.0,1,0.8,1.5,10,21,11,3,41,Match Report,2021-08-22,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,D,1,1,Metz,372,307,65,21,0,11,32,28,8,2,5,0,252,0,13,Match Report,2021-08-22,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,D,1,1,Metz,24,17,3,2,0,2,0,2,1,0,1,0,0,0,Match Report,2021-08-22,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,D,1,1,Metz,11,7,5,5,1,1,10,10.0,9,8,3,5,4,15,16,0,Match Report,2021-08-22,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,D,1,1,Metz,43,455,43,125,182,152,28,455,14,4,28.6,10,71.4,187,910,469,11,6,4,12,7,249,41,Match Report,2021-08-22,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,D,1,1,Metz,2,0,0,14,17,0,32,4,7,0,0,0,43,20,22,47.6,Match Report
2021-08-29,20:45 (11:45),Ligue 1,Matchweek 4,Sun,Home,L,0,2,Paris S-G,0,11,4,36.4,0.00,0.00,16.8,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report,2021-08-29,20:45 (11:45),Ligue 1,Matchweek 4,Sun,Home,L,0,2,Paris S-G,3,2,1,33.3,0,1.5,-0.5,0,0,0,0,2,7,28.6,15,2,46.7,38.5,3,0.0,19.7,8,1,12.5,1,20.0,Match Report,2021-08-29,20:45 (11:45),Ligue 1,Matchweek 4,Sun,Home,L,0,2,Paris S-G,300,381,78.7,4774,1689,158,181,87.3,103,123,83.7,25,46,54.3,0,0.6,0.5,9,21,5,2,22,Match Report,2021-08-29,20:45 (11:45),Ligue 1,Matchweek 4,Sun,Home,L,0,2,Paris S-G,381,339,37,13,1,10,16,15,3,1,1,0,300,5,6,Match Report,2021-08-29,20:45 (11:45),Ligue 1,Matchweek 4,Sun,Home,L,0,2,Paris S-G,17,10,2,1,2,1,1,0,0,0,0,0,0,0,Match Report,2021-08-29,20:45 (11:45),Ligue 1,Matchweek 4,Sun,Home,L,0,2,Paris S-G,21,10,12,6,3,9,19,47.4,10,16,7,9,17,38,17,0,Match Report,2021-08-29,20:45 (11:45),Ligue 1,Matchweek 4,Sun,Home,L,0,2,Paris S-G,33,500,55,190,194,128,12,500,15,10,66.7,5,33.3,285,1476,774,13,18,2,19,13,297,21,Match Report,2021-08-29,20:45 (11:45),Ligue 1,Matchweek 4,Sun,Home,L,0,2,Paris S-G,1,0,0,13,13,5,16,17,10,0,0,0,59,7,12,36.8,Match Report
2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Rennes,2,7,3,42.9,0.29,0.67,16.1,0,0,0,0.5,0.5,0.07,+1.5,+1.5,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Rennes,1,0,1,100.0,1,0.3,+0.3,0,0,0,0,7,21,33.3,23,1,60.9,45.4,10,70.0,53.0,16,0,0.0,1,11.7,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Rennes,247,362,68.2,5007,2034,100,129,77.5,97,126,77.0,46,85,54.1,2,0.5,0.7,6,7,6,1,16,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Rennes,362,300,60,19,0,3,17,24,6,1,1,0,247,2,10,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Rennes,14,12,2,0,0,0,0,4,4,0,0,0,0,0,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Rennes,16,9,7,6,3,8,16,50.0,8,13,1,12,12,28,16,1,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Rennes,37,460,56,197,173,94,15,460,9,7,77.8,2,22.2,199,1161,526,16,15,4,19,9,245,16,Match Report,2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Rennes,2,0,0,11,16,2,17,12,9,0,0,0,52,14,12,53.8,Match Report
2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,0,0,Lorient,0,10,2,20.0,0.00,0.00,24.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,0,0,Lorient,3,0,3,100.0,1,0.3,+0.3,0,0,0,0,2,7,28.6,29,7,20.7,29.7,5,20.0,20.8,16,2,12.5,0,4.3,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,0,0,Lorient,346,443,78.1,5900,2137,149,167,89.2,144,173,83.2,39,69,56.5,0,0.3,0.4,6,22,6,0,32,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,0,0,Lorient,443,383,55,15,2,3,14,29,5,1,4,0,346,5,7,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,0,0,Lorient,16,9,1,4,1,1,0,0,0,0,0,0,0,0,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,0,0,Lorient,11,6,3,5,3,7,14,50.0,7,12,2,10,8,19,13,0,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,0,0,Lorient,44,540,51,192,198,162,18,540,31,17,54.8,14,45.2,349,1940,1143,18,13,4,12,7,345,32,Match Report,2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,0,0,Lorient,2,0,0,12,14,5,14,8,6,0,0,0,45,7,6,53.8,Match Report
2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Lille,1,10,4,40.0,0.00,0.00,19.5,0,1,1,1.3,0.5,0.05,-0.3,-0.5,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Lille,4,2,2,50.0,0,1.0,-1.0,0,0,0,0,3,11,27.3,25,6,36.0,32.6,4,50.0,47.3,12,0,0.0,2,30.0,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Lille,318,404,78.7,5623,2197,137,154,89.0,130,153,85.0,38,68,55.9,0,0.4,0.5,8,20,7,1,30,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Lille,404,353,50,16,0,3,15,23,4,2,0,0,318,1,6,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Lille,21,12,4,0,2,3,0,2,1,0,0,0,1,0,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Lille,14,8,8,5,1,7,13,53.8,6,13,1,12,12,26,17,0,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Lille,47,523,52,192,244,95,18,522,17,11,64.7,6,35.3,297,1518,723,15,9,2,23,11,315,30,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Lille,1,0,0,14,16,1,15,12,8,1,0,0,50,11,12,47.8,Match Report
2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,3,1,Nantes,3,9,5,55.6,0.33,0.60,18.7,0,0,0,1.1,1.1,0.13,+1.9,+1.9,Match Report,2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,3,1,Nantes,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,5,20,25.0,28,3,46.4,36.1,12,58.3,47.1,18,0,0.0,2,21.7,Match Report,2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,3,1,Nantes,284,385,73.8,5301,2112,113,136,83.1,129,157,82.2,33,70,47.1,3,1.1,1.1,8,28,5,1,30,Match Report,2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,3,1,Nantes,385,332,52,12,1,2,13,23,3,1,2,0,284,1,4,Match Report,2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,3,1,Nantes,17,13,1,2,1,0,0,6,3,1,1,1,0,0,Match Report,2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,3,1,Nantes,18,14,12,5,1,8,18,44.4,10,15,4,11,10,28,19,0,Match Report,2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,3,1,Nantes,45,512,66,205,214,98,15,512,15,7,46.7,8,53.3,207,1232,582,12,10,3,27,9,283,30,Match Report,2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,3,1,Nantes,1,0,0,14,9,1,13,10,14,0,0,0,51,17,26,39.5,Match Report
2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Away,L,0,2,Lens,0,3,0,0.0,0.00,,19.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Match Report,2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Away,L,0,2,Lens,7,2,5,85.7,0,2.0,0.0,1,1,0,0,4,12,33.3,32,7,34.4,34.2,5,20.0,28.6,19,0,0.0,0,8.0,Match Report,2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Away,L,0,2,Lens,367,457,80.3,6298,2004,145,157,92.4,160,185,86.5,34,64,53.1,0,0.1,0.3,1,8,3,1,17,Match Report,2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Away,L,0,2,Lens,457,407,48,15,1,4,9,22,3,0,2,1,367,2,10,Match Report,2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Away,L,0,2,Lens,6,2,3,0,0,0,1,0,0,0,0,0,0,0,Match Report,2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Away,L,0,2,Lens,12,7,9,3,0,7,14,50.0,7,5,2,3,19,31,17,0,Match Report,2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Away,L,0,2,Lens,39,558,83,233,253,76,9,558,14,7,50.0,7,50.0,302,1643,889,15,5,1,21,7,364,17,Match Report,2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Away,L,0,2,Lens,1,1,0,13,11,2,9,19,7,0,1,0,47,8,7,53.3,Match Report
2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,D,1,1,Brest,1,13,2,15.4,0.08,0.50,19.8,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,D,1,1,Brest,4,1,3,75.0,0,0.4,-0.6,0,0,0,0,5,21,23.8,36,8,47.2,45.3,5,80.0,48.4,27,0,0.0,1,19.0,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,D,1,1,Brest,294,413,71.2,5430,2411,138,173,79.8,112,131,85.5,38,87,43.7,1,0.6,0.6,9,25,7,3,31,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,D,1,1,Brest,413,357,55,18,0,1,21,23,7,1,6,0,294,1,8,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,D,1,1,Brest,21,13,3,3,1,1,0,2,0,1,0,0,1,0,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,D,1,1,Brest,21,15,11,7,3,7,12,58.3,5,9,3,6,12,33,26,0,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,D,1,1,Brest,45,542,74,228,223,104,20,542,15,10,66.7,5,33.3,312,1725,705,15,9,2,19,9,289,31,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,D,1,1,Brest,4,0,0,13,18,1,21,12,15,0,0,0,67,17,26,39.5,Match Report
