For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,For Saint-Étienne_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,For Saint-Étienne_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,D,1,1,Lorient,1,19,2,10.5,0.00,0.00,20.2,0,1,1,1.9,1.1,0.06,-0.9,-1.1,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,D,1,1,Lorient,3,1,2,66.7,0,0.1,-0.9,0,0,0,0,6,8,75.0,20,6,25.0,30.2,7,42.9,34.4,8,0,0.0,4,18.9,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,D,1,1,Lorient,505,603,83.7,9024,3158,250,273,91.6,175,202,86.6,67,95,70.5,0,1.0,1.6,17,35,9,6,36,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,D,1,1,Lorient,603,550,53,14,0,10,29,22,8,2,6,0,505,0,15,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,D,1,1,Lorient,35,27,2,3,1,2,0,2,1,0,0,0,1,0,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,D,1,1,Lorient,23,11,12,11,0,9,15,60.0,6,12,2,10,12,35,13,1,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,D,1,1,Lorient,61,742,50,203,370,184,21,741,33,20,60.6,13,39.4,387,2296,1308,28,22,2,28,10,502,36,Match Report,2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,D,1,1,Lorient,2,0,0,10,14,0,29,12,11,1,0,0,67,17,13,56.7,Match Report
2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Away,D,2,2,Lens,2,12,6,50.0,0.17,0.33,22.1,0,0,0,0.9,0.9,0.08,+1.1,+1.1,Match Report,2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Away,D,2,2,Lens,7,2,5,71.4,0,1.5,-0.5,0,0,0,0,7,30,23.3,26,4,61.5,46.3,14,100.0,71.4,22,0,0.0,0,8.0,Match Report,2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Away,D,2,2,Lens,275,402,68.4,4617,2070,137,166,82.5,91,112,81.3,30,80,37.5,1,0.6,0.4,9,18,6,1,22,Match Report,2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Away,D,2,2,Lens,402,347,55,11,2,2,12,25,2,0,2,0,275,0,7,Match Report,2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Away,D,2,2,Lens,21,17,1,0,2,0,1,2,2,0,0,0,0,0,Match Report,2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Away,D,2,2,Lens,20,13,11,7,2,7,23,30.4,16,12,4,8,9,29,15,0,Match Report,2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Away,D,2,2,Lens,43,522,62,183,263,84,15,522,14,7,50.0,7,50.0,236,1307,644,14,12,2,19,16,275,22,Match Report,2021-08-15,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Away,D,2,2,Lens,6,0,0,17,10,0,12,9,13,0,0,0,67,17,22,43.6,Match Report
2021-08-21,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Lille,1,10,2,20.0,0.10,0.50,19.2,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Match Report,2021-08-21,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Lille,6,1,5,83.3,0,2.1,+1.1,0,0,0,0,3,11,27.3,22,5,27.3,33.2,5,100.0,72.0,5,1,20.0,4,24.8,Match Report,2021-08-21,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Lille,383,479,80.0,7246,2400,156,181,86.2,176,199,88.4,45,83,54.2,1,0.5,0.5,7,29,4,0,40,Match Report,2021-08-21,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Lille,479,424,54,11,1,8,15,31,5,2,3,0,383,1,9,Match Report,2021-08-21,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Lille,16,10,3,3,0,0,0,2,1,1,0,0,0,0,Match Report,2021-08-21,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Lille,14,9,6,6,2,9,19,47.4,10,12,1,11,19,33,14,1,Match Report,2021-08-21,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Lille,48,616,46,225,268,129,13,616,26,10,38.5,16,61.5,335,1875,964,23,15,6,20,9,381,39,Match Report,2021-08-21,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Lille,1,0,0,14,10,1,15,19,9,0,0,0,65,10,17,37.0,Match Report
2021-08-28,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,3,Marseille,1,11,7,63.6,0.09,0.14,15.2,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Match Report,2021-08-28,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,3,Marseille,5,3,2,40.0,0,2.7,-0.3,0,0,0,0,3,11,27.3,16,4,31.3,35.1,13,46.2,43.2,8,0,0.0,0,,Match Report,2021-08-28,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,3,Marseille,313,379,82.6,5567,1890,145,155,93.5,116,130,89.2,40,69,58.0,1,1.0,1.2,8,17,6,4,26,Match Report,2021-08-28,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,3,Marseille,379,324,54,13,0,11,21,20,4,2,2,0,313,1,8,Match Report,2021-08-28,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,3,Marseille,20,14,6,0,0,0,0,2,1,1,0,0,0,0,Match Report,2021-08-28,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,3,Marseille,19,12,8,11,0,7,18,38.9,11,13,6,7,11,30,10,0,Match Report,2021-08-28,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,3,Marseille,36,488,55,161,215,115,18,488,18,8,44.4,10,55.6,232,1347,709,10,16,1,22,10,311,26,Match Report,2021-08-28,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Away,L,1,3,Marseille,3,0,0,18,11,1,21,11,12,0,0,0,31,9,5,64.3,Match Report
2021-09-12,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Away,L,0,2,Montpellier,0,14,2,14.3,0.00,0.00,22.8,1,0,0,0.8,0.8,0.05,-0.8,-0.8,Match Report,2021-09-12,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Away,L,0,2,Montpellier,4,2,2,50.0,0,1.2,-0.8,0,0,0,0,8,15,53.3,23,7,30.4,30.3,10,80.0,55.4,22,2,9.1,1,12.6,Match Report,2021-09-12,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Away,L,0,2,Montpellier,343,436,78.7,6227,2513,144,157,91.7,139,174,79.9,41,71,57.7,0,0.6,0.6,11,30,7,2,39,Match Report,2021-09-12,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Away,L,0,2,Montpellier,436,373,62,15,0,6,23,28,6,2,3,0,343,1,6,Match Report,2021-09-12,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Away,L,0,2,Montpellier,27,19,1,4,0,3,0,0,0,0,0,0,0,0,Match Report,2021-09-12,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Away,L,0,2,Montpellier,17,10,5,7,5,10,18,55.6,8,10,1,9,10,27,22,0,Match Report,2021-09-12,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Away,L,0,2,Montpellier,58,565,66,168,259,144,20,565,19,10,52.6,9,47.4,253,1610,887,20,11,3,22,10,337,39,Match Report,2021-09-12,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Away,L,0,2,Montpellier,4,0,0,17,15,1,23,10,10,0,0,0,49,17,17,50.0,Match Report
2021-09-18,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,1,2,Bordeaux,1,12,4,33.3,0.08,0.25,17.4,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Match Report,2021-09-18,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,1,2,Bordeaux,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,4,8,50.0,19,1,26.3,34.3,8,37.5,39.1,9,0,0.0,1,26.0,Match Report,2021-09-18,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,1,2,Bordeaux,341,474,71.9,6244,2672,139,164,84.8,152,201,75.6,39,77,50.6,0,0.9,0.3,8,36,3,0,42,Match Report,2021-09-18,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,1,2,Bordeaux,474,414,57,12,3,3,32,28,7,3,4,0,341,3,10,Match Report,2021-09-18,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,1,2,Bordeaux,19,14,1,3,0,0,1,1,0,0,0,0,0,1,Match Report,2021-09-18,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,1,2,Bordeaux,27,18,13,8,6,13,33,39.4,20,14,4,10,10,37,7,1,Match Report,2021-09-18,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,1,2,Bordeaux,55,587,47,175,258,162,15,587,31,17,54.8,14,45.2,294,1479,776,19,10,4,19,10,338,41,Match Report,2021-09-18,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,1,2,Bordeaux,1,0,0,9,11,3,32,10,18,0,0,0,72,5,14,26.3,Match Report
2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Monaco,1,8,2,25.0,0.13,0.50,24.9,2,0,0,0.4,0.4,0.05,+0.6,+0.6,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Monaco,6,3,3,66.7,0,2.3,-0.1,1,1,0,0,9,16,56.3,21,4,47.6,42.1,6,100.0,62.0,17,1,5.9,3,18.6,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Monaco,242,333,72.7,4613,1969,113,135,83.7,83,108,76.9,39,69,56.5,1,0.3,0.4,5,15,5,1,19,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Monaco,333,287,43,17,1,7,14,14,3,2,0,0,242,3,7,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Monaco,13,10,0,0,0,2,1,2,2,0,0,0,0,0,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Monaco,23,14,8,13,2,7,18,38.9,11,11,2,9,22,45,23,0,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Monaco,34,478,62,176,233,79,11,478,20,12,60.0,8,40.0,224,1005,414,7,11,3,24,14,242,19,Match Report,2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,3,Monaco,1,1,0,13,16,3,14,22,14,0,1,0,59,15,17,46.9,Match Report
2021-09-25,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Nice,0,11,5,45.5,0.00,0.00,21.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report,2021-09-25,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Nice,9,3,6,66.7,0,3.4,+0.4,0,0,0,0,6,16,37.5,22,6,36.4,32.5,11,72.7,51.6,13,0,0.0,4,18.6,Match Report,2021-09-25,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Nice,421,554,76.0,7473,2864,197,228,86.4,150,179,83.8,55,102,53.9,0,0.5,0.7,8,43,5,2,51,Match Report,2021-09-25,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Nice,554,491,58,14,1,9,20,27,2,1,1,0,421,5,8,Match Report,2021-09-25,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Nice,19,12,3,1,1,2,0,0,0,0,0,0,0,0,Match Report,2021-09-25,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Nice,19,13,10,6,3,6,25,24.0,19,10,1,9,10,29,17,0,Match Report,2021-09-25,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Nice,59,676,57,175,322,182,18,676,23,14,60.9,9,39.1,394,1684,741,17,15,4,19,10,420,51,Match Report,2021-09-25,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Home,L,0,3,Nice,0,0,0,9,12,5,20,10,13,0,0,0,72,16,17,48.5,Match Report
2021-10-03,20:45 (11:45),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Lyon,1,17,5,29.4,0.00,0.00,23.5,0,1,1,2.3,1.6,0.10,-1.3,-1.6,Match Report,2021-10-03,20:45 (11:45),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Lyon,5,1,4,80.0,0,1.3,+0.3,0,0,0,0,4,17,23.5,26,7,46.2,35.8,5,100.0,65.0,9,0,0.0,2,15.8,Match Report,2021-10-03,20:45 (11:45),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Lyon,302,403,74.9,5606,2002,156,181,86.2,103,134,76.9,41,73,56.2,0,1.4,1.4,13,22,9,3,34,Match Report,2021-10-03,20:45 (11:45),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Lyon,403,352,48,13,1,3,22,22,6,4,0,0,302,3,9,Match Report,2021-10-03,20:45 (11:45),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Lyon,27,18,2,2,3,1,1,1,0,0,0,1,0,0,Match Report,2021-10-03,20:45 (11:45),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Lyon,14,8,10,4,0,6,12,50.0,6,20,7,13,17,31,10,0,Match Report,2021-10-03,20:45 (11:45),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Lyon,44,517,53,180,218,133,33,516,16,14,87.5,2,12.5,263,1514,909,17,13,9,20,6,299,33,Match Report,2021-10-03,20:45 (11:45),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Lyon,2,0,0,14,8,3,22,17,8,0,0,0,51,9,16,36.0,Match Report
2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,5,Strasbourg,1,3,1,33.3,0.00,0.00,20.8,0,1,1,1.0,0.2,0.07,0.0,-0.2,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,5,Strasbourg,6,5,2,16.7,0,3.8,-0.2,0,0,0,0,8,13,61.5,27,7,29.6,30.9,7,71.4,50.0,16,1,6.3,0,9.8,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,5,Strasbourg,388,465,83.4,7031,2306,165,182,90.7,161,185,87.0,44,69,63.8,0,0.2,0.5,3,15,4,2,23,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,5,Strasbourg,465,412,50,17,1,6,18,16,4,1,1,0,388,3,3,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,5,Strasbourg,6,1,2,0,0,3,0,1,0,0,0,0,1,0,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,5,Strasbourg,17,9,7,5,5,3,13,23.1,10,10,1,9,7,24,15,0,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,5,Strasbourg,48,567,57,186,273,112,15,566,13,7,53.8,6,46.2,344,1517,787,16,11,6,21,13,386,23,Match Report,2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,5,Strasbourg,2,1,0,10,18,3,18,7,9,1,0,1,46,9,10,47.4,Match Report
