Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,L,1,4,Lille,1,10,2,20.0,0.10,0.50,16.3,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report,2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,L,1,4,Lille,6,4,2,33.3,0,1.8,-2.2,0,0,0,0,8,16,50.0,29,2,34.5,32.4,10,60.0,42.2,9,0,0.0,0,,Match Report,2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,L,1,4,Lille,367,445,82.5,6901,2650,159,177,89.8,142,158,89.9,54,89,60.7,1,0.6,0.7,10,21,8,0,41,Match Report,2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,L,1,4,Lille,445,390,51,12,0,7,15,22,2,0,1,0,367,4,7,Match Report,2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,L,1,4,Lille,19,14,3,0,0,2,0,2,2,0,0,0,0,0,Match Report,2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,L,1,4,Lille,16,10,9,5,2,8,15,53.3,7,9,5,4,8,24,19,2,Match Report,2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,L,1,4,Lille,41,532,73,198,220,116,19,532,23,10,43.5,9,39.1,390,2021,677,12,12,1,9,5,365,41,Match Report,2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,L,1,4,Lille,1,0,0,9,10,4,15,8,10,0,0,0,47,7,6,53.8,Match Report
2022-08-14,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Angers,1,11,4,36.4,0.09,0.25,25.9,1,0,0,0.8,0.8,0.08,+0.2,+0.2,Match Report,2022-08-14,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Angers,2,2,0,0.0,0,0.8,-1.2,0,0,0,0,8,22,36.4,22,0,59.1,44.9,9,100.0,64.3,18,0,0.0,0,8.0,Match Report,2022-08-14,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Angers,271,364,74.5,5495,2132,114,133,85.7,100,122,82.0,46,88,52.3,1,0.8,0.4,7,25,3,1,26,Match Report,2022-08-14,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Angers,364,316,47,13,1,10,15,18,4,0,3,0,271,1,10,Match Report,2022-08-14,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Angers,17,12,1,1,1,2,0,2,2,0,0,0,0,0,Match Report,2022-08-14,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Angers,23,11,15,7,1,12,21,57.1,9,9,3,6,14,37,20,0,Match Report,2022-08-14,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Angers,40,477,69,179,205,98,11,477,15,7,46.7,6,40.0,302,1594,720,10,6,1,17,3,269,25,Match Report,2022-08-14,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,2,2,Angers,5,1,1,10,15,1,15,14,11,0,0,0,53,16,17,48.5,Match Report
2022-08-21,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,W,2,1,Montpellier,2,6,1,16.7,0.17,1.00,25.9,0,1,1,1.3,0.5,0.08,+0.7,+0.5,Match Report,2022-08-21,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,W,2,1,Montpellier,7,1,6,85.7,0,1.1,+0.1,0,0,0,0,7,17,41.2,20,5,50.0,42.7,8,87.5,57.4,20,0,0.0,1,10.7,Match Report,2022-08-21,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,W,2,1,Montpellier,275,340,80.9,5646,2127,91,109,83.5,132,145,91.0,40,68,58.8,1,0.5,0.2,5,19,3,1,25,Match Report,2022-08-21,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,W,2,1,Montpellier,340,307,33,11,0,7,11,10,2,0,2,0,275,0,7,Match Report,2022-08-21,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,W,2,1,Montpellier,12,7,1,2,1,1,0,4,1,0,2,0,1,0,Match Report,2022-08-21,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,W,2,1,Montpellier,17,11,9,8,0,8,21,38.1,13,9,3,6,9,26,30,0,Match Report,2022-08-21,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,W,2,1,Montpellier,36,452,66,188,204,60,7,451,15,6,40.0,6,40.0,307,1700,752,10,10,2,14,6,273,24,Match Report,2022-08-21,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,W,2,1,Montpellier,3,2,1,13,10,0,11,9,11,1,0,0,41,11,8,57.9,Match Report
2022-08-27,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,W,1,0,Strasbourg,1,7,3,42.9,0.14,0.33,21.6,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Match Report,2022-08-27,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,W,1,0,Strasbourg,4,0,4,100.0,1,1.0,+1.0,0,0,0,0,8,24,33.3,26,5,53.8,41.8,10,100.0,59.9,18,0,0.0,0,9.5,Match Report,2022-08-27,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,W,1,0,Strasbourg,374,481,77.8,7709,2450,141,162,87.0,133,164,81.1,80,123,65.0,1,0.6,0.7,5,21,6,0,29,Match Report,2022-08-27,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,W,1,0,Strasbourg,481,437,39,8,0,13,15,18,2,1,1,0,374,5,4,Match Report,2022-08-27,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,W,1,0,Strasbourg,14,13,1,0,0,0,0,2,2,0,0,0,0,0,Match Report,2022-08-27,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,W,1,0,Strasbourg,10,3,3,5,2,3,12,25.0,9,7,2,5,12,22,38,1,Match Report,2022-08-27,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,W,1,0,Strasbourg,42,591,84,215,256,124,17,591,16,7,43.8,7,43.8,417,2257,1039,18,12,4,12,4,370,29,Match Report,2022-08-27,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,W,1,0,Strasbourg,0,0,0,4,6,5,15,12,3,0,0,0,56,13,24,35.1,Match Report
2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,L,1,2,Lyon,1,6,2,33.3,0.17,0.50,13.3,0,0,0,0.7,0.7,0.12,+0.3,+0.3,Match Report,2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,L,1,2,Lyon,7,2,5,71.4,0,1.7,-0.3,0,0,0,0,8,22,36.4,29,3,48.3,38.8,9,88.9,59.6,16,0,0.0,2,28.0,Match Report,2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,L,1,2,Lyon,303,401,75.6,5522,2171,138,161,85.7,108,133,81.2,40,73,54.8,1,0.7,0.6,4,27,7,4,32,Match Report,2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,L,1,2,Lyon,401,360,41,15,1,7,20,11,3,1,2,0,303,0,8,Match Report,2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,L,1,2,Lyon,9,8,1,0,0,0,0,1,1,0,0,0,0,0,Match Report,2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,L,1,2,Lyon,15,11,11,4,0,8,20,40.0,12,16,9,7,18,33,29,0,Match Report,2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,L,1,2,Lyon,38,527,79,227,209,98,9,527,19,10,52.6,6,31.6,344,2039,725,15,5,2,16,12,299,32,Match Report,2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,L,1,2,Lyon,2,0,0,13,13,0,20,18,11,0,0,0,54,15,5,75.0,Match Report
2022-09-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,L,0,2,Marseille,0,8,2,25.0,0.00,0.00,22.9,1,0,0,0.6,0.6,0.08,-0.6,-0.6,Match Report,2022-09-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,L,0,2,Marseille,7,2,5,71.4,0,2.0,0.0,0,0,0,0,7,17,41.2,24,4,50.0,36.1,8,62.5,43.1,7,0,0.0,1,16.0,Match Report,2022-09-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,L,0,2,Marseille,387,479,80.8,7831,2455,149,171,87.1,164,182,90.1,60,100,60.0,0,0.6,0.7,6,39,5,0,38,Match Report,2022-09-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,L,0,2,Marseille,479,427,51,15,1,12,15,21,4,0,3,0,387,1,9,Match Report,2022-09-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,L,0,2,Marseille,14,10,0,1,0,1,2,0,0,0,0,0,0,0,Match Report,2022-09-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,L,0,2,Marseille,23,10,12,9,2,15,26,57.7,11,6,1,5,21,44,16,0,Match Report,2022-09-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,L,0,2,Marseille,48,599,64,183,294,130,6,599,16,5,31.3,8,50.0,423,2630,1219,19,19,2,16,10,381,38,Match Report,2022-09-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,L,0,2,Marseille,1,0,0,8,13,1,15,21,10,0,0,0,52,12,8,60.0,Match Report
2022-09-11,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Away,L,0,5,Rennes,0,7,3,42.9,0.00,0.00,15.5,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Match Report,2022-09-11,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Away,L,0,5,Rennes,8,5,3,37.5,0,4.7,-0.3,0,0,0,0,2,9,22.2,32,4,25.0,31.6,2,50.0,49.5,5,0,0.0,1,17.0,Match Report,2022-09-11,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Away,L,0,5,Rennes,439,546,80.4,8292,2540,167,187,89.3,180,208,86.5,67,108,62.0,0,0.6,0.6,6,34,10,3,48,Match Report,2022-09-11,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Away,L,0,5,Rennes,546,495,48,13,1,11,14,26,1,0,0,0,439,3,10,Match Report,2022-09-11,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Away,L,0,5,Rennes,12,12,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,2022-09-11,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Away,L,0,5,Rennes,17,10,6,9,2,8,20,40.0,12,6,2,4,11,28,7,1,Match Report,2022-09-11,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Away,L,0,5,Rennes,52,634,49,176,323,142,20,634,18,7,38.9,8,44.4,475,2797,1221,15,10,3,13,11,430,48,Match Report,2022-09-11,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Away,L,0,5,Rennes,1,0,0,9,11,3,14,11,10,0,0,0,59,13,15,46.4,Match Report
2022-09-16,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Home,L,1,3,Lorient,1,17,5,29.4,0.06,0.20,14.8,1,0,0,2.0,2.0,0.13,-1.0,-1.0,Match Report,2022-09-16,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Home,L,1,3,Lorient,8,3,5,62.5,0,2.4,-0.6,0,0,0,0,6,7,85.7,26,4,19.2,30.7,3,66.7,45.3,9,0,0.0,1,22.3,Match Report,2022-09-16,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Home,L,1,3,Lorient,474,569,83.3,10063,3265,157,183,85.8,200,228,87.7,102,130,78.5,0,1.1,1.5,11,50,11,6,63,Match Report,2022-09-16,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Home,L,1,3,Lorient,569,524,45,10,1,7,37,19,9,3,4,0,474,0,5,Match Report,2022-09-16,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Home,L,1,3,Lorient,27,14,6,1,4,2,0,1,0,0,0,1,0,0,Match Report,2022-09-16,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Home,L,1,3,Lorient,21,10,7,12,2,7,13,53.8,6,13,2,11,11,32,16,0,Match Report,2022-09-16,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Home,L,1,3,Lorient,56,688,69,199,291,205,26,688,24,10,41.7,11,45.8,498,2704,1180,13,11,2,13,6,471,61,Match Report,2022-09-16,21:00 (12:00),Ligue 1,Matchweek 8,Fri,Home,L,1,3,Lorient,3,0,0,13,11,0,37,11,10,0,0,0,62,13,14,48.1,Match Report
2022-10-02,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Brest,1,10,2,20.0,0.00,0.00,23.2,0,1,1,1.4,0.6,0.07,-0.4,-0.6,Match Report,2022-10-02,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Brest,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,3,6,50.0,19,5,15.8,23.3,8,37.5,36.0,17,0,0.0,2,18.7,Match Report,2022-10-02,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Brest,395,469,84.2,7739,2777,133,150,88.7,193,217,88.9,59,88,67.0,0,0.5,0.5,7,24,6,4,31,Match Report,2022-10-02,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Brest,469,428,41,19,1,3,14,12,0,0,0,0,395,0,4,Match Report,2022-10-02,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Brest,20,12,1,2,1,4,0,2,0,0,0,0,2,0,Match Report,2022-10-02,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Brest,16,10,7,3,6,6,12,50.0,6,6,2,4,15,31,26,0,Match Report,2022-10-02,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Brest,48,586,56,186,301,104,16,585,28,14,50.0,6,21.4,427,2762,1195,14,13,2,17,7,393,31,Match Report,2022-10-02,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Brest,3,1,1,15,17,0,14,15,10,1,0,0,55,13,17,43.3,Match Report
2022-10-09,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,2,Clermont Foot,1,14,4,28.6,0.07,0.25,22.4,0,0,0,1.0,1.0,0.07,0.0,0.0,Match Report,2022-10-09,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,2,Clermont Foot,6,2,4,66.7,0,2.3,+0.3,0,0,0,0,3,7,42.9,24,8,20.8,30.0,2,100.0,66.5,12,0,0.0,0,3.0,Match Report,2022-10-09,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,2,Clermont Foot,393,475,82.7,8065,2582,147,160,91.9,165,191,86.4,68,98,69.4,1,0.8,0.4,8,27,2,0,43,Match Report,2022-10-09,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,2,Clermont Foot,475,438,37,9,0,17,17,19,4,2,2,0,393,0,8,Match Report,2022-10-09,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,2,Clermont Foot,18,15,1,0,2,0,0,1,0,0,0,1,0,0,Match Report,2022-10-09,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,2,Clermont Foot,18,11,9,7,2,10,23,43.5,13,11,2,9,12,30,18,0,Match Report,2022-10-09,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,2,Clermont Foot,52,594,69,188,271,142,15,594,19,8,42.1,10,52.6,425,2339,970,17,17,6,20,7,390,43,Match Report,2022-10-09,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,L,1,2,Clermont Foot,0,0,0,17,4,0,17,12,11,0,0,0,55,7,10,41.2,Match Report
