Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2022-07-31,21:00 (11:00),Trophée des Champions,Trophée des Champions,Sun,Neutral,L,0,4,Paris S-G,0,8,2,25.0,0.00,0.00,,,0,0,,,,,,Match Report,2022-07-31,21:00 (11:00),Trophée des Champions,Trophée des Champions,Sun,Neutral,L,0,4,Paris S-G,7,4,4,57.1,0,,,1,1,0,0,,,,,,,,,,,,,,,,Match Report,2022-07-31,21:00 (11:00),Trophée des Champions,Trophée des Champions,Sun,Neutral,L,0,4,Paris S-G,,,,,,,,,,,,,,,,,,,,,,,Match Report,2022-07-31,21:00 (11:00),Trophée des Champions,Trophée des Champions,Sun,Neutral,L,0,4,Paris S-G,,,,,,,15,,,,,,,,,Match Report,2022-07-31,21:00 (11:00),Trophée des Champions,Trophée des Champions,Sun,Neutral,L,0,4,Paris S-G,,,,,,,,,,,,,,,Match Report,2022-07-31,21:00 (11:00),Trophée des Champions,Trophée des Champions,Sun,Neutral,L,0,4,Paris S-G,,5,,,,,,,,,,,6,0,,,Match Report,2022-07-31,21:00 (11:00),Trophée des Champions,Trophée des Champions,Sun,Neutral,L,0,4,Paris S-G,38,,,,,,,,,,,,,,,,,,,,,,,Match Report,2022-07-31,21:00 (11:00),Trophée des Champions,Trophée des Champions,Sun,Neutral,L,0,4,Paris S-G,2,1,0,15,13,0,15,6,5,,,,,,,,Match Report
2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Angers,0,14,3,21.4,0.00,0.00,15.4,1,0,0,1.5,1.5,0.12,-1.5,-1.5,Match Report,2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Angers,6,0,6,100.0,1,1.6,+1.6,0,0,0,0,6,17,35.3,22,6,50.0,42.2,9,66.7,52.8,14,1,7.1,0,8.5,Match Report,2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Angers,312,429,72.7,6246,2651,116,143,81.1,131,166,78.9,53,97,54.6,0,1.3,0.6,11,42,6,3,45,Match Report,2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Angers,429,367,59,15,0,7,17,28,6,1,4,0,312,3,10,Match Report,2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Angers,23,13,4,1,4,1,0,0,0,0,0,0,0,0,Match Report,2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Angers,19,13,11,7,1,9,20,45.0,11,8,3,5,8,27,20,0,Match Report,2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Angers,51,532,61,166,255,120,26,532,13,4,30.8,9,69.2,349,2126,1088,17,10,5,15,14,310,45,Match Report,2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Angers,3,0,0,13,14,3,17,8,13,0,0,0,60,20,16,55.6,Match Report
2022-08-12,21:00 (12:00),Ligue 1,Matchweek 2,Fri,Home,D,1,1,Lille,1,10,1,10.0,0.10,1.00,18.6,1,0,0,1.0,1.0,0.10,0.0,0.0,Match Report,2022-08-12,21:00 (12:00),Ligue 1,Matchweek 2,Fri,Home,D,1,1,Lille,4,1,3,75.0,0,1.8,+0.8,0,0,0,0,3,12,25.0,19,4,47.4,40.0,7,42.9,36.7,20,0,0.0,0,8.3,Match Report,2022-08-12,21:00 (12:00),Ligue 1,Matchweek 2,Fri,Home,D,1,1,Lille,196,307,63.8,3796,1544,89,114,78.1,65,98,66.3,35,79,44.3,1,1.0,0.4,8,17,4,1,17,Match Report,2022-08-12,21:00 (12:00),Ligue 1,Matchweek 2,Fri,Home,D,1,1,Lille,307,255,52,10,1,6,15,28,5,1,3,0,196,0,9,Match Report,2022-08-12,21:00 (12:00),Ligue 1,Matchweek 2,Fri,Home,D,1,1,Lille,17,10,2,1,1,3,0,1,0,0,0,1,0,0,Match Report,2022-08-12,21:00 (12:00),Ligue 1,Matchweek 2,Fri,Home,D,1,1,Lille,23,13,12,6,5,9,14,64.3,5,14,7,7,21,44,31,0,Match Report,2022-08-12,21:00 (12:00),Ligue 1,Matchweek 2,Fri,Home,D,1,1,Lille,31,455,71,196,182,85,16,455,16,7,43.8,6,37.5,239,1458,681,11,8,6,16,12,193,16,Match Report,2022-08-12,21:00 (12:00),Ligue 1,Matchweek 2,Fri,Home,D,1,1,Lille,1,0,0,14,8,0,15,21,13,0,0,0,65,18,15,54.5,Match Report
2022-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Away,L,1,2,Marseille,1,11,2,18.2,0.00,0.00,18.6,0,1,1,2.2,1.4,0.13,-1.2,-1.4,Match Report,2022-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Away,L,1,2,Marseille,5,2,4,60.0,0,0.6,-0.4,0,0,0,0,6,22,27.3,26,2,57.7,43.7,8,87.5,62.6,12,1,8.3,1,10.9,Match Report,2022-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Away,L,1,2,Marseille,309,411,75.2,6091,2069,117,138,84.8,136,170,80.0,48,88,54.5,0,1.4,1.1,10,31,6,2,42,Match Report,2022-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Away,L,1,2,Marseille,411,358,52,17,0,4,22,20,4,1,3,0,309,1,6,Match Report,2022-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Away,L,1,2,Marseille,21,16,2,1,1,1,0,2,1,0,0,0,1,0,Match Report,2022-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Away,L,1,2,Marseille,16,12,8,5,3,9,19,47.4,10,14,6,8,10,26,26,0,Match Report,2022-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Away,L,1,2,Marseille,44,533,77,169,233,139,16,532,26,12,46.2,13,50.0,355,1910,926,21,20,4,13,7,307,42,Match Report,2022-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Away,L,1,2,Marseille,1,0,0,6,14,1,22,10,12,1,0,1,57,15,17,46.9,Match Report
2022-08-28,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,W,3,1,Toulouse,3,16,8,50.0,0.19,0.38,14.5,0,0,0,1.5,1.5,0.10,+1.5,+1.5,Match Report,2022-08-28,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,W,3,1,Toulouse,3,1,2,66.7,0,0.3,-0.7,0,0,0,0,5,14,35.7,27,7,25.9,31.1,10,70.0,54.2,12,3,25.0,0,3.3,Match Report,2022-08-28,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,W,3,1,Toulouse,364,461,79.0,6807,2549,159,178,89.3,149,176,84.7,46,87,52.9,3,1.3,1.0,13,39,11,6,39,Match Report,2022-08-28,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,W,3,1,Toulouse,461,411,48,11,0,4,19,21,4,1,3,0,364,2,5,Match Report,2022-08-28,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,W,3,1,Toulouse,27,19,4,4,0,0,0,6,5,0,1,0,0,0,Match Report,2022-08-28,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,W,3,1,Toulouse,13,5,7,5,1,5,13,38.5,8,7,3,4,14,27,12,1,Match Report,2022-08-28,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,W,3,1,Toulouse,50,557,62,144,276,146,27,557,24,14,58.3,9,37.5,395,2189,947,16,9,2,13,7,359,38,Match Report,2022-08-28,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,W,3,1,Toulouse,0,0,0,11,8,2,19,14,5,0,0,0,48,9,19,32.1,Match Report
2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,D,1,1,Strasbourg,1,12,3,25.0,0.08,0.33,18.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Match Report,2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,D,1,1,Strasbourg,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,3,9,33.3,33,7,18.2,31.8,5,60.0,43.6,10,1,10.0,2,19.3,Match Report,2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,D,1,1,Strasbourg,459,567,81.0,9059,3029,165,191,86.4,220,251,87.6,62,101,61.4,1,1.1,0.5,11,40,5,3,47,Match Report,2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,D,1,1,Strasbourg,567,520,45,13,0,12,22,19,6,1,4,0,459,2,9,Match Report,2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,D,1,1,Strasbourg,22,19,1,1,0,1,0,2,2,0,0,0,0,0,Match Report,2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,D,1,1,Strasbourg,17,13,11,6,0,6,17,35.3,11,10,2,8,13,30,19,0,Match Report,2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,D,1,1,Strasbourg,54,693,55,191,376,134,18,693,18,7,38.9,8,44.4,504,2885,1421,23,18,1,15,11,457,47,Match Report,2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,D,1,1,Strasbourg,3,0,0,18,13,2,22,13,13,0,0,0,60,18,13,58.1,Match Report
2022-09-03,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,0,3,Paris S-G,0,10,1,10.0,0.00,0.00,19.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2022-09-03,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,0,3,Paris S-G,6,3,3,50.0,0,1.9,-1.1,0,0,0,0,0,11,0.0,33,9,30.3,30.8,3,33.3,31.3,9,0,0.0,0,3.3,Match Report,2022-09-03,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,0,3,Paris S-G,411,486,84.6,6761,2130,189,207,91.3,175,193,90.7,31,67,46.3,0,0.4,0.3,9,34,6,2,26,Match Report,2022-09-03,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,0,3,Paris S-G,486,461,24,13,1,4,9,3,1,0,1,0,411,1,4,Match Report,2022-09-03,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,0,3,Paris S-G,18,12,1,5,0,0,0,0,0,0,0,0,0,0,Match Report,2022-09-03,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,0,3,Paris S-G,23,14,14,5,4,11,28,39.3,17,20,7,13,16,39,10,0,Match Report,2022-09-03,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,0,3,Paris S-G,40,589,77,210,290,94,13,589,22,11,50.0,9,40.9,466,2705,1236,19,9,3,7,3,406,26,Match Report,2022-09-03,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,L,0,3,Paris S-G,1,1,0,6,12,1,9,16,14,0,0,0,55,6,6,50.0,Match Report
2022-09-08,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,1,gr Olympiacos,2,14,5,35.7,0.14,0.40,14.2,0,0,0,1.2,1.2,0.08,+0.8,+0.8,Match Report,2022-09-08,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,1,gr Olympiacos,0,1,0,,0,0.0,0.0,0,0,0,0,2,8,25.0,17,2,35.3,36.1,3,66.7,54.3,4,0,0.0,3,19.2,Match Report,2022-09-08,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,1,gr Olympiacos,452,556,81.3,8215,2580,188,211,89.1,219,246,89.0,41,76,53.9,2,1.0,1.0,11,39,6,3,52,Match Report,2022-09-08,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,1,gr Olympiacos,556,515,39,8,0,5,35,16,10,6,2,0,452,2,11,Match Report,2022-09-08,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,1,gr Olympiacos,24,17,4,1,1,1,0,4,4,0,0,0,0,0,Match Report,2022-09-08,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,1,gr Olympiacos,17,12,9,4,4,5,10,50.0,5,12,2,10,6,23,4,0,Match Report,2022-09-08,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,1,gr Olympiacos,53,648,28,163,326,168,25,648,26,15,57.7,10,38.5,440,2500,1291,31,19,7,17,10,448,51,Match Report,2022-09-08,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,1,gr Olympiacos,3,0,0,9,6,2,35,6,12,0,0,1,60,15,10,60.0,Match Report
2022-09-11,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Away,L,2,3,Lorient,2,9,4,44.4,0.22,0.50,16.9,0,0,0,0.5,0.5,0.06,+1.5,+1.5,Match Report,2022-09-11,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Away,L,2,3,Lorient,5,3,2,40.0,0,2.2,-0.8,0,0,0,0,2,9,22.2,23,3,21.7,33.0,5,80.0,49.4,8,0,0.0,0,13.3,Match Report,2022-09-11,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Away,L,2,3,Lorient,420,519,80.9,8081,2697,147,167,88.0,210,237,88.6,53,91,58.2,2,0.5,1.1,7,48,7,4,48,Match Report,2022-09-11,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Away,L,2,3,Lorient,519,475,43,10,1,2,26,19,5,0,4,0,420,1,11,Match Report,2022-09-11,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Away,L,2,3,Lorient,17,11,4,1,0,1,0,3,2,1,0,0,0,0,Match Report,2022-09-11,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Away,L,2,3,Lorient,21,12,12,3,6,13,27,48.1,14,14,5,9,10,31,9,1,Match Report,2022-09-11,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Away,L,2,3,Lorient,52,620,49,142,331,152,22,620,26,13,50.0,11,42.3,453,2364,1201,18,6,3,9,13,420,48,Match Report,2022-09-11,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Away,L,2,3,Lorient,3,0,0,17,9,1,26,10,12,0,0,0,56,17,12,58.6,Match Report
2022-09-15,20:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,3,az Qarabağ,0,12,4,33.3,0.00,0.00,15.3,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report,2022-09-15,20:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,3,az Qarabağ,7,3,4,57.1,0,2.6,-0.4,0,0,0,0,3,12,25.0,19,5,47.4,37.3,6,50.0,36.8,10,0,0.0,1,18.3,Match Report,2022-09-15,20:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,3,az Qarabağ,242,359,67.4,4384,2009,106,137,77.4,99,142,69.7,30,66,45.5,0,0.5,0.5,10,18,7,4,27,Match Report,2022-09-15,20:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,3,az Qarabağ,359,309,50,8,1,3,18,27,5,4,1,0,242,0,2,Match Report,2022-09-15,20:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,3,az Qarabağ,20,13,4,0,3,0,0,0,0,0,0,0,0,0,Match Report,2022-09-15,20:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,3,az Qarabağ,23,9,10,11,2,16,29,55.2,13,14,4,10,13,36,25,0,Match Report,2022-09-15,20:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,3,az Qarabağ,40,502,64,165,245,99,23,502,15,7,46.7,6,40.0,209,1313,536,19,11,4,26,18,240,27,Match Report,2022-09-15,20:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,3,az Qarabağ,1,0,0,6,7,0,18,13,9,0,0,0,59,17,14,54.8,Match Report
