Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,2.0,2.0,Montpellier,2,12,4,33.3,0.17,0.5,20.7,0.0,0,0,1.0,1.0,0.09,1.0,1.0,Match Report,2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,2.0,2.0,Montpellier,5,2,3,60.0,0,1.4,-0.6,0,0,0,0,4.0,12.0,33.3,15.0,5.0,33.3,34.3,10.0,90.0,58.8,15.0,1.0,6.7,1.0,12.3,Match Report,2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,2.0,2.0,Montpellier,283.0,393.0,72.0,5057.0,2096.0,118.0,149.0,79.2,128.0,165.0,77.6,26.0,60.0,43.3,2,1.0,0.5,11.0,22.0,5.0,0.0,37.0,Match Report,2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,2.0,2.0,Montpellier,393.0,344.0,49.0,13.0,0.0,1.0,10,21.0,2.0,2.0,0.0,0.0,283.0,0.0,9.0,Match Report,2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,2.0,2.0,Montpellier,22.0,13.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,Match Report,2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,2.0,2.0,Montpellier,12.0,10,8.0,3.0,1.0,6.0,14.0,42.9,8.0,14.0,4.0,10.0,9,21,20.0,0.0,Match Report,2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,2.0,2.0,Montpellier,42.0,510.0,54.0,158.0,214.0,146.0,20.0,510.0,26.0,9.0,34.6,15.0,57.7,332.0,2243.0,1103.0,22.0,26.0,3.0,17.0,2.0,276.0,36.0,Match Report,2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,2.0,2.0,Montpellier,2,0,0,12,8,0,10,9,10,0.0,0.0,0,66.0,17.0,18.0,48.6,Match Report
2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,1.0,2.0,Brest,1,18,7,38.9,0.06,0.14,18.2,0.0,0,0,1.2,1.2,0.07,-0.2,-0.2,Match Report,2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,1.0,2.0,Brest,5,2,3,60.0,0,1.7,-0.3,0,0,0,0,4.0,10.0,40.0,25.0,4.0,40.0,30.5,5.0,0.0,18.0,13.0,1.0,7.7,0.0,7.7,Match Report,2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,1.0,2.0,Brest,390.0,507.0,76.9,6670.0,2541.0,173.0,208.0,83.2,167.0,202.0,82.7,33.0,65.0,50.8,1,1.2,1.6,16.0,28.0,11.0,3.0,48.0,Match Report,2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,1.0,2.0,Brest,507.0,452.0,51.0,17.0,0.0,0.0,16,21.0,5.0,2.0,2.0,0.0,390.0,4.0,12.0,Match Report,2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,1.0,2.0,Brest,33.0,26.0,4.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,1.0,2.0,Brest,15.0,9,7.0,7.0,1.0,11.0,17.0,64.7,6.0,4.0,2.0,2.0,6,21,13.0,1.0,Match Report,2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,1.0,2.0,Brest,56.0,619.0,59.0,201.0,271.0,155.0,26.0,619.0,32.0,20.0,62.5,10.0,31.3,424.0,2154.0,991.0,13.0,13.0,4.0,17.0,13.0,386.0,48.0,Match Report,2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,1.0,2.0,Brest,0,0,0,18,15,4,16,6,9,0.0,0.0,0,58.0,27.0,21.0,56.3,Match Report
2023-08-27,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,2.0,2.0,Rennes,2,7,3,42.9,0.29,0.67,18.4,0.0,0,0,0.4,0.4,0.06,1.6,1.6,Match Report,2023-08-27,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,2.0,2.0,Rennes,7,2,5,71.4,0,2.5,0.5,0,0,0,0,5.0,16.0,31.3,11.0,0.0,72.7,45.3,8.0,100.0,60.9,17.0,0.0,0.0,0.0,,Match Report,2023-08-27,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,2.0,2.0,Rennes,378.0,471.0,80.3,6839.0,2090.0,157.0,182.0,86.3,185.0,211.0,87.7,29.0,60.0,48.3,2,0.4,0.7,6.0,18.0,8.0,2.0,25.0,Match Report,2023-08-27,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,2.0,2.0,Rennes,471.0,430.0,38.0,7.0,0.0,2.0,11,18.0,2.0,1.0,1.0,0.0,378.0,3.0,9.0,Match Report,2023-08-27,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,2.0,2.0,Rennes,11.0,9.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-08-27,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,2.0,2.0,Rennes,28.0,19,15.0,11.0,2.0,14.0,32.0,43.8,18.0,13.0,6.0,7.0,19,47,18.0,1.0,Match Report,2023-08-27,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,2.0,2.0,Rennes,39.0,590.0,77.0,204.0,288.0,102.0,14.0,590.0,10.0,2.0,20.0,8.0,80.0,423.0,2071.0,822.0,4.0,7.0,1.0,11.0,10.0,378.0,25.0,Match Report,2023-08-27,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,2.0,2.0,Rennes,2,1,1,7,5,3,11,19,19,0.0,0.0,0,60.0,12.0,14.0,46.2,Match Report
2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,W,3.0,0.0,Lorient,3,17,6,35.3,0.18,0.5,17.8,0.0,0,0,2.0,2.0,0.12,1.0,1.0,Match Report,2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,W,3.0,0.0,Lorient,2,0,2,100.0,1,0.6,0.6,0,0,0,0,3.0,9.0,33.3,20.0,6.0,45.0,38.1,3.0,0.0,9.3,12.0,3.0,25.0,1.0,11.0,Match Report,2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,W,3.0,0.0,Lorient,405.0,486.0,83.3,7201.0,2445.0,171.0,189.0,90.5,176.0,198.0,88.9,43.0,74.0,58.1,3,1.6,1.4,13.0,25.0,10.0,4.0,39.0,Match Report,2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,W,3.0,0.0,Lorient,486.0,451.0,35.0,9.0,1.0,2.0,22,17.0,5.0,4.0,1.0,0.0,405.0,0.0,7.0,Match Report,2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,W,3.0,0.0,Lorient,29.0,24.0,1.0,1.0,2.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,Match Report,2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,W,3.0,0.0,Lorient,14.0,4,8.0,5.0,1.0,2.0,14.0,14.3,12.0,9.0,5.0,4.0,6,20,12.0,0.0,Match Report,2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,W,3.0,0.0,Lorient,44.0,574.0,48.0,171.0,296.0,116.0,24.0,574.0,11.0,7.0,63.6,4.0,36.4,433.0,2254.0,1266.0,17.0,16.0,3.0,7.0,5.0,401.0,38.0,Match Report,2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,W,3.0,0.0,Lorient,0,0,0,10,7,0,22,6,4,0.0,0.0,0,42.0,9.0,15.0,37.5,Match Report
2023-09-17,20:45 (11:45),Ligue 1,Matchweek 5,Sun,Away,D,0.0,0.0,Lyon,0,7,0,0.0,0.0,,23.3,1.0,0,0,0.8,0.8,0.11,-0.8,-0.8,Match Report,2023-09-17,20:45 (11:45),Ligue 1,Matchweek 5,Sun,Away,D,0.0,0.0,Lyon,7,0,7,100.0,1,2.6,2.6,0,0,0,0,8.0,15.0,53.3,26.0,9.0,38.5,34.5,8.0,62.5,44.9,16.0,0.0,0.0,0.0,,Match Report,2023-09-17,20:45 (11:45),Ligue 1,Matchweek 5,Sun,Away,D,0.0,0.0,Lyon,334.0,425.0,78.6,5802.0,2494.0,149.0,177.0,84.2,140.0,160.0,87.5,30.0,61.0,49.2,0,0.7,1.0,3.0,29.0,3.0,0.0,26.0,Match Report,2023-09-17,20:45 (11:45),Ligue 1,Matchweek 5,Sun,Away,D,0.0,0.0,Lyon,425.0,381.0,42.0,15.0,1.0,1.0,14,17.0,1.0,0.0,1.0,0.0,334.0,2.0,10.0,Match Report,2023-09-17,20:45 (11:45),Ligue 1,Matchweek 5,Sun,Away,D,0.0,0.0,Lyon,14.0,10.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-09-17,20:45 (11:45),Ligue 1,Matchweek 5,Sun,Away,D,0.0,0.0,Lyon,26.0,12,11.0,13.0,2.0,11.0,21.0,52.4,10.0,13.0,8.0,5.0,14,40,24.0,0.0,Match Report,2023-09-17,20:45 (11:45),Ligue 1,Matchweek 5,Sun,Away,D,0.0,0.0,Lyon,42.0,552.0,74.0,188.0,268.0,103.0,12.0,552.0,15.0,5.0,33.3,7.0,46.7,372.0,2027.0,893.0,11.0,13.0,3.0,11.0,11.0,333.0,26.0,Match Report,2023-09-17,20:45 (11:45),Ligue 1,Matchweek 5,Sun,Away,D,0.0,0.0,Lyon,2,0,0,12,13,2,14,14,12,0.0,0.0,0,47.0,17.0,11.0,60.7,Match Report
2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,W,2.0,1.0,Clermont Foot,2,9,3,33.3,0.22,0.67,16.0,0.0,0,0,1.3,1.3,0.15,0.7,0.7,Match Report,2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,W,2.0,1.0,Clermont Foot,4,1,3,75.0,0,1.1,0.1,0,0,0,0,6.0,17.0,35.3,27.0,10.0,51.9,42.1,7.0,42.9,37.3,22.0,3.0,13.6,0.0,5.0,Match Report,2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,W,2.0,1.0,Clermont Foot,231.0,322.0,71.7,4352.0,1926.0,90.0,117.0,76.9,95.0,113.0,84.1,34.0,72.0,47.2,2,1.3,0.5,9.0,18.0,4.0,1.0,21.0,Match Report,2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,W,2.0,1.0,Clermont Foot,322.0,280.0,42.0,18.0,0.0,1.0,6,14.0,1.0,0.0,1.0,0.0,231.0,0.0,8.0,Match Report,2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,W,2.0,1.0,Clermont Foot,18.0,14.0,2.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,Match Report,2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,W,2.0,1.0,Clermont Foot,12.0,5,7.0,3.0,2.0,7.0,17.0,41.2,10.0,17.0,5.0,12.0,17,29,16.0,0.0,Match Report,2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,W,2.0,1.0,Clermont Foot,32.0,431.0,65.0,196.0,152.0,85.0,10.0,431.0,17.0,6.0,35.3,6.0,35.3,281.0,1521.0,662.0,6.0,5.0,4.0,12.0,3.0,229.0,21.0,Match Report,2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,W,2.0,1.0,Clermont Foot,2,0,0,15,15,0,6,17,5,0.0,0.0,0,43.0,13.0,13.0,50.0,Match Report
2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,L,0.0,2.0,Lille,0,5,0,0.0,0.0,,14.6,0.0,0,0,0.8,0.8,0.17,-0.8,-0.8,Match Report,2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,L,0.0,2.0,Lille,6,2,5,66.7,0,1.0,0.0,0,0,0,0,2.0,10.0,20.0,20.0,4.0,40.0,30.9,6.0,33.3,35.5,18.0,1.0,5.6,0.0,14.3,Match Report,2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,L,0.0,2.0,Lille,350.0,435.0,80.5,6032.0,2124.0,142.0,161.0,88.2,176.0,198.0,88.9,23.0,53.0,43.4,0,0.7,0.3,4.0,17.0,3.0,0.0,26.0,Match Report,2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,L,0.0,2.0,Lille,435.0,388.0,41.0,7.0,0.0,1.0,14,19.0,6.0,3.0,2.0,0.0,350.0,6.0,6.0,Match Report,2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,L,0.0,2.0,Lille,9.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,L,0.0,2.0,Lille,18.0,8,8.0,9.0,1.0,9.0,23.0,39.1,14.0,12.0,3.0,9.0,8,26,22.0,0.0,Match Report,2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,L,0.0,2.0,Lille,38.0,530.0,60.0,216.0,243.0,76.0,12.0,530.0,12.0,5.0,41.7,6.0,50.0,371.0,1653.0,669.0,7.0,12.0,3.0,10.0,12.0,347.0,26.0,Match Report,2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,L,0.0,2.0,Lille,0,0,0,18,6,6,14,8,8,0.0,0.0,1,39.0,12.0,13.0,48.0,Match Report
2023-10-08,13:00 (04:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,3.0,Marseille,0,7,1,14.3,0.0,0.0,22.8,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Match Report,2023-10-08,13:00 (04:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,3.0,Marseille,6,3,4,50.0,0,2.1,0.1,0,0,0,0,2.0,2.0,100.0,14.0,5.0,14.3,26.6,7.0,0.0,18.9,7.0,1.0,14.3,0.0,11.7,Match Report,2023-10-08,13:00 (04:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,3.0,Marseille,345.0,417.0,82.7,6231.0,2084.0,129.0,146.0,88.4,170.0,190.0,89.5,31.0,57.0,54.4,0,0.1,0.1,4.0,18.0,1.0,0.0,30.0,Match Report,2023-10-08,13:00 (04:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,3.0,Marseille,417.0,386.0,30.0,7.0,4.0,0.0,9,9.0,3.0,2.0,1.0,0.0,345.0,1.0,5.0,Match Report,2023-10-08,13:00 (04:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,3.0,Marseille,12.0,7.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-08,13:00 (04:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,3.0,Marseille,19.0,10,9.0,10.0,0.0,6.0,10.0,60.0,4.0,11.0,3.0,8.0,9,28,15.0,0.0,Match Report,2023-10-08,13:00 (04:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,3.0,Marseille,36.0,518.0,63.0,230.0,244.0,53.0,6.0,518.0,15.0,9.0,60.0,6.0,40.0,387.0,2268.0,1099.0,12.0,10.0,2.0,13.0,8.0,343.0,30.0,Match Report,2023-10-08,13:00 (04:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,3.0,Marseille,3,1,1,16,6,1,9,9,10,0.0,0.0,1,48.0,3.0,7.0,30.0,Match Report
2023-10-20,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,D,0.0,0.0,Lens,0,14,4,28.6,0.0,0.0,15.7,0.0,0,0,1.6,1.6,0.12,-1.6,-1.6,Match Report,2023-10-20,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,D,0.0,0.0,Lens,7,0,7,100.0,1,1.0,1.0,0,0,0,0,9.0,23.0,39.1,31.0,4.0,58.1,42.3,8.0,62.5,45.6,14.0,0.0,0.0,2.0,29.5,Match Report,2023-10-20,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,D,0.0,0.0,Lens,323.0,428.0,75.5,5846.0,2608.0,139.0,161.0,86.3,128.0,164.0,78.0,40.0,75.0,53.3,0,0.8,0.8,11.0,20.0,5.0,1.0,32.0,Match Report,2023-10-20,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,D,0.0,0.0,Lens,428.0,367.0,60.0,13.0,2.0,1.0,15,35.0,3.0,0.0,3.0,0.0,323.0,1.0,8.0,Match Report,2023-10-20,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,D,0.0,0.0,Lens,25.0,18.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-20,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,D,0.0,0.0,Lens,13.0,8,4.0,6.0,3.0,4.0,8.0,50.0,4.0,13.0,3.0,10.0,13,26,18.0,0.0,Match Report,2023-10-20,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,D,0.0,0.0,Lens,40.0,553.0,59.0,169.0,250.0,138.0,22.0,553.0,18.0,8.0,44.4,10.0,55.6,357.0,1778.0,757.0,16.0,11.0,6.0,14.0,14.0,320.0,32.0,Match Report,2023-10-20,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,D,0.0,0.0,Lens,2,0,0,16,9,1,15,13,8,0.0,0.0,0,58.0,17.0,12.0,58.6,Match Report
2023-10-29,15:00 (07:00),Ligue 1,Matchweek 10,Sun,Away,D,0.0,0.0,Metz,0,12,2,16.7,0.0,0.0,18.5,1.0,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report,2023-10-29,15:00 (07:00),Ligue 1,Matchweek 10,Sun,Away,D,0.0,0.0,Metz,3,0,3,100.0,1,1.1,1.1,0,0,0,0,4.0,10.0,40.0,20.0,2.0,40.0,32.2,6.0,33.3,30.2,17.0,0.0,0.0,0.0,12.5,Match Report,2023-10-29,15:00 (07:00),Ligue 1,Matchweek 10,Sun,Away,D,0.0,0.0,Metz,425.0,529.0,80.3,7699.0,2760.0,167.0,202.0,82.7,203.0,228.0,89.0,41.0,73.0,56.2,0,0.4,0.8,9.0,31.0,10.0,2.0,54.0,Match Report,2023-10-29,15:00 (07:00),Ligue 1,Matchweek 10,Sun,Away,D,0.0,0.0,Metz,529.0,484.0,43.0,15.0,0.0,2.0,23,15.0,6.0,4.0,2.0,0.0,425.0,2.0,13.0,Match Report,2023-10-29,15:00 (07:00),Ligue 1,Matchweek 10,Sun,Away,D,0.0,0.0,Metz,23.0,19.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-29,15:00 (07:00),Ligue 1,Matchweek 10,Sun,Away,D,0.0,0.0,Metz,17.0,7,7.0,8.0,2.0,8.0,20.0,40.0,12.0,8.0,2.0,6.0,10,27,21.0,0.0,Match Report,2023-10-29,15:00 (07:00),Ligue 1,Matchweek 10,Sun,Away,D,0.0,0.0,Metz,58.0,633.0,60.0,198.0,302.0,138.0,20.0,633.0,16.0,10.0,62.5,6.0,37.5,461.0,2617.0,1246.0,14.0,17.0,5.0,13.0,6.0,424.0,54.0,Match Report,2023-10-29,15:00 (07:00),Ligue 1,Matchweek 10,Sun,Away,D,0.0,0.0,Metz,2,0,0,15,11,2,23,10,7,0.0,0.0,0,56.0,19.0,14.0,57.6,Match Report
