Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-12,21:00 (12:00),Ligue 1,Matchweek 1,Sat,Away,D,0.0,0.0,Paris S-G,0,4,0,0.0,0.0,,27.3,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report,2023-08-12,21:00 (12:00),Ligue 1,Matchweek 1,Sat,Away,D,0.0,0.0,Paris S-G,4,0,4,100.0,1,0.5,0.5,0,0,0,0,5.0,15.0,33.3,21.0,4.0,38.1,34.9,13.0,53.8,38.2,29.0,1.0,3.4,0.0,4.0,Match Report,2023-08-12,21:00 (12:00),Ligue 1,Matchweek 1,Sat,Away,D,0.0,0.0,Paris S-G,226.0,298.0,75.8,3881.0,1679.0,118.0,137.0,86.1,83.0,102.0,81.4,18.0,42.0,42.9,0,0.1,0.2,2.0,13.0,6.0,0.0,14.0,Match Report,2023-08-12,21:00 (12:00),Ligue 1,Matchweek 1,Sat,Away,D,0.0,0.0,Paris S-G,298.0,268.0,30.0,8.0,0.0,1.0,2,6.0,2.0,0.0,1.0,0.0,226.0,0.0,8.0,Match Report,2023-08-12,21:00 (12:00),Ligue 1,Matchweek 1,Sat,Away,D,0.0,0.0,Paris S-G,5.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-08-12,21:00 (12:00),Ligue 1,Matchweek 1,Sat,Away,D,0.0,0.0,Paris S-G,13.0,6,11.0,2.0,0.0,3.0,12.0,25.0,9.0,22.0,8.0,14.0,15,28,35.0,0.0,Match Report,2023-08-12,21:00 (12:00),Ligue 1,Matchweek 1,Sat,Away,D,0.0,0.0,Paris S-G,22.0,425.0,104.0,273.0,111.0,46.0,9.0,425.0,7.0,3.0,42.9,3.0,42.9,268.0,1532.0,599.0,7.0,6.0,1.0,17.0,7.0,223.0,14.0,Match Report,2023-08-12,21:00 (12:00),Ligue 1,Matchweek 1,Sat,Away,D,0.0,0.0,Paris S-G,0,0,0,6,8,0,2,15,6,0.0,0.0,0,55.0,12.0,9.0,57.1,Match Report
2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1.0,1.0,Nice,1,9,2,22.2,0.11,0.5,19.6,0.0,0,0,0.8,0.8,0.09,0.2,0.2,Match Report,2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1.0,1.0,Nice,8,1,7,87.5,0,1.3,0.3,0,0,0,0,3.0,13.0,23.1,34.0,8.0,23.5,31.3,8.0,62.5,47.8,19.0,2.0,10.5,0.0,6.0,Match Report,2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1.0,1.0,Nice,421.0,488.0,86.3,6787.0,2061.0,205.0,214.0,95.8,178.0,196.0,90.8,25.0,51.0,49.0,1,0.6,0.5,6.0,21.0,2.0,1.0,24.0,Match Report,2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1.0,1.0,Nice,488.0,452.0,33.0,11.0,2.0,1.0,6,12.0,0.0,0.0,0.0,0.0,421.0,3.0,9.0,Match Report,2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1.0,1.0,Nice,12.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1.0,1.0,Nice,21.0,12,15.0,6.0,0.0,13.0,22.0,59.1,9.0,11.0,6.0,5.0,7,28,24.0,0.0,Match Report,2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1.0,1.0,Nice,41.0,599.0,82.0,254.0,264.0,87.0,10.0,599.0,17.0,9.0,52.9,8.0,47.1,455.0,2389.0,1174.0,14.0,12.0,3.0,11.0,7.0,415.0,24.0,Match Report,2023-08-20,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1.0,1.0,Nice,1,0,0,8,10,3,6,7,12,0.0,0.0,0,45.0,10.0,11.0,47.6,Match Report
2023-08-27,17:05 (08:05),Ligue 1,Matchweek 3,Sun,Home,W,4.0,1.0,Lille,4,9,6,66.7,0.44,0.67,16.0,0.0,0,0,1.6,1.6,0.18,2.4,2.4,Match Report,2023-08-27,17:05 (08:05),Ligue 1,Matchweek 3,Sun,Home,W,4.0,1.0,Lille,7,1,6,85.7,0,1.9,0.9,0,0,0,0,8.0,17.0,47.1,31.0,4.0,45.2,39.0,11.0,27.3,25.6,23.0,1.0,4.3,0.0,4.5,Match Report,2023-08-27,17:05 (08:05),Ligue 1,Matchweek 3,Sun,Home,W,4.0,1.0,Lille,274.0,349.0,78.5,5094.0,2118.0,121.0,135.0,89.6,96.0,122.0,78.7,45.0,69.0,65.2,2,0.8,0.7,5.0,13.0,4.0,0.0,21.0,Match Report,2023-08-27,17:05 (08:05),Ligue 1,Matchweek 3,Sun,Home,W,4.0,1.0,Lille,349.0,304.0,43.0,12.0,2.0,4.0,8,13.0,5.0,3.0,0.0,0.0,274.0,2.0,8.0,Match Report,2023-08-27,17:05 (08:05),Ligue 1,Matchweek 3,Sun,Home,W,4.0,1.0,Lille,13.0,7.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,1.0,Match Report,2023-08-27,17:05 (08:05),Ligue 1,Matchweek 3,Sun,Home,W,4.0,1.0,Lille,21.0,12,14.0,5.0,2.0,15.0,27.0,55.6,12.0,14.0,6.0,8.0,13,34,21.0,0.0,Match Report,2023-08-27,17:05 (08:05),Ligue 1,Matchweek 3,Sun,Home,W,4.0,1.0,Lille,36.0,474.0,82.0,235.0,163.0,84.0,18.0,474.0,17.0,7.0,41.2,7.0,41.2,321.0,1863.0,852.0,11.0,6.0,5.0,15.0,10.0,272.0,21.0,Match Report,2023-08-27,17:05 (08:05),Ligue 1,Matchweek 3,Sun,Home,W,4.0,1.0,Lille,2,0,0,23,12,2,8,13,12,0.0,0.0,0,55.0,13.0,12.0,52.0,Match Report
2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0.0,3.0,Le Havre,0,9,2,22.2,0.0,0.0,19.2,1.0,0,0,0.7,0.7,0.08,-0.7,-0.7,Match Report,2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0.0,3.0,Le Havre,6,3,3,50.0,0,1.5,-1.5,0,0,0,0,7.0,11.0,63.6,27.0,4.0,25.9,28.9,9.0,44.4,31.2,19.0,1.0,5.3,0.0,8.7,Match Report,2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0.0,3.0,Le Havre,561.0,630.0,89.0,9979.0,3175.0,231.0,253.0,91.3,261.0,277.0,94.2,52.0,72.0,72.2,0,0.6,0.7,8.0,44.0,8.0,1.0,48.0,Match Report,2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0.0,3.0,Le Havre,630.0,590.0,38.0,9.0,1.0,5.0,16,13.0,4.0,0.0,1.0,0.0,561.0,2.0,5.0,Match Report,2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0.0,3.0,Le Havre,17.0,12.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0.0,3.0,Le Havre,9.0,5,3.0,4.0,2.0,4.0,11.0,36.4,7.0,10.0,3.0,7.0,6,15,23.0,1.0,Match Report,2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0.0,3.0,Le Havre,56.0,721.0,75.0,202.0,374.0,150.0,15.0,721.0,14.0,12.0,85.7,2.0,14.3,583.0,2788.0,1309.0,18.0,16.0,4.0,16.0,12.0,553.0,47.0,Match Report,2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0.0,3.0,Le Havre,0,0,0,7,10,2,16,6,5,0.0,0.0,0,36.0,15.0,9.0,62.5,Match Report
2023-09-17,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Home,D,2.0,2.0,Monaco,2,10,3,30.0,0.2,0.67,20.5,0.0,0,0,0.9,0.9,0.09,1.1,1.1,Match Report,2023-09-17,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Home,D,2.0,2.0,Monaco,6,2,4,66.7,0,1.6,-0.4,0,0,0,0,3.0,12.0,25.0,36.0,7.0,30.6,34.0,12.0,8.3,19.6,13.0,0.0,0.0,0.0,7.0,Match Report,2023-09-17,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Home,D,2.0,2.0,Monaco,345.0,434.0,79.5,6395.0,2693.0,144.0,157.0,91.7,151.0,185.0,81.6,44.0,73.0,60.3,2,0.9,1.0,9.0,39.0,7.0,0.0,42.0,Match Report,2023-09-17,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Home,D,2.0,2.0,Monaco,434.0,385.0,47.0,16.0,2.0,3.0,20,8.0,8.0,2.0,4.0,0.0,345.0,2.0,12.0,Match Report,2023-09-17,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Home,D,2.0,2.0,Monaco,20.0,17.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-09-17,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Home,D,2.0,2.0,Monaco,19.0,10,11.0,8.0,0.0,8.0,23.0,34.8,15.0,15.0,5.0,10.0,11,30,18.0,0.0,Match Report,2023-09-17,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Home,D,2.0,2.0,Monaco,41.0,548.0,91.0,226.0,237.0,92.0,13.0,548.0,20.0,11.0,55.0,6.0,30.0,383.0,2382.0,1108.0,20.0,9.0,3.0,13.0,7.0,341.0,42.0,Match Report,2023-09-17,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Home,D,2.0,2.0,Monaco,0,0,0,13,14,2,20,11,10,0.0,0.0,0,46.0,11.0,10.0,52.4,Match Report
2023-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,3.0,5.0,Nantes,3,10,7,70.0,0.3,0.43,17.0,0.0,0,0,1.7,1.7,0.17,1.3,1.3,Match Report,2023-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,3.0,5.0,Nantes,9,5,4,55.6,0,3.2,-1.8,1,1,0,0,2.0,7.0,28.6,44.0,6.0,13.6,27.1,12.0,8.3,16.4,16.0,0.0,0.0,2.0,28.5,Match Report,2023-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,3.0,5.0,Nantes,563.0,650.0,86.6,10044.0,3214.0,227.0,243.0,93.4,264.0,286.0,92.3,55.0,91.0,60.4,3,1.7,1.5,8.0,35.0,9.0,4.0,56.0,Match Report,2023-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,3.0,5.0,Nantes,650.0,601.0,49.0,8.0,0.0,5.0,19,21.0,2.0,1.0,0.0,0.0,563.0,0.0,8.0,Match Report,2023-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,3.0,5.0,Nantes,20.0,19.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,3.0,5.0,Nantes,14.0,5,8.0,6.0,0.0,6.0,12.0,50.0,6.0,7.0,4.0,3.0,10,24,10.0,0.0,Match Report,2023-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,3.0,5.0,Nantes,56.0,735.0,81.0,255.0,347.0,139.0,16.0,735.0,27.0,16.0,59.3,11.0,40.7,597.0,2982.0,1580.0,23.0,18.0,5.0,10.0,9.0,555.0,55.0,Match Report,2023-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,3.0,5.0,Nantes,3,0,0,17,8,0,19,10,5,0.0,1.0,0,50.0,8.0,9.0,47.1,Match Report
2023-10-01,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Home,L,0.0,3.0,Montpellier,0,14,3,21.4,0.0,0.0,12.2,0.0,0,0,1.0,1.0,0.07,-1.0,-1.0,Match Report,2023-10-01,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Home,L,0.0,3.0,Montpellier,8,3,5,75.0,0,3.1,0.1,1,1,0,0,2.0,3.0,66.7,23.0,6.0,8.7,24.6,8.0,37.5,35.1,12.0,1.0,8.3,1.0,12.3,Match Report,2023-10-01,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Home,L,0.0,3.0,Montpellier,496.0,581.0,85.4,8509.0,2844.0,212.0,238.0,89.1,213.0,243.0,87.7,48.0,68.0,70.6,0,0.6,1.3,11.0,45.0,15.0,4.0,65.0,Match Report,2023-10-01,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Home,L,0.0,3.0,Montpellier,581.0,531.0,49.0,7.0,0.0,2.0,25,22.0,8.0,4.0,3.0,0.0,496.0,1.0,8.0,Match Report,2023-10-01,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Home,L,0.0,3.0,Montpellier,26.0,18.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-01,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Home,L,0.0,3.0,Montpellier,15.0,10,8.0,2.0,5.0,7.0,21.0,33.3,14.0,7.0,2.0,5.0,8,23,23.0,0.0,Match Report,2023-10-01,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Home,L,0.0,3.0,Montpellier,51.0,694.0,64.0,166.0,310.0,228.0,28.0,694.0,30.0,14.0,46.7,15.0,50.0,519.0,3312.0,1747.0,32.0,30.0,5.0,16.0,7.0,490.0,65.0,Match Report,2023-10-01,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Home,L,0.0,3.0,Montpellier,2,0,0,13,5,1,25,8,10,0.0,1.0,0,48.0,12.0,12.0,50.0,Match Report
2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,3.0,3.0,Lyon,3,6,5,83.3,0.5,0.6,12.5,0.0,0,0,1.1,1.1,0.18,1.9,1.9,Match Report,2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,3.0,3.0,Lyon,6,3,3,66.7,0,2.3,-0.7,1,1,0,0,2.0,9.0,22.2,25.0,2.0,32.0,30.4,5.0,20.0,25.6,15.0,2.0,13.3,1.0,6.9,Match Report,2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,3.0,3.0,Lyon,389.0,487.0,79.9,6843.0,2111.0,165.0,190.0,86.8,172.0,206.0,83.5,35.0,66.0,53.0,2,0.5,0.6,3.0,28.0,4.0,2.0,25.0,Match Report,2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,3.0,3.0,Lyon,487.0,436.0,51.0,23.0,0.0,5.0,12,17.0,2.0,1.0,0.0,0.0,389.0,0.0,5.0,Match Report,2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,3.0,3.0,Lyon,10.0,9.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,Match Report,2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,3.0,3.0,Lyon,11.0,8,4.0,4.0,3.0,4.0,14.0,28.6,10.0,6.0,2.0,4.0,15,26,26.0,1.0,Match Report,2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,3.0,3.0,Lyon,50.0,583.0,62.0,200.0,294.0,97.0,13.0,583.0,23.0,16.0,69.6,6.0,26.1,433.0,2300.0,1066.0,12.0,13.0,2.0,14.0,11.0,385.0,25.0,Match Report,2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,3.0,3.0,Lyon,0,0,0,10,22,0,12,15,8,0.0,1.0,0,60.0,14.0,11.0,56.0,Match Report
2023-10-22,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,W,2.0,1.0,Rennes,1,5,4,80.0,0.2,0.25,14.4,0.0,0,0,0.6,0.6,0.12,0.4,0.4,Match Report,2023-10-22,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,W,2.0,1.0,Rennes,6,1,5,83.3,0,2.0,1.0,0,0,0,0,3.0,14.0,21.4,25.0,3.0,52.0,42.0,9.0,11.1,21.0,33.0,2.0,6.1,0.0,3.8,Match Report,2023-10-22,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,W,2.0,1.0,Rennes,235.0,320.0,73.4,4454.0,1690.0,89.0,107.0,83.2,105.0,124.0,84.7,29.0,67.0,43.3,0,0.3,0.9,3.0,13.0,8.0,4.0,16.0,Match Report,2023-10-22,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,W,2.0,1.0,Rennes,320.0,277.0,43.0,16.0,0.0,4.0,12,10.0,6.0,1.0,1.0,0.0,235.0,0.0,5.0,Match Report,2023-10-22,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,W,2.0,1.0,Rennes,9.0,6.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-22,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,W,2.0,1.0,Rennes,29.0,20,21.0,7.0,1.0,12.0,20.0,60.0,8.0,16.0,9.0,7.0,17,46,44.0,0.0,Match Report,2023-10-22,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,W,2.0,1.0,Rennes,31.0,464.0,108.0,247.0,143.0,83.0,17.0,464.0,21.0,12.0,57.1,9.0,42.9,285.0,1866.0,809.0,13.0,12.0,3.0,17.0,10.0,231.0,15.0,Match Report,2023-10-22,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,W,2.0,1.0,Rennes,0,0,0,5,13,0,12,17,20,0.0,0.0,0,63.0,15.0,6.0,71.4,Match Report
2023-10-28,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Away,L,0.0,1.0,Reims,0,9,1,11.1,0.0,0.0,21.0,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report,2023-10-28,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Away,L,0.0,1.0,Reims,5,1,4,80.0,0,1.2,0.2,0,0,0,0,4.0,16.0,25.0,36.0,6.0,38.9,38.7,8.0,25.0,26.1,16.0,2.0,12.5,0.0,1.5,Match Report,2023-10-28,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Away,L,0.0,1.0,Reims,369.0,470.0,78.5,6799.0,2657.0,140.0,168.0,83.3,173.0,196.0,88.3,45.0,86.0,52.3,0,0.4,0.5,9.0,33.0,4.0,0.0,31.0,Match Report,2023-10-28,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Away,L,0.0,1.0,Reims,470.0,420.0,50.0,18.0,1.0,2.0,10,18.0,4.0,3.0,0.0,0.0,369.0,0.0,11.0,Match Report,2023-10-28,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Away,L,0.0,1.0,Reims,18.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-28,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Away,L,0.0,1.0,Reims,12.0,8,8.0,4.0,0.0,6.0,16.0,37.5,10.0,9.0,3.0,6.0,12,24,18.0,0.0,Match Report,2023-10-28,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Away,L,0.0,1.0,Reims,44.0,590.0,84.0,238.0,258.0,105.0,12.0,590.0,24.0,9.0,37.5,14.0,58.3,429.0,2980.0,1283.0,13.0,10.0,2.0,23.0,5.0,366.0,31.0,Match Report,2023-10-28,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Away,L,0.0,1.0,Reims,3,0,0,7,15,0,10,12,8,0.0,0.0,0,66.0,10.0,11.0,47.6,Match Report
