Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2,1,Nantes,2,9,5,55.6,0.22,0.40,13.3,0,0,0,1.1,1.1,0.14,+0.9,+0.9,Match Report,2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2,1,Nantes,4,1,3,100.0,0,1.2,+0.2,1,1,0,0,5,9,55.6,20,0,40.0,33.9,5,20.0,22.0,14,0,0.0,0,5.0,Match Report,2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2,1,Nantes,516,618,83.5,9021,2688,221,257,86.0,237,262,90.5,46,73,63.0,2,1.1,1.0,8,42,7,1,37,Match Report,2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2,1,Nantes,618,562,54,16,1,3,12,26,5,2,2,0,516,2,6,Match Report,2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2,1,Nantes,17,14,3,0,0,0,0,4,3,1,0,0,0,0,Match Report,2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2,1,Nantes,12,9,8,4,0,5,13,38.5,8,9,2,7,3,15,16,0,Match Report,2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2,1,Nantes,56,704,48,138,421,148,14,704,9,5,55.6,3,33.3,535,2311,1048,9,13,1,18,7,513,37,Match Report,2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2,1,Nantes,2,0,0,14,14,2,12,3,9,0,1,0,48,19,8,70.4,Match Report
2023-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sat,Home,D,1,1,Paris S-G,1,7,1,14.3,0.00,0.00,23.1,0,1,1,1.2,0.4,0.06,-0.2,-0.4,Match Report,2023-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sat,Home,D,1,1,Paris S-G,3,1,2,100.0,0,1.1,+0.1,1,1,0,0,5,16,31.3,22,3,59.1,40.2,7,42.9,31.7,13,0,0.0,0,10.0,Match Report,2023-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sat,Home,D,1,1,Paris S-G,185,257,72.0,3446,1712,81,92,88.0,73,96,76.0,26,56,46.4,0,0.3,0.2,5,12,4,1,20,Match Report,2023-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sat,Home,D,1,1,Paris S-G,257,216,40,13,0,1,8,13,5,2,2,0,185,1,7,Match Report,2023-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sat,Home,D,1,1,Paris S-G,12,8,1,0,1,1,1,2,0,1,0,0,1,0,Match Report,2023-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sat,Home,D,1,1,Paris S-G,14,6,10,3,1,7,18,38.9,11,18,7,11,11,25,14,0,Match Report,2023-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sat,Home,D,1,1,Paris S-G,24,365,64,175,128,70,11,364,15,5,33.3,9,60.0,222,1218,530,12,9,2,20,5,182,20,Match Report,2023-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sat,Home,D,1,1,Paris S-G,0,0,0,8,11,1,8,11,6,1,1,0,49,7,7,50.0,Match Report
2023-08-27,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,2,Strasbourg,0,7,1,14.3,0.00,0.00,16.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report,2023-08-27,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,2,Strasbourg,3,2,1,33.3,0,1.7,-0.3,0,0,0,0,2,5,40.0,22,3,13.6,25.2,9,22.2,27.2,12,0,0.0,0,6.3,Match Report,2023-08-27,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,2,Strasbourg,504,615,82.0,9268,3034,179,207,86.5,255,286,89.2,50,77,64.9,0,0.3,0.4,6,31,10,3,59,Match Report,2023-08-27,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,2,Strasbourg,615,561,52,16,2,2,13,21,3,1,2,0,504,2,15,Match Report,2023-08-27,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,2,Strasbourg,13,10,1,1,1,0,0,0,0,0,0,0,0,0,Match Report,2023-08-27,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,2,Strasbourg,20,14,7,11,2,9,18,50.0,9,7,2,5,7,27,16,0,Match Report,2023-08-27,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,2,Strasbourg,61,712,51,184,418,116,13,712,21,12,57.1,9,42.9,529,2892,1331,12,11,2,19,7,497,59,Match Report,2023-08-27,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,2,Strasbourg,3,0,0,17,15,2,13,7,14,0,0,0,54,15,12,55.6,Match Report
2023-09-03,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Clermont Foot,2,9,5,55.6,0.22,0.40,20.0,0,0,0,0.6,0.6,0.07,+1.4,+1.4,Match Report,2023-09-03,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Clermont Foot,2,2,0,50.0,0,1.7,-0.3,1,1,0,0,3,11,27.3,28,3,28.6,27.6,5,60.0,40.4,21,0,0.0,1,16.0,Match Report,2023-09-03,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Clermont Foot,272,367,74.1,4934,1734,102,126,81.0,148,174,85.1,15,44,34.1,2,0.6,0.3,8,21,4,0,31,Match Report,2023-09-03,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Clermont Foot,367,327,40,19,2,0,4,13,0,0,0,0,272,0,11,Match Report,2023-09-03,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Clermont Foot,13,7,1,2,1,0,2,4,3,1,0,0,0,0,Match Report,2023-09-03,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Clermont Foot,8,6,2,6,0,4,13,30.8,9,16,7,9,12,20,31,1,Match Report,2023-09-03,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Clermont Foot,37,478,77,188,238,55,14,478,13,9,69.2,4,30.8,314,1579,718,6,7,4,14,1,270,31,Match Report,2023-09-03,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Clermont Foot,1,0,0,19,17,0,4,12,6,0,1,0,50,11,13,45.8,Match Report
2023-09-17,17:05 (08:05),Ligue 1,Matchweek 5,Sun,Away,D,0,0,Marseille,0,10,3,30.0,0.00,0.00,17.5,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report,2023-09-17,17:05 (08:05),Ligue 1,Matchweek 5,Sun,Away,D,0,0,Marseille,6,0,6,100.0,1,0.7,+0.7,0,0,0,0,3,13,23.1,21,2,42.9,34.6,10,40.0,30.6,26,0,0.0,0,,Match Report,2023-09-17,17:05 (08:05),Ligue 1,Matchweek 5,Sun,Away,D,0,0,Marseille,292,387,75.5,5256,2139,138,166,83.1,103,130,79.2,40,65,61.5,0,0.7,1.1,8,20,7,2,26,Match Report,2023-09-17,17:05 (08:05),Ligue 1,Matchweek 5,Sun,Away,D,0,0,Marseille,387,353,31,10,1,4,9,9,1,1,0,0,292,3,9,Match Report,2023-09-17,17:05 (08:05),Ligue 1,Matchweek 5,Sun,Away,D,0,0,Marseille,19,13,2,1,0,1,2,0,0,0,0,0,0,0,Match Report,2023-09-17,17:05 (08:05),Ligue 1,Matchweek 5,Sun,Away,D,0,0,Marseille,12,6,7,4,1,7,16,43.8,9,21,9,12,12,24,52,0,Match Report,2023-09-17,17:05 (08:05),Ligue 1,Matchweek 5,Sun,Away,D,0,0,Marseille,39,547,92,240,210,105,18,547,13,7,53.8,5,38.5,340,1863,824,13,14,1,21,11,289,26,Match Report,2023-09-17,17:05 (08:05),Ligue 1,Matchweek 5,Sun,Away,D,0,0,Marseille,5,0,0,11,8,3,9,12,6,0,0,0,65,16,10,61.5,Match Report
2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Away,D,1,1,be Union SG,1,8,2,25.0,0.00,0.00,23.1,0,1,1,1.4,0.6,0.08,-0.4,-0.6,Match Report,2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Away,D,1,1,be Union SG,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,5,14,35.7,22,3,31.8,30.2,14,50.0,44.9,18,0,0.0,0,5.0,Match Report,2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Away,D,1,1,be Union SG,384,502,76.5,7202,2508,140,164,85.4,190,230,82.6,41,79,51.9,0,0.5,0.4,5,19,6,2,29,Match Report,2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Away,D,1,1,be Union SG,502,436,65,17,2,5,17,28,4,3,0,0,384,1,14,Match Report,2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Away,D,1,1,be Union SG,16,13,0,1,1,1,0,2,1,0,0,0,1,0,Match Report,2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Away,D,1,1,be Union SG,21,10,10,9,2,10,18,55.6,8,12,3,9,9,30,24,0,Match Report,2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Away,D,1,1,be Union SG,53,619,70,214,294,118,12,618,19,12,63.2,7,36.8,416,2319,868,11,14,3,14,7,382,28,Match Report,2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Away,D,1,1,be Union SG,4,1,1,11,16,1,17,9,10,1,0,0,54,8,12,40.0,Match Report
2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,1,2,Lens,1,7,2,28.6,0.14,0.50,20.1,1,0,0,0.4,0.4,0.05,+0.6,+0.6,Match Report,2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,1,2,Lens,7,2,5,71.4,0,1.4,-0.6,0,0,0,0,8,16,50.0,24,4,41.7,37.5,10,60.0,44.7,27,0,0.0,0,10.0,Match Report,2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,1,2,Lens,283,384,73.7,5094,2443,132,167,79.0,118,145,81.4,28,54,51.9,1,0.3,0.2,4,14,3,0,24,Match Report,2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,1,2,Lens,384,336,47,18,0,2,10,12,4,1,3,0,283,1,11,Match Report,2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,1,2,Lens,12,9,2,0,0,1,0,2,2,0,0,0,0,0,Match Report,2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,1,2,Lens,26,18,19,7,0,13,22,59.1,9,28,12,16,10,36,36,0,Match Report,2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,1,2,Lens,38,524,110,258,201,71,11,524,10,5,50.0,5,50.0,329,1941,825,10,9,3,14,5,279,24,Match Report,2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,1,2,Lens,1,0,0,15,16,1,10,10,18,0,0,0,57,11,13,45.8,Match Report
2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,W,3,0,Metz,3,15,10,66.7,0.20,0.30,14.6,0,0,0,1.3,1.3,0.09,+1.7,+1.7,Match Report,2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,W,3,0,Metz,3,0,3,100.0,1,0.4,+0.4,0,0,0,0,2,9,22.2,33,3,21.2,24.9,12,16.7,22.3,16,0,0.0,1,12.4,Match Report,2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,W,3,0,Metz,580,668,86.8,9126,3099,296,325,91.1,223,239,93.3,36,61,59.0,3,1.1,2.3,12,41,11,1,52,Match Report,2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,W,3,0,Metz,668,625,40,7,0,3,12,16,4,0,4,0,580,3,9,Match Report,2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,W,3,0,Metz,26,22,0,1,2,0,1,6,6,0,0,0,0,0,Match Report,2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,W,3,0,Metz,16,10,7,7,2,13,23,56.5,10,8,2,6,6,22,21,0,Match Report,2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,W,3,0,Metz,66,751,61,207,398,154,32,751,12,9,75.0,3,25.0,499,2320,1293,21,18,4,9,8,578,52,Match Report,2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,W,3,0,Metz,3,0,0,10,7,3,12,6,10,0,0,0,51,19,12,61.3,Match Report
2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,1,0,at LASK,1,13,2,15.4,0.08,0.50,16.3,0,0,0,1.3,1.3,0.10,-0.3,-0.3,Match Report,2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,1,0,at LASK,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,3,14,21.4,34,1,29.4,33.9,7,57.1,41.3,9,0,0.0,0,12.0,Match Report,2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,1,0,at LASK,409,523,78.2,7625,2719,159,189,84.1,200,226,88.5,41,78,52.6,1,1.2,1.5,10,23,12,3,37,Match Report,2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,1,0,at LASK,523,470,51,19,5,4,13,18,6,4,2,0,409,2,16,Match Report,2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,1,0,at LASK,25,18,3,1,0,2,1,1,0,0,0,0,0,1,Match Report,2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,1,0,at LASK,19,10,7,5,7,8,14,57.1,6,12,3,9,12,31,17,0,Match Report,2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,1,0,at LASK,46,626,75,242,274,120,29,626,24,13,54.2,9,37.5,460,2416,992,17,17,5,14,5,404,36,Match Report,2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,1,0,at LASK,5,0,0,16,18,2,13,12,10,0,0,0,73,15,13,53.6,Match Report
2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,1,1,Brest,1,9,3,33.3,0.11,0.33,15.8,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Match Report,2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,1,1,Brest,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,3,13,23.1,29,4,31.0,32.2,12,33.3,30.0,19,0,0.0,2,14.7,Match Report,2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,1,1,Brest,314,416,75.5,5897,2673,113,146,77.4,153,182,84.1,38,64,59.4,1,1.1,1.0,8,30,10,1,36,Match Report,2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,1,1,Brest,416,360,55,18,2,3,15,18,5,0,4,0,314,1,9,Match Report,2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,1,1,Brest,17,14,1,2,0,0,0,2,2,0,0,0,0,0,Match Report,2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,1,1,Brest,12,9,4,5,3,4,14,28.6,10,13,2,11,4,16,23,1,Match Report,2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,1,1,Brest,45,521,63,192,214,123,12,521,15,10,66.7,5,33.3,353,2081,852,9,12,2,21,10,312,36,Match Report,2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,1,1,Brest,2,0,0,18,16,1,15,4,9,0,0,0,51,13,23,36.1,Match Report
