Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,D,3,3,Watford,3,13,4,30.8,0.15,0.50,13.9,0,1,1,2.6,1.8,0.14,+0.4,+0.2,Match Report,2017-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,D,3,3,Watford,4,3,1,25.0,0,2.7,-0.3,0,0,0,0,2,15,13.3,35,8,31.4,31.2,7,57.1,42.4,13,3,23.1,0,12.2,Match Report,2017-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,D,3,3,Watford,386,527,73.2,7313,2909,141,178,79.2,197,243,81.1,41,84,48.8,2,1.8,0.6,12,25,10,1,40,Match Report,2017-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,D,3,3,Watford,527,470,56,15,2,3,14,27,3,2,1,0,386,1,14,Match Report,2017-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,D,3,3,Watford,25,16,4,1,2,2,0,5,3,0,0,1,1,0,Match Report,2017-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,D,3,3,Watford,20,15,12,7,1,6,17,35.3,11,12,1,11,11,31,25,0,Match Report,2017-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,D,3,3,Watford,54,639,62,225,285,135,23,638,11,6,54.5,5,45.5,302,1860,1058,22,16,4,16,14,381,40,Match Report,2017-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,D,3,3,Watford,3,0,0,8,13,1,14,11,15,1,0,0,44,25,22,53.2,Match Report
2017-08-15,20:45 (11:45),Champions Lg,Play-off round,Tue,Away,W,2,1,de Hoffenheim,1,14,8,57.1,0.07,0.13,,,0,0,,,,,,Match Report,2017-08-15,20:45 (11:45),Champions Lg,Play-off round,Tue,Away,W,2,1,de Hoffenheim,2,1,2,50.0,0,,,1,0,1,0,,,,,,,,,,,,,,,,Match Report,2017-08-15,20:45 (11:45),Champions Lg,Play-off round,Tue,Away,W,2,1,de Hoffenheim,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2017-08-15,20:45 (11:45),Champions Lg,Play-off round,Tue,Away,W,2,1,de Hoffenheim,,,,,,,17,,,,,,,,,Match Report,2017-08-15,20:45 (11:45),Champions Lg,Play-off round,Tue,Away,W,2,1,de Hoffenheim,,,,,,,,,,,,,,,Match Report,2017-08-15,20:45 (11:45),Champions Lg,Play-off round,Tue,Away,W,2,1,de Hoffenheim,,12,,,,,,,,,,,17,0,,,Match Report,2017-08-15,20:45 (11:45),Champions Lg,Play-off round,Tue,Away,W,2,1,de Hoffenheim,37,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-15,20:45 (11:45),Champions Lg,Play-off round,Tue,Away,W,2,1,de Hoffenheim,2,0,0,12,12,1,17,17,12,0,1,0,,,,,Match Report
2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,1,0,Crystal Palace,1,23,13,56.5,0.04,0.08,18.6,2,0,0,2.5,2.5,0.11,-1.5,-1.5,Match Report,2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,1,0,Crystal Palace,1,0,1,100.0,1,0.4,+0.4,0,0,0,0,5,10,50.0,22,4,45.5,38.4,5,0.0,32.4,5,1,20.0,1,19.3,Match Report,2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,1,0,Crystal Palace,636,763,83.4,10854,3749,289,327,88.4,269,312,86.2,60,87,69.0,0,1.5,1.4,14,59,11,3,71,Match Report,2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,1,0,Crystal Palace,763,714,47,14,2,2,22,23,4,2,0,0,636,2,13,Match Report,2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,1,0,Crystal Palace,41,26,2,6,5,2,0,2,2,0,0,0,0,0,Match Report,2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,1,0,Crystal Palace,24,16,6,14,4,6,16,37.5,10,5,1,4,6,30,11,0,Match Report,2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,1,0,Crystal Palace,71,858,39,156,488,221,34,858,17,13,76.5,4,23.5,549,2965,1551,33,22,5,16,17,629,71,Match Report,2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,1,0,Crystal Palace,1,0,0,12,13,2,22,6,16,0,0,0,65,17,13,56.7,Match Report
2017-08-23,19:45 (11:45),Champions Lg,Play-off round,Wed,Home,W,4,2,de Hoffenheim,4,20,9,45.0,0.20,0.44,,,0,0,,,,,,Match Report,2017-08-23,19:45 (11:45),Champions Lg,Play-off round,Wed,Home,W,4,2,de Hoffenheim,4,2,2,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-23,19:45 (11:45),Champions Lg,Play-off round,Wed,Home,W,4,2,de Hoffenheim,,,,,,,,,,,,,,,3,,,,,,,,Match Report,2017-08-23,19:45 (11:45),Champions Lg,Play-off round,Wed,Home,W,4,2,de Hoffenheim,,,,,,,13,,,,,,,,,Match Report,2017-08-23,19:45 (11:45),Champions Lg,Play-off round,Wed,Home,W,4,2,de Hoffenheim,,,,,,,,,,,,,,,Match Report,2017-08-23,19:45 (11:45),Champions Lg,Play-off round,Wed,Home,W,4,2,de Hoffenheim,,15,,,,,,,,,,,15,0,,,Match Report,2017-08-23,19:45 (11:45),Champions Lg,Play-off round,Wed,Home,W,4,2,de Hoffenheim,45,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-23,19:45 (11:45),Champions Lg,Play-off round,Wed,Home,W,4,2,de Hoffenheim,1,0,0,3,12,2,13,15,15,0,0,0,,,,,Match Report
2017-08-27,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,0,Arsenal,4,18,10,55.6,0.22,0.40,15.9,0,0,0,3.1,3.1,0.17,+0.9,+0.9,Match Report,2017-08-27,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,0,Arsenal,0,0,0,,1,0.0,0.0,0,0,0,0,1,20,5.0,25,1,52.0,39.6,11,63.6,50.9,6,0,0.0,0,7.0,Match Report,2017-08-27,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,0,Arsenal,433,544,79.6,7616,2363,180,204,88.2,217,243,89.3,30,77,39.0,3,2.3,1.8,13,28,8,3,36,Match Report,2017-08-27,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,0,Arsenal,544,495,46,13,2,3,16,17,4,0,2,0,433,3,5,Match Report,2017-08-27,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,0,Arsenal,27,23,2,0,1,0,1,6,6,0,0,0,0,0,Match Report,2017-08-27,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,0,Arsenal,19,16,8,9,2,7,16,43.8,9,14,2,12,12,31,18,0,Match Report,2017-08-27,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,0,Arsenal,48,643,63,180,308,165,26,643,16,15,93.8,1,6.3,367,2025,1084,27,23,9,9,12,431,36,Match Report,2017-08-27,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,0,Arsenal,2,0,0,6,8,3,16,12,16,0,0,0,55,11,14,44.0,Match Report
2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Away,L,0,5,Manchester City,0,7,3,42.9,0.00,0.00,20.5,2,0,0,0.7,0.7,0.10,-0.7,-0.7,Match Report,2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Away,L,0,5,Manchester City,10,5,5,50.0,0,3.8,-1.2,0,0,0,0,4,14,28.6,36,7,33.3,29.4,4,50.0,41.3,14,1,7.1,1,16.0,Match Report,2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Away,L,0,5,Manchester City,312,407,76.7,5475,1981,133,155,85.8,133,157,84.7,33,69,47.8,0,0.5,0.4,4,21,6,2,19,Match Report,2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Away,L,0,5,Manchester City,407,362,43,13,3,2,9,17,3,3,0,0,312,2,9,Match Report,2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Away,L,0,5,Manchester City,13,9,0,2,0,2,0,0,0,0,0,0,0,0,Match Report,2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Away,L,0,5,Manchester City,15,12,11,3,1,8,12,66.7,4,2,0,2,18,33,22,1,Match Report,2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Away,L,0,5,Manchester City,34,500,61,232,174,98,11,500,15,10,66.7,5,33.3,230,1187,616,12,8,6,9,9,310,19,Match Report,2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Away,L,0,5,Manchester City,2,1,0,9,10,2,9,18,12,0,0,0,49,4,9,30.8,Match Report
2017-09-13,19:45 (11:45),Champions Lg,Group stage,Wed,Home,D,2,2,es Sevilla,2,23,7,30.4,0.09,0.29,19.8,0,0,1,2.4,1.6,0.07,-0.4,+0.4,Match Report,2017-09-13,19:45 (11:45),Champions Lg,Group stage,Wed,Home,D,2,2,es Sevilla,2,2,0,0.0,0,1.7,-0.3,0,0,0,0,4,15,26.7,22,3,63.6,45.2,4,25.0,29.8,10,1,10.0,0,11.3,Match Report,2017-09-13,19:45 (11:45),Champions Lg,Group stage,Wed,Home,D,2,2,es Sevilla,390,525,74.3,6767,2560,193,229,84.3,146,187,78.1,42,80,52.5,1,1.3,1.4,18,32,11,4,46,Match Report,2017-09-13,19:45 (11:45),Champions Lg,Group stage,Wed,Home,D,2,2,es Sevilla,525,470,55,10,1,2,23,28,10,1,6,0,390,0,10,Match Report,2017-09-13,19:45 (11:45),Champions Lg,Group stage,Wed,Home,D,2,2,es Sevilla,41,30,5,2,2,1,1,3,2,0,0,0,0,1,Match Report,2017-09-13,19:45 (11:45),Champions Lg,Group stage,Wed,Home,D,2,2,es Sevilla,19,17,9,8,2,3,13,23.1,10,19,2,17,7,26,23,1,Match Report,2017-09-13,19:45 (11:45),Champions Lg,Group stage,Wed,Home,D,2,2,es Sevilla,49,654,41,155,309,199,37,653,23,11,47.8,12,52.2,380,1965,1150,29,13,8,13,10,386,45,Match Report,2017-09-13,19:45 (11:45),Champions Lg,Group stage,Wed,Home,D,2,2,es Sevilla,3,1,1,14,8,0,23,7,17,1,0,0,64,18,13,58.1,Match Report
2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,1,35,9,25.7,0.03,0.11,20.6,0,0,0,2.2,2.2,0.06,-1.2,-1.2,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,3,1,2,66.7,0,0.4,-0.6,0,0,0,0,2,7,28.6,29,8,17.2,26.2,4,50.0,42.8,5,2,40.0,1,16.8,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,624,748,83.4,11306,4230,239,263,90.9,318,360,88.3,52,94,55.3,1,2.2,1.2,34,63,19,2,88,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,748,686,61,14,1,3,34,29,12,4,3,0,624,1,15,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,66,56,5,3,2,0,0,2,1,1,0,0,0,0,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,6,5,1,4,1,2,5,40.0,3,8,1,7,6,12,10,0,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,71,841,46,216,344,285,48,841,20,14,70.0,6,30.0,531,3105,1671,35,24,11,13,5,614,87,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,1,0,0,7,8,1,34,6,5,0,0,0,53,8,14,36.4,Match Report
2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Leicester City,0,21,3,14.3,0.00,0.00,,,0,0,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Leicester City,6,2,4,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Leicester City,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Leicester City,,,,,,,27,,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Leicester City,,,,,,,,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Leicester City,,8,,,,,,,,,,,17,0,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Leicester City,70,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Leicester City,2,0,0,10,9,1,27,17,8,0,0,0,,,,,Match Report
2017-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,W,3,2,Leicester City,3,23,6,26.1,0.13,0.50,18.2,1,0,0,1.7,1.7,0.07,+1.3,+1.3,Match Report,2017-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,W,3,2,Leicester City,7,2,4,71.4,0,2.8,+0.8,1,0,1,0,6,19,31.6,34,5,50.0,40.4,4,50.0,44.8,23,2,8.7,2,14.9,Match Report,2017-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,W,3,2,Leicester City,379,534,71.0,6589,2787,178,219,81.3,147,197,74.6,37,84,44.0,2,1.1,1.0,18,36,14,2,49,Match Report,2017-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,W,3,2,Leicester City,534,480,53,16,0,2,17,25,6,3,3,0,379,1,11,Match Report,2017-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,W,3,2,Leicester City,41,28,3,6,3,1,0,6,5,0,0,0,1,0,Match Report,2017-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,W,3,2,Leicester City,14,9,8,3,3,6,16,37.5,10,5,3,2,8,22,35,1,Match Report,2017-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,W,3,2,Leicester City,55,644,62,224,263,160,35,644,18,12,66.7,6,33.3,257,1466,727,20,5,6,12,9,374,49,Match Report,2017-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,W,3,2,Leicester City,3,0,0,14,13,1,17,8,9,0,1,0,58,29,23,55.8,Match Report
