Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,W,2,0,Brighton,1,14,4,28.6,0.07,0.25,19.5,2,0,0,1.9,1.9,0.17,-0.9,-0.9,Match Report,2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,W,2,0,Brighton,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,1,4,25.0,20,7,10.0,25.0,4,50.0,46.8,7,2,28.6,2,16.8,Match Report,2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,W,2,0,Brighton,718,820,87.6,11768,3285,330,359,91.9,282,312,90.4,60,85,70.6,1,1.2,2.4,9,70,16,1,87,Match Report,2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,W,2,0,Brighton,820,777,42,10,3,10,27,17,10,1,5,0,718,1,9,Match Report,2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,W,2,0,Brighton,25,20,1,1,1,2,0,2,2,0,0,0,0,0,Match Report,2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,W,2,0,Brighton,10,6,6,4,0,2,9,22.2,7,9,2,7,9,19,8,1,Match Report,2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,W,2,0,Brighton,77,897,28,130,474,298,27,897,12,6,50.0,6,50.0,566,3154,1779,34,26,3,14,4,715,87,Match Report,2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,W,2,0,Brighton,2,0,0,9,6,1,27,9,6,0,0,0,41,13,13,50.0,Match Report
2017-08-21,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,D,1,1,Everton,1,19,6,31.6,0.05,0.17,20.0,1,0,0,1.1,1.1,0.06,-0.1,-0.1,Match Report,2017-08-21,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,D,1,1,Everton,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,5,9,55.6,28,5,25.0,30.3,6,33.3,40.0,7,1,14.3,4,17.6,Match Report,2017-08-21,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,D,1,1,Everton,494,618,79.9,8056,3076,237,270,87.8,180,220,81.8,48,82,58.5,0,0.9,1.0,15,41,15,0,59,Match Report,2017-08-21,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,D,1,1,Everton,618,563,55,11,1,11,24,29,7,0,6,0,494,0,7,Match Report,2017-08-21,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,D,1,1,Everton,36,27,3,2,2,2,0,2,2,0,0,0,0,0,Match Report,2017-08-21,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,D,1,1,Everton,12,8,6,5,1,5,8,62.5,3,11,0,11,10,22,7,1,Match Report,2017-08-21,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,D,1,1,Everton,64,705,43,163,338,212,35,705,20,13,65.0,7,35.0,369,2478,1471,37,24,7,17,12,486,58,Match Report,2017-08-21,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,D,1,1,Everton,3,1,1,7,8,0,24,10,8,0,0,0,48,22,12,64.7,Match Report
2017-08-26,12:30 (04:30),Premier League,Matchweek 3,Sat,Away,W,2,1,Bournemouth,2,19,8,42.1,0.11,0.25,16.2,1,0,0,1.4,1.4,0.08,+0.6,+0.6,Match Report,2017-08-26,12:30 (04:30),Premier League,Matchweek 3,Sat,Away,W,2,1,Bournemouth,3,1,2,66.7,0,1.2,+0.2,0,0,0,0,1,3,33.3,18,6,11.1,24.9,1,100.0,87.0,7,2,28.6,0,8.7,Match Report,2017-08-26,12:30 (04:30),Premier League,Matchweek 3,Sat,Away,W,2,1,Bournemouth,569,675,84.3,9985,3249,254,273,93.0,230,268,85.8,63,82,76.8,2,1.1,1.1,13,56,13,1,72,Match Report,2017-08-26,12:30 (04:30),Premier League,Matchweek 3,Sat,Away,W,2,1,Bournemouth,675,617,55,12,2,6,27,35,5,2,2,0,569,3,18,Match Report,2017-08-26,12:30 (04:30),Premier League,Matchweek 3,Sat,Away,W,2,1,Bournemouth,31,22,4,2,2,1,0,4,3,1,0,0,0,0,Match Report,2017-08-26,12:30 (04:30),Premier League,Matchweek 3,Sat,Away,W,2,1,Bournemouth,13,8,7,2,4,4,14,28.6,10,9,3,6,12,25,36,0,Match Report,2017-08-26,12:30 (04:30),Premier League,Matchweek 3,Sat,Away,W,2,1,Bournemouth,70,804,51,180,365,261,37,804,18,13,72.2,5,27.8,474,2610,1455,31,24,6,16,15,564,71,Match Report,2017-08-26,12:30 (04:30),Premier League,Matchweek 3,Sat,Away,W,2,1,Bournemouth,6,1,1,14,13,3,27,12,8,0,0,0,57,23,13,63.9,Match Report
2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Home,W,5,0,Liverpool,5,13,10,76.9,0.38,0.50,14.0,0,0,0,2.4,2.4,0.18,+2.6,+2.6,Match Report,2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Home,W,5,0,Liverpool,3,0,3,,1,1.1,0.0,0,0,0,0,3,7,42.9,30,6,20.0,30.1,3,33.3,44.7,8,0,0.0,4,21.2,Match Report,2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Home,W,5,0,Liverpool,689,781,88.2,11961,3566,301,324,92.9,333,361,92.2,44,68,64.7,5,2.1,1.5,10,39,9,3,63,Match Report,2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Home,W,5,0,Liverpool,781,732,44,11,6,1,19,21,8,0,3,0,689,5,2,Match Report,2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Home,W,5,0,Liverpool,22,16,3,1,1,1,0,10,9,0,1,0,0,0,Match Report,2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Home,W,5,0,Liverpool,14,10,8,4,2,5,15,33.3,10,10,2,8,12,26,15,0,Match Report,2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Home,W,5,0,Liverpool,66,868,46,177,535,159,23,868,12,4,33.3,8,66.7,661,2862,1535,29,15,7,11,7,688,63,Match Report,2017-09-09,12:30 (04:30),Premier League,Matchweek 4,Sat,Home,W,5,0,Liverpool,2,0,0,10,9,5,19,12,10,0,0,0,52,9,4,69.2,Match Report
2017-09-13,20:45 (11:45),Champions Lg,Group stage,Wed,Away,W,4,0,nl Feyenoord,4,11,7,63.6,0.36,0.57,14.4,0,0,0,1.3,1.3,0.12,+2.7,+2.7,Match Report,2017-09-13,20:45 (11:45),Champions Lg,Group stage,Wed,Away,W,4,0,nl Feyenoord,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,3,3,100.0,31,3,9.7,22.9,5,0.0,28.6,6,0,0.0,1,18.5,Match Report,2017-09-13,20:45 (11:45),Champions Lg,Group stage,Wed,Away,W,4,0,nl Feyenoord,802,898,89.3,12458,3868,383,410,93.4,307,325,94.5,53,65,81.5,3,0.8,1.1,7,28,10,4,66,Match Report,2017-09-13,20:45 (11:45),Champions Lg,Group stage,Wed,Away,W,4,0,nl Feyenoord,898,845,47,16,4,1,21,18,7,1,2,0,802,6,23,Match Report,2017-09-13,20:45 (11:45),Champions Lg,Group stage,Wed,Away,W,4,0,nl Feyenoord,20,16,2,0,2,0,0,7,6,0,0,1,0,0,Match Report,2017-09-13,20:45 (11:45),Champions Lg,Group stage,Wed,Away,W,4,0,nl Feyenoord,10,6,4,5,1,3,14,21.4,11,12,5,7,9,19,17,0,Match Report,2017-09-13,20:45 (11:45),Champions Lg,Group stage,Wed,Away,W,4,0,nl Feyenoord,71,984,48,200,645,148,22,984,11,8,72.7,3,27.3,722,3321,1596,25,18,5,17,12,796,66,Match Report,2017-09-13,20:45 (11:45),Champions Lg,Group stage,Wed,Away,W,4,0,nl Feyenoord,1,0,0,9,12,6,21,9,6,0,0,0,58,14,8,63.6,Match Report
2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,W,6,0,Watford,6,27,9,33.3,0.19,0.56,17.2,0,1,1,3.3,2.5,0.09,+2.7,+2.5,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,W,6,0,Watford,1,0,1,100.0,1,0.6,+0.6,0,0,0,0,3,6,50.0,28,6,7.1,23.0,5,80.0,49.6,9,2,22.2,1,13.3,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,W,6,0,Watford,602,684,88.0,10128,3471,286,316,90.5,244,269,90.7,53,66,80.3,5,2.4,1.4,22,46,15,3,69,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,W,6,0,Watford,684,643,41,9,3,4,26,15,11,0,3,0,602,0,9,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,W,6,0,Watford,50,38,6,4,0,2,0,12,7,1,2,0,2,0,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,W,6,0,Watford,19,13,11,5,3,11,22,50.0,11,10,1,9,10,29,24,0,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,W,6,0,Watford,67,808,53,212,360,245,38,807,17,13,76.5,4,23.5,459,2526,1647,42,22,10,21,3,599,69,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,W,6,0,Watford,0,0,0,6,8,0,26,10,13,1,0,0,49,14,11,56.0,Match Report
2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Away,W,2,1,West Brom,2,15,8,53.3,0.13,0.25,,,0,0,,,,,,Match Report,2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Away,W,2,1,West Brom,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Away,W,2,1,West Brom,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Away,W,2,1,West Brom,,,,,,,12,,,,,,,,,Match Report,2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Away,W,2,1,West Brom,,,,,,,,,,,,,,,Match Report,2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Away,W,2,1,West Brom,,9,,,,,,,,,,,8,0,,,Match Report,2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Away,W,2,1,West Brom,66,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Away,W,2,1,West Brom,4,0,0,13,14,2,12,8,9,0,0,0,,,,,Match Report
2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,W,5,0,Crystal Palace,5,25,9,36.0,0.20,0.56,13.5,0,0,0,4.5,4.5,0.19,+0.5,+0.5,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,W,5,0,Crystal Palace,0,0,0,,1,0.0,0.0,0,0,0,0,0,2,0.0,18,8,5.6,23.9,5,20.0,35.6,8,0,0.0,1,14.8,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,W,5,0,Crystal Palace,692,777,89.1,11251,3550,349,378,92.3,280,305,91.8,47,65,72.3,5,4.1,3.0,18,72,20,3,79,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,W,5,0,Crystal Palace,777,734,43,8,2,9,24,21,8,0,5,1,692,0,12,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,W,5,0,Crystal Palace,44,31,2,5,5,0,1,10,8,0,2,0,0,0,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,W,5,0,Crystal Palace,6,3,2,4,0,1,15,6.7,14,10,3,7,11,17,9,0,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,W,5,0,Crystal Palace,71,879,40,142,441,303,52,879,18,14,77.8,4,22.2,628,3150,1745,34,30,11,16,12,686,78,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,W,5,0,Crystal Palace,3,0,0,6,6,0,24,11,3,0,0,0,59,9,10,47.4,Match Report
2017-09-26,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,2,0,ua Shakhtar,2,17,6,35.3,0.12,0.33,18.3,0,0,1,3.2,2.4,0.14,-1.2,-0.4,Match Report,2017-09-26,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,2,0,ua Shakhtar,2,0,2,100.0,1,0.6,+0.6,0,0,0,0,3,6,50.0,27,4,22.2,29.0,4,0.0,30.0,9,1,11.1,0,12.9,Match Report,2017-09-26,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,2,0,ua Shakhtar,570,649,87.8,9897,3127,251,272,92.3,227,249,91.2,61,76,80.3,2,2.4,1.3,15,38,5,1,52,Match Report,2017-09-26,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,2,0,ua Shakhtar,649,611,33,6,9,10,14,20,2,0,2,0,570,5,11,Match Report,2017-09-26,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,2,0,ua Shakhtar,31,21,1,3,1,2,3,4,4,0,0,0,0,0,Match Report,2017-09-26,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,2,0,ua Shakhtar,22,17,9,10,3,7,19,36.8,12,10,2,8,24,46,18,0,Match Report,2017-09-26,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,2,0,ua Shakhtar,56,765,50,186,447,140,27,764,24,15,62.5,9,37.5,552,2812,1510,30,17,12,13,9,566,51,Match Report,2017-09-26,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,2,0,ua Shakhtar,0,0,0,11,6,5,14,24,17,1,0,0,65,8,6,57.1,Match Report
2017-09-30,17:30 (09:30),Premier League,Matchweek 7,Sat,Away,W,1,0,Chelsea,1,17,5,29.4,0.06,0.20,18.0,1,0,0,0.9,0.9,0.05,+0.1,+0.1,Match Report,2017-09-30,17:30 (09:30),Premier League,Matchweek 7,Sat,Away,W,1,0,Chelsea,2,0,2,100.0,1,0.3,+0.3,0,0,0,0,5,12,41.7,37,4,24.3,31.7,3,100.0,76.7,10,1,10.0,6,21.3,Match Report,2017-09-30,17:30 (09:30),Premier League,Matchweek 7,Sat,Away,W,1,0,Chelsea,605,696,86.9,10700,3550,261,285,91.6,266,296,89.9,62,88,70.5,1,0.8,1.0,14,41,12,2,68,Match Report,2017-09-30,17:30 (09:30),Premier League,Matchweek 7,Sat,Away,W,1,0,Chelsea,696,650,46,15,5,2,20,19,8,0,7,0,605,0,8,Match Report,2017-09-30,17:30 (09:30),Premier League,Matchweek 7,Sat,Away,W,1,0,Chelsea,33,25,5,1,0,2,0,2,2,0,0,0,0,0,Match Report,2017-09-30,17:30 (09:30),Premier League,Matchweek 7,Sat,Away,W,1,0,Chelsea,19,17,9,8,2,6,16,37.5,10,13,0,13,11,30,21,0,Match Report,2017-09-30,17:30 (09:30),Premier League,Matchweek 7,Sat,Away,W,1,0,Chelsea,61,798,46,197,413,197,35,798,15,8,53.3,7,46.7,572,2882,1528,37,21,8,11,12,601,66,Match Report,2017-09-30,17:30 (09:30),Premier League,Matchweek 7,Sat,Away,W,1,0,Chelsea,2,0,0,13,8,0,20,11,17,0,0,0,61,17,7,70.8,Match Report
