Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-08,20:45 (11:45),Super Cup,UEFA Super Cup,Tue,Neutral,L,1,2,es Real Madrid,1,14,6,42.9,0.07,0.17,,,0,0,,,,,,Match Report,2017-08-08,20:45 (11:45),Super Cup,UEFA Super Cup,Tue,Neutral,L,1,2,es Real Madrid,6,2,4,66.7,,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-08,20:45 (11:45),Super Cup,UEFA Super Cup,Tue,Neutral,L,1,2,es Real Madrid,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2017-08-08,20:45 (11:45),Super Cup,UEFA Super Cup,Tue,Neutral,L,1,2,es Real Madrid,,,,,,,22,,,,,,,,,Match Report,2017-08-08,20:45 (11:45),Super Cup,UEFA Super Cup,Tue,Neutral,L,1,2,es Real Madrid,,,,,,,,,,,,,,,Match Report,2017-08-08,20:45 (11:45),Super Cup,UEFA Super Cup,Tue,Neutral,L,1,2,es Real Madrid,,17,,,,,,,,,,,8,0,,,Match Report,2017-08-08,20:45 (11:45),Super Cup,UEFA Super Cup,Tue,Neutral,L,1,2,es Real Madrid,37,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-08,20:45 (11:45),Super Cup,UEFA Super Cup,Tue,Neutral,L,1,2,es Real Madrid,2,0,0,17,12,2,22,8,17,0,0,0,,,,,Match Report
2017-08-13,16:00 (08:00),Premier League,Matchweek 1,Sun,Home,W,4,0,West Ham,4,21,5,23.8,0.19,0.80,18.3,0,0,0,2.1,2.1,0.10,+1.9,+1.9,Match Report,2017-08-13,16:00 (08:00),Premier League,Matchweek 1,Sun,Home,W,4,0,West Ham,1,0,1,100.0,1,0.0,0.0,0,0,0,0,10,17,58.8,22,3,50.0,38.4,7,85.7,60.6,12,2,16.7,2,13.8,Match Report,2017-08-13,16:00 (08:00),Premier League,Matchweek 1,Sun,Home,W,4,0,West Ham,442,538,82.2,7647,2869,215,241,89.2,167,188,88.8,46,79,58.2,4,1.9,2.2,16,35,8,2,42,Match Report,2017-08-13,16:00 (08:00),Premier League,Matchweek 1,Sun,Home,W,4,0,West Ham,538,486,51,11,9,6,20,21,11,1,6,0,442,1,9,Match Report,2017-08-13,16:00 (08:00),Premier League,Matchweek 1,Sun,Home,W,4,0,West Ham,39,29,3,4,1,1,1,7,5,1,0,0,1,0,Match Report,2017-08-13,16:00 (08:00),Premier League,Matchweek 1,Sun,Home,W,4,0,West Ham,14,8,3,6,5,2,5,40.0,3,6,1,5,11,25,21,0,Match Report,2017-08-13,16:00 (08:00),Premier League,Matchweek 1,Sun,Home,W,4,0,West Ham,55,648,47,171,305,178,32,648,31,23,74.2,8,25.8,355,1999,1169,29,19,12,11,13,437,42,Match Report,2017-08-13,16:00 (08:00),Premier League,Matchweek 1,Sun,Home,W,4,0,West Ham,2,0,0,19,7,1,20,11,8,0,0,0,56,21,13,61.8,Match Report
2017-08-19,12:30 (04:30),Premier League,Matchweek 2,Sat,Away,W,4,0,Swansea City,4,17,8,47.1,0.24,0.50,18.3,1,0,0,3.0,3.0,0.18,+1.0,+1.0,Match Report,2017-08-19,12:30 (04:30),Premier League,Matchweek 2,Sat,Away,W,4,0,Swansea City,0,0,0,,1,0.0,0.0,0,0,0,0,4,16,25.0,16,3,37.5,35.5,10,100.0,61.9,13,1,7.7,1,8.7,Match Report,2017-08-19,12:30 (04:30),Premier League,Matchweek 2,Sat,Away,W,4,0,Swansea City,542,637,85.1,8245,2715,287,315,91.1,181,206,87.9,41,76,53.9,3,1.6,1.1,12,29,5,0,38,Match Report,2017-08-19,12:30 (04:30),Premier League,Matchweek 2,Sat,Away,W,4,0,Swansea City,637,596,41,12,2,3,20,13,5,3,2,0,542,0,3,Match Report,2017-08-19,12:30 (04:30),Premier League,Matchweek 2,Sat,Away,W,4,0,Swansea City,28,21,2,2,1,2,0,7,5,0,1,1,0,0,Match Report,2017-08-19,12:30 (04:30),Premier League,Matchweek 2,Sat,Away,W,4,0,Swansea City,16,11,6,7,3,3,8,37.5,5,10,0,10,17,33,32,0,Match Report,2017-08-19,12:30 (04:30),Premier League,Matchweek 2,Sat,Away,W,4,0,Swansea City,58,759,45,157,402,209,22,759,25,13,52.0,12,48.0,419,2204,1152,23,25,4,14,9,540,37,Match Report,2017-08-19,12:30 (04:30),Premier League,Matchweek 2,Sat,Away,W,4,0,Swansea City,1,0,0,11,12,0,20,17,11,0,0,0,56,11,19,36.7,Match Report
2017-08-26,17:30 (09:30),Premier League,Matchweek 3,Sat,Home,W,2,0,Leicester City,2,21,6,28.6,0.10,0.33,19.6,1,0,1,2.8,2.0,0.10,-0.8,0.0,Match Report,2017-08-26,17:30 (09:30),Premier League,Matchweek 3,Sat,Home,W,2,0,Leicester City,4,0,4,100.0,1,1.8,+1.8,0,0,0,0,7,16,43.8,18,3,55.6,37.8,6,100.0,61.8,6,2,33.3,3,13.0,Match Report,2017-08-26,17:30 (09:30),Premier League,Matchweek 3,Sat,Home,W,2,0,Leicester City,604,724,83.4,9545,3253,322,355,90.7,219,246,89.0,42,81,51.9,2,1.9,1.6,18,45,20,4,75,Match Report,2017-08-26,17:30 (09:30),Premier League,Matchweek 3,Sat,Home,W,2,0,Leicester City,724,679,43,8,2,3,38,19,9,2,5,0,604,2,14,Match Report,2017-08-26,17:30 (09:30),Premier League,Matchweek 3,Sat,Home,W,2,0,Leicester City,40,34,2,1,2,1,0,3,1,1,0,1,0,0,Match Report,2017-08-26,17:30 (09:30),Premier League,Matchweek 3,Sat,Home,W,2,0,Leicester City,9,8,4,5,0,4,14,28.6,10,6,2,4,8,17,19,0,Match Report,2017-08-26,17:30 (09:30),Premier League,Matchweek 3,Sat,Home,W,2,0,Leicester City,69,818,42,153,368,303,37,817,21,17,81.0,4,19.0,535,3026,1700,40,30,7,11,18,601,74,Match Report,2017-08-26,17:30 (09:30),Premier League,Matchweek 3,Sat,Home,W,2,0,Leicester City,1,0,0,8,6,2,38,8,8,0,0,0,59,22,23,48.9,Match Report
2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Away,D,2,2,Stoke City,2,18,8,44.4,0.11,0.25,18.0,1,0,0,2.1,2.1,0.13,-0.1,-0.1,Match Report,2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Away,D,2,2,Stoke City,5,2,3,60.0,0,2.2,+0.2,0,0,0,0,2,7,28.6,19,6,31.6,31.9,7,14.3,30.1,11,2,18.2,0,8.0,Match Report,2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Away,D,2,2,Stoke City,525,628,83.6,9195,2905,213,224,95.1,233,266,87.6,53,88,60.2,1,1.8,1.5,13,40,11,1,37,Match Report,2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Away,D,2,2,Stoke City,628,569,55,10,5,2,30,24,11,4,2,0,525,4,16,Match Report,2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Away,D,2,2,Stoke City,33,26,1,2,3,1,0,2,0,0,0,2,0,0,Match Report,2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Away,D,2,2,Stoke City,9,7,5,3,1,2,11,18.2,9,4,1,3,8,17,16,0,Match Report,2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Away,D,2,2,Stoke City,63,701,45,152,340,212,34,701,14,10,71.4,4,28.6,407,2259,1298,28,20,9,5,15,522,36,Match Report,2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Away,D,2,2,Stoke City,0,0,0,10,9,4,30,8,7,0,0,0,37,16,13,55.2,Match Report
2017-09-12,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,ch Basel,3,18,8,44.4,0.17,0.38,13.8,1,0,0,3.4,3.4,0.22,-0.4,-0.4,Match Report,2017-09-12,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,ch Basel,2,0,2,100.0,1,0.3,+0.3,0,0,0,0,11,19,57.9,27,3,51.9,39.2,6,83.3,51.5,14,0,0.0,0,16.0,Match Report,2017-09-12,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,ch Basel,542,639,84.8,9866,3058,231,252,91.7,227,256,88.7,66,96,68.8,2,2.2,1.8,11,43,13,2,53,Match Report,2017-09-12,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,ch Basel,639,588,49,15,1,6,18,20,7,4,0,0,542,2,12,Match Report,2017-09-12,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,ch Basel,33,20,4,4,2,3,0,6,6,0,0,0,0,0,Match Report,2017-09-12,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,ch Basel,13,7,4,5,4,4,13,30.8,9,11,1,10,9,22,18,0,Match Report,2017-09-12,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,ch Basel,60,754,54,147,445,164,27,754,22,9,40.9,13,59.1,485,2295,1157,26,17,2,11,4,536,53,Match Report,2017-09-12,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,ch Basel,2,0,0,12,14,2,18,9,7,0,0,0,55,16,11,59.3,Match Report
2017-09-17,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,W,4,0,Everton,4,15,6,40.0,0.20,0.50,15.7,2,1,1,2.9,2.1,0.15,+1.1,+0.9,Match Report,2017-09-17,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,W,4,0,Everton,3,0,3,100.0,1,0.9,+0.9,0,0,0,0,6,11,54.5,12,1,58.3,43.8,6,66.7,51.8,7,0,0.0,2,19.7,Match Report,2017-09-17,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,W,4,0,Everton,421,525,80.2,6901,2424,210,232,90.5,142,171,83.0,44,82,53.7,3,1.3,1.0,10,34,7,2,40,Match Report,2017-09-17,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,W,4,0,Everton,525,480,43,14,1,5,28,18,4,4,0,0,421,2,7,Match Report,2017-09-17,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,W,4,0,Everton,26,17,1,2,3,2,1,7,4,0,1,1,0,1,Match Report,2017-09-17,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,W,4,0,Everton,14,10,2,9,3,3,7,42.9,4,13,2,11,15,29,13,1,Match Report,2017-09-17,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,W,4,0,Everton,49,621,35,126,294,210,26,620,20,9,45.0,11,55.0,325,1819,1035,30,28,8,7,11,419,40,Match Report,2017-09-17,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,W,4,0,Everton,1,0,0,15,13,2,28,15,10,0,0,0,66,14,8,63.6,Match Report
2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Home,W,4,1,Burton Albion,4,16,11,68.8,0.25,0.36,,,0,0,,,,,,Match Report,2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Home,W,4,1,Burton Albion,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Home,W,4,1,Burton Albion,,,,,,,,,,,,,,,4,,,,,,,,Match Report,2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Home,W,4,1,Burton Albion,,,,,,,13,,,,,,,,,Match Report,2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Home,W,4,1,Burton Albion,,,,,,,,,,,,,,,Match Report,2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Home,W,4,1,Burton Albion,,14,,,,,,,,,,,12,0,,,Match Report,2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Home,W,4,1,Burton Albion,69,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Home,W,4,1,Burton Albion,0,0,0,11,14,1,13,12,14,0,0,0,,,,,Match Report
2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,1,0,Southampton,1,9,4,44.4,0.11,0.25,17.1,1,0,0,1.2,1.2,0.13,-0.2,-0.2,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,1,0,Southampton,3,0,3,100.0,1,0.3,+0.3,0,0,0,0,12,27,44.4,23,1,78.3,50.4,9,100.0,63.0,23,1,4.3,0,4.0,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,1,0,Southampton,305,398,76.6,5439,2554,139,162,85.8,112,131,85.5,39,75,52.0,0,0.3,0.5,6,22,9,1,24,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,1,0,Southampton,398,350,46,14,2,7,9,18,4,3,1,0,305,2,10,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,1,0,Southampton,15,11,1,1,1,1,0,1,0,0,0,1,0,0,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,1,0,Southampton,16,9,9,7,0,3,11,27.3,8,12,5,7,12,28,45,0,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,1,0,Southampton,40,533,86,190,229,118,16,533,11,5,45.5,6,54.5,211,1210,612,12,14,2,17,12,301,24,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,1,0,Southampton,4,0,0,9,12,2,9,12,9,0,0,0,52,17,6,73.9,Match Report
2017-09-28,00:45 (11:45),Champions Lg,Group stage,Thu,Away,W,4,1,ru CSKA Moscow,4,15,9,60.0,0.20,0.33,17.3,1,1,1,4.3,3.5,0.25,-0.3,-0.5,Match Report,2017-09-28,00:45 (11:45),Champions Lg,Group stage,Thu,Away,W,4,1,ru CSKA Moscow,7,1,6,85.7,0,1.1,+0.1,0,0,0,0,9,31,29.0,30,1,76.7,47.5,8,100.0,67.4,5,0,0.0,0,11.0,Match Report,2017-09-28,00:45 (11:45),Champions Lg,Group stage,Thu,Away,W,4,1,ru CSKA Moscow,653,767,85.1,10039,2997,337,362,93.1,212,240,88.3,51,94,54.3,2,3.2,2.2,13,37,8,3,33,Match Report,2017-09-28,00:45 (11:45),Champions Lg,Group stage,Thu,Away,W,4,1,ru CSKA Moscow,767,724,42,8,4,4,15,17,7,1,4,0,653,1,11,Match Report,2017-09-28,00:45 (11:45),Champions Lg,Group stage,Thu,Away,W,4,1,ru CSKA Moscow,29,20,1,5,1,2,0,7,5,0,0,1,1,0,Match Report,2017-09-28,00:45 (11:45),Champions Lg,Group stage,Thu,Away,W,4,1,ru CSKA Moscow,14,8,8,4,2,3,16,18.8,13,14,3,11,13,27,11,0,Match Report,2017-09-28,00:45 (11:45),Champions Lg,Group stage,Thu,Away,W,4,1,ru CSKA Moscow,62,863,48,150,492,230,20,862,24,16,66.7,8,33.3,562,2149,1118,21,31,7,17,8,645,33,Match Report,2017-09-28,00:45 (11:45),Champions Lg,Group stage,Thu,Away,W,4,1,ru CSKA Moscow,0,0,0,5,10,1,15,13,8,1,0,0,66,18,13,58.1,Match Report
