Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-13,13:30 (05:30),Premier League,Matchweek 1,Sun,Home,L,0,2,Tottenham,0,6,2,33.3,0.00,0.00,11.9,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Match Report,2017-08-13,13:30 (05:30),Premier League,Matchweek 1,Sun,Home,L,0,2,Tottenham,6,2,4,66.7,0,2.1,+0.1,0,0,0,0,6,27,22.2,27,4,74.1,51.4,7,100.0,61.4,13,0,0.0,0,8.0,Match Report,2017-08-13,13:30 (05:30),Premier League,Matchweek 1,Sun,Home,L,0,2,Tottenham,186,296,62.8,3510,1574,80,104,76.9,72,96,75.0,25,70,35.7,0,0.7,0.2,5,13,4,1,17,Match Report,2017-08-13,13:30 (05:30),Premier League,Matchweek 1,Sun,Home,L,0,2,Tottenham,296,243,51,10,3,2,19,26,5,3,1,0,186,2,9,Match Report,2017-08-13,13:30 (05:30),Premier League,Matchweek 1,Sun,Home,L,0,2,Tottenham,10,7,1,0,1,1,0,0,0,0,0,0,0,0,Match Report,2017-08-13,13:30 (05:30),Premier League,Matchweek 1,Sun,Home,L,0,2,Tottenham,12,9,9,3,0,6,16,37.5,10,17,7,10,8,20,33,0,Match Report,2017-08-13,13:30 (05:30),Premier League,Matchweek 1,Sun,Home,L,0,2,Tottenham,28,403,67,173,142,92,14,403,7,4,57.1,3,42.9,189,1199,627,11,10,4,8,13,185,17,Match Report,2017-08-13,13:30 (05:30),Premier League,Matchweek 1,Sun,Home,L,0,2,Tottenham,1,1,0,6,9,2,19,8,9,0,0,0,43,14,15,48.3,Match Report
2017-08-20,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,0,1,Huddersfield,0,13,5,38.5,0.00,0.00,18.2,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report,2017-08-20,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,0,1,Huddersfield,3,1,2,66.7,0,1.0,0.0,0,0,0,0,5,19,26.3,37,0,40.5,38.1,8,50.0,46.0,17,0,0.0,0,11.3,Match Report,2017-08-20,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,0,1,Huddersfield,325,463,70.2,6234,2671,142,172,82.6,125,158,79.1,52,99,52.5,0,0.6,0.6,9,24,8,2,41,Match Report,2017-08-20,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,0,1,Huddersfield,463,400,58,16,0,2,14,29,3,2,1,0,325,5,17,Match Report,2017-08-20,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,0,1,Huddersfield,22,17,3,1,0,1,0,0,0,0,0,0,0,0,Match Report,2017-08-20,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,0,1,Huddersfield,18,13,10,6,2,11,16,68.8,5,14,1,13,7,25,28,1,Match Report,2017-08-20,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,0,1,Huddersfield,48,562,51,178,277,116,19,562,16,9,56.3,7,43.8,223,1043,508,12,6,3,8,17,325,41,Match Report,2017-08-20,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,0,1,Huddersfield,4,0,0,10,12,5,14,7,13,0,0,0,47,11,23,32.4,Match Report
2017-08-23,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,2,3,Nott'ham Forest,2,29,7,24.1,0.07,0.29,,,0,0,,,,,,Match Report,2017-08-23,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,2,3,Nott'ham Forest,7,3,4,57.1,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-23,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,2,3,Nott'ham Forest,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2017-08-23,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,2,3,Nott'ham Forest,,,,,,,26,,,,,,,,,Match Report,2017-08-23,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,2,3,Nott'ham Forest,,,,,,,,,,,,,,,Match Report,2017-08-23,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,2,3,Nott'ham Forest,,0,,,,,,,,,,,0,0,,,Match Report,2017-08-23,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,2,3,Nott'ham Forest,49,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-23,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,2,3,Nott'ham Forest,1,0,0,14,11,4,26,0,0,0,0,0,,,,,Match Report
2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,W,3,0,West Ham,3,17,8,47.1,0.18,0.38,17.0,0,0,0,2.3,2.3,0.14,+0.7,+0.7,Match Report,2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,W,3,0,West Ham,3,0,3,100.0,1,0.2,+0.2,0,0,0,0,12,22,54.5,24,5,70.8,46.7,6,83.3,56.5,14,3,21.4,1,9.6,Match Report,2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,W,3,0,West Ham,195,316,61.7,4145,2352,81,115,70.4,71,104,68.3,39,80,48.8,3,2.2,1.2,15,22,7,5,29,Match Report,2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,W,3,0,West Ham,316,270,46,13,1,2,21,19,7,0,4,1,195,0,8,Match Report,2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,W,3,0,West Ham,31,25,3,3,0,0,0,6,5,0,1,0,0,0,Match Report,2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,W,3,0,West Ham,14,12,4,9,1,8,16,50.0,8,10,0,10,15,29,22,0,Match Report,2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,W,3,0,West Ham,37,422,40,109,191,127,30,422,16,8,50.0,8,50.0,221,1254,592,16,11,9,10,9,195,29,Match Report,2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,W,3,0,West Ham,1,0,0,17,10,0,21,15,12,0,0,0,46,24,16,60.0,Match Report
2017-09-10,16:00 (08:00),Premier League,Matchweek 4,Sun,Away,W,1,0,Swansea City,1,16,8,50.0,0.06,0.13,20.0,0,0,0,1.0,1.0,0.06,0.0,0.0,Match Report,2017-09-10,16:00 (08:00),Premier League,Matchweek 4,Sun,Away,W,1,0,Swansea City,3,0,3,100.0,1,0.4,+0.4,0,0,0,0,9,22,40.9,14,1,78.6,46.4,11,100.0,65.5,25,0,0.0,2,17.3,Match Report,2017-09-10,16:00 (08:00),Premier League,Matchweek 4,Sun,Away,W,1,0,Swansea City,258,363,71.1,4401,2187,132,163,81.0,79,105,75.2,32,70,45.7,1,0.8,0.5,14,19,6,3,34,Match Report,2017-09-10,16:00 (08:00),Premier League,Matchweek 4,Sun,Away,W,1,0,Swansea City,363,320,43,12,0,3,19,14,5,1,4,0,258,0,10,Match Report,2017-09-10,16:00 (08:00),Premier League,Matchweek 4,Sun,Away,W,1,0,Swansea City,28,23,2,1,2,0,0,2,1,1,0,0,0,0,Match Report,2017-09-10,16:00 (08:00),Premier League,Matchweek 4,Sun,Away,W,1,0,Swansea City,21,15,11,5,5,5,18,27.8,13,8,2,6,11,32,36,0,Match Report,2017-09-10,16:00 (08:00),Premier League,Matchweek 4,Sun,Away,W,1,0,Swansea City,38,497,59,167,194,143,15,497,9,5,55.6,4,44.4,252,1330,691,9,15,3,21,10,256,34,Match Report,2017-09-10,16:00 (08:00),Premier League,Matchweek 4,Sun,Away,W,1,0,Swansea City,3,0,0,15,11,0,19,11,15,0,0,0,51,16,21,43.2,Match Report
2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,W,2,1,Stoke City,2,14,3,21.4,0.14,0.67,16.8,0,0,0,2.0,2.0,0.14,0.0,0.0,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,W,2,1,Stoke City,4,1,3,75.0,0,1.2,+0.2,0,0,0,0,13,22,59.1,17,2,70.6,46.9,13,76.9,53.5,11,0,0.0,3,17.8,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,W,2,1,Stoke City,228,335,68.1,4455,2200,99,124,79.8,81,105,77.1,39,83,47.0,2,1.7,1.3,11,23,8,3,24,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,W,2,1,Stoke City,335,277,56,12,2,4,18,22,7,3,1,0,228,2,6,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,W,2,1,Stoke City,25,16,5,1,2,0,1,4,2,2,0,0,0,0,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,W,2,1,Stoke City,25,14,16,8,1,7,18,38.9,11,14,2,12,10,35,38,0,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,W,2,1,Stoke City,42,462,56,182,184,104,17,462,11,6,54.5,5,45.5,174,1057,624,14,8,4,12,10,226,24,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,W,2,1,Stoke City,3,0,0,13,11,2,18,10,14,0,0,0,44,22,21,51.2,Match Report
2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,1,Brighton,0,17,5,29.4,0.00,0.00,20.0,3,0,0,1.5,1.5,0.09,-1.5,-1.5,Match Report,2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,1,Brighton,3,1,2,66.7,0,1.0,0.0,0,0,0,0,2,15,13.3,19,5,47.4,37.9,9,66.7,48.7,15,1,6.7,4,18.1,Match Report,2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,1,Brighton,397,511,77.7,6214,1996,213,237,89.9,152,187,81.3,23,63,36.5,0,0.5,0.8,8,26,12,1,44,Match Report,2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,1,Brighton,511,460,51,4,1,0,20,28,8,2,3,1,397,0,13,Match Report,2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,1,Brighton,30,20,2,2,1,4,1,0,0,0,0,0,0,0,Match Report,2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,1,Brighton,14,10,9,2,3,6,12,50.0,6,3,1,2,12,26,33,0,Match Report,2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,1,Brighton,51,621,55,170,279,178,23,621,18,11,61.1,7,38.9,367,1947,1095,19,12,3,10,9,395,44,Match Report,2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,1,Brighton,1,0,0,8,6,0,20,12,10,0,0,0,38,20,32,38.5,Match Report
2017-10-01,16:30 (08:30),Premier League,Matchweek 7,Sun,Home,D,1,1,Liverpool,1,8,5,62.5,0.13,0.20,24.8,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Match Report,2017-10-01,16:30 (08:30),Premier League,Matchweek 7,Sun,Home,D,1,1,Liverpool,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,9,28,32.1,22,4,72.7,46.3,16,75.0,53.6,17,0,0.0,0,15.5,Match Report,2017-10-01,16:30 (08:30),Premier League,Matchweek 7,Sun,Home,D,1,1,Liverpool,215,331,65.0,3873,1955,101,126,80.2,75,108,69.4,28,76,36.8,0,0.1,0.3,4,16,1,0,25,Match Report,2017-10-01,16:30 (08:30),Premier League,Matchweek 7,Sun,Home,D,1,1,Liverpool,331,282,48,8,3,2,10,21,1,0,1,0,215,1,7,Match Report,2017-10-01,16:30 (08:30),Premier League,Matchweek 7,Sun,Home,D,1,1,Liverpool,14,13,0,0,0,1,0,2,2,0,0,0,0,0,Match Report,2017-10-01,16:30 (08:30),Premier League,Matchweek 7,Sun,Home,D,1,1,Liverpool,14,10,10,4,0,0,10,0.0,10,11,6,5,13,27,39,1,Match Report,2017-10-01,16:30 (08:30),Premier League,Matchweek 7,Sun,Home,D,1,1,Liverpool,33,442,71,179,199,68,7,442,5,3,60.0,2,40.0,202,989,469,12,8,3,13,14,213,25,Match Report,2017-10-01,16:30 (08:30),Premier League,Matchweek 7,Sun,Home,D,1,1,Liverpool,1,0,0,11,6,1,10,13,10,0,0,0,48,16,20,44.4,Match Report
2017-10-15,16:00 (08:00),Premier League,Matchweek 8,Sun,Away,D,2,2,Southampton,2,19,4,21.1,0.11,0.50,17.1,0,0,0,1.2,1.2,0.06,+0.8,+0.8,Match Report,2017-10-15,16:00 (08:00),Premier League,Matchweek 8,Sun,Away,D,2,2,Southampton,2,2,0,50.0,0,1.4,-0.6,1,1,0,0,10,23,43.5,24,2,66.7,44.0,7,100.0,60.7,17,2,11.8,1,7.7,Match Report,2017-10-15,16:00 (08:00),Premier League,Matchweek 8,Sun,Away,D,2,2,Southampton,279,394,70.8,4721,2003,131,155,84.5,110,140,78.6,23,72,31.9,0,0.7,0.5,12,19,7,1,33,Match Report,2017-10-15,16:00 (08:00),Premier League,Matchweek 8,Sun,Away,D,2,2,Southampton,394,345,49,12,3,1,26,19,8,2,6,0,279,0,11,Match Report,2017-10-15,16:00 (08:00),Premier League,Matchweek 8,Sun,Away,D,2,2,Southampton,31,19,5,1,5,1,0,2,0,0,0,2,0,0,Match Report,2017-10-15,16:00 (08:00),Premier League,Matchweek 8,Sun,Away,D,2,2,Southampton,14,9,10,1,3,3,15,20.0,12,11,4,7,6,20,40,0,Match Report,2017-10-15,16:00 (08:00),Premier League,Matchweek 8,Sun,Away,D,2,2,Southampton,38,511,65,186,196,132,22,511,11,9,81.8,2,18.2,246,1316,756,10,10,0,11,9,278,33,Match Report,2017-10-15,16:00 (08:00),Premier League,Matchweek 8,Sun,Away,D,2,2,Southampton,2,0,0,12,11,0,26,6,9,0,1,0,51,18,27,40.0,Match Report
2017-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,W,1,0,Crystal Palace,1,7,3,42.9,0.14,0.33,20.6,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Match Report,2017-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,W,1,0,Crystal Palace,0,0,0,,1,0.0,0.0,0,0,0,0,11,17,64.7,25,3,40.0,35.4,11,63.6,52.3,10,0,0.0,2,19.5,Match Report,2017-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,W,1,0,Crystal Palace,383,495,77.4,7005,2739,172,201,85.6,156,190,82.1,42,79,53.2,0,0.2,0.3,5,15,4,1,28,Match Report,2017-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,W,1,0,Crystal Palace,495,443,52,15,0,5,17,22,3,1,1,0,383,0,8,Match Report,2017-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,W,1,0,Crystal Palace,10,7,0,2,0,0,1,0,0,0,0,0,0,0,Match Report,2017-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,W,1,0,Crystal Palace,16,12,9,7,0,5,18,27.8,13,18,3,15,6,22,35,0,Match Report,2017-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,W,1,0,Crystal Palace,54,617,62,215,298,111,14,617,12,5,41.7,7,58.3,361,1886,1043,14,16,1,17,9,377,27,Match Report,2017-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,W,1,0,Crystal Palace,4,0,0,12,14,0,17,6,12,0,0,0,55,23,27,46.0,Match Report
