Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Everton,0,9,1,11.1,0.00,0.00,22.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2017-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Everton,4,1,3,75.0,0,0.6,-0.4,0,0,0,0,10,18,55.6,21,4,57.1,39.5,8,75.0,55.1,13,0,0.0,1,14.5,Match Report,2017-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Everton,233,356,65.4,4563,2068,97,114,85.1,90,126,71.4,37,88,42.0,0,0.3,0.6,6,25,9,1,34,Match Report,2017-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Everton,356,291,59,15,0,1,27,27,7,4,2,1,233,6,8,Match Report,2017-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Everton,14,11,0,1,1,1,0,0,0,0,0,0,0,0,Match Report,2017-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Everton,18,12,11,5,2,6,7,85.7,1,10,2,8,24,42,26,1,Match Report,2017-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Everton,40,473,49,154,192,135,16,473,13,10,76.9,3,23.1,190,1434,729,12,10,5,17,14,227,33,Match Report,2017-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Everton,1,0,0,10,13,6,27,24,12,0,0,0,38,23,19,54.8,Match Report
2017-08-19,17:30 (09:30),Premier League,Matchweek 2,Sat,Home,W,1,0,Arsenal,1,11,4,36.4,0.09,0.25,15.4,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Match Report,2017-08-19,17:30 (09:30),Premier League,Matchweek 2,Sat,Home,W,1,0,Arsenal,6,0,6,100.0,1,1.1,+1.1,0,0,0,0,15,37,40.5,30,3,83.3,57.1,12,100.0,64.1,20,1,5.0,2,11.4,Match Report,2017-08-19,17:30 (09:30),Premier League,Matchweek 2,Sat,Home,W,1,0,Arsenal,151,243,62.1,3390,1900,63,80,78.8,57,81,70.4,29,71,40.8,1,0.6,0.7,8,13,5,2,16,Match Report,2017-08-19,17:30 (09:30),Premier League,Matchweek 2,Sat,Home,W,1,0,Arsenal,243,197,42,14,2,3,10,13,2,1,0,0,151,4,3,Match Report,2017-08-19,17:30 (09:30),Premier League,Matchweek 2,Sat,Home,W,1,0,Arsenal,19,9,3,2,3,2,0,2,2,0,0,0,0,0,Match Report,2017-08-19,17:30 (09:30),Premier League,Matchweek 2,Sat,Home,W,1,0,Arsenal,19,11,13,5,1,4,20,20.0,16,14,6,8,8,27,37,1,Match Report,2017-08-19,17:30 (09:30),Premier League,Matchweek 2,Sat,Home,W,1,0,Arsenal,24,356,85,168,132,66,10,356,12,7,58.3,5,41.7,141,1117,524,8,8,3,10,10,146,16,Match Report,2017-08-19,17:30 (09:30),Premier League,Matchweek 2,Sat,Home,W,1,0,Arsenal,0,0,0,6,11,4,10,8,11,0,0,0,38,17,9,65.4,Match Report
2017-08-23,20:00 (12:00),EFL Cup,Second round,Wed,Home,W,4,0,Rochdale,4,21,7,33.3,0.19,0.57,,,0,0,,,,,,Match Report,2017-08-23,20:00 (12:00),EFL Cup,Second round,Wed,Home,W,4,0,Rochdale,3,0,3,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-23,20:00 (12:00),EFL Cup,Second round,Wed,Home,W,4,0,Rochdale,,,,,,,,,,,,,,,4,,,,,,,,Match Report,2017-08-23,20:00 (12:00),EFL Cup,Second round,Wed,Home,W,4,0,Rochdale,,,,,,,16,,,,,,,,,Match Report,2017-08-23,20:00 (12:00),EFL Cup,Second round,Wed,Home,W,4,0,Rochdale,,,,,,,,,,,,,,,Match Report,2017-08-23,20:00 (12:00),EFL Cup,Second round,Wed,Home,W,4,0,Rochdale,,12,,,,,,,,,,,17,0,,,Match Report,2017-08-23,20:00 (12:00),EFL Cup,Second round,Wed,Home,W,4,0,Rochdale,46,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-23,20:00 (12:00),EFL Cup,Second round,Wed,Home,W,4,0,Rochdale,0,0,0,7,5,2,16,17,12,0,0,0,,,,,Match Report
2017-08-27,13:30 (05:30),Premier League,Matchweek 3,Sun,Away,D,1,1,West Brom,1,16,2,12.5,0.06,0.50,19.0,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Match Report,2017-08-27,13:30 (05:30),Premier League,Matchweek 3,Sun,Away,D,1,1,West Brom,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,1,13,7.7,24,6,37.5,34.5,7,57.1,47.6,25,3,12.0,0,9.0,Match Report,2017-08-27,13:30 (05:30),Premier League,Matchweek 3,Sun,Away,D,1,1,West Brom,406,485,83.7,7409,2562,190,209,90.9,154,173,89.0,54,87,62.1,0,0.8,0.7,14,48,14,4,56,Match Report,2017-08-27,13:30 (05:30),Premier League,Matchweek 3,Sun,Away,D,1,1,West Brom,485,441,44,12,0,11,22,19,4,3,1,0,406,0,6,Match Report,2017-08-27,13:30 (05:30),Premier League,Matchweek 3,Sun,Away,D,1,1,West Brom,30,25,2,0,3,0,0,2,1,0,0,1,0,0,Match Report,2017-08-27,13:30 (05:30),Premier League,Matchweek 3,Sun,Away,D,1,1,West Brom,20,11,8,7,5,4,8,50.0,4,5,0,5,7,27,45,0,Match Report,2017-08-27,13:30 (05:30),Premier League,Matchweek 3,Sun,Away,D,1,1,West Brom,57,616,57,162,282,178,23,616,19,10,52.6,9,47.4,322,1876,1102,21,15,3,18,8,403,54,Match Report,2017-08-27,13:30 (05:30),Premier League,Matchweek 3,Sun,Away,D,1,1,West Brom,2,0,0,9,10,0,22,7,11,0,0,0,26,28,12,70.0,Match Report
2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,D,2,2,Manchester Utd,2,10,5,50.0,0.20,0.40,16.8,0,0,0,1.2,1.2,0.12,+0.8,+0.8,Match Report,2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,D,2,2,Manchester Utd,8,2,6,75.0,0,1.7,-0.3,0,0,0,0,10,29,34.5,29,3,75.9,46.3,7,100.0,69.3,16,0,0.0,1,14.4,Match Report,2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,D,2,2,Manchester Utd,271,363,74.7,4876,2118,135,147,91.8,97,117,82.9,31,73,42.5,2,1.2,0.7,9,21,3,2,29,Match Report,2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,D,2,2,Manchester Utd,363,320,42,14,3,3,14,13,5,5,0,0,271,1,4,Match Report,2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,D,2,2,Manchester Utd,19,13,2,1,1,1,1,4,2,1,0,1,0,0,Match Report,2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,D,2,2,Manchester Utd,19,13,12,5,2,4,14,28.6,10,12,4,8,7,26,31,0,Match Report,2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,D,2,2,Manchester Utd,37,467,62,155,237,81,14,467,11,9,81.8,2,18.2,265,1502,798,15,7,5,14,7,269,29,Match Report,2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,D,2,2,Manchester Utd,0,0,0,10,10,1,14,7,13,0,0,0,38,13,16,44.8,Match Report
2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,1,2,Newcastle Utd,1,13,4,30.8,0.08,0.25,21.3,1,0,0,0.7,0.7,0.05,+0.3,+0.3,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,1,2,Newcastle Utd,3,2,1,33.3,0,1.0,-1.0,0,0,0,0,6,24,25.0,33,8,57.6,41.7,8,62.5,48.9,15,0,0.0,2,15.3,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,1,2,Newcastle Utd,352,471,74.7,6531,2682,156,187,83.4,137,170,80.6,49,90,54.4,1,0.7,0.4,12,43,4,2,45,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,1,2,Newcastle Utd,471,397,73,14,3,6,14,43,5,1,3,0,352,1,14,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,1,2,Newcastle Utd,23,16,3,1,3,0,0,2,2,0,0,0,0,0,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,1,2,Newcastle Utd,15,11,7,6,2,5,11,45.5,6,8,4,4,9,24,27,1,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,1,2,Newcastle Utd,58,579,58,147,285,154,19,579,18,11,61.1,7,38.9,339,1554,640,9,5,4,16,18,348,43,Match Report,2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,1,2,Newcastle Utd,1,0,0,11,12,1,14,9,11,0,0,0,44,21,22,48.8,Match Report
2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Bristol City,0,14,5,35.7,0.00,0.00,,,0,0,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Bristol City,7,2,5,71.4,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Bristol City,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Bristol City,,,,,,,21,,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Bristol City,,,,,,,,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Bristol City,,16,,,,,,,,,,,12,0,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Bristol City,47,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,2,Bristol City,3,0,0,18,9,3,21,12,16,0,0,0,,,,,Match Report
2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,L,0,4,Chelsea,0,13,2,15.4,0.00,0.00,18.8,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,L,0,4,Chelsea,4,4,0,0.0,0,2.5,-1.5,0,0,0,0,5,23,21.7,38,7,55.3,42.6,3,66.7,53.0,2,0,0.0,2,22.3,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,L,0,4,Chelsea,354,468,75.6,6590,2712,135,158,85.4,154,181,85.1,44,92,47.8,0,0.5,1.0,7,41,9,1,52,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,L,0,4,Chelsea,468,414,54,14,0,0,27,27,5,3,2,0,354,0,15,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,L,0,4,Chelsea,22,15,2,1,0,4,0,0,0,0,0,0,0,0,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,L,0,4,Chelsea,18,12,13,3,2,7,21,33.3,14,5,0,5,13,31,9,1,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,L,0,4,Chelsea,45,555,43,146,221,192,20,555,13,3,23.1,10,76.9,255,1372,610,13,12,2,10,16,347,51,Match Report,2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,L,0,4,Chelsea,2,0,0,5,13,0,27,13,12,0,0,0,54,7,11,38.9,Match Report
2017-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,2,1,Southampton,2,16,5,31.3,0.13,0.40,16.3,0,0,1,2.4,1.6,0.12,-0.4,+0.4,Match Report,2017-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,2,1,Southampton,3,1,2,66.7,0,0.3,-0.7,0,0,0,0,8,27,29.6,17,1,70.6,47.3,15,100.0,68.5,23,1,4.3,3,18.1,Match Report,2017-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,2,1,Southampton,189,295,64.1,3745,1928,84,107,78.5,77,108,71.3,27,67,40.3,2,1.4,0.5,9,13,5,1,22,Match Report,2017-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,2,1,Southampton,295,239,55,12,0,3,10,21,5,2,3,0,189,1,7,Match Report,2017-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,2,1,Southampton,28,17,2,2,6,1,0,3,0,1,0,2,0,0,Match Report,2017-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,2,1,Southampton,14,7,8,3,3,3,18,16.7,15,15,6,9,12,26,44,1,Match Report,2017-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,2,1,Southampton,30,429,79,166,149,118,27,428,8,4,50.0,4,50.0,188,974,458,11,11,4,21,10,184,22,Match Report,2017-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,2,1,Southampton,1,0,0,11,10,1,10,12,7,1,0,0,48,29,21,58.0,Match Report
2017-10-14,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,2,7,Manchester City,1,5,1,20.0,0.20,1.00,21.2,0,0,0,0.5,0.5,0.11,+0.5,+0.5,Match Report,2017-10-14,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,2,7,Manchester City,11,7,4,36.4,0,5.8,-1.2,0,0,0,0,6,31,19.4,24,5,62.5,45.1,16,100.0,70.4,7,0,0.0,0,3.0,Match Report,2017-10-14,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,2,7,Manchester City,167,252,66.3,2924,1331,82,97,84.5,51,71,71.8,22,62,35.5,1,0.5,0.4,4,14,2,1,13,Match Report,2017-10-14,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,2,7,Manchester City,252,207,44,7,0,1,2,13,0,0,0,0,167,1,2,Match Report,2017-10-14,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,2,7,Manchester City,10,7,0,3,0,0,0,2,2,0,0,0,0,0,Match Report,2017-10-14,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,2,7,Manchester City,12,9,9,2,1,3,8,37.5,5,8,0,8,11,23,19,1,Match Report,2017-10-14,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,2,7,Manchester City,21,335,66,156,145,43,4,335,12,6,50.0,6,50.0,136,835,438,7,7,2,10,6,166,13,Match Report,2017-10-14,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,2,7,Manchester City,1,0,0,8,5,1,2,11,9,0,0,0,33,7,18,28.0,Match Report
