Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-11,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,D,2,2,Wolves,2,8,5,62.5,0.25,0.40,11.5,0,0,0,1.0,1.0,0.12,+1.0,+1.0,Match Report,2018-08-11,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,D,2,2,Wolves,4,2,2,50.0,0,1.7,-0.3,0,0,0,0,3,27,11.1,27,2,70.4,47.9,10,80.0,57.4,16,0,0.0,3,26.7,Match Report,2018-08-11,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,D,2,2,Wolves,326,448,72.8,5427,1744,176,209,84.2,106,133,79.7,33,80,41.3,2,0.9,0.6,6,19,4,1,23,Match Report,2018-08-11,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,D,2,2,Wolves,448,397,48,10,0,5,15,19,6,5,1,0,326,3,12,Match Report,2018-08-11,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,D,2,2,Wolves,13,7,2,0,2,1,1,4,3,0,0,0,1,0,Match Report,2018-08-11,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,D,2,2,Wolves,23,15,10,8,5,9,18,50.0,9,13,2,11,11,34,33,0,Match Report,2018-08-11,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,D,2,2,Wolves,42,562,57,186,257,127,18,562,7,2,28.6,4,57.1,306,1317,622,13,12,2,15,8,324,23,Match Report,2018-08-11,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,D,2,2,Wolves,1,1,0,7,8,3,15,11,15,0,0,0,42,22,21,51.2,Match Report
2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,2,1,Southampton,2,13,7,53.8,0.15,0.29,16.6,0,0,0,1.5,1.5,0.12,+0.5,+0.5,Match Report,2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,2,1,Southampton,4,1,3,75.0,0,1.5,+0.5,0,0,0,0,7,21,33.3,26,3,65.4,48.5,10,40.0,45.6,14,2,14.3,4,16.7,Match Report,2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,2,1,Southampton,339,469,72.3,5941,2510,158,183,86.3,119,164,72.6,39,81,48.1,2,1.5,1.4,12,24,8,2,38,Match Report,2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,2,1,Southampton,469,408,59,23,3,3,19,22,2,1,0,1,339,2,11,Match Report,2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,2,1,Southampton,23,14,5,1,0,3,0,4,3,1,0,0,0,0,Match Report,2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,2,1,Southampton,18,10,8,6,4,3,7,42.9,4,13,5,8,14,32,20,1,Match Report,2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,2,1,Southampton,57,575,50,163,270,144,26,575,12,8,66.7,4,33.3,314,1439,775,12,10,5,13,7,336,38,Match Report,2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,2,1,Southampton,0,0,0,8,20,2,19,14,10,0,0,0,56,22,31,41.5,Match Report
2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,2,2,Bournemouth,2,11,3,27.3,0.18,0.67,19.4,1,0,0,0.6,0.6,0.06,+1.4,+1.4,Match Report,2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,2,2,Bournemouth,5,2,3,80.0,0,1.6,-0.4,1,1,0,0,11,30,36.7,30,5,70.0,49.5,10,90.0,61.6,16,1,6.3,3,18.2,Match Report,2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,2,2,Bournemouth,334,434,77.0,6024,2040,153,174,87.9,115,132,87.1,46,87,52.9,2,0.5,0.6,9,24,8,4,33,Match Report,2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,2,2,Bournemouth,434,379,55,16,1,11,15,24,2,1,1,0,334,0,9,Match Report,2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,2,2,Bournemouth,20,15,2,0,1,1,1,4,3,1,0,0,0,0,Match Report,2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,2,2,Bournemouth,21,12,11,9,1,9,15,60.0,6,7,2,5,12,33,32,0,Match Report,2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,2,2,Bournemouth,50,557,64,160,269,133,19,557,16,8,50.0,8,50.0,328,1896,819,12,15,5,18,9,332,33,Match Report,2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,2,2,Bournemouth,3,1,0,10,12,0,15,12,12,0,1,0,45,18,15,54.5,Match Report
2018-08-29,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Rotherham Utd,3,15,9,60.0,0.20,0.33,,,0,0,,,,,,Match Report,2018-08-29,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Rotherham Utd,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-08-29,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Rotherham Utd,,,,,,,,,,,,,,,3,,,,,,,,Match Report,2018-08-29,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Rotherham Utd,,,,,,,5,,,,,,,,,Match Report,2018-08-29,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Rotherham Utd,,,,,,,,,,,,,,,Match Report,2018-08-29,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Rotherham Utd,,0,,,,,,,,,,,0,0,,,Match Report,2018-08-29,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Rotherham Utd,53,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-08-29,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Rotherham Utd,1,0,0,15,7,3,5,0,0,0,0,0,,,,,Match Report
2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,1,1,Huddersfield,1,11,1,9.1,0.09,1.00,17.0,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,1,1,Huddersfield,6,1,5,83.3,0,1.3,+0.3,0,0,0,0,5,17,29.4,20,4,45.0,38.5,8,100.0,70.3,16,0,0.0,0,7.0,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,1,1,Huddersfield,411,513,80.1,7416,2405,188,216,87.0,157,184,85.3,53,85,62.4,1,0.8,1.1,9,38,8,3,48,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,1,1,Huddersfield,513,460,52,13,0,2,19,25,4,0,4,0,411,1,7,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,1,1,Huddersfield,20,15,4,0,1,0,0,2,2,0,0,0,0,0,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,1,1,Huddersfield,15,12,9,6,0,5,12,41.7,7,11,1,10,8,23,33,0,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,1,1,Huddersfield,57,621,55,151,350,124,12,621,11,3,27.3,8,72.7,408,1933,1089,15,19,3,10,22,409,48,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,1,1,Huddersfield,3,0,0,13,13,1,19,8,12,0,0,0,51,26,31,45.6,Match Report
2018-09-16,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,L,1,3,West Ham,1,16,4,25.0,0.06,0.25,19.8,3,0,0,1.4,1.4,0.08,-0.4,-0.4,Match Report,2018-09-16,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,L,1,3,West Ham,4,3,1,25.0,0,1.8,-1.2,0,0,0,0,4,12,33.3,26,11,26.9,29.8,9,55.6,54.8,5,0,0.0,4,21.3,Match Report,2018-09-16,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,L,1,3,West Ham,397,524,75.8,7169,2787,167,196,85.2,170,210,81.0,48,84,57.1,1,1.0,0.9,8,44,9,4,59,Match Report,2018-09-16,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,L,1,3,West Ham,524,465,56,9,1,4,22,30,4,1,3,0,397,3,9,Match Report,2018-09-16,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,L,1,3,West Ham,24,14,1,2,1,5,1,2,2,0,0,0,0,0,Match Report,2018-09-16,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,L,1,3,West Ham,22,13,13,5,4,10,20,50.0,10,11,3,8,10,32,9,2,Match Report,2018-09-16,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,L,1,3,West Ham,56,627,47,150,314,169,21,627,21,13,61.9,8,38.1,388,2302,1392,21,15,6,18,11,395,59,Match Report,2018-09-16,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,L,1,3,West Ham,2,0,0,15,11,3,22,10,13,0,0,0,53,14,16,46.7,Match Report
2018-09-23,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,2,Arsenal,0,10,6,60.0,0.00,0.00,17.1,1,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report,2018-09-23,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,2,Arsenal,5,2,3,60.0,0,1.4,-0.6,0,0,0,0,7,13,53.8,20,3,60.0,45.7,1,100.0,99.0,11,0,0.0,0,,Match Report,2018-09-23,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,2,Arsenal,269,373,72.1,4704,2000,130,149,87.2,91,123,74.0,28,59,47.5,0,0.8,0.8,9,24,6,1,35,Match Report,2018-09-23,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,2,Arsenal,373,315,56,17,2,0,27,26,9,6,1,0,269,2,14,Match Report,2018-09-23,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,2,Arsenal,19,13,1,3,0,2,0,0,0,0,0,0,0,0,Match Report,2018-09-23,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,2,Arsenal,20,11,13,3,4,6,12,50.0,6,10,3,7,18,38,28,0,Match Report,2018-09-23,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,2,Arsenal,38,499,51,157,198,152,17,499,19,13,68.4,6,31.6,279,1465,676,13,13,4,22,13,266,35,Match Report,2018-09-23,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,2,Arsenal,1,0,0,12,15,2,27,18,11,0,0,0,48,15,18,45.5,Match Report
2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,3,0,Fulham,3,18,6,33.3,0.17,0.50,18.8,1,0,1,2.3,1.5,0.09,+0.7,+1.5,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,3,0,Fulham,0,0,0,,1,0.0,0.0,0,0,0,0,10,18,55.6,23,3,65.2,45.2,5,60.0,50.6,4,0,0.0,0,8.0,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,3,0,Fulham,349,453,77.0,6066,2474,161,181,89.0,123,148,83.1,42,81,51.9,2,1.5,1.0,15,25,6,3,38,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,3,0,Fulham,453,393,54,10,0,3,30,26,12,7,4,0,349,6,11,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,3,0,Fulham,34,27,2,1,2,2,0,6,6,0,0,0,0,0,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,3,0,Fulham,25,18,14,7,4,9,14,64.3,5,4,0,4,19,44,15,0,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,3,0,Fulham,51,566,42,186,233,154,28,565,12,7,58.3,5,41.7,301,1586,871,17,17,9,19,16,346,38,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,3,0,Fulham,0,0,0,13,13,6,30,19,18,1,0,0,56,16,20,44.4,Match Report
2018-10-02,19:45 (11:45),EFL Cup,Third round,Tue,Home,D,1 (3),1 (4),Southampton,1,7,4,57.1,0.14,0.25,,,0,0,,,,,,Match Report,2018-10-02,19:45 (11:45),EFL Cup,Third round,Tue,Home,D,1 (3),1 (4),Southampton,1,1,0,0.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-10-02,19:45 (11:45),EFL Cup,Third round,Tue,Home,D,1 (3),1 (4),Southampton,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2018-10-02,19:45 (11:45),EFL Cup,Third round,Tue,Home,D,1 (3),1 (4),Southampton,,,,,,,10,,,,,,,,,Match Report,2018-10-02,19:45 (11:45),EFL Cup,Third round,Tue,Home,D,1 (3),1 (4),Southampton,,,,,,,,,,,,,,,Match Report,2018-10-02,19:45 (11:45),EFL Cup,Third round,Tue,Home,D,1 (3),1 (4),Southampton,,0,,,,,,,,,,,0,0,,,Match Report,2018-10-02,19:45 (11:45),EFL Cup,Third round,Tue,Home,D,1 (3),1 (4),Southampton,52,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-10-02,19:45 (11:45),EFL Cup,Third round,Tue,Home,D,1 (3),1 (4),Southampton,1,0,0,4,3,0,10,0,0,0,0,0,,,,,Match Report
2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,W,2,1,Leicester City,2,17,8,47.1,0.12,0.25,19.0,0,0,0,1.3,1.3,0.07,+0.7,+0.7,Match Report,2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,W,2,1,Leicester City,2,1,1,50.0,0,0.2,-0.8,0,0,0,0,6,20,30.0,22,2,68.2,49.5,6,83.3,56.8,10,1,10.0,0,5.0,Match Report,2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,W,2,1,Leicester City,335,470,71.3,6091,2409,149,184,81.0,120,162,74.1,49,88,55.7,1,0.7,0.5,12,28,7,0,32,Match Report,2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,W,2,1,Leicester City,470,418,52,15,2,4,26,19,10,7,3,0,335,0,13,Match Report,2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,W,2,1,Leicester City,26,11,5,4,4,2,0,4,1,0,3,0,0,0,Match Report,2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,W,2,1,Leicester City,11,7,4,7,0,2,9,22.2,7,14,1,13,13,24,18,0,Match Report,2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,W,2,1,Leicester City,48,580,37,154,272,158,22,580,14,11,78.6,3,21.4,309,1351,716,17,11,3,21,10,332,31,Match Report,2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,W,2,1,Leicester City,1,0,0,11,10,0,26,13,7,0,0,0,66,26,21,55.3,Match Report
