Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0,2,Crystal Palace,0,15,6,40.0,0.00,0.00,20.4,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report,2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0,2,Crystal Palace,10,2,8,80.0,0,1.6,-0.4,0,0,0,0,4,7,57.1,23,9,21.7,28.2,5,40.0,35.0,8,0,0.0,1,20.8,Match Report,2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0,2,Crystal Palace,622,730,85.2,11149,3529,275,305,90.2,261,295,88.5,71,104,68.3,0,0.5,0.7,10,49,13,6,70,Match Report,2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0,2,Crystal Palace,730,687,41,12,3,9,32,16,5,1,4,0,622,2,6,Match Report,2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0,2,Crystal Palace,27,19,2,2,2,2,0,0,0,0,0,0,0,0,Match Report,2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0,2,Crystal Palace,27,19,10,15,2,9,21,42.9,12,5,2,3,15,42,23,1,Match Report,2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0,2,Crystal Palace,65,847,62,200,449,199,18,847,14,8,57.1,6,42.9,436,2408,1238,17,13,2,14,16,622,70,Match Report,2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0,2,Crystal Palace,1,0,0,9,11,2,32,15,19,0,0,0,58,10,20,33.3,Match Report
2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,1,3,Tottenham,1,10,3,30.0,0.10,0.33,18.8,0,0,0,1.6,1.6,0.16,-0.6,-0.6,Match Report,2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,1,3,Tottenham,11,3,8,72.7,0,2.7,-0.3,0,0,0,0,12,21,57.1,24,5,58.3,42.4,9,77.8,49.0,21,2,9.5,2,10.0,Match Report,2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,1,3,Tottenham,374,462,81.0,6463,2483,183,201,91.0,121,145,83.4,49,81,60.5,1,1.6,1.4,9,17,6,2,32,Match Report,2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,1,3,Tottenham,462,422,37,10,2,8,7,12,2,1,0,0,374,3,3,Match Report,2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,1,3,Tottenham,19,17,0,1,1,0,0,2,2,0,0,0,0,0,Match Report,2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,1,3,Tottenham,13,8,12,1,0,6,12,50.0,6,10,4,6,10,23,42,3,Match Report,2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,1,3,Tottenham,40,578,91,233,265,83,13,578,12,11,91.7,1,8.3,248,1455,677,18,11,5,15,11,374,32,Match Report,2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,1,3,Tottenham,0,0,0,5,9,3,7,10,8,0,0,0,42,7,14,33.3,Match Report
2018-08-26,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,2,Burnley,4,25,12,48.0,0.16,0.33,21.5,0,0,0,1.3,1.3,0.05,+2.7,+2.7,Match Report,2018-08-26,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,2,Burnley,2,2,0,0.0,0,1.6,-0.4,0,0,0,0,11,21,52.4,31,3,38.7,33.4,9,100.0,54.4,20,0,0.0,3,20.0,Match Report,2018-08-26,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,2,Burnley,511,610,83.8,8697,3445,235,253,92.9,198,223,88.8,53,95,55.8,3,1.2,1.4,22,34,12,4,45,Match Report,2018-08-26,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,2,Burnley,610,560,49,13,0,5,16,18,6,2,0,0,511,1,7,Match Report,2018-08-26,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,2,Burnley,45,42,1,1,1,0,0,7,4,1,1,1,0,0,Match Report,2018-08-26,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,2,Burnley,9,8,4,3,2,4,11,36.4,7,8,5,3,4,13,27,0,Match Report,2018-08-26,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,2,Burnley,63,706,70,210,337,168,22,706,13,4,30.8,9,69.2,298,1824,1008,27,15,3,8,12,507,45,Match Report,2018-08-26,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,2,Burnley,2,0,0,11,8,1,16,4,8,0,0,0,58,13,17,43.3,Match Report
2018-08-28,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,2,0,Exeter City,2,21,8,38.1,0.10,0.25,,,0,0,,,,,,Match Report,2018-08-28,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,2,0,Exeter City,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-08-28,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,2,0,Exeter City,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2018-08-28,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,2,0,Exeter City,,,,,,,19,,,,,,,,,Match Report,2018-08-28,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,2,0,Exeter City,,,,,,,,,,,,,,,Match Report,2018-08-28,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,2,0,Exeter City,,0,,,,,,,,,,,0,0,,,Match Report,2018-08-28,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,2,0,Exeter City,57,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-08-28,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,2,0,Exeter City,0,0,0,9,10,0,19,0,0,0,0,0,,,,,Match Report
2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,2,2,Brighton,2,10,5,50.0,0.20,0.40,18.3,1,0,0,1.6,1.6,0.17,+0.4,+0.4,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,2,2,Brighton,5,2,2,80.0,0,2.8,+0.8,2,1,1,0,8,19,42.1,22,4,50.0,38.4,9,88.9,54.8,25,0,0.0,0,6.0,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,2,2,Brighton,489,590,82.9,8204,2603,223,257,86.8,204,224,91.1,40,70,57.1,1,0.8,0.7,6,33,5,0,38,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,2,2,Brighton,590,539,47,13,1,7,10,21,1,1,0,0,489,4,10,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,2,2,Brighton,19,14,0,2,1,1,1,3,2,0,0,1,0,0,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,2,2,Brighton,14,12,9,5,0,9,16,56.3,7,10,2,8,9,23,28,1,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,2,2,Brighton,58,697,61,186,391,125,12,697,19,11,57.9,8,42.1,350,2079,1023,20,18,3,14,9,488,38,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,2,2,Brighton,3,0,0,14,12,4,10,9,12,0,2,0,51,15,15,50.0,Match Report
2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,0,3,Manchester City,0,9,3,33.3,0.00,0.00,23.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,0,3,Manchester City,9,3,6,66.7,0,4.8,+1.8,0,0,0,0,9,26,34.6,26,4,57.7,40.7,11,100.0,61.7,17,0,0.0,0,6.0,Match Report,2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,0,3,Manchester City,339,432,78.5,6029,2200,172,193,89.1,127,144,88.2,36,77,46.8,0,0.3,0.3,7,22,6,0,32,Match Report,2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,0,3,Manchester City,432,385,45,11,0,6,11,15,4,1,1,1,339,2,9,Match Report,2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,0,3,Manchester City,16,16,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,0,3,Manchester City,14,6,8,6,0,4,17,23.5,13,23,10,13,16,30,21,1,Match Report,2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,0,3,Manchester City,36,541,85,209,243,95,9,541,15,8,53.3,7,46.7,285,1513,758,16,14,1,13,9,337,32,Match Report,2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,0,3,Manchester City,0,0,0,7,6,2,11,16,6,0,0,0,48,7,10,41.2,Match Report
2018-09-22,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,D,1,1,Watford,1,15,3,20.0,0.07,0.33,15.9,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Match Report,2018-09-22,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,D,1,1,Watford,6,1,5,83.3,0,1.4,+0.4,0,0,0,0,8,20,40.0,27,7,48.1,35.9,9,77.8,47.3,25,0,0.0,1,22.0,Match Report,2018-09-22,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,D,1,1,Watford,426,580,73.4,7550,3036,206,248,83.1,160,197,81.2,51,98,52.0,1,1.6,1.3,13,28,6,1,55,Match Report,2018-09-22,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,D,1,1,Watford,580,523,52,15,1,4,26,18,8,6,1,1,426,5,10,Match Report,2018-09-22,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,D,1,1,Watford,28,21,2,1,4,0,0,2,1,0,0,1,0,0,Match Report,2018-09-22,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,D,1,1,Watford,14,9,7,4,3,5,9,55.6,4,6,1,5,14,28,36,1,Match Report,2018-09-22,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,D,1,1,Watford,60,702,75,239,340,125,19,702,7,4,57.1,3,42.9,317,1921,1110,22,16,4,16,8,419,55,Match Report,2018-09-22,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,D,1,1,Watford,2,0,0,11,9,5,26,14,9,0,0,0,69,28,16,63.6,Match Report
2018-09-25,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,3,1,Millwall,3,16,6,37.5,0.19,0.50,,,0,0,,,,,,Match Report,2018-09-25,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,3,1,Millwall,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-09-25,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,3,1,Millwall,,,,,,,,,,,,,,,3,,,,,,,,Match Report,2018-09-25,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,3,1,Millwall,,,,,,,16,,,,,,,,,Match Report,2018-09-25,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,3,1,Millwall,,,,,,,,,,,,,,,Match Report,2018-09-25,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,3,1,Millwall,,0,,,,,,,,,,,0,0,,,Match Report,2018-09-25,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,3,1,Millwall,60,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-09-25,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,3,1,Millwall,0,0,0,10,9,2,16,0,0,0,0,0,,,,,Match Report
2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,3,Everton,0,6,0,0.0,0.00,,22.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,3,Everton,6,3,3,50.0,0,1.7,-1.3,1,0,0,1,4,14,28.6,19,2,52.6,38.7,6,66.7,47.8,24,0,0.0,2,15.7,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,3,Everton,338,427,79.2,5686,2154,154,180,85.6,146,168,86.9,24,53,45.3,0,0.5,0.3,6,28,5,0,40,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,3,Everton,427,369,58,19,0,4,8,28,1,1,0,0,338,0,6,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,3,Everton,11,10,0,1,0,0,0,0,0,0,0,0,0,0,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,3,Everton,21,13,7,12,2,5,12,41.7,7,13,6,7,15,36,35,0,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,3,Everton,49,549,64,174,269,112,10,549,14,5,35.7,9,64.3,220,1351,685,17,9,1,16,16,337,40,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,3,Everton,3,0,0,13,13,0,8,15,13,0,1,0,43,20,16,55.6,Match Report
2018-10-07,12:00 (04:00),Premier League,Matchweek 8,Sun,Home,L,1,5,Arsenal,1,21,4,19.0,0.05,0.25,22.5,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Match Report,2018-10-07,12:00 (04:00),Premier League,Matchweek 8,Sun,Home,L,1,5,Arsenal,7,5,2,28.6,0,3.2,-1.8,0,0,0,0,14,22,63.6,25,7,52.0,37.1,10,90.0,60.2,4,0,0.0,3,19.8,Match Report,2018-10-07,12:00 (04:00),Premier League,Matchweek 8,Sun,Home,L,1,5,Arsenal,404,513,78.8,7451,2831,174,190,91.6,183,216,84.7,38,72,52.8,1,1.3,0.7,16,33,10,3,54,Match Report,2018-10-07,12:00 (04:00),Premier League,Matchweek 8,Sun,Home,L,1,5,Arsenal,513,464,45,13,3,6,17,12,4,1,0,1,404,4,11,Match Report,2018-10-07,12:00 (04:00),Premier League,Matchweek 8,Sun,Home,L,1,5,Arsenal,39,26,5,0,6,1,1,2,2,0,0,0,0,0,Match Report,2018-10-07,12:00 (04:00),Premier League,Matchweek 8,Sun,Home,L,1,5,Arsenal,16,8,6,9,1,6,14,42.9,8,8,0,8,10,26,21,0,Match Report,2018-10-07,12:00 (04:00),Premier League,Matchweek 8,Sun,Home,L,1,5,Arsenal,48,627,58,145,342,146,15,627,8,3,37.5,5,62.5,264,1586,801,16,19,1,14,16,401,52,Match Report,2018-10-07,12:00 (04:00),Premier League,Matchweek 8,Sun,Home,L,1,5,Arsenal,2,0,0,11,12,4,17,10,8,0,0,0,54,20,14,58.8,Match Report
