Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0.0,3.0,Chelsea,0,6,1,16.7,0.0,0.0,18.4,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report,2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0.0,3.0,Chelsea,4,3,1,50.0,0,2.6,-0.4,1,1,0,0,16.0,32.0,50.0,36.0,2.0,77.8,52.3,5.0,80.0,51.8,9.0,1.0,11.1,2.0,18.0,Match Report,2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0.0,3.0,Chelsea,307.0,422.0,72.7,6585.0,2358.0,106.0,125.0,84.8,124.0,158.0,78.5,67.0,115.0,58.3,0,0.3,0.4,5.0,32.0,5.0,4.0,36.0,Match Report,2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0.0,3.0,Chelsea,422.0,377.0,43.0,9.0,1.0,7.0,23,23.0,2.0,1.0,1.0,0.0,307.0,2.0,6.0,Match Report,2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0.0,3.0,Chelsea,12.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0.0,3.0,Chelsea,25.0,21,11.0,11.0,3.0,4.0,21.0,19.0,17.0,13.0,6.0,7.0,16,41,13.0,0.0,Match Report,2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0.0,3.0,Chelsea,38.0,519.0,55.0,171.0,221.0,129.0,12.0,519.0,11.0,6.0,54.5,5.0,45.5,267.0,1136.0,466.0,6.0,6.0,0.0,16.0,7.0,306.0,35.0,Match Report,2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0.0,3.0,Chelsea,2,0,0,9,8,2,23,16,21,0,1,0,63.0,21.0,16.0,56.8,Match Report
2018-08-19,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,1.0,6.0,Manchester City,1,5,1,20.0,0.2,1.0,16.6,0.0,0,0,0.7,0.7,0.13,0.3,0.3,Match Report,2018-08-19,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,1.0,6.0,Manchester City,14,6,9,57.1,0,5.8,0.8,0,0,0,0,10.0,31.0,32.3,24.0,1.0,83.3,54.7,12.0,91.7,62.3,21.0,1.0,4.8,0.0,8.6,Match Report,2018-08-19,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,1.0,6.0,Manchester City,156.0,249.0,62.7,3131.0,1572.0,71.0,90.0,78.9,53.0,73.0,72.6,27.0,65.0,41.5,1,0.6,0.4,3.0,14.0,2.0,1.0,19.0,Match Report,2018-08-19,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,1.0,6.0,Manchester City,249.0,205.0,43.0,10.0,0.0,3.0,12,11.0,3.0,2.0,1.0,0.0,156.0,1.0,14.0,Match Report,2018-08-19,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,1.0,6.0,Manchester City,10.0,8.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Match Report,2018-08-19,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,1.0,6.0,Manchester City,16.0,7,12.0,4.0,0.0,5.0,23.0,21.7,18.0,17.0,7.0,10.0,7,23,29.0,2.0,Match Report,2018-08-19,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,1.0,6.0,Manchester City,24.0,352.0,93.0,176.0,113.0,66.0,12.0,352.0,4.0,4.0,100.0,0.0,0.0,151.0,705.0,391.0,6.0,6.0,2.0,10.0,5.0,155.0,19.0,Match Report,2018-08-19,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,1.0,6.0,Manchester City,2,0,0,4,8,1,12,7,7,0,0,1,36.0,18.0,17.0,51.4,Match Report
2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,0.0,0.0,Cardiff City,0,5,1,20.0,0.0,0.0,19.6,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report,2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,0.0,0.0,Cardiff City,4,0,4,100.0,1,0.3,0.2,0,0,0,0,8.0,25.0,32.0,28.0,4.0,46.4,41.8,11.0,100.0,67.7,13.0,1.0,7.7,0.0,9.0,Match Report,2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,0.0,0.0,Cardiff City,321.0,451.0,71.2,6107.0,2374.0,141.0,172.0,82.0,128.0,166.0,77.1,45.0,97.0,46.4,0,0.1,0.2,2.0,35.0,2.0,1.0,30.0,Match Report,2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,0.0,0.0,Cardiff City,451.0,397.0,53.0,11.0,0.0,2.0,26,23.0,7.0,2.0,4.0,0.0,321.0,1.0,6.0,Match Report,2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,0.0,0.0,Cardiff City,9.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,0.0,0.0,Cardiff City,14.0,9,10.0,3.0,1.0,5.0,8.0,62.5,3.0,10.0,4.0,6.0,6,20,24.0,1.0,Match Report,2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,0.0,0.0,Cardiff City,57.0,543.0,66.0,190.0,227.0,129.0,8.0,543.0,3.0,3.0,100.0,0.0,0.0,267.0,1579.0,788.0,19.0,11.0,1.0,14.0,19.0,316.0,29.0,Match Report,2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,0.0,0.0,Cardiff City,0,1,0,8,9,1,26,6,9,0,0,0,39.0,27.0,35.0,43.5,Match Report
2018-08-28,20:00 (12:00),EFL Cup,Second round,Tue,Away,L,0.0,2.0,Stoke City,0,9,1,11.1,0.0,0.0,,,0,0,,,,,,Match Report,2018-08-28,20:00 (12:00),EFL Cup,Second round,Tue,Away,L,0.0,2.0,Stoke City,5,2,3,60.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-08-28,20:00 (12:00),EFL Cup,Second round,Tue,Away,L,0.0,2.0,Stoke City,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2018-08-28,20:00 (12:00),EFL Cup,Second round,Tue,Away,L,0.0,2.0,Stoke City,,,,,,,18,,,,,,,,,Match Report,2018-08-28,20:00 (12:00),EFL Cup,Second round,Tue,Away,L,0.0,2.0,Stoke City,,,,,,,,,,,,,,,Match Report,2018-08-28,20:00 (12:00),EFL Cup,Second round,Tue,Away,L,0.0,2.0,Stoke City,,0,,,,,,,,,,,0,0,,,Match Report,2018-08-28,20:00 (12:00),EFL Cup,Second round,Tue,Away,L,0.0,2.0,Stoke City,54.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-08-28,20:00 (12:00),EFL Cup,Second round,Tue,Away,L,0.0,2.0,Stoke City,1,0,0,11,11,2,18,0,0,0,0,1,,,,,Match Report
2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,1.0,1.0,Everton,1,9,6,66.7,0.11,0.17,22.1,0.0,0,0,0.4,0.4,0.05,0.6,0.6,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,1.0,1.0,Everton,1,1,0,0.0,0,0.3,-0.7,0,0,0,0,11.0,21.0,52.4,22.0,3.0,50.0,44.0,11.0,90.9,59.9,12.0,1.0,8.3,1.0,17.7,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,1.0,1.0,Everton,272.0,388.0,70.1,5367.0,2292.0,107.0,131.0,81.7,107.0,140.0,76.4,46.0,86.0,53.5,0,0.2,0.3,5.0,10.0,3.0,3.0,17.0,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,1.0,1.0,Everton,388.0,328.0,60.0,14.0,0.0,2.0,20,30.0,3.0,3.0,0.0,0.0,272.0,0.0,12.0,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,1.0,1.0,Everton,13.0,10.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,1.0,1.0,Everton,30.0,21,12.0,15.0,3.0,8.0,11.0,72.7,3.0,5.0,2.0,3.0,17,47,22.0,0.0,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,1.0,1.0,Everton,43.0,506.0,41.0,190.0,220.0,109.0,14.0,506.0,12.0,7.0,58.3,5.0,41.7,227.0,1395.0,668.0,13.0,11.0,1.0,17.0,10.0,272.0,17.0,Match Report,2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,1.0,1.0,Everton,3,0,0,14,13,0,20,17,21,0,0,0,54.0,31.0,26.0,54.4,Match Report
2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,0.0,1.0,Crystal Palace,0,15,2,13.3,0.0,0.0,18.4,1.0,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report,2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,0.0,1.0,Crystal Palace,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,8.0,12.0,66.7,21.0,3.0,47.6,41.7,7.0,28.6,41.4,8.0,0.0,0.0,0.0,,Match Report,2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,0.0,1.0,Crystal Palace,447.0,559.0,80.0,8685.0,2987.0,184.0,209.0,88.0,184.0,224.0,82.1,74.0,107.0,69.2,0,0.6,0.8,8.0,32.0,12.0,10.0,32.0,Match Report,2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,0.0,1.0,Crystal Palace,559.0,495.0,59.0,18.0,0.0,6.0,30,27.0,5.0,2.0,2.0,0.0,447.0,5.0,6.0,Match Report,2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,0.0,1.0,Crystal Palace,25.0,20.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,0.0,1.0,Crystal Palace,17.0,8,7.0,9.0,1.0,3.0,9.0,33.3,6.0,9.0,3.0,6.0,5,22,10.0,0.0,Match Report,2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,0.0,1.0,Crystal Palace,59.0,638.0,44.0,186.0,277.0,179.0,29.0,638.0,11.0,7.0,63.6,4.0,36.4,370.0,2063.0,969.0,21.0,19.0,3.0,8.0,9.0,442.0,31.0,Match Report,2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,0.0,1.0,Crystal Palace,1,0,0,11,17,5,30,5,8,0,0,0,46.0,23.0,17.0,57.5,Match Report
2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,1.0,3.0,Leicester City,1,9,2,22.2,0.11,0.5,20.4,0.0,0,0,0.7,0.7,0.08,0.3,0.3,Match Report,2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,1.0,3.0,Leicester City,8,3,5,62.5,0,2.2,-0.8,0,0,0,0,10.0,28.0,35.7,27.0,1.0,77.8,45.2,9.0,77.8,49.6,13.0,0.0,0.0,0.0,15.0,Match Report,2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,1.0,3.0,Leicester City,280.0,399.0,70.2,4971.0,1827.0,118.0,139.0,84.9,108.0,136.0,79.4,37.0,83.0,44.6,1,0.5,0.4,5.0,14.0,4.0,2.0,17.0,Match Report,2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,1.0,3.0,Leicester City,399.0,347.0,52.0,11.0,1.0,3.0,14,27.0,1.0,0.0,1.0,0.0,280.0,0.0,16.0,Match Report,2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,1.0,3.0,Leicester City,15.0,12.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,1.0,3.0,Leicester City,11.0,8,4.0,5.0,2.0,6.0,11.0,54.5,5.0,10.0,3.0,7.0,12,23,13.0,0.0,Match Report,2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,1.0,3.0,Leicester City,39.0,498.0,53.0,165.0,234.0,108.0,17.0,498.0,13.0,5.0,38.5,8.0,61.5,241.0,1367.0,647.0,14.0,15.0,2.0,16.0,15.0,278.0,16.0,Match Report,2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,1.0,3.0,Leicester City,1,0,0,16,10,0,14,12,8,0,0,0,55.0,20.0,25.0,44.4,Match Report
2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,L,0.0,2.0,Tottenham,0,9,5,55.6,0.0,0.0,22.6,2.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,L,0.0,2.0,Tottenham,6,2,4,83.3,0,2.3,0.3,1,1,0,0,12.0,26.0,46.2,29.0,3.0,69.0,48.9,7.0,85.7,59.1,7.0,0.0,0.0,0.0,12.0,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,L,0.0,2.0,Tottenham,332.0,475.0,69.9,6242.0,2649.0,151.0,180.0,83.9,126.0,170.0,74.1,45.0,94.0,47.9,0,0.2,0.5,5.0,32.0,5.0,3.0,42.0,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,L,0.0,2.0,Tottenham,475.0,416.0,58.0,15.0,0.0,5.0,20,30.0,3.0,3.0,0.0,0.0,332.0,1.0,13.0,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,L,0.0,2.0,Tottenham,17.0,11.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,L,0.0,2.0,Tottenham,23.0,16,9.0,12.0,2.0,9.0,16.0,56.3,7.0,10.0,0.0,10.0,16,39,10.0,1.0,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,L,0.0,2.0,Tottenham,53.0,586.0,47.0,158.0,290.0,145.0,10.0,586.0,13.0,6.0,46.2,7.0,53.8,260.0,1263.0,411.0,8.0,8.0,1.0,24.0,10.0,331.0,42.0,Match Report,2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,L,0.0,2.0,Tottenham,2,0,0,17,15,1,20,16,16,0,1,0,57.0,21.0,31.0,40.4,Match Report
2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,D,1.0,1.0,Burnley,1,19,2,10.5,0.05,0.5,20.4,0.0,0,0,1.0,1.0,0.05,0.0,0.0,Match Report,2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,D,1.0,1.0,Burnley,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,6.0,13.0,46.2,41.0,6.0,31.7,33.6,0.0,,,11.0,1.0,9.1,0.0,13.0,Match Report,2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,D,1.0,1.0,Burnley,504.0,655.0,76.9,9028.0,2920.0,236.0,276.0,85.5,194.0,236.0,82.2,62.0,109.0,56.9,1,0.9,0.5,17.0,35.0,7.0,5.0,40.0,Match Report,2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,D,1.0,1.0,Burnley,655.0,600.0,55.0,12.0,0.0,2.0,37,31.0,10.0,7.0,1.0,1.0,504.0,0.0,15.0,Match Report,2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,D,1.0,1.0,Burnley,34.0,27.0,4.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,D,1.0,1.0,Burnley,9.0,4,5.0,4.0,0.0,6.0,11.0,54.5,5.0,10.0,2.0,8.0,10,19,7.0,0.0,Match Report,2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,D,1.0,1.0,Burnley,67.0,743.0,45.0,236.0,309.0,203.0,24.0,743.0,10.0,4.0,40.0,6.0,60.0,407.0,1980.0,1017.0,23.0,15.0,5.0,10.0,11.0,496.0,39.0,Match Report,2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,D,1.0,1.0,Burnley,2,0,0,11,8,0,37,10,4,0,0,0,44.0,26.0,24.0,52.0,Match Report
2018-10-20,17:30 (09:30),Premier League,Matchweek 9,Sat,Home,L,0.0,1.0,Liverpool,0,13,1,7.7,0.0,0.0,19.0,1.0,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report,2018-10-20,17:30 (09:30),Premier League,Matchweek 9,Sat,Home,L,0.0,1.0,Liverpool,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,6.0,12.0,50.0,26.0,3.0,38.5,35.5,6.0,33.3,29.7,11.0,0.0,0.0,1.0,11.3,Match Report,2018-10-20,17:30 (09:30),Premier League,Matchweek 9,Sat,Home,L,0.0,1.0,Liverpool,445.0,581.0,76.6,8013.0,3021.0,208.0,248.0,83.9,177.0,214.0,82.7,51.0,89.0,57.3,0,0.4,0.4,8.0,24.0,7.0,5.0,38.0,Match Report,2018-10-20,17:30 (09:30),Premier League,Matchweek 9,Sat,Home,L,0.0,1.0,Liverpool,581.0,534.0,44.0,7.0,1.0,8.0,27,27.0,2.0,1.0,1.0,0.0,445.0,3.0,11.0,Match Report,2018-10-20,17:30 (09:30),Premier League,Matchweek 9,Sat,Home,L,0.0,1.0,Liverpool,26.0,21.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-10-20,17:30 (09:30),Premier League,Matchweek 9,Sat,Home,L,0.0,1.0,Liverpool,20.0,14,11.0,7.0,2.0,8.0,16.0,50.0,8.0,19.0,5.0,14.0,12,32,20.0,0.0,Match Report,2018-10-20,17:30 (09:30),Premier League,Matchweek 9,Sat,Home,L,0.0,1.0,Liverpool,48.0,705.0,56.0,267.0,318.0,126.0,19.0,705.0,10.0,4.0,40.0,6.0,60.0,357.0,1369.0,651.0,13.0,6.0,4.0,17.0,8.0,440.0,38.0,Match Report,2018-10-20,17:30 (09:30),Premier League,Matchweek 9,Sat,Home,L,0.0,1.0,Liverpool,0,0,0,9,5,3,27,12,14,0,0,0,68.0,22.0,22.0,50.0,Match Report
