Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,1,13,3,23.1,0.08,0.33,18.8,1,0,0,1.3,1.3,0.14,-0.3,-0.3,Match Report,2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,3,1,2,66.7,0,1.3,+0.3,0,0,0,0,1,10,10.0,17,5,29.4,35.6,9,55.6,48.7,13,0,0.0,0,,Match Report,2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,411,532,77.3,7071,2202,188,217,86.6,179,212,84.4,35,80,43.8,0,1.1,0.4,7,28,4,0,38,Match Report,2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,532,472,59,18,0,3,14,27,3,1,1,0,411,1,12,Match Report,2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,22,12,2,1,3,3,1,1,0,0,0,1,0,0,Match Report,2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,18,13,13,3,2,9,15,60.0,6,6,1,5,13,31,15,0,Match Report,2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,53,633,46,217,295,124,16,633,17,8,47.1,9,52.9,433,1941,968,14,19,2,13,5,406,37,Match Report,2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,2,0,0,10,17,1,14,13,13,0,0,0,51,13,20,39.4,Match Report
2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,2,1,Aston Villa,2,11,3,27.3,0.09,0.33,19.5,0,1,1,1.6,0.9,0.08,+0.4,+0.1,Match Report,2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,2,1,Aston Villa,7,1,6,85.7,0,1.5,+0.5,0,0,0,0,9,31,29.0,30,3,70.0,47.1,11,90.9,64.9,25,2,8.0,0,6.0,Match Report,2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,2,1,Aston Villa,229,328,69.8,4038,1879,123,140,87.9,73,94,77.7,25,74,33.8,0,0.8,0.5,10,19,10,2,23,Match Report,2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,2,1,Aston Villa,328,280,46,14,0,3,14,14,5,2,0,0,229,2,8,Match Report,2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,2,1,Aston Villa,21,17,2,0,1,1,0,2,1,0,0,0,1,0,Match Report,2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,2,1,Aston Villa,15,9,8,6,1,1,10,10.0,9,16,5,11,11,26,26,1,Match Report,2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,2,1,Aston Villa,37,441,80,175,142,132,18,440,5,3,60.0,2,40.0,267,1261,597,17,13,4,17,5,227,22,Match Report,2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,2,1,Aston Villa,2,0,0,13,10,2,14,11,9,1,0,0,46,21,28,42.9,Match Report
2019-08-25,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Manchester City,1,10,7,70.0,0.10,0.14,14.2,1,0,0,2.2,2.2,0.22,-1.2,-1.2,Match Report,2019-08-25,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Manchester City,5,3,2,40.0,0,2.3,-0.7,0,0,0,0,15,28,53.6,27,2,85.2,55.3,5,100.0,69.6,7,0,0.0,0,,Match Report,2019-08-25,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Manchester City,186,275,67.6,3723,1846,97,113,85.8,56,73,76.7,31,72,43.1,0,0.9,0.5,6,17,4,1,21,Match Report,2019-08-25,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Manchester City,275,237,36,16,1,2,15,7,4,4,0,0,186,2,7,Match Report,2019-08-25,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Manchester City,17,10,2,1,0,3,1,2,1,0,0,0,1,0,Match Report,2019-08-25,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Manchester City,8,5,2,4,2,2,9,22.2,7,15,9,6,16,24,23,0,Match Report,2019-08-25,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Manchester City,26,387,63,164,137,93,14,387,13,6,46.2,7,53.8,219,1121,548,12,6,3,15,9,181,21,Match Report,2019-08-25,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Manchester City,1,0,0,7,13,2,15,16,5,0,0,0,57,15,16,48.4,Match Report
2019-08-28,19:45 (11:45),EFL Cup,Second round,Wed,Home,D,0 (3),0 (0),FG Rovers,0,25,6,24.0,0.00,0.00,,,0,0,,,,,,Match Report,2019-08-28,19:45 (11:45),EFL Cup,Second round,Wed,Home,D,0 (3),0 (0),FG Rovers,1,0,1,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-08-28,19:45 (11:45),EFL Cup,Second round,Wed,Home,D,0 (3),0 (0),FG Rovers,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2019-08-28,19:45 (11:45),EFL Cup,Second round,Wed,Home,D,0 (3),0 (0),FG Rovers,,,,,,,34,,,,,,,,,Match Report,2019-08-28,19:45 (11:45),EFL Cup,Second round,Wed,Home,D,0 (3),0 (0),FG Rovers,,,,,,,,,,,,,,,Match Report,2019-08-28,19:45 (11:45),EFL Cup,Second round,Wed,Home,D,0 (3),0 (0),FG Rovers,,9,,,,,,,,,,,6,0,,,Match Report,2019-08-28,19:45 (11:45),EFL Cup,Second round,Wed,Home,D,0 (3),0 (0),FG Rovers,74,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-08-28,19:45 (11:45),EFL Cup,Second round,Wed,Home,D,0 (3),0 (0),FG Rovers,0,0,0,10,6,0,34,6,9,,,0,,,,,Match Report
2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,1,3,Leicester City,1,8,2,25.0,0.13,0.50,21.3,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Match Report,2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,1,3,Leicester City,6,3,3,50.0,0,2.8,-0.2,0,0,0,0,1,12,8.3,21,8,38.1,32.3,7,57.1,47.0,8,0,0.0,0,15.0,Match Report,2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,1,3,Leicester City,362,479,75.6,5659,2291,204,230,88.7,120,151,79.5,25,59,42.4,1,0.6,0.5,8,23,8,0,41,Match Report,2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,1,3,Leicester City,479,430,48,11,1,2,17,21,5,2,2,0,362,1,18,Match Report,2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,1,3,Leicester City,15,13,1,1,0,0,0,2,2,0,0,0,0,0,Match Report,2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,1,3,Leicester City,14,11,7,7,0,8,16,50.0,8,12,4,8,22,36,21,1,Match Report,2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,1,3,Leicester City,45,599,57,184,283,141,13,599,21,15,71.4,6,28.6,384,2116,1003,27,20,3,19,16,360,41,Match Report,2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,1,3,Leicester City,3,0,0,11,9,1,17,22,11,0,0,0,60,21,15,58.3,Match Report
2019-09-15,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,W,3,1,Everton,3,13,6,46.2,0.23,0.50,18.9,3,0,0,1.4,1.4,0.11,+1.6,+1.6,Match Report,2019-09-15,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,W,3,1,Everton,5,1,4,80.0,0,1.3,+0.3,0,0,0,0,4,17,23.5,25,6,40.0,35.9,12,58.3,42.4,20,0,0.0,0,7.3,Match Report,2019-09-15,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,W,3,1,Everton,252,376,67.0,4423,1798,123,151,81.5,94,133,70.7,31,65,47.7,2,1.1,0.6,9,20,2,0,27,Match Report,2019-09-15,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,W,3,1,Everton,376,317,55,11,2,0,7,23,7,3,2,0,252,4,10,Match Report,2019-09-15,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,W,3,1,Everton,21,13,3,1,1,3,0,4,1,0,1,1,1,0,Match Report,2019-09-15,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,W,3,1,Everton,18,9,9,7,2,6,16,37.5,10,11,4,7,13,31,37,1,Match Report,2019-09-15,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,W,3,1,Everton,41,512,87,221,205,93,16,512,14,6,42.9,8,57.1,281,1454,674,14,7,4,16,10,252,27,Match Report,2019-09-15,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,W,3,1,Everton,0,0,0,5,14,4,7,13,9,0,0,0,55,23,24,48.9,Match Report
2019-09-20,20:00 (12:00),Premier League,Matchweek 6,Fri,Away,W,3,1,Southampton,3,6,3,50.0,0.50,1.00,19.8,1,0,0,1.2,1.2,0.20,+1.8,+1.8,Match Report,2019-09-20,20:00 (12:00),Premier League,Matchweek 6,Fri,Away,W,3,1,Southampton,6,1,5,100.0,0,2.0,+1.0,1,1,0,0,8,22,36.4,19,5,47.4,39.9,16,81.3,56.7,20,0,0.0,1,22.0,Match Report,2019-09-20,20:00 (12:00),Premier League,Matchweek 6,Fri,Away,W,3,1,Southampton,202,339,59.6,3514,1875,103,132,78.0,68,97,70.1,25,71,35.2,3,1.1,0.2,4,20,0,0,21,Match Report,2019-09-20,20:00 (12:00),Premier League,Matchweek 6,Fri,Away,W,3,1,Southampton,339,284,53,8,0,2,10,22,5,2,3,0,202,2,20,Match Report,2019-09-20,20:00 (12:00),Premier League,Matchweek 6,Fri,Away,W,3,1,Southampton,9,5,1,2,0,1,0,6,4,1,1,0,0,0,Match Report,2019-09-20,20:00 (12:00),Premier League,Matchweek 6,Fri,Away,W,3,1,Southampton,8,6,6,2,0,3,11,27.3,8,15,8,7,15,23,27,1,Match Report,2019-09-20,20:00 (12:00),Premier League,Matchweek 6,Fri,Away,W,3,1,Southampton,35,483,87,205,207,77,13,483,26,12,46.2,14,53.8,234,1175,448,6,7,3,17,16,201,21,Match Report,2019-09-20,20:00 (12:00),Premier League,Matchweek 6,Fri,Away,W,3,1,Southampton,3,0,0,9,8,2,10,15,6,0,1,0,63,26,22,54.2,Match Report
2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Away,L,0,2,Burton Albion,0,7,1,14.3,0.00,0.00,,,0,0,,,,,,Match Report,2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Away,L,0,2,Burton Albion,7,2,5,71.4,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Away,L,0,2,Burton Albion,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Away,L,0,2,Burton Albion,,,,,,,23,,,,,,,,,Match Report,2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Away,L,0,2,Burton Albion,,,,,,,,,,,,,,,Match Report,2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Away,L,0,2,Burton Albion,,10,,,,,,,,,,,10,0,,,Match Report,2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Away,L,0,2,Burton Albion,67,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Away,L,0,2,Burton Albion,2,0,0,7,11,1,23,10,10,,,0,,,,,Match Report
2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,D,2,2,West Ham,2,13,5,38.5,0.15,0.40,11.7,0,0,0,1.9,1.9,0.15,+0.1,+0.1,Match Report,2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,D,2,2,West Ham,6,2,4,66.7,0,1.0,-1.0,0,0,0,0,1,10,10.0,25,8,32.0,29.9,4,50.0,40.3,14,0,0.0,0,4.0,Match Report,2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,D,2,2,West Ham,390,513,76.0,7354,2604,155,183,84.7,175,217,80.6,53,86,61.6,2,1.9,1.4,12,23,8,2,39,Match Report,2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,D,2,2,West Ham,513,458,53,10,2,3,17,30,6,4,1,0,390,2,9,Match Report,2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,D,2,2,West Ham,23,14,5,1,3,0,0,4,4,0,0,0,0,0,Match Report,2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,D,2,2,West Ham,8,4,3,3,2,6,12,50.0,6,14,7,7,12,20,21,0,Match Report,2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,D,2,2,West Ham,50,627,63,227,273,136,20,627,19,11,57.9,8,42.1,348,1872,958,11,10,1,18,15,388,39,Match Report,2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,D,2,2,West Ham,3,0,0,7,8,2,17,12,4,0,0,0,57,24,25,49.0,Match Report
2019-10-06,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,0,10,2,20.0,0.00,0.00,19.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report,2019-10-06,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,2,8,25.0,18,5,27.8,30.8,10,30.0,34.4,17,0,0.0,1,21.0,Match Report,2019-10-06,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,333,441,75.5,6033,2593,154,169,91.1,143,184,77.7,31,59,52.5,0,0.5,0.4,8,23,8,0,42,Match Report,2019-10-06,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,441,395,46,12,1,1,16,17,5,3,2,0,333,0,11,Match Report,2019-10-06,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,18,12,3,1,0,1,1,0,0,0,0,0,0,0,Match Report,2019-10-06,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,14,8,7,6,1,5,17,29.4,12,17,4,13,19,33,36,0,Match Report,2019-10-06,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,47,596,83,246,251,105,17,596,19,14,73.7,5,26.3,263,1326,634,10,10,5,16,18,330,42,Match Report,2019-10-06,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,2,0,0,6,12,0,16,19,8,0,0,0,59,26,14,65.0,Match Report
