For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,For Brighton & Hove Albion_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,For Brighton & Hove Albion_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Watford,2,5,3,60.0,0.40,0.67,17.7,0,0,0,0.8,0.8,0.17,+1.2,+1.2,Match Report,2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Watford,3,0,3,100.0,1,0.1,+0.1,0,0,0,0,5,15,33.3,31,8,32.3,31.6,8,62.5,45.4,13,0,0.0,0,6.7,Match Report,2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Watford,370,484,76.4,7051,2522,155,181,85.6,160,189,84.7,51,87,58.6,2,0.8,0.6,4,21,7,1,30,Match Report,2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Watford,484,436,45,15,1,8,12,19,2,1,1,0,370,3,14,Match Report,2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Watford,10,9,0,1,0,0,0,4,3,0,1,0,0,0,Match Report,2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Watford,24,14,15,7,2,6,15,40.0,9,11,4,7,11,35,25,1,Match Report,2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Watford,51,597,68,250,248,104,11,597,12,6,50.0,6,50.0,289,1481,745,15,10,2,19,6,364,30,Match Report,2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Watford,1,0,0,11,14,3,12,11,14,0,0,0,56,18,14,56.3,Match Report
2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,1,1,West Ham,1,16,4,25.0,0.06,0.25,16.9,0,0,0,2.0,2.0,0.13,-1.0,-1.0,Match Report,2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,1,1,West Ham,3,1,2,66.7,0,1.0,0.0,0,0,0,0,4,5,80.0,25,6,16.0,28.1,7,14.3,21.9,12,0,0.0,0,,Match Report,2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,1,1,West Ham,439,560,78.4,8339,2979,188,215,87.4,191,232,82.3,58,92,63.0,0,1.9,1.4,13,32,11,7,37,Match Report,2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,1,1,West Ham,560,498,60,13,0,5,25,30,8,5,2,0,439,2,8,Match Report,2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,1,1,West Ham,27,18,4,2,2,1,0,2,1,0,1,0,0,0,Match Report,2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,1,1,West Ham,20,9,5,13,2,4,23,17.4,19,11,1,10,12,32,17,0,Match Report,2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,1,1,West Ham,57,683,58,192,325,172,25,683,16,6,37.5,10,62.5,334,2171,1048,21,12,4,17,12,431,37,Match Report,2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,1,1,West Ham,0,0,0,11,10,2,25,12,9,0,0,0,60,31,14,68.9,Match Report
2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,0,2,Southampton,0,12,3,25.0,0.00,0.00,15.4,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report,2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,0,2,Southampton,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,5,13,38.5,30,7,33.3,29.4,5,60.0,44.6,5,0,0.0,0,,Match Report,2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,0,2,Southampton,329,450,73.1,6386,2530,126,148,85.1,165,199,82.9,34,82,41.5,0,0.8,1.0,12,22,7,0,40,Match Report,2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,0,2,Southampton,450,393,56,10,1,8,18,30,8,4,3,0,329,1,14,Match Report,2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,0,2,Southampton,21,13,4,1,1,2,0,0,0,0,0,0,0,0,Match Report,2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,0,2,Southampton,16,10,9,5,2,5,16,31.3,11,7,3,4,15,31,10,0,Match Report,2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,0,2,Southampton,51,560,58,195,226,141,30,560,20,11,55.0,9,45.0,274,1567,838,22,16,9,17,10,327,39,Match Report,2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,0,2,Southampton,1,1,0,9,10,1,18,15,10,0,0,0,62,24,14,63.2,Match Report
2019-08-27,19:45 (11:45),EFL Cup,Second round,Tue,Away,W,2,1,Bristol Rovers,2,26,8,30.8,0.08,0.25,,,0,0,,,,,,Match Report,2019-08-27,19:45 (11:45),EFL Cup,Second round,Tue,Away,W,2,1,Bristol Rovers,2,1,1,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-08-27,19:45 (11:45),EFL Cup,Second round,Tue,Away,W,2,1,Bristol Rovers,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2019-08-27,19:45 (11:45),EFL Cup,Second round,Tue,Away,W,2,1,Bristol Rovers,,,,,,,30,,,,,,,,,Match Report,2019-08-27,19:45 (11:45),EFL Cup,Second round,Tue,Away,W,2,1,Bristol Rovers,,,,,,,,,,,,,,,Match Report,2019-08-27,19:45 (11:45),EFL Cup,Second round,Tue,Away,W,2,1,Bristol Rovers,,13,,,,,,,,,,,11,0,,,Match Report,2019-08-27,19:45 (11:45),EFL Cup,Second round,Tue,Away,W,2,1,Bristol Rovers,68,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-08-27,19:45 (11:45),EFL Cup,Second round,Tue,Away,W,2,1,Bristol Rovers,1,0,0,15,9,5,30,11,13,,,0,,,,,Match Report
2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,4,Manchester City,0,6,1,16.7,0.00,0.00,14.7,0,0,0,0.9,0.9,0.15,-0.9,-0.9,Match Report,2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,4,Manchester City,6,4,2,33.3,0,2.2,-1.8,0,0,0,0,3,6,50.0,33,6,18.2,24.3,12,0.0,14.4,11,0,0.0,1,11.3,Match Report,2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,4,Manchester City,472,557,84.7,8547,2426,190,209,90.9,234,253,92.5,43,75,57.3,0,0.8,0.7,4,22,6,1,33,Match Report,2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,4,Manchester City,557,511,43,10,1,7,10,15,1,1,0,0,472,3,6,Match Report,2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,4,Manchester City,11,10,0,0,0,1,0,0,0,0,0,0,0,0,Match Report,2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,4,Manchester City,18,8,8,7,3,6,12,50.0,6,4,0,4,8,26,15,0,Match Report,2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,4,Manchester City,47,643,110,303,251,96,17,643,12,8,66.7,4,33.3,364,1869,1043,10,6,4,13,11,471,33,Match Report,2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,4,Manchester City,1,0,0,6,9,3,10,8,8,0,0,0,46,6,6,50.0,Match Report
2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,1,14,5,35.7,0.07,0.20,16.1,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Match Report,2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,1,1,0,0.0,0,0.4,-0.6,0,0,0,0,5,16,31.3,25,1,52.0,36.4,8,37.5,33.9,15,1,6.7,0,14.0,Match Report,2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,402,543,74.0,7096,2599,187,224,83.5,171,204,83.8,38,85,44.7,1,0.9,1.2,11,29,14,1,71,Match Report,2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,543,486,55,9,2,7,16,33,3,1,1,0,402,2,15,Match Report,2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,25,21,2,0,2,0,0,2,2,0,0,0,0,0,Match Report,2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,21,13,8,12,1,7,12,58.3,5,6,0,6,12,33,22,0,Match Report,2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,62,663,49,179,301,188,31,663,13,6,46.2,7,53.8,307,1758,870,18,14,7,20,10,400,69,Match Report,2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,0,0,0,13,7,2,16,12,13,0,0,0,61,26,24,52.0,Match Report
2019-09-21,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,0,16,2,12.5,0.00,0.00,18.3,0,0,0,1.4,1.4,0.09,-1.4,-1.4,Match Report,2019-09-21,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,4,0,4,100.0,1,1.4,+1.4,0,0,0,0,6,8,75.0,45,14,15.6,23.3,8,12.5,21.1,15,2,13.3,1,13.0,Match Report,2019-09-21,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,670,773,86.7,11720,3742,310,338,91.7,293,318,92.1,56,83,67.5,0,1.3,1.1,15,49,7,1,61,Match Report,2019-09-21,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,773,725,45,12,1,4,17,21,3,2,1,0,670,3,14,Match Report,2019-09-21,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,30,27,1,1,1,0,0,0,0,0,0,0,0,0,Match Report,2019-09-21,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,14,7,9,4,1,6,17,35.3,11,12,2,10,11,25,16,0,Match Report,2019-09-21,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,71,881,75,216,481,189,27,881,12,6,50.0,6,50.0,509,2816,1423,19,14,9,16,12,668,60,Match Report,2019-09-21,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,1,0,0,8,12,3,17,11,7,0,0,0,48,18,19,48.6,Match Report
2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,1,3,Aston Villa,1,14,6,42.9,0.07,0.17,,,0,0,,,,,,Match Report,2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,1,3,Aston Villa,10,3,7,70.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,1,3,Aston Villa,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,1,3,Aston Villa,,,,,,,15,,,,,,,,,Match Report,2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,1,3,Aston Villa,,,,,,,,,,,,,,,Match Report,2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,1,3,Aston Villa,,10,,,,,,,,,,,9,0,,,Match Report,2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,1,3,Aston Villa,30,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,1,3,Aston Villa,2,0,0,7,11,0,15,9,10,,,0,,,,,Match Report
2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Chelsea,0,8,1,12.5,0.00,0.00,17.4,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report,2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Chelsea,10,2,8,90.0,0,3.6,+1.6,1,1,0,0,3,10,30.0,43,10,23.3,25.1,5,0.0,12.4,10,1,10.0,0,10.0,Match Report,2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Chelsea,443,543,81.6,8004,2459,192,216,88.9,200,226,88.5,48,83,57.8,0,0.6,0.4,7,20,3,1,39,Match Report,2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Chelsea,543,509,32,6,2,10,13,16,2,1,1,0,443,2,6,Match Report,2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Chelsea,14,10,2,1,1,0,0,0,0,0,0,0,0,0,Match Report,2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Chelsea,21,12,11,8,2,9,15,60.0,6,12,10,2,14,35,24,2,Match Report,2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Chelsea,47,670,102,305,268,102,14,670,13,7,53.8,6,46.2,323,1895,943,17,9,3,19,12,435,38,Match Report,2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Chelsea,3,0,0,13,5,2,13,14,12,0,1,0,55,9,10,47.4,Match Report
2019-10-05,12:30 (04:30),Premier League,Matchweek 8,Sat,Home,W,3,0,Tottenham,3,17,6,35.3,0.18,0.50,17.6,1,0,0,2.4,2.4,0.15,+0.6,+0.6,Match Report,2019-10-05,12:30 (04:30),Premier League,Matchweek 8,Sat,Home,W,3,0,Tottenham,3,0,3,100.0,1,0.3,+0.3,0,0,0,0,7,12,58.3,38,9,26.3,29.8,4,50.0,38.5,13,0,0.0,1,22.0,Match Report,2019-10-05,12:30 (04:30),Premier League,Matchweek 8,Sat,Home,W,3,0,Tottenham,438,541,81.0,7661,2803,222,250,88.8,166,189,87.8,44,73,60.3,1,0.7,1.2,12,38,13,3,54,Match Report,2019-10-05,12:30 (04:30),Premier League,Matchweek 8,Sat,Home,W,3,0,Tottenham,541,503,37,7,2,5,16,21,4,2,1,0,438,1,14,Match Report,2019-10-05,12:30 (04:30),Premier League,Matchweek 8,Sat,Home,W,3,0,Tottenham,33,25,3,1,2,2,0,5,4,0,0,1,0,0,Match Report,2019-10-05,12:30 (04:30),Premier League,Matchweek 8,Sat,Home,W,3,0,Tottenham,22,12,6,11,5,7,19,36.8,12,13,2,11,14,36,19,0,Match Report,2019-10-05,12:30 (04:30),Premier League,Matchweek 8,Sat,Home,W,3,0,Tottenham,48,677,69,180,291,213,27,677,20,10,50.0,10,50.0,338,1919,1038,18,13,6,17,13,437,54,Match Report,2019-10-05,12:30 (04:30),Premier League,Matchweek 8,Sat,Home,W,3,0,Tottenham,2,0,0,11,7,1,16,14,12,0,0,0,66,13,10,56.5,Match Report
