Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-08-29,16:30 (08:30),Community Shield,FA Community Shield,Sat,Neutral,D,1 (5),1 (4),Liverpool,1,8,2,25.0,0.13,0.50,,,0,0,,,,,,Match Report,2020-08-29,16:30 (08:30),Community Shield,FA Community Shield,Sat,Neutral,D,1 (5),1 (4),Liverpool,4,1,3,75.0,,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2020-08-29,16:30 (08:30),Community Shield,FA Community Shield,Sat,Neutral,D,1 (5),1 (4),Liverpool,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2020-08-29,16:30 (08:30),Community Shield,FA Community Shield,Sat,Neutral,D,1 (5),1 (4),Liverpool,,,,,,,14,,,,,,,,,Match Report,2020-08-29,16:30 (08:30),Community Shield,FA Community Shield,Sat,Neutral,D,1 (5),1 (4),Liverpool,,,,,,,,,,,,,,,Match Report,2020-08-29,16:30 (08:30),Community Shield,FA Community Shield,Sat,Neutral,D,1 (5),1 (4),Liverpool,,7,,,,,,,,,,,12,0,,,Match Report,2020-08-29,16:30 (08:30),Community Shield,FA Community Shield,Sat,Neutral,D,1 (5),1 (4),Liverpool,40,,,,,,,,,,,,,,,,,,,,,,,Match Report,2020-08-29,16:30 (08:30),Community Shield,FA Community Shield,Sat,Neutral,D,1 (5),1 (4),Liverpool,0,0,0,8,10,2,14,12,7,,,0,,,,,Match Report
2020-09-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,W,3,0,Fulham,3,13,5,38.5,0.23,0.60,14.1,2,0,0,1.9,1.9,0.20,+1.1,+1.1,Match Report,2020-09-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,W,3,0,Fulham,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,1,1,100.0,29,3,0.0,18.2,4,25.0,27.3,14,0,0.0,1,17.0,Match Report,2020-09-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,W,3,0,Fulham,589,668,88.2,11292,2683,210,229,91.7,299,322,92.9,73,96,76.0,2,0.8,1.0,8,38,11,1,47,Match Report,2020-09-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,W,3,0,Fulham,668,625,41,12,2,6,16,21,3,1,1,0,589,2,9,Match Report,2020-09-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,W,3,0,Fulham,23,13,3,0,4,3,0,5,3,1,0,1,0,0,Match Report,2020-09-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,W,3,0,Fulham,12,5,7,4,1,6,12,50.0,6,5,1,4,18,30,11,0,Match Report,2020-09-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,W,3,0,Fulham,54,742,59,258,343,145,26,742,9,6,66.7,3,33.3,490,2435,1329,24,15,4,8,8,589,47,Match Report,2020-09-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,W,3,0,Fulham,2,0,0,12,12,2,16,18,5,0,0,0,42,5,8,38.5,Match Report
2020-09-19,20:00 (12:00),Premier League,Matchweek 2,Sat,Home,W,2,1,West Ham,2,7,3,42.9,0.29,0.67,14.8,0,0,0,1.1,1.1,0.16,+0.9,+0.9,Match Report,2020-09-19,20:00 (12:00),Premier League,Matchweek 2,Sat,Home,W,2,1,West Ham,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,1,2,50.0,32,6,3.1,19.2,5,20.0,23.2,18,1,5.6,2,19.2,Match Report,2020-09-19,20:00 (12:00),Premier League,Matchweek 2,Sat,Home,W,2,1,West Ham,599,710,84.4,10170,2713,247,276,89.5,281,309,90.9,45,71,63.4,2,1.1,1.6,6,38,16,3,52,Match Report,2020-09-19,20:00 (12:00),Premier League,Matchweek 2,Sat,Home,W,2,1,West Ham,710,663,42,15,3,5,17,13,7,2,2,1,599,5,14,Match Report,2020-09-19,20:00 (12:00),Premier League,Matchweek 2,Sat,Home,W,2,1,West Ham,14,13,0,0,0,1,0,4,4,0,0,0,0,0,Match Report,2020-09-19,20:00 (12:00),Premier League,Matchweek 2,Sat,Home,W,2,1,West Ham,8,5,3,4,1,6,11,54.5,5,13,6,7,11,19,17,1,Match Report,2020-09-19,20:00 (12:00),Premier League,Matchweek 2,Sat,Home,W,2,1,West Ham,62,804,70,219,423,166,28,804,12,8,66.7,4,33.3,464,2705,1521,17,14,4,16,6,591,50,Match Report,2020-09-19,20:00 (12:00),Premier League,Matchweek 2,Sat,Home,W,2,1,West Ham,0,0,0,11,12,5,17,11,5,0,0,0,41,16,14,53.3,Match Report
2020-09-23,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Leicester City,1,10,4,40.0,0.10,0.25,,,0,0,,,,,,Match Report,2020-09-23,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Leicester City,2,0,2,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2020-09-23,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Leicester City,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2020-09-23,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Leicester City,,,,,,,13,,,,,,,,,Match Report,2020-09-23,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Leicester City,,,,,,,,,,,,,,,Match Report,2020-09-23,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Leicester City,,10,,,,,,,,,,,11,0,,,Match Report,2020-09-23,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Leicester City,51,,,,,,,,,,,,,,,,,,,,,,,Match Report,2020-09-23,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Leicester City,1,0,0,8,3,2,13,11,10,,,0,,,,,Match Report
2020-09-28,20:00 (12:00),Premier League,Matchweek 3,Mon,Away,L,1,3,Liverpool,1,4,3,75.0,0.25,0.33,15.0,0,0,0,1.3,1.3,0.32,-0.3,-0.3,Match Report,2020-09-28,20:00 (12:00),Premier League,Matchweek 3,Mon,Away,L,1,3,Liverpool,8,3,5,62.5,0,2.6,-0.4,0,0,0,0,2,5,40.0,34,6,11.8,18.9,9,11.1,14.0,20,1,5.0,2,15.0,Match Report,2020-09-28,20:00 (12:00),Premier League,Matchweek 3,Mon,Away,L,1,3,Liverpool,312,425,73.4,5470,1559,142,167,85.0,129,161,80.1,30,64,46.9,0,0.8,0.6,3,11,1,0,13,Match Report,2020-09-28,20:00 (12:00),Premier League,Matchweek 3,Mon,Away,L,1,3,Liverpool,425,382,38,11,4,3,8,11,3,2,1,0,312,5,11,Match Report,2020-09-28,20:00 (12:00),Premier League,Matchweek 3,Mon,Away,L,1,3,Liverpool,8,8,0,0,0,0,0,2,2,0,0,0,0,0,Match Report,2020-09-28,20:00 (12:00),Premier League,Matchweek 3,Mon,Away,L,1,3,Liverpool,11,6,6,5,0,4,12,33.3,8,13,6,7,7,18,37,1,Match Report,2020-09-28,20:00 (12:00),Premier League,Matchweek 3,Mon,Away,L,1,3,Liverpool,34,532,119,319,174,44,10,532,8,5,62.5,3,37.5,240,1245,679,13,8,4,12,7,309,13,Match Report,2020-09-28,20:00 (12:00),Premier League,Matchweek 3,Mon,Away,L,1,3,Liverpool,2,0,0,7,11,5,8,7,6,0,0,0,49,11,6,64.7,Match Report
2020-10-01,19:45 (11:45),EFL Cup,Fourth round,Thu,Away,D,0 (5),0 (4),Liverpool,0,6,2,33.3,0.00,0.00,,,0,0,,,,,,Match Report,2020-10-01,19:45 (11:45),EFL Cup,Fourth round,Thu,Away,D,0 (5),0 (4),Liverpool,7,0,7,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2020-10-01,19:45 (11:45),EFL Cup,Fourth round,Thu,Away,D,0 (5),0 (4),Liverpool,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2020-10-01,19:45 (11:45),EFL Cup,Fourth round,Thu,Away,D,0 (5),0 (4),Liverpool,,,,,,,8,,,,,,,,,Match Report,2020-10-01,19:45 (11:45),EFL Cup,Fourth round,Thu,Away,D,0 (5),0 (4),Liverpool,,,,,,,,,,,,,,,Match Report,2020-10-01,19:45 (11:45),EFL Cup,Fourth round,Thu,Away,D,0 (5),0 (4),Liverpool,,14,,,,,,,,,,,9,0,,,Match Report,2020-10-01,19:45 (11:45),EFL Cup,Fourth round,Thu,Away,D,0 (5),0 (4),Liverpool,44,,,,,,,,,,,,,,,,,,,,,,,Match Report,2020-10-01,19:45 (11:45),EFL Cup,Fourth round,Thu,Away,D,0 (5),0 (4),Liverpool,2,0,0,10,14,5,8,9,14,,,0,,,,,Match Report
2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,2,6,5,83.3,0.33,0.40,16.3,0,0,0,0.6,0.6,0.09,+1.4,+1.4,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,1,7,14.3,37,2,8.1,23.1,9,44.4,36.0,13,0,0.0,2,36.0,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,646,741,87.2,11120,2988,286,305,93.8,280,304,92.1,62,94,66.0,2,0.6,0.6,6,41,4,1,49,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,741,694,47,12,1,4,18,22,2,0,1,1,646,0,12,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,11,11,0,0,0,0,0,4,4,0,0,0,0,0,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,8,4,2,6,0,3,10,30.0,7,12,2,10,10,18,20,1,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,64,827,81,250,410,169,14,827,18,12,66.7,6,33.3,523,3066,1610,25,18,4,15,5,644,49,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,0,0,0,3,8,0,18,10,4,0,0,0,39,17,14,54.8,Match Report
2020-10-17,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Manchester City,0,11,3,27.3,0.00,0.00,18.4,2,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report,2020-10-17,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Manchester City,5,1,4,80.0,0,1.4,+0.4,0,0,0,0,4,11,36.4,48,4,18.8,22.5,4,50.0,36.0,8,1,12.5,0,7.0,Match Report,2020-10-17,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Manchester City,411,496,82.9,6975,1890,178,194,91.8,190,211,90.0,32,67,47.8,0,0.7,0.6,7,17,5,3,22,Match Report,2020-10-17,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Manchester City,496,454,40,13,2,1,13,15,6,3,1,2,411,2,4,Match Report,2020-10-17,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Manchester City,19,10,1,3,3,2,0,0,0,0,0,0,0,0,Match Report,2020-10-17,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Manchester City,13,10,6,7,0,8,18,44.4,10,13,4,9,6,19,13,0,Match Report,2020-10-17,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Manchester City,42,587,91,259,239,92,13,587,14,9,64.3,5,35.7,346,1924,947,17,11,5,14,6,410,22,Match Report,2020-10-17,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Manchester City,1,0,0,10,15,2,13,6,10,0,0,0,52,12,15,44.4,Match Report
2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,at Rapid Wien,2,11,4,36.4,0.18,0.50,16.4,1,0,0,1.5,1.5,0.13,+0.5,+0.5,Match Report,2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,at Rapid Wien,4,1,3,75.0,0,0.6,-0.4,0,0,0,0,3,5,60.0,35,7,5.7,21.7,8,37.5,35.8,14,0,0.0,3,16.8,Match Report,2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,at Rapid Wien,561,671,83.6,9183,2966,282,307,91.9,219,253,86.6,44,68,64.7,2,1.3,1.3,8,40,12,2,49,Match Report,2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,at Rapid Wien,671,615,53,19,0,1,21,20,4,3,0,0,561,3,11,Match Report,2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,at Rapid Wien,17,9,3,1,1,3,0,3,1,1,0,0,1,0,Match Report,2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,at Rapid Wien,11,6,4,6,1,2,8,25.0,6,7,3,4,8,19,15,4,Match Report,2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,at Rapid Wien,66,766,53,169,417,184,23,766,18,9,50.0,9,50.0,527,2722,1509,23,19,1,15,5,558,48,Match Report,2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,at Rapid Wien,4,0,0,14,18,3,21,8,6,0,0,0,52,19,9,67.9,Match Report
2020-10-25,19:15 (12:15),Premier League,Matchweek 6,Sun,Home,L,0,1,Leicester City,0,12,4,33.3,0.00,0.00,15.0,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report,2020-10-25,19:15 (12:15),Premier League,Matchweek 6,Sun,Home,L,0,1,Leicester City,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,0,1,0.0,24,6,0.0,18.4,2,50.0,36.5,3,0,0.0,2,21.0,Match Report,2020-10-25,19:15 (12:15),Premier League,Matchweek 6,Sun,Home,L,0,1,Leicester City,525,621,84.5,9316,2146,218,238,91.6,249,275,90.5,47,75,62.7,0,0.6,0.7,10,41,11,5,50,Match Report,2020-10-25,19:15 (12:15),Premier League,Matchweek 6,Sun,Home,L,0,1,Leicester City,621,580,40,8,0,7,20,19,9,6,1,0,525,1,13,Match Report,2020-10-25,19:15 (12:15),Premier League,Matchweek 6,Sun,Home,L,0,1,Leicester City,22,16,2,0,2,1,1,0,0,0,0,0,0,0,Match Report,2020-10-25,19:15 (12:15),Premier League,Matchweek 6,Sun,Home,L,0,1,Leicester City,15,11,6,9,0,6,13,46.2,7,9,1,8,12,27,5,0,Match Report,2020-10-25,19:15 (12:15),Premier League,Matchweek 6,Sun,Home,L,0,1,Leicester City,56,724,34,138,437,153,21,724,8,2,25.0,6,75.0,496,2695,1621,12,7,1,17,5,520,49,Match Report,2020-10-25,19:15 (12:15),Premier League,Matchweek 6,Sun,Home,L,0,1,Leicester City,3,0,0,13,9,1,20,12,11,0,0,0,49,10,15,40.0,Match Report
