Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Home,L,0,2,Wolves,0,9,1,11.1,0.00,0.00,12.9,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Match Report,2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Home,L,0,2,Wolves,4,2,2,50.0,0,1.3,-0.7,0,0,0,0,7,17,41.2,18,3,66.7,47.1,6,83.3,64.3,11,0,0.0,2,31.5,Match Report,2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Home,L,0,2,Wolves,405,533,76.0,7556,2643,177,210,84.3,170,199,85.4,50,93,53.8,0,1.0,1.1,8,52,13,1,56,Match Report,2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Home,L,0,2,Wolves,533,478,51,7,0,2,43,23,12,3,5,4,405,4,11,Match Report,2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Home,L,0,2,Wolves,16,12,3,0,1,0,0,0,0,0,0,0,0,0,Match Report,2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Home,L,0,2,Wolves,16,9,4,10,2,8,22,36.4,14,9,2,7,9,25,11,0,Match Report,2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Home,L,0,2,Wolves,55,620,32,108,248,268,28,620,13,6,46.2,7,53.8,296,1368,681,6,16,2,11,7,400,56,Match Report,2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Home,L,0,2,Wolves,2,0,0,13,7,4,43,9,9,0,0,0,46,30,28,51.7,Match Report
2020-09-17,17:30 (09:30),EFL Cup,Second round,Thu,Away,D,1 (4),1 (5),Burnley,1,10,4,40.0,0.10,0.25,,,0,0,,,,,,Match Report,2020-09-17,17:30 (09:30),EFL Cup,Second round,Thu,Away,D,1 (4),1 (5),Burnley,2,1,1,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2020-09-17,17:30 (09:30),EFL Cup,Second round,Thu,Away,D,1 (4),1 (5),Burnley,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2020-09-17,17:30 (09:30),EFL Cup,Second round,Thu,Away,D,1 (4),1 (5),Burnley,,,,,,,17,,,,,,,,,Match Report,2020-09-17,17:30 (09:30),EFL Cup,Second round,Thu,Away,D,1 (4),1 (5),Burnley,,,,,,,,,,,,,,,Match Report,2020-09-17,17:30 (09:30),EFL Cup,Second round,Thu,Away,D,1 (4),1 (5),Burnley,,15,,,,,,,,,,,10,0,,,Match Report,2020-09-17,17:30 (09:30),EFL Cup,Second round,Thu,Away,D,1 (4),1 (5),Burnley,45,,,,,,,,,,,,,,,,,,,,,,,Match Report,2020-09-17,17:30 (09:30),EFL Cup,Second round,Thu,Away,D,1 (4),1 (5),Burnley,2,0,0,16,12,3,17,10,15,,,0,,,,,Match Report
2020-09-21,18:00 (10:00),Premier League,Matchweek 2,Mon,Away,L,0,1,Aston Villa,0,3,0,0.0,0.00,,20.2,0,0,1,0.9,0.1,0.05,-0.9,-0.1,Match Report,2020-09-21,18:00 (10:00),Premier League,Matchweek 2,Mon,Away,L,0,1,Aston Villa,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,10,33,30.3,16,0,93.8,57.3,18,100.0,65.4,34,1,2.9,0,4.5,Match Report,2020-09-21,18:00 (10:00),Premier League,Matchweek 2,Mon,Away,L,0,1,Aston Villa,142,252,56.3,2615,1416,61,85,71.8,52,76,68.4,17,65,26.2,0,0.1,0.6,2,10,2,0,14,Match Report,2020-09-21,18:00 (10:00),Premier League,Matchweek 2,Mon,Away,L,0,1,Aston Villa,252,199,53,12,1,1,14,17,4,4,0,0,142,0,4,Match Report,2020-09-21,18:00 (10:00),Premier League,Matchweek 2,Mon,Away,L,0,1,Aston Villa,8,5,1,0,0,2,0,0,0,0,0,0,0,0,Match Report,2020-09-21,18:00 (10:00),Premier League,Matchweek 2,Mon,Away,L,0,1,Aston Villa,9,6,8,1,0,3,7,42.9,4,8,5,3,7,16,40,0,Match Report,2020-09-21,18:00 (10:00),Premier League,Matchweek 2,Mon,Away,L,0,1,Aston Villa,29,347,77,159,125,67,10,346,8,6,75.0,2,25.0,116,856,550,12,7,3,13,3,140,14,Match Report,2020-09-21,18:00 (10:00),Premier League,Matchweek 2,Mon,Away,L,0,1,Aston Villa,1,1,0,13,12,0,14,7,6,1,0,0,31,22,32,40.7,Match Report
2020-09-27,12:00 (04:00),Premier League,Matchweek 3,Sun,Home,L,0,1,Leeds United,0,14,4,28.6,0.00,0.00,16.7,0,0,0,1.4,1.4,0.10,-1.4,-1.4,Match Report,2020-09-27,12:00 (04:00),Premier League,Matchweek 3,Sun,Home,L,0,1,Leeds United,8,1,7,87.5,0,1.2,+0.2,0,0,0,0,8,25,32.0,22,7,59.1,40.4,13,92.3,59.2,21,1,4.8,2,13.0,Match Report,2020-09-27,12:00 (04:00),Premier League,Matchweek 3,Sun,Home,L,0,1,Leeds United,261,369,70.7,4177,2009,145,168,86.3,72,97,74.2,29,64,45.3,0,1.3,0.9,13,18,7,1,28,Match Report,2020-09-27,12:00 (04:00),Premier League,Matchweek 3,Sun,Home,L,0,1,Leeds United,369,324,43,5,2,1,15,18,5,5,0,0,261,2,13,Match Report,2020-09-27,12:00 (04:00),Premier League,Matchweek 3,Sun,Home,L,0,1,Leeds United,25,15,4,2,3,1,0,0,0,0,0,0,0,0,Match Report,2020-09-27,12:00 (04:00),Premier League,Matchweek 3,Sun,Home,L,0,1,Leeds United,23,11,11,7,5,7,14,50.0,7,13,4,9,7,30,29,0,Match Report,2020-09-27,12:00 (04:00),Premier League,Matchweek 3,Sun,Home,L,0,1,Leeds United,36,508,72,166,219,131,29,508,15,12,80.0,3,20.0,251,1748,986,25,22,4,19,10,256,28,Match Report,2020-09-27,12:00 (04:00),Premier League,Matchweek 3,Sun,Home,L,0,1,Leeds United,2,0,0,18,4,2,15,7,11,0,0,0,45,23,25,47.9,Match Report
2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Away,L,1,2,Arsenal,1,6,2,33.3,0.17,0.50,24.7,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Away,L,1,2,Arsenal,5,2,3,60.0,0,2.0,0.0,0,0,0,0,5,19,26.3,25,4,56.0,41.0,5,100.0,60.8,16,1,6.3,0,7.0,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Away,L,1,2,Arsenal,313,414,75.6,4801,1593,168,191,88.0,98,119,82.4,25,60,41.7,1,0.1,0.3,4,20,4,1,30,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Away,L,1,2,Arsenal,414,380,31,3,0,4,18,16,4,4,0,0,313,3,12,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Away,L,1,2,Arsenal,9,8,1,0,0,0,0,1,1,0,0,0,0,0,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Away,L,1,2,Arsenal,11,4,8,1,2,6,18,33.3,12,12,1,11,5,16,23,1,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Away,L,1,2,Arsenal,36,507,56,137,219,157,15,507,10,7,70.0,3,30.0,234,1418,679,14,14,1,11,5,311,30,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Away,L,1,2,Arsenal,1,0,0,9,3,3,18,5,4,0,0,0,41,14,17,45.2,Match Report
2020-10-18,12:00 (04:00),Premier League,Matchweek 5,Sun,Home,D,1,1,Fulham,1,9,5,55.6,0.00,0.00,20.1,0,1,1,1.7,0.9,0.10,-0.7,-0.9,Match Report,2020-10-18,12:00 (04:00),Premier League,Matchweek 5,Sun,Home,D,1,1,Fulham,6,1,5,83.3,0,0.7,-0.3,1,0,0,1,11,22,50.0,21,1,85.7,53.1,5,80.0,63.6,16,1,6.3,1,15.0,Match Report,2020-10-18,12:00 (04:00),Premier League,Matchweek 5,Sun,Home,D,1,1,Fulham,336,435,77.2,5435,2112,188,220,85.5,110,133,82.7,25,57,43.9,0,0.8,0.5,8,25,4,3,27,Match Report,2020-10-18,12:00 (04:00),Premier League,Matchweek 5,Sun,Home,D,1,1,Fulham,435,398,33,8,0,2,15,16,2,1,0,0,336,4,2,Match Report,2020-10-18,12:00 (04:00),Premier League,Matchweek 5,Sun,Home,D,1,1,Fulham,20,15,1,1,0,2,1,2,0,0,0,0,2,0,Match Report,2020-10-18,12:00 (04:00),Premier League,Matchweek 5,Sun,Home,D,1,1,Fulham,15,9,7,7,1,8,23,34.8,15,11,3,8,18,33,17,1,Match Report,2020-10-18,12:00 (04:00),Premier League,Matchweek 5,Sun,Home,D,1,1,Fulham,42,544,49,129,281,136,14,543,12,4,33.3,8,66.7,223,1343,721,18,12,6,11,6,332,26,Match Report,2020-10-18,12:00 (04:00),Premier League,Matchweek 5,Sun,Home,D,1,1,Fulham,0,0,0,5,9,4,15,18,9,1,1,0,59,24,20,54.5,Match Report
2020-10-24,20:00 (12:00),Premier League,Matchweek 6,Sat,Away,L,1,2,Liverpool,1,12,1,8.3,0.00,0.00,18.5,0,1,1,1.6,0.8,0.07,-0.6,-0.8,Match Report,2020-10-24,20:00 (12:00),Premier League,Matchweek 6,Sat,Away,L,1,2,Liverpool,5,2,3,60.0,0,2.0,0.0,0,0,0,0,9,23,39.1,19,3,84.2,54.3,7,100.0,77.0,15,1,6.7,1,18.0,Match Report,2020-10-24,20:00 (12:00),Premier League,Matchweek 6,Sat,Away,L,1,2,Liverpool,329,446,73.8,5389,2202,173,195,88.7,96,126,76.2,35,75,46.7,0,0.7,0.5,10,28,10,2,39,Match Report,2020-10-24,20:00 (12:00),Premier League,Matchweek 6,Sat,Away,L,1,2,Liverpool,446,408,38,8,0,2,20,17,3,3,0,0,329,0,10,Match Report,2020-10-24,20:00 (12:00),Premier League,Matchweek 6,Sat,Away,L,1,2,Liverpool,26,22,1,1,1,1,0,2,1,0,0,0,1,0,Match Report,2020-10-24,20:00 (12:00),Premier League,Matchweek 6,Sat,Away,L,1,2,Liverpool,22,10,17,5,0,7,19,36.8,12,20,5,15,4,26,28,0,Match Report,2020-10-24,20:00 (12:00),Premier League,Matchweek 6,Sat,Away,L,1,2,Liverpool,38,577,68,176,223,186,29,576,10,9,90.0,1,10.0,226,1461,688,15,12,5,18,6,322,38,Match Report,2020-10-24,20:00 (12:00),Premier League,Matchweek 6,Sat,Away,L,1,2,Liverpool,3,0,0,15,6,0,20,4,10,1,0,0,54,34,22,60.7,Match Report
2020-10-31,12:30 (05:30),Premier League,Matchweek 7,Sat,Home,L,0,1,Manchester City,0,3,1,33.3,0.00,0.00,18.3,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Match Report,2020-10-31,12:30 (05:30),Premier League,Matchweek 7,Sat,Home,L,0,1,Manchester City,8,1,7,87.5,0,2.2,+1.2,0,0,0,0,9,26,34.6,28,5,67.9,43.9,7,100.0,68.0,10,0,0.0,2,19.8,Match Report,2020-10-31,12:30 (05:30),Premier League,Matchweek 7,Sat,Home,L,0,1,Manchester City,313,411,76.2,5149,1828,172,193,89.1,110,127,86.6,25,69,36.2,0,0.5,0.2,3,21,7,1,34,Match Report,2020-10-31,12:30 (05:30),Premier League,Matchweek 7,Sat,Home,L,0,1,Manchester City,411,377,34,8,0,3,16,15,2,2,0,0,313,0,9,Match Report,2020-10-31,12:30 (05:30),Premier League,Matchweek 7,Sat,Home,L,0,1,Manchester City,5,4,0,1,0,0,0,0,0,0,0,0,0,0,Match Report,2020-10-31,12:30 (05:30),Premier League,Matchweek 7,Sat,Home,L,0,1,Manchester City,19,11,14,4,1,12,29,41.4,17,12,4,8,9,28,23,0,Match Report,2020-10-31,12:30 (05:30),Premier League,Matchweek 7,Sat,Home,L,0,1,Manchester City,35,515,65,173,206,139,13,515,10,4,40.0,6,60.0,291,1686,795,11,14,4,14,6,313,34,Match Report,2020-10-31,12:30 (05:30),Premier League,Matchweek 7,Sat,Home,L,0,1,Manchester City,0,0,0,14,6,0,16,9,11,0,0,0,37,13,17,43.3,Match Report
2020-11-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,L,1,4,Chelsea,1,6,3,50.0,0.17,0.33,18.0,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Match Report,2020-11-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,L,1,4,Chelsea,9,4,5,55.6,0,2.8,-1.2,0,0,0,0,8,19,42.1,16,1,87.5,48.9,5,100.0,69.8,13,0,0.0,0,2.8,Match Report,2020-11-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,L,1,4,Chelsea,245,360,68.1,4195,1587,122,147,83.0,91,114,79.8,24,67,35.8,1,0.4,0.2,5,14,6,0,27,Match Report,2020-11-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,L,1,4,Chelsea,360,312,47,6,0,1,14,24,7,3,2,0,245,1,11,Match Report,2020-11-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,L,1,4,Chelsea,10,9,0,0,1,0,0,1,0,0,0,1,0,0,Match Report,2020-11-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,L,1,4,Chelsea,11,4,6,4,1,5,8,62.5,3,11,6,5,5,16,24,1,Match Report,2020-11-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,L,1,4,Chelsea,31,464,56,137,214,118,8,464,5,3,60.0,2,40.0,174,923,424,9,10,0,16,11,242,26,Match Report,2020-11-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,L,1,4,Chelsea,2,0,0,14,5,1,14,5,4,0,0,0,44,14,13,51.9,Match Report
2020-11-22,14:00 (06:00),Premier League,Matchweek 9,Sun,Home,L,0,1,West Ham,0,9,5,55.6,0.00,0.00,17.6,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Match Report,2020-11-22,14:00 (06:00),Premier League,Matchweek 9,Sun,Home,L,0,1,West Ham,3,1,2,66.7,0,0.5,-0.5,0,0,0,0,8,22,36.4,21,5,66.7,45.1,9,88.9,61.2,14,1,7.1,0,4.0,Match Report,2020-11-22,14:00 (06:00),Premier League,Matchweek 9,Sun,Home,L,0,1,West Ham,438,565,77.5,6937,2375,206,232,88.8,161,192,83.9,33,68,48.5,0,0.8,0.5,7,35,9,2,32,Match Report,2020-11-22,14:00 (06:00),Premier League,Matchweek 9,Sun,Home,L,0,1,West Ham,565,522,39,8,0,0,21,18,2,2,0,0,438,4,14,Match Report,2020-11-22,14:00 (06:00),Premier League,Matchweek 9,Sun,Home,L,0,1,West Ham,15,11,1,1,2,0,0,0,0,0,0,0,0,0,Match Report,2020-11-22,14:00 (06:00),Premier League,Matchweek 9,Sun,Home,L,0,1,West Ham,25,14,16,7,2,13,21,61.9,8,13,7,6,8,33,19,0,Match Report,2020-11-22,14:00 (06:00),Premier League,Matchweek 9,Sun,Home,L,0,1,West Ham,51,674,60,184,329,169,14,674,13,6,46.2,7,53.8,325,1962,1043,20,14,3,16,5,435,32,Match Report,2020-11-22,14:00 (06:00),Premier League,Matchweek 9,Sun,Home,L,0,1,West Ham,0,0,0,7,6,4,21,8,14,0,0,0,54,21,31,40.4,Match Report
