Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Crystal Palace,0,9,5,55.6,0.00,0.00,15.3,2,0,0,0.9,0.9,0.10,-0.9,-0.9,Match Report,2020-09-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Crystal Palace,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,3,13,23.1,43,8,27.9,28.5,7,14.3,21.9,11,2,18.2,5,19.6,Match Report,2020-09-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Crystal Palace,497,638,77.9,8685,2965,227,263,86.3,208,252,82.5,46,92,50.0,0,0.7,0.8,6,34,10,0,51,Match Report,2020-09-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Crystal Palace,638,578,60,16,0,8,18,32,3,1,2,0,497,0,6,Match Report,2020-09-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Crystal Palace,17,12,3,0,0,2,0,0,0,0,0,0,0,0,Match Report,2020-09-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Crystal Palace,28,18,16,9,3,5,15,33.3,10,7,0,7,9,37,19,0,Match Report,2020-09-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Crystal Palace,69,746,49,233,363,152,21,746,11,6,54.5,5,45.5,476,2175,1241,15,11,4,19,10,492,50,Match Report,2020-09-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Crystal Palace,1,0,0,11,14,0,18,9,18,0,0,0,44,29,30,49.2,Match Report
2020-09-16,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,2,Brentford,0,11,3,27.3,0.00,0.00,,,0,0,,,,,,Match Report,2020-09-16,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,2,Brentford,4,2,2,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2020-09-16,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,2,Brentford,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2020-09-16,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,2,Brentford,,,,,,,21,,,,,,,,,Match Report,2020-09-16,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,2,Brentford,,,,,,,,,,,,,,,Match Report,2020-09-16,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,2,Brentford,,9,,,,,,,,,,,11,0,,,Match Report,2020-09-16,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,2,Brentford,66,,,,,,,,,,,,,,,,,,,,,,,Match Report,2020-09-16,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,2,Brentford,1,0,0,13,9,2,21,11,9,,,0,,,,,Match Report
2020-09-20,12:00 (04:00),Premier League,Matchweek 2,Sun,Home,L,2,5,Tottenham,2,13,6,46.2,0.08,0.17,20.0,1,1,1,2.0,1.3,0.10,0.0,-0.3,Match Report,2020-09-20,12:00 (04:00),Premier League,Matchweek 2,Sun,Home,L,2,5,Tottenham,6,5,1,16.7,0,2.8,-2.2,0,0,0,0,3,9,33.3,29,2,27.6,28.6,1,100.0,58.0,4,0,0.0,4,29.5,Match Report,2020-09-20,12:00 (04:00),Premier League,Matchweek 2,Sun,Home,L,2,5,Tottenham,363,489,74.2,5980,2040,167,200,83.5,161,193,83.4,24,64,37.5,1,0.3,0.2,7,31,2,0,43,Match Report,2020-09-20,12:00 (04:00),Premier League,Matchweek 2,Sun,Home,L,2,5,Tottenham,489,442,45,22,0,3,12,13,3,3,0,0,363,2,8,Match Report,2020-09-20,12:00 (04:00),Premier League,Matchweek 2,Sun,Home,L,2,5,Tottenham,25,17,1,2,1,4,0,3,3,0,0,0,0,0,Match Report,2020-09-20,12:00 (04:00),Premier League,Matchweek 2,Sun,Home,L,2,5,Tottenham,8,6,5,3,0,6,14,42.9,8,15,2,13,8,16,7,0,Match Report,2020-09-20,12:00 (04:00),Premier League,Matchweek 2,Sun,Home,L,2,5,Tottenham,51,576,28,143,305,135,18,575,14,11,78.6,3,21.4,242,1516,905,20,12,5,15,5,359,43,Match Report,2020-09-20,12:00 (04:00),Premier League,Matchweek 2,Sun,Home,L,2,5,Tottenham,4,0,0,17,17,2,12,8,6,0,0,0,46,16,31,34.0,Match Report
2020-09-26,20:00 (12:00),Premier League,Matchweek 3,Sat,Away,W,1,0,Burnley,1,5,1,20.0,0.20,1.00,15.9,0,0,0,0.6,0.6,0.13,+0.4,+0.4,Match Report,2020-09-26,20:00 (12:00),Premier League,Matchweek 3,Sat,Away,W,1,0,Burnley,2,0,2,100.0,1,0.4,+0.4,0,0,0,0,3,24,12.5,29,2,69.0,39.9,4,100.0,59.3,25,0,0.0,1,11.7,Match Report,2020-09-26,20:00 (12:00),Premier League,Matchweek 3,Sat,Away,W,1,0,Burnley,370,521,71.0,4946,1884,231,278,83.1,95,136,69.9,19,59,32.2,1,0.6,0.5,4,21,5,1,24,Match Report,2020-09-26,20:00 (12:00),Premier League,Matchweek 3,Sat,Away,W,1,0,Burnley,521,471,49,10,1,1,6,32,2,0,0,2,370,1,10,Match Report,2020-09-26,20:00 (12:00),Premier League,Matchweek 3,Sat,Away,W,1,0,Burnley,8,7,1,0,0,0,0,2,2,0,0,0,0,0,Match Report,2020-09-26,20:00 (12:00),Premier League,Matchweek 3,Sat,Away,W,1,0,Burnley,12,8,3,9,0,1,4,25.0,3,14,4,10,9,21,38,0,Match Report,2020-09-26,20:00 (12:00),Premier League,Matchweek 3,Sat,Away,W,1,0,Burnley,47,652,64,177,391,87,12,652,9,4,44.4,5,55.6,332,1367,589,12,11,1,19,10,365,23,Match Report,2020-09-26,20:00 (12:00),Premier League,Matchweek 3,Sat,Away,W,1,0,Burnley,0,0,0,10,7,1,6,9,8,0,0,0,54,29,30,49.2,Match Report
2020-10-04,12:00 (04:00),Premier League,Matchweek 4,Sun,Home,W,2,0,West Brom,2,13,7,53.8,0.15,0.29,17.9,0,0,0,1.2,1.2,0.09,+0.8,+0.8,Match Report,2020-10-04,12:00 (04:00),Premier League,Matchweek 4,Sun,Home,W,2,0,West Brom,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,10,22,45.5,43,8,39.5,31.8,6,83.3,55.7,9,0,0.0,2,23.0,Match Report,2020-10-04,12:00 (04:00),Premier League,Matchweek 4,Sun,Home,W,2,0,West Brom,437,576,75.9,6969,2682,220,255,86.3,156,182,85.7,36,75,48.0,1,0.5,0.7,9,23,7,1,31,Match Report,2020-10-04,12:00 (04:00),Premier League,Matchweek 4,Sun,Home,W,2,0,West Brom,576,521,54,10,1,2,13,32,5,3,1,0,437,1,17,Match Report,2020-10-04,12:00 (04:00),Premier League,Matchweek 4,Sun,Home,W,2,0,West Brom,20,13,3,0,2,2,0,2,2,0,0,0,0,0,Match Report,2020-10-04,12:00 (04:00),Premier League,Matchweek 4,Sun,Home,W,2,0,West Brom,21,14,4,14,3,7,16,43.8,9,8,2,6,15,36,4,0,Match Report,2020-10-04,12:00 (04:00),Premier League,Matchweek 4,Sun,Home,W,2,0,West Brom,62,669,48,191,346,136,21,669,12,6,50.0,6,50.0,414,2138,1177,17,19,4,16,12,433,31,Match Report,2020-10-04,12:00 (04:00),Premier League,Matchweek 4,Sun,Home,W,2,0,West Brom,2,0,0,19,10,1,13,15,14,0,0,0,61,13,10,56.5,Match Report
2020-10-17,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,D,3,3,Chelsea,3,13,6,46.2,0.23,0.50,17.1,0,0,0,1.9,1.9,0.14,+1.1,+1.1,Match Report,2020-10-17,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,D,3,3,Chelsea,5,3,2,40.0,0,2.0,-1.0,0,0,0,0,4,18,22.2,32,2,37.5,32.3,7,85.7,52.3,11,1,9.1,0,8.0,Match Report,2020-10-17,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,D,3,3,Chelsea,407,550,74.0,7035,2175,176,203,86.7,174,212,82.1,40,89,44.9,2,1.1,0.5,8,31,4,0,39,Match Report,2020-10-17,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,D,3,3,Chelsea,550,491,58,14,1,4,13,31,2,1,1,0,407,1,13,Match Report,2020-10-17,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,D,3,3,Chelsea,20,15,0,1,1,2,1,2,0,0,1,1,0,0,Match Report,2020-10-17,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,D,3,3,Chelsea,13,5,3,8,2,7,14,50.0,7,14,3,11,7,20,8,0,Match Report,2020-10-17,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,D,3,3,Chelsea,47,657,61,167,320,174,19,657,18,9,50.0,9,50.0,296,1732,838,12,10,4,17,7,403,38,Match Report,2020-10-17,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,D,3,3,Chelsea,1,0,0,9,10,1,13,7,5,0,0,0,60,9,25,26.5,Match Report
2020-10-25,14:00 (07:00),Premier League,Matchweek 6,Sun,Home,W,2,0,Everton,2,13,6,46.2,0.15,0.33,17.4,0,0,0,0.7,0.7,0.05,+1.3,+1.3,Match Report,2020-10-25,14:00 (07:00),Premier League,Matchweek 6,Sun,Home,W,2,0,Everton,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,5,13,38.5,30,5,36.7,30.8,2,100.0,60.5,14,0,0.0,0,7.0,Match Report,2020-10-25,14:00 (07:00),Premier League,Matchweek 6,Sun,Home,W,2,0,Everton,564,650,86.8,8176,2723,307,326,94.2,205,222,92.3,23,52,44.2,2,0.6,0.7,12,19,13,1,41,Match Report,2020-10-25,14:00 (07:00),Premier League,Matchweek 6,Sun,Home,W,2,0,Everton,650,612,37,12,0,1,16,18,4,2,0,2,564,1,9,Match Report,2020-10-25,14:00 (07:00),Premier League,Matchweek 6,Sun,Home,W,2,0,Everton,25,23,2,0,0,0,0,4,3,1,0,0,0,0,Match Report,2020-10-25,14:00 (07:00),Premier League,Matchweek 6,Sun,Home,W,2,0,Everton,18,9,6,11,1,8,21,38.1,13,9,3,6,8,26,22,0,Match Report,2020-10-25,14:00 (07:00),Premier League,Matchweek 6,Sun,Home,W,2,0,Everton,54,762,57,191,429,148,23,762,26,18,69.2,8,30.8,385,1932,1054,24,18,5,14,7,562,41,Match Report,2020-10-25,14:00 (07:00),Premier League,Matchweek 6,Sun,Home,W,2,0,Everton,1,0,0,11,11,1,16,8,9,0,0,0,52,5,10,33.3,Match Report
2020-11-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,W,4,3,Aston Villa,4,9,4,44.4,0.44,1.00,18.4,2,0,0,0.7,0.7,0.08,+3.3,+3.3,Match Report,2020-11-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,W,4,3,Aston Villa,10,3,7,80.0,0,3.3,+0.3,1,1,0,0,1,21,4.8,26,3,57.7,39.2,6,100.0,66.3,25,1,4.0,0,8.3,Match Report,2020-11-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,W,4,3,Aston Villa,233,339,68.7,3641,1182,114,142,80.3,90,112,80.4,14,54,25.9,2,0.5,0.4,7,15,3,0,17,Match Report,2020-11-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,W,4,3,Aston Villa,339,294,43,12,0,2,2,20,1,1,0,0,233,2,5,Match Report,2020-11-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,W,4,3,Aston Villa,17,12,3,0,0,2,0,7,4,1,0,0,2,0,Match Report,2020-11-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,W,4,3,Aston Villa,19,11,9,7,3,6,18,33.3,12,11,7,4,10,29,34,0,Match Report,2020-11-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,W,4,3,Aston Villa,44,453,76,182,205,68,6,453,9,6,66.7,3,33.3,174,978,505,8,4,1,12,11,231,17,Match Report,2020-11-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,W,4,3,Aston Villa,2,0,0,17,11,2,2,10,11,0,1,0,41,15,25,37.5,Match Report
2020-11-06,20:00 (12:00),Premier League,Matchweek 8,Fri,Home,W,2,0,Newcastle Utd,2,15,7,46.7,0.13,0.29,18.9,0,0,0,0.7,0.7,0.05,+1.3,+1.3,Match Report,2020-11-06,20:00 (12:00),Premier League,Matchweek 8,Fri,Home,W,2,0,Newcastle Utd,2,0,2,100.0,1,0.3,+0.3,0,0,0,0,0,8,0.0,27,3,25.9,27.9,3,33.3,32.0,8,0,0.0,0,,Match Report,2020-11-06,20:00 (12:00),Premier League,Matchweek 8,Fri,Home,W,2,0,Newcastle Utd,491,604,81.3,7812,2392,231,257,89.9,208,238,87.4,29,62,46.8,1,0.6,0.6,12,17,5,1,22,Match Report,2020-11-06,20:00 (12:00),Premier League,Matchweek 8,Fri,Home,W,2,0,Newcastle Utd,604,553,47,12,0,0,12,24,7,3,4,0,491,4,10,Match Report,2020-11-06,20:00 (12:00),Premier League,Matchweek 8,Fri,Home,W,2,0,Newcastle Utd,27,18,2,3,2,0,2,4,1,0,2,0,0,1,Match Report,2020-11-06,20:00 (12:00),Premier League,Matchweek 8,Fri,Home,W,2,0,Newcastle Utd,32,23,13,14,5,19,28,67.9,9,8,1,7,12,44,11,0,Match Report,2020-11-06,20:00 (12:00),Premier League,Matchweek 8,Fri,Home,W,2,0,Newcastle Utd,61,714,47,192,402,124,18,714,13,9,69.2,4,30.8,356,1782,810,17,19,4,20,9,487,22,Match Report,2020-11-06,20:00 (12:00),Premier League,Matchweek 8,Fri,Home,W,2,0,Newcastle Utd,1,0,0,12,10,4,12,12,23,0,0,0,61,10,8,55.6,Match Report
2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Away,D,1,1,Wolves,1,7,2,28.6,0.14,0.50,15.9,0,0,0,1.0,1.0,0.14,0.0,0.0,Match Report,2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Away,D,1,1,Wolves,9,1,8,88.9,0,1.3,+0.3,0,0,0,0,2,13,15.4,28,3,39.3,33.9,8,25.0,22.8,15,1,6.7,0,10.3,Match Report,2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Away,D,1,1,Wolves,442,549,80.5,6688,2118,240,266,90.2,138,165,83.6,36,72,50.0,1,1.0,1.2,7,15,7,2,28,Match Report,2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Away,D,1,1,Wolves,549,501,47,16,3,4,12,17,4,1,2,0,442,1,6,Match Report,2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Away,D,1,1,Wolves,14,11,0,3,0,0,0,2,2,0,0,0,0,0,Match Report,2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Away,D,1,1,Wolves,20,15,7,13,0,12,27,44.4,15,12,6,6,3,23,15,0,Match Report,2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Away,D,1,1,Wolves,54,659,65,169,411,81,19,659,14,8,57.1,6,42.9,331,1769,943,11,7,1,21,5,439,28,Match Report,2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Away,D,1,1,Wolves,0,0,0,14,14,1,12,3,15,0,0,0,49,16,20,44.4,Match Report
