Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Away,W,2,0,Sheffield Utd,2,11,4,36.4,0.18,0.50,17.2,0,0,0,1.4,1.4,0.14,+0.6,+0.6,Match Report,2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Away,W,2,0,Sheffield Utd,1,0,1,100.0,1,0.0,0.0,0,0,0,0,9,15,60.0,18,7,50.0,44.9,6,100.0,53.3,31,1,3.2,0,4.7,Match Report,2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Away,W,2,0,Sheffield Utd,334,432,77.3,6861,2565,119,140,85.0,138,163,84.7,70,108,64.8,2,0.7,0.3,8,12,4,2,15,Match Report,2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Away,W,2,0,Sheffield Utd,432,384,48,17,1,3,15,19,5,0,3,0,334,0,8,Match Report,2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Away,W,2,0,Sheffield Utd,20,11,3,3,3,0,0,4,1,1,1,1,0,0,Match Report,2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Away,W,2,0,Sheffield Utd,14,8,12,2,0,7,13,53.8,6,7,3,4,13,27,42,0,Match Report,2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Away,W,2,0,Sheffield Utd,45,559,74,269,223,75,12,559,22,14,63.6,8,36.4,255,1527,817,20,10,0,13,8,332,15,Match Report,2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Away,W,2,0,Sheffield Utd,1,0,0,7,13,0,15,13,8,0,0,0,40,28,30,48.3,Match Report
2020-09-17,19:00 (11:00),EFL Cup,Second round,Thu,Home,L,0,1,Stoke City,0,10,2,20.0,0.00,0.00,,,0,0,,,,,,Match Report,2020-09-17,19:00 (11:00),EFL Cup,Second round,Thu,Home,L,0,1,Stoke City,2,1,1,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2020-09-17,19:00 (11:00),EFL Cup,Second round,Thu,Home,L,0,1,Stoke City,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2020-09-17,19:00 (11:00),EFL Cup,Second round,Thu,Home,L,0,1,Stoke City,,,,,,,19,,,,,,,,,Match Report,2020-09-17,19:00 (11:00),EFL Cup,Second round,Thu,Home,L,0,1,Stoke City,,,,,,,,,,,,,,,Match Report,2020-09-17,19:00 (11:00),EFL Cup,Second round,Thu,Home,L,0,1,Stoke City,,6,,,,,,,,,,,9,0,,,Match Report,2020-09-17,19:00 (11:00),EFL Cup,Second round,Thu,Home,L,0,1,Stoke City,65,,,,,,,,,,,,,,,,,,,,,,,Match Report,2020-09-17,19:00 (11:00),EFL Cup,Second round,Thu,Home,L,0,1,Stoke City,0,0,0,9,10,0,19,9,6,,,0,,,,,Match Report
2020-09-21,20:15 (12:15),Premier League,Matchweek 2,Mon,Home,L,1,3,Manchester City,1,10,1,10.0,0.10,1.00,17.4,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report,2020-09-21,20:15 (12:15),Premier League,Matchweek 2,Mon,Home,L,1,3,Manchester City,9,3,6,77.8,0,2.3,-0.7,1,1,0,0,6,16,37.5,19,7,47.4,36.4,8,87.5,51.1,7,0,0.0,0,14.0,Match Report,2020-09-21,20:15 (12:15),Premier League,Matchweek 2,Mon,Home,L,1,3,Manchester City,294,391,75.2,5257,2011,135,160,84.4,100,130,76.9,45,69,65.2,1,0.6,0.5,10,18,7,3,24,Match Report,2020-09-21,20:15 (12:15),Premier League,Matchweek 2,Mon,Home,L,1,3,Manchester City,391,349,40,11,1,3,13,13,4,1,2,0,294,2,9,Match Report,2020-09-21,20:15 (12:15),Premier League,Matchweek 2,Mon,Home,L,1,3,Manchester City,20,17,1,1,0,1,0,2,1,0,1,0,0,0,Match Report,2020-09-21,20:15 (12:15),Premier League,Matchweek 2,Mon,Home,L,1,3,Manchester City,25,12,19,5,1,9,21,42.9,12,12,2,10,15,40,10,0,Match Report,2020-09-21,20:15 (12:15),Premier League,Matchweek 2,Mon,Home,L,1,3,Manchester City,35,510,57,178,269,68,14,510,22,12,54.5,10,45.5,285,1410,717,17,12,4,14,12,288,24,Match Report,2020-09-21,20:15 (12:15),Premier League,Matchweek 2,Mon,Home,L,1,3,Manchester City,0,0,0,7,7,2,13,15,12,0,1,0,49,11,13,45.8,Match Report
2020-09-27,19:00 (11:00),Premier League,Matchweek 3,Sun,Away,L,0,4,West Ham,0,11,2,18.2,0.00,0.00,21.1,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Match Report,2020-09-27,19:00 (11:00),Premier League,Matchweek 3,Sun,Away,L,0,4,West Ham,7,4,4,42.9,0,1.7,-1.3,0,0,0,0,3,11,27.3,16,6,50.0,33.9,5,60.0,40.4,9,0,0.0,0,16.0,Match Report,2020-09-27,19:00 (11:00),Premier League,Matchweek 3,Sun,Away,L,0,4,West Ham,576,676,85.2,9311,2825,268,283,94.7,239,277,86.3,42,73,57.5,0,0.4,0.4,8,46,6,4,44,Match Report,2020-09-27,19:00 (11:00),Premier League,Matchweek 3,Sun,Away,L,0,4,West Ham,676,628,46,9,1,0,18,24,3,1,1,0,576,2,11,Match Report,2020-09-27,19:00 (11:00),Premier League,Matchweek 3,Sun,Away,L,0,4,West Ham,21,15,2,2,2,0,0,0,0,0,0,0,0,0,Match Report,2020-09-27,19:00 (11:00),Premier League,Matchweek 3,Sun,Away,L,0,4,West Ham,17,10,9,7,1,5,21,23.8,16,11,1,10,8,25,6,0,Match Report,2020-09-27,19:00 (11:00),Premier League,Matchweek 3,Sun,Away,L,0,4,West Ham,63,771,40,165,462,154,17,771,31,20,64.5,11,35.5,481,2613,1349,27,19,2,17,13,574,44,Match Report,2020-09-27,19:00 (11:00),Premier League,Matchweek 3,Sun,Away,L,0,4,West Ham,1,0,0,11,7,2,18,8,10,0,0,1,48,21,19,52.5,Match Report
2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,1,0,Fulham,1,14,5,35.7,0.07,0.20,19.5,1,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,1,0,Fulham,2,0,2,100.0,1,0.9,+0.9,0,0,0,0,2,10,20.0,15,4,40.0,28.9,8,50.0,37.9,22,2,9.1,1,14.3,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,1,0,Fulham,441,525,84.0,7337,2311,215,232,92.7,173,193,89.6,35,68,51.5,0,0.6,0.4,7,31,7,3,27,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,1,0,Fulham,525,478,47,7,0,0,18,25,6,2,2,0,441,0,8,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,1,0,Fulham,20,14,1,1,3,1,0,1,0,0,0,1,0,0,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,1,0,Fulham,9,5,3,6,0,2,12,16.7,10,7,3,4,9,18,26,0,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,1,0,Fulham,48,614,55,183,304,131,15,614,14,6,42.9,8,57.1,409,1748,974,11,13,4,9,6,439,27,Match Report,2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,1,0,Fulham,1,0,0,15,6,0,18,9,5,0,0,0,39,12,9,57.1,Match Report
2020-10-19,20:00 (12:00),Premier League,Matchweek 5,Mon,Away,W,1,0,Leeds United,1,7,3,42.9,0.14,0.33,18.3,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Match Report,2020-10-19,20:00 (12:00),Premier League,Matchweek 5,Mon,Away,W,1,0,Leeds United,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,11,24,45.8,19,4,63.2,47.3,12,100.0,57.5,29,0,0.0,0,,Match Report,2020-10-19,20:00 (12:00),Premier League,Matchweek 5,Mon,Away,W,1,0,Leeds United,206,311,66.2,3992,2177,105,124,84.7,60,87,69.0,37,80,46.3,1,0.4,0.2,6,19,1,0,25,Match Report,2020-10-19,20:00 (12:00),Premier League,Matchweek 5,Mon,Away,W,1,0,Leeds United,311,253,56,14,0,1,10,26,3,0,3,0,206,2,7,Match Report,2020-10-19,20:00 (12:00),Premier League,Matchweek 5,Mon,Away,W,1,0,Leeds United,12,7,1,2,1,0,1,2,1,0,1,0,0,0,Match Report,2020-10-19,20:00 (12:00),Premier League,Matchweek 5,Mon,Away,W,1,0,Leeds United,14,8,6,8,0,8,15,53.3,7,6,4,2,21,35,27,0,Match Report,2020-10-19,20:00 (12:00),Premier League,Matchweek 5,Mon,Away,W,1,0,Leeds United,34,422,76,189,158,80,13,422,20,14,70.0,6,30.0,155,1130,603,16,10,4,20,8,203,25,Match Report,2020-10-19,20:00 (12:00),Premier League,Matchweek 5,Mon,Away,W,1,0,Leeds United,1,0,0,12,13,2,10,21,8,0,0,0,55,20,9,69.0,Match Report
2020-10-25,16:30 (09:30),Premier League,Matchweek 6,Sun,Home,D,1,1,Newcastle Utd,1,16,3,18.8,0.06,0.33,23.2,0,0,0,0.7,0.7,0.04,+0.3,+0.3,Match Report,2020-10-25,16:30 (09:30),Premier League,Matchweek 6,Sun,Home,D,1,1,Newcastle Utd,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,1,2,50.0,13,7,15.4,26.2,2,0.0,16.5,11,0,0.0,1,12.7,Match Report,2020-10-25,16:30 (09:30),Premier League,Matchweek 6,Sun,Home,D,1,1,Newcastle Utd,664,745,89.1,11949,3407,256,278,92.1,351,380,92.4,48,69,69.6,0,0.6,0.4,12,68,2,0,59,Match Report,2020-10-25,16:30 (09:30),Premier League,Matchweek 6,Sun,Home,D,1,1,Newcastle Utd,745,711,34,10,0,5,18,18,2,2,0,0,664,0,9,Match Report,2020-10-25,16:30 (09:30),Premier League,Matchweek 6,Sun,Home,D,1,1,Newcastle Utd,29,23,0,0,2,2,2,2,0,0,0,0,1,1,Match Report,2020-10-25,16:30 (09:30),Premier League,Matchweek 6,Sun,Home,D,1,1,Newcastle Utd,11,6,4,5,2,4,16,25.0,12,10,3,7,8,19,13,0,Match Report,2020-10-25,16:30 (09:30),Premier League,Matchweek 6,Sun,Home,D,1,1,Newcastle Utd,63,834,32,194,435,207,15,834,29,16,55.2,13,44.8,609,2939,1531,30,15,5,9,10,663,59,Match Report,2020-10-25,16:30 (09:30),Premier League,Matchweek 6,Sun,Home,D,1,1,Newcastle Utd,0,0,0,10,9,0,18,8,6,0,0,0,43,8,13,38.1,Match Report
2020-10-30,20:00 (13:00),Premier League,Matchweek 7,Fri,Home,W,2,0,Crystal Palace,2,15,5,33.3,0.13,0.40,18.8,0,0,0,1.3,1.3,0.09,+0.7,+0.7,Match Report,2020-10-30,20:00 (13:00),Premier League,Matchweek 7,Fri,Home,W,2,0,Crystal Palace,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,5,13,38.5,12,2,75.0,50.2,4,100.0,59.5,13,1,7.7,0,4.0,Match Report,2020-10-30,20:00 (13:00),Premier League,Matchweek 7,Fri,Home,W,2,0,Crystal Palace,405,492,82.3,7701,2591,161,174,92.5,162,186,87.1,61,88,69.3,1,1.2,1.1,12,43,10,5,37,Match Report,2020-10-30,20:00 (13:00),Premier League,Matchweek 7,Fri,Home,W,2,0,Crystal Palace,492,454,38,6,0,8,24,20,7,2,1,1,405,0,15,Match Report,2020-10-30,20:00 (13:00),Premier League,Matchweek 7,Fri,Home,W,2,0,Crystal Palace,30,26,1,2,1,0,0,4,4,0,0,0,0,0,Match Report,2020-10-30,20:00 (13:00),Premier League,Matchweek 7,Fri,Home,W,2,0,Crystal Palace,19,17,9,7,3,12,25,48.0,13,13,6,7,15,34,16,0,Match Report,2020-10-30,20:00 (13:00),Premier League,Matchweek 7,Fri,Home,W,2,0,Crystal Palace,45,587,52,144,278,170,28,587,12,9,75.0,3,25.0,405,1809,879,20,13,6,10,7,404,37,Match Report,2020-10-30,20:00 (13:00),Premier League,Matchweek 7,Fri,Home,W,2,0,Crystal Palace,0,0,0,13,4,0,24,15,17,0,0,0,42,12,7,63.2,Match Report
2020-11-08,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Leicester City,0,8,2,25.0,0.00,0.00,19.4,1,0,0,0.8,0.8,0.10,-0.8,-0.8,Match Report,2020-11-08,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Leicester City,3,1,1,100.0,0,2.0,+1.0,2,1,1,0,5,14,35.7,9,1,55.6,36.4,12,75.0,46.3,18,0,0.0,3,19.0,Match Report,2020-11-08,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Leicester City,440,549,80.1,7727,2353,188,209,90.0,174,207,84.1,55,90,61.1,0,0.7,0.8,7,25,10,5,44,Match Report,2020-11-08,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Leicester City,549,498,51,11,0,5,20,23,3,2,0,0,440,0,13,Match Report,2020-11-08,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Leicester City,16,11,1,0,1,3,0,0,0,0,0,0,0,0,Match Report,2020-11-08,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Leicester City,17,8,8,8,1,6,11,54.5,5,6,2,4,10,27,12,0,Match Report,2020-11-08,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Leicester City,51,651,42,155,353,145,18,651,16,6,37.5,10,62.5,337,1886,937,16,23,2,18,10,435,43,Match Report,2020-11-08,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,L,0,1,Leicester City,3,0,0,8,11,0,20,10,8,0,2,0,56,17,10,63.0,Match Report
2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Home,D,1,1,Southampton,1,20,9,45.0,0.05,0.11,16.5,1,0,0,1.5,1.5,0.08,-0.5,-0.5,Match Report,2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Home,D,1,1,Southampton,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,6,14,42.9,18,1,55.6,40.5,4,100.0,53.8,11,0,0.0,0,3.0,Match Report,2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Home,D,1,1,Southampton,358,459,78.0,5966,2159,187,210,89.0,118,149,79.2,40,64,62.5,0,0.8,0.6,14,30,6,4,39,Match Report,2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Home,D,1,1,Southampton,459,415,42,12,1,1,23,17,7,0,1,0,358,2,8,Match Report,2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Home,D,1,1,Southampton,36,21,2,3,5,4,1,1,0,0,0,1,0,0,Match Report,2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Home,D,1,1,Southampton,11,8,3,8,0,6,14,42.9,8,8,2,6,8,19,17,0,Match Report,2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Home,D,1,1,Southampton,46,576,42,132,307,141,30,576,27,15,55.6,12,44.4,318,1600,840,24,12,9,21,8,354,39,Match Report,2020-11-23,20:00 (12:00),Premier League,Matchweek 9,Mon,Home,D,1,1,Southampton,2,0,0,14,14,2,23,8,8,0,0,0,56,20,16,55.6,Match Report
