Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-11,20:00 (12:00),Super Cup,UEFA Super Cup,Wed,Home,D,1 (6),1 (5),es Villarreal,1,19,7,36.8,0.05,0.14,,,0,0,,,,,,Match Report,2021-08-11,20:00 (12:00),Super Cup,UEFA Super Cup,Wed,Home,D,1 (6),1 (5),es Villarreal,5,1,4,80.0,,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-08-11,20:00 (12:00),Super Cup,UEFA Super Cup,Wed,Home,D,1 (6),1 (5),es Villarreal,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2021-08-11,20:00 (12:00),Super Cup,UEFA Super Cup,Wed,Home,D,1 (6),1 (5),es Villarreal,,,,,,,33,,,,,,,,,Match Report,2021-08-11,20:00 (12:00),Super Cup,UEFA Super Cup,Wed,Home,D,1 (6),1 (5),es Villarreal,,,,,,,,,,,,,,,Match Report,2021-08-11,20:00 (12:00),Super Cup,UEFA Super Cup,Wed,Home,D,1 (6),1 (5),es Villarreal,,9,,,,,,,,,,,10,0,,,Match Report,2021-08-11,20:00 (12:00),Super Cup,UEFA Super Cup,Wed,Home,D,1 (6),1 (5),es Villarreal,62,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-08-11,20:00 (12:00),Super Cup,UEFA Super Cup,Wed,Home,D,1 (6),1 (5),es Villarreal,2,0,0,10,14,4,33,10,9,,,0,,,,,Match Report
2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,3,0,Crystal Palace,3,13,6,46.2,0.23,0.50,21.0,4,0,0,0.7,0.7,0.05,+2.3,+2.3,Match Report,2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,3,0,Crystal Palace,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,1,2,50.0,16,2,12.5,21.8,5,0.0,11.4,4,0,0.0,0,,Match Report,2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,3,0,Crystal Palace,646,719,89.8,11189,3129,294,315,93.3,283,301,94.0,55,76,72.4,1,0.2,1.1,6,70,20,3,61,Match Report,2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,3,0,Crystal Palace,719,683,36,8,6,5,22,17,5,4,0,0,646,0,7,Match Report,2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,3,0,Crystal Palace,26,19,1,0,2,4,0,6,5,0,0,0,1,0,Match Report,2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,3,0,Crystal Palace,21,9,4,8,9,7,20,35.0,13,5,1,4,11,32,9,0,Match Report,2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,3,0,Crystal Palace,62,802,40,144,394,266,32,802,14,8,57.1,6,42.9,432,1927,1005,12,10,3,10,5,645,61,Match Report,2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,3,0,Crystal Palace,0,0,0,15,11,0,22,11,9,0,0,0,42,6,14,30.0,Match Report
2021-08-22,16:30 (08:30),Premier League,Matchweek 2,Sun,Away,W,2,0,Arsenal,2,22,5,22.7,0.09,0.40,16.0,0,0,0,3.1,3.1,0.14,-1.1,-1.1,Match Report,2021-08-22,16:30 (08:30),Premier League,Matchweek 2,Sun,Away,W,2,0,Arsenal,3,0,3,100.0,1,0.2,+0.2,0,0,0,0,2,6,33.3,39,7,15.4,26.0,4,0.0,11.0,18,0,0.0,2,20.0,Match Report,2021-08-22,16:30 (08:30),Premier League,Matchweek 2,Sun,Away,W,2,0,Arsenal,607,692,87.7,9081,3044,328,347,94.5,213,236,90.3,31,55,56.4,2,3.0,2.4,18,28,18,2,49,Match Report,2021-08-22,16:30 (08:30),Premier League,Matchweek 2,Sun,Away,W,2,0,Arsenal,692,643,49,14,3,4,17,22,8,6,0,0,607,0,10,Match Report,2021-08-22,16:30 (08:30),Premier League,Matchweek 2,Sun,Away,W,2,0,Arsenal,42,37,1,1,2,1,0,4,4,0,0,0,0,0,Match Report,2021-08-22,16:30 (08:30),Premier League,Matchweek 2,Sun,Away,W,2,0,Arsenal,11,5,7,3,1,4,13,30.8,9,6,1,5,10,21,26,0,Match Report,2021-08-22,16:30 (08:30),Premier League,Matchweek 2,Sun,Away,W,2,0,Arsenal,65,795,95,300,306,190,38,795,16,7,43.8,9,56.3,493,1992,1121,22,14,8,11,11,603,49,Match Report,2021-08-22,16:30 (08:30),Premier League,Matchweek 2,Sun,Away,W,2,0,Arsenal,0,0,0,4,10,0,17,10,5,0,0,0,35,18,11,62.1,Match Report
2021-08-28,17:30 (09:30),Premier League,Matchweek 3,Sat,Away,D,1,1,Liverpool,1,6,3,50.0,0.17,0.33,12.5,0,0,0,0.6,0.6,0.11,+0.4,+0.4,Match Report,2021-08-28,17:30 (09:30),Premier League,Matchweek 3,Sat,Away,D,1,1,Liverpool,7,1,6,100.0,0,2.0,+1.0,1,1,0,0,11,20,55.0,28,6,42.9,34.7,14,57.1,42.4,33,3,9.1,3,15.4,Match Report,2021-08-28,17:30 (09:30),Premier League,Matchweek 3,Sat,Away,D,1,1,Liverpool,293,410,71.5,5071,2279,137,164,83.5,117,144,81.3,30,69,43.5,1,0.6,0.3,6,9,3,0,18,Match Report,2021-08-28,17:30 (09:30),Premier League,Matchweek 3,Sat,Away,D,1,1,Liverpool,410,356,52,13,4,2,12,20,3,3,0,0,293,2,12,Match Report,2021-08-28,17:30 (09:30),Premier League,Matchweek 3,Sat,Away,D,1,1,Liverpool,12,10,1,1,0,0,0,2,1,1,0,0,0,0,Match Report,2021-08-28,17:30 (09:30),Premier League,Matchweek 3,Sat,Away,D,1,1,Liverpool,26,12,20,6,0,8,12,66.7,4,12,4,8,21,47,36,0,Match Report,2021-08-28,17:30 (09:30),Premier League,Matchweek 3,Sat,Away,D,1,1,Liverpool,35,558,125,319,166,79,13,558,7,4,57.1,3,42.9,224,1091,525,9,7,3,21,13,292,18,Match Report,2021-08-28,17:30 (09:30),Premier League,Matchweek 3,Sat,Away,D,1,1,Liverpool,2,1,0,4,12,2,12,21,12,0,1,0,59,13,20,39.4,Match Report
2021-09-11,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,W,3,0,Aston Villa,3,12,4,33.3,0.25,0.75,22.6,0,0,0,1.3,1.3,0.11,+1.7,+1.7,Match Report,2021-09-11,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,W,3,0,Aston Villa,6,0,6,100.0,1,0.8,+0.8,0,0,0,0,1,6,16.7,27,9,11.1,22.2,9,33.3,27.8,26,2,7.7,0,6.0,Match Report,2021-09-11,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,W,3,0,Aston Villa,420,518,81.1,7243,2650,199,222,89.6,156,188,83.0,48,77,62.3,2,0.8,0.3,8,23,3,0,30,Match Report,2021-09-11,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,W,3,0,Aston Villa,518,474,42,12,1,0,15,16,4,3,0,0,420,2,7,Match Report,2021-09-11,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,W,3,0,Aston Villa,20,15,0,3,2,0,0,4,2,0,2,0,0,0,Match Report,2021-09-11,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,W,3,0,Aston Villa,15,6,8,7,0,12,31,38.7,19,19,9,10,7,22,39,1,Match Report,2021-09-11,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,W,3,0,Aston Villa,57,648,101,255,290,108,15,648,17,11,64.7,6,35.3,311,1848,1086,18,18,5,16,6,413,29,Match Report,2021-09-11,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,W,3,0,Aston Villa,1,0,0,11,10,2,15,7,6,0,0,0,47,16,14,53.3,Match Report
2021-09-14,20:00 (12:00),Champions Lg,Group stage,Tue,Home,W,1,0,ru Zenit,1,11,2,18.2,0.09,0.50,15.9,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Match Report,2021-09-14,20:00 (12:00),Champions Lg,Group stage,Tue,Home,W,1,0,ru Zenit,2,0,2,100.0,1,0.3,+0.3,0,0,0,0,0,0,,13,2,0.0,21.3,3,0.0,13.0,4,0,0.0,1,21.0,Match Report,2021-09-14,20:00 (12:00),Champions Lg,Group stage,Tue,Home,W,1,0,ru Zenit,757,845,89.6,12338,3619,388,407,95.3,311,345,90.1,49,69,71.0,1,0.6,1.4,10,77,23,2,91,Match Report,2021-09-14,20:00 (12:00),Champions Lg,Group stage,Tue,Home,W,1,0,ru Zenit,845,811,34,6,0,1,22,17,7,6,0,0,757,0,9,Match Report,2021-09-14,20:00 (12:00),Champions Lg,Group stage,Tue,Home,W,1,0,ru Zenit,21,18,0,3,0,0,0,2,2,0,0,0,0,0,Match Report,2021-09-14,20:00 (12:00),Champions Lg,Group stage,Tue,Home,W,1,0,ru Zenit,10,5,4,3,3,5,11,45.5,6,9,1,8,7,17,4,0,Match Report,2021-09-14,20:00 (12:00),Champions Lg,Group stage,Tue,Home,W,1,0,ru Zenit,66,921,29,163,441,329,31,921,22,14,63.6,8,36.4,650,2480,1557,29,26,5,13,11,754,91,Match Report,2021-09-14,20:00 (12:00),Champions Lg,Group stage,Tue,Home,W,1,0,ru Zenit,1,0,0,9,5,0,22,7,5,0,0,0,59,12,14,46.2,Match Report
2021-09-19,16:30 (08:30),Premier League,Matchweek 5,Sun,Away,W,3,0,Tottenham,3,20,9,45.0,0.15,0.33,14.5,0,0,0,2.1,2.1,0.11,+0.9,+0.9,Match Report,2021-09-19,16:30 (08:30),Premier League,Matchweek 5,Sun,Away,W,3,0,Tottenham,2,0,2,100.0,1,0.8,+0.8,0,0,0,0,4,5,80.0,26,6,19.2,26.0,4,0.0,11.8,11,1,9.1,2,21.8,Match Report,2021-09-19,16:30 (08:30),Premier League,Matchweek 5,Sun,Away,W,3,0,Tottenham,484,573,84.5,8036,2957,221,250,88.4,190,217,87.6,47,66,71.2,3,2.1,2.3,17,35,12,2,51,Match Report,2021-09-19,16:30 (08:30),Premier League,Matchweek 5,Sun,Away,W,3,0,Tottenham,573,536,36,4,3,0,25,16,11,6,3,0,484,1,12,Match Report,2021-09-19,16:30 (08:30),Premier League,Matchweek 5,Sun,Away,W,3,0,Tottenham,39,32,2,2,2,0,1,6,4,1,0,0,0,1,Match Report,2021-09-19,16:30 (08:30),Premier League,Matchweek 5,Sun,Away,W,3,0,Tottenham,15,8,3,7,5,7,14,50.0,7,11,1,10,15,30,20,0,Match Report,2021-09-19,16:30 (08:30),Premier League,Matchweek 5,Sun,Away,W,3,0,Tottenham,53,699,66,212,295,194,39,699,18,8,44.4,10,55.6,409,1650,819,17,18,5,16,10,472,48,Match Report,2021-09-19,16:30 (08:30),Premier League,Matchweek 5,Sun,Away,W,3,0,Tottenham,1,0,0,15,4,1,25,15,8,0,0,0,52,18,12,60.0,Match Report
2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Home,D,1 (4),1 (3),Aston Villa,1,18,7,38.9,0.06,0.14,,,0,0,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Home,D,1 (4),1 (3),Aston Villa,6,1,5,83.3,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Home,D,1 (4),1 (3),Aston Villa,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Home,D,1 (4),1 (3),Aston Villa,,,,,,,26,,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Home,D,1 (4),1 (3),Aston Villa,,,,,,,,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Home,D,1 (4),1 (3),Aston Villa,,7,,,,,,,,,,,14,0,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Home,D,1 (4),1 (3),Aston Villa,68,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Home,D,1 (4),1 (3),Aston Villa,2,0,0,11,8,1,26,14,7,,,0,,,,,Match Report
2021-09-25,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester City,0,5,0,0.0,0.00,,27.9,1,0,0,0.2,0.2,0.05,-0.2,-0.2,Match Report,2021-09-25,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester City,3,1,2,66.7,0,0.7,-0.3,0,0,0,0,6,8,75.0,22,6,22.7,30.4,13,23.1,26.5,19,3,15.8,0,5.3,Match Report,2021-09-25,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester City,361,452,79.9,6449,2518,156,179,87.2,158,179,88.3,38,68,55.9,0,0.2,0.5,4,18,4,1,20,Match Report,2021-09-25,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester City,452,404,45,13,3,3,17,13,4,2,2,0,361,3,7,Match Report,2021-09-25,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester City,9,8,0,0,0,1,0,0,0,0,0,0,0,0,Match Report,2021-09-25,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester City,13,6,9,4,0,6,15,40.0,9,16,6,10,7,20,26,0,Match Report,2021-09-25,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester City,41,558,101,295,200,71,11,558,18,10,55.6,8,44.4,298,1635,818,14,9,3,16,8,359,20,Match Report,2021-09-25,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester City,3,0,0,12,9,3,17,7,6,0,0,0,42,18,9,66.7,Match Report
2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,0,1,it Juventus,0,16,1,6.3,0.00,0.00,17.9,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Match Report,2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,0,1,it Juventus,1,1,0,0.0,0,0.4,-0.6,0,0,0,0,0,2,0.0,15,4,0.0,22.1,5,40.0,39.4,2,0,0.0,1,20.3,Match Report,2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,0,1,it Juventus,722,822,87.8,10408,2849,383,406,94.3,267,297,89.9,28,51,54.9,0,1.2,1.5,14,70,14,4,57,Match Report,2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,0,1,it Juventus,822,782,39,12,1,1,34,12,8,2,5,0,722,1,7,Match Report,2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,0,1,it Juventus,29,21,5,1,1,1,0,0,0,0,0,0,0,0,Match Report,2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,0,1,it Juventus,16,8,4,9,3,5,8,62.5,3,10,1,9,7,23,1,1,Match Report,2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,0,1,it Juventus,72,909,24,104,441,370,31,909,17,10,58.8,7,41.2,582,3102,1714,34,42,3,12,11,720,56,Match Report,2021-09-29,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,0,1,it Juventus,3,0,0,18,7,1,34,7,8,0,0,0,55,14,10,58.3,Match Report
