Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-07,17:15 (09:15),Community Shield,FA Community Shield,Sat,Neutral,W,1,0,Manchester City,1,10,5,50.0,0.00,0.00,,,1,1,,,,,,Match Report,2021-08-07,17:15 (09:15),Community Shield,FA Community Shield,Sat,Neutral,W,1,0,Manchester City,3,0,3,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-08-07,17:15 (09:15),Community Shield,FA Community Shield,Sat,Neutral,W,1,0,Manchester City,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-08-07,17:15 (09:15),Community Shield,FA Community Shield,Sat,Neutral,W,1,0,Manchester City,,,,,,,9,,,,,,,,,Match Report,2021-08-07,17:15 (09:15),Community Shield,FA Community Shield,Sat,Neutral,W,1,0,Manchester City,,,,,,,,,,,,,,,Match Report,2021-08-07,17:15 (09:15),Community Shield,FA Community Shield,Sat,Neutral,W,1,0,Manchester City,,21,,,,,,,,,,,9,0,,,Match Report,2021-08-07,17:15 (09:15),Community Shield,FA Community Shield,Sat,Neutral,W,1,0,Manchester City,43,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-08-07,17:15 (09:15),Community Shield,FA Community Shield,Sat,Neutral,W,1,0,Manchester City,1,0,0,6,8,0,9,9,21,,,0,,,,,Match Report
2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,1,0,Wolves,1,9,5,55.6,0.11,0.20,17.1,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Match Report,2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,1,0,Wolves,3,0,3,100.0,1,0.2,+0.2,0,0,0,0,4,9,44.4,31,7,22.6,27.5,8,25.0,27.0,11,0,0.0,2,17.5,Match Report,2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,1,0,Wolves,535,629,85.1,8581,2790,261,286,91.3,238,269,88.5,26,45,57.8,1,0.5,0.9,8,23,7,2,36,Match Report,2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,1,0,Wolves,629,570,54,14,4,0,7,26,5,1,1,0,535,5,7,Match Report,2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,1,0,Wolves,17,16,0,1,0,0,0,2,1,0,1,0,0,0,Match Report,2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,1,0,Wolves,15,11,5,8,2,11,32,34.4,21,24,7,17,11,26,17,2,Match Report,2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,1,0,Wolves,56,752,73,248,373,134,14,752,20,7,35.0,13,65.0,485,2041,1052,19,14,4,18,7,531,36,Match Report,2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,1,0,Wolves,1,0,0,6,10,5,7,11,11,0,0,0,48,10,12,45.5,Match Report
2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Away,L,1,4,West Ham,1,5,1,20.0,0.20,1.00,14.3,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Match Report,2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Away,L,1,4,West Ham,7,4,3,42.9,0,3.0,-1.0,0,0,0,0,3,9,33.3,27,2,25.9,31.9,11,18.2,22.1,29,0,0.0,1,12.7,Match Report,2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Away,L,1,4,West Ham,442,528,83.7,6955,2117,200,219,91.3,193,217,88.9,24,54,44.4,0,0.2,0.2,3,12,3,0,29,Match Report,2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Away,L,1,4,West Ham,528,487,41,10,1,1,3,15,0,0,0,0,442,0,5,Match Report,2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Away,L,1,4,West Ham,9,7,0,1,1,0,0,1,0,0,0,1,0,0,Match Report,2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Away,L,1,4,West Ham,13,7,7,5,1,2,12,16.7,10,7,2,5,14,27,27,1,Match Report,2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Away,L,1,4,West Ham,48,626,77,258,306,65,10,626,12,5,41.7,7,58.3,417,1934,924,13,12,3,8,8,437,29,Match Report,2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Away,L,1,4,West Ham,1,1,0,8,8,0,3,14,7,0,0,0,47,10,21,32.3,Match Report
2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,W,2,1,Norwich City,2,9,3,33.3,0.22,0.67,16.0,0,0,0,1.5,1.5,0.16,+0.5,+0.5,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,W,2,1,Norwich City,4,1,3,100.0,0,1.3,+0.3,1,1,0,0,4,13,30.8,29,7,37.9,35.7,9,22.2,30.3,19,0,0.0,0,8.5,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,W,2,1,Norwich City,392,520,75.4,6578,2223,190,218,87.2,165,197,83.8,28,75,37.3,2,0.6,0.2,5,23,4,1,32,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,W,2,1,Norwich City,520,467,51,10,0,8,19,21,9,7,2,0,392,2,8,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,W,2,1,Norwich City,16,10,2,3,0,0,1,3,3,0,0,0,0,0,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,W,2,1,Norwich City,17,12,7,6,4,8,14,57.1,6,9,4,5,9,26,17,0,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,W,2,1,Norwich City,55,608,64,205,309,97,16,608,23,14,60.9,9,39.1,308,1805,984,28,12,4,7,9,388,32,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,W,2,1,Norwich City,1,0,0,9,7,2,19,9,12,0,1,0,50,14,13,51.9,Match Report
2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,0,1,Manchester City,0,6,1,16.7,0.00,0.00,12.1,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,0,1,Manchester City,8,1,7,87.5,0,2.0,+1.0,0,0,0,0,7,19,36.8,47,10,34.0,32.4,10,30.0,35.8,25,1,4.0,0,5.5,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,0,1,Manchester City,322,402,80.1,6016,2414,131,144,91.0,147,169,87.0,39,72,54.2,0,0.6,0.6,5,13,4,2,20,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,0,1,Manchester City,402,356,44,15,3,3,14,12,5,4,1,0,322,2,8,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,0,1,Manchester City,9,6,1,1,1,0,0,0,0,0,0,0,0,0,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,0,1,Manchester City,18,10,9,9,0,9,14,64.3,5,21,10,11,3,21,23,1,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,0,1,Manchester City,39,514,124,280,172,64,16,514,12,6,50.0,6,50.0,279,1374,741,14,8,3,20,8,322,20,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,0,1,Manchester City,1,0,0,4,10,2,14,3,10,0,0,0,39,12,8,60.0,Match Report
2021-09-16,20:00 (12:00),Europa Lg,Group stage,Thu,Home,D,2,2,it Napoli,2,7,5,71.4,0.29,0.40,15.7,0,0,0,0.7,0.7,0.10,+1.3,+1.3,Match Report,2021-09-16,20:00 (12:00),Europa Lg,Group stage,Thu,Home,D,2,2,it Napoli,7,2,5,71.4,0,2.2,+0.2,0,0,0,0,8,19,42.1,29,2,48.3,39.0,15,33.3,33.2,17,0,0.0,0,,Match Report,2021-09-16,20:00 (12:00),Europa Lg,Group stage,Thu,Home,D,2,2,it Napoli,384,471,81.5,6219,2354,192,212,90.6,139,159,87.4,29,60,48.3,2,0.7,1.2,6,22,3,2,25,Match Report,2021-09-16,20:00 (12:00),Europa Lg,Group stage,Thu,Home,D,2,2,it Napoli,471,418,51,9,2,3,7,22,2,1,1,0,384,2,12,Match Report,2021-09-16,20:00 (12:00),Europa Lg,Group stage,Thu,Home,D,2,2,it Napoli,14,11,0,1,1,0,1,4,3,0,0,0,0,1,Match Report,2021-09-16,20:00 (12:00),Europa Lg,Group stage,Thu,Home,D,2,2,it Napoli,9,6,5,4,0,4,17,23.5,13,11,4,7,12,21,20,0,Match Report,2021-09-16,20:00 (12:00),Europa Lg,Group stage,Thu,Home,D,2,2,it Napoli,46,576,81,241,268,70,13,576,14,8,57.1,6,42.9,389,1609,649,13,11,2,18,7,384,25,Match Report,2021-09-16,20:00 (12:00),Europa Lg,Group stage,Thu,Home,D,2,2,it Napoli,5,1,1,14,7,2,7,12,6,0,0,0,45,9,7,56.3,Match Report
2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Away,L,1,2,Brighton,1,14,3,21.4,0.07,0.33,19.9,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Match Report,2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Away,L,1,2,Brighton,5,2,3,80.0,0,1.5,-0.5,1,1,0,0,1,5,20.0,18,2,27.8,31.9,6,0.0,17.5,13,0,0.0,2,20.7,Match Report,2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Away,L,1,2,Brighton,501,604,82.9,8247,2457,235,265,88.7,209,232,90.1,36,62,58.1,1,1.5,1.3,13,40,10,1,52,Match Report,2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Away,L,1,2,Brighton,604,547,55,11,1,6,25,26,9,4,4,0,501,2,9,Match Report,2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Away,L,1,2,Brighton,25,20,2,2,0,1,0,2,2,0,0,0,0,0,Match Report,2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Away,L,1,2,Brighton,17,9,10,4,3,11,27,40.7,16,10,2,8,10,27,11,0,Match Report,2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Away,L,1,2,Brighton,63,704,53,147,363,198,32,704,16,12,75.0,4,25.0,376,2048,1132,20,14,6,14,15,496,52,Match Report,2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Away,L,1,2,Brighton,1,0,0,10,7,2,25,10,9,0,1,0,46,11,18,37.9,Match Report
2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Millwall,2,7,3,42.9,0.29,0.67,,,0,0,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Millwall,1,0,1,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Millwall,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Millwall,,,,,,,4,,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Millwall,,,,,,,,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Millwall,,5,,,,,,,,,,,4,0,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Millwall,71,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,2,0,Millwall,0,0,0,9,9,0,4,4,5,,,0,,,,,Match Report
2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,D,2,2,Burnley,2,22,4,18.2,0.09,0.50,16.8,0,0,0,2.4,2.4,0.11,-0.4,-0.4,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,D,2,2,Burnley,3,2,2,33.3,0,0.5,-0.5,0,0,0,0,6,12,50.0,30,8,30.0,32.9,7,42.9,33.3,10,1,10.0,3,17.7,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,D,2,2,Burnley,519,637,81.5,8314,3082,287,322,89.1,167,196,85.2,47,80,58.8,2,2.1,2.0,17,33,19,3,63,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,D,2,2,Burnley,637,579,57,12,3,5,25,27,8,3,2,1,519,1,8,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,D,2,2,Burnley,44,41,1,1,1,0,0,4,3,0,1,0,0,0,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,D,2,2,Burnley,17,14,11,2,4,9,15,60.0,6,6,1,5,7,24,14,0,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,D,2,2,Burnley,66,740,59,211,307,227,47,740,13,10,76.9,3,23.1,400,2484,1257,27,26,10,12,10,513,63,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,D,2,2,Burnley,2,0,0,10,8,1,25,7,14,0,0,1,55,20,18,52.6,Match Report
2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,1,pl Legia Warsaw,0,18,3,16.7,0.00,0.00,15.1,1,0,0,1.9,1.9,0.11,-1.9,-1.9,Match Report,2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,1,pl Legia Warsaw,3,1,2,66.7,0,1.4,+0.4,0,0,0,0,0,4,0.0,17,3,23.5,30.5,5,0.0,25.0,5,0,0.0,1,26.0,Match Report,2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,1,pl Legia Warsaw,528,638,82.8,8019,2413,260,285,91.2,200,233,85.8,33,60,55.0,0,1.1,1.6,13,37,15,3,50,Match Report,2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,1,pl Legia Warsaw,638,593,44,15,3,3,30,14,8,7,1,0,528,1,11,Match Report,2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,1,pl Legia Warsaw,31,26,1,0,2,2,0,0,0,0,0,0,0,0,Match Report,2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,1,pl Legia Warsaw,13,9,2,6,5,3,8,37.5,5,13,3,10,6,19,11,0,Match Report,2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,1,pl Legia Warsaw,63,734,39,117,374,246,34,734,13,8,61.5,5,38.5,515,2272,1187,18,19,5,18,5,525,50,Match Report,2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,L,0,1,pl Legia Warsaw,2,0,0,9,12,1,30,6,9,0,0,0,54,14,14,50.0,Match Report
