Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-14,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,3,Liverpool,0,14,3,21.4,0.00,0.00,17.1,0,0,0,1.4,1.4,0.16,-1.4,-1.4,Match Report,2021-08-14,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,3,Liverpool,6,3,3,50.0,0,1.2,-1.8,0,0,0,0,5,17,29.4,37,5,40.5,32.7,8,25.0,20.6,20,0,0.0,2,21.0,Match Report,2021-08-14,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,3,Liverpool,466,563,82.8,7899,2686,220,236,93.2,183,207,88.4,48,88,54.5,0,1.7,0.8,11,23,6,3,29,Match Report,2021-08-14,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,3,Liverpool,563,515,46,14,3,6,19,17,3,2,1,0,466,2,11,Match Report,2021-08-14,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,3,Liverpool,22,18,1,0,3,0,0,0,0,0,0,0,0,0,Match Report,2021-08-14,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,3,Liverpool,19,13,12,7,0,13,20,65.0,7,14,6,8,9,28,36,0,Match Report,2021-08-14,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,3,Liverpool,50,689,105,322,274,97,14,689,18,10,55.6,8,44.4,431,2000,936,16,10,5,15,8,464,29,Match Report,2021-08-14,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,3,Liverpool,1,0,0,4,14,2,19,9,13,0,0,0,51,8,14,36.4,Match Report
2021-08-21,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,5,Manchester City,0,1,0,0.0,0.00,,16.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Match Report,2021-08-21,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,5,Manchester City,4,5,0,-25.0,0,2.7,-1.3,0,0,0,0,3,13,23.1,48,8,22.9,29.5,9,22.2,25.0,18,2,11.1,0,4.5,Match Report,2021-08-21,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,5,Manchester City,326,389,83.8,5294,1692,171,181,94.5,130,144,90.3,21,48,43.8,0,0.0,0.1,0,5,0,0,13,Match Report,2021-08-21,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,5,Manchester City,389,345,41,15,3,1,6,10,1,1,0,0,326,3,3,Match Report,2021-08-21,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,5,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,2021-08-21,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,5,Manchester City,18,11,13,3,2,6,15,40.0,9,11,6,5,8,26,26,0,Match Report,2021-08-21,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,5,Manchester City,33,479,121,291,162,27,4,479,13,6,46.2,7,53.8,266,1369,603,6,8,1,6,7,325,13,Match Report,2021-08-21,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,5,Manchester City,0,0,0,7,13,3,6,8,11,0,0,1,28,3,9,25.0,Match Report
2021-08-24,19:00 (11:00),EFL Cup,Second round,Tue,Home,W,6,0,Bournemouth,6,16,12,75.0,0.38,0.50,,,0,0,,,,,,Match Report,2021-08-24,19:00 (11:00),EFL Cup,Second round,Tue,Home,W,6,0,Bournemouth,1,0,1,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-08-24,19:00 (11:00),EFL Cup,Second round,Tue,Home,W,6,0,Bournemouth,,,,,,,,,,,,,,,5,,,,,,,,Match Report,2021-08-24,19:00 (11:00),EFL Cup,Second round,Tue,Home,W,6,0,Bournemouth,,,,,,,14,,,,,,,,,Match Report,2021-08-24,19:00 (11:00),EFL Cup,Second round,Tue,Home,W,6,0,Bournemouth,,,,,,,,,,,,,,,Match Report,2021-08-24,19:00 (11:00),EFL Cup,Second round,Tue,Home,W,6,0,Bournemouth,,7,,,,,,,,,,,7,0,,,Match Report,2021-08-24,19:00 (11:00),EFL Cup,Second round,Tue,Home,W,6,0,Bournemouth,49,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-08-24,19:00 (11:00),EFL Cup,Second round,Tue,Home,W,6,0,Bournemouth,1,0,0,10,9,1,14,7,7,,,0,,,,,Match Report
2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,1,13,3,23.1,0.00,0.00,22.6,1,1,1,1.5,0.7,0.06,-0.5,-0.7,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,3,2,1,33.3,0,1.6,-0.4,0,0,0,0,5,16,31.3,27,3,44.4,38.1,10,40.0,38.9,18,0,0.0,3,31.7,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,311,421,73.9,5696,2049,133,157,84.7,135,168,80.4,35,77,45.5,0,0.5,0.4,8,16,7,4,26,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,421,364,55,9,1,3,23,24,9,7,2,0,311,2,6,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,22,16,0,2,1,2,1,2,1,0,0,0,1,0,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,18,15,7,10,1,9,23,39.1,14,6,1,5,15,33,20,0,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,45,533,60,200,219,120,11,532,14,6,42.9,8,57.1,306,1555,877,13,13,0,20,9,311,26,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,2,0,0,8,9,2,23,15,15,1,0,0,42,13,14,48.1,Match Report
2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Arsenal,0,10,1,10.0,0.00,0.00,19.9,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Arsenal,6,1,5,83.3,0,1.5,+0.5,0,0,0,0,10,24,41.7,36,3,41.7,34.5,15,60.0,46.2,17,0,0.0,0,11.7,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Arsenal,348,454,76.7,5776,2237,182,208,87.5,128,162,79.0,31,61,50.8,0,0.5,0.8,7,18,8,4,26,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Arsenal,454,398,56,10,1,2,18,25,4,3,0,0,348,0,13,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Arsenal,19,14,3,0,1,1,0,0,0,0,0,0,0,0,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Arsenal,20,13,10,7,3,11,18,61.1,7,14,11,3,8,28,22,0,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Arsenal,49,565,106,244,197,125,21,565,23,7,30.4,16,69.6,338,1684,722,9,9,4,14,0,344,26,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Arsenal,2,0,0,11,9,0,18,8,13,0,0,0,45,16,19,45.7,Match Report
2021-09-18,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,1,3,Watford,1,12,5,41.7,0.08,0.20,20.7,1,0,0,1.0,1.0,0.08,0.0,0.0,Match Report,2021-09-18,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,1,3,Watford,8,3,5,62.5,0,3.6,+0.6,0,0,0,0,2,7,28.6,29,5,24.1,26.3,4,0.0,21.3,17,0,0.0,1,23.0,Match Report,2021-09-18,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,1,3,Watford,332,424,78.3,6273,2523,138,159,86.8,156,186,83.9,35,68,51.5,1,0.9,1.0,9,32,12,2,44,Match Report,2021-09-18,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,1,3,Watford,424,374,49,13,2,6,19,24,4,1,3,0,332,1,6,Match Report,2021-09-18,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,1,3,Watford,18,12,4,0,0,2,0,2,2,0,0,0,0,0,Match Report,2021-09-18,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,1,3,Watford,17,11,7,8,2,8,21,38.1,13,8,1,7,15,32,19,0,Match Report,2021-09-18,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,1,3,Watford,49,537,58,186,232,123,26,537,14,9,64.3,5,35.7,295,1669,881,14,11,2,23,6,331,44,Match Report,2021-09-18,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,1,3,Watford,1,0,0,10,14,1,19,15,11,0,0,0,55,17,15,53.1,Match Report
2021-09-21,19:45 (11:45),EFL Cup,Third round,Tue,Home,L,0,3,Liverpool,0,12,5,41.7,0.00,0.00,,,0,1,,,,,,Match Report,2021-09-21,19:45 (11:45),EFL Cup,Third round,Tue,Home,L,0,3,Liverpool,3,3,0,0.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-09-21,19:45 (11:45),EFL Cup,Third round,Tue,Home,L,0,3,Liverpool,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2021-09-21,19:45 (11:45),EFL Cup,Third round,Tue,Home,L,0,3,Liverpool,,,,,,,5,,,,,,,,,Match Report,2021-09-21,19:45 (11:45),EFL Cup,Third round,Tue,Home,L,0,3,Liverpool,,,,,,,,,,,,,,,Match Report,2021-09-21,19:45 (11:45),EFL Cup,Third round,Tue,Home,L,0,3,Liverpool,,8,,,,,,,,,,,9,0,,,Match Report,2021-09-21,19:45 (11:45),EFL Cup,Third round,Tue,Home,L,0,3,Liverpool,47,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-09-21,19:45 (11:45),EFL Cup,Third round,Tue,Home,L,0,3,Liverpool,2,0,0,8,15,3,5,9,8,,,0,,,,,Match Report
2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Everton,0,10,2,20.0,0.00,0.00,22.3,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Everton,4,2,2,75.0,0,1.9,-0.1,1,1,0,0,0,5,0.0,27,8,18.5,32.5,5,0.0,19.8,14,0,0.0,0,5.0,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Everton,441,534,82.6,7976,2652,190,214,88.8,194,212,91.5,47,82,57.3,0,0.4,0.5,8,27,5,0,45,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Everton,534,485,49,12,0,7,14,25,4,4,0,0,441,0,12,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Everton,20,12,3,1,2,2,0,0,0,0,0,0,0,0,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Everton,12,5,5,7,0,7,11,63.6,4,14,4,10,17,29,21,0,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Everton,53,649,60,250,267,134,13,649,24,12,50.0,12,50.0,382,1910,1013,15,16,4,15,6,437,44,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Everton,3,0,0,9,11,0,14,17,5,0,1,0,44,14,8,63.6,Match Report
2021-10-02,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,D,0,0,Burnley,0,10,2,20.0,0.00,0.00,20.7,2,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report,2021-10-02,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,D,0,0,Burnley,4,0,4,100.0,1,0.6,+0.6,0,0,0,0,11,27,40.7,38,7,47.4,38.1,12,75.0,55.2,34,0,0.0,1,13.0,Match Report,2021-10-02,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,D,0,0,Burnley,283,400,70.8,5254,2277,132,152,86.8,104,147,70.7,37,79,46.8,0,0.3,0.7,6,15,9,0,23,Match Report,2021-10-02,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,D,0,0,Burnley,400,351,48,13,2,7,19,17,5,2,2,0,283,1,5,Match Report,2021-10-02,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,D,0,0,Burnley,16,11,1,1,1,2,0,0,0,0,0,0,0,0,Match Report,2021-10-02,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,D,0,0,Burnley,16,12,8,7,1,8,22,36.4,14,18,7,11,7,23,47,1,Match Report,2021-10-02,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,D,0,0,Burnley,44,541,105,265,191,92,25,541,22,12,54.5,10,45.5,280,1492,845,16,7,4,16,3,280,23,Match Report,2021-10-02,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,D,0,0,Burnley,2,0,0,3,13,1,19,7,12,0,0,0,55,15,27,35.7,Match Report
2021-10-16,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,D,0,0,Brighton,0,15,2,13.3,0.00,0.00,21.7,1,0,0,1.2,1.2,0.08,-1.2,-1.2,Match Report,2021-10-16,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,D,0,0,Brighton,3,0,3,100.0,1,0.3,+0.3,0,0,0,0,4,12,33.3,21,7,28.6,33.4,9,66.7,44.7,14,1,7.1,0,10.0,Match Report,2021-10-16,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,D,0,0,Brighton,235,344,68.3,4370,1893,96,123,78.0,104,138,75.4,27,59,45.8,0,0.6,0.7,10,20,6,1,17,Match Report,2021-10-16,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,D,0,0,Brighton,344,290,54,13,2,3,22,23,8,5,3,0,235,0,11,Match Report,2021-10-16,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,D,0,0,Brighton,29,21,1,2,2,2,1,0,0,0,0,0,0,0,Match Report,2021-10-16,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,D,0,0,Brighton,9,8,4,2,3,4,10,40.0,6,14,4,10,8,17,20,0,Match Report,2021-10-16,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,D,0,0,Brighton,36,452,65,175,162,118,16,452,16,11,68.8,5,31.3,183,1115,588,14,4,5,15,14,230,17,Match Report,2021-10-16,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,D,0,0,Brighton,3,0,0,5,14,0,22,8,8,0,0,0,47,14,21,40.0,Match Report
2021-10-23,12:30 (04:30),Premier League,Matchweek 9,Sat,Away,L,0,7,Chelsea,0,3,1,33.3,0.00,0.00,20.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Match Report,2021-10-23,12:30 (04:30),Premier League,Matchweek 9,Sat,Away,L,0,7,Chelsea,13,7,7,53.8,0,4.5,-1.5,1,1,0,0,10,20,50.0,42,12,33.3,33.2,10,60.0,44.7,6,1,16.7,0,5.0,Match Report,2021-10-23,12:30 (04:30),Premier League,Matchweek 9,Sat,Away,L,0,7,Chelsea,326,409,79.7,6007,2283,146,165,88.5,132,148,89.2,42,74,56.8,0,0.1,0.1,2,12,0,0,15,Match Report,2021-10-23,12:30 (04:30),Premier League,Matchweek 9,Sat,Away,L,0,7,Chelsea,409,361,48,15,2,2,2,15,0,0,0,0,326,0,12,Match Report,2021-10-23,12:30 (04:30),Premier League,Matchweek 9,Sat,Away,L,0,7,Chelsea,5,4,0,1,0,0,0,0,0,0,0,0,0,0,Match Report,2021-10-23,12:30 (04:30),Premier League,Matchweek 9,Sat,Away,L,0,7,Chelsea,12,5,8,4,0,3,11,27.3,8,9,2,7,7,19,11,0,Match Report,2021-10-23,12:30 (04:30),Premier League,Matchweek 9,Sat,Away,L,0,7,Chelsea,38,499,87,269,190,46,2,499,16,11,68.8,5,31.3,241,1253,465,8,3,1,18,14,324,15,Match Report,2021-10-23,12:30 (04:30),Premier League,Matchweek 9,Sat,Away,L,0,7,Chelsea,4,1,1,16,13,0,2,7,5,0,1,1,47,6,10,37.5,Match Report
