Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-15,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,4,2,Newcastle Utd,4,17,7,41.2,0.24,0.57,17.1,1,0,1,2.7,2.0,0.12,+1.3,+2.0,Match Report,2021-08-15,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,4,2,Newcastle Utd,3,2,1,33.3,0,1.5,-0.5,0,0,0,0,6,17,35.3,18,3,61.1,39.0,12,50.0,40.3,21,0,0.0,0,9.0,Match Report,2021-08-15,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,4,2,Newcastle Utd,431,522,82.6,7072,2261,213,231,92.2,182,211,86.3,25,52,48.1,3,1.8,1.2,12,28,11,0,42,Match Report,2021-08-15,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,4,2,Newcastle Utd,522,475,45,3,0,1,23,21,6,4,2,0,431,2,7,Match Report,2021-08-15,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,4,2,Newcastle Utd,31,20,2,3,4,2,0,7,6,0,0,1,0,0,Match Report,2021-08-15,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,4,2,Newcastle Utd,23,14,12,9,2,9,23,39.1,14,10,6,4,7,30,21,0,Match Report,2021-08-15,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,4,2,Newcastle Utd,54,627,70,143,302,188,31,626,15,11,73.3,4,26.7,365,2122,1207,29,17,7,16,4,429,42,Match Report,2021-08-15,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,4,2,Newcastle Utd,0,0,0,3,4,2,23,7,14,1,0,0,48,20,12,62.5,Match Report
2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,W,4,1,Leicester City,4,19,7,36.8,0.21,0.57,13.9,0,0,0,2.3,2.3,0.12,+1.7,+1.7,Match Report,2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,W,4,1,Leicester City,1,1,0,0.0,0,0.5,-0.5,0,0,0,0,3,5,60.0,14,6,21.4,34.5,3,66.7,46.3,2,1,50.0,0,12.0,Match Report,2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,W,4,1,Leicester City,469,567,82.7,8733,2967,195,220,88.6,207,239,86.6,65,94,69.1,4,2.2,1.7,16,38,9,5,50,Match Report,2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,W,4,1,Leicester City,567,519,46,8,0,8,34,23,10,8,1,0,469,2,8,Match Report,2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,W,4,1,Leicester City,35,28,5,2,0,0,0,7,7,0,0,0,0,0,Match Report,2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,W,4,1,Leicester City,15,11,10,5,0,7,12,58.3,5,7,2,5,5,20,7,0,Match Report,2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,W,4,1,Leicester City,52,654,34,180,296,187,27,654,12,10,83.3,2,16.7,413,1997,900,16,19,3,10,11,464,50,Match Report,2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,W,4,1,Leicester City,0,0,0,8,8,2,34,5,11,0,0,0,53,21,10,67.7,Match Report
2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,2,2,Crystal Palace,2,14,4,28.6,0.14,0.50,15.2,0,0,0,1.3,1.3,0.10,+0.7,+0.7,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,2,2,Crystal Palace,2,2,0,0.0,0,1.7,-0.3,0,0,0,0,2,8,25.0,11,1,45.5,39.9,6,50.0,44.0,12,0,0.0,0,,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,2,2,Crystal Palace,331,440,75.2,5936,2359,143,168,85.1,144,171,84.2,32,66,48.5,1,1.2,1.6,12,37,12,4,51,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,2,2,Crystal Palace,440,384,55,9,2,3,28,32,5,3,2,0,331,1,15,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,2,2,Crystal Palace,21,15,2,1,3,0,0,2,2,0,0,0,0,0,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,2,2,Crystal Palace,16,5,11,4,1,6,21,28.6,15,10,4,6,15,31,13,0,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,2,2,Crystal Palace,47,545,44,136,245,174,37,545,16,11,68.8,5,31.3,286,1557,629,11,7,5,16,8,330,51,Match Report,2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,2,2,Crystal Palace,1,0,0,10,5,1,28,15,5,0,0,0,47,15,29,34.1,Match Report
2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,0,0,Southampton,0,13,3,23.1,0.00,0.00,20.0,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,0,0,Southampton,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,2,5,40.0,18,6,22.2,28.4,7,14.3,24.0,11,1,9.1,0,1.0,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,0,0,Southampton,485,581,83.5,8574,3086,228,248,91.9,202,238,84.9,47,76,61.8,0,0.5,0.7,7,46,5,3,45,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,0,0,Southampton,581,548,31,9,1,3,22,10,4,3,1,0,485,2,3,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,0,0,Southampton,20,13,3,0,2,2,0,0,0,0,0,0,0,0,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,0,0,Southampton,14,5,6,5,3,4,9,44.4,5,9,4,5,15,29,19,0,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,0,0,Southampton,58,691,56,180,328,191,14,691,11,6,54.5,5,45.5,435,2249,1119,17,17,4,20,3,483,44,Match Report,2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,0,0,Southampton,3,1,1,12,10,2,22,15,5,0,0,0,57,16,16,50.0,Match Report
2021-09-16,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,2,0,hr Dinamo Zagreb,2,14,5,35.7,0.14,0.40,18.3,0,0,0,1.9,1.9,0.14,+0.1,+0.1,Match Report,2021-09-16,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,2,0,hr Dinamo Zagreb,0,0,0,,1,0.0,0.0,0,0,0,0,4,11,36.4,16,3,31.3,35.8,9,66.7,47.8,7,0,0.0,0,14.0,Match Report,2021-09-16,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,2,0,hr Dinamo Zagreb,444,529,83.9,7607,2705,207,225,92.0,203,226,89.8,29,56,51.8,0,0.6,0.9,10,33,10,1,42,Match Report,2021-09-16,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,2,0,hr Dinamo Zagreb,529,482,46,6,2,1,18,23,7,4,2,0,444,1,7,Match Report,2021-09-16,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,2,0,hr Dinamo Zagreb,23,18,1,2,0,1,1,2,0,0,2,0,0,0,Match Report,2021-09-16,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,2,0,hr Dinamo Zagreb,17,8,8,6,3,10,23,43.5,13,7,3,4,11,28,14,0,Match Report,2021-09-16,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,2,0,hr Dinamo Zagreb,50,627,39,139,312,181,23,627,15,8,53.3,7,46.7,427,2368,1190,17,19,2,18,4,441,42,Match Report,2021-09-16,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,2,0,hr Dinamo Zagreb,1,0,0,9,5,1,18,11,8,0,0,0,45,14,15,48.3,Match Report
2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,L,1,2,Manchester Utd,1,12,3,25.0,0.08,0.33,22.0,0,0,1,1.6,0.8,0.07,-0.6,+0.2,Match Report,2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,L,1,2,Manchester Utd,10,2,8,80.0,0,3.0,+1.0,0,0,0,0,1,10,10.0,16,6,50.0,40.8,10,20.0,24.0,28,0,0.0,0,1.0,Match Report,2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,L,1,2,Manchester Utd,367,457,80.3,6048,2084,164,178,92.1,170,194,87.6,21,55,38.2,1,0.7,0.5,10,24,8,1,39,Match Report,2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,L,1,2,Manchester Utd,457,418,37,7,1,1,17,15,2,2,0,0,367,2,10,Match Report,2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,L,1,2,Manchester Utd,22,18,0,3,1,0,0,2,2,0,0,0,0,0,Match Report,2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,L,1,2,Manchester Utd,14,7,7,6,1,5,24,20.8,19,12,3,9,4,18,32,1,Match Report,2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,L,1,2,Manchester Utd,40,562,78,209,248,114,15,561,17,14,82.4,3,17.6,331,1983,917,14,12,0,8,11,365,39,Match Report,2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,L,1,2,Manchester Utd,0,0,0,5,6,2,17,4,7,0,0,0,39,12,9,57.1,Match Report
2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,1,0,Manchester Utd,1,9,3,33.3,0.11,0.33,,,0,0,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,1,0,Manchester Utd,6,0,6,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,1,0,Manchester Utd,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,1,0,Manchester Utd,,,,,,,11,,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,1,0,Manchester Utd,,,,,,,,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,1,0,Manchester Utd,,13,,,,,,,,,,,17,0,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,1,0,Manchester Utd,39,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-09-22,19:45 (11:45),EFL Cup,Third round,Wed,Away,W,1,0,Manchester Utd,1,0,0,6,4,5,11,17,13,,,0,,,,,Match Report
2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,2,1,Leeds United,1,20,6,30.0,0.05,0.17,18.2,2,0,0,1.6,1.6,0.08,-0.6,-0.6,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,2,1,Leeds United,5,1,4,80.0,0,1.1,+0.1,0,0,0,0,3,11,27.3,24,8,33.3,29.9,5,60.0,42.2,9,0,0.0,0,14.0,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,2,1,Leeds United,300,399,75.2,5335,2362,129,145,89.0,132,160,82.5,34,72,47.2,1,1.3,1.0,15,23,0,0,34,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,2,1,Leeds United,399,353,46,10,2,1,21,22,7,2,5,0,300,0,9,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,2,1,Leeds United,35,22,6,3,1,2,1,2,1,0,1,0,0,0,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,2,1,Leeds United,15,9,7,6,2,10,15,66.7,5,8,6,2,7,22,13,1,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,2,1,Leeds United,47,500,60,170,206,129,23,500,18,7,38.9,11,61.1,272,1924,1035,27,11,9,8,5,295,34,Match Report,2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,2,1,Leeds United,2,0,0,6,10,0,21,7,9,0,0,0,44,19,18,51.4,Match Report
2021-09-30,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,0,at Rapid Wien,2,14,4,28.6,0.14,0.50,15.6,0,0,0,2.6,2.6,0.19,-0.6,-0.6,Match Report,2021-09-30,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,0,at Rapid Wien,1,0,1,100.0,1,0.0,0.0,0,0,0,0,5,15,33.3,23,1,47.8,41.5,5,80.0,51.8,8,0,0.0,1,27.0,Match Report,2021-09-30,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,0,at Rapid Wien,414,518,79.9,7586,2793,183,201,91.0,184,209,88.0,44,85,51.8,2,1.8,1.9,12,34,8,1,37,Match Report,2021-09-30,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,0,at Rapid Wien,518,460,56,12,2,3,21,30,8,4,0,0,414,2,14,Match Report,2021-09-30,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,0,at Rapid Wien,25,17,5,1,1,1,0,4,4,0,0,0,0,0,Match Report,2021-09-30,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,0,at Rapid Wien,20,12,5,12,3,6,18,33.3,12,12,6,6,9,29,11,0,Match Report,2021-09-30,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,0,at Rapid Wien,48,642,46,154,324,172,25,642,27,13,48.1,14,51.9,397,2219,802,18,11,4,17,13,408,37,Match Report,2021-09-30,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,0,at Rapid Wien,1,0,0,8,11,2,21,9,12,0,0,0,57,20,7,74.1,Match Report
2021-10-03,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,L,1,2,Brentford,1,18,5,27.8,0.06,0.20,16.7,1,0,0,1.5,1.5,0.09,-0.5,-0.5,Match Report,2021-10-03,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,L,1,2,Brentford,6,2,4,66.7,0,1.3,-0.7,0,0,0,0,5,17,29.4,17,4,64.7,44.7,6,100.0,71.0,13,2,15.4,0,9.0,Match Report,2021-10-03,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,L,1,2,Brentford,340,480,70.8,6385,2231,134,167,80.2,157,185,84.9,36,90,40.0,1,1.3,1.1,11,35,12,6,48,Match Report,2021-10-03,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,L,1,2,Brentford,480,429,49,13,1,3,33,17,10,5,5,0,340,2,10,Match Report,2021-10-03,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,L,1,2,Brentford,31,22,4,1,3,1,0,2,1,1,0,0,0,0,Match Report,2021-10-03,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,L,1,2,Brentford,15,8,4,9,2,7,12,58.3,5,14,4,10,8,23,15,0,Match Report,2021-10-03,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,L,1,2,Brentford,59,575,43,135,261,184,29,575,12,9,75.0,3,25.0,333,1802,801,22,12,5,12,2,335,47,Match Report,2021-10-03,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,L,1,2,Brentford,2,0,0,16,13,2,33,8,8,0,0,0,55,25,25,50.0,Match Report
