Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2022-08-06,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,2,1,Wolves,1,12,4,33.3,0.08,0.25,18.6,1,0,0,0.8,0.8,0.07,+0.2,+0.2,Match Report,2022-08-06,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,2,1,Wolves,6,1,5,83.3,0,1.3,+0.3,0,0,0,0,1,8,12.5,20,8,35.0,31.3,9,11.1,19.8,15,1,6.7,1,12.5,Match Report,2022-08-06,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,2,1,Wolves,295,399,73.9,5083,2117,127,156,81.4,127,156,81.4,28,62,45.2,1,0.7,0.5,9,30,7,1,37,Match Report,2022-08-06,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,2,1,Wolves,399,357,42,9,0,3,20,16,6,1,4,1,295,0,4,Match Report,2022-08-06,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,2,1,Wolves,18,9,5,1,0,2,1,0,0,0,0,0,0,0,Match Report,2022-08-06,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,2,1,Wolves,21,14,9,7,5,14,39,35.9,25,13,3,10,14,35,23,0,Match Report,2022-08-06,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,2,1,Wolves,40,515,65,166,221,132,26,515,14,7,50.0,6,42.9,288,1282,635,15,14,4,13,10,292,37,Match Report,2022-08-06,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,2,1,Wolves,2,0,0,13,8,0,20,14,14,0,0,0,62,9,7,56.3,Match Report
2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,D,2,2,Southampton,2,13,5,38.5,0.15,0.40,12.0,0,0,0,1.8,1.8,0.15,+0.2,+0.2,Match Report,2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,D,2,2,Southampton,4,2,2,50.0,0,2.2,+0.2,0,0,0,0,1,11,9.1,21,7,38.1,35.1,9,33.3,36.9,14,1,7.1,2,15.3,Match Report,2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,D,2,2,Southampton,370,501,73.9,6178,2522,180,205,87.8,157,204,77.0,28,69,40.6,2,1.9,0.6,12,20,8,1,38,Match Report,2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,D,2,2,Southampton,501,444,56,11,1,1,11,28,5,1,3,0,370,1,9,Match Report,2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,D,2,2,Southampton,23,18,3,0,2,0,0,2,1,0,0,1,0,0,Match Report,2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,D,2,2,Southampton,27,20,11,13,3,8,25,32.0,17,15,3,12,10,37,21,0,Match Report,2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,D,2,2,Southampton,57,623,63,263,245,123,20,623,14,6,42.9,7,50.0,347,1258,496,8,5,1,18,10,365,38,Match Report,2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,D,2,2,Southampton,3,0,0,12,9,1,11,10,20,0,0,0,54,23,17,57.5,Match Report
2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,W,3,0,Chelsea,3,12,6,50.0,0.25,0.50,16.3,0,0,0,2.1,2.1,0.18,+0.9,+0.9,Match Report,2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,W,3,0,Chelsea,3,0,3,100.0,1,0.6,+0.6,0,0,0,0,1,16,6.3,27,2,55.6,42.5,7,14.3,24.0,11,0,0.0,3,48.0,Match Report,2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,W,3,0,Chelsea,251,352,71.3,4255,1686,117,141,83.0,97,122,79.5,25,60,41.7,2,1.2,0.5,9,25,4,1,26,Match Report,2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,W,3,0,Chelsea,352,298,53,22,0,3,12,19,4,2,2,0,251,1,9,Match Report,2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,W,3,0,Chelsea,17,10,3,1,1,1,1,4,0,1,0,1,1,1,Match Report,2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,W,3,0,Chelsea,26,14,16,8,2,14,27,51.9,13,21,5,16,16,42,17,0,Match Report,2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,W,3,0,Chelsea,39,477,66,191,170,122,14,477,24,8,33.3,12,50.0,174,849,409,13,7,2,10,10,250,26,Match Report,2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,W,3,0,Chelsea,0,0,0,16,15,1,12,16,14,0,0,0,49,9,21,30.0,Match Report
2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Barnsley,3,10,4,40.0,0.20,0.50,,,1,1,,,,,,Match Report,2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Barnsley,2,1,1,50.0,0,,,1,0,0,1,,,,,,,,,,,,,,,,Match Report,2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Barnsley,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Barnsley,,,,,,,12,,,,,,,,,Match Report,2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Barnsley,,,,,,,,,,,,,,,Match Report,2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Barnsley,,14,,,,,,,,,,,7,0,,,Match Report,2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Barnsley,71,,,,,,,,,,,,,,,,,,,,,,,Match Report,2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Barnsley,2,0,0,7,13,0,12,7,14,,,0,,,,,Match Report
2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Brighton,0,10,2,20.0,0.00,0.00,18.0,1,0,0,1.8,1.8,0.18,-1.8,-1.8,Match Report,2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Brighton,4,1,3,75.0,0,1.3,+0.3,0,0,0,0,1,11,9.1,29,6,20.7,27.9,11,45.5,37.0,10,0,0.0,0,3.7,Match Report,2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Brighton,387,515,75.1,6744,2453,168,191,88.0,172,219,78.5,32,78,41.0,0,0.8,0.4,7,30,5,0,39,Match Report,2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Brighton,515,466,48,11,0,3,12,21,3,1,2,0,387,1,8,Match Report,2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Brighton,19,14,1,1,1,2,0,0,0,0,0,0,0,0,Match Report,2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Brighton,22,12,9,12,1,8,15,53.3,7,8,1,7,16,38,14,0,Match Report,2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Brighton,56,619,67,235,274,115,13,619,20,11,55.0,5,25.0,327,1557,793,18,8,4,14,9,384,39,Match Report,2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Brighton,3,0,0,14,10,1,12,16,12,0,0,0,62,10,14,41.7,Match Report
2022-08-30,20:00 (12:00),Premier League,Matchweek 5,Tue,Home,D,1,1,Everton,1,14,5,35.7,0.07,0.20,16.9,0,0,0,1.0,1.0,0.07,0.0,0.0,Match Report,2022-08-30,20:00 (12:00),Premier League,Matchweek 5,Tue,Home,D,1,1,Everton,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,0,6,0.0,19,0,31.6,31.8,2,0.0,15.0,3,0,0.0,3,17.0,Match Report,2022-08-30,20:00 (12:00),Premier League,Matchweek 5,Tue,Home,D,1,1,Everton,580,715,81.1,9247,2911,273,309,88.3,250,286,87.4,31,65,47.7,1,0.5,0.8,11,48,10,3,73,Match Report,2022-08-30,20:00 (12:00),Premier League,Matchweek 5,Tue,Home,D,1,1,Everton,715,650,63,11,2,2,31,38,10,4,3,0,580,2,19,Match Report,2022-08-30,20:00 (12:00),Premier League,Matchweek 5,Tue,Home,D,1,1,Everton,25,18,5,1,0,0,1,2,2,0,0,0,0,0,Match Report,2022-08-30,20:00 (12:00),Premier League,Matchweek 5,Tue,Home,D,1,1,Everton,25,13,7,13,5,15,21,71.4,6,10,3,7,11,36,11,1,Match Report,2022-08-30,20:00 (12:00),Premier League,Matchweek 5,Tue,Home,D,1,1,Everton,69,852,35,179,408,273,27,852,28,12,42.9,14,50.0,488,2356,1236,21,17,5,26,14,577,73,Match Report,2022-08-30,20:00 (12:00),Premier League,Matchweek 5,Tue,Home,D,1,1,Everton,3,0,0,10,9,2,31,11,13,0,0,0,65,24,12,66.7,Match Report
2022-09-03,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,2,5,Brentford,2,17,6,35.3,0.12,0.33,21.9,1,0,0,1.7,1.7,0.11,+0.3,+0.3,Match Report,2022-09-03,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,2,5,Brentford,8,5,3,50.0,0,3.7,-1.3,1,1,0,0,3,12,25.0,20,5,40.0,34.4,8,50.0,40.4,8,0,0.0,2,23.3,Match Report,2022-09-03,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,2,5,Brentford,433,538,80.5,7046,2604,217,244,88.9,170,204,83.3,28,57,49.1,1,1.7,1.3,12,50,11,3,50,Match Report,2022-09-03,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,2,5,Brentford,538,484,53,8,0,3,19,25,6,3,2,1,433,1,9,Match Report,2022-09-03,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,2,5,Brentford,29,23,3,1,1,1,0,3,2,0,1,0,0,0,Match Report,2022-09-03,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,2,5,Brentford,24,17,5,14,5,9,22,40.9,13,5,1,4,3,27,12,2,Match Report,2022-09-03,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,2,5,Brentford,68,652,51,147,298,209,25,652,31,16,51.6,13,41.9,317,1623,818,17,14,2,20,11,427,50,Match Report,2022-09-03,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,2,5,Brentford,2,0,0,9,8,1,19,3,17,0,1,0,58,11,17,39.3,Match Report
2022-10-02,16:30 (08:30),Premier League,Matchweek 9,Sun,Home,D,0,0,Aston Villa,0,6,1,16.7,0.00,0.00,16.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report,2022-10-02,16:30 (08:30),Premier League,Matchweek 9,Sun,Home,D,0,0,Aston Villa,6,0,6,100.0,1,1.3,+1.3,0,0,0,0,5,18,27.8,31,10,38.7,34.8,8,75.0,47.4,18,3,16.7,0,7.6,Match Report,2022-10-02,16:30 (08:30),Premier League,Matchweek 9,Sun,Home,D,0,0,Aston Villa,295,415,71.1,5313,2083,127,154,82.5,130,163,79.8,31,83,37.3,0,0.3,0.3,5,19,5,0,26,Match Report,2022-10-02,16:30 (08:30),Premier League,Matchweek 9,Sun,Home,D,0,0,Aston Villa,415,370,45,14,0,4,10,20,2,1,1,0,295,0,4,Match Report,2022-10-02,16:30 (08:30),Premier League,Matchweek 9,Sun,Home,D,0,0,Aston Villa,11,10,1,0,0,0,0,0,0,0,0,0,0,0,Match Report,2022-10-02,16:30 (08:30),Premier League,Matchweek 9,Sun,Home,D,0,0,Aston Villa,12,9,8,3,1,6,16,37.5,10,12,5,7,6,18,22,0,Match Report,2022-10-02,16:30 (08:30),Premier League,Matchweek 9,Sun,Home,D,0,0,Aston Villa,44,510,68,222,222,71,16,510,14,6,42.9,6,42.9,256,1060,565,11,5,3,12,10,293,26,Match Report,2022-10-02,16:30 (08:30),Premier League,Matchweek 9,Sun,Home,D,0,0,Aston Villa,5,1,1,23,12,0,10,6,9,0,0,0,49,16,22,42.1,Match Report
2022-10-09,14:00 (06:00),Premier League,Matchweek 10,Sun,Away,L,1,2,Crystal Palace,1,10,4,40.0,0.10,0.25,18.1,0,0,0,1.0,1.0,0.10,0.0,0.0,Match Report,2022-10-09,14:00 (06:00),Premier League,Matchweek 10,Sun,Away,L,1,2,Crystal Palace,5,2,3,60.0,0,1.7,-0.3,0,0,0,0,2,16,12.5,21,8,52.4,36.8,9,55.6,46.1,13,1,7.7,1,27.0,Match Report,2022-10-09,14:00 (06:00),Premier League,Matchweek 10,Sun,Away,L,1,2,Crystal Palace,265,404,65.6,3944,2078,138,175,78.9,84,119,70.6,19,59,32.2,0,0.8,0.8,8,18,11,2,31,Match Report,2022-10-09,14:00 (06:00),Premier League,Matchweek 10,Sun,Away,L,1,2,Crystal Palace,404,340,62,15,1,0,17,32,3,1,2,0,265,2,17,Match Report,2022-10-09,14:00 (06:00),Premier League,Matchweek 10,Sun,Away,L,1,2,Crystal Palace,15,9,1,2,1,0,2,1,0,0,0,1,0,0,Match Report,2022-10-09,14:00 (06:00),Premier League,Matchweek 10,Sun,Away,L,1,2,Crystal Palace,29,13,11,10,8,11,18,61.1,7,13,3,10,10,39,12,0,Match Report,2022-10-09,14:00 (06:00),Premier League,Matchweek 10,Sun,Away,L,1,2,Crystal Palace,46,521,44,157,203,165,21,521,17,8,47.1,8,47.1,248,1035,450,5,5,2,14,10,262,31,Match Report,2022-10-09,14:00 (06:00),Premier League,Matchweek 10,Sun,Away,L,1,2,Crystal Palace,3,0,0,23,13,2,17,10,13,0,0,0,58,13,15,46.4,Match Report
2022-10-16,14:00 (06:00),Premier League,Matchweek 11,Sun,Home,L,0,1,Arsenal,0,15,4,26.7,0.00,0.00,18.1,0,0,1,1.8,1.1,0.07,-1.8,-1.1,Match Report,2022-10-16,14:00 (06:00),Premier League,Matchweek 11,Sun,Home,L,0,1,Arsenal,4,1,3,75.0,0,1.0,0.0,0,0,0,0,2,9,22.2,24,8,29.2,28.7,5,40.0,44.6,7,1,14.3,2,16.8,Match Report,2022-10-16,14:00 (06:00),Premier League,Matchweek 11,Sun,Home,L,0,1,Arsenal,359,478,75.1,5374,2078,185,210,88.1,121,157,77.1,23,59,39.0,0,0.8,0.8,11,29,8,1,36,Match Report,2022-10-16,14:00 (06:00),Premier League,Matchweek 11,Sun,Home,L,0,1,Arsenal,478,432,42,10,1,4,19,19,6,5,1,0,359,4,12,Match Report,2022-10-16,14:00 (06:00),Premier League,Matchweek 11,Sun,Home,L,0,1,Arsenal,23,20,0,1,2,0,0,0,0,0,0,0,0,0,Match Report,2022-10-16,14:00 (06:00),Premier League,Matchweek 11,Sun,Home,L,0,1,Arsenal,25,14,12,11,2,14,30,46.7,16,10,2,8,13,38,6,0,Match Report,2022-10-16,14:00 (06:00),Premier League,Matchweek 11,Sun,Home,L,0,1,Arsenal,47,578,37,153,246,184,22,577,16,6,37.5,9,56.3,373,1783,847,18,10,6,10,8,359,36,Match Report,2022-10-16,14:00 (06:00),Premier League,Matchweek 11,Sun,Home,L,0,1,Arsenal,0,0,0,10,9,4,19,13,14,0,0,0,61,13,10,56.5,Match Report
