Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-13,14:00 (06:00),Premier League,Matchweek 1,Sun,Home,D,2,2,Tottenham,2,10,5,50.0,0.10,0.20,18.0,0,1,1,2.2,1.4,0.14,-0.2,-0.4,Match Report,2023-08-13,14:00 (06:00),Premier League,Matchweek 1,Sun,Home,D,2,2,Tottenham,6,2,4,66.7,0,1.1,-0.9,0,0,0,0,6,13,46.2,26,4,26.9,31.5,7,85.7,55.9,20,2,10.0,0,4.5,Match Report,2023-08-13,14:00 (06:00),Premier League,Matchweek 1,Sun,Home,D,2,2,Tottenham,256,344,74.4,4769,2102,118,133,88.7,101,129,78.3,33,63,52.4,1,1.3,1.0,7,16,11,2,29,Match Report,2023-08-13,14:00 (06:00),Premier League,Matchweek 1,Sun,Home,D,2,2,Tottenham,344,298,45,12,1,7,13,20,3,1,0,1,256,1,6,Match Report,2023-08-13,14:00 (06:00),Premier League,Matchweek 1,Sun,Home,D,2,2,Tottenham,18,15,0,1,1,1,0,4,2,0,1,0,1,0,Match Report,2023-08-13,14:00 (06:00),Premier League,Matchweek 1,Sun,Home,D,2,2,Tottenham,17,9,11,5,1,10,26,38.5,16,15,5,10,8,25,35,0,Match Report,2023-08-13,14:00 (06:00),Premier League,Matchweek 1,Sun,Home,D,2,2,Tottenham,31,464,82,220,150,96,27,463,12,5,41.7,4,33.3,213,912,446,10,5,4,11,12,254,29,Match Report,2023-08-13,14:00 (06:00),Premier League,Matchweek 1,Sun,Home,D,2,2,Tottenham,1,0,0,12,13,1,13,8,9,1,0,0,47,15,11,57.7,Match Report
2023-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,3,0,Fulham,3,16,7,43.8,0.13,0.29,13.8,1,1,1,3.7,3.1,0.20,-0.7,-1.1,Match Report,2023-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,3,0,Fulham,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,5,13,38.5,48,4,22.9,30.0,5,40.0,39.8,14,0,0.0,0,9.5,Match Report,2023-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,3,0,Fulham,344,427,80.6,6497,2265,142,164,86.6,154,174,88.5,43,73,58.9,1,2.3,2.3,9,25,7,0,30,Match Report,2023-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,3,0,Fulham,427,388,35,11,4,2,15,13,5,0,2,1,344,4,6,Match Report,2023-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,3,0,Fulham,26,13,5,0,3,4,1,4,3,0,0,0,1,0,Match Report,2023-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,3,0,Fulham,13,9,7,4,2,5,13,38.5,8,12,3,9,9,22,24,0,Match Report,2023-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,3,0,Fulham,45,527,93,249,167,117,34,526,15,8,53.3,5,33.3,339,1606,835,10,7,4,12,5,338,30,Match Report,2023-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,3,0,Fulham,2,0,0,12,13,4,15,9,9,1,0,0,55,12,12,50.0,Match Report
2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,1,1,Crystal Palace,1,12,1,8.3,0.08,1.00,13.7,0,0,0,1.0,1.0,0.08,0.0,0.0,Match Report,2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,1,1,Crystal Palace,5,1,4,80.0,0,0.6,-0.4,0,0,0,0,8,10,80.0,41,5,24.4,30.1,7,0.0,18.1,14,1,7.1,0,4.0,Match Report,2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,1,1,Crystal Palace,465,566,82.2,8636,3297,202,223,90.6,200,233,85.8,57,84,67.9,1,0.9,0.7,10,39,5,2,41,Match Report,2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,1,1,Crystal Palace,566,512,52,17,0,7,23,18,8,4,3,0,465,2,7,Match Report,2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,1,1,Crystal Palace,22,15,5,1,1,0,0,2,2,0,0,0,0,0,Match Report,2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,1,1,Crystal Palace,9,6,4,4,1,5,22,22.7,17,17,6,11,6,15,9,1,Match Report,2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,1,1,Crystal Palace,60,670,65,225,296,153,26,670,18,4,22.2,11,61.1,386,1963,941,11,8,4,16,9,459,41,Match Report,2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,1,1,Crystal Palace,0,0,0,9,15,2,23,6,6,0,0,0,41,19,17,52.8,Match Report
2023-08-29,19:45 (11:45),EFL Cup,Second round,Tue,Away,D,1 (3),1 (0),Newport County,1,11,5,45.5,0.09,0.20,,,0,0,,,,,,Match Report,2023-08-29,19:45 (11:45),EFL Cup,Second round,Tue,Away,D,1 (3),1 (0),Newport County,2,1,1,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2023-08-29,19:45 (11:45),EFL Cup,Second round,Tue,Away,D,1 (3),1 (0),Newport County,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2023-08-29,19:45 (11:45),EFL Cup,Second round,Tue,Away,D,1 (3),1 (0),Newport County,,,,,,,41,,,,,,,,,Match Report,2023-08-29,19:45 (11:45),EFL Cup,Second round,Tue,Away,D,1 (3),1 (0),Newport County,,,,,,,,,,,,,,,Match Report,2023-08-29,19:45 (11:45),EFL Cup,Second round,Tue,Away,D,1 (3),1 (0),Newport County,,7,,,,,,,,,,,7,0,,,Match Report,2023-08-29,19:45 (11:45),EFL Cup,Second round,Tue,Away,D,1 (3),1 (0),Newport County,78,,,,,,,,,,,,,,,,,,,,,,,Match Report,2023-08-29,19:45 (11:45),EFL Cup,Second round,Tue,Away,D,1 (3),1 (0),Newport County,0,0,0,5,8,3,41,7,7,,,0,,,,,Match Report
2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,2,2,Bournemouth,2,21,7,33.3,0.10,0.29,14.7,1,0,0,2.9,2.9,0.14,-0.9,-0.9,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,2,2,Bournemouth,5,2,3,60.0,0,2.0,0.0,0,0,0,0,11,22,50.0,48,3,35.4,30.7,8,62.5,47.3,9,0,0.0,0,9.7,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,2,2,Bournemouth,429,529,81.1,7566,3277,201,220,91.4,175,209,83.7,44,79,55.7,1,2.5,2.4,14,24,14,5,47,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,2,2,Bournemouth,529,481,47,13,3,2,23,18,5,2,1,2,429,1,5,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,2,2,Bournemouth,36,28,4,1,1,2,0,3,2,0,0,0,1,0,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,2,2,Bournemouth,22,15,7,12,3,13,21,61.9,8,9,2,7,6,28,15,1,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,2,2,Bournemouth,60,662,90,253,249,164,45,662,21,4,19.0,14,66.7,286,1450,780,19,7,9,24,8,418,47,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,2,2,Bournemouth,1,0,0,6,12,1,23,6,15,0,0,0,61,22,15,59.5,Match Report
2023-09-16,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Newcastle Utd,0,11,2,18.2,0.00,0.00,15.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report,2023-09-16,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Newcastle Utd,2,1,1,100.0,0,1.0,0.0,1,1,0,0,5,26,19.2,36,3,55.6,42.9,7,85.7,60.3,21,0,0.0,2,9.7,Match Report,2023-09-16,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Newcastle Utd,286,406,70.4,5114,1869,135,160,84.4,115,153,75.2,31,78,39.7,0,0.5,0.7,10,25,9,2,36,Match Report,2023-09-16,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Newcastle Utd,406,365,40,8,1,2,15,20,3,3,0,0,286,1,5,Match Report,2023-09-16,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Newcastle Utd,19,12,2,2,1,1,1,0,0,0,0,0,0,0,Match Report,2023-09-16,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Newcastle Utd,30,19,16,10,4,11,25,44.0,14,11,2,9,9,39,26,0,Match Report,2023-09-16,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Newcastle Utd,44,526,70,199,210,130,22,526,15,10,66.7,4,26.7,303,1194,556,9,4,5,12,8,284,36,Match Report,2023-09-16,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Newcastle Utd,5,0,0,12,8,1,15,9,19,0,1,0,58,20,22,47.6,Match Report
2023-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Home,L,1,3,Everton,1,12,2,16.7,0.08,0.50,13.9,1,0,0,1.0,1.0,0.09,0.0,0.0,Match Report,2023-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Home,L,1,3,Everton,6,3,3,50.0,0,1.5,-1.5,0,0,0,0,0,7,0.0,49,7,12.2,25.0,12,8.3,18.7,15,0,0.0,0,6.5,Match Report,2023-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Home,L,1,3,Everton,510,629,81.1,9264,2877,189,229,82.5,275,304,90.5,40,76,52.6,1,0.6,1.1,6,26,6,1,42,Match Report,2023-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Home,L,1,3,Everton,629,577,49,12,0,6,11,20,1,0,0,0,510,3,10,Match Report,2023-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Home,L,1,3,Everton,20,10,2,1,4,2,1,2,2,0,0,0,0,0,Match Report,2023-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Home,L,1,3,Everton,20,15,13,7,0,6,10,60.0,4,11,1,10,7,27,17,2,Match Report,2023-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Home,L,1,3,Everton,57,731,85,308,311,117,17,731,20,7,35.0,10,50.0,434,2182,1282,14,13,2,13,6,505,42,Match Report,2023-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Home,L,1,3,Everton,2,0,0,9,11,3,11,7,15,0,0,0,61,17,28,37.8,Match Report
2023-09-27,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,0,1,Arsenal,0,18,4,22.2,0.00,0.00,,,0,0,,,,,,Match Report,2023-09-27,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,0,1,Arsenal,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2023-09-27,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,0,1,Arsenal,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2023-09-27,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,0,1,Arsenal,,,,,,,11,,,,,,,,,Match Report,2023-09-27,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,0,1,Arsenal,,,,,,,,,,,,,,,Match Report,2023-09-27,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,0,1,Arsenal,,10,,,,,,,,,,,7,0,,,Match Report,2023-09-27,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,0,1,Arsenal,41,,,,,,,,,,,,,,,,,,,,,,,Match Report,2023-09-27,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,0,1,Arsenal,1,0,0,7,10,5,11,7,10,,,0,,,,,Match Report
2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Away,D,1,1,Nott'ham Forest,1,18,3,16.7,0.06,0.33,14.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Match Report,2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Away,D,1,1,Nott'ham Forest,1,1,0,0.0,0,0.1,-0.9,0,0,0,0,1,2,50.0,32,4,6.3,23.6,5,0.0,16.4,8,0,0.0,1,41.0,Match Report,2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Away,D,1,1,Nott'ham Forest,525,637,82.4,8841,2866,254,282,90.1,226,262,86.3,34,60,56.7,1,1.3,1.7,13,39,12,3,56,Match Report,2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Away,D,1,1,Nott'ham Forest,637,585,51,8,3,3,29,25,11,8,0,0,525,1,14,Match Report,2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Away,D,1,1,Nott'ham Forest,31,21,5,1,2,1,1,2,0,1,0,0,1,0,Match Report,2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Away,D,1,1,Nott'ham Forest,11,7,3,5,3,5,14,35.7,9,10,1,9,10,21,10,0,Match Report,2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Away,D,1,1,Nott'ham Forest,59,738,48,196,335,215,36,738,13,5,38.5,7,53.8,521,2845,1580,22,18,4,17,10,521,56,Match Report,2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Away,D,1,1,Nott'ham Forest,2,0,0,10,6,1,29,10,7,0,0,0,51,25,15,62.5,Match Report
2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,1,2,Manchester Utd,1,11,3,27.3,0.09,0.33,17.3,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Match Report,2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,1,2,Manchester Utd,8,2,6,75.0,0,1.5,-0.5,0,0,0,0,7,22,31.8,39,3,48.7,38.4,10,30.0,34.3,28,1,3.6,1,11.7,Match Report,2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,1,2,Manchester Utd,252,351,71.8,4771,1919,99,119,83.2,109,135,80.7,35,74,47.3,1,0.9,0.6,10,13,2,1,16,Match Report,2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,1,2,Manchester Utd,351,305,46,14,0,6,8,14,5,3,0,0,252,0,7,Match Report,2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,1,2,Manchester Utd,18,12,4,1,1,0,0,0,0,0,0,0,0,0,Match Report,2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,1,2,Manchester Utd,18,11,14,4,0,7,15,46.7,8,11,4,7,16,34,45,0,Match Report,2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,1,2,Manchester Utd,36,476,123,268,139,72,21,476,7,5,71.4,1,14.3,175,1135,571,16,5,6,10,3,247,16,Match Report,2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,1,2,Manchester Utd,5,0,0,17,10,0,8,16,11,0,0,0,47,9,13,40.9,Match Report
